398_130093_000000_000000	The Red Badge of Courage	The Red Badge of Courage	false	4.08	5.19	20.459755
398_130093_000047_000000	However, he perceived now that it did not greatly matter what kind of soldiers he was going to fight, so long as they fought, which fact no one disputed.	However, he perceived now that it did not greatly matter what kind of soldiers he was going to fight, so long as they fought, which fact no one disputed.	true	987.38	995.02	21.939308
398_130093_000047_000001	There was a more serious problem.	There was a more serious problem.	true	995.66	997.33	19.54524
398_130093_000047_000002	He lay in his bunk pondering upon it.	He lay in his bunk pondering upon it.	true	998	1000.3	23.119595
398_130093_000047_000003	He tried to mathematically prove to himself that he would not run from a battle.	He tried to mathematically prove to himself that he would not run from a battle.	true	1000.31	1005.37	24.529606
398_130093_000048_000000	Previously he had never felt obliged to wrestle too seriously with this question.	Previously he had never felt obliged to wrestle too seriously with this question.	true	1006.28	1010.14	21.781418
398_130093_000048_000001	In his life he had taken certain things for granted, never challenging his belief in ultimate success, and bothering little about means and roads.	In his life he had taken certain things for granted, never challenging his belief in ultimate success, and bothering little about means and roads.	false	1010.57	1018.09	23.554157
398_130093_000048_000002	But here he was confronted with a thing of moment. It had suddenly appeared to him that perhaps in a battle he might run. He was forced to admit that as far as war was concerned he knew nothing of himself.	But here he was confronted with a thing of moment. It had suddenly appeared to him that perhaps in a battle he might run. He was forced to admit that as far as war was concerned he knew nothing of himself.	false	1018.97	1032.85	22.031414
398_130093_000049_000000	A sufficient time before he would have allowed the problem to kick its heels at the outer portals of his mind, but now he felt compelled to give serious attention to it.	A sufficient time before he would have allowed the problem to kick its heels at the outer portals of his mind, but now he felt compelled to give serious attention to it.	false	1032.95	1041.28	20.788198
398_130093_000050_000000	A little panic-fear grew in his mind.	A little panic fear grew in his mind.	true	1043.24	1045.36	25.042517
398_130093_000050_000001	As his imagination went forward to a fight, he saw hideous possibilities.	As his imagination went forward to a fight, he saw hideous possibilities.	true	1045.79	1050.31	21.368944
398_130093_000050_000002	He contemplated the lurking menaces of the future, and failed in an effort to see himself standing stoutly in the midst of them.	He contemplated the lurking menaces of the future, and failed in an effort to see himself standing stoutly in the midst of them.	true	1050.83	1057.69	20.660082
398_130093_000050_000003	He recalled his visions of broken-bladed glory, but in the shadow of the impending tumult he suspected them to be impossible pictures.	He recalled his visions of broken bladed glory, but in the shadow of the impending tumult he suspected them to be impossible pictures.	false	1058.15	1065.48	22.416372
398_130093_000051_000000	He sprang from the bunk and began to pace nervously to and fro.	He sprang from the bunk and began to pace nervously to and fro.	false	1065.48	1069.24	22.010582
398_130093_000051_000001	"Good Lord, what's th' matter with me?" he said aloud.	"Good Lord, what's t h' matter with me?" he said aloud.	false	1070.33	1073.71	17.675446
398_130093_000052_000000	He felt that in this crisis his laws of life were useless.	He felt that in this crisis his laws of life were useless.	true	1074.47	1078.39	18.764
398_130093_000052_000001	Whatever he had learned of himself was here of no avail.	Whatever he had learned of himself was here of no avail.	true	1078.97	1081.81	23.707926
398_130093_000052_000002	He was an unknown quantity.	He was an unknown quantity.	true	1082.69	1084.42	20.88274
398_130093_000052_000003	He saw that he would again be obliged to experiment as he had in early youth.	He saw that he would again be obliged to experiment as he had in early youth.	true	1085.18	1088.98	24.218575
398_130093_000052_000004	He must accumulate information of himself, and meanwhile he resolved to remain close upon his guard lest those qualities of which he knew nothing should everlastingly disgrace him. "Good Lord!" he repeated in dismay.	He must accumulate information of himself, and meanwhile he resolved to remain close upon his guard lest those qualities of which he knew nothing should everlastingly disgrace him. "Good Lord!" he repeated in dismay.	true	1089.11	1103.41	21.199665
398_130093_000053_000000	After a time the tall soldier slid dexterously through the hole.	After a time the tall soldier slid dexterously through the hole.	false	1104.23	1107.64	23.112232
398_130093_000053_000001	The loud private followed.	The loud private followed.	true	1107.92	1109.65	26.257826
398_130093_000053_000002	They were wrangling.	They were wrangling.	true	1109.69	1110.73	21.286648
398_130093_000054_000000	"That's all right," said the tall soldier as he entered.	"That's all right," said the tall soldier as he entered.	false	1111.61	1114.69	26.915825
398_130093_000054_000001	He waved his hand expressively.	He waved his hand expressively.	true	1115.24	1117.06	23.75584
398_130093_000054_000002	"You can believe me or not, jest as you like.	"You can believe me or not, jest as you like.	true	1118.45	1120.69	25.60537
398_130093_000054_000003	All you got to do is sit down and wait as quiet as you can.	All you got to do is sit down and wait as quiet as you can.	false	1121.03	1124.35	22.604912
398_130093_000054_000004	Then pretty soon you'll find out I was right."	Then pretty soon you'll find out I was right."	true	1124.9	1126.99	19.689985
398_130093_000055_000000	His comrade grunted stubbornly.	His comrade grunted stubbornly.	true	1128.71	1130.65	23.205017
398_130093_000055_000001	For a moment he seemed to be searching for a formidable reply.	For a moment he seemed to be searching for a formidable reply.	true	1130.9	1134.58	22.17257
398_130093_000055_000002	Finally he said: "Well, you don't know everything in the world, do you?"	Finally he said: "Well, you don't know everything in the world, do you?"	true	1134.83	1139.65	20.457815
398_130093_000056_000000	"Didn't say I knew everything in the world," retorted the other sharply.	"Didn't say I knew everything in the world," retorted the other sharply.	false	1141.61	1144.93	23.045536
398_130093_000056_000001	He began to stow various articles snugly into his knapsack.	He began to stow various articles snugly into his knapsack.	true	1145.84	1149.16	21.992292
398_130093_000057_000000	The youth, pausing in his nervous walk, looked down at the busy figure. "Going to be a battle, sure, is there, Jim?" he asked.	The youth, pausing in his nervous walk, looked down at the busy figure. "Going to be a battle, sure, is there, Jim?" he asked.	true	1151.09	1161.13	21.196022
398_130093_000058_000000	"Of course there is," replied the tall soldier.	"Of course there is," replied the tall soldier.	true	1163.36	1165.98	20.881407
398_130093_000058_000001	"Of course there is. You jest wait 'til to-morrow, and you'll see one of the biggest battles ever was.	"Of course there is. You jest wait 'til to morrow, and you'll see one of the biggest battles ever was.	false	1165.98	1171.28	21.795462
398_130093_000058_000002	You jest wait."	You jest wait."	true	1171.28	1172.05	30.383865
398_130093_000059_000000	"Thunder!" said the youth.	"Thunder!" said the youth.	true	1172.84	1175.14	19.51152
398_130093_000060_000000	"Oh, you'll see fighting this time, my boy, what'll be regular out-and-out fighting," added the tall soldier, with the air of a man who is about to exhibit a battle for the benefit of his friends.	"Oh, you'll see fighting this time, my boy, what'll be regular out and out fighting," added the tall soldier, with the air of a man who is about to exhibit a battle for the benefit of his friends.	false	1176.2	1184.98	22.128483
398_130093_000061_000000	"Huh!" said the loud one from a corner.	"Huh!" said the loud one from a corner.	true	1186.07	1189.09	20.31485
398_130093_000062_000000	"Well," remarked the youth, "like as not this story'll turn out jest like them others did."	"Well," remarked the youth, "like as not this story'll turn out jest like them others did."	false	1190.66	1196.11	28.29231
398_130093_000063_000000	"Not much it won't," replied the tall soldier, exasperated.	"Not much it won't," replied the tall soldier, exasperated.	true	1197.2	1200.49	27.12624
398_130093_000063_000001	"Not much it won't.	"Not much it won't.	true	1200.71	1201.59	25.574877
398_130093_000063_000002	Didn't the cavalry all start this morning?" He glared about him.	Didn't the cavalry all start this morning?" He glared about him.	true	1201.59	1205.35	26.117416
398_130093_000063_000003	No one denied his statement.	No one denied his statement.	true	1205.72	1207.23	22.739628
398_130093_000063_000004	"The cavalry started this morning," he continued.	"The cavalry started this morning," he continued.	false	1207.23	1210.14	25.5217
398_130093_000063_000005	"They say there ain't hardly any cavalry left in camp. They're going to Richmond, or some place, while we fight all the Johnnies.	"They say there ain't hardly any cavalry left in camp. They're going to Richmond, or some place, while we fight all the Johnnies.	false	1210.14	1213.2	25.099403
398_130093_000063_000006	It's some dodge like that.	It's some dodge like that.	false	1213.2	1215.34	23.935665
398_130093_000063_000007	The regiment's got orders, too. A feller what seen 'em go to headquarters told me a little while ago. And they're raising blazes all over camp--anybody can see that."	The regiment's got orders, too. A feller what seen 'em go to headquarters told me a little while ago. And they're raising blazes all over camp-anybody can see that."	true	1215.86	1223.98	24.193108
398_130093_000064_000000	"Shucks!" said the loud one.	"Shucks!" said the loud one.	true	1224.74	1226.92	22.402418
398_130093_000065_000000	The youth remained silent for a time.	The youth remained silent for a time.	true	1227.92	1229.77	24.584156
398_130093_000065_000001	At last he spoke to the tall soldier.	At last he spoke to the tall soldier.	true	1230.44	1233.19	22.80552
398_130093_000065_000002	"Jim!"	"Jim!"	true	1233.19	1234.24	24.29177
398_130093_000066_000000	"What?"	"What?"	true	1234.24	1235.23	24.245678
398_130093_000067_000000	"How do you think the reg'ment 'll do?"	"How do you think the reg'ment 'l l do?"	false	1236.14	1237.5	24.451967
398_130093_000068_000000	"Oh, they'll fight all right, I guess, after they once get into it," said the other with cold judgment.	"Oh, they'll fight all right, I guess, after they once get into it," said the other with cold judgment.	false	1237.5	1243.33	24.21773
398_130093_000068_000001	He made a fine use of the third person.	He made a fine use of the third person.	true	1243.91	1245.73	25.696987
398_130093_000068_000002	"There's been heaps of fun poked at 'em because they're new, of course, and all that; but they'll fight all right, I guess."	"There's been heaps of fun poked at 'em because they're new, of course, and all that; but they'll fight all right, I guess."	false	1246.82	1251.61	21.251133
398_130093_000069_000000	"Think any of the boys 'll run?" persisted the youth.	"Think any of the boys 'l l run?" persisted the youth.	false	1252.79	1255.96	22.849401
398_130093_000070_000000	"Oh, there may be a few of 'em run, but there's them kind in every regiment, 'specially when they first goes under fire," said the other in a tolerant way.	"Oh, there may be a few of 'em run, but there's them kind in every regiment, 'specially when they first goes under fire," said the other in a tolerant way.	true	1256.36	1264.27	21.783922
398_130093_000070_000001	"Of course it might happen that the hull kit-and-boodle might start and run, if some big fighting came first-off, and then again they might stay and fight like fun.	"Of course it might happen that the hull kit and boodle might start and run, if some big fighting came first off, and then again they might stay and fight like fun.	false	1264.76	1273.15	26.133066
398_130093_000070_000002	But you can't bet on nothing.	But you can't bet on nothing.	true	1274.36	1275.69	26.95185
398_130093_000070_000003	Of course they ain't never been under fire yet, and it ain't likely they'll lick the hull rebel army all-to-oncet the first time; but I think they'll fight better than some, if worse than others.	Of course they ain't never been under fire yet, and it ain't likely they'll lick the hull rebel army all to oncet the first time; but I think they'll fight better than some, if worse than others.	false	1275.69	1287.76	25.989761
398_130093_000070_000004	That's the way I figger.	That's the way I figger.	false	1287.86	1288.89	19.676027
398_130093_000070_000005	They call the reg'ment 'Fresh fish' and everything; but the boys come of good stock, and most of 'em 'll fight like sin after they oncet git shootin'," he added, with a mighty emphasis on the last four words.	They call the reg'ment 'Fresh fish' and everything; but the boys come of good stock, and most of 'em 'l l fight like sin after they oncet git shootin'," he added, with a mighty emphasis on the last four words.	false	1288.89	1299.43	23.361143
398_130093_000071_000000	"Oh, you think you know--" began the loud soldier with scorn.	"Oh, you think you know-" began the loud soldier with scorn.	true	1300.34	1304.5	20
398_130093_000072_000000	The other turned savagely upon him.	The other turned savagely upon him.	true	1305.29	1307.17	21.329697
398_130093_000072_000001	They had a rapid altercation, in which they fastened upon each other various strange epithets.	They had a rapid altercation, in which they fastened upon each other various strange epithets.	true	1307.17	1311.4	22.50081
398_130093_000073_000000	The youth at last interrupted them.	The youth at last interrupted them.	true	1311.83	1313.65	23.622154
398_130093_000073_000001	"Did you ever think you might run yourself, Jim?" he asked.	"Did you ever think you might run yourself, Jim?" he asked.	true	1314.14	1317.88	20.766504
398_130093_000073_000002	On concluding the sentence he laughed as if he had meant to aim a joke.	On concluding the sentence he laughed as if he had meant to aim a joke.	true	1318.22	1321.72	21.252712
398_130093_000073_000003	The loud soldier also giggled.	The loud soldier also giggled.	false	1321.72	1370.28	23.676464
