2397_162253_000000_000000	CHAPTER XXII	CHAPTER twenty two	true	20.475	21.91	23
2397_162253_000019_000001	It was for this, indeed, that he had come.	It was for this, indeed, that he had come.	true	1096.91	1099.39	18
2397_162253_000019_000002	"Ralph Moreau was run down by my men soon after midnight, and he's now behind the bars."	"Ralph Moreau was run down by my men soon after midnight, and he's now behind the bars."	false	1099.61	1105.08	11
2397_162253_000020_000000	CHAPTER XXIII	CHAPTER twenty three	false	1105.08	1105.53	-2
2397_162253_000021_000000	A SOLDIER ENTANGLED	A SOLDIER ENTANGLED	false	1105.53	1105.98	-20
2397_162253_000022_000000	December and bitter cold.	December and bitter cold.	false	1105.98	1106.37	65
2397_162253_000022_000001	The river frozen stiff.	The river frozen stiff.	false	1106.37	1106.37	
2397_162253_000022_000002	The prairie sheeted in unbroken snow.	The prairie sheeted in unbroken snow.	false	1106.37	1106.37	
2397_162253_000022_000003	Great log fires roaring in every open fireplace.	Great log fires roaring in every open fireplace.	false	1106.37	1106.37	
2397_162253_000022_000004	Great throngs of soldiery about the red hot barrack stoves, for all the columns were again in winter columns, and Flint's two companies had "got the route" for home.	Great throngs of soldiery about the red hot barrack stoves, for all the columns were again in winter columns, and Flint's two companies had "got the route" for home.	false	1106.37	1108.8	16
2397_162253_000022_000005	They were to march on the morrow, escorting as far as Laramie the intractables of Stabber's band, some few of the Indians to go in irons, among them Ralph Moreau, or Eagle Wing, now a notorious character.	They were to march on the morrow, escorting as far as Laramie the intractables of Stabber's band, some few of the Indians to go in irons, among them Ralph Moreau, or Eagle Wing, now a notorious character.	false	1108.8	1114.53	19.628586
