1290_135762_000000_000000	II.	two.	false	21.09	21.885	16.53445
1290_135762_000021_000001	Standing on that miserable eminence, she saw again her native village, in Old England, and her paternal home: a decayed house of grey stone, with a poverty-stricken aspect, but retaining a half obliterated shield of arms over the portal, in token of antique gentility. She saw her father's face, with its bold brow, and reverend white beard that flowed over the old-fashioned Elizabethan ruff; her mother's, too, with the look of heedful and anxious love which it always wore in her remembrance, and which, even since her death, had so often laid the impediment of a gentle remonstrance in her daughter's pathway.	Standing on that miserable eminence, she saw again her native village, in Old England, and her paternal home: a decayed house of grey stone, with a poverty stricken aspect, but retaining a half obliterated shield of arms over the portal, in token of antique gentility. She saw her father's face, with its bold brow, and reverend white beard that flowed over the old-fashioned Elizabethan ruff; her mother's, too, with the look of heedful and anxious love which it always wore in her remembrance, and which, even since her death, had so often laid the impediment of a gentle remonstrance in her daughter's pathway.	false	1061.18	1097.95	16.639482
1290_135762_000021_000002	She saw her own face, glowing with girlish beauty, and illuminating all the interior of the dusky mirror in which she had been wont to gaze at it. There she beheld another countenance, of a man well stricken in years, a pale, thin, scholar-like visage, with eyes dim and bleared by the lamp-light that had served them to pore over many ponderous books.	She saw her own face, glowing with girlish beauty, and illuminating all the interior of the dusky mirror in which she had been wont to gaze at it. There she beheld another countenance, of a man well stricken in years, a pale, thin, scholar like visage, with eyes dim and bleared by the lamp light that had served them to pore over many ponderous books.	false	1098.26	1119.48	17.818909
1290_135762_000021_000003	Yet those same bleared optics had a strange, penetrating power, when it was their owner's purpose to read the human soul.	Yet those same bleared optics had a strange, penetrating power, when it was their owner's purpose to read the human soul.	false	1119.48	1127.77	17
1290_135762_000021_000004	This figure of the study and the cloister, as Hester Prynne's womanly fancy failed not to recall, was slightly deformed, with the left shoulder a trifle higher than the right. Next rose before her in memory's picture-gallery, the intricate and narrow thoroughfares, the tall, grey houses, the huge cathedrals, and the public edifices, ancient in date and quaint in architecture, of a continental city; where new life had awaited her, still in connexion with the misshapen scholar: a new life, but feeding itself on time-worn materials, like a tuft of green moss on a crumbling wall.	This figure of the study and the cloister, as Hester Prynne's womanly fancy failed not to recall, was slightly deformed, with the left shoulder a trifle higher than the right. Next rose before her in memory's picture gallery, the intricate and narrow thoroughfares, the tall, grey houses, the huge cathedrals, and the public edifices, ancient in date and quaint in architecture, of a continental city; where new life had awaited her, still in connexion with the misshapen scholar: a new life, but feeding itself on time worn materials, like a tuft of green moss on a crumbling wall.	false	1128.02	1165.93	16.372885
1290_135762_000021_000005	Lastly, in lieu of these shifting scenes, came back the rude market-place of the Puritan, settlement, with all the townspeople assembled, and levelling their stern regards at Hester Prynne--yes, at herself--who stood on the scaffold of the pillory, an infant on her arm, and the letter A, in scarlet, fantastically embroidered with gold thread, upon her bosom.	Lastly, in lieu of these shifting scenes, came back the rude market place of the Puritan, settlement, with all the townspeople assembled, and levelling their stern regards at Hester Prynne-yes, at herself-who stood on the scaffold of the pillory, an infant on her arm, and the letter A, in scarlet, fantastically embroidered with gold thread, upon her bosom.	false	1166.63	1190.65	16
1290_135762_000022_000000	Could it be true?	Could it be true?	true	1191.59	1192.96	9
1290_135762_000022_000001	She clutched the child so fiercely to her breast that it sent forth a cry; she turned her eyes downward at the scarlet letter, and even touched it with her finger, to assure herself that the infant and the shame were real.	She clutched the child so fiercely to her breast that it sent forth a cry; she turned her eyes downward at the scarlet letter, and even touched it with her finger, to assure herself that the infant and the shame were real.	false	1193.54	1206.88	15.926004
1290_135762_000022_000002	Yes these were her realities--all else had vanished!	Yes these were her realities-all else had vanished!	true	1207.52	1212.9	15.262551
1290_135762_000023_000000	III.	three.	false	1212.9	1213.02	-20
1290_135762_000023_000001	THE RECOGNITION	THE RECOGNITION	false	1213.02	1213.26	-20
1290_135762_000024_000000	From this intense consciousness of being the object of severe and universal observation, the wearer of the scarlet letter was at length relieved, by discerning, on the outskirts of the crowd, a figure which irresistibly took possession of her thoughts.	From this intense consciousness of being the object of severe and universal observation, the wearer of the scarlet letter was at length relieved, by discerning, on the outskirts of the crowd, a figure which irresistibly took possession of her thoughts.	false	1213.26	1216.38	11
1290_135762_000024_000001	An Indian in his native garb was standing there; but the red men were not so infrequent visitors of the English settlements that one of them would have attracted any notice from Hester Prynne at such a time; much less would he have excluded all other objects and ideas from her mind.	An Indian in his native garb was standing there; but the red men were not so infrequent visitors of the English settlements that one of them would have attracted any notice from Hester Prynne at such a time; much less would he have excluded all other objects and ideas from her mind.	false	1216.38	1219.32	16.27615
1290_135762_000024_000002	By the Indian's side, and evidently sustaining a companionship with him, stood a white man, clad in a strange disarray of civilized and savage costume.	By the Indian's side, and evidently sustaining a companionship with him, stood a white man, clad in a strange disarray of civilized and savage costume.	false	1219.32	1223.61	17.099525
