580_126947_000000_000000	CHAPTER III	CHAPTER three	true	25.17	26.16	17
580_126947_000014_000008	If you were to succeed in overthrowing us and in taking our place, you would speedily lose the popularity with which fear of us has invested you, if your policy of to-day is at all to tally with the sample that you gave of it during the brief period of your command against the Mede.	If you were to succeed in overthrowing us and in taking our place, you would speedily lose the popularity with which fear of us has invested you, if your policy of to day is at all to tally with the sample that you gave of it during the brief period of your command against the Mede.	false	1214.48	1231.21	18.856695
580_126947_000014_000009	Not only is your life at home regulated by rules and institutions incompatible with those of others, but your citizens abroad act neither on these rules nor on those which are recognized by the rest of Hellas.	Not only is your life at home regulated by rules and institutions incompatible with those of others, but your citizens abroad act neither on these rules nor on those which are recognized by the rest of Hellas.	true	1232.69	1246.33	17.824652
580_126947_000015_000000	"Take time then in forming your resolution, as the matter is of great importance; and do not be persuaded by the opinions and complaints of others to bring trouble on yourselves, but consider the vast influence of accident in war, before you are engaged in it.	"Take time then in forming your resolution, as the matter is of great importance; and do not be persuaded by the opinions and complaints of others to bring trouble on yourselves, but consider the vast influence of accident in war, before you are engaged in it.	false	1247.12	1262.2	19.654636
580_126947_000015_000001	As it continues, it generally becomes an affair of chances, chances from which neither of us is exempt, and whose event we must risk in the dark.	As it continues, it generally becomes an affair of chances, chances from which neither of us is exempt, and whose event we must risk in the dark.	true	1262.45	1270.81	16
580_126947_000015_000002	It is a common mistake in going to war to begin at the wrong end, to act first, and wait for disaster to discuss the matter.	It is a common mistake in going to war to begin at the wrong end, to act first, and wait for disaster to discuss the matter.	true	1271.12	1277.89	15
580_126947_000015_000003	But we are not yet by any means so misguided, nor, so far as we can see, are you; accordingly, while it is still open to us both to choose aright, we bid you not to dissolve the treaty, or to break your oaths, but to have our differences settled by arbitration according to our agreement.	But we are not yet by any means so misguided, nor, so far as we can see, are you; accordingly, while it is still open to us both to choose aright, we bid you not to dissolve the treaty, or to break your oaths, but to have our differences settled by arbitration according to our agreement.	false	1278.92	1297.09	20.13201
580_126947_000015_000004	Or else we take the gods who heard the oaths to witness, and if you begin hostilities, whatever line of action you choose, we will try not to be behindhand in repelling you."	Or else we take the gods who heard the oaths to witness, and if you begin hostilities, whatever line of action you choose, we will try not to be behindhand in repelling you."	true	1297.37	1308.1	17.534992
580_126947_000016_000000	Such were the words of the Athenians.	Such were the words of the Athenians.	true	1309.85	1311.88	15.6042185
580_126947_000016_000001	After the Lacedaemonians had heard the complaints of the allies against the Athenians, and the observations of the latter, they made all withdraw, and consulted by themselves on the question before them.	After the Lacedaemonians had heard the complaints of the allies against the Athenians, and the observations of the latter, they made all withdraw, and consulted by themselves on the question before them.	false	1312.37	1323.52	17.599285
580_126947_000016_000002	The opinions of the majority all led to the same conclusion; the Athenians were open aggressors, and war must be declared at once.	The opinions of the majority all led to the same conclusion; the Athenians were open aggressors, and war must be declared at once.	true	1324.01	1331.38	18
580_126947_000016_000003	But Archidamus, the Lacedaemonian king, came forward, who had the reputation of being at once a wise and a moderate man, and made the following speech:	But Archidamus, the Lacedaemonian king, came forward, who had the reputation of being at once a wise and a moderate man, and made the following speech:	false	1331.87	1342.06	19.33916
580_126947_000017_000000	"I have not lived so long, Lacedaemonians, without having had the experience of many wars, and I see those among you of the same age as myself, who will not fall into the common misfortune of longing for war from inexperience or from a belief in its advantage and its safety. This, the war on which you are now debating, would be one of the greatest magnitude, on a sober consideration of the matter.	"I have not lived so long, Lacedaemonians, without having had the experience of many wars, and I see those among you of the same age as myself, who will not fall into the common misfortune of longing for war from inexperience or from a belief in its advantage and its safety. This, the war on which you are now debating, would be one of the greatest magnitude, on a sober consideration of the matter.	false	1343.15	1367.62	19.221684
580_126947_000017_000001	In a struggle with Peloponnesians and neighbours our strength is of the same character, and it is possible to move swiftly on the different points. But a struggle with a people who live in a distant land, who have also an extraordinary familiarity with the sea, and who are in the highest state of preparation in every other department; with wealth private and public, with ships, and horses, and heavy infantry, and a population such as no one other Hellenic place can equal, and lastly a number of tributary allies--what can justify us in rashly beginning such a struggle?	In a struggle with Peloponnesians and neighbours our strength is of the same character, and it is possible to move swiftly on the different points. But a struggle with a people who live in a distant land, who have also an extraordinary familiarity with the sea, and who are in the highest state of preparation in every other department; with wealth private and public, with ships, and horses, and heavy infantry, and a population such as no one other Hellenic place can equal, and lastly a number of tributary allies-what can justify us in rashly beginning such a struggle?	false	1368.29	1403.5	18.664154
580_126947_000017_000002	wherein is our trust that we should rush on it unprepared?	wherein is our trust that we should rush on it unprepared?	false	1403.84	1407.55	17
580_126947_000017_000003	Is it in our ships?	Is it in our ships?	true	1407.8	1409.17	19
580_126947_000017_000004	There we are inferior; while if we are to practise and become a match for them, time must intervene.	There we are inferior; while if we are to practise and become a match for them, time must intervene.	true	1409.48	1415.08	19.856092
580_126947_000017_000005	Is it in our money?	Is it in our money?	true	1416.26	1417.48	11
580_126947_000017_000006	There we have a far greater deficiency.	There we have a far greater deficiency.	true	1417.85	1420.15	14
580_126947_000017_000007	We neither have it in our treasury, nor are we ready to contribute it from our private funds.	We neither have it in our treasury, nor are we ready to contribute it from our private funds.	true	1420.46	1425.43	17
580_126947_000017_000008	Confidence might possibly be felt in our superiority in heavy infantry and population, which will enable us to invade and devastate their lands. But the Athenians have plenty of other land in their empire, and can import what they want by sea.	Confidence might possibly be felt in our superiority in heavy infantry and population, which will enable us to invade and devastate their lands. But the Athenians have plenty of other land in their empire, and can import what they want by sea.	true	1426.25	1439.68	18.173033
580_126947_000017_000009	Again, if we are to attempt an insurrection of their allies, these will have to be supported with a fleet, most of them being islanders.	Again, if we are to attempt an insurrection of their allies, these will have to be supported with a fleet, most of them being islanders.	false	1440.68	1448.53	18.40017
580_126947_000017_000010	What then is to be our war?	What then is to be our war?	true	1448.99	1450.72	18.6381
580_126947_000017_000011	For unless we can either beat them at sea, or deprive them of the revenues which feed their navy, we shall meet with little but disaster.	For unless we can either beat them at sea, or deprive them of the revenues which feed their navy, we shall meet with little but disaster.	true	1451.45	1458.91	19.398842
580_126947_000017_000012	Meanwhile our honour will be pledged to keeping on, particularly if it be the opinion that we began the quarrel.	Meanwhile our honour will be pledged to keeping on, particularly if it be the opinion that we began the quarrel.	false	1459.31	1466.8	20.924635
580_126947_000017_000013	For let us never be elated by the fatal hope of the war being quickly ended by the devastation of their lands.	For let us never be elated by the fatal hope of the war being quickly ended by the devastation of their lands.	false	1467.23	1473.69	17.39156
580_126947_000017_000014	I fear rather that we may leave it as a legacy to our children; so improbable is it that the Athenian spirit will be the slave of their land, or Athenian experience be cowed by war.	I fear rather that we may leave it as a legacy to our children; so improbable is it that the Athenian spirit will be the slave of their land, or Athenian experience be cowed by war.	false	1473.69	1483.81	16
580_126947_000018_000000	"Not that I would bid you be so unfeeling as to suffer them to injure your allies, and to refrain from unmasking their intrigues; but I do bid you not to take up arms at once, but to send and remonstrate with them in a tone not too suggestive of war, nor again too suggestive of submission, and to employ the interval in perfecting our own preparations.	"Not that I would bid you be so unfeeling as to suffer them to injure your allies, and to refrain from unmasking their intrigues; but I do bid you not to take up arms at once, but to send and remonstrate with them in a tone not too suggestive of war, nor again too suggestive of submission, and to employ the interval in perfecting our own preparations.	false	1485.14	1505.41	18
580_126947_000018_000001	The means will be, first, the acquisition of allies, Hellenic or barbarian it matters not, so long as they are an accession to our strength naval or pecuniary--I say Hellenic or barbarian, because the odium of such an accession to all who like us are the objects of the designs of the Athenians is taken away by the law of self-preservation--and secondly the development of our home resources. If they listen to our embassy, so much the better; but if not, after the lapse of two or three years our position will have become materially strengthened, and we can then attack them if we think proper.	The means will be, first, the acquisition of allies, Hellenic or barbarian it matters not, so long as they are an accession to our strength naval or pecuniary-I say Hellenic or barbarian, because the odium of such an accession to all who like us are the objects of the designs of the Athenians is taken away by the law of self preservation-and secondly the development of our home resources. If they listen to our embassy, so much the better; but if not, after the lapse of two or three years our position will have become materially strengthened, and we can then attack them if we think proper.	false	1506.44	1544.71	19.09477
580_126947_000018_000002	Perhaps by that time the sight of our preparations, backed by language equally significant, will have disposed them to submission, while their land is still untouched, and while their counsels may be directed to the retention of advantages as yet undestroyed.	Perhaps by that time the sight of our preparations, backed by language equally significant, will have disposed them to submission, while their land is still untouched, and while their counsels may be directed to the retention of advantages as yet undestroyed.	true	1545.23	1559.89	19.595121
580_126947_000018_000003	For the only light in which you can view their land is that of a hostage in your hands, a hostage the more valuable the better it is cultivated.	For the only light in which you can view their land is that of a hostage in your hands, a hostage the more valuable the better it is cultivated.	true	1560.5	1567.78	16
580_126947_000018_000004	This you ought to spare as long as possible, and not make them desperate, and so increase the difficulty of dealing with them.	This you ought to spare as long as possible, and not make them desperate, and so increase the difficulty of dealing with them.	true	1569.2	1575.88	22.328697
580_126947_000018_000005	For if while still unprepared, hurried away by the complaints of our allies, we are induced to lay it waste, have a care that we do not bring deep disgrace and deep perplexity upon Peloponnese.	For if while still unprepared, hurried away by the complaints of our allies, we are induced to lay it waste, have a care that we do not bring deep disgrace and deep perplexity upon Peloponnese.	true	1576.4	1587.73	21
580_126947_000018_000006	Complaints, whether of communities or individuals, it is possible to adjust; but war undertaken by a coalition for sectional interests, whose progress there is no means of foreseeing, does not easily admit of creditable settlement.	Complaints, whether of communities or individuals, it is possible to adjust; but war undertaken by a coalition for sectional interests, whose progress there is no means of foreseeing, does not easily admit of creditable settlement.	false	1588.52	1603.84	19
580_126947_000019_000000	"And none need think it cowardice for a number of confederates to pause before they attack a single city.	"And none need think it cowardice for a number of confederates to pause before they attack a single city.	true	1604.54	1609.84	17
580_126947_000019_000001	The Athenians have allies as numerous as our own, and allies that pay tribute, and war is a matter not so much of arms as of money, which makes arms of use.	The Athenians have allies as numerous as our own, and allies that pay tribute, and war is a matter not so much of arms as of money, which makes arms of use.	true	1611.02	1620.79	19.835098
580_126947_000019_000002	And this is more than ever true in a struggle between a continental and a maritime power.	And this is more than ever true in a struggle between a continental and a maritime power.	true	1621.49	1626.22	16
580_126947_000019_000003	First, then, let us provide money, and not allow ourselves to be carried away by the talk of our allies before we have done so: as we shall have the largest share of responsibility for the consequences be they good or bad, we have also a right to a tranquil inquiry respecting them.	First, then, let us provide money, and not allow ourselves to be carried away by the talk of our allies before we have done so: as we shall have the largest share of responsibility for the consequences be they good or bad, we have also a right to a tranquil inquiry respecting them.	false	1626.68	1642.33	18.693972
580_126947_000020_000000	"And the slowness and procrastination, the parts of our character that are most assailed by their criticism, need not make you blush.	"And the slowness and procrastination, the parts of our character that are most assailed by their criticism, need not make you blush.	true	1643.78	1651.18	20.69623
580_126947_000020_000001	If we undertake the war without preparation, we should by hastening its commencement only delay its conclusion: further, a free and a famous city has through all time been ours.	If we undertake the war without preparation, we should by hastening its commencement only delay its conclusion: further, a free and a famous city has through all time been ours.	true	1651.52	1662.16	19.093384
580_126947_000020_000002	The quality which they condemn is really nothing but a wise moderation; thanks to its possession, we alone do not become insolent in success and give way less than others in misfortune; we are not carried away by the pleasure of hearing ourselves cheered on to risks which our judgment condemns; nor, if annoyed, are we any the more convinced by attempts to exasperate us by accusation. We are both warlike and wise, and it is our sense of order that makes us so.	The quality which they condemn is really nothing but a wise moderation; thanks to its possession, we alone do not become insolent in success and give way less than others in misfortune; we are not carried away by the pleasure of hearing ourselves cheered on to risks which our judgment condemns; nor, if annoyed, are we any the more convinced by attempts to exasperate us by accusation. We are both warlike and wise, and it is our sense of order that makes us so.	true	1662.44	1692.43	19.778915
580_126947_000020_000003	We are warlike, because self-control contains honour as a chief constituent, and honour bravery.	We are warlike, because self control contains honour as a chief constituent, and honour bravery.	true	1692.95	1699.03	16
580_126947_000020_000004	And we are wise, because we are educated with too little learning to despise the laws, and with too severe a self-control to disobey them, and are brought up not to be too knowing in useless matters--such as the knowledge which can give a specious criticism of an enemy's plans in theory, but fails to assail them with equal success in practice--but are taught to consider that the schemes of our enemies are not dissimilar to our own, and that the freaks of chance are not determinable by calculation.	And we are wise, because we are educated with too little learning to despise the laws, and with too severe a self control to disobey them, and are brought up not to be too knowing in useless matters-such as the knowledge which can give a specious criticism of an enemy's plans in theory, but fails to assail them with equal success in practice-but are taught to consider that the schemes of our enemies are not dissimilar to our own, and that the freaks of chance are not determinable by calculation.	false	1699.13	1728.61	18.987068
580_126947_000020_000005	In practice we always base our preparations against an enemy on the assumption that his plans are good; indeed, it is right to rest our hopes not on a belief in his blunders, but on the soundness of our provisions.	In practice we always base our preparations against an enemy on the assumption that his plans are good; indeed, it is right to rest our hopes not on a belief in his blunders, but on the soundness of our provisions.	true	1728.98	1741.27	18
580_126947_000020_000006	Nor ought we to believe that there is much difference between man and man, but to think that the superiority lies with him who is reared in the severest school. These practices, then, which our ancestors have delivered to us, and by whose maintenance we have always profited, must not be given up.	Nor ought we to believe that there is much difference between man and man, but to think that the superiority lies with him who is reared in the severest school. These practices, then, which our ancestors have delivered to us, and by whose maintenance we have always profited, must not be given up.	true	1741.79	1759.45	19.97403
580_126947_000020_000007	And we must not be hurried into deciding in a day's brief space a question which concerns many lives and fortunes and many cities, and in which honour is deeply involved--but we must decide calmly.	And we must not be hurried into deciding in a day's brief space a question which concerns many lives and fortunes and many cities, and in which honour is deeply involved-but we must decide calmly.	false	1759.67	1772.2	19.829824
580_126947_000020_000008	This our strength peculiarly enables us to do.	This our strength peculiarly enables us to do.	false	1772.45	1775.86	20
580_126947_000020_000009	As for the Athenians, send to them on the matter of Potidaea, send on the matter of the alleged wrongs of the allies, particularly as they are prepared with legal satisfaction; and to proceed against one who offers arbitration as against a wrongdoer, law forbids.	As for the Athenians, send to them on the matter of Potidaea, send on the matter of the alleged wrongs of the allies, particularly as they are prepared with legal satisfaction; and to proceed against one who offers arbitration as against a wrongdoer, law forbids.	false	1777.01	1793.23	19
580_126947_000020_000010	Meanwhile do not omit preparation for war.	Meanwhile do not omit preparation for war.	false	1793.51	1796.89	19
580_126947_000020_000011	This decision will be the best for yourselves, the most terrible to your opponents."	This decision will be the best for yourselves, the most terrible to your opponents."	true	1797.17	1801.84	18.502047
580_126947_000021_000000	Such were the words of Archidamus.	Such were the words of Archidamus.	true	1803.05	1805.05	18.565886
580_126947_000021_000001	Last came forward Sthenelaidas, one of the ephors for that year, and spoke to the Lacedaemonians as follows:	Last came forward Sthenelaidas, one of the ephors for that year, and spoke to the Lacedaemonians as follows:	false	1805.21	1813.51	19.986296
580_126947_000022_000000	"The long speech of the Athenians I do not pretend to understand.	"The long speech of the Athenians I do not pretend to understand.	true	1816.19	1819.72	15
580_126947_000022_000001	They said a good deal in praise of themselves, but nowhere denied that they are injuring our allies and Peloponnese.	They said a good deal in praise of themselves, but nowhere denied that they are injuring our allies and Peloponnese.	true	1819.88	1825.36	15
580_126947_000022_000002	And yet if they behaved well against the Mede then, but ill towards us now, they deserve double punishment for having ceased to be good and for having become bad.	And yet if they behaved well against the Mede then, but ill towards us now, they deserve double punishment for having ceased to be good and for having become bad.	true	1825.82	1834.75	20
580_126947_000022_000003	We meanwhile are the same then and now, and shall not, if we are wise, disregard the wrongs of our allies, or put off till to-morrow the duty of assisting those who must suffer to-day.	We meanwhile are the same then and now, and shall not, if we are wise, disregard the wrongs of our allies, or put off till to morrow the duty of assisting those who must suffer to day.	true	1835.12	1847.26	19
580_126947_000022_000004	Others have much money and ships and horses, but we have good allies whom we must not give up to the Athenians, nor by lawsuits and words decide the matter, as it is anything but in word that we are harmed, but render instant and powerful help.	Others have much money and ships and horses, but we have good allies whom we must not give up to the Athenians, nor by lawsuits and words decide the matter, as it is anything but in word that we are harmed, but render instant and powerful help.	false	1848.56	1863.37	18.829445
580_126947_000022_000005	And let us not be told that it is fitting for us to deliberate under injustice; long deliberation is rather fitting for those who have injustice in contemplation.	And let us not be told that it is fitting for us to deliberate under injustice; long deliberation is rather fitting for those who have injustice in contemplation.	true	1863.53	1872.46	14
580_126947_000022_000006	Vote therefore, Lacedaemonians, for war, as the honour of Sparta demands, and neither allow the further aggrandizement of Athens, nor betray our allies to ruin, but with the gods let us advance against the aggressors."	Vote therefore, Lacedaemonians, for war, as the honour of Sparta demands, and neither allow the further aggrandizement of Athens, nor betray our allies to ruin, but with the gods let us advance against the aggressors."	false	1872.89	1886.23	18.676548
580_126947_000023_000000	With these words he, as ephor, himself put the question to the assembly of the Lacedaemonians.	With these words he, as ephor, himself put the question to the assembly of the Lacedaemonians.	false	1887.56	1894.23	21.004322
580_126947_000023_000001	He said that he could not determine which was the loudest acclamation (their mode of decision is by acclamation not by voting); the fact being that he wished to make them declare their opinion openly and thus to increase their ardour for war.	He said that he could not determine which was the loudest acclamation (their mode of decision is by acclamation not by voting); the fact being that he wished to make them declare their opinion openly and thus to increase their ardour for war.	true	1894.23	1907.38	18
580_126947_000023_000002	Accordingly he said: "All Lacedaemonians who are of opinion that the treaty has been broken, and that Athens is guilty, leave your seats and go there," pointing out a certain place; "all who are of the opposite opinion, there."	Accordingly he said: "All Lacedaemonians who are of opinion that the treaty has been broken, and that Athens is guilty, leave your seats and go there," pointing out a certain place; "all who are of the opposite opinion, there."	false	1907.66	1921.9	19.760498
580_126947_000023_000003	They accordingly stood up and divided; and those who held that the treaty had been broken were in a decided majority.	They accordingly stood up and divided; and those who held that the treaty had been broken were in a decided majority.	true	1922.63	1929.64	18.86659
580_126947_000023_000004	Summoning the allies, they told them that their opinion was that Athens had been guilty of injustice, but that they wished to convoke all the allies and put it to the vote; in order that they might make war, if they decided to do so, on a common resolution.	Summoning the allies, they told them that their opinion was that Athens had been guilty of injustice, but that they wished to convoke all the allies and put it to the vote; in order that they might make war, if they decided to do so, on a common resolution.	false	1930.01	1944.1	19
580_126947_000023_000005	Having thus gained their point, the delegates returned home at once; the Athenian envoys a little later, when they had dispatched the objects of their mission.	Having thus gained their point, the delegates returned home at once; the Athenian envoys a little later, when they had dispatched the objects of their mission.	true	1944.77	1954	18.897009
580_126947_000023_000006	This decision of the assembly, judging that the treaty had been broken, was made in the fourteenth year of the thirty years' truce, which was entered into after the affair of Euboea.	This decision of the assembly, judging that the treaty had been broken, was made in the fourteenth year of the thirty years' truce, which was entered into after the affair of Euboea.	true	1955.9	1966.27	20.905926
580_126947_000024_000000	The Lacedaemonians voted that the treaty had been broken, and that the war must be declared, not so much because they were persuaded by the arguments of the allies, as because they feared the growth of the power of the Athenians, seeing most of Hellas already subject to them.	The Lacedaemonians voted that the treaty had been broken, and that the war must be declared, not so much because they were persuaded by the arguments of the allies, as because they feared the growth of the power of the Athenians, seeing most of Hellas already subject to them.	false	1966.73	1981.65	18
580_126947_000025_000000	CHAPTER IV	CHAPTER four	false	1981.65	1981.68	-20
580_126947_000026_000000	_From the end of the Persian to the beginning of the Peloponnesian War--The Progress from Supremacy to Empire_	underscore From the end of the Persian to the beginning of the Peloponnesian War-The Progress from Supremacy to Empire underscore	false	1981.68	1982.25	4
580_126947_000027_000000	The way in which Athens came to be placed in the circumstances under which her power grew was this.	The way in which Athens came to be placed in the circumstances under which her power grew was this.	false	1982.25	1982.91	54
580_126947_000027_000001	After the Medes had returned from Europe, defeated by sea and land by the Hellenes, and after those of them who had fled with their ships to Mycale had been destroyed, Leotychides, king of the Lacedaemonians, the commander of the Hellenes at Mycale, departed home with the allies from Peloponnese.	After the Medes had returned from Europe, defeated by sea and land by the Hellenes, and after those of them who had fled with their ships to Mycale had been destroyed, Leotychides, king of the Lacedaemonians, the commander of the Hellenes at Mycale, departed home with the allies from Peloponnese.	false	1982.91	1984.56	17.797113
580_126947_000027_000002	But the Athenians and the allies from Ionia and Hellespont, who had now revolted from the King, remained and laid siege to Sestos, which was still held by the Medes.	But the Athenians and the allies from Ionia and Hellespont, who had now revolted from the King, remained and laid siege to Sestos, which was still held by the Medes.	false	1984.56	1985.64	-9
580_126947_000027_000003	After wintering before it, they became masters of the place on its evacuation by the barbarians; and after this they sailed away from Hellespont to their respective cities.	After wintering before it, they became masters of the place on its evacuation by the barbarians; and after this they sailed away from Hellespont to their respective cities.	false	1985.64	1986.69	-20
580_126947_000027_000004	Meanwhile the Athenian people, after the departure of the barbarian from their country, at once proceeded to carry over their children and wives, and such property as they had left, from the places where they had deposited them, and prepared to rebuild their city and their walls.	Meanwhile the Athenian people, after the departure of the barbarian from their country, at once proceeded to carry over their children and wives, and such property as they had left, from the places where they had deposited them, and prepared to rebuild their city and their walls.	false	1986.69	1988.4	-4
580_126947_000027_000005	For only isolated portions of the circumference had been left standing, and most of the houses were in ruins; though a few remained, in which the Persian grandees had taken up their quarters.	For only isolated portions of the circumference had been left standing, and most of the houses were in ruins; though a few remained, in which the Persian grandees had taken up their quarters.	false	1988.4	1989.63	-3
