6782_61316_000000_000000	Ancient Babylonia was for over four thousand years the garden of Western Asia.	Ancient Babylonia was for over four thousand years the garden of Western Asia.	true	23.43	27.88	21
6782_61316_000014_000001	"In Ya-Daganu, 'Jah is Dagon'", writes Professor Pinches, "we have the elements reversed, showing a wish to identify Jah with Dagon, rather than Dagon with Jah; whilst another interesting name, Au-Aa, shows an identification of Jah with Aa, two names which have every appearance of being etymologically connected." Jah's name "is one of the words for 'god' in the Assyro-Babylonian language".[38]	"In Ya Daganu, 'Jah is Dagon'", writes Professor Pinches, "we have the elements reversed, showing a wish to identify Jah with Dagon, rather than Dagon with Jah; whilst another interesting name, Au Aa, shows an identification of Jah with Aa, two names which have every appearance of being etymologically connected." Jah's name "is one of the words for 'god' in the Assyro Babylonian language".[thirty eight]	false	1074.56	1103.07	23.241772
6782_61316_000015_000000	Ea was "Enki", "lord of the world", or "lord of what is beneath"; Amma-ana-ki, "lord of heaven and earth"; Sa-kalama, "ruler of the land", as well as Engur, "god of the abyss", Naqbu, "the deep", and Lugal-ida, "king of the river".	Ea was "Enki", "lord of the world", or "lord of what is beneath"; Amma ana ki, "lord of heaven and earth"; Sa kalama, "ruler of the land", as well as Engur, "god of the abyss", Naqbu, "the deep", and Lugal ida, "king of the river".	false	1103.07	1120.48	24.851564
6782_61316_000015_000001	As rain fell from "the waters above the firmament", the god of waters was also a sky and earth god.	As rain fell from "the waters above the firmament", the god of waters was also a sky and earth god.	true	1120.79	1127.23	23.544703
6782_61316_000016_000000	The Indian Varuna was similarly a sky as well as an ocean god before the theorizing and systematizing Brahmanic teachers relegated him to a permanent abode at the bottom of the sea.	The Indian Varuna was similarly a sky as well as an ocean god before the theorizing and systematizing Brahmanic teachers relegated him to a permanent abode at the bottom of the sea.	true	1127.84	1139.47	21
6782_61316_000016_000001	It may be that Ea-Oannes and Varuna were of common origin.	It may be that Ea Oannes and Varuna were of common origin.	false	1139.54	1143.64	20
6782_61316_000017_000000	Another Babylonian deity, named Dagan, is believed to be identical with Ea.	Another Babylonian deity, named Dagan, is believed to be identical with Ea.	false	1144.13	1149.42	27.268518
6782_61316_000017_000001	His worship was certainly of great antiquity.	His worship was certainly of great antiquity.	true	1149.42	1151.92	24
6782_61316_000017_000002	"Hammurabi", writes Professor Pinches, "seems to speak of the Euphrates as being 'the boundary of Dagan', whom he calls his creator.	"Hammurabi", writes Professor Pinches, "seems to speak of the Euphrates as being 'the boundary of Dagan', whom he calls his creator.	false	1152.08	1160.32	27.09914
6782_61316_000017_000003	In later inscriptions the form Daguna, which approaches nearer to the West Semitic form (Dagon of the Philistines), is found in a few personal names.[39]	In later inscriptions the form Daguna, which approaches nearer to the West Semitic form (Dagon of the Philistines), is found in a few personal names.[thirty nine]	false	1161.14	1171.86	24.418955
6782_61316_000018_000000	It is possible that the Philistine deity Dagon was a specialized form of ancient Ea, who was either imported from Babylonia or was a sea god of more than one branch of the Mediterranean race.	It is possible that the Philistine deity Dagon was a specialized form of ancient Ea, who was either imported from Babylonia or was a sea god of more than one branch of the Mediterranean race.	false	1171.86	1184.02	21
6782_61316_000018_000001	The authorities are at variance regarding the form and attributes of Dagan.	The authorities are at variance regarding the form and attributes of Dagan.	false	1184.48	1189.2	24.683668
6782_61316_000018_000002	Our knowledge regarding him is derived mainly from the Bible.	Our knowledge regarding him is derived mainly from the Bible.	true	1189.2	1192.18	20
6782_61316_000018_000003	He was a national rather than a city god.	He was a national rather than a city god.	true	1192.46	1195.12	22.485115
6782_61316_000018_000004	There are references to a Beth-dagon[40], "house or city of Dagon"; he had also a temple at Gaza, and Samson destroyed it by pulling down the two middle pillars which were its main support.[41] A third temple was situated in Ashdod.	There are references to a Beth dagon[forty], "house or city of Dagon"; he had also a temple at Gaza, and Samson destroyed it by pulling down the two middle pillars which were its main support.[forty one] A third temple was situated in Ashdod.	false	1195.25	1209.1	26.48574
6782_61316_000018_000005	When the captured ark of the Israelites was placed in it the image of Dagon "fell on his face", with the result that "the head of Dagon and both the palms of his hands were cut off upon the threshold; only the stump of Dagon was left".[42] A further reference to "the threshold of Dagon" suggests that the god had feet like Ea-Oannes.	When the captured ark of the Israelites was placed in it the image of Dagon "fell on his face", with the result that "the head of Dagon and both the palms of his hands were cut off upon the threshold; only the stump of Dagon was left".[forty two] A further reference to "the threshold of Dagon" suggests that the god had feet like Ea Oannes.	false	1209.47	1229.88	23.746397
6782_61316_000018_000006	Those who hold that Dagon had a fish form derive his name from the Semitic "dag = a fish", and suggest that after the idol fell only the fishy part (dago) was left.	Those who hold that Dagon had a fish form derive his name from the Semitic "dag equals a fish", and suggest that after the idol fell only the fishy part (dago) was left.	false	1229.88	1240.84	26.15662
6782_61316_000018_000007	On the other hand, it was argued that Dagon was a corn god, and that the resemblance between the words Dagan and Dagon are accidental.	On the other hand, it was argued that Dagon was a corn god, and that the resemblance between the words Dagan and Dagon are accidental.	false	1241.3	1250.47	24.364426
6782_61316_000018_000008	Professor Sayce makes reference in this connection to a crystal seal from Phoenicia in the Ashmolean Museum, Oxford, bearing an inscription which he reads as Baal-dagon.	Professor Sayce makes reference in this connection to a crystal seal from Phoenicia in the Ashmolean Museum, Oxford, bearing an inscription which he reads as Baal dagon.	false	1250.72	1260.82	20
6782_61316_000018_000009	Near the name is an ear of corn, and other symbols, such as the winged solar disc, a gazelle, and several stars, but there is no fish.	Near the name is an ear of corn, and other symbols, such as the winged solar disc, a gazelle, and several stars, but there is no fish.	true	1261.34	1269.07	20
6782_61316_000018_000010	It may be, of course, that Baal-dagon represents a fusion of deities.	It may be, of course, that Baal dagon represents a fusion of deities.	true	1269.41	1273.84	26.512785
6782_61316_000018_000011	As we have seen in the case of Ea-Oannes and the deities of Mendes, a fish god may also be a corn god, a land animal god and a god of ocean and the sky.	As we have seen in the case of Ea Oannes and the deities of Mendes, a fish god may also be a corn god, a land animal god and a god of ocean and the sky.	false	1274.42	1284.52	20
6782_61316_000018_000012	The offering of golden mice representing "your mice that mar the land",[43] made by the Philistines, suggests that Dagon was the fertilizing harvest god, among other things, whose usefulness had been impaired, as they believed, by the mistake committed of placing the ark of Israel in the temple at Ashdod.	The offering of golden mice representing "your mice that mar the land",[forty three] made by the Philistines, suggests that Dagon was the fertilizing harvest god, among other things, whose usefulness had been impaired, as they believed, by the mistake committed of placing the ark of Israel in the temple at Ashdod.	false	1285.34	1303.21	22
6782_61316_000018_000013	The Philistines came from Crete, and if their Dagon was imported from that island, he may have had some connection with Poseidon, whose worship extended throughout Greece.	The Philistines came from Crete, and if their Dagon was imported from that island, he may have had some connection with Poseidon, whose worship extended throughout Greece.	true	1303.67	1313.53	23
6782_61316_000018_000014	This god of the sea, who is somewhat like the Roman Neptune, carried a lightning trident and caused earthquakes.	This god of the sea, who is somewhat like the Roman Neptune, carried a lightning trident and caused earthquakes.	true	1313.84	1320.04	25
6782_61316_000018_000015	He was a brother of Zeus, the sky and atmosphere deity, and had bull and horse forms.	He was a brother of Zeus, the sky and atmosphere deity, and had bull and horse forms.	true	1320.35	1325.74	23
6782_61316_000018_000016	As a horse he pursued Demeter, the earth and corn goddess, and, like Ea, he instructed mankind, but especially in the art of training horses.	As a horse he pursued Demeter, the earth and corn goddess, and, like Ea, he instructed mankind, but especially in the art of training horses.	false	1326.35	1335.52	24.10318
6782_61316_000018_000017	In his train were the Tritons, half men, half fishes, and the water fairies, the Nereids.	In his train were the Tritons, half men, half fishes, and the water fairies, the Nereids.	true	1336.13	1342	23.342781
6782_61316_000018_000018	Bulls, boars, and rams were offered to this sea god of fertility.	Bulls, boars, and rams were offered to this sea god of fertility.	false	1342.37	1346.16	21.483934
6782_61316_000018_000019	Amphitrite was his spouse.	Amphitrite was his spouse.	false	1346.16	1348.47	18.980091
6782_61316_000019_000000	An obscure god Shony, the Oannes of the Scottish Hebrides, received oblations from those who depended for their agricultural prosperity on his gifts of fertilizing seaweed.	An obscure god Shony, the Oannes of the Scottish Hebrides, received oblations from those who depended for their agricultural prosperity on his gifts of fertilizing seaweed.	false	1348.47	1359.37	23.897642
6782_61316_000019_000001	He is referred to in Martin's _Western Isles_, and is not yet forgotten.	He is referred to in Martin's underscore Western Isles underscore, and is not yet forgotten.	false	1359.53	1363.87	27
6782_61316_000019_000002	The Eddic sea god Njord of Noatun was the father of Frey, the harvest god.	The Eddic sea god n jord of Noatun was the father of Frey, the harvest god.	false	1364.45	1369.54	25.979898
6782_61316_000019_000003	Dagda, the Irish corn god, had for wife Boann, the goddess of the river Boyne.	Dagda, the Irish corn god, had for wife Boann, the goddess of the river Boyne.	false	1369.82	1375.86	26.04557
6782_61316_000019_000004	Osiris and Isis of Egypt were associated with the Nile.	Osiris and Isis of Egypt were associated with the Nile.	true	1375.86	1379.32	21
6782_61316_000019_000005	The connection between agriculture and the water supply was too obvious to escape the early symbolists, and many other proofs of this than those referred to could be given.	The connection between agriculture and the water supply was too obvious to escape the early symbolists, and many other proofs of this than those referred to could be given.	true	1379.81	1389.57	20
6782_61316_000020_000000	Ea's "faithful spouse" was the goddess Damkina, who was also called Nin-ki, "lady of the earth".	Ea's "faithful spouse" was the goddess Damkina, who was also called Nin ki, "lady of the earth".	false	1389.57	1396.63	25.694054
6782_61316_000020_000001	"May Ea make thee glad", chanted the priests.	"May Ea make thee glad", chanted the priests.	false	1396.79	1399.57	28.62407
6782_61316_000020_000002	"May Damkina, queen of the deep, illumine thee with her countenance; may Merodach (Marduk), the mighty overseer of the Igigi (heavenly spirits), exalt thy head." Merodach was their son: in time he became the Bel, or "Lord", of the Babylonian pantheon.	"May Damkina, queen of the deep, illumine thee with her countenance; may Merodach (Marduk), the mighty overseer of the Igigi (heavenly spirits), exalt thy head." Merodach was their son: in time he became the Bel, or "Lord", of the Babylonian pantheon.	false	1400.27	1416.82	27.56403
6782_61316_000021_000000	Like the Indian Varuna, the sea god, Ea-Oannes had control over the spirits and demons of the deep.	Like the Indian Varuna, the sea god, Ea Oannes had control over the spirits and demons of the deep.	false	1417.13	1423.31	24.940924
6782_61316_000021_000001	The "ferryman" who kept watch over the river of death was called Arad-Ea, "servant of Ea".	The "ferryman" who kept watch over the river of death was called Arad Ea, "servant of Ea".	false	1423.31	1429.02	24.975988
6782_61316_000021_000002	There are also references to sea maidens, the Babylonian mermaids, or Nereids.	There are also references to sea maidens, the Babylonian mermaids, or Nereids.	true	1429.02	1433.68	19
6782_61316_000021_000003	We have a glimpse of sea giants, which resemble the Indian Danavas and Daityas of ocean, in the chant:	We have a glimpse of sea giants, which resemble the Indian Danavas and Daityas of ocean, in the chant:	false	1434.17	1440.52	18
6782_61316_000022_000000	Seven are they, seven are they, In the ocean deep seven are they, Battening in heaven seven are they, Bred in the depths of ocean.... Of these seven the first is the south wind, The second a dragon with mouth agape....[44]	Seven are they, seven are they, In the ocean deep seven are they, Battening in heaven seven are they, Bred in the depths of ocean.... Of these seven the first is the south wind, The second a dragon with mouth agape....[forty four]	false	1440.77	1454.38	22.92592
6782_61316_000023_000000	A suggestion of the Vedic Vritra and his horde of monsters.	A suggestion of the Vedic Vritra and his horde of monsters.	true	1454.38	1457.74	23
6782_61316_000024_000000	These seven demons were also "the messengers of Anu", who, although specialized as a sky god in more than one pantheon, appears to have been closely associated with Ea in the earliest Sumerian period.	These seven demons were also "the messengers of Anu", who, although specialized as a sky god in more than one pantheon, appears to have been closely associated with Ea in the earliest Sumerian period.	false	1457.9	1469.71	21
6782_61316_000024_000001	His name, signifying "the high one", is derived from "ana", "heaven"; he was the city god of Erech (Uruk).	His name, signifying "the high one", is derived from "ana", "heaven"; he was the city god of Erech (Uruk).	false	1470.08	1478.35	23.696583
6782_61316_000024_000002	It is possible that he was developed as an atmospheric god with solar and lunar attributes.	It is possible that he was developed as an atmospheric god with solar and lunar attributes.	true	1478.54	1483.9	24
6782_61316_000024_000003	The seven demons, who were his messengers, recall the stormy Maruts, the followers of Indra.	The seven demons, who were his messengers, recall the stormy Maruts, the followers of Indra.	true	1484.12	1490.11	24.730959
6782_61316_000024_000004	They are referred to as	They are referred to as	true	1490.15	1491.76	23.480352
6782_61316_000025_000000	Forcing their way with baneful windstorms, Mighty destroyers, the deluge of the storm god, Stalking at the right hand of the storm god.[45]	Forcing their way with baneful windstorms, Mighty destroyers, the deluge of the storm god, Stalking at the right hand of the storm god.[forty five]	false	1492.01	1500.93	24.071062
6782_61316_000026_000000	When we deal with a deity in his most archaic form it is difficult to distinguish him from a demon.	When we deal with a deity in his most archaic form it is difficult to distinguish him from a demon.	false	1500.93	1506.82	26.661253
6782_61316_000026_000001	Even the beneficent Ea is associated with monsters and furies.	Even the beneficent Ea is associated with monsters and furies.	false	1507.07	1511.26	21
6782_61316_000026_000002	"Evil spirits", according to a Babylonian chant, were "the bitter venom of the gods".	"Evil spirits", according to a Babylonian chant, were "the bitter venom of the gods".	true	1511.6	1516.57	27.265453
6782_61316_000026_000003	Those attached to a deity as "attendants" appear to represent the original animistic group from which he evolved.	Those attached to a deity as "attendants" appear to represent the original animistic group from which he evolved.	true	1517.09	1523.5	26
6782_61316_000026_000004	In each district the character of the deity was shaped to accord with local conditions.	In each district the character of the deity was shaped to accord with local conditions.	false	1524.26	1528.99	26.807455
6782_61316_000027_000000	At Nippur, which was situated on the vague and shifting boundary line between Sumer and Akkad, the chief god was Enlil, whose name is translated "lord of mist", "lord of might", and "lord of demons" by various authorities.	At Nippur, which was situated on the vague and shifting boundary line between Sumer and Akkad, the chief god was Enlil, whose name is translated "lord of mist", "lord of might", and "lord of demons" by various authorities.	false	1529.09	1542.61	24.623142
6782_61316_000027_000001	He was a storm god and a war god, and "lord of heaven and earth ", like Ea and Anu.	He was a storm god and a war god, and "lord of heaven and earth ", like Ea and Anu.	false	1542.8	1548.46	22.612883
6782_61316_000027_000002	An atmospheric deity, he shares the attributes of the Indian Indra, the thunder and rain god, and Vayu, the wind god; he also resembles the Semitic Adad or Rimman, who links with the Hittite Tarku.	An atmospheric deity, he shares the attributes of the Indian Indra, the thunder and rain god, and Vayu, the wind god; he also resembles the Semitic Adad or Rimman, who links with the Hittite Tarku.	false	1549.04	1562.8	24.878092
6782_61316_000027_000003	All these are deities of tempest and the mountains--Wild Huntsmen in the Raging Host.	All these are deities of tempest and the mountains-Wild Huntsmen in the Raging Host.	false	1563.14	1568.26	26.530487
6782_61316_000027_000004	The name of Enlil's temple at Nippur has been translated as "mountain house", or "like a mountain", and the theory obtained for a time that the god must therefore have been imported by a people from the hills.	The name of Enlil's temple at Nippur has been translated as "mountain house", or "like a mountain", and the theory obtained for a time that the god must therefore have been imported by a people from the hills.	false	1569.14	1580.35	24
6782_61316_000027_000005	But as the ideogram for "mountain" and "land" was used in the earliest times, as King shows, with reference to foreign countries,[46] it is more probable that Enlil was exalted as a world god who had dominion over not only Sumer and Akkad, but also the territories occupied by the rivals and enemies of the early Babylonians.	But as the ideogram for "mountain" and "land" was used in the earliest times, as King shows, with reference to foreign countries,[forty six] it is more probable that Enlil was exalted as a world god who had dominion over not only Sumer and Akkad, but also the territories occupied by the rivals and enemies of the early Babylonians.	false	1580.66	1598.35	20
6782_61316_000028_000000	Enlil is known as the "older Bel" (lord), to distinguish him from Bel Merodach of Babylon.	Enlil is known as the "older Bel" (lord), to distinguish him from Bel Merodach of Babylon.	false	1599.08	1605.13	23
6782_61316_000028_000001	He was the chief figure in a triad in which he figured as earth god, with Anu as god of the sky and Ea as god of the deep.	He was the chief figure in a triad in which he figured as earth god, with Anu as god of the sky and Ea as god of the deep.	false	1605.59	1613.92	24.273546
6782_61316_000028_000002	This classification suggests that Nippur had either risen in political importance and dominated the cities of Erech and Eridu, or that its priests were influential at the court of a ruler who was the overlord of several city states.	This classification suggests that Nippur had either risen in political importance and dominated the cities of Erech and Eridu, or that its priests were influential at the court of a ruler who was the overlord of several city states.	false	1613.99	1627.99	24
6782_61316_000029_000000	Associated with Bel Enlil was Beltis, later known as "Beltu--the lady".	Associated with Bel Enlil was Beltis, later known as "Beltu-the lady".	true	1628.6	1633.93	23.022232
6782_61316_000029_000001	She appears to be identical with the other great goddesses, Ishtar, Nana, Zerpanitu^m, &c., a "Great Mother", or consort of an early god with whom she was equal in power and dignity.	She appears to be identical with the other great goddesses, Ishtar, Nana, Zerpanitu caret m, and c., a "Great Mother", or consort of an early god with whom she was equal in power and dignity.	false	1634.15	1645.81	28.378803
6782_61316_000030_000000	In the later systematized theology of the Babylonians we seem to trace the fragments of a primitive mythology which was vague in outline, for the deities were not sharply defined, and existed in groups.	In the later systematized theology of the Babylonians we seem to trace the fragments of a primitive mythology which was vague in outline, for the deities were not sharply defined, and existed in groups.	true	1646.39	1658.59	24
6782_61316_000030_000001	Enneads were formed in Egypt by placing a local god at the head of a group of eight elder deities.	Enneads were formed in Egypt by placing a local god at the head of a group of eight elder deities.	true	1659.02	1664.77	26.670725
6782_61316_000030_000002	The sun god Ra was the chief figure of the earliest pantheon of this character at Heliopolis, while at Hermopolis the leader was the lunar god Thoth.	The sun god Ra was the chief figure of the earliest pantheon of this character at Heliopolis, while at Hermopolis the leader was the lunar god Thoth.	false	1665.32	1675.02	23.909058
6782_61316_000030_000003	Professor Budge is of opinion that "both the Sumerians and the early Egyptians derived their primeval gods from some common but exceedingly ancient source", for he finds in the Babylonian and Nile valleys that there is a resemblance between two early groups which "seems to be too close to be accidental".[47]	Professor Budge is of opinion that "both the Sumerians and the early Egyptians derived their primeval gods from some common but exceedingly ancient source", for he finds in the Babylonian and Nile valleys that there is a resemblance between two early groups which "seems to be too close to be accidental".[forty seven]	false	1675.02	1694.34	25.493994
6782_61316_000031_000000	The Egyptian group comprises four pairs of vague gods and goddesses--Nu and his consort Nut, Hehu and his consort Hehut, Kekui and his consort Kekuit, and Kerh and his consort Kerhet.	The Egyptian group comprises four pairs of vague gods and goddesses-Nu and his consort Nut, Hehu and his consort Hehut, Kekui and his consort Kekuit, and Kerh and his consort Kerhet.	false	1694.34	1708.12	24.37058
6782_61316_000031_000001	"Man always has fashioned", he says, "and probably always will fashion, his god or gods in his own image, and he has always, having reached a certain stage in development, given to his gods wives and offspring; but the nature of the position taken by the wives of the gods depends upon the nature of the position of women in the households of those who write the legends and the traditions of the gods.	"Man always has fashioned", he says, "and probably always will fashion, his god or gods in his own image, and he has always, having reached a certain stage in development, given to his gods wives and offspring; but the nature of the position taken by the wives of the gods depends upon the nature of the position of women in the households of those who write the legends and the traditions of the gods.	true	1708.28	1731.25	24.366425
6782_61316_000031_000002	The gods of the oldest company in Egypt were, the writer believes, invented by people in whose households women held a high position, and among whom they possessed more power than is usually the case with Oriental peoples."[48]	The gods of the oldest company in Egypt were, the writer believes, invented by people in whose households women held a high position, and among whom they possessed more power than is usually the case with Oriental peoples."[forty eight]	false	1731.47	1744.71	23
6782_61316_000032_000000	We cannot say definitely what these various deities represent.	We cannot say definitely what these various deities represent.	true	1744.71	1748.59	29.787403
6782_61316_000032_000001	Nu was the spirit of the primordial deep, and Nut of the waters above the heavens, the mother of moon and sun and the stars.	Nu was the spirit of the primordial deep, and Nut of the waters above the heavens, the mother of moon and sun and the stars.	false	1749.05	1756.36	26.53518
6782_61316_000032_000002	The others were phases of light and darkness and the forces of nature in activity and repose.	The others were phases of light and darkness and the forces of nature in activity and repose.	true	1756.88	1762.3	22
6782_61316_000033_000000	Nu is represented in Babylonian mythology by Apsu-Rishtu, and Nut by Mummu-Tiamat or Tiawath; the next pair is Lachmu and Lachamu, and the third, Anshar and Kishar.	Nu is represented in Babylonian mythology by a p s u Rishtu, and Nut by Mummu Tiamat or Tiawath; the next pair is Lachmu and Lachamu, and the third, Anshar and Kishar.	false	1762.67	1776.25	26.905342
6782_61316_000033_000001	The fourth pair is missing, but the names of Anu and Ea (as Nudimmud) are mentioned in the first tablet of the Creation series, and the name of a third is lost.	The fourth pair is missing, but the names of Anu and Ea (as Nudimmud) are mentioned in the first tablet of the Creation series, and the name of a third is lost.	false	1777.01	1787.2	23.882656
6782_61316_000033_000002	Professor Budge thinks that the Assyrian editors substituted the ancient triad of Anu, Ea, and Enlil for the pair which would correspond to those found in Egypt.	Professor Budge thinks that the Assyrian editors substituted the ancient triad of Anu, Ea, and Enlil for the pair which would correspond to those found in Egypt.	false	1787.51	1797.52	24.819485
6782_61316_000033_000003	Originally the wives of Anu and Ea may have made up the group of eight primitive deities.	Originally the wives of Anu and Ea may have made up the group of eight primitive deities.	false	1797.77	1803.34	25.793917
6782_61316_000034_000000	There can be little doubt but that Ea, as he survives to us, is of later characterization than the first pair of primitive deities who symbolized the deep.	There can be little doubt but that Ea, as he survives to us, is of later characterization than the first pair of primitive deities who symbolized the deep.	false	1803.74	1813.12	26.466764
6782_61316_000034_000001	The attributes of this beneficent god reflect the progress, and the social and moral ideals of a people well advanced in civilization.	The attributes of this beneficent god reflect the progress, and the social and moral ideals of a people well advanced in civilization.	true	1813.19	1820.59	24.635292
6782_61316_000034_000002	He rewarded mankind for the services they rendered to him; he was their leader and instructor; he achieved for them the victories over the destructive forces of nature.	He rewarded mankind for the services they rendered to him; he was their leader and instructor; he achieved for them the victories over the destructive forces of nature.	true	1821.11	1830.49	23.82357
6782_61316_000034_000003	In brief, he was the dragon slayer, a distinction, by the way, which was attached in later times to his son Merodach, the Babylonian god, although Ea was still credited with the victory over the dragon's husband.	In brief, he was the dragon slayer, a distinction, by the way, which was attached in later times to his son Merodach, the Babylonian god, although Ea was still credited with the victory over the dragon's husband.	false	1830.68	1842.82	25
6782_61316_000035_000000	When Ea was one of the pre-Babylonian group--the triad of Bel-Enlil, Anu, and Ea--he resembled the Indian Vishnu, the Preserver, while Bel-Enlil resembled Shiva, the Destroyer, and Anu, the father, supreme Brahma, the Creator and Father of All, the difference in exact adjustment being due, perhaps, to Sumerian political conditions.	When Ea was one of the pre Babylonian group-the triad of Bel Enlil, Anu, and Ea-he resembled the Indian Vishnu, the Preserver, while Bel Enlil resembled Shiva, the Destroyer, and Anu, the father, supreme Brahma, the Creator and Father of All, the difference in exact adjustment being due, perhaps, to Sumerian political conditions.	false	1843.04	1864.29	25.852654
6782_61316_000036_000000	Ea, as we have seen, symbolized the beneficence of the waters; their destructive force was represented by Tiamat or Tiawath, the dragon, and Apsu, her husband, the arch-enemy of the gods.	Ea, as we have seen, symbolized the beneficence of the waters; their destructive force was represented by Tiamat or Tiawath, the dragon, and a p s u, her husband, the arch enemy of the gods.	false	1864.29	1877.56	25.381556
6782_61316_000036_000001	We shall find these elder demons figuring in the Babylonian Creation myth, which receives treatment in a later chapter.	We shall find these elder demons figuring in the Babylonian Creation myth, which receives treatment in a later chapter.	true	1878.08	1884.58	23
6782_61316_000037_000000	The ancient Sumerian city of Eridu, which means "on the seashore", was invested with great sanctity from the earliest times, and Ea, the "great magician of the gods", was invoked by workers of spells, the priestly magicians of historic Babylonia.	The ancient Sumerian city of Eridu, which means "on the seashore", was invested with great sanctity from the earliest times, and Ea, the "great magician of the gods", was invoked by workers of spells, the priestly magicians of historic Babylonia.	false	1884.86	1900.42	24.282364
6782_61316_000037_000001	Excavations have shown that Eridu was protected by a retaining wall of sandstone, of which material many of its houses were made.	Excavations have shown that Eridu was protected by a retaining wall of sandstone, of which material many of its houses were made.	false	1901	1908.49	22
6782_61316_000037_000002	In its temple tower, built of brick, was a marble stairway, and evidences have been forthcoming that in the later Sumerian period the structure was lavishly adorned.	In its temple tower, built of brick, was a marble stairway, and evidences have been forthcoming that in the later Sumerian period the structure was lavishly adorned.	true	1908.92	1918.66	24
6782_61316_000037_000003	It is referred to in the fragments of early literature which have survived as "the splendid house, shady as the forest", that "none may enter". The mythological spell exercised by Eridu in later times suggests that the civilization of Sumeria owed much to the worshippers of Ea.	It is referred to in the fragments of early literature which have survived as "the splendid house, shady as the forest", that "none may enter". The mythological spell exercised by Eridu in later times suggests that the civilization of Sumeria owed much to the worshippers of Ea.	false	1918.85	1937.34	23.925884
6782_61316_000037_000004	At the sacred city the first man was created: there the souls of the dead passed towards the great Deep.	At the sacred city the first man was created: there the souls of the dead passed towards the great Deep.	true	1937.34	1943.77	26.339926
6782_61316_000037_000005	Its proximity to the sea--Ea was Nin-bubu, "god of the sailor"--may have brought it into contact with other peoples and other early civilizations.	Its proximity to the sea-Ea was Nin bubu, "god of the sailor"--may have brought it into contact with other peoples and other early civilizations.	false	1943.93	1953.94	23.42571
6782_61316_000037_000006	Like the early Egyptians, the early Sumerians may have been in touch with Punt (Somaliland), which some regard as the cradle of the Mediterranean race.	Like the early Egyptians, the early Sumerians may have been in touch with Punt (Somaliland), which some regard as the cradle of the Mediterranean race.	false	1954.67	1963.99	23.432762
6782_61316_000037_000007	The Egyptians obtained from that sacred land incense-bearing trees which had magical potency.	The Egyptians obtained from that sacred land incense bearing trees which had magical potency.	true	1964.39	1969.96	24
6782_61316_000037_000008	In a fragmentary Babylonian charm there is a reference to a sacred tree or bush at Eridu.	In a fragmentary Babylonian charm there is a reference to a sacred tree or bush at Eridu.	true	1970.51	1976.05	21
6782_61316_000037_000009	Professor Sayce has suggested that it is the Biblical "Tree of Life" in the Garden of Eden.	Professor Sayce has suggested that it is the Biblical "Tree of Life" in the Garden of Eden.	true	1976.42	1981.87	26.905806
6782_61316_000037_000010	His translations of certain vital words, however, is sharply questioned by Mr. R. Campbell Thompson of the British Museum, who does not accept the theory.[49] It may be that Ea's sacred bush or tree is a survival of tree and water worship.	His translations of certain vital words, however, is sharply questioned by mr r Campbell Thompson of the British Museum, who does not accept the theory.[forty nine] It may be that Ea's sacred bush or tree is a survival of tree and water worship.	false	1982.27	1996.12	25.225485
6782_61316_000038_000000	If Eridu was not the "cradle" of the Sumerian race, it was possibly the cradle of Sumerian civilization.	If Eridu was not the "cradle" of the Sumerian race, it was possibly the cradle of Sumerian civilization.	true	1996.34	2002.93	20.969496
6782_61316_000038_000001	Here, amidst the shifting rivers in early times, the agriculturists may have learned to control and distribute the water supply by utilizing dried-up beds of streams to irrigate the land.	Here, amidst the shifting rivers in early times, the agriculturists may have learned to control and distribute the water supply by utilizing dried up beds of streams to irrigate the land.	true	2003.33	2014.87	22
6782_61316_000038_000002	Whatever successes they achieved were credited to Ea, their instructor and patron; he was Nadimmud, "god of everything".	Whatever successes they achieved were credited to Ea, their instructor and patron; he was Nadimmud, "god of everything".	false	2015.15	2022.9	25.917194
6782_61316_000039_000000	CHAPTER III.	CHAPTER three.	false	2022.9	2023.02	9
6782_61316_000040_000000	RIVAL PANTHEONS AND REPRESENTATIVE DEITIES	RIVAL PANTHEONS AND REPRESENTATIVE DEITIES	false	2023.02	2023.32	13
