3927_6556_000000_000000	Night camp R. 2.	Night camp r two.	false	71.205	79.35	21.4066
3927_6556_000017_000002	The sledge tracks were very easy to follow to-day; they are becoming more and more raised, giving a good line shadow often visible half a mile ahead.	The sledge tracks were very easy to follow to day; they are becoming more and more raised, giving a good line shadow often visible half a mile ahead.	true	1034.87	1042.78	16
3927_6556_000017_000003	If this goes on and the weather holds we shall get our depot without trouble.	If this goes on and the weather holds we shall get our depot without trouble.	true	1043.06	1047.4	18.29321
3927_6556_000017_000004	I shall indeed be glad to get it on the sledge.	I shall indeed be glad to get it on the sledge.	true	1047.86	1050.66	19
3927_6556_000017_000005	We are getting more hungry, there is no doubt.	We are getting more hungry, there is no doubt.	true	1050.66	1053.31	18.543533
3927_6556_000017_000006	The lunch meal is beginning to seem inadequate.	The lunch meal is beginning to seem inadequate.	true	1053.56	1055.89	19.054548
3927_6556_000017_000007	We are pretty thin, especially Evans, but none of us are feeling worked out.	We are pretty thin, especially Evans, but none of us are feeling worked out.	true	1055.93	1060.69	20.336948
3927_6556_000017_000008	I doubt if we could drag heavy loads, but we can keep going well with our light one.	I doubt if we could drag heavy loads, but we can keep going well with our light one.	true	1061.21	1065.73	17.714357
3927_6556_000017_000009	We talk of food a good deal more, and shall be glad to open out on it.	We talk of food a good deal more, and shall be glad to open out on it.	true	1065.83	1069.95	17
3927_6556_000018_000000	_Monday, January_ 29.--R. 12.	underscore Monday, January underscore twenty nine.--R. twelve.	false	1069.95	1075.09	20.954275
3927_6556_000018_000001	Lunch Temp.	Lunch Temp.	false	1075.67	1076.85	31.991053
3927_6556_000018_000002	-23 deg.. Supper Temp.	minus twenty three d e g.. Supper Temp.	false	1076.85	1079.73	19.592323
3927_6556_000018_000003	-25 deg..	minus twenty five d e g..	false	1079.73	1081.68	20.26023
3927_6556_000018_000004	Height 10,000.	Height ten thousand.	false	1081.68	1085.37	19.629347
3927_6556_000018_000005	Excellent march of 19 1/2 miles, 10.5 before lunch.	Excellent march of nineteen and a half miles, ten point five before lunch.	true	1085.37	1089.82	22.584953
3927_6556_000018_000006	Wind helping greatly, considerable drift; tracks for the most part very plain.	Wind helping greatly, considerable drift; tracks for the most part very plain.	true	1090.22	1095.7	23.05253
3927_6556_000018_000007	Some time before lunch we picked up the return track of the supporting party, so that there are now three distinct sledge impressions.	Some time before lunch we picked up the return track of the supporting party, so that there are now three distinct sledge impressions.	true	1095.98	1103.5	22.884932
3927_6556_000018_000008	We are only 24 miles from our depot--an easy day and a half.	We are only twenty four miles from our depot-an easy day and a half.	true	1103.93	1108.18	19.68639
3927_6556_000018_000009	Given a fine day to-morrow we ought to get it without difficulty.	Given a fine day to morrow we ought to get it without difficulty.	true	1108.88	1112.86	22.714592
3927_6556_000018_000010	The wind and sastrugi are S.S.E. and S.E.	The wind and sastrugi are s s e and s e	false	1113.32	1117.59	17.50014
3927_6556_000018_000011	If the weather holds we ought to do the rest of the inland ice journey in little over a week.	If the weather holds we ought to do the rest of the inland ice journey in little over a week.	true	1117.59	1122.64	18
3927_6556_000018_000012	The surface is very much altered since we passed out.	The surface is very much altered since we passed out.	true	1122.86	1125.88	19.145851
3927_6556_000018_000013	The loose snow has been swept into heaps, hard and wind-tossed.	The loose snow has been swept into heaps, hard and wind tossed.	false	1126.28	1129.9	21.476328
3927_6556_000018_000014	The rest has a glazed appearance, the loose drifting snow no doubt acting on it, polishing it like a sand blast.	The rest has a glazed appearance, the loose drifting snow no doubt acting on it, polishing it like a sand blast.	true	1130.39	1136.71	19
3927_6556_000018_000015	The sledge with our good wind behind runs splendidly on it; it is all soft and sandy beneath the glaze.	The sledge with our good wind behind runs splendidly on it; it is all soft and sandy beneath the glaze.	true	1137.32	1143.82	18.297773
3927_6556_000018_000016	We are certainly getting hungrier every day.	We are certainly getting hungrier every day.	true	1144.67	1147.51	18
3927_6556_000018_000017	The day after to-morrow we should be able to increase allowances.	The day after to morrow we should be able to increase allowances.	true	1147.76	1151.23	18
3927_6556_000018_000018	It is monotonous work, but, thank God, the miles are coming fast at last.	It is monotonous work, but, thank God, the miles are coming fast at last.	true	1152.14	1156.78	19
3927_6556_000018_000019	We ought not to be delayed much now with the down-grade in front of us.	We ought not to be delayed much now with the down grade in front of us.	true	1157.3	1160.94	13
3927_6556_000019_000000	_Tuesday, January_ 30.--R. 13.	underscore Tuesday, January underscore thirty.--R. thirteen.	false	1160.94	1166.91	20.141985
3927_6556_000019_000001	9860.	nine thousand eight hundred sixty.	false	1166.91	1170.21	20.008924
3927_6556_000019_000002	Lunch Temp.-25 deg., Supper Temp.	Lunch Temp.minus twenty five d e g., Supper Temp.	false	1170.21	1173.96	22.309452
3927_6556_000019_000003	-24.5 deg..	minus twenty four point five d e g..	false	1173.96	1177.88	19.903833
3927_6556_000019_000004	Thank the Lord, another fine march--19 miles.	Thank the Lord, another fine march minus nineteen miles.	false	1177.88	1181.47	15
3927_6556_000019_000005	We have passed the last cairn before the depot, the track is clear ahead, the weather fair, the wind helpful, the gradient down--with any luck we should pick up our depot in the middle of the morning march.	We have passed the last cairn before the depot, the track is clear ahead, the weather fair, the wind helpful, the gradient down-with any luck we should pick up our depot in the middle of the morning march.	true	1182.17	1193.35	22.286806
3927_6556_000019_000006	This is the bright side; the reverse of the medal is serious.	This is the bright side; the reverse of the medal is serious.	true	1193.99	1197.34	21.004171
3927_6556_000019_000007	Wilson has strained a tendon in his leg; it has given pain all day and is swollen to-night.	Wilson has strained a tendon in his leg; it has given pain all day and is swollen to night.	true	1197.77	1203.07	19
3927_6556_000019_000008	Of course, he is full of pluck over it, but I don't like the idea of such an accident here.	Of course, he is full of pluck over it, but I don't like the idea of such an accident here.	true	1203.47	1208.08	20
3927_6556_000019_000009	To add to the trouble Evans has dislodged two finger-nails to-night; his hands are really bad, and to my surprise he shows signs of losing heart over it.	To add to the trouble Evans has dislodged two finger nails to night; his hands are really bad, and to my surprise he shows signs of losing heart over it.	true	1208.63	1218.59	18.60031
3927_6556_000019_000010	He hasn't been cheerful since the accident.	He hasn't been cheerful since the accident.	true	1218.59	1220.95	16.852125
3927_6556_000019_000011	The wind shifted from S.E. to S. and back again all day, but luckily it keeps strong.	The wind shifted from s e to s and back again all day, but luckily it keeps strong.	false	1221.86	1228	22.185587
3927_6556_000019_000012	We can get along with bad fingers, but it (will be) a mighty serious thing if Wilson's leg doesn't improve.	We can get along with bad fingers, but it (will be) a mighty serious thing if Wilson's leg doesn't improve.	true	1228.07	1233.78	19
3927_6556_000020_000000	_Wednesday, January_ 31.--9800.	underscore Wednesday, January underscore thirty one.-minus nine thousand eight hundred.	false	1233.78	1240.92	18.94123
3927_6556_000020_000001	Lunch Temp.	Lunch Temp.	false	1240.92	1241.91	30.160324
3927_6556_000020_000002	-20 deg., Supper Temp.	minus twenty d e g., Supper Temp.	false	1241.91	1244.85	19.273458
3927_6556_000020_000003	-20 deg..	minus twenty d e g..	false	1244.85	1247.97	17.908594
3927_6556_000020_000004	The day opened fine with a fair breeze; we marched on the depot, [39] picked it up, and lunched an hour later.	The day opened fine with a fair breeze; we marched on the depot, [thirty nine] picked it up, and lunched an hour later.	false	1247.97	1258.54	21.210642
3927_6556_000020_000005	In the afternoon the surface became fearfully bad, the wind dropped to light southerly air.	In the afternoon the surface became fearfully bad, the wind dropped to light southerly air.	true	1259.33	1264.84	22.446959
3927_6556_000020_000006	Ill luck that this should happen just when we have only four men to pull.	Ill luck that this should happen just when we have only four men to pull.	true	1265.42	1269.67	24.16588
3927_6556_000020_000007	Wilson rested his leg as much as possible by walking quietly beside the sledge; the result has been good, and to-night there is much less inflammation.	Wilson rested his leg as much as possible by walking quietly beside the sledge; the result has been good, and to night there is much less inflammation.	true	1270.22	1278.43	21.43642
3927_6556_000020_000008	I hope he will be all right again soon, but it is trying to have an injured limb in the party.	I hope he will be all right again soon, but it is trying to have an injured limb in the party.	true	1279.28	1283.74	14
3927_6556_000020_000009	I see we had a very heavy surface here on our outward march.	I see we had a very heavy surface here on our outward march.	true	1284.68	1288.27	15.835777
3927_6556_000020_000010	There is no doubt we are travelling over undulations, but the inequality of level does not make a great difference to our pace; it is the sandy crystals that hold us up.	There is no doubt we are travelling over undulations, but the inequality of level does not make a great difference to our pace; it is the sandy crystals that hold us up.	true	1288.64	1298.58	19.90318
3927_6556_000020_000011	There has been very great alteration of the surface since we were last here--the sledge tracks stand high.	There has been very great alteration of the surface since we were last here-the sledge tracks stand high.	false	1298.58	1305.31	20.037659
3927_6556_000020_000012	This afternoon we picked up Bowers' ski [40]--the last thing we have to find on the summit, thank Heaven!	This afternoon we picked up Bowers' ski [forty]--the last thing we have to find on the summit, thank Heaven!	false	1305.65	1315.99	24.329248
3927_6556_000020_000013	Now we have only to go north and so shall welcome strong winds.	Now we have only to go north and so shall welcome strong winds.	true	1316.72	1321.29	19.870506
3927_6556_000021_000000	_Thursday, February_ 1.--R. 15.	underscore Thursday, February underscore one.--R. fifteen.	false	1321.29	1326.72	19.966097
3927_6556_000021_000001	9778.	nine thousand seven hundred seventy eight.	false	1326.72	1330.23	20.518698
3927_6556_000021_000002	Lunch Temp.	Lunch Temp.	false	1330.23	1330.98	18
3927_6556_000021_000003	-20 deg., Supper Temp.	minus twenty d e g., Supper Temp.	false	1330.98	1333.98	21.800179
3927_6556_000021_000004	-19.8 deg..	minus nineteen point eight d e g..	false	1333.98	1337.44	25.419413
3927_6556_000021_000005	Heavy collar work most of the day.	Heavy collar work most of the day.	true	1337.44	1339.33	14
3927_6556_000021_000006	Wind light.	Wind light.	true	1339.7	1340.71	24.83414
3927_6556_000021_000007	Did 8 miles, 4 3/4 hours.	Did eight miles, four and three quarters hours.	true	1340.9	1343.62	19.719141
3927_6556_000021_000008	Started well in the afternoon and came down a steep slope in quick time; then the surface turned real bad--sandy drifts--very heavy pulling.	Started well in the afternoon and came down a steep slope in quick time; then the surface turned real bad-sandy drifts-very heavy pulling.	true	1344.56	1353.73	21.806614
3927_6556_000021_000009	Working on past 8 P.M. we just fetched a lunch cairn of December 29, when we were only a week out from the depot.	Working on past eight p m we just fetched a lunch cairn of december twenty ninth, when we were only a week out from the depot.	false	1354.01	1366.86	21.350729
3927_6556_000021_000010	[41] It ought to be easy to get in with a margin, having 8 days' food in hand (full feeding).	[forty one] It ought to be easy to get in with a margin, having eight days' food in hand (full feeding).	false	1366.86	1374.43	18.798998
3927_6556_000021_000011	We have opened out on the 1/7th increase and it makes a lot of difference.	We have opened out on the one seventh increase and it makes a lot of difference.	true	1374.83	1378.9	21
3927_6556_000021_000012	Wilson's leg much better.	Wilson's leg much better.	true	1379.09	1381.09	21.17046
3927_6556_000021_000013	Evans' fingers now very bad, two nails coming off, blisters burst.	Evans' fingers now very bad, two nails coming off, blisters burst.	true	1381.28	1386.33	19.613087
3927_6556_000022_000000	_Friday, February_ 2.--9340.	underscore Friday, February underscore two.-minus nine thousand three hundred forty.	false	1386.33	1392.87	21.433683
3927_6556_000022_000001	R. 16.	R. sixteen.	true	1392.87	1394.01	22.803057
3927_6556_000022_000002	Temp.: Lunch -19 deg., Supper -17 deg..	Temp.: Lunch minus nineteen d e g., Supper minus seventeen d e g..	false	1394.01	1401.78	21.385614
3927_6556_000022_000003	We started well on a strong southerly wind.	We started well on a strong southerly wind.	true	1401.78	1404.4	19.035215
3927_6556_000022_000004	Soon got to a steep grade, when the sledge overran and upset us one after another.	Soon got to a steep grade, when the sledge overran and upset us one after another.	true	1404.5	1409.95	21
3927_6556_000022_000005	We got off our ski, and pulling on foot reeled off 9 miles by lunch at 1.30.	We got off our ski, and pulling on foot reeled off nine miles by lunch at one point three zero.	false	1410.8	1416.77	22.564497
3927_6556_000022_000006	Started in the afternoon on foot, going very strong.	Started in the afternoon on foot, going very strong.	true	1416.77	1419.82	24.383743
3927_6556_000022_000007	We noticed a curious circumstance towards the end of the forenoon.	We noticed a curious circumstance towards the end of the forenoon.	true	1420.01	1423.81	21.385237
3927_6556_000022_000008	The tracks were drifted over, but the drifts formed a sort of causeway along which we pulled.	The tracks were drifted over, but the drifts formed a sort of causeway along which we pulled.	false	1424.21	1428.85	20.698845
3927_6556_000022_000009	In the afternoon we soon came to a steep slope--the same on which we exchanged sledges on December 28.	In the afternoon we soon came to a steep slope-the same on which we exchanged sledges on december twenty eighth.	true	1429.73	1435.93	20.8225
3927_6556_000022_000010	All went well till, in trying to keep the track at the same time as my feet, on a very slippery surface, I came an awful 'purler' on my shoulder.	All went well till, in trying to keep the track at the same time as my feet, on a very slippery surface, I came an awful 'purler' on my shoulder.	true	1436.48	1445.98	21.986307
3927_6556_000022_000011	It is horribly sore to-night and another sick person added to our tent--three out of fine injured, and the most troublesome surfaces to come.	It is horribly sore to night and another sick person added to our tent-three out of fine injured, and the most troublesome surfaces to come.	false	1446.38	1455.64	21.288275
3927_6556_000022_000012	We shall be lucky if we get through without serious injury.	We shall be lucky if we get through without serious injury.	true	1456.25	1459.29	21.671463
3927_6556_000022_000013	Wilson's leg is better, but might easily get bad again, and Evans' fingers.	Wilson's leg is better, but might easily get bad again, and Evans' fingers.	false	1459.29	1463.71	21
3927_6556_000023_000000	At the bottom of the slope this afternoon we came on a confused sea of sastrugi.	At the bottom of the slope this afternoon we came on a confused sea of sastrugi.	false	1464.8	1469.76	21.253878
3927_6556_000023_000001	We lost the track.	We lost the track.	true	1469.76	1471.06	24.426146
3927_6556_000023_000002	Later, on soft snow, we picked up E. Evans' return track, which we are now following.	Later, on soft snow, we picked up e Evans' return track, which we are now following.	true	1471.4	1477.03	22.658018
3927_6556_000023_000003	We have managed to get off 17 miles.	We have managed to get off seventeen miles.	true	1477.46	1480.06	19.065744
3927_6556_000023_000004	The extra food is certainly helping us, but we are getting pretty hungry.	The extra food is certainly helping us, but we are getting pretty hungry.	true	1480.25	1483.78	20.457827
3927_6556_000023_000005	The weather is already a trifle warmer and the altitude lower, and only 80 miles or so to Mount Darwin.	The weather is already a trifle warmer and the altitude lower, and only eighty miles or so to Mount Darwin.	false	1484.57	1490.92	19.391739
3927_6556_000023_000006	It is time we were off the summit--Pray God another four days will see us pretty well clear of it.	It is time we were off the summit-Pray God another four days will see us pretty well clear of it.	true	1491.35	1497.43	20.259697
3927_6556_000023_000007	Our bags are getting very wet and we ought to have more sleep.	Our bags are getting very wet and we ought to have more sleep.	false	1498.19	1510.92	16.470697
