5092_28465_000000_000000	Chapter VIII	Chapter eight	false	0.78	20.2	24.663607
5092_28465_000025_000002	I then tried to ford at its head, where it is wider and glides smoothly out of the lake, bracing myself against the current with a pole, but found it too deep, and when the icy water reached my shoulders I cautiously struggled back to the moraine.	I then tried to ford at its head, where it is wider and glides smoothly out of the lake, bracing myself against the current with a pole, but found it too deep, and when the icy water reached my shoulders I cautiously struggled back to the moraine.	false	1180.17	1197.04	21.821646
5092_28465_000025_000003	I next followed it down through the rocky jungle to a place where in breaking across the moraine dam it was only about thirty-five feet wide.	I next followed it down through the rocky jungle to a place where in breaking across the moraine dam it was only about thirty five feet wide.	false	1197.17	1206.09	23.9892
5092_28465_000025_000004	Here I found a spruce tree which I felled for a bridge; it reached across, about ten feet of the top holding in the bank brush.	Here I found a spruce tree which I felled for a bridge; it reached across, about ten feet of the top holding in the bank brush.	true	1206.09	1214.74	22.929121
5092_28465_000025_000005	But the force of the torrent, acting on the submerged branches and the slender end of the trunk, bent it like a bow and made it very unsteady, and after testing it by going out about a third of the way over, it seemed likely to be carried away when bent deeper into the current by my weight.	But the force of the torrent, acting on the submerged branches and the slender end of the trunk, bent it like a bow and made it very unsteady, and after testing it by going out about a third of the way over, it seemed likely to be carried away when bent deeper into the current by my weight.	true	1214.9	1232.02	22.057743
5092_28465_000025_000006	Fortunately, I discovered another larger tree well situated a little farther down, which I felled, and though a few feet in the middle was submerged, it seemed perfectly safe.	Fortunately, I discovered another larger tree well situated a little farther down, which I felled, and though a few feet in the middle was submerged, it seemed perfectly safe.	true	1232.45	1243.93	21.258766
5092_28465_000026_000000	As it was now getting late, I started back to the lakeside where I had left my bundle, and in trying to hold a direct course found the interlaced jungle still more difficult than it was along the bank of the torrent.	As it was now getting late, I started back to the lakeside where I had left my bundle, and in trying to hold a direct course found the interlaced jungle still more difficult than it was along the bank of the torrent.	true	1244.39	1256.8	22.114107
5092_28465_000026_000001	For over an hour I had to creep and struggle close to the rocky ground like a fly in a spider-web without being able to obtain a single glimpse of any guiding feature of the landscape. Finding a little willow taller than the surrounding alders, I climbed it, caught sight of the glacier-front, took a compass bearing, and sunk again into the dripping, blinding maze of brush, and at length emerged on the lake-shore seven hours after leaving it, all this time as wet as though I had been swimming, thus completing a trying day's work.	For over an hour I had to creep and struggle close to the rocky ground like a fly in a spider web without being able to obtain a single glimpse of any guiding feature of the landscape. Finding a little willow taller than the surrounding alders, I climbed it, caught sight of the glacier front, took a compass bearing, and sunk again into the dripping, blinding maze of brush, and at length emerged on the lake shore seven hours after leaving it, all this time as wet as though I had been swimming, thus completing a trying day's work.	false	1257.44	1292.5	21.667519
5092_28465_000026_000002	But everything was deliciously fresh, and I found new and old plant friends, and lessons on Nature's Alaska moraine landscape-gardening that made everything bright and light.	But everything was deliciously fresh, and I found new and old plant friends, and lessons on Nature's Alaska moraine landscape gardening that made everything bright and light.	true	1292.75	1304.68	21.645952
5092_28465_000027_000000	It was now near dark, and I made haste to make up my flimsy little tent.	It was now near dark, and I made haste to make up my flimsy little tent.	true	1305.32	1309.9	22.673141
5092_28465_000027_000001	The ground was desperately rocky.	The ground was desperately rocky.	true	1310.3	1312.54	25.17465
5092_28465_000027_000002	I made out, however, to level down a strip large enough to lie on, and by means of slim alder stems bent over it and tied together soon had a home.	I made out, however, to level down a strip large enough to lie on, and by means of slim alder stems bent over it and tied together soon had a home.	true	1312.67	1322.05	20.42083
5092_28465_000027_000003	While thus busily engaged I was startled by a thundering roar across the lake.	While thus busily engaged I was startled by a thundering roar across the lake.	true	1322.3	1327.87	23.487839
5092_28465_000027_000004	Running to the top of the moraine, I discovered that the tremendous noise was only the outcry of a newborn berg about fifty or sixty feet in diameter, rocking and wallowing in the waves it had raised as if enjoying its freedom after its long grinding work as part of the glacier.	Running to the top of the moraine, I discovered that the tremendous noise was only the outcry of a newborn berg about fifty or sixty feet in diameter, rocking and wallowing in the waves it had raised as if enjoying its freedom after its long grinding work as part of the glacier.	true	1327.94	1345.06	21
5092_28465_000027_000005	After this fine last lesson I managed to make a small fire out of wet twigs, got a cup of tea, stripped off my dripping clothing, wrapped myself in a blanket and lay brooding on the gains of the day and plans for the morrow, glad, rich, and almost comfortable.	After this fine last lesson I managed to make a small fire out of wet twigs, got a cup of tea, stripped off my dripping clothing, wrapped myself in a blanket and lay brooding on the gains of the day and plans for the morrow, glad, rich, and almost comfortable.	true	1345.58	1363.63	23.33276
5092_28465_000028_000000	It was raining hard when I awoke, but I made up my mind to disregard the weather, put on my dripping clothing, glad to know it was fresh and clean; ate biscuits and a piece of dried salmon without attempting to make a tea fire; filled a bag with hardtack, slung it over my shoulder, and with my indispensable ice-axe plunged once more into the dripping jungle.	It was raining hard when I awoke, but I made up my mind to disregard the weather, put on my dripping clothing, glad to know it was fresh and clean; ate biscuits and a piece of dried salmon without attempting to make a tea fire; filled a bag with hardtack, slung it over my shoulder, and with my indispensable ice axe plunged once more into the dripping jungle.	false	1364.57	1386.34	22.143173
5092_28465_000028_000001	I found my bridge holding bravely in place against the swollen torrent, crossed it and beat my way around pools and logs and through two hours of tangle back to the moraine on the north side of the outlet,--a wet, weary battle but not without enjoyment.	I found my bridge holding bravely in place against the swollen torrent, crossed it and beat my way around pools and logs and through two hours of tangle back to the moraine on the north side of the outlet,--a wet, weary battle but not without enjoyment.	false	1386.74	1402.3	21.171986
5092_28465_000028_000002	The smell of the washed ground and vegetation made every breath a pleasure, and I found Calypso borealis, the first I had seen on this side of the continent, one of my darlings, worth any amount of hardship; and I saw one of my Douglas squirrels on the margin of a grassy pool.	The smell of the washed ground and vegetation made every breath a pleasure, and I found Calypso borealis, the first I had seen on this side of the continent, one of my darlings, worth any amount of hardship; and I saw one of my Douglas squirrels on the margin of a grassy pool.	true	1402.4	1418.53	21.43789
5092_28465_000028_000003	The drip of the rain on the various leaves was pleasant to hear.	The drip of the rain on the various leaves was pleasant to hear.	false	1418.87	1422.22	21.085625
5092_28465_000028_000004	More especially marked were the flat low-toned bumps and splashes of large drops from the trees on the broad horizontal leaves of Echinopanax horridum, like the drumming of thundershower drops on veratrum and palm leaves, while the mosses were indescribably beautiful, so fresh, so bright, so cheerily green, and all so low and calm and silent, however heavy and wild the wind and the rain blowing and pouring above them.	More especially marked were the flat low toned bumps and splashes of large drops from the trees on the broad horizontal leaves of Echinopanax horridum, like the drumming of thundershower drops on veratrum and palm leaves, while the mosses were indescribably beautiful, so fresh, so bright, so cheerily green, and all so low and calm and silent, however heavy and wild the wind and the rain blowing and pouring above them.	false	1422.59	1450.99	21.63803
5092_28465_000028_000005	Surely never a particle of dust has touched leaf or crown of all these blessed mosses; and how bright were the red rims of the cladonia cups beside them, and the fruit of the dwarf cornel!	Surely never a particle of dust has touched leaf or crown of all these blessed mosses; and how bright were the red rims of the cladonia cups beside them, and the fruit of the dwarf cornel!	false	1451.72	1464.31	23.13308
5092_28465_000028_000006	And the wet berries, Nature's precious jewelry, how beautiful they were!--huckleberries with pale bloom and a crystal drop on each; red and yellow salmon-berries, with clusters of smaller drops; and the glittering, berry-like raindrops adorning the interlacing arches of bent grasses and sedges around the edges of the pools, every drop a mirror with all the landscape in it.	And the wet berries, Nature's precious jewelry, how beautiful they were!--huckleberries with pale bloom and a crystal drop on each; red and yellow salmon berries, with clusters of smaller drops; and the glittering, berry like raindrops adorning the interlacing arches of bent grasses and sedges around the edges of the pools, every drop a mirror with all the landscape in it.	false	1464.62	1488.45	20.665585
5092_28465_000028_000007	A' that and a' that and twice as muckle's a' that in this glorious Alaska day, recalling, however different, George Herbert's "Sweet day, so cool, so calm, so bright."	A' that and a' that and twice as muckle's a' that in this glorious Alaska day, recalling, however different, George Herbert's "Sweet day, so cool, so calm, so bright."	false	1488.45	1499.86	23.68385
5092_28465_000029_000000	In the gardens and forests of this wonderful moraine one might spend a whole joyful life.	In the gardens and forests of this wonderful moraine one might spend a whole joyful life.	true	1500.32	1505.83	20
5092_28465_000030_000000	When I at last reached the end of the great moraine and the front of the mountain that forms the north side of the glacier basin, I tried to make my way along its side, but, finding the climbing tedious and difficult, took to the glacier and fared well, though a good deal of step-cutting was required on its ragged, crevassed margin.	When I at last reached the end of the great moraine and the front of the mountain that forms the north side of the glacier basin, I tried to make my way along its side, but, finding the climbing tedious and difficult, took to the glacier and fared well, though a good deal of step cutting was required on its ragged, crevassed margin.	false	1506.35	1525.59	22.415274
5092_28465_000030_000001	When night was drawing nigh, I scanned the steep mountainside in search of an accessible bench, however narrow, where a bed and a fire might be gathered for a camp.	When night was drawing nigh, I scanned the steep mountainside in search of an accessible bench, however narrow, where a bed and a fire might be gathered for a camp.	false	1525.59	1536.7	20.47243
5092_28465_000030_000002	About dark great was my delight to find a little shelf with a few small mountain hemlocks growing in cleavage joints. Projecting knobs below it enabled me to build a platform for a fireplace and a bed, and by industrious creeping from one fissure to another, cutting bushes and small trees and sliding them down to within reach of my rock-shelf, I made out to collect wood enough to last through the night.	About dark great was my delight to find a little shelf with a few small mountain hemlocks growing in cleavage joints. Projecting knobs below it enabled me to build a platform for a fireplace and a bed, and by industrious creeping from one fissure to another, cutting bushes and small trees and sliding them down to within reach of my rock shelf, I made out to collect wood enough to last through the night.	true	1536.74	1561.57	22.909334
5092_28465_000030_000003	In an hour or two I had a cheery fire, and spent the night in turning from side to side, steaming and drying after being wet two days and a night.	In an hour or two I had a cheery fire, and spent the night in turning from side to side, steaming and drying after being wet two days and a night.	false	1561.67	1570.39	23.333725
5092_28465_000030_000004	Fortunately this night it did not rain, but it was very cold.	Fortunately this night it did not rain, but it was very cold.	true	1570.61	1574.32	20.4469
5092_28465_000031_000000	Pushing on next day, I climbed to the top of the glacier by ice-steps and along its side to the grand cataract two miles wide where the whole majestic flood of the glacier pours like a mighty surging river down a steep declivity in its channel.	Pushing on next day, I climbed to the top of the glacier by ice steps and along its side to the grand cataract two miles wide where the whole majestic flood of the glacier pours like a mighty surging river down a steep declivity in its channel.	false	1574.69	1589.5	24
5092_28465_000031_000001	After gazing a long time on the glorious show, I discovered a place beneath the edge of the cataract where it flows over a hard, resisting granite rib, into which I crawled and enjoyed the novel and instructive view of a glacier pouring over my head, showing not only its grinding, polishing action, but how it breaks off large angular boulder-masses--a most telling lesson in earth-sculpture, confirming many I had already learned in the glacier basins of the High Sierra of California.	After gazing a long time on the glorious show, I discovered a place beneath the edge of the cataract where it flows over a hard, resisting granite rib, into which I crawled and enjoyed the novel and instructive view of a glacier pouring over my head, showing not only its grinding, polishing action, but how it breaks off large angular boulder masses-a most telling lesson in earth sculpture, confirming many I had already learned in the glacier basins of the High Sierra of California.	false	1589.87	1621	22.754057
5092_28465_000031_000002	I then crossed to the south side, noting the forms of the huge blocks into which the glacier was broken in passing over the brow of the cataract, and how they were welded.	I then crossed to the south side, noting the forms of the huge blocks into which the glacier was broken in passing over the brow of the cataract, and how they were welded.	true	1621.58	1631.89	22.988739
5092_28465_000032_000000	The weather was now clear, opening views according to my own heart far into the high snowy fountains.	The weather was now clear, opening views according to my own heart far into the high snowy fountains.	true	1632.41	1638.43	23.567057
5092_28465_000032_000001	I saw what seemed the farthest mountains, perhaps thirty miles from the front, everywhere winter-bound, but thick forested, however steep, for a distance of at least fifteen miles from the front, the trees, hemlock and spruce, clinging to the rock by root-holds among cleavage joints.	I saw what seemed the farthest mountains, perhaps thirty miles from the front, everywhere winter bound, but thick forested, however steep, for a distance of at least fifteen miles from the front, the trees, hemlock and spruce, clinging to the rock by root holds among cleavage joints.	false	1638.95	1656.52	21.7307
5092_28465_000032_000002	The greatest discovery was in methods of denudation displayed beneath the glacier.	The greatest discovery was in methods of denudation displayed beneath the glacier.	true	1656.8	1661.74	22
5092_28465_000033_000000	After a few more days of exhilarating study I returned to the river-bank opposite Choquette's landing.	After a few more days of exhilarating study I returned to the river bank opposite Choquette's landing.	false	1662.29	1668.46	23.273642
5092_28465_000033_000001	Promptly at sight of the signal I made, the kind Frenchman came across for me in his canoe.	Promptly at sight of the signal I made, the kind Frenchman came across for me in his canoe.	true	1668.8	1674.13	22.736588
5092_28465_000033_000002	At his house I enjoyed a rest while writing out notes; then examined the smaller glacier fronting the one I had been exploring, until a passing canoe bound for Fort Wrangell took me aboard.	At his house I enjoyed a rest while writing out notes; then examined the smaller glacier fronting the one I had been exploring, until a passing canoe bound for Fort Wrangell took me aboard.	false	1674.56	1687.92	22.325396
5092_28465_000034_000000	Chapter IX	Chapter nine	false	1687.92	1698	22.059805
