5583_38026_000000_000000	"Oh, I'm going out into the world to try and get a place," said the lad.	"Oh, I'm going out into the world to try and get a place," said the lad.	true	53.01	57.34	20.599592
5583_38026_000080_000000	When the battle was over, the _King_ caught sight of his handkerchief, which the strange warrior had bound round his leg, and so it wasn't hard to find him out.	When the battle was over, the underscore King underscore caught sight of his handkerchief, which the strange warrior had bound round his leg, and so it wasn't hard to find him out.	false	1018.46	1027.72	19.359457
5583_38026_000080_000001	So they took him with great joy between them to the palace, and the _Princess_, who saw him from her window, got so glad, no one can believe it.	So they took him with great joy between them to the palace, and the underscore Princess underscore, who saw him from her window, got so glad, no one can believe it.	false	1028.09	1036.69	22.240288
5583_38026_000081_000000	"Here comes my own true love," she said.	"Here comes my own true love," she said.	true	1037.21	1040.08	21.01737
5583_38026_000082_000000	Then he took the pot of ointment and rubbed himself on the leg, and after that he rubbed all the wounded, and so they all got well again in a moment.	Then he took the pot of ointment and rubbed himself on the leg, and after that he rubbed all the wounded, and so they all got well again in a moment.	true	1040.48	1049.23	22.199657
5583_38026_000083_000000	So he got the _Princess_ to wife; but when he went down into the stable where his horse was on the day the wedding was to be, there it stood so dull and heavy, and hung its ears down, and wouldn't eat its corn.	So he got the underscore Princess underscore to wife; but when he went down into the stable where his horse was on the day the wedding was to be, there it stood so dull and heavy, and hung its ears down, and wouldn't eat its corn.	false	1049.72	1063.09	21.077377
5583_38026_000083_000001	So when the young _King_--for he was now a king, and had got half the kingdom--spoke to him, and asked what ailed him, the _Horse_ said:	So when the young underscore King underscore--for he was now a king, and had got half the kingdom-spoke to him, and asked what ailed him, the underscore Horse underscore said:	false	1063.28	1071.79	21.271107
5583_38026_000084_000000	"Now I have helped you on, and now I won't live any longer.	"Now I have helped you on, and now I won't live any longer.	true	1072.22	1076.23	18.077589
5583_38026_000084_000001	So just take the sword, and cut my head off."	So just take the sword, and cut my head off."	true	1076.69	1080.04	21.017862
5583_38026_000085_000000	"No, I'll do nothing of the kind," said the young _King_; "but you shall have all you want, and rest all your life."	"No, I'll do nothing of the kind," said the young underscore King underscore; "but you shall have all you want, and rest all your life."	false	1080.29	1088.86	20.897635
5583_38026_000086_000000	"Well," said the _Horse_, "if you don't do as I tell you, see if I don't take your life somehow."	"Well," said the underscore Horse underscore, "if you don't do as I tell you, see if I don't take your life somehow."	false	1089.11	1095.94	23.466608
5583_38026_000087_000000	So the _King_ had to do what he asked; but when he swung the sword and was to cut his head off, he was so sorry he turned away his face, for he would not see the stroke fall.	So the underscore King underscore had to do what he asked; but when he swung the sword and was to cut his head off, he was so sorry he turned away his face, for he would not see the stroke fall.	false	1096.22	1107.28	20.399933
5583_38026_000087_000001	But as soon as ever he had cut off the head, there stood the loveliest _Prince_ on the spot where the horse had stood.	But as soon as ever he had cut off the head, there stood the loveliest underscore Prince underscore on the spot where the horse had stood.	false	1107.68	1114.72	26.04488
5583_38026_000088_000000	"Why, where in all the world did you come from?" asked the _King_.	"Why, where in all the world did you come from?" asked the underscore King underscore.	false	1115	1119.45	22.952417
5583_38026_000089_000000	"It was I who was a horse," said the _Prince_; "for I was king of that land whose king you slew yesterday.	"It was I who was a horse," said the underscore Prince underscore; "for I was king of that land whose king you slew yesterday.	false	1119.45	1125.76	21.34106
5583_38026_000089_000001	He it was who threw this _Troll's_ shape over me, and sold me to the _Troll_.	He it was who threw this underscore Troll's underscore shape over me, and sold me to the underscore Troll underscore.	false	1126.04	1130.91	21.723587
5583_38026_000089_000002	But now he is slain I get my own again, and you and I will be neighbour kings, but war we will never make on one another."	But now he is slain I get my own again, and you and I will be neighbour kings, but war we will never make on one another."	false	1130.91	1154.67	20.042902
