8824_279153_000000_000000	LECTURE VIII.	LECTURE eight.	false	9	17.205	22.474205
8824_279153_000028_000002	It strikes the mind with varying degrees of force or liveliness according to the varying intensity of the stimulus.	It strikes the mind with varying degrees of force or liveliness according to the varying intensity of the stimulus.	true	1068.2	1075.36	20
8824_279153_000028_000003	This degree of force or liveliness is part of what we ordinarily mean by the intensity of a sensation.	This degree of force or liveliness is part of what we ordinarily mean by the intensity of a sensation.	true	1076.15	1082.32	21
8824_279153_000028_000004	But this constituent of the intensity of sensations is absent in mental imagery"(p. 419).	But this constituent of the intensity of sensations is absent in mental imagery"(p. four hundred nineteen).	false	1082.45	1089.36	22.528025
8824_279153_000029_000000	This view allows for the fact that sensations may reach any degree of faintness--e.g. in the case of a just visible star or a just audible sound--without becoming images, and that therefore mere faintness cannot be the characteristic mark of images.	This view allows for the fact that sensations may reach any degree of faintness-e g in the case of a just visible star or a just audible sound-without becoming images, and that therefore mere faintness cannot be the characteristic mark of images.	false	1089.36	1105.36	23.322851
8824_279153_000029_000001	After explaining the sudden shock of a flash of lightning or a steam-whistle, Stout says that "no mere image ever does strike the mind in this manner"(p. 417).	After explaining the sudden shock of a flash of lightning or a steam whistle, Stout says that "no mere image ever does strike the mind in this manner"(p. four hundred seventeen).	false	1106.24	1115.55	24.126839
8824_279153_000029_000002	But I believe that this criterion fails in very much the same instances as those in which Hume's criterion fails in its original form.	But I believe that this criterion fails in very much the same instances as those in which Hume's criterion fails in its original form.	true	1115.55	1124.02	23.675642
8824_279153_000029_000003	Macbeth speaks of--	Macbeth speaks of-	false	1124.45	1126.74	22.245358
8824_279153_000030_000000	that suggestion Whose horrid image doth unfix my hair And make my seated heart knock at my ribs Against the use of nature.	that suggestion Whose horrid image doth unfix my hair And make my seated heart knock at my ribs Against the use of nature.	false	1126.74	1136.64	21.83984
8824_279153_000031_000000	The whistle of a steam-engine could hardly have a stronger effect than this.	The whistle of a steam engine could hardly have a stronger effect than this.	true	1136.64	1140.85	25.372269
8824_279153_000031_000001	A very intense emotion will often bring with it--especially where some future action or some undecided issue is involved--powerful compelling images which may determine the whole course of life, sweeping aside all contrary solicitations to the will by their capacity for exclusively possessing the mind.	A very intense emotion will often bring with it-especially where some future action or some undecided issue is involved-powerful compelling images which may determine the whole course of life, sweeping aside all contrary solicitations to the will by their capacity for exclusively possessing the mind.	true	1141.19	1159.03	22.771152
8824_279153_000031_000002	And in all cases where images, originally recognized as such, gradually pass into hallucinations, there must be just that "force or liveliness" which is supposed to be always absent from images.	And in all cases where images, originally recognized as such, gradually pass into hallucinations, there must be just that "force or liveliness" which is supposed to be always absent from images.	true	1159.76	1171.9	22.247276
8824_279153_000031_000003	The cases of dreams and fever-delirium are as hard to adjust to Professor Stout's modified criterion as to Hume's.	The cases of dreams and fever delirium are as hard to adjust to Professor Stout's modified criterion as to Hume's.	true	1172.06	1180.01	21.283958
8824_279153_000031_000004	I conclude therefore that the test of liveliness, however applicable in ordinary instances, cannot be used to define the differences between sensations and images.	I conclude therefore that the test of liveliness, however applicable in ordinary instances, cannot be used to define the differences between sensations and images.	true	1180.01	1188.96	20.52812
8824_279153_000032_000000	(2) We might attempt to distinguish images from sensations by our absence of belief in the "physical reality" of images.	(two) We might attempt to distinguish images from sensations by our absence of belief in the "physical reality" of images.	false	1188.96	1196.83	18.718063
8824_279153_000032_000001	When we are aware that what we are experiencing is an image, we do not give it the kind of belief that we should give to a sensation: we do not think that it has the same power of producing knowledge of the "external world." Images are "imaginary"; in SOME sense they are "unreal." But this difference is hard to analyse or state correctly.	When we are aware that what we are experiencing is an image, we do not give it the kind of belief that we should give to a sensation: we do not think that it has the same power of producing knowledge of the "external world." Images are "imaginary"; in SOME sense they are "unreal." But this difference is hard to analyse or state correctly.	false	1197.32	1217.77	20.923956
8824_279153_000032_000002	What we call the "unreality" of images requires interpretation it cannot mean what would be expressed by saying "there's no such thing." Images are just as truly part of the actual world as sensations are.	What we call the "unreality" of images requires interpretation it cannot mean what would be expressed by saying "there's no such thing." Images are just as truly part of the actual world as sensations are.	true	1218.29	1231.3	22.83607
8824_279153_000032_000003	All that we really mean by calling an image "unreal" is that it does not have the concomitants which it would have if it were a sensation.	All that we really mean by calling an image "unreal" is that it does not have the concomitants which it would have if it were a sensation.	false	1231.7	1238.77	20
8824_279153_000032_000004	When we call up a visual image of a chair, we do not attempt to sit in it, because we know that, like Macbeth's dagger, it is not "sensible to feeling as to sight"--i.e. it does not have the correlations with tactile sensations which it would have if it were a visual sensation and not merely a visual image.	When we call up a visual image of a chair, we do not attempt to sit in it, because we know that, like Macbeth's dagger, it is not "sensible to feeling as to sight"--i e it does not have the correlations with tactile sensations which it would have if it were a visual sensation and not merely a visual image.	false	1239.59	1258	22.043938
8824_279153_000032_000005	But this means that the so-called "unreality" of images consists merely in their not obeying the laws of physics, and thus brings us back to the causal distinction between images and sensations.	But this means that the so-called "unreality" of images consists merely in their not obeying the laws of physics, and thus brings us back to the causal distinction between images and sensations.	true	1258.67	1270.42	20.561626
8824_279153_000033_000000	This view is confirmed by the fact that we only feel images to be "unreal" when we already know them to be images.	This view is confirmed by the fact that we only feel images to be "unreal" when we already know them to be images.	false	1271.42	1277.8	17
8824_279153_000033_000001	Images cannot be defined by the FEELING of unreality, because when we falsely believe an image to be a sensation, as in the case of dreams, it FEELS just as real as if it were a sensation.	Images cannot be defined by the FEELING of unreality, because when we falsely believe an image to be a sensation, as in the case of dreams, it FEELS just as real as if it were a sensation.	true	1278.23	1289.41	22
8824_279153_000033_000002	Our feeling of unreality results from our having already realized that we are dealing with an image, and cannot therefore be the definition of what we mean by an image.	Our feeling of unreality results from our having already realized that we are dealing with an image, and cannot therefore be the definition of what we mean by an image.	true	1289.96	1298.98	20.695763
8824_279153_000033_000003	As soon as an image begins to deceive us as to its status, it also deceives us as to its correlations, which are what we mean by its "reality."	As soon as an image begins to deceive us as to its status, it also deceives us as to its correlations, which are what we mean by its "reality."	true	1299.32	1309.69	21.921188
8824_279153_000034_000000	(3) This brings us to the third mode of distinguishing images from sensations, namely, by their causes and effects.	(three) This brings us to the third mode of distinguishing images from sensations, namely, by their causes and effects.	true	1310.36	1318.06	22.133915
8824_279153_000034_000001	I believe this to be the only valid ground of distinction.	I believe this to be the only valid ground of distinction.	true	1318.13	1321.3	19.323378
8824_279153_000034_000002	James, in the passage about the mental fire which won't burn real sticks, distinguishes images by their effects, but I think the more reliable distinction is by their causes. Professor Stout (loc. cit., p. 127) says: "One characteristic mark of what we agree in calling sensation is its mode of production.	james, in the passage about the mental fire which won't burn real sticks, distinguishes images by their effects, but I think the more reliable distinction is by their causes. Professor Stout (loc. c i t., p. one hundred twenty seven) says: "One characteristic mark of what we agree in calling sensation is its mode of production.	false	1321.31	1338.25	23.926178
8824_279153_000034_000003	It is caused by what we call a STIMULUS.	It is caused by what we call a STIMULUS.	true	1338.26	1340.81	21.294275
8824_279153_000034_000004	A stimulus is always some condition external to the nervous system itself and operating upon it." I think that this is the correct view, and that the distinction between images and sensations can only be made by taking account of their causation. Sensations come through sense-organs, while images do not.	A stimulus is always some condition external to the nervous system itself and operating upon it." I think that this is the correct view, and that the distinction between images and sensations can only be made by taking account of their causation. Sensations come through sense organs, while images do not.	false	1340.81	1358.65	21.47216
8824_279153_000034_000005	We cannot have visual sensations in the dark, or with our eyes shut, but we can very well have visual images under these circumstances.	We cannot have visual sensations in the dark, or with our eyes shut, but we can very well have visual images under these circumstances.	true	1358.9	1365.97	17.703913
8824_279153_000034_000006	Accordingly images have been defined as "centrally excited sensations," i.e. sensations which have their physiological cause in the brain only, not also in the sense-organs and the nerves that run from the sense-organs to the brain.	Accordingly images have been defined as "centrally excited sensations," i e sensations which have their physiological cause in the brain only, not also in the sense organs and the nerves that run from the sense organs to the brain.	false	1366.19	1379.83	20.930105
8824_279153_000034_000007	I think the phrase "centrally excited sensations" assumes more than is necessary, since it takes it for granted that an image must have a proximate physiological cause.	I think the phrase "centrally excited sensations" assumes more than is necessary, since it takes it for granted that an image must have a proximate physiological cause.	true	1380.35	1389.82	18
8824_279153_000034_000008	This is probably true, but it is an hypothesis, and for our purposes an unnecessary one.	This is probably true, but it is an hypothesis, and for our purposes an unnecessary one.	true	1389.86	1396.33	24
8824_279153_000034_000009	It would seem to fit better with what we can immediately observe if we were to say that an image is occasioned, through association, by a sensation or another image, in other words that it has a mnemic cause--which does not prevent it from also having a physical cause.	It would seem to fit better with what we can immediately observe if we were to say that an image is occasioned, through association, by a sensation or another image, in other words that it has a mnemic cause-which does not prevent it from also having a physical cause.	true	1396.94	1412.95	22
8824_279153_000034_000010	And I think it will be found that the causation of an image always proceeds according to mnemic laws, i.e. that it is governed by habit and past experience.	And I think it will be found that the causation of an image always proceeds according to mnemic laws, i e that it is governed by habit and past experience.	false	1413.74	1423.6	22.42733
8824_279153_000034_000011	If you listen to a man playing the pianola without looking at him, you will have images of his hands on the keys as if he were playing the piano; if you suddenly look at him while you are absorbed in the music, you will experience a shock of surprise when you notice that his hands are not touching the notes. Your image of his hands is due to the many times that you have heard similar sounds and at the same time seen the player's hands on the piano.	If you listen to a man playing the pianola without looking at him, you will have images of his hands on the keys as if he were playing the piano; if you suddenly look at him while you are absorbed in the music, you will experience a shock of surprise when you notice that his hands are not touching the notes. Your image of his hands is due to the many times that you have heard similar sounds and at the same time seen the player's hands on the piano.	true	1424.3	1447.69	21.432444
8824_279153_000034_000012	When habit and past experience play this part, we are in the region of mnemic as opposed to ordinary physical causation.	When habit and past experience play this part, we are in the region of mnemic as opposed to ordinary physical causation.	true	1448.42	1456.75	25.313305
8824_279153_000034_000013	And I think that, if we could regard as ultimately valid the difference between physical and mnemic causation, we could distinguish images from sensations as having mnemic causes, though they may also have physical causes.	And I think that, if we could regard as ultimately valid the difference between physical and mnemic causation, we could distinguish images from sensations as having mnemic causes, though they may also have physical causes.	true	1457.33	1470.22	21.47112
8824_279153_000034_000014	Sensations, on the other hand, will only have physical causes.	Sensations, on the other hand, will only have physical causes.	true	1470.29	1474.09	20.721928
8824_279153_000035_000000	However this may be, the practically effective distinction between sensations and images is that in the causation of sensations, but not of images, the stimulation of nerves carrying an effect into the brain, usually from the surface of the body, plays an essential part.	However this may be, the practically effective distinction between sensations and images is that in the causation of sensations, but not of images, the stimulation of nerves carrying an effect into the brain, usually from the surface of the body, plays an essential part.	true	1474.82	1491.19	20.281403
8824_279153_000035_000001	And this accounts for the fact that images and sensations cannot always be distinguished by their intrinsic nature.	And this accounts for the fact that images and sensations cannot always be distinguished by their intrinsic nature.	true	1491.74	1498.06	24.07218
8824_279153_000036_000000	Images also differ from sensations as regards their effects.	Images also differ from sensations as regards their effects.	true	1498.64	1502.59	22.153473
8824_279153_000036_000001	Sensations, as a rule, have both physical and mental effects.	Sensations, as a rule, have both physical and mental effects.	true	1502.63	1506.64	22.834717
8824_279153_000036_000002	As you watch the train you meant to catch leaving the station, there are both the successive positions of the train (physical effects) and the successive waves of fury and disappointment (mental effects).	As you watch the train you meant to catch leaving the station, there are both the successive positions of the train (physical effects) and the successive waves of fury and disappointment (mental effects).	true	1506.8	1517.86	22.23367
8824_279153_000036_000003	Images, on the contrary, though they MAY produce bodily movements, do so according to mnemic laws, not according to the laws of physics.	Images, on the contrary, though they MAY produce bodily movements, do so according to mnemic laws, not according to the laws of physics.	true	1518.65	1526.89	23.309322
8824_279153_000036_000004	All their effects, of whatever nature, follow mnemic laws.	All their effects, of whatever nature, follow mnemic laws.	true	1527.32	1531	25.611206
8824_279153_000036_000005	But this difference is less suitable for definition than the difference as to causes.	But this difference is less suitable for definition than the difference as to causes.	true	1531.22	1535.44	18
8824_279153_000037_000000	Professor Watson, as a logical carrying-out of his behaviourist theory, denies altogether that there are any observable phenomena such as images are supposed to be.	Professor Watson, as a logical carrying out of his behaviourist theory, denies altogether that there are any observable phenomena such as images are supposed to be.	true	1535.66	1545.25	22.224953
8824_279153_000037_000001	He replaces them all by faint sensations, and especially by pronunciation of words sotto voce.	He replaces them all by faint sensations, and especially by pronunciation of words sotto voce.	true	1545.89	1552.57	24.324785
8824_279153_000037_000002	When we "think" of a table (say), as opposed to seeing it, what happens, according to him, is usually that we are making small movements of the throat and tongue such as would lead to our uttering the word "table" if they were more pronounced.	When we "think" of a table (say), as opposed to seeing it, what happens, according to him, is usually that we are making small movements of the throat and tongue such as would lead to our uttering the word "table" if they were more pronounced.	false	1553.57	1567.09	22.439747
8824_279153_000037_000003	I shall consider his view again in connection with words; for the present I am only concerned to combat his denial of images.	I shall consider his view again in connection with words; for the present I am only concerned to combat his denial of images.	true	1567.88	1574.59	19.22028
8824_279153_000037_000004	This denial is set forth both in his book on "Behavior" and in an article called "Image and Affection in Behavior" in the "Journal of Philosophy, Psychology and Scientific Methods," vol. x (July, 1913).	This denial is set forth both in his book on "Behavior" and in an article called "Image and Affection in Behavior" in the "Journal of Philosophy, Psychology and Scientific Methods," vol x (July, nineteen thirteen).	false	1575.2	1587.66	23.504093
8824_279153_000037_000005	It seems to me that in this matter he has been betrayed into denying plain facts in the interests of a theory, namely, the supposed impossibility of introspection.	It seems to me that in this matter he has been betrayed into denying plain facts in the interests of a theory, namely, the supposed impossibility of introspection.	true	1587.66	1597	23.263546
8824_279153_000037_000006	I dealt with the theory in Lecture VI; for the present I wish to reinforce the view that the facts are undeniable.	I dealt with the theory in Lecture VI; for the present I wish to reinforce the view that the facts are undeniable.	false	1597.7	1604.59	26.639198
8824_279153_000038_000000	Images are of various sorts, according to the nature of the sensations which they copy.	Images are of various sorts, according to the nature of the sensations which they copy.	false	1605.41	1610.17	20.635033
8824_279153_000038_000001	Images of bodily movements, such as we have when we imagine moving an arm or, on a smaller scale, pronouncing a word, might possibly be explained away on Professor Watson's lines, as really consisting in small incipient movements such as, if magnified and prolonged, would be the movements we are said to be imagining.	Images of bodily movements, such as we have when we imagine moving an arm or, on a smaller scale, pronouncing a word, might possibly be explained away on Professor Watson's lines, as really consisting in small incipient movements such as, if magnified and prolonged, would be the movements we are said to be imagining.	false	1610.9	1629.13	19
8824_279153_000038_000002	Whether this is the case or not might even be decided experimentally.	Whether this is the case or not might even be decided experimentally.	true	1629.32	1633.24	22.686646
8824_279153_000038_000003	If there were a delicate instrument for recording small movements in the mouth and throat, we might place such an instrument in a person's mouth and then tell him to recite a poem to himself, as far as possible only in imagination.	If there were a delicate instrument for recording small movements in the mouth and throat, we might place such an instrument in a person's mouth and then tell him to recite a poem to himself, as far as possible only in imagination.	true	1634.24	1645.45	20
8824_279153_000038_000004	I should not be at all surprised if it were found that actual small movements take place while he is "mentally" saying over the verses.	I should not be at all surprised if it were found that actual small movements take place while he is "mentally" saying over the verses.	true	1645.85	1652.05	16
8824_279153_000038_000005	The point is important, because what is called "thought" consists mainly (though I think not wholly) of inner speech.	The point is important, because what is called "thought" consists mainly (though I think not wholly) of inner speech.	true	1652.48	1659.16	24.503954
8824_279153_000038_000006	If Professor Watson is right as regards inner speech, this whole region is transferred from imagination to sensation.	If Professor Watson is right as regards inner speech, this whole region is transferred from imagination to sensation.	true	1660.07	1666.75	20.642778
8824_279153_000038_000007	But since the question is capable of experimental decision, it would be gratuitous rashness to offer an opinion while that decision is lacking.	But since the question is capable of experimental decision, it would be gratuitous rashness to offer an opinion while that decision is lacking.	true	1667.39	1675.54	21
8824_279153_000039_000000	But visual and auditory images are much more difficult to deal with in this way, because they lack the connection with physical events in the outer world which belongs to visual and auditory sensations.	But visual and auditory images are much more difficult to deal with in this way, because they lack the connection with physical events in the outer world which belongs to visual and auditory sensations.	true	1675.79	1686.91	20
8824_279153_000039_000001	Suppose, for example, that I am sitting in my room, in which there is an empty arm-chair.	Suppose, for example, that I am sitting in my room, in which there is an empty arm chair.	true	1687.85	1692.49	22.465496
8824_279153_000039_000002	I shut my eyes, and call up a visual image of a friend sitting in the arm-chair.	I shut my eyes, and call up a visual image of a friend sitting in the arm chair.	true	1693.04	1697.29	19
8824_279153_000039_000003	If I thrust my image into the world of physics, it contradicts all the usual physical laws.	If I thrust my image into the world of physics, it contradicts all the usual physical laws.	true	1697.36	1702.69	19
8824_279153_000039_000004	My friend reached the chair without coming in at the door in the usual way; subsequent inquiry will show that he was somewhere else at the moment.	My friend reached the chair without coming in at the door in the usual way; subsequent inquiry will show that he was somewhere else at the moment.	true	1703.39	1711.54	20
8824_279153_000039_000005	If regarded as a sensation, my image has all the marks of the supernatural.	If regarded as a sensation, my image has all the marks of the supernatural.	true	1712.33	1717.33	20.214634
8824_279153_000039_000006	My image, therefore, is regarded as an event in me, not as having that position in the orderly happenings of the public world that belongs to sensations.	My image, therefore, is regarded as an event in me, not as having that position in the orderly happenings of the public world that belongs to sensations.	false	1717.4	1725.61	17
8824_279153_000039_000007	By saying that it is an event in me, we leave it possible that it may be PHYSIOLOGICALLY caused: its privacy may be only due to its connection with my body.	By saying that it is an event in me, we leave it possible that it may be PHYSIOLOGICALLY caused: its privacy may be only due to its connection with my body.	true	1725.89	1736.26	23.583858
8824_279153_000039_000008	But in any case it is not a public event, like an actual person walking in at the door and sitting down in my chair.	But in any case it is not a public event, like an actual person walking in at the door and sitting down in my chair.	true	1736.96	1742.77	18
8824_279153_000039_000009	And it cannot, like inner speech, be regarded as a SMALL sensation, since it occupies just as large an area in my visual field as the actual sensation would do.	And it cannot, like inner speech, be regarded as a SMALL sensation, since it occupies just as large an area in my visual field as the actual sensation would do.	true	1743.14	1753.21	21.816242
8824_279153_000040_000000	Professor Watson says: "I should throw out imagery altogether and attempt to show that all natural thought goes on in terms of sensori-motor processes in the larynx."	Professor Watson says: "I should throw out imagery altogether and attempt to show that all natural thought goes on in terms of sensori motor processes in the larynx."	false	1753.97	1766.16	25.208914
8824_279153_000040_000001	This view seems to me flatly to contradict experience.	This view seems to me flatly to contradict experience.	true	1766.16	1769.23	23
8824_279153_000040_000002	If you try to persuade any uneducated person that she cannot call up a visual picture of a friend sitting in a chair, but can only use words describing what such an occurrence would be like, she will conclude that you are mad. (This statement is based upon experiment.) Galton, as every one knows, investigated visual imagery, and found that education tends to kill it: the Fellows of the Royal Society turned out to have much less of it than their wives.	If you try to persuade any uneducated person that she cannot call up a visual picture of a friend sitting in a chair, but can only use words describing what such an occurrence would be like, she will conclude that you are mad. (This statement is based upon experiment.) Galton, as every one knows, investigated visual imagery, and found that education tends to kill it: the Fellows of the Royal Society turned out to have much less of it than their wives.	true	1770.14	1796.02	22.076832
8824_279153_000040_000003	I see no reason to doubt his conclusion that the habit of abstract pursuits makes learned men much inferior to the average in power of visualizing, and much more exclusively occupied with words in their "thinking." And Professor Watson is a very learned man.	I see no reason to doubt his conclusion that the habit of abstract pursuits makes learned men much inferior to the average in power of visualizing, and much more exclusively occupied with words in their "thinking." And Professor Watson is a very learned man.	false	1796.6	1812.4	21.64994
8824_279153_000041_000000	I shall henceforth assume that the existence of images is admitted, and that they are to be distinguished from sensations by their causes, as well as, in a lesser degree, by their effects.	I shall henceforth assume that the existence of images is admitted, and that they are to be distinguished from sensations by their causes, as well as, in a lesser degree, by their effects.	true	1812.95	1823.08	20.517923
8824_279153_000041_000001	In their intrinsic nature, though they often differ from sensations by being more dim or vague or faint, yet they do not always or universally differ from sensations in any way that can be used for defining them.	In their intrinsic nature, though they often differ from sensations by being more dim or vague or faint, yet they do not always or universally differ from sensations in any way that can be used for defining them.	true	1823.54	1835.31	20
8824_279153_000041_000002	Their privacy need form no bar to the scientific study of them, any more than the privacy of bodily sensations does.	Their privacy need form no bar to the scientific study of them, any more than the privacy of bodily sensations does.	false	1835.31	1842.19	19.537086
8824_279153_000041_000003	Bodily sensations are admitted by even the most severe critics of introspection, although, like images, they can only be observed by one observer.	Bodily sensations are admitted by even the most severe critics of introspection, although, like images, they can only be observed by one observer.	true	1842.74	1850.95	21.121513
8824_279153_000041_000004	It must be admitted, however, that the laws of the appearance and disappearance of images are little known and difficult to discover, because we are not assisted, as in the case of sensations, by our knowledge of the physical world.	It must be admitted, however, that the laws of the appearance and disappearance of images are little known and difficult to discover, because we are not assisted, as in the case of sensations, by our knowledge of the physical world.	false	1851.29	1864.18	20.364603
8824_279153_000042_000000	There remains one very important point concerning images, which will occupy us much hereafter, and that is, their resemblance to previous sensations.	There remains one very important point concerning images, which will occupy us much hereafter, and that is, their resemblance to previous sensations.	false	1864.79	1873.81	23.546196
8824_279153_000042_000001	They are said to be "copies" of sensations, always as regards the simple qualities that enter into them, though not always as regards the manner in which these are put together.	They are said to be "copies" of sensations, always as regards the simple qualities that enter into them, though not always as regards the manner in which these are put together.	true	1873.91	1882.51	18
8824_279153_000042_000002	It is generally believed that we cannot imagine a shade of colour that we have never seen, or a sound that we have never heard.	It is generally believed that we cannot imagine a shade of colour that we have never seen, or a sound that we have never heard.	true	1882.88	1890.07	19.471807
8824_279153_000042_000003	On this subject Hume is the classic.	On this subject Hume is the classic.	true	1890.38	1893.04	24.390282
8824_279153_000042_000004	He says, in the definitions already quoted:	He says, in the definitions already quoted:	false	1893.59	1896.48	24.719774
8824_279153_000043_000000	"Those perceptions, which enter with most force and violence, we may name IMPRESSIONS; and under this name I comprehend all our sensations, passions and emotions, as they make their first appearance in the soul. By IDEAS I mean the faint images of these in thinking and reasoning."	"Those perceptions, which enter with most force and violence, we may name IMPRESSIONS; and under this name I comprehend all our sensations, passions and emotions, as they make their first appearance in the soul. By IDEAS I mean the faint images of these in thinking and reasoning."	false	1896.48	1914.66	22.068047
8824_279153_000044_000000	He next explains the difference between simple and complex ideas, and explains that a complex idea may occur without any similar complex impression.	He next explains the difference between simple and complex ideas, and explains that a complex idea may occur without any similar complex impression.	true	1914.66	1923.55	22.592844
8824_279153_000044_000001	But as regards simple ideas, he states that "every simple idea has a simple impression, which resembles it, and every simple impression a correspondent idea." He goes on to enunciate the general principle "that all our simple ideas in their first appearance are derived from simple impressions, which are correspondent to them, and which they exactly represent" ("Treatise of Human Nature," Part I, Section I).	But as regards simple ideas, he states that "every simple idea has a simple impression, which resembles it, and every simple impression a correspondent idea." He goes on to enunciate the general principle "that all our simple ideas in their first appearance are derived from simple impressions, which are correspondent to them, and which they exactly represent" ("Treatise of Human Nature," Part one, Section I).	false	1923.62	1946.85	21.940063
8824_279153_000045_000000	It is this fact, that images resemble antecedent sensations, which enables us to call them images "of" this or that.	It is this fact, that images resemble antecedent sensations, which enables us to call them images "of" this or that.	true	1946.85	1955.08	25.269999
8824_279153_000045_000001	For the understanding of memory, and of knowledge generally, the recognizable resemblance of images and sensations is of fundamental importance.	For the understanding of memory, and of knowledge generally, the recognizable resemblance of images and sensations is of fundamental importance.	true	1955.24	1964.32	21.826572
8824_279153_000046_000000	There are difficulties in establishing Hume's principles, and doubts as to whether it is exactly true.	There are difficulties in establishing Hume's principles, and doubts as to whether it is exactly true.	true	1964.45	1969.74	21
8824_279153_000046_000001	Indeed, he himself signalized an exception immediately after stating his maxim.	Indeed, he himself signalized an exception immediately after stating his maxim.	true	1969.74	1974.76	18
8824_279153_000046_000002	Nevertheless, it is impossible to doubt that in the main simple images are copies of similar simple sensations which have occurred earlier, and that the same is true of complex images in all cases of memory as opposed to mere imagination. Our power of acting with reference to what is sensibly absent is largely due to this characteristic of images, although, as education advances, images tend to be more and more replaced by words.	Nevertheless, it is impossible to doubt that in the main simple images are copies of similar simple sensations which have occurred earlier, and that the same is true of complex images in all cases of memory as opposed to mere imagination. Our power of acting with reference to what is sensibly absent is largely due to this characteristic of images, although, as education advances, images tend to be more and more replaced by words.	true	1975.46	2003.02	21.398277
8824_279153_000046_000003	We shall have much to say in the next two lectures on the subject of images as copies of sensations.	We shall have much to say in the next two lectures on the subject of images as copies of sensations.	true	2003.54	2008.72	15
8824_279153_000046_000004	What has been said now is merely by way of reminder that this is their most notable characteristic.	What has been said now is merely by way of reminder that this is their most notable characteristic.	true	2009.21	2014.48	15
8824_279153_000047_000000	I am by no means confident that the distinction between images and sensations is ultimately valid, and I should be glad to be convinced that images can be reduced to sensations of a peculiar kind.	I am by no means confident that the distinction between images and sensations is ultimately valid, and I should be glad to be convinced that images can be reduced to sensations of a peculiar kind.	true	2015.21	2026.24	23.032492
8824_279153_000047_000001	I think it is clear, however, that, at any rate in the case of auditory and visual images, they do differ from ordinary auditory and visual sensations, and therefore form a recognizable class of occurrences, even if it should prove that they can be regarded as a sub-class of sensations.	I think it is clear, however, that, at any rate in the case of auditory and visual images, they do differ from ordinary auditory and visual sensations, and therefore form a recognizable class of occurrences, even if it should prove that they can be regarded as a sub class of sensations.	true	2026.94	2044.06	21.69773
8824_279153_000047_000002	This is all that is necessary to validate the use of images to be made in the sequel.	This is all that is necessary to validate the use of images to be made in the sequel.	false	2045	2052.63	20.348743
