6927_86043_000000_000000	Nur Mahomed's old mother lived for a long time in her 'son's' palace, and died in peace.	Nur Mahomed's old mother lived for a long time in her 'son's' palace, and died in peace.	false	0	2.7	19.742119
6927_86043_000043_000002	And what a search he had had!	And what a search he had had!	false	1077.92	1080.66	22.432968
6927_86043_000043_000003	A great stretch of wild jungle country had, in the night, been changed into parks and gardens; and if it had not been for some of Wali Dad's new servants, who found him and brought him to the palace, he would have fled away under the impression that his trouble had sent him crazy, and that all he saw was only imagination.	A great stretch of wild jungle country had, in the night, been changed into parks and gardens; and if it had not been for some of Wali Dad's new servants, who found him and brought him to the palace, he would have fled away under the impression that his trouble had sent him crazy, and that all he saw was only imagination.	false	1080.66	1097.44	21.62523
6927_86043_000044_000000	Then Wali Dad told the merchant all that had happened.	Then Wali Dad told the merchant all that had happened.	true	1099.28	1102.81	24.621077
6927_86043_000044_000001	By his advice he sent an invitation to the king and princess of Khaistan to come and be his guests, together with all their retinue and servants, down to the very humblest in the camp.	By his advice he sent an invitation to the king and princess of Khaistan to come and be his guests, together with all their retinue and servants, down to the very humblest in the camp.	false	1102.97	1114.12	19.648596
6927_86043_000045_000000	For three nights and days a great feast was held in honour of the royal guests.	For three nights and days a great feast was held in honour of the royal guests.	true	1114.34	1118.44	21
6927_86043_000045_000001	Every evening the king and his nobles were served on golden plates and from golden cups; and the smaller people on silver plates and from silver cups; and each evening each guest was requested to keep the places and cups that they had used as a remembrance of the occasion. Never had anything so splendid been seen.	Every evening the king and his nobles were served on golden plates and from golden cups; and the smaller people on silver plates and from silver cups; and each evening each guest was requested to keep the places and cups that they had used as a remembrance of the occasion. Never had anything so splendid been seen.	true	1118.6	1136.74	22.968666
6927_86043_000045_000002	Besides the great dinners, there were sports and hunting, and dances, and amusements of all sorts.	Besides the great dinners, there were sports and hunting, and dances, and amusements of all sorts.	true	1136.81	1142.2	23.735918
6927_86043_000046_000000	On the fourth day the king of Khaistan took his host aside, and asked him whether it was true, as he had suspected, that he wished to marry his daughter.	On the fourth day the king of Khaistan took his host aside, and asked him whether it was true, as he had suspected, that he wished to marry his daughter.	true	1143.68	1152.31	23.368351
6927_86043_000046_000001	But Wali Dad, after thanking him very much for the compliment, said that he had never dreamed of so great an honour, and that he was far too old and ugly for so fair a lady; but he begged the king to stay with him until he could send for the Prince of Nekabad, who was a most excellent, brave, and honourable young man, and would surely be delighted to try to win the hand of the beautiful princess.	But Wali Dad, after thanking him very much for the compliment, said that he had never dreamed of so great an honour, and that he was far too old and ugly for so fair a lady; but he begged the king to stay with him until he could send for the Prince of Nekabad, who was a most excellent, brave, and honourable young man, and would surely be delighted to try to win the hand of the beautiful princess.	false	1152.56	1173.52	21.563992
6927_86043_000047_000000	To this the king agreed, and Wali Dad sent the merchant to Nekabad, with a number of attendants, and with such handsome presents that the prince came at once, fell head over ears in love with the princess, and married her at Wali Dad's palace amidst a fresh outburst of rejoicings.	To this the king agreed, and Wali Dad sent the merchant to Nekabad, with a number of attendants, and with such handsome presents that the prince came at once, fell head over ears in love with the princess, and married her at Wali Dad's palace amidst a fresh outburst of rejoicings.	false	1173.77	1191.22	22.0989
6927_86043_000048_000000	And now the King of Khaistan and the Prince and Princess of Nekabad, each went back to their own country; and Wali Dad lived to a good old age, befriending all who were in trouble and preserving, in his prosperity, the simple-hearted and generous nature that he had when he was only Wali Dad Gunjay, the grass cutter.	And now the King of Khaistan and the Prince and Princess of Nekabad, each went back to their own country; and Wali Dad lived to a good old age, befriending all who were in trouble and preserving, in his prosperity, the simple hearted and generous nature that he had when he was only Wali Dad Gunjay, the grass cutter.	false	1191.95	1221.69	21.376537
