3869_700_000000_000000	"I am going away to Moscow to-morrow, if you care to know--early to-morrow morning.	"I am going away to Moscow to morrow, if you care to know-early to morrow morning.	false	0	1.56	24.944715
3869_700_000036_000002	Again, as the day before, the words seemed to drop of themselves, and he laughed, too, a peculiar, nervous laugh.	Again, as the day before, the words seemed to drop of themselves, and he laughed, too, a peculiar, nervous laugh.	true	829.11	835.74	22
3869_700_000036_000003	He remembered it long after.	He remembered it long after.	true	835.74	837.6	23.660297
3869_700_000037_000000	"It's a true saying then, that 'it's always worth while speaking to a clever man,' " answered Smerdyakov firmly, looking significantly at Ivan.	"It's a true saying then, that 'it's always worth while speaking to a clever man,' " answered Smerdyakov firmly, looking significantly at Ivan.	false	837.6	847.08	20.621868
3869_700_000038_000000	The carriage rolled away.	The carriage rolled away.	true	847.08	848.44	20.519024
3869_700_000038_000001	Nothing was clear in Ivan's soul, but he looked eagerly around him at the fields, at the hills, at the trees, at a flock of geese flying high overhead in the bright sky.	Nothing was clear in Ivan's soul, but he looked eagerly around him at the fields, at the hills, at the trees, at a flock of geese flying high overhead in the bright sky.	false	848.54	860.53	21.523975
3869_700_000038_000002	And all of a sudden he felt very happy.	And all of a sudden he felt very happy.	true	860.54	863.29	21.172985
3869_700_000038_000003	He tried to talk to the driver, and he felt intensely interested in an answer the peasant made him; but a minute later he realized that he was not catching anything, and that he had not really even taken in the peasant's answer.	He tried to talk to the driver, and he felt intensely interested in an answer the peasant made him; but a minute later he realized that he was not catching anything, and that he had not really even taken in the peasant's answer.	true	863.42	876.94	24.942425
3869_700_000038_000004	He was silent, and it was pleasant even so.	He was silent, and it was pleasant even so.	true	877.34	881.02	25.455801
3869_700_000038_000005	The air was fresh, pure and cool, the sky bright.	The air was fresh, pure and cool, the sky bright.	false	881.24	884.92	26.373835
3869_700_000038_000006	The images of Alyosha and Katerina Ivanovna floated into his mind.	The images of Alyosha and Katerina Ivanovna floated into his mind.	true	885.47	890.68	19.500515
3869_700_000038_000007	But he softly smiled, blew softly on the friendly phantoms, and they flew away.	But he softly smiled, blew softly on the friendly phantoms, and they flew away.	true	890.96	897.04	22.94464
3869_700_000038_000008	"There's plenty of time for them," he thought.	"There's plenty of time for them," he thought.	true	897.92	900.52	25.186382
3869_700_000038_000009	They reached the station quickly, changed horses, and galloped to Volovya.	They reached the station quickly, changed horses, and galloped to Volovya.	true	900.83	906.55	27.094934
3869_700_000038_000010	"Why is it worth while speaking to a clever man?	"Why is it worth while speaking to a clever man?	true	907.52	910.18	22.182323
3869_700_000038_000011	What did he mean by that?"	What did he mean by that?"	true	910.67	912.64	26.414583
3869_700_000038_000012	The thought seemed suddenly to clutch at his breathing.	The thought seemed suddenly to clutch at his breathing.	true	912.68	915.72	25.86683
3869_700_000038_000013	"And why did I tell him I was going to Tchermashnya?" They reached Volovya station.	"And why did I tell him I was going to Tchermashnya?" They reached Volovya station.	true	915.72	921.15	22.976532
3869_700_000038_000014	Ivan got out of the carriage, and the drivers stood round him bargaining over the journey of twelve versts to Tchermashnya.	Ivan got out of the carriage, and the drivers stood round him bargaining over the journey of twelve versts to Tchermashnya.	false	921.15	928.09	22.190676
3869_700_000038_000015	He told them to harness the horses.	He told them to harness the horses.	true	928.52	930.46	21.687746
3869_700_000038_000016	He went into the station house, looked round, glanced at the overseer's wife, and suddenly went back to the entrance.	He went into the station house, looked round, glanced at the overseer's wife, and suddenly went back to the entrance.	true	930.65	938.17	23.358795
3869_700_000039_000000	"I won't go to Tchermashnya.	"I won't go to Tchermashnya.	false	938.27	940.03	30.369768
3869_700_000039_000001	Am I too late to reach the railway by seven, brothers?"	Am I too late to reach the railway by seven, brothers?"	true	940.16	943.54	21.896084
3869_700_000040_000000	"We shall just do it.	"We shall just do it.	true	943.85	945.61	27.723722
3869_700_000040_000001	Shall we get the carriage out?"	Shall we get the carriage out?"	true	945.8	948.34	23.828754
3869_700_000041_000000	"At once.	"At once.	true	948.59	949.48	22.054955
3869_700_000041_000001	Will any one of you be going to the town to-morrow?"	Will any one of you be going to the town to morrow?"	true	949.73	953.08	19.32812
3869_700_000042_000000	"To be sure.	"To be sure.	true	953.39	954.52	24.474977
3869_700_000042_000001	Mitri here will."	Mitri here will."	true	954.59	956.73	26.226395
3869_700_000043_000000	"Can you do me a service, Mitri?	"Can you do me a service, Mitri?	false	956.73	958.63	21.15994
3869_700_000043_000001	Go to my father's, to Fyodor Pavlovitch Karamazov, and tell him I haven't gone to Tchermashnya.	Go to my father's, to Fyodor Pavlovitch Karamazov, and tell him I haven't gone to Tchermashnya.	false	958.82	965.01	24.453245
3869_700_000043_000002	Can you?"	Can you?"	false	965.01	966.15	36.331352
3869_700_000044_000000	"Of course I can.	"Of course I can.	false	966.15	968.175	25.62646
3869_700_000044_000001	I've known Fyodor Pavlovitch a long time."	I've known Fyodor Pavlovitch a long time."	true	968.175	971.61	24.093918
3869_700_000045_000000	"And here's something for you, for I dare say he won't give you anything," said Ivan, laughing gayly.	"And here's something for you, for I dare say he won't give you anything," said Ivan, laughing gayly.	false	971.61	978.19	20.740257
3869_700_000046_000000	"You may depend on it he won't." Mitya laughed too.	"You may depend on it he won't." Mitya laughed too.	false	978.47	981.61	24.877605
3869_700_000046_000001	"Thank you, sir.	"Thank you, sir.	true	981.92	983.02	25.571339
3869_700_000046_000002	I'll be sure to do it."	I'll be sure to do it."	true	983.18	985.21	19.558039
3869_700_000047_000000	At seven o'clock Ivan got into the train and set off to Moscow "Away with the past.	At seven o'clock Ivan got into the train and set off to Moscow "Away with the past.	false	985.49	990.945	26.145739
3869_700_000047_000001	I've done with the old world for ever, and may I have no news, no echo, from it.	I've done with the old world for ever, and may I have no news, no echo, from it.	true	990.945	995.98	20.136566
3869_700_000047_000002	To a new life, new places and no looking back!" But instead of delight his soul was filled with such gloom, and his heart ached with such anguish, as he had never known in his life before.	To a new life, new places and no looking back!" But instead of delight his soul was filled with such gloom, and his heart ached with such anguish, as he had never known in his life before.	true	996.59	1009.96	22.785244
3869_700_000047_000003	He was thinking all the night.	He was thinking all the night.	true	1010.39	1012.03	28.076618
3869_700_000047_000004	The train flew on, and only at daybreak, when he was approaching Moscow, he suddenly roused himself from his meditation.	The train flew on, and only at daybreak, when he was approaching Moscow, he suddenly roused himself from his meditation.	true	1012.19	1020.84	23.077793
3869_700_000048_000000	"I am a scoundrel," he whispered to himself.	"I am a scoundrel," he whispered to himself.	true	1020.84	1024.36	22.150393
3869_700_000049_000000	Fyodor Pavlovitch remained well satisfied at having seen his son off.	Fyodor Pavlovitch remained well satisfied at having seen his son off.	true	1024.76	1028.92	21.098436
3869_700_000049_000001	For two hours afterwards he felt almost happy, and sat drinking brandy.	For two hours afterwards he felt almost happy, and sat drinking brandy.	true	1029.23	1034.23	23.797432
3869_700_000049_000002	But suddenly something happened which was very annoying and unpleasant for every one in the house, and completely upset Fyodor Pavlovitch's equanimity at once.	But suddenly something happened which was very annoying and unpleasant for every one in the house, and completely upset Fyodor Pavlovitch's equanimity at once.	true	1034.23	1042.84	23
3869_700_000049_000003	Smerdyakov went to the cellar for something and fell down from the top of the steps.	Smerdyakov went to the cellar for something and fell down from the top of the steps.	true	1043	1047.93	24.7073
3869_700_000049_000004	Fortunately, Marfa Ignatyevna was in the yard and heard him in time.	Fortunately, Marfa Ignatyevna was in the yard and heard him in time.	true	1047.93	1052.64	23.197943
3869_700_000049_000005	She did not see the fall, but heard his scream--the strange, peculiar scream, long familiar to her--the scream of the epileptic falling in a fit.	She did not see the fall, but heard his scream-the strange, peculiar scream, long familiar to her-the scream of the epileptic falling in a fit.	true	1052.64	1062.1	25.273344
3869_700_000049_000006	They could not tell whether the fit had come on him at the moment he was descending the steps, so that he must have fallen unconscious, or whether it was the fall and the shock that had caused the fit in Smerdyakov, who was known to be liable to them.	They could not tell whether the fit had come on him at the moment he was descending the steps, so that he must have fallen unconscious, or whether it was the fall and the shock that had caused the fit in Smerdyakov, who was known to be liable to them.	true	1062.29	1075.3	23.611664
3869_700_000049_000007	They found him at the bottom of the cellar steps, writhing in convulsions and foaming at the mouth.	They found him at the bottom of the cellar steps, writhing in convulsions and foaming at the mouth.	true	1075.37	1080.94	21.843876
3869_700_000049_000008	It was thought at first that he must have broken something--an arm or a leg--and hurt himself, but "God had preserved him," as Marfa Ignatyevna expressed it--nothing of the kind had happened.	It was thought at first that he must have broken something-an arm or a leg-and hurt himself, but "God had preserved him," as Marfa Ignatyevna expressed it-nothing of the kind had happened.	true	1081.16	1095.76	24.444073
3869_700_000049_000009	But it was difficult to get him out of the cellar.	But it was difficult to get him out of the cellar.	true	1096.16	1099.15	23.689466
3869_700_000049_000010	They asked the neighbors to help and managed it somehow.	They asked the neighbors to help and managed it somehow.	true	1099.28	1103.26	24.207922
3869_700_000049_000011	Fyodor Pavlovitch himself was present at the whole ceremony.	Fyodor Pavlovitch himself was present at the whole ceremony.	true	1103.48	1106.74	24.375137
3869_700_000049_000012	He helped, evidently alarmed and upset.	He helped, evidently alarmed and upset.	true	1106.99	1110.16	22.55737
3869_700_000049_000013	The sick man did not regain consciousness; the convulsions ceased for a time, but then began again, and every one concluded that the same thing would happen, as had happened a year before, when he accidentally fell from the garret. They remembered that ice had been put on his head then.	The sick man did not regain consciousness; the convulsions ceased for a time, but then began again, and every one concluded that the same thing would happen, as had happened a year before, when he accidentally fell from the garret. They remembered that ice had been put on his head then.	true	1110.41	1126.48	22.661123
3869_700_000049_000014	There was still ice in the cellar, and Marfa Ignatyevna had some brought up.	There was still ice in the cellar, and Marfa Ignatyevna had some brought up.	true	1126.97	1131.64	24.732248
3869_700_000049_000015	In the evening, Fyodor Pavlovitch sent for Doctor Herzenstube, who arrived at once.	In the evening, Fyodor Pavlovitch sent for Doctor Herzenstube, who arrived at once.	false	1132.1	1137.78	25.495197
3869_700_000049_000016	He was a most estimable old man, and the most careful and conscientious doctor in the province.	He was a most estimable old man, and the most careful and conscientious doctor in the province.	true	1137.78	1143.94	24.128998
3869_700_000049_000017	After careful examination, he concluded that the fit was a very violent one and might have serious consequences; that meanwhile he, Herzenstube, did not fully understand it, but that by to-morrow morning, if the present remedies were unavailing, he would venture to try something else.	After careful examination, he concluded that the fit was a very violent one and might have serious consequences; that meanwhile he, Herzenstube, did not fully understand it, but that by to morrow morning, if the present remedies were unavailing, he would venture to try something else.	true	1144.43	1162.54	20.100565
3869_700_000049_000018	The invalid was taken to the lodge, to a room next to Grigory's and Marfa Ignatyevna's.	The invalid was taken to the lodge, to a room next to Grigory's and Marfa Ignatyevna's.	true	1162.67	1168.36	22.363451
3869_700_000050_000000	Then Fyodor Pavlovitch had one misfortune after another to put up with that day.	Then Fyodor Pavlovitch had one misfortune after another to put up with that day.	true	1168.49	1172.98	25.716028
3869_700_000050_000001	Marfa Ignatyevna cooked the dinner, and the soup, compared with Smerdyakov's, was "no better than dish-water," and the fowl was so dried up that it was impossible to masticate it.	Marfa Ignatyevna cooked the dinner, and the soup, compared with Smerdyakov's, was "no better than dish water," and the fowl was so dried up that it was impossible to masticate it.	true	1173.23	1185.7	23.447792
3869_700_000050_000002	To her master's bitter, though deserved, reproaches, Marfa Ignatyevna replied that the fowl was a very old one to begin with, and that she had never been trained as a cook.	To her master's bitter, though deserved, reproaches, Marfa Ignatyevna replied that the fowl was a very old one to begin with, and that she had never been trained as a cook.	true	1186.37	1196.5	20.198612
3869_700_000050_000003	In the evening there was another trouble in store for Fyodor Pavlovitch; he was informed that Grigory, who had not been well for the last three days, was completely laid up by his lumbago.	In the evening there was another trouble in store for Fyodor Pavlovitch; he was informed that Grigory, who had not been well for the last three days, was completely laid up by his lumbago.	true	1196.96	1207.54	23.612858
3869_700_000050_000004	Fyodor Pavlovitch finished his tea as early as possible and locked himself up alone in the house.	Fyodor Pavlovitch finished his tea as early as possible and locked himself up alone in the house.	true	1207.85	1213.27	22.546997
3869_700_000050_000005	He was in terrible excitement and suspense.	He was in terrible excitement and suspense.	true	1213.55	1216.98	28.150587
3869_700_000050_000006	That evening he reckoned on Grushenka's coming almost as a certainty.	That evening he reckoned on Grushenka's coming almost as a certainty.	false	1216.98	1221.01	22.376009
3869_700_000050_000007	He had received from Smerdyakov that morning an assurance "that she had promised to come without fail." The incorrigible old man's heart throbbed with excitement; he paced up and down his empty rooms listening.	He had received from Smerdyakov that morning an assurance "that she had promised to come without fail." The incorrigible old man's heart throbbed with excitement; he paced up and down his empty rooms listening.	true	1221.47	1236.13	21.033749
3869_700_000050_000008	He had to be on the alert.	He had to be on the alert.	true	1236.56	1238.53	29.165607
3869_700_000050_000009	Dmitri might be on the watch for her somewhere, and when she knocked on the window (Smerdyakov had informed him two days before that he had told her where and how to knock) the door must be opened at once.	Dmitri might be on the watch for her somewhere, and when she knocked on the window (Smerdyakov had informed him two days before that he had told her where and how to knock) the door must be opened at once.	true	1238.66	1250.2	23.299599
3869_700_000050_000010	She must not be a second in the passage, for fear--which God forbid!--that she should be frightened and run away.	She must not be a second in the passage, for fear-which God forbid!--that she should be frightened and run away.	true	1250.2	1257.4	23.898268
3869_700_000050_000011	Fyodor Pavlovitch had much to think of, but never had his heart been steeped in such voluptuous hopes.	Fyodor Pavlovitch had much to think of, but never had his heart been steeped in such voluptuous hopes.	true	1257.44	1264.12	27.323011
3869_700_000050_000012	This time he could say almost certainly that she would come!	This time he could say almost certainly that she would come!	false	1264.46	1283.46	24.686821
