7962_110061_000000_000000	_Of the Moral Observances in Conversation._	underscore Of the Moral Observances in Conversation.underscore	false	26.73	32.19	24.526688
7962_110061_000052_000001	When both these qualities are regulated by reason, use, and taste, it is very well; but how seldom is this the case!	When both these qualities are regulated by reason, use, and taste, it is very well; but how seldom is this the case!	false	1152.15	1160.65	21.646875
7962_110061_000053_000000	They are not so used, if, in the course of a discussion, you suppose a respectable person to supply the place of a madman, an ill-bred person, or a robber; or, if you suppose him to be in a situation disgraceful or even ridiculous.	They are not so used, if, in the course of a discussion, you suppose a respectable person to supply the place of a madman, an ill bred person, or a robber; or, if you suppose him to be in a situation disgraceful or even ridiculous.	true	1161.23	1177	21
7962_110061_000053_000001	As, for example; _If you had been this bad person_; or, _Suppose, that you had committed this base act_; or, _that you should be laughed at_, &c.	As, for example; underscore If you had been this bad person underscore; or, underscore Suppose, that you had committed this base act underscore; or, underscore that you should be laughed at underscore, and c.	false	1177.28	1188.51	25.444296
7962_110061_000054_000000	They are also misplaced, whenever, being satisfied with avoiding disagreeable comparisons, we endeavor to mark out some one as contemptible, by comparing his exterior with that of some other person in the company.	They are also misplaced, whenever, being satisfied with avoiding disagreeable comparisons, we endeavor to mark out some one as contemptible, by comparing his exterior with that of some other person in the company.	true	1188.51	1202.02	18
7962_110061_000054_000001	When we say; _This unfortunate man is of your size, sir; he has your traits, your physiognomy_, &c.	When we say; underscore This unfortunate man is of your size, sir; he has your traits, your physiognomy underscore, and c.	false	1202.3	1209.73	23.979881
7962_110061_000055_000000	They are also misplaced, if used in the presence of people of a profession upon which the injurious comparisons fall, as when we say; _As quackish as a doctor_; _greedy as an attorney_; _loquacious as a lawyer_, &c.	They are also misplaced, if used in the presence of people of a profession upon which the injurious comparisons fall, as when we say; underscore As quackish as a doctor underscore; underscore greedy as an attorney underscore; underscore loquacious as a lawyer underscore, and c.	false	1209.73	1225.02	24.957685
7962_110061_000056_000000	Finally, politeness and taste cannot at all exist in comparisons, if they are common or trivial, as when we say, _black as the chimney-back_, _high as one's hand_, &c.; or, if they are in a turgid and pretending style, such as, _learned as the Muses_, _fresh as the meadows_, &c.	Finally, politeness and taste cannot at all exist in comparisons, if they are common or trivial, as when we say, underscore black as the chimney back underscore, underscore high as one's hand underscore, and c.; or, if they are in a turgid and pretending style, such as, underscore learned as the Muses underscore, underscore fresh as the meadows underscore, and c.	false	1225.02	1246.88	23.673096
7962_110061_000057_000000	SECTION V.	SECTION v	false	1246.88	1247.82	15
7962_110061_000058_000000	_Of Discussions and Quotations._	underscore Of Discussions and Quotations.underscore	false	1247.82	1250.91	26.364273
7962_110061_000059_000000	Whatever be the subject of conversation, propose your opinion with modesty; defend it with sangfroid and a mild tone if you are opposed; yield with a good grace if you are wrong; yield also, although you are in the right, if the subject of discussion is of little importance, and especially if the one who opposes you is a lady, or an old person. Moreover, if love of truth or the desire of affording instruction force you to enter into a discussion, do it with address and politeness.	Whatever be the subject of conversation, propose your opinion with modesty; defend it with sangfroid and a mild tone if you are opposed; yield with a good grace if you are wrong; yield also, although you are in the right, if the subject of discussion is of little importance, and especially if the one who opposes you is a lady, or an old person. Moreover, if love of truth or the desire of affording instruction force you to enter into a discussion, do it with address and politeness.	true	1250.91	1282.93	23.870796
7962_110061_000059_000001	If you do not bring over your opponent to your own opinion, you will at least gain his esteem.	If you do not bring over your opponent to your own opinion, you will at least gain his esteem.	true	1283	1288.57	26
7962_110061_000060_000000	But if you have to do with one of those people who, possessed with a mania of discussion, commence by contradicting before they hear, and who are always ready to sustain the contrary opinion, yield to him; you will have nothing to gain with him.	But if you have to do with one of those people who, possessed with a mania of discussion, commence by contradicting before they hear, and who are always ready to sustain the contrary opinion, yield to him; you will have nothing to gain with him.	true	1288.88	1303.88	22
7962_110061_000060_000001	Be assured that the spirit of contradiction can be conquered only by silence.	Be assured that the spirit of contradiction can be conquered only by silence.	true	1303.88	1308.88	23.450726
7962_110061_000061_000000	The insupportable pedantry of a cloud of quoters, without tact or talent, has justly, for a long time, thrown quotations into disrepute; but if they are well chosen, few, and short; if they are a-propos,	The insupportable pedantry of a cloud of quoters, without tact or talent, has justly, for a long time, thrown quotations into disrepute; but if they are well chosen, few, and short; if they are a propos,	false	1309.28	1323.6	24.353708
7962_110061_000062_000000	Qui fuit comme le temps, qui plait comme les graces;	Qui fuit comme le temps, qui plait comme les graces;	false	1323.6	1327.98	34.262634
7962_110061_000063_000000	if they are altogether new, and wielded by a person possessed of modesty, elegance, and taste, having a perfect knowledge of the world, quotations have much success and charm; but without these conditions, there is little safety; and in this matter there can be no mediocrity; you will either be a good model, or an insupportable pedant.	if they are altogether new, and wielded by a person possessed of modesty, elegance, and taste, having a perfect knowledge of the world, quotations have much success and charm; but without these conditions, there is little safety; and in this matter there can be no mediocrity; you will either be a good model, or an insupportable pedant.	false	1327.98	1348.92	24.595894
7962_110061_000063_000001	Consider if you will rashly run this chance, especially on making your debut in society, when young persons ought so carefully to avoid making a parade of a vain college erudition, and not seek the reputation of a savant by employing words borrowed from foreign languages, or scientific terms unknown in good society.	Consider if you will rashly run this chance, especially on making your debut in society, when young persons ought so carefully to avoid making a parade of a vain college erudition, and not seek the reputation of a savant by employing words borrowed from foreign languages, or scientific terms unknown in good society.	false	1348.92	1369.18	17
7962_110061_000064_000000	SECTION VI.	SECTION VI.	false	1370.63	1371.75	38.077915
7962_110061_000065_000000	_Of Pleasantry, Proverbs, Puns, and Bon Mots._	underscore Of Pleasantry, proverbs, Puns, and Bon Mots.underscore	false	1371.75	1376.04	26.466192
7962_110061_000066_000000	If society is not a school for exercising pedantry, neither is it an arena for the use of those perversely clever people, who think themselves furnished with a patent to insult with grace.	If society is not a school for exercising pedantry, neither is it an arena for the use of those perversely clever people, who think themselves furnished with a patent to insult with grace.	true	1376.04	1387.84	19
7962_110061_000066_000001	Whatever may be the keenness of their sarcasms, the piquancy of their observations, or the smile which they excite in me, I do not the less refuse to allow to those caustic spirits the name of polite persons, or of good _ton_; for, in politeness there must be good feeling.	Whatever may be the keenness of their sarcasms, the piquancy of their observations, or the smile which they excite in me, I do not the less refuse to allow to those caustic spirits the name of polite persons, or of good underscore ton underscore; for, in politeness there must be good feeling.	false	1387.97	1407.31	22
7962_110061_000066_000002	But those who incessantly study to trouble and wound people, without taking any precaution except to deprive them of the right or means of complaining; who are ready to catch at the least error, to exaggerate it, to clothe it in the most bitter language, to present it in the most ridiculous light; who meanly attack those who cannot answer them, or expose themselves every day for a sarcasm to sport with their own life and that of another in a duel--such people, what are they?--in truth, I dare not say.	But those who incessantly study to trouble and wound people, without taking any precaution except to deprive them of the right or means of complaining; who are ready to catch at the least error, to exaggerate it, to clothe it in the most bitter language, to present it in the most ridiculous light; who meanly attack those who cannot answer them, or expose themselves every day for a sarcasm to sport with their own life and that of another in a duel-such people, what are they?--in truth, I dare not say.	false	1407.62	1440.4	24.323336
7962_110061_000067_000000	One such picture, which, certainly is not highly colored, would render pleasantries always odious; but to indulge in pleasantry is not to resemble such mischievous persons, thank heaven, it is far otherwise; for mild, kind, and harmless pleasantry should be taken in good part even by those who are the subjects of it; it is a friendly, and sportive contest, in which severity, jealousy, and resentment should never appear; whenever you perceive the least trace of them, the pleasantry is at an end; desist, then, the moment they appear.	One such picture, which, certainly is not highly colored, would render pleasantries always odious; but to indulge in pleasantry is not to resemble such mischievous persons, thank heaven, it is far otherwise; for mild, kind, and harmless pleasantry should be taken in good part even by those who are the subjects of it; it is a friendly, and sportive contest, in which severity, jealousy, and resentment should never appear; whenever you perceive the least trace of them, the pleasantry is at an end; desist, then, the moment they appear.	true	1440.62	1474.51	24.394663
7962_110061_000068_000000	As to hoaxing, that caustic of fools; as to that silly gaiety, excited by the candor or politeness of people whom you falsely cause to believe the most foolish things, because they do not make known to you that they see through this pleasure of stupid fellows, I have nothing to say of them, except that I have too good an opinion of my reader to suppose that he does not despise them as I do.	As to hoaxing, that caustic of fools; as to that silly gaiety, excited by the candor or politeness of people whom you falsely cause to believe the most foolish things, because they do not make known to you that they see through this pleasure of stupid fellows, I have nothing to say of them, except that I have too good an opinion of my reader to suppose that he does not despise them as I do.	true	1475.48	1499.53	23
7962_110061_000069_000000	Popular quotations and proverbs, as well as other quotations, require some care; and, except in familiar conversation, are altogether misplaced.	Popular quotations and proverbs, as well as other quotations, require some care; and, except in familiar conversation, are altogether misplaced.	true	1500.2	1509.79	26.158997
7962_110061_000069_000001	If they are frequent, conversation becomes a tedious gossipping; if introduced without a short previous remark, one of two things will take place, they will either prevent the speaker from being understood, or they will give him the air of Sancho Panza.	If they are frequent, conversation becomes a tedious gossipping; if introduced without a short previous remark, one of two things will take place, they will either prevent the speaker from being understood, or they will give him the air of Sancho Panza.	true	1510.31	1526.02	24.094353
7962_110061_000069_000002	But the previous remark, however, need be but short; _as the proverb says_, _as the wisdom of nations has it_.	But the previous remark, however, need be but short; underscore as the proverb says underscore, underscore as the wisdom of nations has it underscore.	false	1526.09	1534.65	25.275177
7962_110061_000069_000003	A proverb well applied, and placed at the end of a phrase, frequently makes a very happy conclusion.	A proverb well applied, and placed at the end of a phrase, frequently makes a very happy conclusion.	true	1534.65	1540.9	26.843008
7962_110061_000070_000000	I only speak to censure; I entreat my readers not to suffer themselves to be the manufacturers of puns, and to despise this talent of fools and childish means to excite a passing laugh.	I only speak to censure; I entreat my readers not to suffer themselves to be the manufacturers of puns, and to despise this talent of fools and childish means to excite a passing laugh.	true	1541.51	1555.59	22
7962_110061_000070_000001	Not that we cannot repeat in good company one of those rare political bon mots which are happy in every respect; nor that we ought to deprecate this kind of pleasantry before people who are fond of them, still less to tell them what they hear every day, _That is poor_; to have taste, does not authorize us to be impolite.	Not that we cannot repeat in good company one of those rare political bon mots which are happy in every respect; nor that we ought to deprecate this kind of pleasantry before people who are fond of them, still less to tell them what they hear every day, underscore That is poor underscore; to have taste, does not authorize us to be impolite.	false	1555.59	1576.62	25.50687
7962_110061_000071_000000	We must be much more severe upon another kind of equivoques; namely, those which offend modesty.	We must be much more severe upon another kind of equivoques; namely, those which offend modesty.	false	1576.62	1584.34	25.350874
7962_110061_000071_000001	Propriety allows you, and it even requires you not to listen to, but even to interrupt an ill-bred person who importunes you with those indecent witticisms which a man of good society ought always to avoid; they are those by aid of which we cover certain pleasantries with a veil so transparent, that they are the more observed.	Propriety allows you, and it even requires you not to listen to, but even to interrupt an ill bred person who importunes you with those indecent witticisms which a man of good society ought always to avoid; they are those by aid of which we cover certain pleasantries with a veil so transparent, that they are the more observed.	false	1584.53	1607.59	23
7962_110061_000071_000002	What pleasure can we find in causing ladies to blush, and in meriting the name of a man of bad society?	What pleasure can we find in causing ladies to blush, and in meriting the name of a man of bad society?	true	1607.63	1614.58	21
7962_110061_000072_000000	There are those who think that they may allow themselves every kind of pleasantry before certain persons; but a man of good _ton_ ought to observe it wherever he is.	There are those who think that they may allow themselves every kind of pleasantry before certain persons; but a man of good underscore ton underscore ought to observe it wherever he is.	false	1615.43	1624.9	22.913347
7962_110061_000072_000001	We might quote more than one example of persons, who have lost politeness of manners and of language by assuming the habits and conversation of all kinds of society into which chance may have carried them.	We might quote more than one example of persons, who have lost politeness of manners and of language by assuming the habits and conversation of all kinds of society into which chance may have carried them.	true	1625.09	1637.77	18
7962_110061_000072_000002	It requires but a moment to lose those delicate shades of character which constitute a man of the world, and which cost us so much labor to acquire.	It requires but a moment to lose those delicate shades of character which constitute a man of the world, and which cost us so much labor to acquire.	true	1638.02	1647.37	25.50978
7962_110061_000073_000000	It is a great error to suppose that we must always shine in conversation, and that it is better to make ourselves admired by a lively and ready repartee, than to content ourselves sometimes with silence, or with an answer less brilliant than judicious.[15] We must not imagine that all traits of wit are in the class of politeness; a vain and triumphant air spoils a bon mot; moreover, when you repeat a thing of this kind of which you are the author, beware of saying so to your auditors.	It is a great error to suppose that we must always shine in conversation, and that it is better to make ourselves admired by a lively and ready repartee, than to content ourselves sometimes with silence, or with an answer less brilliant than judicious.[fifteen] We must not imagine that all traits of wit are in the class of politeness; a vain and triumphant air spoils a bon mot; moreover, when you repeat a thing of this kind of which you are the author, beware of saying so to your auditors.	false	1647.77	1678.56	22
7962_110061_000074_000000	[15] That a reply may be truly pleasing, it is necessary that he who makes it has a right so to do, and that we may quote it without doing him any wrong; otherwise, we should laugh at the reply, and despise the author of it.	[fifteen] That a reply may be truly pleasing, it is necessary that he who makes it has a right so to do, and that we may quote it without doing him any wrong; otherwise, we should laugh at the reply, and despise the author of it.	false	1678.56	1678.86	-20
7962_110061_000074_000001	There are replies which are pleasing in the mouth of a military man, but which would be ridiculous in the mouth of a civil magistrate.	There are replies which are pleasing in the mouth of a military man, but which would be ridiculous in the mouth of a civil magistrate.	false	1678.86	1679.04	-20
7962_110061_000074_000002	A young lady may make lively and brilliant repartees, which would be insupportable in a woman in the decline of life; as the latter might make such as would be unsuitable in a young lady.	A young lady may make lively and brilliant repartees, which would be insupportable in a woman in the decline of life; as the latter might make such as would be unsuitable in a young lady.	false	1679.04	1679.3	-20
7962_110061_000075_000000	SECTION VII.	SECTION seven.	true	1679.3	1680.57	19
7962_110061_000076_000000	_Of Eulogiums, Complainings, Improprieties in general, and Prejudices._	underscore Of Eulogiums, Complainings, Improprieties in general, and Prejudices.underscore	false	1680.57	1687.68	22.49614
7962_110061_000077_000000	One of the most improper things, is to praise to excess and unseasonably.	One of the most improper things, is to praise to excess and unseasonably.	false	1687.68	1693.14	17
7962_110061_000077_000001	Extravagant and misplaced eulogiums neither honor the one who bestows them, nor the persons who receive them.	Extravagant and misplaced eulogiums neither honor the one who bestows them, nor the persons who receive them.	true	1693.14	1699.99	18
7962_110061_000078_000000	An infallible method of giving a meritorious person the air of a fool, is to address him to his face and without disguise, to load him with exaggerated eulogiums; it is indeed not a little embarrassing to reply in such a case.	An infallible method of giving a meritorious person the air of a fool, is to address him to his face and without disguise, to load him with exaggerated eulogiums; it is indeed not a little embarrassing to reply in such a case.	false	1700.15	1715.26	19
7962_110061_000078_000001	If we remain silent, we appear to be inhaling the incense with complacency; if we repel it, we only seem to excite it the more.	If we remain silent, we appear to be inhaling the incense with complacency; if we repel it, we only seem to excite it the more.	true	1715.45	1724.14	22
7962_110061_000078_000002	Thus we see, in such a case, and even among very clever persons too, those who reply by silly exclamations and by rude assertions.	Thus we see, in such a case, and even among very clever persons too, those who reply by silly exclamations and by rude assertions.	true	1724.42	1733.52	22
7962_110061_000078_000003	_You were laughing at me_, they say; this cannot be tolerated; it is to be supposed that the person who praises you is incapable of such an act.	underscore You were laughing at me underscore, they say; this cannot be tolerated; it is to be supposed that the person who praises you is incapable of such an act.	false	1733.52	1742.13	24.012012
7962_110061_000078_000004	I think it would be better to say, _I did not know you were so kind_ (or so good) _I should indeed think you were joking me_.	I think it would be better to say, underscore I did not know you were so kind underscore (or so good) underscore I should indeed think you were joking me underscore.	false	1742.13	1749.87	23.050491
7962_110061_000078_000005	Or else, we should say, _your partiality blinds you_.	Or else, we should say, underscore your partiality blinds you underscore.	false	1749.87	1754.76	20.680485
7962_110061_000079_000000	Persons who are unacquainted with the world, commonly think that they cannot address a lady without first assailing her with compliments.	Persons who are unacquainted with the world, commonly think that they cannot address a lady without first assailing her with compliments.	true	1754.76	1761.64	16
7962_110061_000079_000001	This is a mistake, gentlemen, and I can with relation to this point, reveal to you what my sex prefers to these vulgar eulogiums.	This is a mistake, gentlemen, and I can with relation to this point, reveal to you what my sex prefers to these vulgar eulogiums.	true	1761.77	1770.37	22
7962_110061_000080_000000	It is in bad _ton_ to overwhelm with insipid flattery all women that we meet, without distinction of age, rank or merit.	It is in bad underscore ton underscore to overwhelm with insipid flattery all women that we meet, without distinction of age, rank or merit.	false	1770.89	1778.26	23
7962_110061_000080_000001	These insipidities may indeed please some of light and frivolous minds, but will disgust a woman of good sense.	These insipidities may indeed please some of light and frivolous minds, but will disgust a woman of good sense.	false	1778.72	1785.76	17
7962_110061_000080_000002	Carry on with them a lively, piquant and varied conversation; and remember that they have a too active imagination, a too great versatility of disposition, to support conversation for a long time upon the same subject.	Carry on with them a lively, piquant and varied conversation; and remember that they have a too active imagination, a too great versatility of disposition, to support conversation for a long time upon the same subject.	false	1786.04	1800.88	19
7962_110061_000081_000000	But is it then necessary to proscribe eulogiums entirely?	But is it then necessary to proscribe eulogiums entirely?	true	1801.73	1805.74	21.281889
7962_110061_000081_000001	Not at all--society has not yet arrived at that degree of philosophy; eulogiums are and will for a long time be a means of success; but they should be in the first place, true, or at least probable, in order not to have the appearance of outrageous insults; they should be indirect and delicate, that we may listen to them without being obliged to interrupt; and they should be tempered with a sort of judgment, the skilful use of which, is itself even a eulogium.	Not at all-society has not yet arrived at that degree of philosophy; eulogiums are and will for a long time be a means of success; but they should be in the first place, true, or at least probable, in order not to have the appearance of outrageous insults; they should be indirect and delicate, that we may listen to them without being obliged to interrupt; and they should be tempered with a sort of judgment, the skilful use of which, is itself even a eulogium.	false	1805.87	1835.83	23
7962_110061_000082_000000	I repeat, as I have often said, let there be moderation in everything.	I repeat, as I have often said, let there be moderation in everything.	true	1836.17	1842.1	25.313751
7962_110061_000083_000000	Should we not regard as gross and ridiculous language, that exaggeration which we frequently hear used in praise as well as in censure?	Should we not regard as gross and ridiculous language, that exaggeration which we frequently hear used in praise as well as in censure?	true	1842.41	1850.26	17
7962_110061_000083_000001	It seems that true politeness in language consists principally in a certain moderation of expressions.	It seems that true politeness in language consists principally in a certain moderation of expressions.	false	1850.6	1857.06	20
7962_110061_000083_000002	It is much better to cause people to think more than we say, and not outrage language, and run the risk of going beyond what we ought to say.	It is much better to cause people to think more than we say, and not outrage language, and run the risk of going beyond what we ought to say.	true	1857.06	1866.16	20
7962_110061_000084_000000	Under any circumstances, complaining has always a bad grace.	Under any circumstances, complaining has always a bad grace.	true	1866.32	1871.35	23
7962_110061_000085_000000	Banish from your complaints ill-nature and animosity; let your anger be only an expression of the wrong you have suffered, and not of that which you would cause; this is the surest means of gaining to your side persons who would perhaps be doubtful whether to favor your adversary or yourself.	Banish from your complaints ill nature and animosity; let your anger be only an expression of the wrong you have suffered, and not of that which you would cause; this is the surest means of gaining to your side persons who would perhaps be doubtful whether to favor your adversary or yourself.	false	1871.36	1890.22	22
7962_110061_000086_000000	Politeness is not less opposed to making excessive complaints to the first person you meet, than to the frequent and extravagant eulogiums which you bestow improperly upon those from whom you expect a favor in return.	Politeness is not less opposed to making excessive complaints to the first person you meet, than to the frequent and extravagant eulogiums which you bestow improperly upon those from whom you expect a favor in return.	true	1890.35	1904.53	20
7962_110061_000087_000000	By the word improprieties, we generally understand all violations of politeness.	By the word improprieties, we generally understand all violations of politeness.	true	1905.11	1910.86	23.211668
7962_110061_000087_000001	We, however, give to this word a particular and limited sense.	We, however, give to this word a particular and limited sense.	true	1911.29	1915.63	27.692743
7962_110061_000087_000002	It signifies a want of due regard to, and a forgetfulness of, the delicate attentions which seem to identify us with the situation of others.	It signifies a want of due regard to, and a forgetfulness of, the delicate attentions which seem to identify us with the situation of others.	true	1915.64	1925.5	23
7962_110061_000087_000003	We will mention some examples of these particular violations of politeness.	We will mention some examples of these particular violations of politeness.	true	1925.72	1929.73	19
7962_110061_000087_000004	To accost sad people with a smiling face and sprightly manners, which prove to them the little interest which you take in their situation; to trouble by a whimsical and cross ill-humor, and by misanthropic declamations, the pleasure of contented persons; to exalt the advantages of beauty before aged ladies or those who are naturally unfortunate; to speak of the power that wealth bestows in the presence of people hardly arrived at mediocrity of fortune; to boast of one's strength or health before a valetudinarian, &c.	To accost sad people with a smiling face and sprightly manners, which prove to them the little interest which you take in their situation; to trouble by a whimsical and cross ill humor, and by misanthropic declamations, the pleasure of contented persons; to exalt the advantages of beauty before aged ladies or those who are naturally unfortunate; to speak of the power that wealth bestows in the presence of people hardly arrived at mediocrity of fortune; to boast of one's strength or health before a valetudinarian, and c.	false	1930.31	2037.21	24.271866
