4226_12707_000000_000000	SOAPS.	SOAPS.	false	0	0.06	-20
4226_12707_000032_000001	When it boils, take off the scum, put in two or three onions, a blade of mace, a little salt and pepper.	When it boils, take off the scum, put in two or three onions, a blade of mace, a little salt and pepper.	true	834.47	840.64	21
4226_12707_000032_000002	When stewed tender, take up the meat, thicken the gravy with flour and water, mixed smoothly together, squeeze in the juice of half a lemon, then turn it over the collops.	When stewed tender, take up the meat, thicken the gravy with flour and water, mixed smoothly together, squeeze in the juice of half a lemon, then turn it over the collops.	true	840.77	850.99	23.254208
4226_12707_000032_000003	Garnish them with a lemon cut in thin slices.	Garnish them with a lemon cut in thin slices.	true	851.09	854.05	24.295828
4226_12707_000033_000000	15.	fifteen.	true	855.14	856.35	23.33878
4226_12707_000033_000001	_Plaw._	underscore Plaw.underscore	false	856.35	858	27.587908
4226_12707_000034_000000	Boil a piece of lean veal till tender.	Boil a piece of lean veal till tender.	true	858	860.68	22
4226_12707_000034_000001	Take it up, cut it into strips three or four inches long, put it back into the pot, with the liquor it was boiled in, with a tea cup of rice to three pounds of veal.	Take it up, cut it into strips three or four inches long, put it back into the pot, with the liquor it was boiled in, with a tea cup of rice to three pounds of veal.	true	860.87	870.16	22.867952
4226_12707_000034_000002	Put in a piece of butter, of the size of a hen's egg; season it with salt, pepper, and sweet herbs if you like; stew it gently till the rice is tender, and the water nearly stewed away.	Put in a piece of butter, of the size of a hen's egg; season it with salt, pepper, and sweet herbs if you like; stew it gently till the rice is tender, and the water nearly stewed away.	true	870.32	881.05	22.112663
4226_12707_000034_000003	A little curry powder in this, converts it into a curry dish.	A little curry powder in this, converts it into a curry dish.	true	881.15	884.68	23
4226_12707_000035_000000	16.	sixteen.	true	886.01	887.31	22.966454
4226_12707_000035_000001	_A Fillet of Veal._	underscore A Fillet of Veal.underscore	false	887.31	889.47	17.012844
4226_12707_000036_000000	Cut off the shank of a leg of veal, and cut gashes in the remainder. Make a dressing of bread, soaked soft in cold water, and mashed; season it with salt, pepper, and sweet herbs; chop a little raw pork fine, put it in the dressing, and if you have not pork, use a little butter instead.	Cut off the shank of a leg of veal, and cut gashes in the remainder. Make a dressing of bread, soaked soft in cold water, and mashed; season it with salt, pepper, and sweet herbs; chop a little raw pork fine, put it in the dressing, and if you have not pork, use a little butter instead.	true	889.47	906.01	21.733112
4226_12707_000036_000001	Fill the gashes in the meat with part of the dressing, put it in a bake pan, with just water enough to cover it; put the remainder of the dressing on top of the meat, and cover it with a heated bake pan lid.	Fill the gashes in the meat with part of the dressing, put it in a bake pan, with just water enough to cover it; put the remainder of the dressing on top of the meat, and cover it with a heated bake pan lid.	false	906.26	918.01	22.077446
4226_12707_000036_000002	For six pounds of veal, allow two hours' steady baking.	For six pounds of veal, allow two hours' steady baking.	false	918.14	921.67	22
4226_12707_000036_000003	A leg of veal is nice prepared in this manner, and roasted.	A leg of veal is nice prepared in this manner, and roasted.	true	921.86	925.48	21.274855
4226_12707_000037_000000	17.	seventeen.	true	926.6	927.78	25.70089
4226_12707_000037_000001	_Lamb._	underscore Lamb.underscore	false	927.78	929.55	19.993504
4226_12707_000038_000000	The fore and hind quarters are good roasting pieces.	The fore and hind quarters are good roasting pieces.	true	929.55	932.62	18
4226_12707_000038_000001	Sprinkle salt and pepper on the lamb, turn the bony side towards the fire first; if not fat, rub a little butter on it, and put a little in the dripping pan; baste it frequently.	Sprinkle salt and pepper on the lamb, turn the bony side towards the fire first; if not fat, rub a little butter on it, and put a little in the dripping pan; baste it frequently.	true	932.69	943.18	21.408201
4226_12707_000038_000002	These pieces are good stuffed like a fillet of veal, and roasted.	These pieces are good stuffed like a fillet of veal, and roasted.	true	943.49	947.14	20.820621
4226_12707_000038_000003	The leg is also good, cooked in the same manner; but it is better boiled with a pound of salt pork.	The leg is also good, cooked in the same manner; but it is better boiled with a pound of salt pork.	true	947.21	953.05	20.515806
4226_12707_000038_000004	Allow fifteen minutes boiling to each pound of meat.	Allow fifteen minutes boiling to each pound of meat.	true	953.12	956.32	23.489046
4226_12707_000038_000005	The breast of lamb is good roasted, broiled, or corned and boiled; it is also good made into a pot pie.	The breast of lamb is good roasted, broiled, or corned and boiled; it is also good made into a pot pie.	true	956.45	962.41	18
4226_12707_000038_000006	The fore quarter, with the ribs divided, is good broiled.	The fore quarter, with the ribs divided, is good broiled.	true	962.69	966.34	22.781845
4226_12707_000038_000007	The bones of this, as well as all kinds of meat, when put down to broil, should first be put towards the fire, and browned before the other side is broiled.	The bones of this, as well as all kinds of meat, when put down to broil, should first be put towards the fire, and browned before the other side is broiled.	false	966.41	975.46	21.070328
4226_12707_000038_000008	A little salt, pepper, and butter, should be put on it when you take it up.	A little salt, pepper, and butter, should be put on it when you take it up.	true	975.5	979.75	25.706642
4226_12707_000038_000009	Lamb is very apt to spoil in warm weather.	Lamb is very apt to spoil in warm weather.	true	979.88	982.78	21
4226_12707_000038_000010	If you wish to keep a leg several days, put it in brine.	If you wish to keep a leg several days, put it in brine.	true	982.79	985.9	21.172686
4226_12707_000038_000011	It should not be put with pork, as fresh meat is apt to injure it.	It should not be put with pork, as fresh meat is apt to injure it.	true	985.97	989.59	23.736868
4226_12707_000038_000012	Lamb's head, feet, and heart, are good, boiled till tender, then cut off the flesh from the head, cut up the heart, and split the feet in two; put the whole into a pan, with a pint of the liquor they were boiled in, together with a little butter, pepper, salt, and half a tea cup of tomato catsup; thicken the gravy with a little flour; stew the whole for a few moments.	Lamb's head, feet, and heart, are good, boiled till tender, then cut off the flesh from the head, cut up the heart, and split the feet in two; put the whole into a pan, with a pint of the liquor they were boiled in, together with a little butter, pepper, salt, and half a tea cup of tomato catsup; thicken the gravy with a little flour; stew the whole for a few moments.	false	989.75	1011.04	21.357447
4226_12707_000038_000013	Pepper-grass, or parsely, are a pretty garnish for this dish.	Pepper grass, or parsely, are a pretty garnish for this dish.	false	1011.14	1024.08	21.218727
