7383_95441_000000_000000	The hypodermic outfit was there, but minus the phial.	The hypodermic outfit was there, but minus the phial.	false	1.98	7.515	19.880924
7383_95441_000074_000001	Ceasing to struggle, he rested in half stupour, panting.	Ceasing to struggle, he rested in half stupour, panting.	true	1080.56	1084.39	21.693325
7383_95441_000075_000000	With a harsh clang a hatch was thrown back.	With a harsh clang a hatch was thrown back.	true	1085.06	1087.87	22.752405
7383_95441_000075_000001	Rousing, Lanyard saw several figures emerge from the conning tower.	Rousing, Lanyard saw several figures emerge from the conning tower.	true	1088.3	1092.67	22.832346
7383_95441_000075_000002	Men uncouthly clothed in shapeless, shiny leather garments, straddled and stretched above him, filling their lungs with the sweet air.	Men uncouthly clothed in shapeless, shiny leather garments, straddled and stretched above him, filling their lungs with the sweet air.	true	1092.89	1101.01	21.55461
7383_95441_000075_000003	He tried to call to them, but evoked a mere rattle from his throat.	He tried to call to them, but evoked a mere rattle from his throat.	true	1101.44	1106.07	23.053375
7383_95441_000076_000000	Two came to the edge of the bridge and stood immediately over him, fixing binoculars to their eyes, their voices quite audible.	Two came to the edge of the bridge and stood immediately over him, fixing binoculars to their eyes, their voices quite audible.	false	1106.07	1113.88	20.635757
7383_95441_000077_000000	A pang of despair shot through Lanyard when he heard them conferring together in the German tongue.	A pang of despair shot through Lanyard when he heard them conferring together in the German tongue.	true	1114.46	1121.35	23.023783
7383_95441_000078_000000	Death, then, was but a little delayed.	Death, then, was but a little delayed.	true	1121.9	1124.95	21.37248
7383_95441_000079_000000	Thereafter he lay in dumb apathy, save that he shivered and his teeth chattered uncontrollably.	Thereafter he lay in dumb apathy, save that he shivered and his teeth chattered uncontrollably.	true	1126.07	1133.08	21.643303
7383_95441_000080_000000	Through the torpor that rested like a black cloud upon his senses he caught broken phrases, snatches of sentences:	Through the torpor that rested like a black cloud upon his senses he caught broken phrases, snatches of sentences:	true	1134.26	1141.41	23.560923
7383_95441_000081_000000	"... _sinking fast ... struck square amidships ... broke her back_...."	"... underscore sinking fast ... struck square amidships ... broke her back underscore...."	false	1141.41	1147.5	22.524946
7383_95441_000082_000000	"... _trouble with her boats.	"... underscore trouble with her boats.	false	1147.5	1149.38	20.19615
7383_95441_000082_000001	There goes one over_!..."	There goes one over underscore!..."	false	1149.38	1151.04	18.158398
7383_95441_000083_000000	"... _fools jumping overboard like cattle_...."	"... underscore fools jumping overboard like cattle underscore...."	false	1151.04	1154.52	19.826042
7383_95441_000084_000000	"_What's that rocket?	"underscore What's that rocket?	false	1154.52	1156.02	23.038248
7383_95441_000084_000001	Do the swine want us to shell their boats_?"	Do the swine want us to shell their boats underscore?"	false	1156.02	1158.45	18.69127
7383_95441_000085_000000	"_Why not?	"underscore Why not?	false	1158.45	1159.39	26.572206
7383_95441_000085_000001	They're asking for it_!"	They're asking for it underscore!"	false	1159.39	1161.57	23.193224
7383_95441_000086_000000	One of the officers lowered his glasses and barked a series of sharp commands.	One of the officers lowered his glasses and barked a series of sharp commands.	true	1161.57	1165.72	19
7383_95441_000086_000001	The crew on deck leaped to attention.	The crew on deck leaped to attention.	true	1166	1168.27	21.10723
7383_95441_000086_000002	One leaned over the conning-tower hatch and shouted to his mates below.	One leaned over the conning tower hatch and shouted to his mates below.	true	1168.52	1172.59	22.92859
7383_95441_000086_000003	A hatch forward of the tower opened, and a quick-firing gun on a disappearing carriage swung smoothly and silently up from its lair.	A hatch forward of the tower opened, and a quick firing gun on a disappearing carriage swung smoothly and silently up from its lair.	true	1172.81	1180.9	21.883081
7383_95441_000087_000000	The other officer, looking down, started violently.	The other officer, looking down, started violently.	false	1181.75	1184.55	20.82419
7383_95441_000088_000000	"_Verdammt_!	"underscore Verdammt underscore!	false	1184.55	1185.96	17.332626
7383_95441_000088_000001	What's this?"	What's this?"	true	1185.96	1186.99	26.42915
7383_95441_000089_000000	The first rejoined him.	The first rejoined him.	true	1187.78	1189.26	23.575716
7383_95441_000089_000001	"Impossible!"	"Impossible!"	true	1189.26	1190.53	24.752998
7383_95441_000090_000000	"Impossible or not--a man or a cadaver!"	"Impossible or not-a man or a cadaver!"	false	1190.78	1193.92	24.32058
7383_95441_000091_000000	"Have him up and see...."	"Have him up and see...."	true	1194.14	1195.63	25.31722
7383_95441_000092_000000	By order, two of the crew dragged Lanyard up to the bridge, supporting him by main strength while the officers examined him.	By order, two of the crew dragged Lanyard up to the bridge, supporting him by main strength while the officers examined him.	false	1196.33	1204.38	20.988485
7383_95441_000093_000000	"At the last gasp, but alive," one announced.	"At the last gasp, but alive," one announced.	true	1204.38	1207.9	23.079012
7383_95441_000094_000000	"How the devil did he get out here?"	"How the devil did he get out here?"	true	1208.18	1210.36	21.06104
7383_95441_000095_000000	"From the _Assyrian_--"	"From the underscore Assyrian underscore--"	false	1210.79	1212.66	18.725073
7383_95441_000096_000000	"Impossible for any man to swim this far since our torpedo struck--"	"Impossible for any man to swim this far since our torpedo struck-"	true	1212.66	1216.96	21.480404
7383_95441_000097_000000	"Then he must have gone overboard before it struck--or was thrown--"	"Then he must have gone overboard before it struck-or was thrown-"	true	1217.18	1221.16	20.669632
7383_95441_000098_000000	A cry of alarm from the group about the gun, awaiting final orders to open fire upon the _Assyrian's_ boats, interrupted the conference.	A cry of alarm from the group about the gun, awaiting final orders to open fire upon the underscore Assyrian's underscore boats, interrupted the conference.	false	1222.52	1230.28	21.559666
7383_95441_000098_000001	The officers swung away in haste.	The officers swung away in haste.	true	1230.53	1232.56	18.418406
7383_95441_000099_000000	"Hell's fury!	"Hell's fury!	true	1233.56	1234.53	25.804586
7383_95441_000099_000001	what's that searchlight?"	what's that searchlight?"	true	1234.53	1236.13	23.886524
7383_95441_000100_000000	"A Yankee destroyer--in all probability the one we dodged yesterday afternoon."	"A Yankee destroyer-in all probability the one we dodged yesterday afternoon."	true	1236.68	1241.88	20.681637
7383_95441_000101_000000	"She'll find us yet if we don't submerge.	"She'll find us yet if we don't submerge.	false	1241.88	1243.96	21.24045
7383_95441_000101_000001	Forward, there--house that gun! And get below--quickly!"	Forward, there-house that gun! And get below-quickly!"	true	1244.24	1247.32	21.566628
7383_95441_000102_000000	During a moment of apparent confusion, one of the men sustaining Lanyard caught the attention of an officer.	During a moment of apparent confusion, one of the men sustaining Lanyard caught the attention of an officer.	true	1248.23	1253.95	22.409273
7383_95441_000103_000000	"What shall we do with this fellow, sir?" he enquired.	"What shall we do with this fellow, sir?" he enquired.	true	1254.68	1257.73	22.941969
7383_95441_000104_000000	"Leave him here to sink or swim as we go down," snapped the officer--"and be damned to him!"	"Leave him here to sink or swim as we go down," snapped the officer-"and be damned to him!"	false	1257.83	1262.94	20.471277
7383_95441_000105_000000	With a supreme effort the adventurer sank his fingers deep into the arms of the two men.	With a supreme effort the adventurer sank his fingers deep into the arms of the two men.	false	1262.94	1268.73	21.544102
7383_95441_000106_000000	"Wait!" he gasped faintly in German.	"Wait!" he gasped faintly in German.	false	1268.73	1273	19.306715
7383_95441_000106_000001	"On the Emperor's service--"	"On the Emperor's service-"	true	1273.28	1275.31	22.243479
7383_95441_000107_000000	"What's that?"	"What's that?"	true	1275.71	1276.66	25.979767
7383_95441_000107_000001	The officer turned back sharply.	The officer turned back sharply.	true	1276.79	1278.82	25.07108
7383_95441_000108_000000	"Imperial Secret Service," Lanyard faltered--"Personal Division--Wilhelmstrasse Number 27--"	"Imperial Secret Service," Lanyard faltered-"Personal Division-Wilhelmstrasse Number twenty seven--"	true	1279.34	1290.4	24.57612
7383_95441_000109_000000	A brilliant glare settled suddenly upon the deck of the submarine, and was welcomed by a panicky gust of oaths.	A brilliant glare settled suddenly upon the deck of the submarine, and was welcomed by a panicky gust of oaths.	true	1291.43	1297.99	22.085714
7383_95441_000109_000001	One officer had already popped through the conning-tower hatch, followed by several of the crew.	One officer had already popped through the conning tower hatch, followed by several of the crew.	true	1298.66	1303.95	22.119278
7383_95441_000109_000002	There remained only those supporting Lanyard, and the second officer.	There remained only those supporting Lanyard, and the second officer.	false	1303.95	1307.65	22.671047
7383_95441_000110_000000	"Take him below!" the latter ordered.	"Take him below!" the latter ordered.	true	1308.23	1310.33	24.089676
7383_95441_000110_000001	"He may be telling the truth.	"He may be telling the truth.	true	1310.33	1312.04	24.252409
7383_95441_000110_000002	If not...."	If not...."	true	1312.04	1314.35	24.41947
7383_95441_000111_000000	In the distance a gun boomed.	In the distance a gun boomed.	true	1314.35	1316.74	21.656628
7383_95441_000111_000001	A shell shrieked over the submarine and dropped into the sea not a hundred yards to starboard.	A shell shrieked over the submarine and dropped into the sea not a hundred yards to starboard.	true	1316.81	1322.26	22.280659
7383_95441_000111_000002	The men rushed Lanyard toward the conning tower.	The men rushed Lanyard toward the conning tower.	true	1322.48	1324.99	21.674778
7383_95441_000111_000003	He tried feebly to help them.	He tried feebly to help them.	true	1325.09	1327.06	25.551533
7383_95441_000111_000004	In that effort consciousness was altogether blotted out....	In that effort consciousness was altogether blotted out....	false	1327.73	1338.51	22.427387
