3851_9210_000000_000000	"Oh! he was a shoemaker, was he?" said the head clerk.	"Oh! he was a shoemaker, was he?" said the head clerk.	false	0	3.69	29.279392
3851_9210_000039_000001	She sprang to her feet, took back the letter, and walked up and down.	She sprang to her feet, took back the letter, and walked up and down.	true	1083.02	1087.33	27.77279
3851_9210_000040_000000	"You have set to work imprudently," the merchant remarked, addressing her.	"You have set to work imprudently," the merchant remarked, addressing her.	true	1087.7	1091.98	24.8302
3851_9210_000040_000001	"Why did you buy provisions?"	"Why did you buy provisions?"	true	1092.23	1093.96	25.242214
3851_9210_000041_000000	"Why, he may come in dying of hunger, worn out with fatigue, and--" She broke off.	"Why, he may come in dying of hunger, worn out with fatigue, and-" She broke off.	true	1094.39	1100.74	24.216309
3851_9210_000042_000000	"I am sure of my brother," the old merchant went on; "I will engage him in your interests."	"I am sure of my brother," the old merchant went on; "I will engage him in your interests."	true	1101.44	1106.5	23.176722
3851_9210_000043_000000	The merchant in this crisis recovered his old business shrewdness, and the advice that he gave Mme. de Dey was full of prudence and wisdom. After the two had agreed together as to what they were to do and say, the old merchant went on various ingenious pretexts to pay visits to the principal houses of Carentan, announcing wherever he went that he had just been to see Mme. de Dey, and that, in spite of her indisposition, she would receive that evening.	The merchant in this crisis recovered his old business shrewdness, and the advice that he gave Mme. de Dey was full of prudence and wisdom. After the two had agreed together as to what they were to do and say, the old merchant went on various ingenious pretexts to pay visits to the principal houses of Carentan, announcing wherever he went that he had just been to see Mme. de Dey, and that, in spite of her indisposition, she would receive that evening.	false	1108.01	1135.93	23.879707
3851_9210_000043_000001	Matching his shrewdness against Norman wits in the cross-examination he underwent in every family as to the Countess's complaint, he succeeded in putting almost everyone who took an interest in the mysterious affair upon the wrong scent.	Matching his shrewdness against Norman wits in the cross examination he underwent in every family as to the Countess's complaint, he succeeded in putting almost everyone who took an interest in the mysterious affair upon the wrong scent.	true	1136.42	1150.84	22
3851_9210_000044_000000	His very first call worked wonders.	His very first call worked wonders.	true	1151.36	1153.78	19.652891
3851_9210_000044_000001	He told, in the hearing of a gouty old lady, how that Mme. de Dey had all but died of an attack of gout in the stomach; how that the illustrious Tronchin had recommended her in such a case to put the skin from a live hare on her chest, to stop in bed, and keep perfectly still.	He told, in the hearing of a gouty old lady, how that Mme. de Dey had all but died of an attack of gout in the stomach; how that the illustrious Tronchin had recommended her in such a case to put the skin from a live hare on her chest, to stop in bed, and keep perfectly still.	false	1153.97	1172.92	26.956224
3851_9210_000044_000002	The Countess, he said, had lain in danger of her life for the past two days; but after carefully following out Tronchin's singular prescription, she was now sufficiently recovered to receive visitors that evening.	The Countess, he said, had lain in danger of her life for the past two days; but after carefully following out Tronchin's singular prescription, she was now sufficiently recovered to receive visitors that evening.	true	1173.29	1185.58	22.309456
3851_9210_000045_000000	This tale had an immense success in Carentan.	This tale had an immense success in Carentan.	true	1186.07	1188.91	21.899931
3851_9210_000045_000001	The local doctor, a Royalist _in petto_, added to its effect by gravely discussing the specific.	The local doctor, a Royalist underscore in petto underscore, added to its effect by gravely discussing the specific.	false	1189.16	1196.17	27.943985
3851_9210_000045_000002	Suspicion, nevertheless, had taken too deep root in a few perverse or philosophical minds to be entirely dissipated; so it fell out that those who had the right of entry into Mme. de Dey's drawing-room hurried thither at an early hour, some to watch her face, some out of friendship, but the more part attracted by the fame of the marvelous cure.	Suspicion, nevertheless, had taken too deep root in a few perverse or philosophical minds to be entirely dissipated; so it fell out that those who had the right of entry into Mme. de Dey's drawing room hurried thither at an early hour, some to watch her face, some out of friendship, but the more part attracted by the fame of the marvelous cure.	false	1196.17	1218.79	23.24074
3851_9210_000046_000000	They found the Countess seated in a corner of the great chimney-piece in her room, which was almost as modestly furnished as similar apartments in Carentan; for she had given up the enjoyment of luxuries to which she had formerly been accustomed, for fear of offending the narrow prejudices of her guests, and she had made no changes in her house.	They found the Countess seated in a corner of the great chimney piece in her room, which was almost as modestly furnished as similar apartments in Carentan; for she had given up the enjoyment of luxuries to which she had formerly been accustomed, for fear of offending the narrow prejudices of her guests, and she had made no changes in her house.	true	1219.31	1238.68	25.416195
3851_9210_000046_000001	The floor was not even polished.	The floor was not even polished.	true	1238.84	1240.9	27.176456
3851_9210_000046_000002	She had left the old somber hangings on the walls, had kept the old-fashioned country furniture, burned tallow candles, had fallen in with the ways of the place and adopted provincial life without flinching before its cast-iron narrowness, its most disagreeable hardships; but knowing that her guests would forgive her for any prodigality that conduced to their comfort, she left nothing undone where their personal enjoyment was concerned; her dinners, for instance, were excellent.	She had left the old somber hangings on the walls, had kept the old-fashioned country furniture, burned tallow candles, had fallen in with the ways of the place and adopted provincial life without flinching before its cast iron narrowness, its most disagreeable hardships; but knowing that her guests would forgive her for any prodigality that conduced to their comfort, she left nothing undone where their personal enjoyment was concerned; her dinners, for instance, were excellent.	true	1241.27	1270.96	24.714811
3851_9210_000046_000003	She even went so far as to affect avarice to recommend herself to these sordid natures; and had the ingenuity to make it appear that certain concessions to luxury had been made at the instance of others, to whom she had graciously yielded.	She even went so far as to affect avarice to recommend herself to these sordid natures; and had the ingenuity to make it appear that certain concessions to luxury had been made at the instance of others, to whom she had graciously yielded.	true	1271.09	1285.54	22.374151
3851_9210_000047_000000	Toward seven o'clock that evening, therefore, the nearest approach to polite society that Carentan could boast was assembled in Mme. de Dey's drawing-room, in a wide circle, about the fire.	Toward seven o'clock that evening, therefore, the nearest approach to polite society that Carentan could boast was assembled in Mme. de Dey's drawing room, in a wide circle, about the fire.	false	1286.09	1297.57	25.611746
3851_9210_000047_000001	The old merchant's sympathetic glances sustained the mistress of the house through this ordeal; with wonderful strength of mind, she underwent the curious scrutiny of her guests, and bore with their trivial prosings.	The old merchant's sympathetic glances sustained the mistress of the house through this ordeal; with wonderful strength of mind, she underwent the curious scrutiny of her guests, and bore with their trivial prosings.	true	1298.06	1311.52	27.075258
3851_9210_000047_000002	Every time there was a knock at the door, at every sound of footsteps in the street, she hid her agitation by raising questions of absorbing interest to the countryside.	Every time there was a knock at the door, at every sound of footsteps in the street, she hid her agitation by raising questions of absorbing interest to the countryside.	true	1311.8	1322.05	21.068995
3851_9210_000047_000003	She led the conversation on to the burning topic of the quality of various ciders, and was so well seconded by her friend who shared her secret, that her guests almost forgot to watch her, and her face wore its wonted look; her self-possession was unshaken.	She led the conversation on to the burning topic of the quality of various ciders, and was so well seconded by her friend who shared her secret, that her guests almost forgot to watch her, and her face wore its wonted look; her self possession was unshaken.	true	1322.33	1338.73	23.878967
3851_9210_000047_000004	The public prosecutor and one of the judges of the Revolutionary Tribunal kept silence, however; noting the slightest change that flickered over her features, listening through the noisy talk to every sound in the house.	The public prosecutor and one of the judges of the Revolutionary Tribunal kept silence, however; noting the slightest change that flickered over her features, listening through the noisy talk to every sound in the house.	true	1339.34	1352.2	23.951868
3851_9210_000047_000005	Several times they put awkward questions, which the Countess answered with wonderful presence of mind. So brave is a mother's heart!	Several times they put awkward questions, which the Countess answered with wonderful presence of mind. So brave is a mother's heart!	true	1353.02	1361.28	26.019257
3851_9210_000048_000000	Mme. de Dey had drawn her visitors into little groups, had made parties of whist, boston, or reversis, and sat talking with some of the young people; she seemed to be living completely in the present moment, and played her part like a consummate actress.	Mme. de Dey had drawn her visitors into little groups, had made parties of whist, boston, or reversis, and sat talking with some of the young people; she seemed to be living completely in the present moment, and played her part like a consummate actress.	false	1361.28	1378.36	24.322521
3851_9210_000048_000001	She elicited a suggestion of loto, and saying that no one else knew where to find the game, she left the room.	She elicited a suggestion of loto, and saying that no one else knew where to find the game, she left the room.	true	1378.79	1385.47	22.311682
3851_9210_000049_000000	"My good Brigitte, I cannot breathe down there!" she cried, brushing away the tears that sprang to her eyes that glittered with fever, sorrow, and impatience.--She had gone up to her son's room, and was looking round it.	"My good Brigitte, I cannot breathe down there!" she cried, brushing away the tears that sprang to her eyes that glittered with fever, sorrow, and impatience.--She had gone up to her son's room, and was looking round it.	true	1386.08	1398.55	24.65399
3851_9210_000049_000001	"He does not come," she said.	"He does not come," she said.	true	1398.68	1400.5	27.517275
3851_9210_000049_000002	"Here I can breathe and live.	"Here I can breathe and live.	true	1400.84	1402.78	29.01977
3851_9210_000049_000003	A few minutes more, and he will be here, for he is alive, I am sure that he is alive! my heart tells me so.	A few minutes more, and he will be here, for he is alive, I am sure that he is alive! my heart tells me so.	true	1402.85	1409.35	22.520744
3851_9210_000049_000004	Do you hear nothing, Brigitte?	Do you hear nothing, Brigitte?	true	1409.63	1411.42	27.65365
3851_9210_000049_000005	Oh!	Oh!	true	1411.43	1411.99	21.699688
3851_9210_000049_000006	I would give the rest of my life to know whether he is still in prison or tramping across the country.	I would give the rest of my life to know whether he is still in prison or tramping across the country.	true	1411.99	1417.06	20
3851_9210_000049_000007	I would rather not think."	I would rather not think."	true	1417.28	1418.92	29.50518
3851_9210_000050_000000	Once more she looked to see that everything was in order.	Once more she looked to see that everything was in order.	true	1419.89	1423	23.20115
3851_9210_000050_000001	A bright fire blazed on the hearth, the shutters were carefully closed, the furniture shone with cleanliness, the bed had been made after a fashion that showed that Brigitte and the Countess had given their minds to every trifling detail.	A bright fire blazed on the hearth, the shutters were carefully closed, the furniture shone with cleanliness, the bed had been made after a fashion that showed that Brigitte and the Countess had given their minds to every trifling detail.	true	1423.22	1437.31	23.066038
3851_9210_000050_000002	It was impossible not to read her hopes in the dainty and thoughtful preparations about the room; love and a mother's tenderest caresses seemed to pervade the air in the scent of flowers. None but a mother could have foreseen the requirements of a soldier and arranged so completely for their satisfaction.	It was impossible not to read her hopes in the dainty and thoughtful preparations about the room; love and a mother's tenderest caresses seemed to pervade the air in the scent of flowers. None but a mother could have foreseen the requirements of a soldier and arranged so completely for their satisfaction.	false	1437.74	1455.46	22.858694
3851_9210_000050_000003	A dainty meal, the best of wine, clean linen, slippers--no necessary, no comfort, was lacking for the weary traveler, and all the delights of home heaped upon him should reveal his mother's love.	A dainty meal, the best of wine, clean linen, slippers-no necessary, no comfort, was lacking for the weary traveler, and all the delights of home heaped upon him should reveal his mother's love.	true	1455.77	1469.47	23.650068
3851_9210_000051_000000	"Oh, Brigitte!..." cried the Countess, with a heart-rending inflection in her voice.	"Oh, Brigitte!..." cried the Countess, with a heart rending inflection in her voice.	true	1470.14	1474.72	30.563704
3851_9210_000051_000001	She drew a chair to the table as if to strengthen her illusions and realize her longings.	She drew a chair to the table as if to strengthen her illusions and realize her longings.	true	1475.06	1479.93	19
3851_9210_000052_000000	"Ah! madame, he is coming.	"Ah! madame, he is coming.	false	1479.93	1482.39	17.60715
3851_9210_000052_000001	He is not far off....	He is not far off....	true	1482.39	1483.93	22.992691
3851_9210_000052_000002	I haven't a doubt that he is living and on his way," Brigitte answered.	I haven't a doubt that he is living and on his way," Brigitte answered.	true	1483.93	1487.71	25.329044
3851_9210_000052_000003	"I put a key in the Bible and held it on my fingers while Cottin read the Gospel of St. John, and the key did not turn, madame."	"I put a key in the Bible and held it on my fingers while Cottin read the Gospel of saint John, and the key did not turn, madame."	true	1488.05	1495.36	26.639153
3851_9210_000053_000000	"Is that a certain sign?" the Countess asked.	"Is that a certain sign?" the Countess asked.	true	1495.43	1498.27	22.453451
3851_9210_000054_000000	"Why, yes, madame! everybody knows that.	"Why, yes, madame! everybody knows that.	true	1498.34	1500.94	20.80106
3851_9210_000054_000001	He is still alive; I would stake my salvation on it; God cannot be mistaken."	He is still alive; I would stake my salvation on it; God cannot be mistaken."	true	1500.98	1506.01	25.47491
3851_9210_000055_000000	"If only I could see him here in the house, in spite of the danger."	"If only I could see him here in the house, in spite of the danger."	true	1506.89	1510.57	26.33372
3851_9210_000056_000000	"Poor Monsieur Auguste!" cried Brigitte; "I expect he is tramping along the lanes!"	"Poor Monsieur Auguste!" cried Brigitte; "I expect he is tramping along the lanes!"	true	1510.64	1516.3	24.00961
3851_9210_000057_000000	"And that is eight o'clock striking now!" cried the Countess in terror.	"And that is eight o'clock striking now!" cried the Countess in terror.	true	1516.79	1520.62	28.840376
3851_9210_000058_000000	She was afraid that she had been too long in the room where she felt sure that her son was alive; all those preparations made for him meant that he was alive.	She was afraid that she had been too long in the room where she felt sure that her son was alive; all those preparations made for him meant that he was alive.	true	1521.23	1530.19	21.889439
3851_9210_000058_000001	She went down, but she lingered a moment in the peristyle for any sound that might waken the sleeping echoes of the town.	She went down, but she lingered a moment in the peristyle for any sound that might waken the sleeping echoes of the town.	true	1530.41	1537.3	22.555584
3851_9210_000058_000002	She smiled at Brigitte's husband, who was standing there on guard; the man's eyes looked stupid with the strain of listening to the faint sounds of the night.	She smiled at Brigitte's husband, who was standing there on guard; the man's eyes looked stupid with the strain of listening to the faint sounds of the night.	true	1537.52	1546.84	23.390131
3851_9210_000058_000003	She stared into the darkness, seeing her son in every shadow everywhere; but it was only for a moment.	She stared into the darkness, seeing her son in every shadow everywhere; but it was only for a moment.	true	1547.06	1553.71	24.415506
3851_9210_000058_000004	Then she went back to the drawing-room with an assumption of high spirits, and began to play at loto with the little girls.	Then she went back to the drawing room with an assumption of high spirits, and began to play at loto with the little girls.	false	1553.87	1560.28	27.770498
3851_9210_000058_000005	But from time to time she complained of feeling unwell, and went to sit in her great chair by the fireside.	But from time to time she complained of feeling unwell, and went to sit in her great chair by the fireside.	true	1560.74	1567.09	24.43273
3851_9210_000058_000006	So things went in Mme. de Dey's house and in the minds of those beneath her roof.	So things went in Mme. de Dey's house and in the minds of those beneath her roof.	false	1567.31	1572.22	22.051212
3851_9210_000059_000000	Meanwhile, on the road from Paris to Cherbourg, a young man, dressed in the inevitable brown _carmagnole_ of those days, was plodding his way toward Carentan.	Meanwhile, on the road from Paris to Cherbourg, a young man, dressed in the inevitable brown underscore carmagnole underscore of those days, was plodding his way toward Carentan.	false	1572.47	1584.42	21.64561
3851_9210_000059_000001	When the first levies were made, there was little or no discipline kept up.	When the first levies were made, there was little or no discipline kept up.	true	1584.42	1589.14	19.941786
3851_9210_000059_000002	The exigencies of the moment scarcely admitted of soldiers being equipped at once, and it was no uncommon thing to see the roads thronged with conscripts in their ordinary clothes.	The exigencies of the moment scarcely admitted of soldiers being equipped at once, and it was no uncommon thing to see the roads thronged with conscripts in their ordinary clothes.	true	1589.45	1600.63	24.042244
3851_9210_000059_000003	The young fellows went ahead of their company to the next halting place, or lagged behind it; it depended upon their fitness to bear the fatigues of a long march.	The young fellows went ahead of their company to the next halting place, or lagged behind it; it depended upon their fitness to bear the fatigues of a long march.	true	1601.03	1610.05	26.80532
3851_9210_000059_000004	This particular wayfarer was some considerable way in advance of a company of conscripts on the way to Cherbourg, whom the mayor was expecting to arrive every hour, for it was his duty to distribute their billets.	This particular wayfarer was some considerable way in advance of a company of conscripts on the way to Cherbourg, whom the mayor was expecting to arrive every hour, for it was his duty to distribute their billets.	true	1610.39	1623.28	22.337194
3851_9210_000059_000005	The young man's footsteps were still firm as he trudged along, and his bearing seemed to indicate that he was no stranger to the rough life of a soldier.	The young man's footsteps were still firm as he trudged along, and his bearing seemed to indicate that he was no stranger to the rough life of a soldier.	true	1623.68	1632.28	22.479889
3851_9210_000059_000006	The moon shone on the pasture land about Carentan, but he had noticed great masses of white cloud that were about to scatter showers of snow over the country, and doubtless the fear of being overtaken by a storm had quickened his pace in spite of his weariness.	The moon shone on the pasture land about Carentan, but he had noticed great masses of white cloud that were about to scatter showers of snow over the country, and doubtless the fear of being overtaken by a storm had quickened his pace in spite of his weariness.	true	1632.5	1647.73	22.388784
3851_9210_000060_000000	The wallet on his back was almost empty, and he carried a stick in his hand, cut from one of the high, thick box hedges that surround most of the farms in Lower Normandy.	The wallet on his back was almost empty, and he carried a stick in his hand, cut from one of the high, thick box hedges that surround most of the farms in Lower Normandy.	true	1648.7	1659.16	25.608637
3851_9210_000060_000001	As the solitary wayfarer came into Carentan, the gleaming moonlit outlines of its towers stood out for a moment with ghostly effect against the sky.	As the solitary wayfarer came into Carentan, the gleaming moonlit outlines of its towers stood out for a moment with ghostly effect against the sky.	false	1659.59	1669.84	25.781015
3851_9210_000060_000002	He met no one in the silent streets that rang with the echoes of his own footsteps, and was obliged to ask the way to the mayor's house of a weaver who was working late. The magistrate was not far to seek, and in a few minutes the conscript was sitting on a stone bench in the mayor's porch waiting for his billet.	He met no one in the silent streets that rang with the echoes of his own footsteps, and was obliged to ask the way to the mayor's house of a weaver who was working late. The magistrate was not far to seek, and in a few minutes the conscript was sitting on a stone bench in the mayor's porch waiting for his billet.	true	1670.3	1689.04	24.335012
3851_9210_000060_000003	He was sent for, however, and confronted with that functionary, who scrutinized him closely.	He was sent for, however, and confronted with that functionary, who scrutinized him closely.	true	1689.41	1695.64	24.327976
3851_9210_000060_000004	The foot soldier was a good-looking young man, who appeared to be of gentle birth.	The foot soldier was a good looking young man, who appeared to be of gentle birth.	true	1696.25	1700.68	24.439617
3851_9210_000060_000005	There was something aristocratic in his bearing, and signs in his face of intelligence developed by a good education.	There was something aristocratic in his bearing, and signs in his face of intelligence developed by a good education.	false	1700.9	1708.87	24.304811
3851_9210_000061_000000	"What is your name?" asked the mayor, eying him shrewdly.	"What is your name?" asked the mayor, eying him shrewdly.	true	1709.18	1712.62	21.024084
3851_9210_000062_000000	"Julien Jussieu," answered the conscript.	"Julien Jussieu," answered the conscript.	false	1713.26	1716.58	25.181946
3851_9210_000063_000000	"From--?" queried the official, and an incredulous smile stole over his features.	"From-?" queried the official, and an incredulous smile stole over his features.	true	1716.68	1722.37	22.067696
3851_9210_000064_000000	"From Paris."	"From Paris."	true	1722.56	1723.63	24.568588
3851_9210_000065_000000	"Your comrades must be a good way behind?" remarked the Norman in sarcastic tones.	"Your comrades must be a good way behind?" remarked the Norman in sarcastic tones.	true	1724.15	1729.72	24.250011
3851_9210_000066_000000	"I am three leagues ahead of the battalion."	"I am three leagues ahead of the battalion."	true	1730.06	1732.75	26.313349
3851_9210_000067_000000	"Some sentiment attracts you to Carentan, of course, citizen-conscript," said the mayor astutely.	"Some sentiment attracts you to Carentan, of course, citizen conscript," said the mayor astutely.	false	1733.33	1739.08	25
3851_9210_000067_000001	"All right, all right!" he added, with a wave of the hand, seeing that the young man was about to speak.	"All right, all right!" he added, with a wave of the hand, seeing that the young man was about to speak.	true	1740.11	1746.04	30.06177
3851_9210_000067_000002	"We know where to send you.	"We know where to send you.	true	1746.08	1747.66	24.873117
3851_9210_000067_000003	There, off with you, _Citizen Jussieu_," and he handed over the billet.	There, off with you, underscore Citizen Jussieu underscore," and he handed over the billet.	false	1747.97	1753.18	24.359884
3851_9210_000068_000000	There was a tinge of irony in the stress the magistrate laid on the two last words while he held out a billet on Mme. de Dey.	There was a tinge of irony in the stress the magistrate laid on the two last words while he held out a billet on Mme. de Dey.	false	1753.79	1761.22	21.766203
3851_9210_000068_000001	The conscript read the direction curiously.	The conscript read the direction curiously.	true	1761.53	1764.28	27.274197
3851_9210_000069_000000	"He knows quite well that he has not far to go, and when he gets outside he will very soon cross the marketplace," said the mayor to himself, as the other went out.	"He knows quite well that he has not far to go, and when he gets outside he will very soon cross the marketplace," said the mayor to himself, as the other went out.	false	1764.92	1774.09	25
3851_9210_000069_000001	"He is uncommonly bold!	"He is uncommonly bold!	true	1774.34	1776.02	22.723217
3851_9210_000069_000002	God guide him!...	God guide him!...	true	1776.02	1777.18	27.652077
3851_9210_000069_000003	He has an answer ready for everything.	He has an answer ready for everything.	true	1777.73	1779.97	24.307394
3851_9210_000069_000004	Yes, but if somebody else had asked to see his papers it would have been all up with him!"	Yes, but if somebody else had asked to see his papers it would have been all up with him!"	true	1780.1	1784.86	26.47361
3851_9210_000070_000000	The clocks in Carentan struck half-past nine as he spoke.	The clocks in Carentan struck half past nine as he spoke.	true	1785.41	1789.24	25.956356
3851_9210_000070_000001	Lanterns were being lit in Mme. de Dey's antechamber, servants were helping their masters and mistresses into sabots, greatcoats, and calashes.	Lanterns were being lit in Mme. de Dey's antechamber, servants were helping their masters and mistresses into sabots, greatcoats, and calashes.	false	1789.34	1798.12	23.991703
3851_9210_000070_000002	The card players settled their accounts, and everybody went out together, after the fashion of all little country towns.	The card players settled their accounts, and everybody went out together, after the fashion of all little country towns.	true	1798.46	1804.96	25.151806
3851_9210_000071_000000	"It looks as if the prosecutor meant to stop," said a lady, who noticed that that important personage was not in the group in the market-place, where they all took leave of one another before going their separate ways home.	"It looks as if the prosecutor meant to stop," said a lady, who noticed that that important personage was not in the group in the market place, where they all took leave of one another before going their separate ways home.	false	1805.72	1817.44	26
3851_9210_000071_000001	And, as a matter of fact, that redoubtable functionary was alone with the Countess, who waited trembling till he should go.	And, as a matter of fact, that redoubtable functionary was alone with the Countess, who waited trembling till he should go.	true	1817.93	1825.69	24.185858
3851_9210_000071_000002	There was something appalling in their long silence.	There was something appalling in their long silence.	true	1825.91	1828.77	20.923727
3851_9210_000072_000000	"Citoyenne," said he at last, "I am here to see that the laws of the Republic are carried out--"	"Citoyenne," said he at last, "I am here to see that the laws of the Republic are carried out-"	false	1828.77	1835.19	23.63648
3851_9210_000073_000000	Mme. de Dey shuddered.	Mme. de Dey shuddered.	false	1835.19	1837.51	20.027794
3851_9210_000074_000000	"Have you nothing to tell me?"	"Have you nothing to tell me?"	true	1838	1839.55	27.702337
3851_9210_000075_000000	"Nothing!" she answered, in amazement.	"Nothing!" she answered, in amazement.	true	1840.1	1842.36	23.654394
3851_9210_000076_000000	"Ah! madame," cried the prosecutor, sitting down beside her and changing his tone.	"Ah! madame," cried the prosecutor, sitting down beside her and changing his tone.	false	1842.36	1847.95	22.668173
3851_9210_000076_000001	"At this moment, for lack of a word, one of us--you or I--may carry our heads to the scaffold.	"At this moment, for lack of a word, one of us-you or I-may carry our heads to the scaffold.	false	1848.47	1855.57	26.119883
3851_9210_000076_000002	I have watched your character, your soul, your manner, too closely to share the error into which you have managed to lead your visitors to-night.	I have watched your character, your soul, your manner, too closely to share the error into which you have managed to lead your visitors to night.	true	1855.7	1863.67	23
3851_9210_000076_000003	You are expecting your son, I could not doubt it."	You are expecting your son, I could not doubt it."	true	1863.98	1867.03	28.691444
3851_9210_000077_000000	The Countess made an involuntary sign of denial, but her face had grown white and drawn with the struggle to maintain the composure that she did not feel, and no tremor was lost on the merciless prosecutor.	The Countess made an involuntary sign of denial, but her face had grown white and drawn with the struggle to maintain the composure that she did not feel, and no tremor was lost on the merciless prosecutor.	true	1868.66	1880.68	23.80805
3851_9210_000078_000000	"Very well," the Revolutionary official went on, "receive him; but do not let him stay under your roof after seven o'clock to-morrow morning; for to-morrow, as soon as it is light, I shall come with a denunciation that I will have made out, and--"	"Very well," the Revolutionary official went on, "receive him; but do not let him stay under your roof after seven o'clock to morrow morning; for to morrow, as soon as it is light, I shall come with a denunciation that I will have made out, and-"	true	1881.02	1895.29	22.823828
3851_9210_000079_000000	She looked at him, and the dull misery in her eyes would have softened a tiger.	She looked at him, and the dull misery in her eyes would have softened a tiger.	true	1895.66	1900.48	21.904902
3851_9210_000080_000000	"I will make it clear that the denunciation was false by making a thorough search," he went on in a gentle voice; "my report shall be such that you will be safe from any subsequent suspicion.	"I will make it clear that the denunciation was false by making a thorough search," he went on in a gentle voice; "my report shall be such that you will be safe from any subsequent suspicion.	true	1900.91	1912.45	24.103718
3851_9210_000080_000001	I shall make mention of your patriotic gifts, your civism, and _all_ of us will be safe."	I shall make mention of your patriotic gifts, your civism, and underscore all underscore of us will be safe."	false	1912.76	1918.8	27.099537
3851_9210_000081_000000	Mme. de Dey, fearful of a trap, sat motionless, her face afire, her tongue frozen.	Mme. de Dey, fearful of a trap, sat motionless, her face afire, her tongue frozen.	false	1918.8	1925.74	21.83468
3851_9210_000081_000001	A knock at the door rang through the house.	A knock at the door rang through the house.	true	1926.08	1928.74	26.445772
3851_9210_000082_000000	"Oh!..." cried the terrified mother, falling upon her knees; "save him! save him!"	"Oh!..." cried the terrified mother, falling upon her knees; "save him! save him!"	true	1928.74	1934.47	22.226582
3851_9210_000083_000000	"Yes, let us save him!" returned the public prosecutor, and his eyes grew bright as he looked at her, "if it costs _us_ our lives!"	"Yes, let us save him!" returned the public prosecutor, and his eyes grew bright as he looked at her, "if it costs underscore us underscore our lives!"	false	1935.11	1943.8	24.87615
3851_9210_000084_000000	"Lost!" she wailed.	"Lost!" she wailed.	true	1944.11	1945.78	23.95435
3851_9210_000084_000001	The prosecutor raised her politely.	The prosecutor raised her politely.	true	1946.06	1948.3	25.023457
3851_9210_000085_000000	"Madame," said he with a flourish of eloquence, "to your own free will alone would I owe--"	"Madame," said he with a flourish of eloquence, "to your own free will alone would I owe-"	false	1948.85	1955.85	23.711838
3851_9210_000086_000000	"Madame, he is--" cried Brigitte, thinking that her mistress was alone. At the sight of the public prosecutor, the old servant's joy-flushed countenance became haggard and impassive.	"Madame, he is-" cried Brigitte, thinking that her mistress was alone. At the sight of the public prosecutor, the old servant's joy flushed countenance became haggard and impassive.	true	1955.85	1967.32	21.996708
3851_9210_000087_000000	"Who is it, Brigitte?" the prosecutor asked kindly, as if he too were in the secret of the household.	"Who is it, Brigitte?" the prosecutor asked kindly, as if he too were in the secret of the household.	true	1967.78	1974.52	29.337563
3851_9210_000088_000000	"A conscript that the mayor has sent here for a night's lodging," the woman replied, holding out the billet.	"A conscript that the mayor has sent here for a night's lodging," the woman replied, holding out the billet.	true	1975.1	1980.73	25.798481
3851_9210_000089_000000	"So it is," said the prosecutor, when he had read the slip of paper.	"So it is," said the prosecutor, when he had read the slip of paper.	true	1981.22	1985.17	26.890045
3851_9210_000089_000001	"A battalion is coming here to-night."	"A battalion is coming here to night."	true	1985.45	1987.54	23.323587
3851_9210_000090_000000	And he went.	And he went.	true	1987.73	1988.68	36.412994
3851_9210_000091_000000	The Countess's need to believe in the faith of her sometime attorney was so great, that she dared not entertain any suspicion of him.	The Countess's need to believe in the faith of her sometime attorney was so great, that she dared not entertain any suspicion of him.	true	1989.53	1997.23	26.683237
3851_9210_000091_000001	She fled upstairs; she felt scarcely strength enough to stand; she opened the door, and sprang, half dead with fear, into her son's arms.	She fled upstairs; she felt scarcely strength enough to stand; she opened the door, and sprang, half dead with fear, into her son's arms.	true	1997.39	2006.17	25.764446
3851_9210_000092_000000	"Oh! my child! my child!" she sobbed, covering him with almost frenzied kisses.	"Oh! my child! my child!" she sobbed, covering him with almost frenzied kisses.	true	2006.72	2011.63	24.494385
3851_9210_000093_000000	"Madame!..." said a stranger's voice.	"Madame!..." said a stranger's voice.	true	2011.91	2014.36	24.160444
3851_9210_000094_000000	"Oh! it is not he!" she cried, shrinking away in terror, and she stood face to face with the conscript, gazing at him with haggard eyes.	"Oh! it is not he!" she cried, shrinking away in terror, and she stood face to face with the conscript, gazing at him with haggard eyes.	true	2014.49	2022.93	24.415985
3851_9210_000095_000000	"_O saint bon Dieu!_ how like he is!" cried Brigitte.	"underscore O saint bon Dieu!underscore how like he is!" cried Brigitte.	false	2022.93	2027.89	22.76271
3851_9210_000096_000000	There was silence for a moment; even the stranger trembled at the sight of Mme. de Dey's face.	There was silence for a moment; even the stranger trembled at the sight of Mme. de Dey's face.	false	2029.13	2035.59	25.515772
3851_9210_000097_000000	"Ah! monsieur," she said, leaning on the arm of Brigitte's husband, feeling for the first time the full extent of a sorrow that had all but killed her at its first threatening; "ah! monsieur, I cannot stay to see you any longer ... permit my servants to supply my place, and to see that you have all that you want."	"Ah! monsieur," she said, leaning on the arm of Brigitte's husband, feeling for the first time the full extent of a sorrow that had all but killed her at its first threatening; "ah! monsieur, I cannot stay to see you any longer ... permit my servants to supply my place, and to see that you have all that you want."	true	2035.59	2054.56	23.737913
3851_9210_000098_000000	She went down to her own room, Brigitte and the old serving-man half carrying her between them.	She went down to her own room, Brigitte and the old serving man half carrying her between them.	true	2055.02	2060.59	22.212303
