1849_144965_000000_000000	Think of the fate of any wild animal that unkind Fate places at the mercy of such a man!	Think of the fate of any wild animal that unkind Fate places at the mercy of such a man!	false	1.26	19.83	17.620409
1849_144965_000040_000001	In the Yellowstone Park the pumas multiplied to such an extent and killed so many young elk that their number had to be systematically reduced.	In the Yellowstone Park the pumas multiplied to such an extent and killed so many young elk that their number had to be systematically reduced.	true	1156.64	1165	15
1849_144965_000040_000002	To that end "Buffalo" Jones was sent out by the Government to find and destroy the intolerable surplus of pumas.	To that end "Buffalo" Jones was sent out by the Government to find and destroy the intolerable surplus of pumas.	true	1165.34	1172.04	14
1849_144965_000040_000003	In the course of his campaign he killed about forty, much to the benefit of the elk herds.	In the course of his campaign he killed about forty, much to the benefit of the elk herds.	false	1172.04	1177.75	18.943247
1849_144965_000040_000004	Around the entrance to the den of a big old male puma, Mr. Jones found the skulls and other remains of nine elk calves that "the old Tom" had killed and carried there.	Around the entrance to the den of a big old male puma, mr Jones found the skulls and other remains of nine elk calves that "the old Tom" had killed and carried there.	false	1178.06	1189.84	14
1849_144965_000041_000000	Pumas and lynxes attack and kill mountain sheep; and the golden eagle is very partial to mountain sheep lambs and mountain goat kids.	Pumas and lynxes attack and kill mountain sheep; and the golden eagle is very partial to mountain sheep lambs and mountain goat kids.	true	1190.84	1199.05	14
1849_144965_000041_000001	It will not answer to permit birds of that bold and predatory species to become too numerous in mountains inhabited by goats and sheep; and the fewer the mountain lions the better, for they, like the lynx and eagle, have nothing to live upon save the game.	It will not answer to permit birds of that bold and predatory species to become too numerous in mountains inhabited by goats and sheep; and the fewer the mountain lions the better, for they, like the lynx and eagle, have nothing to live upon save the game.	true	1199.42	1214.86	15
1849_144965_000042_000000	The wolves and coyotes have learned to seek the ranges of cattle, horses and sheep, where they still do immense damage, chiefly in killing young stock.	The wolves and coyotes have learned to seek the ranges of cattle, horses and sheep, where they still do immense damage, chiefly in killing young stock.	true	1215.98	1225.33	16.539074
1849_144965_000042_000001	In spite of the great sums that have been paid out by western states in bounties for the destruction of wolves, in many, many places the gray wolf still persists, and can not be exterminated. To the stockmen of the west the wolf question is a serious matter.	In spite of the great sums that have been paid out by western states in bounties for the destruction of wolves, in many, many places the gray wolf still persists, and can not be exterminated. To the stockmen of the west the wolf question is a serious matter.	true	1225.67	1241.5	17
1849_144965_000042_000002	The stockmen of Montana say that a government expert once told them how to get rid of the gray wolves.	The stockmen of Montana say that a government expert once told them how to get rid of the gray wolves.	true	1241.87	1246.54	12
1849_144965_000042_000003	His instructions were: "Locate the dens, and kill the young in the dens, soon after they are born!" "All very easy to _say_, but a trifle difficult to _do_!" said my informant; and the ranchman seem to think they are yet a long way from a solution of the wolf question.	His instructions were: "Locate the dens, and kill the young in the dens, soon after they are born!" "All very easy to underscore say underscore, but a trifle difficult to underscore do underscore!" said my informant; and the ranchman seem to think they are yet a long way from a solution of the wolf question.	false	1246.61	1264.36	17.682348
1849_144965_000043_000000	During the past year the destruction of noxious predatory animals in the national forest reserves has seriously occupied the attention of the United States Bureau of Forestry.	During the past year the destruction of noxious predatory animals in the national forest reserves has seriously occupied the attention of the United States Bureau of Forestry.	true	1265.75	1274.89	12
1849_144965_000043_000001	By the foresters of that bureau the following animals were destroyed in fifteen western states:	By the foresters of that bureau the following animals were destroyed in fifteen western states:	true	1275.53	1281.51	15
1849_144965_000044_000000	6,487 Coyotes 870 Wild-Cats 72 Lynxes 213 Bears 88 Mountain Lions 172 Gray Wolves 69 Wolf Pups ----- 7,971	six thousand four hundred eighty seven Coyotes eight hundred seventy Wild Cats seventy two Lynxes two hundred thirteen Bears eighty eight Mountain Lions one hundred seventy two Gray Wolves sixty nine Wolf Pups ----- seven thousand nine hundred seventy one	false	1281.51	1308.18	16.641586
1849_144965_000045_000000	In 1910 the total was 9,103.	In nineteen ten the total was nine thousand one hundred three.	false	1308.18	1314.96	16.055326
1849_144965_000046_000000	[Illustration: THE EASTERN RED SQUIRREL A Great Destroyer of Birds]	[Illustration: THE EASTERN RED SQUIRREL A Great Destroyer of Birds]	false	1314.96	1317.57	14.070584
1849_144965_000047_000000	THE RED SQUIRREL.--Once in a great while, conditions change in subtle ways, wild creatures unexpectedly increase in number, and a community awakens to the fact that some wild species has become a public nuisance. In a small city park, even gray squirrels may breed and become so fearfully numerous that, in their restless quest for food, they may ravage the nests of the wild birds, kill and devour the young, and become a pest.	THE RED SQUIRREL.--Once in a great while, conditions change in subtle ways, wild creatures unexpectedly increase in number, and a community awakens to the fact that some wild species has become a public nuisance. In a small city park, even gray squirrels may breed and become so fearfully numerous that, in their restless quest for food, they may ravage the nests of the wild birds, kill and devour the young, and become a pest.	false	1317.57	1343.65	17.138174
1849_144965_000047_000001	In the Zoological Park, in 1903, we found that the red squirrels had increased to such a horde that they were driving out all our nesting wild birds, driving out the gray squirrels, and making themselves intolerably obnoxious.	In the Zoological Park, in nineteen o three, we found that the red squirrels had increased to such a horde that they were driving out all our nesting wild birds, driving out the gray squirrels, and making themselves intolerably obnoxious.	false	1344.17	1357.78	15
1849_144965_000047_000002	We shot sixty of them, and brought the total down to a reasonable number.	We shot sixty of them, and brought the total down to a reasonable number.	true	1358.15	1362.31	17.707214
1849_144965_000047_000003	Wherever he is or whatever his numerical strength, the red squirrel is a bad citizen, and, while we do not by any means favor his extermination, he should resolutely be kept within bounds by the rifle.	Wherever he is or whatever his numerical strength, the red squirrel is a bad citizen, and, while we do not by any means favor his extermination, he should resolutely be kept within bounds by the rifle.	true	1363.04	1376.26	17.633554
1849_144965_000048_000000	When a crow nested in our woods, near the Beaver Pond, we were greatly pleased; but with the feeding of the first brood, the crows began to carry off ducklings from the wild-fowl pond.	When a crow nested in our woods, near the Beaver Pond, we were greatly pleased; but with the feeding of the first brood, the crows began to carry off ducklings from the wild fowl pond.	true	1378.31	1389.52	17.857727
1849_144965_000048_000001	After one crow had been seen to seize and carry away _five_ young ducks in one forenoon, we decided that the constitutional limit had been reached, for we did not propose that all our young mallards should be swept into the awful vortex of that crow nest.	After one crow had been seen to seize and carry away underscore five underscore young ducks in one forenoon, we decided that the constitutional limit had been reached, for we did not propose that all our young mallards should be swept into the awful vortex of that crow nest.	false	1389.83	1406.47	18.479624
1849_144965_000048_000002	We took those young crows and reared them by hand; but the old one had acquired a bad habit, and she persisted in carrying off young ducks until we had to end her existence with a gun. It was a painful operation, but there was no other way.	We took those young crows and reared them by hand; but the old one had acquired a bad habit, and she persisted in carrying off young ducks until we had to end her existence with a gun. It was a painful operation, but there was no other way.	true	1406.78	1420.5	17.282316
1849_144965_000049_000000	[Illustration: COOPER'S HAWK A Species to be Destroyed]	[Illustration: COOPER'S HAWK A Species to be Destroyed]	false	1420.5	1423.08	7
1849_144965_000050_000000	BIRD-DESTROYING BIRDS.--There are several species of birds that may at once be put under sentence of death for their destructiveness of useful birds, without any extenuating circumstances worth mentioning.	BIRD DESTROYING BIRDS.--There are several species of birds that may at once be put under sentence of death for their destructiveness of useful birds, without any extenuating circumstances worth mentioning.	true	1423.08	1435.36	17
1849_144965_000050_000001	Four of these are _Cooper's Hawk_, the _Sharp-Shinned Hawk, Pigeon Hawk_ and _Duck Hawk_.	Four of these are underscore Cooper's Hawk underscore, the underscore Sharp Shinned Hawk, Pigeon Hawk underscore and underscore Duck Hawk underscore.	false	1435.85	1442.01	19.777641
1849_144965_000050_000002	Fortunately these species are not so numerous that we need lose any sleep over them.	Fortunately these species are not so numerous that we need lose any sleep over them.	true	1442.01	1446.52	10
1849_144965_000050_000003	Indeed, I think that today it would be a mighty good collector who could find one specimen in seven days' hunting.	Indeed, I think that today it would be a mighty good collector who could find one specimen in seven days' hunting.	true	1446.98	1452.88	14
1849_144965_000050_000004	Like all other species, these, too, are being shot out of our bird fauna.	Like all other species, these, too, are being shot out of our bird fauna.	true	1453.13	1457.56	16
1849_144965_000051_000000	Several species of bird-eating birds are trembling in the balance, and under grave suspicion.	Several species of bird eating birds are trembling in the balance, and under grave suspicion.	false	1458.86	1463.55	13
1849_144965_000051_000001	Some of them are the _Great Horned Owl, Screech Owl, Butcher Bird_ or _Great Northern Shrike_.	Some of them are the underscore Great Horned Owl, Screech Owl, Butcher Bird underscore or underscore Great Northern Shrike underscore.	false	1463.55	1470.57	16.51343
1849_144965_000051_000002	The only circumstance that saves these birds from instant condemnation is the delightful amount of rats, mice, moles, gophers and noxious insects that they annually consume.	The only circumstance that saves these birds from instant condemnation is the delightful amount of rats, mice, moles, gophers and noxious insects that they annually consume.	true	1470.57	1481.2	14
1849_144965_000051_000003	In view of the awful destructiveness of the accursed bubonic-plague-carrying rat, we are impelled to think long before placing in our killing list even the great horned owl, who really does levy a heavy tax on our upland game birds.	In view of the awful destructiveness of the accursed bubonic plague carrying rat, we are impelled to think long before placing in our killing list even the great horned owl, who really does levy a heavy tax on our upland game birds.	true	1481.63	1495.93	15
1849_144965_000051_000004	As to the butcher bird, we feel that we ought to kill him, but in view of his record on wild mice and rats, we hesitate, and finally decline.	As to the butcher bird, we feel that we ought to kill him, but in view of his record on wild mice and rats, we hesitate, and finally decline.	false	1496.45	1509.96	18.49339
1849_144965_000052_000000	[Illustration: SHARP-SHINNED HAWK A Species to be Destroyed]	[Illustration: SHARP SHINNED HAWK A Species to be Destroyed]	false	1509.96	1522.39	17.672031
1849_144965_000053_000000	SNAKES.--Mr.	SNAKES.--mr	true	1524.14	1526.25	21.203497
1849_144965_000053_000001	Thomas M. Upp, a close and long observer of wild things wishes it distinctly understood that while the common black-snakes and racers are practically harmless to birds, the _Pilot Black-Snake_, --long, thick and truculent,--is a great scourge to nesting birds.	Thomas m Upp, a close and long observer of wild things wishes it distinctly understood that while the common black snakes and racers are practically harmless to birds, the underscore Pilot Black Snake underscore, --long, thick and truculent,--is a great scourge to nesting birds.	false	1526.25	1544.71	18
1849_144965_000053_000002	It seems to be deserving of death.	It seems to be deserving of death.	true	1544.9	1546.9	17.11394
1849_144965_000053_000003	Mr. Upp speaks from personal knowledge, and his condemnation of the species referred to is quite sweeping.	mr Upp speaks from personal knowledge, and his condemnation of the species referred to is quite sweeping.	false	1547.09	1553.11	15
1849_144965_000053_000004	At the same time Mr. Raymond L. Ditmars points out the fact that this serpent feeds during 6 months of the year on mice, and in doing so renders good service.	At the same time mr Raymond l Ditmars points out the fact that this serpent feeds during six months of the year on mice, and in doing so renders good service.	true	1553.72	1563.61	15
1849_144965_000053_000005	In the South it is called the "Mouse Snake."	In the South it is called the "Mouse Snake."	false	1564.04	1596.42	17.710966
