3224_167024_000000_000000	"Well, let's go have a drink," von Schlichten suggested, consulting his watch.	"Well, let's go have a drink," von Schlichten suggested, consulting his watch.	false	0	7.77	21.07228
3224_167024_000048_000004	We fought a little war with them, beat them rather badly in a couple of skirmishes, and then made a deal with them.	We fought a little war with them, beat them rather badly in a couple of skirmishes, and then made a deal with them.	true	795.59	800.775	19
3224_167024_000048_000005	That was before my time, when old Jerry Kirke was Governor-General.	That was before my time, when old Jerry Kirke was Governor General.	false	800.775	803.77	19.795258
3224_167024_000048_000006	He negotiated a treaty with their King, bought their rievers'-forts outright, and paid them a subsidy to compensate for loss of tolls and raid-spoil, and agreed to employ the whole tribe as soldiers.	He negotiated a treaty with their King, bought their rievers'-forts outright, and paid them a subsidy to compensate for loss of tolls and raid spoil, and agreed to employ the whole tribe as soldiers.	true	803.96	813.85	19
3224_167024_000048_000007	We've taught them a lot--you'll see how much when you visit their town--but they aren't cultural mongrels.	We've taught them a lot-you'll see how much when you visit their town-but they aren't cultural mongrels.	true	813.89	819.18	21.409027
3224_167024_000048_000008	You'll like them."	You'll like them."	true	819.18	820.27	20.420885
3224_167024_000049_000000	"Well, general, I'll take you up," she said.	"Well, general, I'll take you up," she said.	true	820.55	822.81	22
3224_167024_000049_000001	"But I warn you; if this is some scheme to indoctrinate me with the Uller Company's side of the case and blind me to unjust exploitation of the natives here, I don't propagandize very easily."	"But I warn you; if this is some scheme to indoctrinate me with the Uller Company's side of the case and blind me to unjust exploitation of the natives here, I don't propagandize very easily."	true	822.81	833.08	20
3224_167024_000050_000000	"Fair enough, as long as you don't let fear of being propagandized blind you to the good we're doing here, or impair your ability to observe and draw accurate conclusions.	"Fair enough, as long as you don't let fear of being propagandized blind you to the good we're doing here, or impair your ability to observe and draw accurate conclusions.	true	833.39	841.66	19
3224_167024_000050_000001	Just stay scientific about it and I'll be satisfied.	Just stay scientific about it and I'll be satisfied.	true	841.82	844.635	22.307264
3224_167024_000050_000002	Now, let's take time out for lubrication," he said, filling her glass and passing the jug.	Now, let's take time out for lubrication," he said, filling her glass and passing the jug.	false	844.635	864.93	21.192175
