7460_92002_000000_000000	'O, George!'	'O, George!'	false	0	1.8	-20
7460_92002_000044_000001	He did not get through a line without sundry interruptions, which all arose from his determination to contradict at once every assertion which she made. 'You cannot prevent his coming,' he said, 'and it shall not be prevented.' 'Of course, you have promised to be his wife, and it must be.' 'Nonsense about deceiving him.	He did not get through a line without sundry interruptions, which all arose from his determination to contradict at once every assertion which she made. 'You cannot prevent his coming,' he said, 'and it shall not be prevented.' 'Of course, you have promised to be his wife, and it must be.' 'Nonsense about deceiving him.	false	893.03	912.12	22.689892
7460_92002_000044_000002	He is not deceived at all.' 'Trash--you are not fond of another man.	He is not deceived at all.' 'Trash-you are not fond of another man.	true	912.12	917.115	24.66796
7460_92002_000044_000003	It is all nonsense.' 'You must do what your uncle wishes.	It is all nonsense.' 'You must do what your uncle wishes.	true	917.115	920.79	21.952477
7460_92002_000044_000004	You must, now!	You must, now!	true	920.79	921.735	24
7460_92002_000044_000005	you must!	you must!	true	921.735	922.54	22.636913
7460_92002_000044_000006	Of course, you will love him.	Of course, you will love him.	true	923.15	924.495	26.690899
7460_92002_000044_000007	Why can't you let all that come as it does with others?' 'Letter gone;--yes indeed, and now I must go after it.' 'Trouble!--yes!	Why can't you let all that come as it does with others?' 'Letter gone;--yes indeed, and now I must go after it.' 'Trouble!--yes!	true	924.495	933.34	22.537033
7460_92002_000044_000008	Why could you not tell me before you sent it?	Why could you not tell me before you sent it?	true	933.95	936.01	30.21456
7460_92002_000044_000009	Have I not always been good to you?' 'You have not been bad; not before.	Have I not always been good to you?' 'You have not been bad; not before.	false	936.38	941.14	23.76453
7460_92002_000044_000010	You have been very good.	You have been very good.	true	941.18	942.76	21.498886
7460_92002_000044_000011	It is this that is bad.' 'Forget you indeed.	It is this that is bad.' 'Forget you indeed.	true	943.01	946.56	17.931778
7460_92002_000044_000012	Of course he won't.	Of course he won't.	true	946.56	947.52	26.496845
7460_92002_000044_000013	How should he? Are you not betrothed to him?	How should he? Are you not betrothed to him?	true	947.52	950.08	25.089722
7460_92002_000044_000014	He'll forgive you fast enough, when you just say that you did not know what you were about when you were writing it.' Thus her uncle went on; and as the outburst of his wrath was, as it were, chopped into little bits by his having to continue the reading of the letter, the storm did not fall upon Marie's head so violently as she had expected.	He'll forgive you fast enough, when you just say that you did not know what you were about when you were writing it.' Thus her uncle went on; and as the outburst of his wrath was, as it were, chopped into little bits by his having to continue the reading of the letter, the storm did not fall upon Marie's head so violently as she had expected.	false	950.57	970.54	21.886768
7460_92002_000044_000015	'There's a pretty kettle of fish you've made!' said he as soon as he had finished reading the letter.	'There's a pretty kettle of fish you've made!' said he as soon as he had finished reading the letter.	false	970.94	976.12	23.927908
7460_92002_000044_000016	'Of course, it means nothing.'	'Of course, it means nothing.'	true	976.43	978.16	26.835903
7460_92002_000045_000000	'But it must mean something, Uncle Michel.'	'But it must mean something, Uncle Michel.'	false	979.04	982.14	20.813053
7460_92002_000046_000000	'I say it means nothing.	'I say it means nothing.	true	982.14	983.62	30.150423
7460_92002_000046_000001	Now I'll tell you what I shall do, Marie. I shall start for Basle directly.	Now I'll tell you what I shall do, Marie. I shall start for Basle directly.	false	983.87	988.18	21.368145
7460_92002_000046_000002	I shall get there by twelve o'clock to-night by going through Colmar, and I shall endeavour to intercept the letter before Urmand would receive it to-morrow.' This was a cruel blow to Marie after all her precautions.	I shall get there by twelve o'clock to night by going through Colmar, and I shall endeavour to intercept the letter before Urmand would receive it to morrow.' This was a cruel blow to Marie after all her precautions.	false	988.55	1001.35	22.043194
7460_92002_000046_000003	'If I cannot do that, I shall at any rate see him before he gets it.	'If I cannot do that, I shall at any rate see him before he gets it.	true	1001.93	1005.85	24.829046
7460_92002_000046_000004	That is what I shall do; and you must let me tell him, Marie, that you repent having written the letter.'	That is what I shall do; and you must let me tell him, Marie, that you repent having written the letter.'	false	1006.1	1012.93	23.663992
7460_92002_000047_000000	'But I don't repent it, Uncle Michel; I don't, indeed.	'But I don't repent it, Uncle Michel; I don't, indeed.	true	1013.15	1016.5	25.159363
7460_92002_000047_000001	I can't repent it.	I can't repent it.	true	1016.5	1018.06	30.748983
7460_92002_000047_000002	How can I repent it when I really mean it?	How can I repent it when I really mean it?	true	1018.1	1020.25	27.530804
7460_92002_000047_000003	I shall never become his wife;--indeed I shall not.	I shall never become his wife;--indeed I shall not.	true	1020.83	1023.82	20.160273
7460_92002_000047_000004	O, Uncle Michel, pray, pray, pray do not go to Basle!'	O, Uncle Michel, pray, pray, pray do not go to Basle!'	false	1024.4	1029.15	22.09995
7460_92002_000048_000000	But Michel Voss resolved that he would go to Basle, and to Basle he went.	But Michel Voss resolved that he would go to Basle, and to Basle he went.	false	1029.15	1033.69	21.612871
7460_92002_000048_000001	The immediate weight, too, of Marie's misery was aggravated by the fact that in order to catch the train for Basle at Colmar, her uncle need not start quite immediately.	The immediate weight, too, of Marie's misery was aggravated by the fact that in order to catch the train for Basle at Colmar, her uncle need not start quite immediately.	false	1034.48	1044.34	21.823154
7460_92002_000048_000002	There was an hour during which he could continue to exercise his eloquence upon his niece, and endeavour to induce her to authorise him to contradict her own letter.	There was an hour during which he could continue to exercise his eloquence upon his niece, and endeavour to induce her to authorise him to contradict her own letter.	true	1044.77	1053.67	20.602972
7460_92002_000048_000003	He appealed first to her affection, and then to her duty; and after that, having failed in these appeals, he poured forth the full vials of his wrath upon her head.	He appealed first to her affection, and then to her duty; and after that, having failed in these appeals, he poured forth the full vials of his wrath upon her head.	true	1054.1	1064.17	22.785711
7460_92002_000048_000004	She was ungrateful, obstinate, false, unwomanly, disobedient, irreligious, sacrilegious, and an idiot.	She was ungrateful, obstinate, false, unwomanly, disobedient, irreligious, sacrilegious, and an idiot.	true	1064.48	1073.82	25.607689
7460_92002_000048_000005	In the fury of his anger, there was hardly any epithet of severe rebuke which he spared, and yet, as every cruel word left his mouth, he assured her that it should all be taken to mean nothing, if she would only now tell him that he might nullify the letter.	In the fury of his anger, there was hardly any epithet of severe rebuke which he spared, and yet, as every cruel word left his mouth, he assured her that it should all be taken to mean nothing, if she would only now tell him that he might nullify the letter.	false	1073.82	1089.82	21.598166
7460_92002_000048_000006	Though she had deserved all these bad things which he had spoken of her, yet she should be regarded as having deserved none of them, should again be accepted as having in all points done her duty, if she would only, even now, be obedient. But she was not to be shaken.	Though she had deserved all these bad things which he had spoken of her, yet she should be regarded as having deserved none of them, should again be accepted as having in all points done her duty, if she would only, even now, be obedient. But she was not to be shaken.	true	1090.97	1108.18	23.139194
7460_92002_000048_000007	She had at last formed a resolution, and her uncle's words had no effect towards turning her from it. 'Uncle Michel,' she said at last, speaking with much seriousness of purpose, and a dignity of person that was by no means thrown away upon him, 'if I am what you say, I had better go away from your house.	She had at last formed a resolution, and her uncle's words had no effect towards turning her from it. 'Uncle Michel,' she said at last, speaking with much seriousness of purpose, and a dignity of person that was by no means thrown away upon him, 'if I am what you say, I had better go away from your house.	true	1108.7	1129.12	23.494392
7460_92002_000048_000008	I know I have been bad.	I know I have been bad.	true	1129.61	1131.22	20.59523
7460_92002_000048_000009	I was bad to say that I would marry M. Urmand.	I was bad to say that I would marry m Urmand.	false	1131.53	1135.2	19.833902
7460_92002_000048_000010	I will not defend myself.	I will not defend myself.	true	1135.2	1137.01	23.94289
7460_92002_000048_000011	But nothing on earth shall make me marry him.	But nothing on earth shall make me marry him.	true	1137.23	1139.86	22.420628
7460_92002_000048_000012	You had better let me go away, and get a place as a servant among our friends at Epinal.' But Michel Voss, though he was heaping abuse upon her with the hope that he might thus achieve his purpose, had not the remotest idea of severing the connection which bound him and her together.	You had better let me go away, and get a place as a servant among our friends at Epinal.' But Michel Voss, though he was heaping abuse upon her with the hope that he might thus achieve his purpose, had not the remotest idea of severing the connection which bound him and her together.	true	1140.59	1158.4	22.629679
7460_92002_000048_000013	He wanted to do her good, not evil.	He wanted to do her good, not evil.	true	1159.07	1161.97	21.596151
7460_92002_000048_000014	She was exquisitely dear to him.	She was exquisitely dear to him.	true	1162.64	1164.97	29.079075
7460_92002_000048_000015	If she would only let him have his way and provide for her welfare as he saw, in his wisdom, would be best, he would at once take her in his arms again and tell her that she was the apple of his eye.	If she would only let him have his way and provide for her welfare as he saw, in his wisdom, would be best, he would at once take her in his arms again and tell her that she was the apple of his eye.	true	1165.25	1178.89	23.504007
7460_92002_000048_000016	But she would not; and he went at last off on his road to Colmar and Basle, gnashing his teeth in anger.	But she would not; and he went at last off on his road to Colmar and Basle, gnashing his teeth in anger.	false	1179.11	1197.66	22.943537
