598_127704_000000_000000	The Upper Tuolumne Excursion	The Upper Tuolumne Excursion	false	5.19	25.24	20.894447
598_127704_000019_000000	If you stop and fish at every tempting lake and stream you come to, a whole month, or even two months, will not be too long for this grand High Sierra excursion.	If you stop and fish at every tempting lake and stream you come to, a whole month, or even two months, will not be too long for this grand High Sierra excursion.	true	1317.2	1326.76	18
598_127704_000019_000001	My own Sierra trip was ten years long.	My own Sierra trip was ten years long.	true	1327.4	1331.05	25.10627
598_127704_000020_000000	Other Trips From The Valley	Other Trips From The Valley	true	1332.56	1334.53	21.61724
598_127704_000021_000000	Short carriage trips are usually made in the early morning to Mirror Lake to see its wonderful reflections of the Half Dome and Mount Watkins; and in the afternoon many ride down the Valley to see the Bridal Veil rainbows or up the river canyon to see those of the Vernal Fall; where, standing in the spray, not minding getting drenched, you may see what are called round rainbows, when the two ends of the ordinary bow are lengthened and meet at your feet, forming a complete circle which is broken and united again and again as determined by the varying wafts of spray.	Short carriage trips are usually made in the early morning to Mirror Lake to see its wonderful reflections of the Half Dome and Mount Watkins; and in the afternoon many ride down the Valley to see the Bridal Veil rainbows or up the river canyon to see those of the Vernal Fall; where, standing in the spray, not minding getting drenched, you may see what are called round rainbows, when the two ends of the ordinary bow are lengthened and meet at your feet, forming a complete circle which is broken and united again and again as determined by the varying wafts of spray.	false	1335.26	1373.32	17
598_127704_000021_000001	A few ambitious scramblers climb to the top of the Sentinel Rock, others walk or ride down the Valley and up to the once-famous Inspiration Point for a last grand view; while a good many appreciative tourists, who slave only day or two, do no climbing or riding but spend their time sauntering on the meadows by the river, watching the falls, and the relay of light and shade among the rocks from morning to night, perhaps gaining more than those who make haste up the trails in large noisy parties.	A few ambitious scramblers climb to the top of the Sentinel Rock, others walk or ride down the Valley and up to the once famous Inspiration Point for a last grand view; while a good many appreciative tourists, who slave only day or two, do no climbing or riding but spend their time sauntering on the meadows by the river, watching the falls, and the relay of light and shade among the rocks from morning to night, perhaps gaining more than those who make haste up the trails in large noisy parties.	false	1374.5	1407.88	18
598_127704_000021_000002	Those who have unlimited time find something worth while all the year round on every accessible part of the vast deeply sculptured walls.	Those who have unlimited time find something worth while all the year round on every accessible part of the vast deeply sculptured walls.	false	1408.34	1416.94	17
598_127704_000021_000003	At least so I have found it after making the Valley my home for years.	At least so I have found it after making the Valley my home for years.	false	1417.13	1422.1	14
598_127704_000022_000000	Here are a few specimens selected from my own short trips which walkers may find useful.	Here are a few specimens selected from my own short trips which walkers may find useful.	true	1423.25	1429.03	18
598_127704_000023_000000	One, up the river canyon, across the bridge between the Vernal and Nevada Falls, through chaparral beds and boulders to the shoulder of Half Dome, along the top of the shoulder to the dome itself, down by a crumbling slot gully and close along the base of the tremendous split front (the most awfully impressive, sheer, precipice view I ever found in all my canyon wanderings), thence up the east shoulder and along the ridge to Clouds' Rest--a glorious sunset--then a grand starry run back home to my cabin; down through the junipers, down through the firs, now in black shadows, now in white light, past roaring Nevada and Vernal, flowering ghost-like beneath their huge frowning cliffs; down the dark, gloomy canyon, through the pines of the Valley, dreamily murmuring in their calm, breezy sleep--a fine wild little excursion for good legs and good eyes--so much sun-, moon- and star-shine in it, and sublime, up-and-down rhythmical, glacial topography.	One, up the river canyon, across the bridge between the Vernal and Nevada Falls, through chaparral beds and boulders to the shoulder of Half Dome, along the top of the shoulder to the dome itself, down by a crumbling slot gully and close along the base of the tremendous split front (the most awfully impressive, sheer, precipice view I ever found in all my canyon wanderings), thence up the east shoulder and along the ridge to Clouds' Rest-a glorious sunset-then a grand starry run back home to my cabin; down through the junipers, down through the firs, now in black shadows, now in white light, past roaring Nevada and Vernal, flowering ghost like beneath their huge frowning cliffs; down the dark, gloomy canyon, through the pines of the Valley, dreamily murmuring in their calm, breezy sleep-a fine wild little excursion for good legs and good eyes-so much sun, moon and star shine in it, and sublime, up and down rhythmical, glacial topography.	true	1429.73	1497.94	21
598_127704_000024_000000	Another, to the head of Yosemite Fall by Indian Canyon; thence up the Yosemite Creek, tracing it all the way to its highest sources back of Mount Hoffman, then a wide sweep around the head of its dome-paved basin, passing its many little lakes and bogs, gardens and groves, trilling, warbling rills, and back by the Fall Canyon.	Another, to the head of Yosemite Fall by Indian Canyon; thence up the Yosemite Creek, tracing it all the way to its highest sources back of Mount Hoffman, then a wide sweep around the head of its dome paved basin, passing its many little lakes and bogs, gardens and groves, trilling, warbling rills, and back by the Fall Canyon.	true	1498.58	1521.46	19
598_127704_000024_000001	This was one of my Sabbath walk, run-and-slide excursions long ago before any trail had been made on the north side of the Valley.	This was one of my Sabbath walk, run and slide excursions long ago before any trail had been made on the north side of the Valley.	false	1521.98	1530.88	20
598_127704_000025_000000	Another fine trip was up, bright and early, by Avalanche Canyon to Glacier Point, along the rugged south wall, tracing all its far outs and ins to the head of the Bridal Veil Fall, thence back home, bright and late, by a brushy, bouldery slope between Cathedral rocks and Cathedral spires and along the level Valley floor.	Another fine trip was up, bright and early, by Avalanche Canyon to Glacier Point, along the rugged south wall, tracing all its far outs and ins to the head of the Bridal Veil Fall, thence back home, bright and late, by a brushy, bouldery slope between Cathedral rocks and Cathedral spires and along the level Valley floor.	true	1531.85	1556.56	21
598_127704_000025_000001	This was one of my long, bright-day and bright-night walks thirty or forty years ago when, like river and ocean currents, time flowed undivided, uncounted--a fine free, sauntery, scrambly, botanical, beauty-filled ramble.	This was one of my long, bright day and bright night walks thirty or forty years ago when, like river and ocean currents, time flowed undivided, uncounted-a fine free, sauntery, scrambly, botanical, beauty filled ramble.	false	1556.9	1574.17	17
598_127704_000025_000002	The walk up the Valley was made glorious by the marvelous brightness of the morning star.	The walk up the Valley was made glorious by the marvelous brightness of the morning star.	true	1574.87	1580.23	19
598_127704_000025_000003	So great was her light, she made every tree cast a well-defined shadow on the smooth sandy ground.	So great was her light, she made every tree cast a well defined shadow on the smooth sandy ground.	true	1580.48	1587.7	17
598_127704_000026_000000	Everybody who visits Yosemite wants to see the famous Big Trees.	Everybody who visits Yosemite wants to see the famous Big Trees.	true	1588.49	1593.25	16
598_127704_000026_000001	Before the railroad was constructed, all three of the stage-roads that entered the Valley passed through a grove of these trees by the way; namely, the Tuolumne, Merced and Mariposa groves.	Before the railroad was constructed, all three of the stage roads that entered the Valley passed through a grove of these trees by the way; namely, the Tuolumne, Merced and Mariposa groves.	true	1593.77	1606.21	18
598_127704_000026_000002	The Tuolumne grove was passed on the Big Oak Flat road, the Merced grove by the Coulterville road and the Mariposa grove by the Raymond and Wawona road.	The Tuolumne grove was passed on the Big Oak Flat road, the Merced grove by the Coulterville road and the Mariposa grove by the Raymond and Wawona road.	true	1606.52	1618.39	22.351278
598_127704_000026_000003	Now, to see any one of these groves, a special trip has to be made.	Now, to see any one of these groves, a special trip has to be made.	true	1618.76	1623.16	17
598_127704_000026_000004	Most visitors go to the Mariposa grove, the largest of the three.	Most visitors go to the Mariposa grove, the largest of the three.	true	1623.29	1627.69	18
598_127704_000026_000005	On this Sequoia trip you see not only the giant Big Trees but magnificent forests of silver fir, sugar pine, yellow pine, libocedrus and Douglas spruce.	On this Sequoia trip you see not only the giant Big Trees but magnificent forests of silver fir, sugar pine, yellow pine, libocedrus and Douglas spruce.	false	1628.24	1641.22	22
598_127704_000026_000006	The trip need not require more than two days, spending a night in a good hotel at Wawona, a beautiful place on the south fork of the Merced River, and returning to the Valley or to El Portal, the terminus of the railroad. This extra trip by stage costs fifteen dollars.	The trip need not require more than two days, spending a night in a good hotel at Wawona, a beautiful place on the south fork of the Merced River, and returning to the Valley or to El Portal, the terminus of the railroad. This extra trip by stage costs fifteen dollars.	false	1641.74	1661.44	22.896225
598_127704_000026_000007	All the High Sierra excursions that I have sketched cost from a dollar a week to anything you like.	All the High Sierra excursions that I have sketched cost from a dollar a week to anything you like.	true	1661.72	1668.85	21.83574
598_127704_000026_000008	None of mine when I was exploring the Sierra cost over a dollar a week, most of them less.	None of mine when I was exploring the Sierra cost over a dollar a week, most of them less.	true	1669.16	1675.86	24.786474
598_127704_000027_000000	Chapter 13	Chapter thirteen	false	1675.86	1676.73	-20
598_127704_000028_000000	Early History Of The Valley	Early History Of The Valley	false	1676.73	1677.81	20.56809
598_127704_000029_000000	In the wild gold years of 1849 and '50, the Indian tribes along thus western Sierra foothills became alarmed at the sudden invasion of their acorn orchard and game fields by miners, and soon began to make war upon them, in their usual murdering, plundering style.	In the wild gold years of eighteen forty nine and 'fifty, the Indian tribes along thus western Sierra foothills became alarmed at the sudden invasion of their acorn orchard and game fields by miners, and soon began to make war upon them, in their usual murdering, plundering style.	false	1677.81	1679.25	23.047323
598_127704_000029_000001	This continued until the United States Indian Commissioners succeeded in gathering them into reservations, some peacefully, others by burning their villages and stores of food.	This continued until the United States Indian Commissioners succeeded in gathering them into reservations, some peacefully, others by burning their villages and stores of food.	false	1679.25	1679.97	-20
598_127704_000029_000002	The Yosemite or Grizzly Bear tribe, fancying themselves secure in their deep mountain stronghold, were the most troublesome and defiant of all, and it was while the Mariposa battalion, under command of Major Savage, was trying to capture this warlike tribe and conduct them to the Fresno reservation that their deep mountain home, the Yosemite Valley, was discovered.	The Yosemite or Grizzly Bear tribe, fancying themselves secure in their deep mountain stronghold, were the most troublesome and defiant of all, and it was while the Mariposa battalion, under command of Major Savage, was trying to capture this warlike tribe and conduct them to the Fresno reservation that their deep mountain home, the Yosemite Valley, was discovered.	false	1679.97	1681.68	-20
598_127704_000029_000003	From a camp on the south fork of the Merced, Major Savage sent Indian runners to the bands who were supposed to be hiding in the mountains, instructing them to tell the Indians that if they would come in and make treaty with the Commissioners they would be furnished with food and clothing and be protected, but if they did not come in he would make war upon them and kill them all.	From a camp on the south fork of the Merced, Major Savage sent Indian runners to the bands who were supposed to be hiding in the mountains, instructing them to tell the Indians that if they would come in and make treaty with the Commissioners they would be furnished with food and clothing and be protected, but if they did not come in he would make war upon them and kill them all.	false	1681.68	1683.81	-20
598_127704_000029_000004	None of the Yosemite Indians responded to this general message, but when a special messenger was sent to the chief he appeared the next day.	None of the Yosemite Indians responded to this general message, but when a special messenger was sent to the chief he appeared the next day.	false	1683.81	1684.56	-20
598_127704_000029_000005	He came entirely alone and stood in dignified silence before one of the guards until invited to enter the camp.	He came entirely alone and stood in dignified silence before one of the guards until invited to enter the camp.	false	1684.56	1685.16	-20
598_127704_000029_000006	He was recognized by one of the friendly Indians as Tenaya, the old chief of the Grizzlies, and, after he had been supplied with food, Major Savage, with the aid of Indian interpreters, informed him of the wishes of the Commissioners.	He was recognized by one of the friendly Indians as Tenaya, the old chief of the Grizzlies, and, after he had been supplied with food, Major Savage, with the aid of Indian interpreters, informed him of the wishes of the Commissioners.	false	1685.16	1686.36	-20
598_127704_000029_000007	But the old chief was very suspicious of Savage and feared that he was taking this method of getting the tribe into his power for the purpose of revenging his personal wrong.	But the old chief was very suspicious of Savage and feared that he was taking this method of getting the tribe into his power for the purpose of revenging his personal wrong.	false	1686.36	1687.29	-20
598_127704_000029_000008	Savage told him if he would go to the Commissioners and make peace with them as the other tribes had done there would be no more war.	Savage told him if he would go to the Commissioners and make peace with them as the other tribes had done there would be no more war.	false	1687.29	1688.1	-20
598_127704_000029_000009	Tenaya inquired what was the object of taking all the Indians to the San Joaquin plain.	Tenaya inquired what was the object of taking all the Indians to the San Joaquin plain.	false	1688.1	1688.55	-20
598_127704_000029_000010	"My people," said he, "do not want anything from the Great Father you tell me about.	"My people," said he, "do not want anything from the Great Father you tell me about.	false	1688.55	1689.03	-20
598_127704_000029_000011	The Great Spirit is our father and he has always supplied us with all we need.	The Great Spirit is our father and he has always supplied us with all we need.	false	1689.03	1689.51	-20
598_127704_000029_000012	We do not want anything from white men.	We do not want anything from white men.	false	1689.51	1689.75	-20
598_127704_000029_000013	Our women are able to do our work. Go, then.	Our women are able to do our work. Go, then.	false	1689.75	1690.02	-20
598_127704_000029_000014	Let us remain in the mountains where we were born, where the ashes of our fathers have been given to the wind.	Let us remain in the mountains where we were born, where the ashes of our fathers have been given to the wind.	false	1690.02	1690.68	-20
598_127704_000029_000015	I have said enough."	I have said enough."	false	1690.68	1690.8	-20
