6215_68888_000000_000000	I am glad that I have always remembered that day of family consecration.	I am glad that I have always remembered that day of family consecration.	false	0	2.01	19.211954
6215_68888_000061_000001	It seemed to express all the joy of spring mornings and clear sunshine and bursting blossoms, blended with all that I guessed of the songs of angels, and with all that I had heard and believed, in my fledgling soul, of the glorious One who was born in a manger and died on a cross, that He might reign in human hearts as a king.	It seemed to express all the joy of spring mornings and clear sunshine and bursting blossoms, blended with all that I guessed of the songs of angels, and with all that I had heard and believed, in my fledgling soul, of the glorious One who was born in a manger and died on a cross, that He might reign in human hearts as a king.	false	1006.46	1027	18.616665
6215_68888_000061_000002	I wondered why the people did not sing "Hallelujah" more.	I wondered why the people did not sing "Hallelujah" more.	true	1027.64	1030.81	18
6215_68888_000061_000003	It seemed like a word sent straight down to us out of heaven.	It seemed like a word sent straight down to us out of heaven.	true	1031.15	1034.92	19.695477
6215_68888_000062_000000	I did not like to learn the sorrowful hymns, though I did it when they were given to me as a task, such as--	I did not like to learn the sorrowful hymns, though I did it when they were given to me as a task, such as-	true	1037.48	1043.64	18.99894
6215_68888_000063_000000	"Hark, from the tombs," and	"Hark, from the tombs," and	false	1043.64	1046.44	17.676786
6215_68888_000064_000000	"Lord, what a wretched land is this, That yields us no supply."	"Lord, what a wretched land is this, That yields us no supply."	true	1046.6	1050.61	19.829084
6215_68888_000065_000000	I suppose that these mournful strains had their place, but sometimes the transition was too sudden, from the outside of the meeting-house to the inside; from the sunshine and bobolinks and buttercups of the merry May-day world, to the sad strains that chanted of "this barren land," this "vale of tears," this "wilderness" of distress and woe.	I suppose that these mournful strains had their place, but sometimes the transition was too sudden, from the outside of the meeting house to the inside; from the sunshine and bobolinks and buttercups of the merry May day world, to the sad strains that chanted of "this barren land," this "vale of tears," this "wilderness" of distress and woe.	false	1051.4	1073.04	18.90486
6215_68888_000065_000001	It let us light-hearted children too quickly down from the higher key of mirth to which our careless thoughts were pitched.	It let us light-hearted children too quickly down from the higher key of mirth to which our careless thoughts were pitched.	true	1073.04	1080.1	19.219814
6215_68888_000065_000002	We knew that we were happy, and sorrow to us was unreal.	We knew that we were happy, and sorrow to us was unreal.	true	1080.53	1084.27	19.01619
6215_68888_000065_000003	But somehow we did often get the impression that it was our duty to try to be sorrowful; and that we could not be entirely good, without being rather miserable.	But somehow we did often get the impression that it was our duty to try to be sorrowful; and that we could not be entirely good, without being rather miserable.	true	1084.58	1093.45	19.615377
6215_68888_000066_000000	And I am afraid that in my critical little mind I looked upon it as an affectation on the part of the older people to speak of life in this doleful way.	And I am afraid that in my critical little mind I looked upon it as an affectation on the part of the older people to speak of life in this doleful way.	false	1094.57	1103.5	19.689644
6215_68888_000066_000001	I thought that they really knew better.	I thought that they really knew better.	true	1103.93	1106.05	20.776281
6215_68888_000066_000002	It seemed to me that it must be delightful to grow up, and learn things, and do things, and be very good indeed,--better than children could possibly know how to be.	It seemed to me that it must be delightful to grow up, and learn things, and do things, and be very good indeed,--better than children could possibly know how to be.	true	1106.3	1115.92	18.756989
6215_68888_000066_000003	I knew afterwards that my elders were sometimes, at least, sincere in their sadness; for with many of them life must have been a hard struggle.	I knew afterwards that my elders were sometimes, at least, sincere in their sadness; for with many of them life must have been a hard struggle.	true	1116.77	1125.07	19.278412
6215_68888_000066_000004	But when they shook their heads and said,--"Child, you will not be so happy by and by; you are seeing your best days now," I still doubted.	But when they shook their heads and said,--"Child, you will not be so happy by and by; you are seeing your best days now," I still doubted.	true	1125.35	1133.68	19.297113
6215_68888_000066_000005	I was born with the blessing of a cheerful temperament; and while that is not enough to sustain any of us through the inevitable sorrows that all must share, it would have been most unnatural and ungrateful in me to think of earth as a dismal place, when everything without and within was trying to tell me that this good and beautiful world belongs to God.	I was born with the blessing of a cheerful temperament; and while that is not enough to sustain any of us through the inevitable sorrows that all must share, it would have been most unnatural and ungrateful in me to think of earth as a dismal place, when everything without and within was trying to tell me that this good and beautiful world belongs to God.	false	1134.02	1155.22	18.854935
6215_68888_000067_000000	I took exception to some verses in many of the hymns that I loved the most.	I took exception to some verses in many of the hymns that I loved the most.	true	1156.22	1160.89	18.917423
6215_68888_000067_000001	I had my own mental reservations with regard even to that glorious chant of the ages,--	I had my own mental reservations with regard even to that glorious chant of the ages,--	true	1161.02	1166.47	16
6215_68888_000068_000000	"Jerusalem, my happy home, Name ever dear to me."	"Jerusalem, my happy home, Name ever dear to me."	true	1166.63	1170.88	18.922234
6215_68888_000069_000000	I always wanted to skip one half of the third stanza, as it stood in our Hymn-Book:	I always wanted to skip one half of the third stanza, as it stood in our Hymn Book:	true	1171.58	1176.82	19.96129
6215_68888_000070_000000	"Where congregations ne'er break up, And Sabbaths have no end."	"Where congregations ne'er break up, And Sabbaths have no end."	true	1177.01	1181.77	18.307291
6215_68888_000071_000000	I did not want it to be Sabbath-day always.	I did not want it to be Sabbath day always.	true	1182.59	1185.49	18
6215_68888_000071_000001	I was conscious of a pleasure in the thought of games and frolics and coming week-day delights that would flit across my mind even when I was studying my hymns, or trying to listen to the minister.	I was conscious of a pleasure in the thought of games and frolics and coming week day delights that would flit across my mind even when I was studying my hymns, or trying to listen to the minister.	true	1185.83	1197.1	18
6215_68888_000071_000002	And I did want the congregation to break up some time.	And I did want the congregation to break up some time.	true	1197.44	1200.52	18.913801
6215_68888_000071_000003	Indeed, in those bright spring days, the last hymn in the afternoon always sounded best, because with it came the opening of doors into the outside air, and the pouring in of a mingled scent of sea winds and apple blossoms, like an invitation out into the freedom of the beach, the hillsides, the fields and gardens and orchards.	Indeed, in those bright spring days, the last hymn in the afternoon always sounded best, because with it came the opening of doors into the outside air, and the pouring in of a mingled scent of sea winds and apple blossoms, like an invitation out into the freedom of the beach, the hillsides, the fields and gardens and orchards.	false	1201.07	1220.8	18.904118
6215_68888_000071_000004	In all this I felt as if I were very wicked.	In all this I felt as if I were very wicked.	true	1221.17	1224.07	18.28286
6215_68888_000071_000005	I was afraid that I loved earth better than I did heaven.	I was afraid that I loved earth better than I did heaven.	false	1224.11	1228.41	17.86867
6215_68888_000072_000000	Nevertheless I always did welcome that last hymn, announced to be sung "with the Doxology," usually in "long metre," to the tune of "Old Hundred." There were certain mysterious preliminaries,--the rustling of singing-book leaves, the sliding of the short screen-curtains before the singers along by their clinking rings, and now and then a premonitory groan or squeak from bass-viol or violin, as if the instruments were clearing their throats; and finally the sudden uprising of that long row of heads in the "singing-seats."	Nevertheless I always did welcome that last hymn, announced to be sung "with the Doxology," usually in "long metre," to the tune of "Old Hundred." There were certain mysterious preliminaries,--the rustling of singing book leaves, the sliding of the short screen curtains before the singers along by their clinking rings, and now and then a premonitory groan or squeak from bass viol or violin, as if the instruments were clearing their throats; and finally the sudden uprising of that long row of heads in the "singing seats."	false	1228.41	1263.19	18.734028
6215_68888_000073_000000	My tallest and prettiest grown-up sister, Louise, stood there among them, and of all those girlish, blooming faces I thought hers the very handsomest.	My tallest and prettiest grown up sister, Louise, stood there among them, and of all those girlish, blooming faces I thought hers the very handsomest.	true	1264.73	1273.87	19.827091
6215_68888_000073_000001	But she did not open her lips wide enough to satisfy me.	But she did not open her lips wide enough to satisfy me.	true	1274.21	1277.89	19.492273
6215_68888_000073_000002	I could not see that she was singing at all.	I could not see that she was singing at all.	true	1278.11	1280.71	19.10113
6215_68888_000074_000000	To stand up there and be one of the choir, seemed to me very little short of promotion to the ranks of cherubim and seraphim.	To stand up there and be one of the choir, seemed to me very little short of promotion to the ranks of cherubim and seraphim.	true	1281.32	1288.96	18
6215_68888_000074_000001	I quite envied that tall, pretty sister of mine.	I quite envied that tall, pretty sister of mine.	true	1289.3	1292.59	18.758802
6215_68888_000074_000002	I was sure that I should open my mouth wide, if I could only be in her place.	I was sure that I should open my mouth wide, if I could only be in her place.	true	1292.78	1298.02	19.093483
6215_68888_000074_000003	Alas! the years proved that, much as I loved the hymns, there was no music in me to give them voice, except to very indulgent ears.	Alas! the years proved that, much as I loved the hymns, there was no music in me to give them voice, except to very indulgent ears.	true	1298.6	1308.58	19.357273
6215_68888_000075_000000	Some of us must wait for the best human gifts until we come to heavenly places.	Some of us must wait for the best human gifts until we come to heavenly places.	false	1309.46	1314.52	20.014875
6215_68888_000075_000001	Our natural desire for musical utterance is perhaps a prophecy that in a perfect world we shall all know how to sing.	Our natural desire for musical utterance is perhaps a prophecy that in a perfect world we shall all know how to sing.	true	1314.83	1322.26	19.164364
6215_68888_000075_000002	But it is something to feel music, if we cannot make it.	But it is something to feel music, if we cannot make it.	true	1322.75	1326.28	17.655447
6215_68888_000075_000003	That, in itself, is a kind of unconscious singing.	That, in itself, is a kind of unconscious singing.	true	1326.41	1329.79	18.509146
6215_68888_000076_000000	As I think back to my childhood, it seems to me as if the air was full of hymns, as it was of the fragrance of clover-blossoms, and the songs of bluebirds and robins, and the deep undertone of the sea.	As I think back to my childhood, it seems to me as if the air was full of hymns, as it was of the fragrance of clover blossoms, and the songs of bluebirds and robins, and the deep undertone of the sea.	false	1330.67	1343.14	19.322332
6215_68888_000076_000001	And the purity, the calmness, and the coolness of the dear old Sabbath days seems lingering yet in the words of those familiar hymns, whenever I bear them sung.	And the purity, the calmness, and the coolness of the dear old Sabbath days seems lingering yet in the words of those familiar hymns, whenever I bear them sung.	false	1343.54	1354.33	19.172976
6215_68888_000076_000002	Their melody penetrates deep into my life, assuming me that I have not left the green pastures and the still waters of my childhood very far behind me.	Their melody penetrates deep into my life, assuming me that I have not left the green pastures and the still waters of my childhood very far behind me.	false	1354.67	1364.11	18.024574
6215_68888_000077_000000	There is something at the heart of a true song or hymn which keeps the heart young that listens.	There is something at the heart of a true song or hymn which keeps the heart young that listens.	true	1364.99	1370.32	20.852354
6215_68888_000077_000001	It is like a breeze from the eternal hills; like the west wind of spring, never by a breath less balmy and clear for having poured life into the old generations of earth for thousands of years; a spiritual freshness, which has nothing to do with time or decay.	It is like a breeze from the eternal hills; like the west wind of spring, never by a breath less balmy and clear for having poured life into the old generations of earth for thousands of years; a spiritual freshness, which has nothing to do with time or decay.	false	1370.51	1395.78	17.934235
