7833_102239_000000_000000	CHAPTER IX	CHAPTER nine	false	0	25.8	23.353811
7833_102239_000021_000002	The best lawyers in the State were Whigs, and so it happened that most of the judges were of that complexion.	The best lawyers in the State were Whigs, and so it happened that most of the judges were of that complexion.	true	1060.79	1066.27	23.2096
7833_102239_000021_000003	A case was made up for decision and decided adversely to the aliens, who appealed it to the Supreme Court.	A case was made up for decision and decided adversely to the aliens, who appealed it to the Supreme Court.	false	1067.36	1073.2	26.227274
7833_102239_000021_000004	This case was to come on at the June term in 1840, and the Democratic counsel, chief among whom was Mr. Douglas, were in some anxiety, as an unfavorable decision would lose them about ten thousand alien votes in the Presidential election in November.	This case was to come on at the June term in eighteen forty, and the Democratic counsel, chief among whom was mr Douglas, were in some anxiety, as an unfavorable decision would lose them about ten thousand alien votes in the Presidential election in November.	true	1073.36	1088.56	22.14693
7833_102239_000021_000005	In this conjuncture one Judge Smith, of the Supreme Court, an ardent Democrat, willing to enhance his value in his party, communicated to Mr. Douglas two important facts: first, that a majority of the court would certainly decide against the aliens; and, secondly that there was a slight imperfection in the record by which counsel might throw the case over to the December term, and save the alien vote for Van Buren and the Democratic ticket.	In this conjuncture one Judge Smith, of the Supreme Court, an ardent Democrat, willing to enhance his value in his party, communicated to mr Douglas two important facts: first, that a majority of the court would certainly decide against the aliens; and, secondly that there was a slight imperfection in the record by which counsel might throw the case over to the December term, and save the alien vote for Van Buren and the Democratic ticket.	false	1088.99	1114.87	22.590034
7833_102239_000021_000006	This was done, and when the Legislature came together with its large Democratic majority, Mr. Douglas handed in a bill "reforming" the Judiciary--for they had learned that serviceable word already.	This was done, and when the Legislature came together with its large Democratic majority, mr Douglas handed in a bill "reforming" the Judiciary-for they had learned that serviceable word already.	false	1115.39	1126.69	21.861008
7833_102239_000021_000007	The circuit judges were turned out of office, and five new judges were added to the Supreme Court, who were to perform circuit duty also.	The circuit judges were turned out of office, and five new judges were added to the Supreme Court, who were to perform circuit duty also.	true	1128.14	1135.45	22.677216
7833_102239_000021_000008	It is needless to say that Judge Douglas was one of these, and he had contrived also in the course of the discussion to disgrace his friend Smith so thoroughly by quoting his treacherous communication of matters which took place within the court, that Smith was no longer a possible rival for political honors.	It is needless to say that Judge Douglas was one of these, and he had contrived also in the course of the discussion to disgrace his friend Smith so thoroughly by quoting his treacherous communication of matters which took place within the court, that Smith was no longer a possible rival for political honors.	false	1135.67	1153.03	25.471375
7833_102239_000022_000000	It was useless for the Whigs to try to prevent this degradation of the bench.	It was useless for the Whigs to try to prevent this degradation of the bench.	true	1154.27	1158.19	23.936642
7833_102239_000022_000001	There was no resource but a protest, and here again Lincoln uttered the voice of the conscience of the party.	There was no resource but a protest, and here again Lincoln uttered the voice of the conscience of the party.	true	1158.68	1164.55	21.836908
7833_102239_000022_000002	He was joined on this occasion by Edward D. Baker [Footnote: Afterwards senator from Oregon, and as colonel of the 71st Pennsylvania (called the 1st California) killed at Ball's Bluff.] and some others, who protested against the act because	He was joined on this occasion by Edward d Baker [Footnote: Afterwards senator from Oregon, and as colonel of the seventy first Pennsylvania (called the first California) killed at Ball's Bluff.] and some others, who protested against the act because	true	1164.83	1181.43	24.444311
7833_102239_000023_000000	1st.	first.	true	1181.43	1182.16	31.841642
7833_102239_000023_000001	It violates the principles of free government by subjecting the Judiciary to the Legislature.	It violates the principles of free government by subjecting the Judiciary to the Legislature.	true	1182.26	1187.1	24.749447
7833_102239_000024_000000	2d.	two d.	false	1187.1	1188.75	29.122553
7833_102239_000024_000001	It is a fatal blow at the independence of the judges and the constitutional term of their offices.	It is a fatal blow at the independence of the judges and the constitutional term of their offices.	true	1188.75	1194	21.98996
7833_102239_000025_000000	3d.	three d.	false	1194	1195.86	20.334177
7833_102239_000025_000001	It is a measure not asked for or wished for by the people.	It is a measure not asked for or wished for by the people.	true	1195.86	1198.99	23.254442
7833_102239_000026_000000	4th.	fourth.	true	1199.57	1200.31	30.24743
7833_102239_000026_000001	It will greatly increase the expense of our courts or else greatly diminish their utility.	It will greatly increase the expense of our courts or else greatly diminish their utility.	true	1200.35	1205.08	22.086327
7833_102239_000027_000000	5th.	fifth.	true	1205.81	1206.43	29.030958
7833_102239_000027_000001	It will give our courts a political and partisan character, thereby impairing public confidence in their decisions.	It will give our courts a political and partisan character, thereby impairing public confidence in their decisions.	true	1206.47	1212.04	26.767315
7833_102239_000028_000000	6th.	sixth.	true	1212.41	1213.21	27.69205
7833_102239_000028_000001	It will impair our standing with other States and the world.	It will impair our standing with other States and the world.	true	1213.31	1216.54	22.907309
7833_102239_000029_000000	7th.	seventh.	true	1216.82	1217.68	27.37104
7833_102239_000029_000001	It is a party measure for party purposes from which no practical good to the people can possibly arise, but which may be the source of immeasurable evils.	It is a party measure for party purposes from which no practical good to the people can possibly arise, but which may be the source of immeasurable evils.	true	1217.78	1226.62	24.511673
7833_102239_000030_000000	The undersigned are well aware that this protest will be altogether unavailing with the majority of this body.	The undersigned are well aware that this protest will be altogether unavailing with the majority of this body.	true	1227.5	1232.91	22
7833_102239_000030_000001	The blow has already fallen; and we are compelled to stand by, the mournful spectators of the ruin it will cause.	The blow has already fallen; and we are compelled to stand by, the mournful spectators of the ruin it will cause.	false	1232.91	1239.54	22.336555
7833_102239_000031_000000	[Sidenote: Ford's "History," p. 221.]	[Sidenote: Ford's "History," p. two hundred twenty one.]	false	1239.54	1240.92	-20
7833_102239_000032_000000	It will be easy to ridicule this indignant protest as the angry outcry of beaten partisans; but fortunately we have evidence which cannot be gainsaid of the justice of its sentiments and the wisdom of its predictions.	It will be easy to ridicule this indignant protest as the angry outcry of beaten partisans; but fortunately we have evidence which cannot be gainsaid of the justice of its sentiments and the wisdom of its predictions.	false	1240.92	1253.26	23.52763
7833_102239_000032_000001	Governor Ford, himself a Democratic leader as able as he was honest, writing seven years after these proceedings, condemns them as wrong and impolitic, and adds, "Ever since this reforming measure the Judiciary has been unpopular with the Democratic majorities.	Governor Ford, himself a Democratic leader as able as he was honest, writing seven years after these proceedings, condemns them as wrong and impolitic, and adds, "Ever since this reforming measure the Judiciary has been unpopular with the Democratic majorities.	false	1253.57	1269.67	23.081404
7833_102239_000032_000002	Many and most of the judges have had great personal popularity--so much so as to create complaint of so many of them being elected or appointed to other offices.	Many and most of the judges have had great personal popularity-so much so as to create complaint of so many of them being elected or appointed to other offices.	true	1269.83	1279.48	21.9783
7833_102239_000032_000003	But the Bench itself has been the subject of bitter attacks by every Legislature since." It had been soiled by unclean contact and could not be respected as before.	But the Bench itself has been the subject of bitter attacks by every Legislature since." It had been soiled by unclean contact and could not be respected as before.	false	1280.33	1304.01	20.813816
