7134_67233_000000_000000	[Illustration]	[Illustration]	false	10.02	10.8	22
7134_67233_000028_000002	He must have the option of sunshine or shade.	He must have the option of sunshine or shade.	true	1132.13	1135.36	23.21341
7134_67233_000028_000003	He should not be allowed to drink water that has been standing in the sun, or is otherwise damaged.	He should not be allowed to drink water that has been standing in the sun, or is otherwise damaged.	true	1135.67	1140.75	20.216465
7134_67233_000028_000004	If you should chance to forget to feed him for forty-eight hours, he would not run as much risk of injury, as during three hours of thirst in hot weather.	If you should chance to forget to feed him for forty eight hours, he would not run as much risk of injury, as during three hours of thirst in hot weather.	false	1140.75	1149.61	23.432781
7134_67233_000028_000005	There should be a piece of joist under each end of the dog-house, to keep it off the ground, in order to avoid dampness.	There should be a piece of joist under each end of the dog house, to keep it off the ground, in order to avoid dampness.	false	1149.98	1156.69	25.009706
7134_67233_000028_000006	In summer an excavation, two or three feet in depth, should be made under it, and left open at both ends, that the animal may have a cool retreat during the heat.	In summer an excavation, two or three feet in depth, should be made under it, and left open at both ends, that the animal may have a cool retreat during the heat.	true	1157.27	1167.25	24.736109
7134_67233_000028_000007	Those who do not object to a trifling expense, may have the house posted on a large paving-stone, with an excavation under it, as before recommended.	Those who do not object to a trifling expense, may have the house posted on a large paving stone, with an excavation under it, as before recommended.	true	1167.56	1176.22	24.674051
7134_67233_000028_000008	All burrowing animals seek the earth in hot weather.	All burrowing animals seek the earth in hot weather.	true	1176.62	1180.06	20.975529
7134_67233_000028_000009	Everything on the surface is heated; their own instinct dictates the most reasonable method of sheltering themselves from the heat, at the same time absorbing the cool exhalations from the ground.	Everything on the surface is heated; their own instinct dictates the most reasonable method of sheltering themselves from the heat, at the same time absorbing the cool exhalations from the ground.	true	1180.46	1191.88	25.5983
7134_67233_000028_000010	In southern climates, especially, this method is all important.	In southern climates, especially, this method is all important.	true	1192.34	1196.47	25.174917
7134_67233_000028_000011	In this manner I have kept dogs from the polar regions, in comparative comfort, whilst many native-born and neglected have been scalded into fits, paralysis, rabies, or hydrophobia.	In this manner I have kept dogs from the polar regions, in comparative comfort, whilst many native born and neglected have been scalded into fits, paralysis, rabies, or hydrophobia.	true	1197.02	1209.76	23.971773
7134_67233_000029_000000	"In the hot season, with young dogs, raw meat should be avoided, except it be quite fresh, and then they should not be over-fed, especially if debarred of abundant exercise, and excluded from their own natural medicine, grass.	"In the hot season, with young dogs, raw meat should be avoided, except it be quite fresh, and then they should not be over fed, especially if debarred of abundant exercise, and excluded from their own natural medicine, grass.	true	1210.43	1224.52	23.80079
7134_67233_000029_000001	A dog will often thrive better on raw meat than on any other food, and will grow larger; but he should be fed with discretion, and his health attended to, should his diet visibly disagree with him.[V] He will grow fatter and be more healthy on moderate meals than if overgorged.	A dog will often thrive better on raw meat than on any other food, and will grow larger; but he should be fed with discretion, and his health attended to, should his diet visibly disagree with him.[V] He will grow fatter and be more healthy on moderate meals than if overgorged.	false	1225.07	1252.54	23.384926
7134_67233_000029_000002	The better plan is to ascertain his average consumption, and then allow him a little less.	The better plan is to ascertain his average consumption, and then allow him a little less.	true	1253.03	1258.12	22
7134_67233_000029_000003	Keep his digestion in good order, and disease will rarely trouble him.	Keep his digestion in good order, and disease will rarely trouble him.	true	1258.37	1262.65	20
7134_67233_000029_000004	His coat and ribs will generally indicate whether he be sufficiently cared for, whether he be sick or sound in his digestive organs; feed him always in the same place, and at the same hour: once a day is sufficient, if he be over six months old.	His coat and ribs will generally indicate whether he be sufficiently cared for, whether he be sick or sound in his digestive organs; feed him always in the same place, and at the same hour: once a day is sufficient, if he be over six months old.	true	1263.08	1278.22	23.120647
7134_67233_000029_000005	By being fed only once a day he is less choice, and will consume what he might refuse, if his appetite were dulled by a previous meal.	By being fed only once a day he is less choice, and will consume what he might refuse, if his appetite were dulled by a previous meal.	false	1278.59	1286.41	22.10187
7134_67233_000030_000000	"Should you require your dog to be watchful at night, feed him in the morning; if you would have him quiet at night, feed him late, and don't leave him bones to gnaw.	"Should you require your dog to be watchful at night, feed him in the morning; if you would have him quiet at night, feed him late, and don't leave him bones to gnaw.	true	1286.84	1296.07	22.937317
7134_67233_000030_000001	Dogs are pretty quiet, during the digestive process, when left to themselves, and should not have much exercise after a heavy meal.	Dogs are pretty quiet, during the digestive process, when left to themselves, and should not have much exercise after a heavy meal.	false	1296.56	1304.08	22.17325
7134_67233_000030_000002	They should only be lightly fed before training-lessons, or on sporting days; on the latter occasions a little refreshment may be administered as occasion may require.	They should only be lightly fed before training lessons, or on sporting days; on the latter occasions a little refreshment may be administered as occasion may require.	true	1304.48	1313.38	22
7134_67233_000030_000003	Those kept in-doors should be allowed to run a little after meals, when they generally require an evacuation.	Those kept in doors should be allowed to run a little after meals, when they generally require an evacuation.	true	1313.78	1319.89	23.586275
7134_67233_000031_000000	"If a dog be regularly exercised he will seldom even soil around his kennel, and a healthy house pet is rarely troublesome, except after eating.	"If a dog be regularly exercised he will seldom even soil around his kennel, and a healthy house pet is rarely troublesome, except after eating.	true	1320.65	1329.16	21.315247
7134_67233_000031_000001	If a dog be uncleanly in the house, he should decidedly be broken of it, although it would be useless to correct him unless he has a fair opportunity of avoiding it.	If a dog be uncleanly in the house, he should decidedly be broken of it, although it would be useless to correct him unless he has a fair opportunity of avoiding it.	true	1329.65	1338.64	23.70898
7134_67233_000031_000002	He should be invariably taken to the spot, be sufficiently twigged there, and unceremoniously scolded into the yard.	He should be invariably taken to the spot, be sufficiently twigged there, and unceremoniously scolded into the yard.	true	1339.19	1346.35	23.08226
7134_67233_000031_000003	The punishment will be far more justly administered if the animal be let out at regular intervals; this being done he will not attempt to infringe the law, except in cases of dire necessity.	The punishment will be far more justly administered if the animal be let out at regular intervals; this being done he will not attempt to infringe the law, except in cases of dire necessity.	true	1346.75	1358.41	24.2825
7134_67233_000032_000000	"I am satisfied as a general rule, that a well-amalgamated mixture of animal and vegetable is the most healthful diet for dogs of all ages, breeds, and conditions.	"I am satisfied as a general rule, that a well amalgamated mixture of animal and vegetable is the most healthful diet for dogs of all ages, breeds, and conditions.	true	1359.02	1369.45	20.72172
7134_67233_000032_000001	Dogs living in the house should on no account be fed on raw meat, as it gives them a very offensive smell, and is in other respects very unsuitable."	Dogs living in the house should on no account be fed on raw meat, as it gives them a very offensive smell, and is in other respects very unsuitable."	false	1369.91	1379.55	22.570091
7134_67233_000033_000000	[Illustration]	[Illustration]	false	1379.55	1379.58	6
7134_67233_000034_000000	FOOTNOTES:	FOOTNOTES:	false	1379.58	1379.64	-20
7134_67233_000035_000000	[A] Daniel's "Rural Sports."	[A] Daniel's "Rural Sports."	false	1379.64	1379.82	-20
7134_67233_000036_000000	[B] Daniel's "Rural Sports."	[B] Daniel's "Rural Sports."	false	1379.82	1380.03	-20
7134_67233_000037_000000	[C] Thornton's "Instincts."	[C] Thornton's "Instincts."	false	1380.03	1380.18	-20
7134_67233_000038_000000	[D] "Sportsman's Cabinet."	[D] "Sportsman's Cabinet."	false	1380.18	1380.33	3
7134_67233_000039_000000	[E] Ballet, in his "Dissertations sur la Mythologie Francaise," shows that this popular story of the dog of Montargis is much older than the time of Charles V.; and that Albericus, an old monkish chronicler, records it as happening in the reign of Charlemagne, anno 780.	[E] Ballet, in his "Dissertations sur la Mythologie Francaise," shows that this popular story of the dog of Montargis is much older than the time of Charles the fifth; and that Albericus, an old monkish chronicler, records it as happening in the reign of Charlemagne, anno seven hundred eighty.	false	1380.33	1384.38	23.683216
7134_67233_000040_000000	[F] See the entire poem in Tomkins' "Beauties of English Poetry." 18mo. 1847.	[F] See the entire poem in Tomkins' "Beauties of English Poetry." eighteen mo. eighteen forty seven.	false	1384.38	1385.79	22.98466
7134_67233_000041_000000	[G] "I fear this is a sad geological anachronism; however, I cannot but hope that the Irish wolf-dog will yet be found in some cavern, associated with the prototypes of Ireland's earliest heroes who peopled the land soon after it emerged from the deep,	[G] "I fear this is a sad geological anachronism; however, I cannot but hope that the Irish wolf dog will yet be found in some cavern, associated with the prototypes of Ireland's earliest heroes who peopled the land soon after it emerged from the deep,	false	1385.79	1393.47	20.048504
