122_129752_000000_000000	~BALTIMORE CAKE~--Beat one cupful of butter to a cream, using a wood cake spoon.	~ BALTIMORE CAKE ~--Beat one cupful of butter to a cream, using a wood cake spoon.	false	107.79	114.01	19.123404
122_129752_000031_000002	Fold in the whites of the eggs last and half a teaspoon or more of lemon or vanilla flavoring.	Fold in the whites of the eggs last and half a teaspoon or more of lemon or vanilla flavoring.	true	1097.21	1102.38	8
122_129752_000032_000000	~SPICE CAKES~--For little spice cakes cream one-half cup of butter with one cup of sugar, add one beaten egg, one-half cup of sour milk, and one-half level teaspoon each of soda, baking powder, and cinnamon, and a few gratings of nutmeg sifted with two and one-half cups of pastry flour.	~ SPICE CAKES ~--For little spice cakes cream one half cup of butter with one cup of sugar, add one beaten egg, one half cup of sour milk, and one half level teaspoon each of soda, baking powder, and cinnamon, and a few gratings of nutmeg sifted with two and one half cups of pastry flour.	false	1102.38	1122.97	17
122_129752_000032_000001	Stir in one-half cup each of chopped walnut meats and seeded and chopped raisins.	Stir in one half cup each of chopped walnut meats and seeded and chopped raisins.	true	1123.13	1128.05	13
122_129752_000032_000002	Roll out thin and cut in shape or put small spoonfuls some distance apart on a buttered pan and press out with the end of a baking powder can until as thin as needed; do not add more flour.	Roll out thin and cut in shape or put small spoonfuls some distance apart on a buttered pan and press out with the end of a baking powder can until as thin as needed; do not add more flour.	true	1128.05	1139.59	14
122_129752_000032_000003	Bake slowly.	Bake slowly.	true	1139.69	1140.75	20
122_129752_000033_000000	~SPONGE CAKE~--Whites of two eggs beaten to a stiff froth, beat the yolks thoroughly, then beat both together, then add one scant cup of granulated sugar (beating again), one scant cup of flour (beat again), and one teaspoon of baking powder.	~ SPONGE CAKE ~--Whites of two eggs beaten to a stiff froth, beat the yolks thoroughly, then beat both together, then add one scant cup of granulated sugar (beating again), one scant cup of flour (beat again), and one teaspoon of baking powder.	false	1140.75	1157.79	19.322912
122_129752_000033_000001	Sift the flour three or four times, stir the baking powder in the flour, and lastly add five tablespoons of hot water.	Sift the flour three or four times, stir the baking powder in the flour, and lastly add five tablespoons of hot water.	false	1157.79	1165.5	18
122_129752_000034_000000	~SULTANA TEA CAKES~--Into three-quarters of a pound of flour stir a pinch of salt, a teaspoonful of baking powder, three ounces of butter and lard mixed in equal portions, three ounces of sifted sugar and two ounces of sultanas.	~ SULTANA TEA CAKES ~--Into three quarters of a pound of flour stir a pinch of salt, a teaspoonful of baking powder, three ounces of butter and lard mixed in equal portions, three ounces of sifted sugar and two ounces of sultanas.	false	1165.5	1183.15	20.378372
122_129752_000034_000001	Chop one and half ounces of candied lemon peel, add that and moisten all with two well beaten eggs and a little milk if necessary.	Chop one and half ounces of candied lemon peel, add that and moisten all with two well beaten eggs and a little milk if necessary.	false	1183.52	1191.88	14
122_129752_000034_000002	Work these ingredients together, with a wooden spoon turn on to a board and form into round cakes.	Work these ingredients together, with a wooden spoon turn on to a board and form into round cakes.	true	1192.19	1197.97	15
122_129752_000034_000003	Place them on a floured baking sheet and cook in a quick oven.	Place them on a floured baking sheet and cook in a quick oven.	true	1198.22	1201.96	20
122_129752_000034_000004	Five minutes before the cakes are done brush them over with milk to form a glaze, and when ready to serve cut each through with a knife and spread liberally with butter.	Five minutes before the cakes are done brush them over with milk to form a glaze, and when ready to serve cut each through with a knife and spread liberally with butter.	true	1202.24	1211.01	14
122_129752_000035_000000	~SUNSHINE CAKE~--Cream one cup of butter, add two cups of sugar and beat, add one cup of milk, the yolks of eleven eggs beaten until very light and smooth, and three cups of flour sifted with four teaspoons of baking powder three times to make it very light.	~ SUNSHINE CAKE ~--Cream one cup of butter, add two cups of sugar and beat, add one cup of milk, the yolks of eleven eggs beaten until very light and smooth, and three cups of flour sifted with four teaspoons of baking powder three times to make it very light.	false	1211.01	1231.63	19.623415
122_129752_000035_000001	Turn into a tube baking pan and bake three-quarters of an hour in a moderate oven.	Turn into a tube baking pan and bake three quarters of an hour in a moderate oven.	true	1232.03	1236.42	11
122_129752_000036_000000	~TEA CAKE~--This cake is to be eaten warm with butter.	~ TEA CAKE ~--This cake is to be eaten warm with butter.	false	1236.42	1241.05	20.602535
122_129752_000036_000001	Rub a rounding tablespoon of butter into three cups of flour sifted with a saltspoon of salt, six level teaspoons of baking powder and one-quarter cup of sugar. Beat one egg light, add one and one-half cups of milk and the dry ingredients and beat well.	Rub a rounding tablespoon of butter into three cups of flour sifted with a saltspoon of salt, six level teaspoons of baking powder and one quarter cup of sugar. Beat one egg light, add one and one half cups of milk and the dry ingredients and beat well.	true	1241.3	1256.44	14
122_129752_000036_000002	Pour into a long buttered pan and bake about twenty minutes.	Pour into a long buttered pan and bake about twenty minutes.	true	1256.81	1260.49	13
122_129752_000036_000003	Do not slice this cake, but cut through the crust with a sharp knife and break apart.	Do not slice this cake, but cut through the crust with a sharp knife and break apart.	true	1260.65	1265.71	20
122_129752_000036_000004	This mixture can be baked in muffin tins, but it saves time to bake it in a loaf.	This mixture can be baked in muffin tins, but it saves time to bake it in a loaf.	true	1265.71	1270.35	13
122_129752_000037_000000	~VELVET CAKE~--One-half cup butter, one and one-half cups sugar, yolks four eggs, one-half cup milk, one and one-half cups flour, one-half cup cornstarch, four level teaspoons baking powder, whites four eggs, one-third cup almonds blanched shredded.	~ VELVET CAKE ~--One half cup butter, one and one half cups sugar, yolks four eggs, one half cup milk, one and one half cups flour, one half cup cornstarch, four level teaspoons baking powder, whites four eggs, one third cup almonds blanched shredded.	false	1270.35	1293.34	19.32694
122_129752_000037_000001	Cream the butter, add gradually the sugar, then the egg-yolks well beaten.	Cream the butter, add gradually the sugar, then the egg yolks well beaten.	true	1293.74	1298.23	16
122_129752_000037_000002	Beat well and add the milk, the flour, cornstarch, and baking powder sifted together, and egg whites beaten stiff.	Beat well and add the milk, the flour, cornstarch, and baking powder sifted together, and egg whites beaten stiff.	true	1298.81	1306.33	17
122_129752_000037_000003	Beat well and turn into buttered shallow pan.	Beat well and turn into buttered shallow pan.	true	1306.79	1309.87	12
122_129752_000037_000004	Sprinkle with the almonds, then with powdered sugar and bake forty minutes in a moderate oven.	Sprinkle with the almonds, then with powdered sugar and bake forty minutes in a moderate oven.	true	1310.03	1315.08	14
122_129752_000038_000000	~WHITE PATTY CAKES~--Cream one-third cup of butter with one cup of sugar, add one-half cup of milk, one and three-quarter cups of flour sifted twice with two and one-half level teaspoons of baking powder, and flavor with a mixture of one-third teaspoon of lemon flavoring and two-thirds teaspoon of vanilla flavoring.	~ WHITE PATTY CAKES ~--Cream one third cup of butter with one cup of sugar, add one half cup of milk, one and three quarter cups of flour sifted twice with two and one half level teaspoons of baking powder, and flavor with a mixture of one third teaspoon of lemon flavoring and two thirds teaspoon of vanilla flavoring.	false	1315.08	1336.57	20
122_129752_000038_000001	Bake in little plain patty pans and cover the top of each with white icing.	Bake in little plain patty pans and cover the top of each with white icing.	false	1336.61	1341.79	14
122_129752_000038_000002	Garnish with two little leaves cut from angelica and a bit of red candied cherry.	Garnish with two little leaves cut from angelica and a bit of red candied cherry.	true	1342.07	1347.45	14
122_129752_000039_000000	~COFFEE CREAM CAKES AND FILLING~--Roll good plain paste three-eighths of an inch thick and cut in rounds and through a pastry tube force a cream cake mixture to make a border come out even with the edge of the round, and bake in a hot oven.	~ COFFEE CREAM CAKES AND FILLING ~--Roll good plain paste three eighths of an inch thick and cut in rounds and through a pastry tube force a cream cake mixture to make a border come out even with the edge of the round, and bake in a hot oven.	false	1347.45	1364.08	18
122_129752_000039_000001	Fill and frost.	Fill and frost.	true	1364.33	1366.03	19.441044
122_129752_000039_000002	For the cream cake mixture put one cup of boiling water, one-half cup of butter and one level tablespoon of sugar together in a saucepan and boil one minute, then add one and three-quarters cups of flour all at once.	For the cream cake mixture put one cup of boiling water, one half cup of butter and one level tablespoon of sugar together in a saucepan and boil one minute, then add one and three quarters cups of flour all at once.	false	1366.55	1379.95	14
122_129752_000039_000003	Stir rapidly and when the cooked mixture cleaves from the pan add five eggs one at a time, beating well between each addition.	Stir rapidly and when the cooked mixture cleaves from the pan add five eggs one at a time, beating well between each addition.	true	1380.23	1388.35	17
122_129752_000039_000004	Do not beat the eggs before adding.	Do not beat the eggs before adding.	true	1388.51	1390.74	15
122_129752_000040_000000	~COFFEE ECLAIRS~--Put one cup of hot water, one-half cup of butter and one-half teaspoon of salt in a small saucepan over the fire.	~ COFFEE ECLAIRS ~--Put one cup of hot water, one half cup of butter and one half teaspoon of salt in a small saucepan over the fire.	false	1390.74	1403.08	19.685265
122_129752_000040_000001	The instant it boils add quickly one and one-half cups of sifted pastry flour.	The instant it boils add quickly one and one half cups of sifted pastry flour.	true	1403.39	1408.09	12
122_129752_000040_000002	Stir thoroughly for five minutes, or till it all clears from the pan in a lump.	Stir thoroughly for five minutes, or till it all clears from the pan in a lump.	true	1408.43	1413.43	16
122_129752_000040_000003	Let it cool slightly and then add five eggs whole, one at a time. Mix very thoroughly, then drop the dough with a spoon on to a buttered baking pan in pieces about four inches long and one and one-half inches wide and some distance apart.	Let it cool slightly and then add five eggs whole, one at a time. Mix very thoroughly, then drop the dough with a spoon on to a buttered baking pan in pieces about four inches long and one and one half inches wide and some distance apart.	true	1413.83	1428.15	14
122_129752_000040_000004	Bake in a quick oven until well puffed up and done through; they will settle as soon as removed if not baked sufficiently.	Bake in a quick oven until well puffed up and done through; they will settle as soon as removed if not baked sufficiently.	false	1428.15	1435.12	17
122_129752_000040_000005	When cool, cut along one edge and fill with the prepared cream and frost with coffee icing.	When cool, cut along one edge and fill with the prepared cream and frost with coffee icing.	true	1435.34	1440.66	15
122_129752_000041_000000	~CRUMPETS~--Scald two cups of milk, add four tablespoons of melted butter and when lukewarm one level teaspoon of salt and three and one-half cups of flour.	~ CRUMPETS ~--Scald two cups of milk, add four tablespoons of melted butter and when lukewarm one level teaspoon of salt and three and one half cups of flour.	false	1440.66	1451.26	19
122_129752_000041_000001	Beat hard, add one-half yeast cake, dissolved in one-half cup of lukewarm water and beat again.	Beat hard, add one half yeast cake, dissolved in one half cup of lukewarm water and beat again.	true	1451.63	1458.76	19
122_129752_000041_000002	Let rise until light, then grease large muffin rings and set them on a hot griddle.	Let rise until light, then grease large muffin rings and set them on a hot griddle.	true	1459.28	1464.22	13
122_129752_000041_000003	Fill each ring not over half full and bake slowly until a light brown, turn rings and contents over, bake a little longer, then slip rings off.	Fill each ring not over half full and bake slowly until a light brown, turn rings and contents over, bake a little longer, then slip rings off.	true	1464.56	1473.94	16
122_129752_000041_000004	Serve hot. If any are left over, split, toast and butter them.	Serve hot. If any are left over, split, toast and butter them.	true	1473.94	1478.43	21.67025
122_129752_000042_000000	~CRULLERS~--Scald one cup of milk, and when lukewarm add one yeast cake dissolved in one-quarter cup of lukewarm water, and add one and one-half cups of flour and a level teaspoon of salt.	~ CRULLERS ~--Scald one cup of milk, and when lukewarm add one yeast cake dissolved in one quarter cup of lukewarm water, and add one and one half cups of flour and a level teaspoon of salt.	false	1478.43	1491.49	20.380438
122_129752_000042_000001	Cover and let rise until very light; add one cup of sugar, one-quarter cup of melted butter, three well beaten eggs, one-half of a small nutmeg grated and enough more flour to make a stiff dough.	Cover and let rise until very light; add one cup of sugar, one quarter cup of melted butter, three well beaten eggs, one half of a small nutmeg grated and enough more flour to make a stiff dough.	true	1491.74	1505.26	19.635899
122_129752_000042_000002	Cover and let rise light, turn on to a floured board and roll out lightly.	Cover and let rise light, turn on to a floured board and roll out lightly.	false	1505.48	1510.72	20
122_129752_000042_000003	Cut into long narrow strips and let rise on the board.	Cut into long narrow strips and let rise on the board.	true	1511.03	1514.47	16
122_129752_000042_000004	Now twist the strips and fry until a light brown color, and dust over with powdered sugar.	Now twist the strips and fry until a light brown color, and dust over with powdered sugar.	false	1514.66	1519.77	13
122_129752_000043_000000	~DUTCH CRULLERS~--Cream one cup of sugar and one-half cup of butter, add one egg and beat, then one cup of sour milk.	~ DUTCH CRULLERS ~--Cream one cup of sugar and one half cup of butter, add one egg and beat, then one cup of sour milk.	false	1519.77	1528.96	21.480068
122_129752_000043_000001	Sift one level teaspoon of flour and add to the mixture, now beat in enough sifted pastry flour to make a dough that can be rolled out.	Sift one level teaspoon of flour and add to the mixture, now beat in enough sifted pastry flour to make a dough that can be rolled out.	true	1529.12	1536.61	13
122_129752_000043_000002	Cut in rings and taking hold of each side of a ring twist it inside out.	Cut in rings and taking hold of each side of a ring twist it inside out.	true	1536.89	1541.41	15
122_129752_000043_000003	Fry in deep hot fat.	Fry in deep hot fat.	true	1541.57	1543.83	24.14374
122_129752_000044_000000	~INDIVIDUAL SHORTCAKES~--Sift two cups of flour, three teaspoons of baking powder, and one-half level teaspoon of salt together.	~ INDIVIDUAL SHORTCAKES ~--Sift two cups of flour, three teaspoons of baking powder, and one half level teaspoon of salt together.	false	1543.83	1552.87	16
122_129752_000044_000001	Add two well beaten eggs and one-half cup of melted butter.	Add two well beaten eggs and one half cup of melted butter.	true	1553.18	1556.89	13
122_129752_000044_000002	Beat and pour into greased muffin pans until they are two-thirds full.	Beat and pour into greased muffin pans until they are two thirds full.	true	1556.99	1561.18	16
122_129752_000044_000003	Bake in a hot oven, then split and butter.	Bake in a hot oven, then split and butter.	true	1561.4	1564.21	21
122_129752_000044_000004	Crush a quart box of any kind of berries, sprinkle with one-half of cup of sugar and use as a filling for the little shortcakes.	Crush a quart box of any kind of berries, sprinkle with one half of cup of sugar and use as a filling for the little shortcakes.	false	1564.55	1571.28	15
122_129752_000045_000000	~RAISED DOUGHNUTS~--Scald one cup of milk.	~ RAISED DOUGHNUTS ~--Scald one cup of milk.	false	1571.28	1575.52	23.22892
122_129752_000045_000001	When lukewarm add one-quarter of a yeast cake dissolved in one-quarter of a cup of lukewarm water, one teaspoon salt and flour enough to make a stiff batter.	When lukewarm add one quarter of a yeast cake dissolved in one quarter of a cup of lukewarm water, one teaspoon salt and flour enough to make a stiff batter.	true	1575.68	1585.72	16
122_129752_000045_000002	Let it rise over night.	Let it rise over night.	true	1586.09	1587.58	19.365026
122_129752_000045_000003	In the morning add one-third of a cup of shortening (butter and lard mixed), one cup light brown sugar, two eggs well beaten, one-half nutmeg grated and enough flour to make a stiff dough.	In the morning add one third of a cup of shortening (butter and lard mixed), one cup light brown sugar, two eggs well beaten, one half nutmeg grated and enough flour to make a stiff dough.	false	1587.98	1600.96	19.271784
122_129752_000045_000004	Let it rise again, toss on floured board, pat and roll out.	Let it rise again, toss on floured board, pat and roll out.	false	1601.18	1605.13	16
122_129752_000045_000005	Shape with the biscuit cutter and work between the hands until round.	Shape with the biscuit cutter and work between the hands until round.	true	1605.32	1608.79	13
122_129752_000045_000006	Place on the floured board, let rise one hour, turn and let rise again.	Place on the floured board, let rise one hour, turn and let rise again.	false	1609.22	1614.1	17.479467
122_129752_000045_000007	Fry in deep fat and drain on brown paper.	Fry in deep fat and drain on brown paper.	true	1614.44	1617.61	17
122_129752_000045_000008	Cool and roll in powdered sugar.	Cool and roll in powdered sugar.	true	1617.83	1619.97	16
122_129752_000046_000000	~SOUR MILK DOUGHNUTS~--Beat two eggs light, add one cup of sugar and beat, one-half cup of butter and lard mixed, and beat again.	~ SOUR MILK DOUGHNUTS ~--Beat two eggs light, add one cup of sugar and beat, one half cup of butter and lard mixed, and beat again.	false	1619.97	1629.43	20
122_129752_000046_000001	Stir one level teaspoon of soda into one pint of sour milk, add to the other ingredients and mix with enough sifted pastry flour to make a dough as soft as can be rolled.	Stir one level teaspoon of soda into one pint of sour milk, add to the other ingredients and mix with enough sifted pastry flour to make a dough as soft as can be rolled.	true	1629.89	1640.73	14
122_129752_000046_000002	Take a part at a time, roll half an inch thick, cut in rings and fry.	Take a part at a time, roll half an inch thick, cut in rings and fry.	true	1640.73	1645.15	20
122_129752_000046_000003	Use nutmeg, cinnamon, or any flavoring liked. These doughnuts are good for the picnic basket or to carry out to the boys at their camp.	Use nutmeg, cinnamon, or any flavoring liked. These doughnuts are good for the picnic basket or to carry out to the boys at their camp.	true	1645.4	1652.67	14
122_129752_000047_000000	~SUGAR COOKIES~--Beat to a cream one cupful of shortening, half lard and half butter, one cupful granulated sugar.	~ SUGAR COOKIES ~--Beat to a cream one cupful of shortening, half lard and half butter, one cupful granulated sugar.	false	1652.67	1663.78	19.26542
122_129752_000047_000001	Add one cup rich sour cream and two eggs unbeaten, four cupfuls flour sifted with one teaspoonful soda and a half teaspoonful baking powder.	Add one cup rich sour cream and two eggs unbeaten, four cupfuls flour sifted with one teaspoonful soda and a half teaspoonful baking powder.	false	1664.09	1674.13	17
122_129752_000047_000002	Stir just enough to make a stiff dough, toss on to the lightly floured molding board and knead another cupful of flour into it.	Stir just enough to make a stiff dough, toss on to the lightly floured molding board and knead another cupful of flour into it.	true	1674.59	1682.73	18
122_129752_000047_000003	This mixing gives the cookies a fine grain.	This mixing gives the cookies a fine grain.	false	1682.73	1685.28	13
122_129752_000047_000004	Flavor with a little nutmeg, roll out, cut into cookies, and bake.	Flavor with a little nutmeg, roll out, cut into cookies, and bake.	true	1685.28	1689.03	17
122_129752_000048_000000	~SOFT GINGER COOKIES~--Put a level teaspoon of soda in a measuring cup, add three tablespoons of boiling water, one-quarter cup of melted butter or lard, a saltspoon of salt, a level teaspoon of ginger, and enough sifted pastry flour to make a dough as soft as can be handled.	~ SOFT GINGER COOKIES ~--Put a level teaspoon of soda in a measuring cup, add three tablespoons of boiling water, one quarter cup of melted butter or lard, a saltspoon of salt, a level teaspoon of ginger, and enough sifted pastry flour to make a dough as soft as can be handled.	false	1689.03	1706.35	17
122_129752_000048_000001	Shape small bits of dough, lay in the greased baking pan and press out half an inch thick; bake carefully.	Shape small bits of dough, lay in the greased baking pan and press out half an inch thick; bake carefully.	false	1706.75	1716.75	19.496548
