8791_291101_000000_000000	'I forgot to tell you,' she said slowly.	'I forgot to tell you,' she said slowly.	false	0	2.01	20.74881
8791_291101_000058_000000	'Maybe they'll think I stole this horse.	'Maybe they'll think I stole this horse.	true	880.43	882.52	20
8791_291101_000058_000001	Guess I'll go round,' he said aloud.	Guess I'll go round,' he said aloud.	true	882.8	885.43	22.573967
8791_291101_000058_000002	He jerked his steed from the road into the grass, and urged him into a trot.	He jerked his steed from the road into the grass, and urged him into a trot.	true	885.65	890.14	17
8791_291101_000058_000003	Instantly he found himself beaten and jolted like a ship in a tempest.	Instantly he found himself beaten and jolted like a ship in a tempest.	true	890.51	894.76	18
8791_291101_000058_000004	He lost a stirrup, he slipped sidewise on the saddle; then in a panicky fright he began to shout and saw at the bit.	He lost a stirrup, he slipped sidewise on the saddle; then in a panicky fright he began to shout and saw at the bit.	true	894.89	902.68	22.386469
8791_291101_000058_000005	Frightened by the voice and the thunder of hoofs, a chaparral cock darted from beneath the horse's nose.	Frightened by the voice and the thunder of hoofs, a chaparral cock darted from beneath the horse's nose.	true	903.23	909.04	17
8791_291101_000058_000006	It was enough to make the beast swerve, then toss his head, and in a panic madder than his rider's, break into a run and dash unrestrainably onward.	It was enough to make the beast swerve, then toss his head, and in a panic madder than his rider's, break into a run and dash unrestrainably onward.	true	909.17	918.76	16
8791_291101_000058_000007	Cargan, numb with fright, leaned over his neck and wound his hands in the mane.	Cargan, numb with fright, leaned over his neck and wound his hands in the mane.	true	918.86	923.47	13
8791_291101_000058_000008	The speed sickened him.	The speed sickened him.	true	923.78	925.42	22.12207
8791_291101_000058_000009	The flat earth swung beneath, the sky swam dizzily.	The flat earth swung beneath, the sky swam dizzily.	true	925.46	929.05	22
8791_291101_000058_000010	He dared not pull on the reins; he could only hold on grimly and shut his eyes.	He dared not pull on the reins; he could only hold on grimly and shut his eyes.	true	929.21	934.18	20
8791_291101_000058_000011	Once he slipped, and, screaming, saw for an instant a blur of grass before he could pull himself back to safety.	Once he slipped, and, screaming, saw for an instant a blur of grass before he could pull himself back to safety.	true	934.97	942.22	21
8791_291101_000058_000012	And then the speed increased, the sweaty shoulders labored beneath him, and his senses whirled.	And then the speed increased, the sweaty shoulders labored beneath him, and his senses whirled.	false	942.62	948.31	20
8791_291101_000059_000000	He did not note how far they ran; but at last came a slower motion, a gallop, and then a trot.	He did not note how far they ran; but at last came a slower motion, a gallop, and then a trot.	true	948.83	955.36	22.351252
8791_291101_000059_000001	Weak from exhaustion, he was bumped from the saddle, and found himself clutching and kicking with both arms around his horse's neck.	Weak from exhaustion, he was bumped from the saddle, and found himself clutching and kicking with both arms around his horse's neck.	true	955.91	963.07	17
8791_291101_000059_000002	Flinging himself outward, he rolled over on the soft ground, and lay groaning on the prairie.	Flinging himself outward, he rolled over on the soft ground, and lay groaning on the prairie.	true	963.53	969.1	20
8791_291101_000059_000003	The well-trained horse stopped and began to graze; he too was quivering with fatigue, but his fright was over.	The well trained horse stopped and began to graze; he too was quivering with fatigue, but his fright was over.	true	969.5	976.12	21.763876
8791_291101_000059_000004	The sun was burning near the zenith.	The sun was burning near the zenith.	true	976.37	978.58	17.587616
8791_291101_000059_000005	The world again was empty, and this time there was no road.	The world again was empty, and this time there was no road.	true	978.68	983.08	21
8791_291101_000060_000000	Cargan was lost.	Cargan was lost.	true	983.54	985	19.5346
8791_291101_000061_000000	When he recovered a little, he caught the horse, and, too shaken to mount him, limped on, leading him by the bridle, in what direction he did not know.	When he recovered a little, he caught the horse, and, too shaken to mount him, limped on, leading him by the bridle, in what direction he did not know.	true	986.45	995.44	19
8791_291101_000061_000001	Pangs of hunger and faintness assailed him.	Pangs of hunger and faintness assailed him.	true	995.9	998.62	18.062624
8791_291101_000061_000002	The awful loneliness chilled him through in spite of the blaze of heat and light. He remembered stories of men who had wandered on the prairie, round and round in an endless circle, until they had gone crazy and blown out their brains.	The awful loneliness chilled him through in spite of the blaze of heat and light. He remembered stories of men who had wandered on the prairie, round and round in an endless circle, until they had gone crazy and blown out their brains.	true	998.72	1011.85	17
8791_291101_000061_000003	A profound pity for himself stirred him.	A profound pity for himself stirred him.	true	1012.46	1015.15	21
8791_291101_000061_000004	Never had he so felt the need of humanity, of human aid.	Never had he so felt the need of humanity, of human aid.	true	1015.58	1019.74	21
8791_291101_000061_000005	He would have given a hundred dollars to be walking up Main Street, with the boys calling to him from Rooney's cigar store, and the world where it was yesterday.	He would have given a hundred dollars to be walking up Main Street, with the boys calling to him from Rooney's cigar store, and the world where it was yesterday.	true	1019.93	1028.44	17
8791_291101_000062_000000	Just in front a little calf stumbled to its feet and ran toward them, mooing piteously.	Just in front a little calf stumbled to its feet and ran toward them, mooing piteously.	false	1029.77	1034.89	19
8791_291101_000062_000001	It, too, was lost.	It, too, was lost.	true	1035.17	1036.63	21.895864
8791_291101_000062_000002	Cargan stroked its nostrils, and a sympathy for all suffering things flowed through his heart.	Cargan stroked its nostrils, and a sympathy for all suffering things flowed through his heart.	true	1037.03	1042.36	18
8791_291101_000062_000003	He thought with a shudder of Waldron, pacing somewhere like himself, alone, lost, helpless, his pride gone.	He thought with a shudder of Waldron, pacing somewhere like himself, alone, lost, helpless, his pride gone.	false	1042.88	1051.98	21.432318
8791_291101_000062_000004	In his awakened imagination, he saw him wandering nearer and nearer the fatal act.	In his awakened imagination, he saw him wandering nearer and nearer the fatal act.	false	1051.98	1057.15	15
8791_291101_000062_000005	'He'll shoot himself.	'He'll shoot himself.	true	1057.4	1058.92	17.441153
8791_291101_000062_000006	I ought to done something,' he whispered, with a sudden rush of unfamiliar emotion; and all the sentiment in his nature heaved and struggled to the light.	I ought to done something,' he whispered, with a sudden rush of unfamiliar emotion; and all the sentiment in his nature heaved and struggled to the light.	true	1059.11	1068.43	19
8791_291101_000063_000000	A cow lowed somewhere beyond them; his horse pricked up his ears, and the calf ambled off in the direction of the sound.	A cow lowed somewhere beyond them; his horse pricked up his ears, and the calf ambled off in the direction of the sound.	true	1069.58	1076.71	16
8791_291101_000063_000001	Cargan limped after hurriedly, leading his horse.	Cargan limped after hurriedly, leading his horse.	true	1077.53	1080.04	18
8791_291101_000063_000002	A hundred yards brought them to the edge of a slight bowl in the plains, with a little moisture around which pewees were flying, and his heart leaped to see beside it a tiny house of unpainted boards.	A hundred yards brought them to the edge of a slight bowl in the plains, with a little moisture around which pewees were flying, and his heart leaped to see beside it a tiny house of unpainted boards.	true	1080.62	1091.38	15
8791_291101_000063_000003	Wires stretched from one window, along the depression which led westward, until they disappeared in the endless horizon; and, as he paused to survey, a sharp bell rang.	Wires stretched from one window, along the depression which led westward, until they disappeared in the endless horizon; and, as he paused to survey, a sharp bell rang.	true	1092.11	1102.66	18
8791_291101_000064_000000	'Hello, is that Annie?' came faintly across the silence.	'Hello, is that Annie?' came faintly across the silence.	true	1103.24	1107.19	22.882803
8791_291101_000065_000000	He looked at his watch, and saw that it was only eleven.	He looked at his watch, and saw that it was only eleven.	true	1107.71	1110.37	14
8791_291101_000065_000001	'I'll talk to Casey about Waldron,' he said guiltily.	'I'll talk to Casey about Waldron,' he said guiltily.	true	1111.01	1114.3	14
8791_291101_000065_000002	Relief for his escape, and still more the hush of that enormous plain, the solemnity of the great and shining sky, filled him with high and noble thoughts.	Relief for his escape, and still more the hush of that enormous plain, the solemnity of the great and shining sky, filled him with high and noble thoughts.	true	1115	1124.26	15
8791_291101_000066_000000	'Say, is Hamden near here?' he asked of a slim woman in a gingham dress who appeared at the door.	'Say, is Hamden near here?' he asked of a slim woman in a gingham dress who appeared at the door.	true	1126.04	1132.12	21
8791_291101_000067_000000	She nodded.	She nodded.	true	1132.43	1133.53	19.102253
8791_291101_000068_000000	'And say, can I use your telephone?'	'And say, can I use your telephone?'	true	1134.2	1136.68	21.19527
8791_291101_000069_000000	She hesitated, looking him over, then motioned him incuriously to the stool behind the pine table.	She hesitated, looking him over, then motioned him incuriously to the stool behind the pine table.	false	1137.41	1143.88	19
8791_291101_000069_000001	Solitude seemed to have made her unready of speech.	Solitude seemed to have made her unready of speech.	true	1144.37	1147.42	18
8791_291101_000069_000002	He called Cargan & Casey, then waited, fidgeting.	He called Cargan and Casey, then waited, fidgeting.	true	1148	1151.41	20.752539
8791_291101_000069_000003	Silence invaded the little kitchen.	Silence invaded the little kitchen.	true	1151.93	1154.08	19
8791_291101_000069_000004	The clock ticked in a hush; the chickens droned in whispers; the woman herself worked over the stove with slow fingers, moving the kettles gently.	The clock ticked in a hush; the chickens droned in whispers; the woman herself worked over the stove with slow fingers, moving the kettles gently.	true	1154.33	1163.71	21
8791_291101_000069_000005	Cargan & Casey were 'busy.' He fumed for an instant, then gave his own home number.	Cargan and Casey were 'busy.' He fumed for an instant, then gave his own home number.	true	1163.72	1169.29	19.505762
8791_291101_000070_000000	'It's Jim,' he said, and heard his wife's carol of surprise.	'It's Jim,' he said, and heard his wife's carol of surprise.	true	1169.84	1174.06	19.823544
8791_291101_000070_000001	He could see her tiptoeing at their telephone.	He could see her tiptoeing at their telephone.	true	1174.55	1177.09	22
8791_291101_000070_000002	'I'm all right,' he shouted in response to her eager words; and the thought of their little sitting-room, and the kids playing behind her, warmed his blood.	'I'm all right,' he shouted in response to her eager words; and the thought of their little sitting room, and the kids playing behind her, warmed his blood.	true	1177.31	1185.07	17
8791_291101_000070_000003	'I got run away with on the plains, but I'm all right--' Her frightened ejaculation thrilled him with loving pride--'honest I am.' And then suddenly a wave of generous emotion mounted to his head.	'I got run away with on the plains, but I'm all right-' Her frightened ejaculation thrilled him with loving pride-'honest I am.' And then suddenly a wave of generous emotion mounted to his head.	false	1185.44	1198.12	19.514837
8791_291101_000070_000004	'Martha,' he called quickly,--'tell Casey not to sell out Waldron--tell him right away.	'Martha,' he called quickly,--'tell Casey not to sell out Waldron-tell him right away.	true	1198.49	1203.8	20.74487
8791_291101_000070_000005	I'll explain to-morrow.'	I'll explain to morrow.'	true	1203.8	1205.08	15
8791_291101_000071_000000	The connection roared and failed.	The connection roared and failed.	true	1206.08	1208.32	22.345882
8791_291101_000071_000001	He hung up the instrument.	He hung up the instrument.	true	1208.39	1210.06	25.337114
8791_291101_000071_000002	The quiet room, the gently moving woman, the immensity without, rushed back on his sight.	The quiet room, the gently moving woman, the immensity without, rushed back on his sight.	true	1210.19	1216.12	19.133038
8791_291101_000071_000003	Exhilarated, clear-hearted, looking heaven in the face, he asked the necessary questions, mounted his horse, and pushed onward.	Exhilarated, clear hearted, looking heaven in the face, he asked the necessary questions, mounted his horse, and pushed onward.	true	1216.28	1224.67	19.726454
8791_291101_000072_000000	Hamden was already a blotch upon the horizon.	Hamden was already a blotch upon the horizon.	true	1225.52	1228.18	17
8791_291101_000072_000001	'Say, it's great to get into a _big_ country,' he murmured, lifted his bare head to the free air, and in a curious exaltation of mind rode on dreamily.	'Say, it's great to get into a underscore big underscore country,' he murmured, lifted his bare head to the free air, and in a curious exaltation of mind rode on dreamily.	false	1228.64	1237.99	20
8791_291101_000072_000002	He noticed the flowers in the coarse grass, watched the wild doves flying with their quick, strong wing-beats, and swung his eye joyfully around the blue horizons that receded until one felt the curve and pitch of the world.	He noticed the flowers in the coarse grass, watched the wild doves flying with their quick, strong wing beats, and swung his eye joyfully around the blue horizons that receded until one felt the curve and pitch of the world.	true	1238.33	1251.1	16
8791_291101_000073_000000	The mood lasted until Cargan reached the first straggling houses of the village street, so that he entered upon the rutty highway between dirt sidewalks with regret, as one whose holiday was ending.	The mood lasted until Cargan reached the first straggling houses of the village street, so that he entered upon the rutty highway between dirt sidewalks with regret, as one whose holiday was ending.	false	1252.28	1263.52	17
8791_291101_000073_000001	He scarcely noticed the loiterers who stared at him, or thought of his streaked face, his trousers split at the knee, his hat lost on the wild ride.	He scarcely noticed the loiterers who stared at him, or thought of his streaked face, his trousers split at the knee, his hat lost on the wild ride.	true	1263.95	1272.49	21
8791_291101_000074_000000	But as he plodded onward the atmosphere of town had its effect.	But as he plodded onward the atmosphere of town had its effect.	true	1273.31	1277.2	20
8791_291101_000074_000001	His eye began to take note of the size of the shops glittering under their false fronts, the new houses behind rows of stiff young trees, the number and make of automobiles.	His eye began to take note of the size of the shops glittering under their false fronts, the new houses behind rows of stiff young trees, the number and make of automobiles.	true	1277.42	1287.25	18
8791_291101_000074_000002	His subconsciousness grasped the financial level of Hamden, although his thoughts were still in the wide spaces of the plains.	His subconsciousness grasped the financial level of Hamden, although his thoughts were still in the wide spaces of the plains.	false	1287.47	1294.57	16
8791_291101_000074_000003	A boy ran out from the side-walk to sell him a paper.	A boy ran out from the side walk to sell him a paper.	true	1295	1297.95	19
8791_291101_000074_000004	He stuck it in his side pocket, and suddenly began to feel like a man of this world again.	He stuck it in his side pocket, and suddenly began to feel like a man of this world again.	true	1297.95	1302.73	15
8791_291101_000075_000000	'Say, sonny,' he called; 'who sells land in this burg?--Dubell--John Dubell?--Thanks.'	'Say, sonny,' he called; 'who sells land in this burg?--Dubell-john Dubell?--Thanks.'	false	1303.16	1309.66	21.869726
8791_291101_000076_000000	He went more and more slowly.	He went more and more slowly.	true	1311.38	1313.17	19.60213
8791_291101_000077_000000	A drug-store, blazing with marble and onyx in the afternoon sun, made Cargan's dry throat wrinkle with thirst.	A drug store, blazing with marble and onyx in the afternoon sun, made Cargan's dry throat wrinkle with thirst.	true	1313.45	1319.95	17
8791_291101_000077_000001	He pulled his horse toward that side of the street.	He pulled his horse toward that side of the street.	false	1320.44	1323.16	19.861973
8791_291101_000077_000002	There was a row of customers along the soda-water counter, and through the open windows came scraps of conversation: two boys were teasing each other about a girl; a group of men were talking auctions, options, prices, real estate.	There was a row of customers along the soda water counter, and through the open windows came scraps of conversation: two boys were teasing each other about a girl; a group of men were talking auctions, options, prices, real estate.	true	1323.2	1337.56	20.665827
8791_291101_000077_000003	He drank their talk in greedily, with a pang of homesickness and a rush of returning common sense. Dismounting stiffly, he tied his horse, and stood for an instant on the cement pavement, feeling his dirt and tatters, wondering if they would throw him out for a bum.	He drank their talk in greedily, with a pang of homesickness and a rush of returning common sense. Dismounting stiffly, he tied his horse, and stood for an instant on the cement pavement, feeling his dirt and tatters, wondering if they would throw him out for a bum.	true	1338.05	1352.98	19
8791_291101_000077_000004	Then he slid inside the door, and ordered a chocolate soda.	Then he slid inside the door, and ordered a chocolate soda.	true	1353.56	1357.3	22.322289
8791_291101_000078_000000	The clerk was reading the paper while he juggled the milk-shakes. Cargan, carefully concealing his torn trousers, climbed a stool, and began to look back upon the vagaries of the day with sullen wonder.	The clerk was reading the paper while he juggled the milk shakes. Cargan, carefully concealing his torn trousers, climbed a stool, and began to look back upon the vagaries of the day with sullen wonder.	true	1358.12	1369.96	19
8791_291101_000078_000001	He brushed furtively at the caked dust on his legs, remembering, irritably, the elegance of Waldron, whom he had saved.	He brushed furtively at the caked dust on his legs, remembering, irritably, the elegance of Waldron, whom he had saved.	true	1370.03	1377.55	21
8791_291101_000078_000002	In the mirror of the soda fountain he saw himself, torn, dirty, shrinking, and the sight filled him with disgust and anger.	In the mirror of the soda fountain he saw himself, torn, dirty, shrinking, and the sight filled him with disgust and anger.	true	1377.71	1385.5	20.800714
8791_291101_000078_000003	He felt as ridiculous as when he had come out with a glass too much from the Stoneham bar, and tripped over the steps of the main entrance.	He felt as ridiculous as when he had come out with a glass too much from the Stoneham bar, and tripped over the steps of the main entrance.	true	1385.66	1392.79	14
8791_291101_000078_000004	'Gimme a cigar,' he called to the boy at the magazine counter; bit off the end, lit it, and began to think business.	'Gimme a cigar,' he called to the boy at the magazine counter; bit off the end, lit it, and began to think business.	true	1393.64	1400.53	22.58735
8791_291101_000079_000000	The clerk, swirling a cataract of milk from glass to glass, revealed the inner sheet of the paper propped before him.	The clerk, swirling a cataract of milk from glass to glass, revealed the inner sheet of the paper propped before him.	true	1401.08	1407.97	20
8791_291101_000079_000001	Cargan read beneath his arm the full-page advertisement of a land sale--the land sale he had come through all this tomfoolery to reach.	Cargan read beneath his arm the full page advertisement of a land sale-the land sale he had come through all this tomfoolery to reach.	true	1408.4	1416.01	16
8791_291101_000079_000002	His eyes bulged as he saw that they were going to throw a thousand acres on the market.	His eyes bulged as he saw that they were going to throw a thousand acres on the market.	true	1416.14	1421.02	18
8791_291101_000079_000003	'Good gosh,' he gulped inwardly, 'what a chance!' It was a sure thing for the man with the money.	'Good gosh,' he gulped inwardly, 'what a chance!' It was a sure thing for the man with the money.	true	1421.39	1426.9	20.938332
8791_291101_000080_000000	The last of his fine sentiments evaporated.	The last of his fine sentiments evaporated.	true	1427.75	1430.27	18
8791_291101_000080_000001	Except for Waldron he could have scooped it all in; but now four hundred was all he dared touch,--and perhaps not that.	Except for Waldron he could have scooped it all in; but now four hundred was all he dared touch,--and perhaps not that.	true	1430.27	1437.55	21
8791_291101_000080_000002	Raging against his softness back there on the plains, which seemed a hardly recognizable world, he ground his teeth, and coughed and choked over his soda.	Raging against his softness back there on the plains, which seemed a hardly recognizable world, he ground his teeth, and coughed and choked over his soda.	true	1437.56	1446.22	16
8791_291101_000080_000003	Soft-headed donkey!	Soft headed donkey!	true	1446.32	1448.02	22.611355
8791_291101_000080_000004	The reaction was complete.	The reaction was complete.	true	1448.27	1450.06	24.98989
8791_291101_000081_000000	Suddenly a little thought no bigger than a minute rose in one corner of his brain, and spread, and spread.	Suddenly a little thought no bigger than a minute rose in one corner of his brain, and spread, and spread.	false	1451	1457.36	18
8791_291101_000081_000001	He looked furtively at the clock over the clerk's head, and saw that it was only half-past two.	He looked furtively at the clock over the clerk's head, and saw that it was only half past two.	true	1457.36	1462.51	18
8791_291101_000081_000002	With guilty deliberation he rose and walked slowly toward the door of the telephone booth, keeping back from full consciousness just what he was about to do.	With guilty deliberation he rose and walked slowly toward the door of the telephone booth, keeping back from full consciousness just what he was about to do.	true	1462.52	1470.88	18
8791_291101_000081_000003	Then he slammed himself within, and shouted Casey's address to the operator.	Then he slammed himself within, and shouted Casey's address to the operator.	true	1471.22	1475.38	15
8791_291101_000081_000004	As he waited, his wrath mounted.	As he waited, his wrath mounted.	true	1475.81	1478.17	17.734442
8791_291101_000081_000005	'What in heck was the matter with me anyway!' He smoked furiously in the stifling box.	'What in heck was the matter with me anyway!' He smoked furiously in the stifling box.	false	1478.81	1483.54	19.202011
8791_291101_000082_000000	'Go ahead,' said the operator,--and, at the word, 'Hey there, Casey,' he yelled at the dim voice on the wires, 'I've gotta have five thousand quick!	'Go ahead,' said the operator,--and, at the word, 'Hey there, Casey,' he yelled at the dim voice on the wires, 'I've gotta have five thousand quick!	true	1484.51	1492.98	22.25565
8791_291101_000082_000001	Sell that Benningham Common--yes, Waldron's.' At the name his anger broke loose.	Sell that Benningham Common-yes, Waldron's.' At the name his anger broke loose.	true	1492.98	1498.6	22.177198
8791_291101_000082_000002	'The old high-brow tried to bluff me.	'The old high brow tried to bluff me.	true	1498.67	1500.67	23
8791_291101_000082_000003	What!!--' The connection failed and left him gasping.	What!!--' The connection failed and left him gasping.	true	1500.95	1504.42	23.566357
8791_291101_000083_000000	'What!	'What!	true	1504.64	1505.35	20.901943
8791_291101_000083_000001	Sold it!	Sold it!	true	1505.45	1506.58	23.424995
8791_291101_000083_000002	He told you to!--No, I dunno anything about a court decision.	He told you to!--No, I dunno anything about a court decision.	true	1506.68	1510.75	22.31664
8791_291101_000083_000003	Up 15 points on a merger!	Up fifteen points on a merger!	true	1511.3	1513.3	20.982174
8791_291101_000083_000004	Well what do you think--' He gulped down the sudden reversal and felt for words.	Well what do you think-' He gulped down the sudden reversal and felt for words.	true	1513.64	1518.31	21.457418
8791_291101_000083_000005	'Say, tell him,--' he licked his lips,--'tell him I'm sure glad I saved him.	'Say, tell him,--' he licked his lips,--'tell him I'm sure glad I saved him.	true	1518.5	1523.61	20.016748
8791_291101_000083_000006	I'm sure glad.'	I'm sure glad.'	true	1523.61	1524.88	21.169603
8791_291101_000084_000000	The wires roared again,--and Cargan, putting down the receiver grinned shamefacedly into the dirty mirror.	The wires roared again,--and Cargan, putting down the receiver grinned shamefacedly into the dirty mirror.	false	1525.76	1531.93	19
8791_291101_000084_000001	But gradually a sense of conscious virtue began to trickle pleasantly through his veins.	But gradually a sense of conscious virtue began to trickle pleasantly through his veins.	true	1532.3	1536.91	16
8791_291101_000084_000002	'I'm sure glad,' he repeated more vigorously; 'carryin' him to-day was what did it.' A vision of Mrs. Waldron's happy face rose to bless him; the exhilaration of the morning coursed back into his heart, with a comfortable feeling of good business about it.	'I'm sure glad,' he repeated more vigorously; 'carryin' him to day was what did it.' A vision of mrs Waldron's happy face rose to bless him; the exhilaration of the morning coursed back into his heart, with a comfortable feeling of good business about it.	true	1537.4	1553.08	20.985897
8791_291101_000084_000003	He felt better and better.	He felt better and better.	true	1553.48	1555.09	23.573606
8791_291101_000084_000004	From somewhere a saying floated into his head: 'Doing good unto others is the only happiness.' 'By heck, that's true,' he commented aloud, and sat smoking peacefully, his mind aglow with pleasant thoughts.	From somewhere a saying floated into his head: 'Doing good unto others is the only happiness.' 'By heck, that's true,' he commented aloud, and sat smoking peacefully, his mind aglow with pleasant thoughts.	true	1555.37	1568.59	21.449678
8791_291101_000085_000000	The bell whirred raucously.	The bell whirred raucously.	true	1569.68	1571.34	19.88581
8791_291101_000085_000001	He saw that he had forgotten to replace the receiver, and putting it to his ear caught Casey's voice again:--	He saw that he had forgotten to replace the receiver, and putting it to his ear caught Casey's voice again:--	true	1571.34	1576.78	20
8791_291101_000086_000000	'Say, Carg, Jim Smith's in the office, and won't leave till he's heard from you.	'Say, c a r g, Jim Smith's in the office, and won't leave till he's heard from you.	false	1577.12	1581.28	19
8791_291101_000086_000001	Montana Pacific's off two points more.	Montana Pacific's off two points more.	true	1581.44	1583.98	21.669664
8791_291101_000086_000002	Say, do you want to carry _him_?	Say, do you want to carry underscore him underscore?	false	1584.38	1586.16	24.958426
8791_291101_000086_000003	He says he's done for if you sell him out.'	He says he's done for if you sell him out.'	true	1586.16	1588.3	14
8791_291101_000087_000000	A fire of indignation rushed through Cargan. 'What d' you think I am--a damned philanthropist?' he yelled.	A fire of indignation rushed through Cargan. 'What d' you think I am-a damned philanthropist?' he yelled.	false	1588.64	1594.92	19.261705
8791_291101_000087_000001	'Sell out the old gambler!	'Sell out the old gambler!	true	1594.92	1596.61	21.714886
8791_291101_000087_000002	Sell him out!' And he hung up.	Sell him out!' And he hung up.	false	1596.62	1600.14	17.584015
8791_291101_000088_000000	NOTHING	NOTHING	false	1600.14	1602.13	26.322927
8791_291101_000089_000000	BY ZEPHINE HUMPHREY	BY z e p h i n e HUMPHREY	false	1602.13	1605.99	15
8791_291101_000090_000000	This is not going to be an easy story to write.	This is not going to be an easy story to write.	false	1605.99	1613.25	21.488417
8791_291101_000090_000001	Its theme is precisely that which I have chosen for my title; and naturally its positive significance is not obvious.	Its theme is precisely that which I have chosen for my title; and naturally its positive significance is not obvious.	false	1613.25	1619.13	15
8791_291101_000090_000002	But I must somehow get the thing into words.	But I must somehow get the thing into words.	false	1619.13	1625.79	19.546062
8791_291101_000090_000003	The spiritual value which I found in the experience may come home to some reader.	The spiritual value which I found in the experience may come home to some reader.	false	1625.79	1631.25	16
8791_291101_000090_000004	At any rate, it is good for us all to stop now and then and challenge the conventional standards of our lives.	At any rate, it is good for us all to stop now and then and challenge the conventional standards of our lives.	false	1631.25	1637.4	21.952723
8791_291101_000091_000000	To begin with, I presume that there are few sympathetic students of humanity who will not agree with me that the strain of mysticism which sometimes appears in the New England character is one of the most interesting and touching of all the manifestations of our human nature. It is so unexpected!	To begin with, I presume that there are few sympathetic students of humanity who will not agree with me that the strain of mysticism which sometimes appears in the New England character is one of the most interesting and touching of all the manifestations of our human nature. It is so unexpected!	false	1637.4	1657.05	21
8791_291101_000091_000001	The delicate pearl in the rough oyster is not more apparently incongruous, rarer, or more priceless.	The delicate pearl in the rough oyster is not more apparently incongruous, rarer, or more priceless.	false	1657.05	1661.04	13
8791_291101_000091_000002	Nay, it is more than that.	Nay, it is more than that.	false	1661.04	1663.62	19.241995
8791_291101_000091_000003	The development is so impossible as to be always a miracle, freshly wrought by the finger of God.	The development is so impossible as to be always a miracle, freshly wrought by the finger of God.	false	1663.62	1668.6	21.251131
