497_129325_000000_000000	CHAPTER XLII	CHAPTER forty two	true	20.475	21.91	26.753473
497_129325_000077_000002	Charlotte, see to them bundles.'	Charlotte, see to them bundles.'	true	1118.2	1120.3	26.14697
497_129325_000078_000000	This mandate, which had been delivered with great majesty, was obeyed without the slightest demur; and Charlotte made the best of her way off with the packages while Noah held the door open and watched her out.	This mandate, which had been delivered with great majesty, was obeyed without the slightest demur; and Charlotte made the best of her way off with the packages while Noah held the door open and watched her out.	false	1122.2	1135.81	24.065228
497_129325_000079_000000	'She's kept tolerably well under, ain't she?' he asked as he resumed his seat: in the tone of a keeper who had tamed some wild animal.	'She's kept tolerably well under, ain't she?' he asked as he resumed his seat: in the tone of a keeper who had tamed some wild animal.	true	1136.75	1144.6	26.910675
497_129325_000080_000000	'Quite perfect,' rejoined Fagin, clapping him on the shoulder.	'Quite perfect,' rejoined Fagin, clapping him on the shoulder.	true	1145.3	1148.98	26.59998
497_129325_000080_000001	'You're a genius, my dear.'	'You're a genius, my dear.'	true	1149.29	1151.16	24.042099
497_129325_000081_000000	'Why, I suppose if I wasn't, I shouldn't be here,' replied Noah. 'But, I say, she'll be back if yer lose time.'	'Why, I suppose if I wasn't, I shouldn't be here,' replied Noah. 'But, I say, she'll be back if yer lose time.'	false	1151.16	1160.17	23.924751
497_129325_000082_000000	'Now, what do you think?' said Fagin. 'If you was to like my friend, could you do better than join him?'	'Now, what do you think?' said Fagin. 'If you was to like my friend, could you do better than join him?'	false	1161.74	1169.47	26.36181
497_129325_000083_000000	'Is he in a good way of business; that's where it is!' responded Noah, winking one of his little eyes.	'Is he in a good way of business; that's where it is!' responded Noah, winking one of his little eyes.	false	1171.88	1178.34	23.568542
497_129325_000084_000000	'The top of the tree; employs a power of hands; has the very best society in the profession.'	'The top of the tree; employs a power of hands; has the very best society in the profession.'	false	1178.34	1185.16	23.593336
497_129325_000085_000000	'Regular town-maders?' asked Mr. Claypole.	'Regular town maders?' asked mr Claypole.	true	1185.74	1189.3	32.936966
497_129325_000086_000000	'Not a countryman among 'em; and I don't think he'd take you, even on my recommendation, if he didn't run rather short of assistants just now,' replied Fagin.	'Not a countryman among 'em; and I don't think he'd take you, even on my recommendation, if he didn't run rather short of assistants just now,' replied Fagin.	false	1190.15	1199.04	23.714882
497_129325_000087_000000	'Should I have to hand over?' said Noah, slapping his breeches-pocket.	'Should I have to hand over?' said Noah, slapping his breeches pocket.	false	1199.04	1205.08	23.990166
497_129325_000088_000000	'It couldn't possibly be done without,' replied Fagin, in a most decided manner.	'It couldn't possibly be done without,' replied Fagin, in a most decided manner.	true	1205.63	1211.55	26.55616
497_129325_000089_000000	'Twenty pound, though--it's a lot of money!'	'Twenty pound, though-it's a lot of money!'	false	1211.55	1214.98	20.776236
497_129325_000090_000000	'Not when it's in a note you can't get rid of,' retorted Fagin. 'Number and date taken, I suppose?	'Not when it's in a note you can't get rid of,' retorted Fagin. 'Number and date taken, I suppose?	false	1215.62	1221.91	26.967354
497_129325_000090_000001	Payment stopped at the Bank?	Payment stopped at the Bank?	true	1222.28	1223.82	25.130089
497_129325_000090_000002	Ah!	Ah!	true	1223.82	1224.76	20.92268
497_129325_000090_000003	It's not worth much to him.	It's not worth much to him.	true	1224.92	1226.68	28.32594
497_129325_000090_000004	It'll have to go abroad, and he couldn't sell it for a great deal in the market.'	It'll have to go abroad, and he couldn't sell it for a great deal in the market.'	true	1226.84	1231.21	25.09057
497_129325_000091_000000	'When could I see him?' asked Noah doubtfully.	'When could I see him?' asked Noah doubtfully.	true	1233.05	1236.4	26.456776
497_129325_000092_000000	'To-morrow morning.'	'To morrow morning.'	true	1237.04	1238.07	25.160194
497_129325_000093_000000	'Where?'	'Where?'	false	1238.07	1240.71	21.976383
497_129325_000094_000000	'Here.'	'Here.'	true	1240.71	1241.28	41.14721
497_129325_000095_000000	'Um!' said Noah. 'What's the wages?'	'Um!' said Noah. 'What's the wages?'	false	1241.28	1247.19	25.835642
497_129325_000096_000000	'Live like a gentleman--board and lodging, pipes and spirits free--half of all you earn, and half of all the young woman earns,' replied Mr. Fagin.	'Live like a gentleman-board and lodging, pipes and spirits free-half of all you earn, and half of all the young woman earns,' replied mr Fagin.	false	1247.19	1256.65	21.377413
497_129325_000097_000000	Whether Noah Claypole, whose rapacity was none of the least comprehensive, would have acceded even to these glowing terms, had he been a perfectly free agent, is very doubtful; but as he recollected that, in the event of his refusal, it was in the power of his new acquaintance to give him up to justice immediately (and more unlikely things had come to pass), he gradually relented, and said he thought that would suit him.	Whether Noah Claypole, whose rapacity was none of the least comprehensive, would have acceded even to these glowing terms, had he been a perfectly free agent, is very doubtful; but as he recollected that, in the event of his refusal, it was in the power of his new acquaintance to give him up to justice immediately (and more unlikely things had come to pass), he gradually relented, and said he thought that would suit him.	true	1260.23	1288.93	23.19978
497_129325_000098_000000	'But, yer see,' observed Noah, 'as she will be able to do a good deal, I should like to take something very light.'	'But, yer see,' observed Noah, 'as she will be able to do a good deal, I should like to take something very light.'	true	1289.72	1296.76	25.08682
497_129325_000099_000000	'A little fancy work?' suggested Fagin.	'A little fancy work?' suggested Fagin.	true	1297.91	1300.81	21.782064
497_129325_000100_000000	'Ah! something of that sort,' replied Noah. 'What do you think would suit me now?	'Ah! something of that sort,' replied Noah. 'What do you think would suit me now?	true	1301.48	1307.59	25.37327
497_129325_000100_000001	Something not too trying for the strength, and not very dangerous, you know.	Something not too trying for the strength, and not very dangerous, you know.	true	1307.75	1312.38	23.110924
497_129325_000100_000002	That's the sort of thing!'	That's the sort of thing!'	true	1312.38	1313.95	25.448689
497_129325_000101_000000	'I heard you talk of something in the spy way upon the others, my dear,' said Fagin. 'My friend wants somebody who would do that well, very much.'	'I heard you talk of something in the spy way upon the others, my dear,' said Fagin. 'My friend wants somebody who would do that well, very much.'	false	1315.49	1325.94	23.89294
497_129325_000102_000000	'Why, I did mention that, and I shouldn't mind turning my hand to it sometimes,' rejoined Mr. Claypole slowly; 'but it wouldn't pay by itself, you know.'	'Why, I did mention that, and I shouldn't mind turning my hand to it sometimes,' rejoined mr Claypole slowly; 'but it wouldn't pay by itself, you know.'	false	1325.94	1336.96	21.08361
497_129325_000103_000000	'That's true!' observed the Jew, ruminating or pretending to ruminate. 'No, it might not.'	'That's true!' observed the Jew, ruminating or pretending to ruminate. 'No, it might not.'	true	1337.81	1346.46	26.846254
497_129325_000104_000000	'What do you think, then?' asked Noah, anxiously regarding him. 'Something in the sneaking way, where it was pretty sure work, and not much more risk than being at home.'	'What do you think, then?' asked Noah, anxiously regarding him. 'Something in the sneaking way, where it was pretty sure work, and not much more risk than being at home.'	false	1346.46	1357.33	23.531664
497_129325_000105_000000	'What do you think of the old ladies?' asked Fagin. 'There's a good deal of money made in snatching their bags and parcels, and running round the corner.'	'What do you think of the old ladies?' asked Fagin. 'There's a good deal of money made in snatching their bags and parcels, and running round the corner.'	false	1359.8	1368.52	23.483795
497_129325_000106_000000	'Don't they holler out a good deal, and scratch sometimes?' asked Noah, shaking his head.	'Don't they holler out a good deal, and scratch sometimes?' asked Noah, shaking his head.	false	1370.66	1376.65	25.703268
497_129325_000106_000001	'I don't think that would answer my purpose.	'I don't think that would answer my purpose.	true	1377.11	1379.29	26.664143
497_129325_000106_000002	Ain't there any other line open?'	Ain't there any other line open?'	true	1380.26	1381.87	31.852396
497_129325_000107_000000	'Stop!' said Fagin, laying his hand on Noah's knee.	'Stop!' said Fagin, laying his hand on Noah's knee.	false	1382.93	1387.6	23.858683
497_129325_000107_000001	'The kinchin lay.'	'The kinchin lay.'	true	1388	1389.66	20.538763
497_129325_000108_000000	'What's that?' demanded Mr. Claypole.	'What's that?' demanded mr Claypole.	false	1389.66	1392.91	42.81006
497_129325_000109_000000	'The kinchins, my dear,' said Fagin, 'is the young children that's sent on errands by their mothers, with sixpences and shillings; and the lay is just to take their money away--they've always got it ready in their hands,--then knock 'em into the kennel, and walk off very slow, as if there were nothing else the matter but a child fallen down and hurt itself.	'The kinchins, my dear,' said Fagin, 'is the young children that's sent on errands by their mothers, with sixpences and shillings; and the lay is just to take their money away-they've always got it ready in their hands,--then knock 'em into the kennel, and walk off very slow, as if there were nothing else the matter but a child fallen down and hurt itself.	true	1393.94	1415.71	23.611801
497_129325_000109_000001	Ha! ha!	Ha! ha!	true	1415.71	1416.91	20.757421
497_129325_000109_000002	ha!'	ha!'	false	1417.22	1547.82	23.039284
