7384_84010_000000_000000	JACQUELINE OF HOLLAND: THE GIRL OF THE LAND OF FOGS, A.D. 1414.	JACQUELINE OF HOLLAND: THE GIRL OF THE LAND OF FOGS, a d fourteen fourteen.	true	24.165	28.6	26.51855
7384_84010_000059_000001	With three hundred ships and six thousand knights and men-at-arms, she sailed from the old harbor of Rotterdam, and the lion-flag of her house soon floated above the loyal citadel of Gorkum.	With three hundred ships and six thousand knights and men at arms, she sailed from the old harbor of Rotterdam, and the lion flag of her house soon floated above the loyal citadel of Gorkum.	true	937.31	946.93	19
7384_84010_000060_000000	Her doughty Dutch general, von Brederode, counselled immediate attack, but the girl countess, though full of enthusiasm and determination, hesitated.	Her doughty Dutch general, von Brederode, counselled immediate attack, but the girl countess, though full of enthusiasm and determination, hesitated.	true	948.23	957.01	26.484669
7384_84010_000061_000000	From her station in the citadel she looked over the scene before her. Here, along the low bank of the river Maas, stretched the camp of her own followers, and the little gayly colored boats that had brought her army up the river from the red roofs of Rotterdam.	From her station in the citadel she looked over the scene before her. Here, along the low bank of the river Maas, stretched the camp of her own followers, and the little gayly colored boats that had brought her army up the river from the red roofs of Rotterdam.	true	957.86	972.85	21.161753
7384_84010_000061_000001	There, stretching out into the flat country beyond the straggling streets of Gorkum, lay the tents of the rebels.	There, stretching out into the flat country beyond the straggling streets of Gorkum, lay the tents of the rebels.	true	973.97	980.35	22.33396
7384_84010_000061_000002	And yet they were all her countrymen--rebels and retainers alike.	And yet they were all her countrymen-rebels and retainers alike.	true	980.84	984.85	27.079226
7384_84010_000061_000003	Hollanders all, they were ever ready to combine for the defence of their homeland when threatened by foreign foes or by the destroying ocean floods.	Hollanders all, they were ever ready to combine for the defence of their homeland when threatened by foreign foes or by the destroying ocean floods.	true	985.04	992.92	25
7384_84010_000062_000000	Jacqueline's eye caught the flutter of the broad banner of the house of Arkell that waved over the rebel camp.	Jacqueline's eye caught the flutter of the broad banner of the house of Arkell that waved over the rebel camp.	true	994.49	999.79	25.130508
7384_84010_000063_000000	Again she saw the brave lad who alone of all her father's court, save she, had dared to face Count William's lions; again the remembrance of how his daring had made him one of her heroes, filled her heart, and a dream of what might be possessed her.	Again she saw the brave lad who alone of all her father's court, save she, had dared to face Count William's lions; again the remembrance of how his daring had made him one of her heroes, filled her heart, and a dream of what might be possessed her.	true	1000.94	1015.75	21.468424
7384_84010_000063_000001	Her boy husband, the French Dauphin, was dead, and she was pledged by her dying father's command to marry her cousin, whom she detested, Duke John of Brabant.	Her boy husband, the French Dauphin, was dead, and she was pledged by her dying father's command to marry her cousin, whom she detested, Duke john of Brabant.	false	1016.3	1027.23	24.341227
7384_84010_000063_000002	But how much better, so she reasoned, that the name and might of her house as rulers of Holland should be upheld by a brave and fearless knight.	But how much better, so she reasoned, that the name and might of her house as rulers of Holland should be upheld by a brave and fearless knight.	true	1027.23	1034.65	21.601925
7384_84010_000063_000003	On the impulse of this thought she summoned a loyal and trusted vassal to her aid.	On the impulse of this thought she summoned a loyal and trusted vassal to her aid.	true	1035.35	1040.02	22.425879
7384_84010_000064_000000	"Von Leyenburg," she said, "go you in haste and in secret to the Lord of Arkell, and bear from me this message for his ear alone.	"Von Leyenburg," she said, "go you in haste and in secret to the Lord of Arkell, and bear from me this message for his ear alone.	true	1040.51	1047.7	19.752665
7384_84010_000064_000001	Thus says the Lady of Holland: 'Were it not better, Otto of Arkell, that we join hands in marriage before the altar, than that we spill the blood of faithful followers and vassals in a cruel fight?'"	Thus says the Lady of Holland: 'Were it not better, Otto of Arkell, that we join hands in marriage before the altar, than that we spill the blood of faithful followers and vassals in a cruel fight?'"	true	1047.86	1058.56	27.54753
7384_84010_000065_000000	It was a singular, and perhaps, to our modern ears, a most unladylike proposal; but it shows how, even in the heart of a sovereign countess and a girl general, warlike desires may give place to gentler thoughts.	It was a singular, and perhaps, to our modern ears, a most unladylike proposal; but it shows how, even in the heart of a sovereign countess and a girl general, warlike desires may give place to gentler thoughts.	true	1059.47	1072.57	22.677303
7384_84010_000066_000000	To the Lord Arkell, however, this unexpected proposition came as an indication of weakness.	To the Lord Arkell, however, this unexpected proposition came as an indication of weakness.	true	1073.6	1078.96	26.804634
7384_84010_000067_000000	"My lady countess fears to face my determined followers," he thought. "Let me but force this fight and the victory is mine.	"My lady countess fears to face my determined followers," he thought. "Let me but force this fight and the victory is mine.	false	1079.51	1085.86	25.774128
7384_84010_000067_000001	In that is greater glory and more of power than being husband to the Lady of Holland."	In that is greater glory and more of power than being husband to the Lady of Holland."	true	1086.05	1090.57	26.074644
7384_84010_000068_000000	And so he returned a most ungracious answer:	And so he returned a most ungracious answer:	true	1091.24	1095.01	24.100786
7384_84010_000069_000000	"Tell the Countess Jacqueline," he said to the knight of Leyenburg, "that the honor of her hand I cannot accept.	"Tell the Countess Jacqueline," he said to the knight of Leyenburg, "that the honor of her hand I cannot accept.	true	1095.38	1100.89	24.581778
7384_84010_000069_000001	I am her foe, and would rather die than marry her."	I am her foe, and would rather die than marry her."	true	1100.89	1103.95	21.336338
7384_84010_000070_000000	All the hot blood of her ancestors flamed in wrath as young Jacqueline heard this reply of the rebel lord.	All the hot blood of her ancestors flamed in wrath as young Jacqueline heard this reply of the rebel lord.	true	1104.62	1110.34	22.807558
7384_84010_000071_000000	"Crush we these rebel curs, von Brederode," she cried, pointing to the banner of Arkell; "for by my father's memory, they shall have neither mercy nor life from me."	"Crush we these rebel curs, von Brederode," she cried, pointing to the banner of Arkell; "for by my father's memory, they shall have neither mercy nor life from me."	true	1110.65	1118.71	20.707575
7384_84010_000072_000000	Fast upon the curt refusal of the Lord of Arkell came his message of defiance.	Fast upon the curt refusal of the Lord of Arkell came his message of defiance.	true	1119.26	1123.21	24.746128
7384_84010_000073_000000	"Hear ye, Countess of Holland," rang out the challenge of the herald of Arkell, as his trumpet-blast sounded before the gate of the citadel, "the free Lord of Arkell here giveth you word and warning that he will fight against you on the morrow!"	"Hear ye, Countess of Holland," rang out the challenge of the herald of Arkell, as his trumpet blast sounded before the gate of the citadel, "the free Lord of Arkell here giveth you word and warning that he will fight against you on the morrow!"	true	1123.58	1135.66	21.860601
7384_84010_000074_000000	And from the citadel came back this ringing reply, as the knight of Leyenburg made answer for his sovereign lady:	And from the citadel came back this ringing reply, as the knight of Leyenburg made answer for his sovereign lady:	true	1136.45	1142.41	26.211256
7384_84010_000075_000000	"Hear ye, sir Herald, and answer thus to the rebel Lord of Arkell: 'For the purpose of fighting him came we here, and fight him we will, until he and his rebels are beaten and dead.' Long live our Sovereign Lady of Holland!"	"Hear ye, sir Herald, and answer thus to the rebel Lord of Arkell: 'For the purpose of fighting him came we here, and fight him we will, until he and his rebels are beaten and dead.' Long live our Sovereign Lady of Holland!"	true	1143.44	1156.09	22.88802
7384_84010_000076_000000	On the morrow, a murky December day, in the year 1417, the battle was joined, as announced.	On the morrow, a murky December day, in the year fourteen seventeen, the battle was joined, as announced.	true	1157.3	1163.38	22.120527
7384_84010_000076_000001	On the low plain beyond the city, knights and men-at-arms, archers and spearmen, closed in the shock of battle, and a stubborn and bloody fight it was.	On the low plain beyond the city, knights and men at arms, archers and spearmen, closed in the shock of battle, and a stubborn and bloody fight it was.	true	1163.6	1173.01	24.264147
7384_84010_000077_000000	Seven times did the knights of Jacqueline, glittering in their steel armor, clash into the rebel ranks; seven times were they driven back, until, at last, the Lord of Arkell, with a fiery charge, forced them against the very gates of the citadel.	Seven times did the knights of Jacqueline, glittering in their steel armor, clash into the rebel ranks; seven times were they driven back, until, at last, the Lord of Arkell, with a fiery charge, forced them against the very gates of the citadel.	false	1173.83	1187.11	23.502684
7384_84010_000077_000001	The brave von Brederode fell pierced with wounds, and the day seemed lost, indeed, to the Lady of Holland.	The brave von Brederode fell pierced with wounds, and the day seemed lost, indeed, to the Lady of Holland.	true	1187.45	1193.05	24.751396
7384_84010_000078_000000	Then Jacqueline the Countess, seeing her cause in danger--like another Joan of Arc, though she was indeed a younger and much more beautiful girl general,--seized the lion-banner of her house, and, at the head of her reserve troops, charged through the open gate straight into the ranks of her victorious foes.	Then Jacqueline the Countess, seeing her cause in danger-like another Joan of Arc, though she was indeed a younger and much more beautiful girl general,--seized the lion banner of her house, and, at the head of her reserve troops, charged through the open gate straight into the ranks of her victorious foes.	true	1193.93	1210	22.51325
7384_84010_000078_000001	There was neither mercy nor gentleness in her heart then.	There was neither mercy nor gentleness in her heart then.	true	1210.13	1212.97	22
7384_84010_000078_000002	As when she had cowed with a look Ajax, the lion, so now, with defiance and wrath in her face, she dashed straight at the foe.	As when she had cowed with a look Ajax, the lion, so now, with defiance and wrath in her face, she dashed straight at the foe.	true	1213.19	1220.23	24.85077
7384_84010_000079_000000	Her disheartened knights rallied around her, and, following the impetuous girl, they wielded axe and lance for the final struggle.	Her disheartened knights rallied around her, and, following the impetuous girl, they wielded axe and lance for the final struggle.	true	1221.14	1228.15	23.205275
7384_84010_000079_000001	The result came quickly.	The result came quickly.	true	1228.34	1229.83	35.35296
7384_84010_000079_000002	The ponderous battle-axe of the knight of Leyenburg crashed through the helmet of the Lord of Arkell, and as the brave young leader fell to the ground, his panic-stricken followers turned and fled. The troops of Jacqueline pursued them through the streets of Gorkum and out into the open country, and the vengeance of the countess was sharp and merciless.	The ponderous battle axe of the knight of Leyenburg crashed through the helmet of the Lord of Arkell, and as the brave young leader fell to the ground, his panic stricken followers turned and fled. The troops of Jacqueline pursued them through the streets of Gorkum and out into the open country, and the vengeance of the countess was sharp and merciless.	true	1229.9	1247.8	24.434526
7384_84010_000080_000000	But in the flush of victory wrath gave way to pity again, and the young conqueror is reported to have said, sadly and in tears:	But in the flush of victory wrath gave way to pity again, and the young conqueror is reported to have said, sadly and in tears:	true	1249.22	1256.58	23.165155
7384_84010_000081_000000	"Ah!	"Ah!	false	1256.58	1257.51	9
7384_84010_000081_000001	I have won, and yet how have I lost!"	I have won, and yet how have I lost!"	true	1257.51	1260.37	19.789959
7384_84010_000082_000000	But the knights and nobles who followed her banner loudly praised her valor and her fearlessness, and their highest and most knightly vow thereafter was to swear "By the courage of our Princess."	But the knights and nobles who followed her banner loudly praised her valor and her fearlessness, and their highest and most knightly vow thereafter was to swear "By the courage of our Princess."	true	1261.91	1272.4	22.751982
7384_84010_000083_000000	The brilliant victory of this girl of sixteen was not, however, to accomplish her desires.	The brilliant victory of this girl of sixteen was not, however, to accomplish her desires.	true	1273.28	1278.34	24.984114
7384_84010_000083_000001	Peace never came to her.	Peace never came to her.	true	1278.77	1280.53	23.257652
7384_84010_000083_000002	Harassed by rebellion at home, and persecuted by her relentless and perfidious uncles, Count John of Bavaria, rightly called "the Pitiless," and Duke Philip of Burgundy, falsely called "the Good," she, who had once been Crown Princess of France and Lady of Holland, died at the early age of thirty-six, stripped of all her titles and estates.	Harassed by rebellion at home, and persecuted by her relentless and perfidious uncles, Count john of Bavaria, rightly called "the Pitiless," and Duke Philip of Burgundy, falsely called "the Good," she, who had once been Crown Princess of France and Lady of Holland, died at the early age of thirty six, stripped of all her titles and estates.	true	1280.54	1301.26	24.111805
7384_84010_000083_000003	It is, however, pleasant to think that she was happy in the love of her husband, the baron of the forests of the Duke of Burgundy, a plain Dutch gentleman, Francis von Borselen, the lad who, years before, had furnished the gray gabardine that had shielded Count William's daughter from her father's lions.	It is, however, pleasant to think that she was happy in the love of her husband, the baron of the forests of the Duke of Burgundy, a plain Dutch gentleman, Francis von Borselen, the lad who, years before, had furnished the gray gabardine that had shielded Count William's daughter from her father's lions.	true	1302.26	1319.14	24.040068
7384_84010_000084_000000	The story of Jacqueline of Holland is one of the most romantic that has come down to us from those romantic days of the knights.	The story of Jacqueline of Holland is one of the most romantic that has come down to us from those romantic days of the knights.	true	1320.23	1325.89	24.745321
7384_84010_000084_000001	Happy only in her earliest and latest years, she is, nevertheless, a bright and attractive figure against the dark background of feudal tyranny and crime.	Happy only in her earliest and latest years, she is, nevertheless, a bright and attractive figure against the dark background of feudal tyranny and crime.	true	1326.29	1335.28	25.46553
7384_84010_000084_000002	The story of her womanhood should indeed be told, if we would study her life as a whole; but for us, who can in this paper deal only with her romantic girlhood, her young life is to be taken as a type of the stirring and extravagant days of chivalry.	The story of her womanhood should indeed be told, if we would study her life as a whole; but for us, who can in this paper deal only with her romantic girlhood, her young life is to be taken as a type of the stirring and extravagant days of chivalry.	true	1335.89	1350.07	24.318348
7384_84010_000085_000000	And we cannot but think with sadness upon the power for good that she might have been in her land of fogs and floods if, instead of being made the tool of party hate and the ambitions of men, her frank and fearless girl nature had been trained to gentle ways and charitable deeds.	And we cannot but think with sadness upon the power for good that she might have been in her land of fogs and floods if, instead of being made the tool of party hate and the ambitions of men, her frank and fearless girl nature had been trained to gentle ways and charitable deeds.	true	1350.98	1367.8	25.340528
7384_84010_000086_000000	To be "the most picturesque figure in the history of Holland," as she has been called, is distinction indeed; but higher still must surely be that gentleness of character and nobility of soul that, in these days of ours, may be acquired by every girl and boy who reads this romantic story of the Countess Jacqueline, the fair young Lady of Holland.	To be "the most picturesque figure in the history of Holland," as she has been called, is distinction indeed; but higher still must surely be that gentleness of character and nobility of soul that, in these days of ours, may be acquired by every girl and boy who reads this romantic story of the Countess Jacqueline, the fair young Lady of Holland.	true	1368.56	1390.89	22.568678
7384_84010_000087_000000	CATARINA OF VENICE: THE GIRL OF THE GRAND CANAL.	CATARINA OF VENICE: THE GIRL OF THE GRAND CANAL.	false	1390.89	1393.95	21.128426
7384_84010_000088_000000	(Afterward known as Queen of Cyprus and "Daughter of the Republic.") A.D. 1466.	(Afterward known as Queen of Cyprus and "Daughter of the Republic.") a d fourteen sixty six.	false	1393.95	1396.17	26.195904
7384_84010_000089_000000	"Who is he?	"Who is he?	false	1396.17	1396.59	7
7384_84010_000089_000001	Why do you not know, Catarina mia?	Why do you not know, Catarina mia?	false	1396.59	1397.4	12
7384_84010_000089_000002	'T is his Most Puissant Excellency, the mighty Lord of Lusignan, the runaway Heir of Jerusalem, the beggar Prince of Cyprus, with more titles to his name--ho ho, ho!--than he hath jackets to his back; and with more dodging than ducats, so 't is said, when the time to pay for his lodging draweth nigh.	'T is his Most Puissant Excellency, the mighty Lord of Lusignan, the runaway Heir of Jerusalem, the beggar Prince of Cyprus, with more titles to his name-ho ho, ho!--than he hath jackets to his back; and with more dodging than ducats, so 't is said, when the time to pay for his lodging draweth nigh.	false	1397.4	1402.05	26.933245
7384_84010_000089_000003	Holo, Messer Principino!	Holo, Messer Principino!	false	1402.05	1402.29	-20
7384_84010_000089_000004	Give you good-day, Lord of Lusignan!	Give you good day, Lord of Lusignan!	false	1402.29	1402.86	-20
7384_84010_000089_000005	Ho, below there here is tribute for you."	Ho, below there here is tribute for you."	false	1402.86	1403.49	-20
