8534_216567_000000_000000	O God of liberty!	O God of liberty!	false	0	0.54	-20
8534_216567_000025_000001	Under the system of competition which is killing us, and whose necessary expression is a plundering and tyrannical government, the farmer will need always capital in order to repair his losses, and will be forced to contract loans.	Under the system of competition which is killing us, and whose necessary expression is a plundering and tyrannical government, the farmer will need always capital in order to repair his losses, and will be forced to contract loans.	true	967.64	979.06	21
8534_216567_000025_000002	Always depending upon the future for the payment of his debts, he will be deceived in his hope, and surprised by maturity.	Always depending upon the future for the payment of his debts, he will be deceived in his hope, and surprised by maturity.	true	979.4	985.12	23
8534_216567_000025_000003	For what is there more prompt, more unexpected, more abbreviatory of space and time, than the maturity of an obligation?	For what is there more prompt, more unexpected, more abbreviatory of space and time, than the maturity of an obligation?	true	985.7	991.57	18
8534_216567_000025_000004	I address this question to all whom this pitiless Nemesis pursues, and even troubles in their dreams.	I address this question to all whom this pitiless Nemesis pursues, and even troubles in their dreams.	true	992.24	997.63	20.933258
8534_216567_000025_000005	Now, under the new law, the expropriation of a debtor will be effected a hundred times more rapidly; then, also, spoliation will be a hundred times surer, and the free laborer will pass a hundred times sooner from his present condition to that of a serf attached to the soil.	Now, under the new law, the expropriation of a debtor will be effected a hundred times more rapidly; then, also, spoliation will be a hundred times surer, and the free laborer will pass a hundred times sooner from his present condition to that of a serf attached to the soil.	false	997.94	1012	20
8534_216567_000025_000006	Formerly, the length of time required to effect the seizure curbed the usurer's avidity, gave the borrower an opportunity to recover himself, and gave rise to a transaction between him and his creditor which might result finally in a complete release.	Formerly, the length of time required to effect the seizure curbed the usurer's avidity, gave the borrower an opportunity to recover himself, and gave rise to a transaction between him and his creditor which might result finally in a complete release.	false	1013	1022.62	19
8534_216567_000025_000007	Now, the debtor's sentence is irrevocable: he has but a few days of grace.	Now, the debtor's sentence is irrevocable: he has but a few days of grace.	true	1023.14	1027.27	20.432142
8534_216567_000026_000000	And what advantages are promised by this law as an offset to this sword of Damocles, suspended by a single hair over the head of the unfortunate husbandman?	And what advantages are promised by this law as an offset to this sword of Damocles, suspended by a single hair over the head of the unfortunate husbandman?	true	1027.88	1035.61	16
8534_216567_000026_000001	The expenses of seizure will be much less, it is said; but will the interest on the borrowed capital be less exorbitant?	The expenses of seizure will be much less, it is said; but will the interest on the borrowed capital be less exorbitant?	true	1036.19	1041.61	18
8534_216567_000026_000002	For, after all, it is interest which impoverishes the peasant and leads to his expropriation.	For, after all, it is interest which impoverishes the peasant and leads to his expropriation.	false	1042.1	1046.86	22
8534_216567_000026_000003	That the law may be in harmony with its principle, that it may be truly inspired by that spirit of justice for which it is commended, it must--while facilitating expropriation--lower the legal price of money.	That the law may be in harmony with its principle, that it may be truly inspired by that spirit of justice for which it is commended, it must-while facilitating expropriation-lower the legal price of money.	false	1047.29	1057.33	21
8534_216567_000026_000004	Otherwise, the reform concerning mortgages is but a trap set for small proprietors,--a legislative trick.	Otherwise, the reform concerning mortgages is but a trap set for small proprietors,--a legislative trick.	false	1057.82	1064.26	22.24666
8534_216567_000027_000000	Lower interest on money!	Lower interest on money!	true	1064.6	1066.36	30.092253
8534_216567_000027_000001	But, as we have just seen, that is to limit property.	But, as we have just seen, that is to limit property.	true	1066.58	1069.18	21.321018
8534_216567_000027_000002	Here, sir, you shall make your own defence.	Here, sir, you shall make your own defence.	true	1069.18	1071.31	18.683477
8534_216567_000027_000003	More than once, in your learned lectures, I have heard you deplore the precipitancy of the Chambers, who, without previous study and without profound knowledge of the subject, voted almost unanimously to maintain the statutes and privileges of the Bank.	More than once, in your learned lectures, I have heard you deplore the precipitancy of the Chambers, who, without previous study and without profound knowledge of the subject, voted almost unanimously to maintain the statutes and privileges of the Bank.	true	1071.86	1083.46	19
8534_216567_000027_000004	Now these privileges, these statutes, this vote of the Chambers, mean simply this,--that the market price of specie, at five or six per cent., is not too high, and that the conditions of exchange, discount, and circulation, which generally double this interest, are none too severe.	Now these privileges, these statutes, this vote of the Chambers, mean simply this,--that the market price of specie, at five or six per cent., is not too high, and that the conditions of exchange, discount, and circulation, which generally double this interest, are none too severe.	true	1084.13	1098.46	18
8534_216567_000027_000005	So the government thinks.	So the government thinks.	true	1098.74	1099.98	27.149832
8534_216567_000027_000006	M. Blanqui--a professor of political economy, paid by the State--maintains the contrary, and pretends to demonstrate, by decisive arguments, the necessity of a reform.	M. Blanqui-a professor of political economy, paid by the State-maintains the contrary, and pretends to demonstrate, by decisive arguments, the necessity of a reform.	false	1099.98	1109.14	23
8534_216567_000027_000007	Who, then, best understands the interests of property,--the State, or M. Blanqui?	Who, then, best understands the interests of property,--the State, or m Blanqui?	false	1109.3	1114.12	22.678684
8534_216567_000028_000000	If specie could be borrowed at half the present rate, the revenues from all sorts of property would soon be reduced one-half also.	If specie could be borrowed at half the present rate, the revenues from all sorts of property would soon be reduced one half also.	false	1114.85	1121.62	22.50136
8534_216567_000028_000001	For example: when it costs less to build a house than to hire one, when it is cheaper to clear a field than to procure one already cleared, competition inevitably leads to a reduction of house and farm-rents, since the surest way to depreciate active capital is to increase its amount.	For example: when it costs less to build a house than to hire one, when it is cheaper to clear a field than to procure one already cleared, competition inevitably leads to a reduction of house and farm rents, since the surest way to depreciate active capital is to increase its amount.	false	1122.11	1135.78	22
8534_216567_000028_000002	But it is a law of political economy that an increase of production augments the mass of available capital, consequently tends to raise wages, and finally to annihilate interest.	But it is a law of political economy that an increase of production augments the mass of available capital, consequently tends to raise wages, and finally to annihilate interest.	true	1136.63	1145.74	20
8534_216567_000028_000003	Then, proprietors are interested in maintaining the statutes and privileges of the Bank; then, a reform in this matter would compromise the right of increase; then, the peers and deputies are better informed than Professor Blanqui.	Then, proprietors are interested in maintaining the statutes and privileges of the Bank; then, a reform in this matter would compromise the right of increase; then, the peers and deputies are better informed than Professor Blanqui.	true	1146.29	1157.74	19
8534_216567_000029_000000	But these same deputies,--so jealous of their privileges whenever the equalizing effects of a reform are within their intellectual horizon,--what did they do a few days before they passed the law concerning judicial sales?	But these same deputies,--so jealous of their privileges whenever the equalizing effects of a reform are within their intellectual horizon,--what did they do a few days before they passed the law concerning judicial sales?	true	1159.52	1169.8	19
8534_216567_000029_000001	They formed a conspiracy against property! Their law to regulate the labor of children in factories will, without doubt, prevent the manufacturer from compelling a child to labor more than so many hours a day; but it will not force him to increase the pay of the child, nor that of its father.	They formed a conspiracy against property! Their law to regulate the labor of children in factories will, without doubt, prevent the manufacturer from compelling a child to labor more than so many hours a day; but it will not force him to increase the pay of the child, nor that of its father.	true	1170.02	1184.32	23
8534_216567_000029_000002	To-day, in the interest of health, we diminish the subsistence of the poor; to-morrow it will be necessary to protect them by fixing their MINIMUM wages.	To day, in the interest of health, we diminish the subsistence of the poor; to morrow it will be necessary to protect them by fixing their MINIMUM wages.	false	1184.78	1192.15	20
8534_216567_000029_000003	But to fix their minimum wages is to compel the proprietor, is to force the master to accept his workman as an associate, which interferes with freedom and makes mutual insurance obligatory.	But to fix their minimum wages is to compel the proprietor, is to force the master to accept his workman as an associate, which interferes with freedom and makes mutual insurance obligatory.	true	1192.43	1202.2	21
8534_216567_000029_000004	Once entered upon this path, we never shall stop.	Once entered upon this path, we never shall stop.	false	1203.56	1206.33	22.279865
8534_216567_000029_000005	Little by little the government will become manufacturer, commission-merchant, and retail dealer.	Little by little the government will become manufacturer, commission merchant, and retail dealer.	true	1206.33	1210.78	20
8534_216567_000030_000000	It will be the sole proprietor.	It will be the sole proprietor.	true	1211.51	1213.33	21.223003
8534_216567_000030_000001	Why, at all epochs, have the ministers of State been so reluctant to meddle with the question of wages? Why have they always refused to interfere between the master and the workman?	Why, at all epochs, have the ministers of State been so reluctant to meddle with the question of wages? Why have they always refused to interfere between the master and the workman?	false	1213.67	1221.43	19
8534_216567_000030_000002	Because they knew the touchy and jealous nature of property, and, regarding it as the principle of all civilization, felt that to meddle with it would be to unsettle the very foundations of society. Sad condition of the proprietary regime,--one of inability to exercise charity without violating justice!	Because they knew the touchy and jealous nature of property, and, regarding it as the principle of all civilization, felt that to meddle with it would be to unsettle the very foundations of society. Sad condition of the proprietary regime,--one of inability to exercise charity without violating justice!	false	1221.83	1237.32	19
8534_216567_000030_000003	[39]	[thirty nine]	false	1237.32	1238.7	-20
8534_216567_000031_000000	And, sir, this fatal consequence which necessity forces upon the State is no mere imagination.	And, sir, this fatal consequence which necessity forces upon the State is no mere imagination.	true	1238.7	1243.87	16
8534_216567_000031_000001	Even now the legislative power is asked, no longer simply to regulate the government of factories, but to create factories itself.	Even now the legislative power is asked, no longer simply to regulate the government of factories, but to create factories itself.	true	1244.33	1251.4	21.99909
8534_216567_000031_000002	Listen to the millions of voices shouting on all hands for THE ORGANISATION OF LABOR, THE CREATION OF NATIONAL WORKSHOPS! The whole laboring class is agitated: it has its journals, organs, and representatives.	Listen to the millions of voices shouting on all hands for THE ORGANISATION OF LABOR, THE CREATION OF NATIONAL WORKSHOPS! The whole laboring class is agitated: it has its journals, organs, and representatives.	true	1251.77	1262.71	18.597466
8534_216567_000031_000003	To guarantee labor to the workingman, to balance production with sale, to harmonize industrial proprietors, it advocates to-day--as a sovereign remedy--one sole head, one national wardenship, one huge manufacturing company.	To guarantee labor to the workingman, to balance production with sale, to harmonize industrial proprietors, it advocates to day-as a sovereign remedy-one sole head, one national wardenship, one huge manufacturing company.	true	1263.26	1275.88	19
8534_216567_000031_000004	For, sir, all this is included in the idea of national workshops.	For, sir, all this is included in the idea of national workshops.	true	1276.58	1280.2	19
8534_216567_000031_000005	On this subject I wish to quote, as proof, the views of an illustrious economist, a brilliant mind, a progressive intellect, an enthusiastic soul, a true patriot, and yet an official defender of the right of property.	On this subject I wish to quote, as proof, the views of an illustrious economist, a brilliant mind, a progressive intellect, an enthusiastic soul, a true patriot, and yet an official defender of the right of property.	false	1280.54	1296.6	22.623425
8534_216567_000031_000006	[40]	[forty]	false	1296.6	1299.51	23.14224
8534_216567_000032_000000	The honorable professor of the Conservatory proposes then,--	The honorable professor of the Conservatory proposes then,--	true	1299.51	1302.49	19
8534_216567_000033_000000	1.	one.	true	1302.53	1303.15	27.732002
8534_216567_000033_000001	TO CHECK THE CONTINUAL EMIGRATION OF LABORERS FROM THE COUNTRY INTO THE CITIES.	TO CHECK THE CONTINUAL EMIGRATION OF LABORERS FROM THE COUNTRY INTO THE CITIES.	true	1303.4	1307.5	20
8534_216567_000034_000000	But, to keep the peasant in his village, his residence there must be made endurable: to be just to all, the proletaire of the country must be treated as well as the proletaire of the city.	But, to keep the peasant in his village, his residence there must be made endurable: to be just to all, the proletaire of the country must be treated as well as the proletaire of the city.	true	1307.84	1316.8	21
8534_216567_000034_000001	Reform is needed, then, on farms as well as in factories; and, when the government enters the workshop, the government must seize the plough!	Reform is needed, then, on farms as well as in factories; and, when the government enters the workshop, the government must seize the plough!	true	1317.05	1323.91	19
8534_216567_000034_000002	What becomes, during this progressive invasion, of independent cultivation, exclusive domain, property?	What becomes, during this progressive invasion, of independent cultivation, exclusive domain, property?	true	1324.31	1329.78	22.477783
8534_216567_000035_000000	2.	two.	false	1329.78	1331.82	16.675344
8534_216567_000035_000001	TO FIX FOR EACH PROFESSION A MODERATE SALARY, VARYING WITH TIME AND PLACE AND BASED UPON CERTAIN DATA.	TO FIX FOR EACH PROFESSION A MODERATE SALARY, VARYING WITH TIME AND PLACE AND BASED UPON CERTAIN DATA.	true	1331.82	1337.08	18
8534_216567_000036_000000	The object of this measure would be to secure to laborers their subsistence, and to proprietors their profits, while obliging the latter to sacrifice from motives of prudence, if for no other reason, a portion of their income.	The object of this measure would be to secure to laborers their subsistence, and to proprietors their profits, while obliging the latter to sacrifice from motives of prudence, if for no other reason, a portion of their income.	false	1338.23	1349.47	20
8534_216567_000036_000001	Now, I say, that this portion, in the long run, would swell until at last there would be an equality of enjoyment between the proletaire and the proprietor.	Now, I say, that this portion, in the long run, would swell until at last there would be an equality of enjoyment between the proletaire and the proprietor.	true	1349.84	1356.91	15
8534_216567_000036_000002	For, as we have had occasion to remark several times already, the interest of the capitalist--in other words the increase of the idler--tends, on account of the power of labor, the multiplication of products and exchanges, to continually diminish, and, by constant reduction, to disappear.	For, as we have had occasion to remark several times already, the interest of the capitalist-in other words the increase of the idler-tends, on account of the power of labor, the multiplication of products and exchanges, to continually diminish, and, by constant reduction, to disappear.	true	1357.37	1372	19
8534_216567_000036_000003	So that, in the society proposed by M. Blanqui, equality would not be realized at first, but would exist potentially; since property, though outwardly seeming to be industrial feudality, being no longer a principle of exclusion and encroachment, but only a privilege of division, would not be slow, thanks to the intellectual and political emancipation of the proletariat, in passing into absolute equality,--as absolute at least as any thing can be on this earth.	So that, in the society proposed by m Blanqui, equality would not be realized at first, but would exist potentially; since property, though outwardly seeming to be industrial feudality, being no longer a principle of exclusion and encroachment, but only a privilege of division, would not be slow, thanks to the intellectual and political emancipation of the proletariat, in passing into absolute equality,--as absolute at least as any thing can be on this earth.	false	1372.61	1397.35	20
8534_216567_000037_000000	I omit, for the sake of brevity, the numerous considerations which the professor adduces in support of what he calls, too modestly in my opinion, his Utopia.	I omit, for the sake of brevity, the numerous considerations which the professor adduces in support of what he calls, too modestly in my opinion, his Utopia.	true	1397.9	1406.26	20
8534_216567_000037_000001	They would serve only to prove beyond all question that, of all the charlatans of radicalism who fatigue the public ear, no one approaches, for depth and clearness of thought, the audacious M. Blanqui.	They would serve only to prove beyond all question that, of all the charlatans of radicalism who fatigue the public ear, no one approaches, for depth and clearness of thought, the audacious m Blanqui.	false	1406.66	1416.82	20
8534_216567_000038_000000	3.	three.	true	1418.57	1419.19	23.188784
8534_216567_000038_000001	NATIONAL WORKSHOPS SHOULD BE IN OPERATION ONLY DURING PERIODS OF STAGNATION IN ORDINARY INDUSTRIES; AT SUCH TIMES THEY SHOULD BE OPENED AS VAST OUTLETS TO THE FLOOD OF THE LABORING POPULATION.	NATIONAL WORKSHOPS SHOULD BE IN OPERATION ONLY DURING PERIODS OF STAGNATION IN ORDINARY INDUSTRIES; AT SUCH TIMES THEY SHOULD BE OPENED AS VAST OUTLETS TO THE FLOOD OF THE LABORING POPULATION.	true	1419.38	1429.66	18
8534_216567_000039_000000	But, sir, the stoppage of private industry is the result of over-production, and insufficient markets.	But, sir, the stoppage of private industry is the result of over production, and insufficient markets.	true	1430.63	1436.14	25
8534_216567_000039_000001	If, then, production continues in the national workshops, how will the crisis be terminated? Undoubtedly, by the general depreciation of merchandise, and, in the last analysis, by the conversion of private workshops into national workshops.	If, then, production continues in the national workshops, how will the crisis be terminated? Undoubtedly, by the general depreciation of merchandise, and, in the last analysis, by the conversion of private workshops into national workshops.	true	1436.42	1448.29	22
8534_216567_000039_000002	On the other hand, the government will need capital with which to pay its workmen; now, how will this capital be obtained?	On the other hand, the government will need capital with which to pay its workmen; now, how will this capital be obtained?	true	1448.9	1454.68	22.496586
8534_216567_000039_000003	By taxation.	By taxation.	true	1455.08	1456.24	29.05296
8534_216567_000039_000004	And upon what will the tax be levied?	And upon what will the tax be levied?	true	1456.31	1458.49	26.765524
8534_216567_000039_000005	Upon property.	Upon property.	true	1458.71	1459.87	30.403975
8534_216567_000039_000006	Then you will have proprietary industry sustaining against itself, and at its own expense, another industry with which it cannot compete.	Then you will have proprietary industry sustaining against itself, and at its own expense, another industry with which it cannot compete.	false	1460.12	1467.22	22.898952
8534_216567_000039_000007	What, think you, will become, in this fatal circle, of the possibility of profit,--in a word, of property?	What, think you, will become, in this fatal circle, of the possibility of profit,--in a word, of property?	true	1467.62	1473.43	26.16066
8534_216567_000040_000000	Thank Heaven! equality of conditions is taught in the public schools; let us fear revolutions no longer.	Thank Heaven! equality of conditions is taught in the public schools; let us fear revolutions no longer.	false	1474.97	1480.75	22.305569
8534_216567_000040_000001	The most implacable enemy of property could not, if he wished to destroy it, go to work in a wiser and more effective way.	The most implacable enemy of property could not, if he wished to destroy it, go to work in a wiser and more effective way.	true	1481.03	1486.9	18
8534_216567_000040_000002	Courage, then, ministers, deputies, economists!	Courage, then, ministers, deputies, economists!	false	1487.39	1490.1	20.930256
8534_216567_000040_000003	make haste to seize this glorious initiative; let the watchwords of equality, uttered from the heights of science and power, be repeated in the midst of the people; let them thrill the breasts of the proletaires, and carry dismay into the ranks of the last representatives of privilege!	make haste to seize this glorious initiative; let the watchwords of equality, uttered from the heights of science and power, be repeated in the midst of the people; let them thrill the breasts of the proletaires, and carry dismay into the ranks of the last representatives of privilege!	true	1490.1	1503.85	22
8534_216567_000041_000000	The tendency of society in favor of compelling proprietors to support national workshops and public manufactories is so strong that for several years, under the name of ELECTORAL REFORM, it has been exclusively the question of the day.	The tendency of society in favor of compelling proprietors to support national workshops and public manufactories is so strong that for several years, under the name of ELECTORAL REFORM, it has been exclusively the question of the day.	true	1504.91	1516.99	20
8534_216567_000041_000001	What is, after all, this electoral reform which the people grasp at, as if it were a bait, and which so many ambitious persons either call for or denounce?	What is, after all, this electoral reform which the people grasp at, as if it were a bait, and which so many ambitious persons either call for or denounce?	true	1517.48	1525.21	22
8534_216567_000041_000002	It is the acknowledgment of the right of the masses to a voice in the assessment of taxes, and the making of the laws; which laws, aiming always at the protection of material interests, affect, in a greater or less degree, all questions of taxation or wages.	It is the acknowledgment of the right of the masses to a voice in the assessment of taxes, and the making of the laws; which laws, aiming always at the protection of material interests, affect, in a greater or less degree, all questions of taxation or wages.	false	1525.76	1539.49	21.688898
8534_216567_000041_000003	Now the people, instructed long since by their journals, their dramas, [41] and their songs, [42] know to-day that taxation, to be equitably divided, must be graduated, and must be borne mainly by the rich,--that it must be levied upon luxuries, &c.	Now the people, instructed long since by their journals, their dramas, [forty one] and their songs, [forty two] know to day that taxation, to be equitably divided, must be graduated, and must be borne mainly by the rich,--that it must be levied upon luxuries, and c.	false	1540.04	1567.95	22.963942
8534_216567_000041_000004	And be sure that the people, once in the majority in the Chamber, will not fail to apply these lessons.	And be sure that the people, once in the majority in the Chamber, will not fail to apply these lessons.	true	1567.95	1572.43	18
8534_216567_000041_000005	Already we have a minister of public works.	Already we have a minister of public works.	true	1572.89	1574.98	22.016132
8534_216567_000041_000006	National workshops will follow; and soon, as a consequence, the excess of the proprietor's revenue over the workingman's wages will be swallowed up in the coffers of the laborers of the State.	National workshops will follow; and soon, as a consequence, the excess of the proprietor's revenue over the workingman's wages will be swallowed up in the coffers of the laborers of the State.	true	1575.2	1583.92	20
8534_216567_000041_000007	Do you not see that in this way property is gradually reduced, as nobility was formerly, to a nominal title, to a distinction purely honorary in its nature?	Do you not see that in this way property is gradually reduced, as nobility was formerly, to a nominal title, to a distinction purely honorary in its nature?	false	1585.13	1593.7	21
8534_216567_000042_000000	Either the electoral reform will fail to accomplish that which is hoped from it, and will disappoint its innumerable partisans, or else it will inevitably result in a transformation of the absolute right under which we live into a right of possession; that is, that while, at present, property makes the elector, after this reform is accomplished, the citizen, the producer will be the possessor.	Either the electoral reform will fail to accomplish that which is hoped from it, and will disappoint its innumerable partisans, or else it will inevitably result in a transformation of the absolute right under which we live into a right of possession; that is, that while, at present, property makes the elector, after this reform is accomplished, the citizen, the producer will be the possessor.	false	1594.97	1622.07	24.694056
8534_216567_000042_000001	[43] Consequently, the radicals are right in saying that the electoral reform is in their eyes only a means; but, when they are silent as to the end, they show either profound ignorance, or useless dissimulation.	[forty three] Consequently, the radicals are right in saying that the electoral reform is in their eyes only a means; but, when they are silent as to the end, they show either profound ignorance, or useless dissimulation.	false	1622.07	1647.13	23.387024
8534_216567_000042_000002	There should be no secrets or reservations from peoples and powers.	There should be no secrets or reservations from peoples and powers.	true	1647.8	1651.24	22
8534_216567_000042_000003	He disgraces himself and fails in respect for his fellows, who, in publishing his opinions, employs evasion and cunning.	He disgraces himself and fails in respect for his fellows, who, in publishing his opinions, employs evasion and cunning.	true	1651.37	1657.66	21.650618
8534_216567_000042_000004	Before the people act, they need to know the whole truth.	Before the people act, they need to know the whole truth.	true	1658.21	1660.93	28.02649
8534_216567_000042_000005	Unhappy he who shall dare to trifle with them!	Unhappy he who shall dare to trifle with them!	true	1661.24	1663.78	21.975977
8534_216567_000042_000006	For the people are credulous, but they are strong.	For the people are credulous, but they are strong.	true	1663.85	1666.33	26.094078
8534_216567_000042_000007	Let us tell them, then, that this reform which is proposed is only a means,--a means often tried, and hitherto without effect,--but that the logical object of the electoral reform is equality of fortunes; and that this equality itself is only a new means having in view the superior and definitive object of the salvation of society, the restoration of morals and religion, and the revival of poetry and art.	Let us tell them, then, that this reform which is proposed is only a means,--a means often tried, and hitherto without effect,--but that the logical object of the electoral reform is equality of fortunes; and that this equality itself is only a new means having in view the superior and definitive object of the salvation of society, the restoration of morals and religion, and the revival of poetry and art.	true	1666.76	1687.51	19
8534_216567_000043_000000	This assertion of M. Rossi is not borne out by history.	This assertion of m Rossi is not borne out by history.	false	1688.15	1691.32	21.378601
8534_216567_000043_000001	Property is the cause of the electoral right, not as a PRESUMPTION OF CAPACITY,--an idea which never prevailed until lately, and which is extremely absurd,--but as a GUARANTEE OF DEVOTION TO THE ESTABLISHED ORDER.	Property is the cause of the electoral right, not as a PRESUMPTION OF CAPACITY,--an idea which never prevailed until lately, and which is extremely absurd,--but as a GUARANTEE OF DEVOTION TO THE ESTABLISHED ORDER.	false	1691.6	1702.09	22
8534_216567_000043_000002	The electoral body is a league of those interested in the maintenance of property, against those not interested.	The electoral body is a league of those interested in the maintenance of property, against those not interested.	true	1702.55	1708.15	19.963856
8534_216567_000043_000003	There are thousands of documents, even official documents, to prove this, if necessary.	There are thousands of documents, even official documents, to prove this, if necessary.	true	1708.34	1712.5	23.63347
8534_216567_000043_000004	For the rest, the present system is only a continuation of the municipal system, which, in the middle ages, sprang up in connection with feudalism,--an oppressive, mischief-making system, full of petty passions and base intrigues.	For the rest, the present system is only a continuation of the municipal system, which, in the middle ages, sprang up in connection with feudalism,--an oppressive, mischief making system, full of petty passions and base intrigues.	true	1712.99	1725.09	22.774488
8534_216567_000044_000000	It would be an abuse of the reader's patience to insist further upon the tendency of our time towards equality.	It would be an abuse of the reader's patience to insist further upon the tendency of our time towards equality.	false	1725.09	1728.87	23.435123
8534_216567_000044_000001	There are, moreover, so many people who denounce the present age, that nothing is gained by exposing to their view the popular, scientific, and representative tendencies of the nation.	There are, moreover, so many people who denounce the present age, that nothing is gained by exposing to their view the popular, scientific, and representative tendencies of the nation.	false	1728.87	1736.85	25.60816
