954_130627_000000_000000	CHAPTER VI.	CHAPTER six.	true	25.92	27.01	16.794687
954_130627_000042_000003	Then we sit and sob, and long for the gas-lit streets, and the sound of human voices, and the answering throb of human life.	Then we sit and sob, and long for the gas lit streets, and the sound of human voices, and the answering throb of human life.	false	991.61	999.34	14.254866
954_130627_000042_000004	We feel so helpless and so little in the great stillness, when the dark trees rustle in the night-wind.	We feel so helpless and so little in the great stillness, when the dark trees rustle in the night wind.	false	999.38	1004.83	19
954_130627_000042_000005	There are so many ghosts about, and their silent sighs make us feel so sad.	There are so many ghosts about, and their silent sighs make us feel so sad.	true	1005.05	1009.6	18.30715
954_130627_000042_000006	Let us gather together in the great cities, and light huge bonfires of a million gas-jets, and shout and sing together, and feel brave.	Let us gather together in the great cities, and light huge bonfires of a million gas jets, and shout and sing together, and feel brave.	true	1009.94	1018.08	19.850746
954_130627_000043_000000	[Picture: People at Hampton Maze] Harris asked me if I'd ever been in the maze at Hampton Court.	[Picture: People at Hampton Maze] Harris asked me if I'd ever been in the maze at Hampton Court.	false	1018.08	1022.38	17.796852
954_130627_000043_000001	He said he went in once to show somebody else the way.	He said he went in once to show somebody else the way.	true	1022.78	1025.92	18.052214
954_130627_000043_000002	He had studied it up in a map, and it was so simple that it seemed foolish--hardly worth the twopence charged for admission.	He had studied it up in a map, and it was so simple that it seemed foolish-hardly worth the twopence charged for admission.	false	1026.2	1032.25	20.603743
954_130627_000043_000003	Harris said he thought that map must have been got up as a practical joke, because it wasn't a bit like the real thing, and only misleading.	Harris said he thought that map must have been got up as a practical joke, because it wasn't a bit like the real thing, and only misleading.	false	1032.77	1040.65	21.942125
954_130627_000043_000004	It was a country cousin that Harris took in.	It was a country cousin that Harris took in.	true	1040.84	1042.72	21.664223
954_130627_000043_000005	He said:	He said:	true	1042.72	1043.44	30.32963
954_130627_000044_000000	"We'll just go in here, so that you can say you've been, but it's very simple.	"We'll just go in here, so that you can say you've been, but it's very simple.	false	1043.84	1048.23	20.067455
954_130627_000044_000001	It's absurd to call it a maze.	It's absurd to call it a maze.	false	1048.23	1050.13	20
954_130627_000044_000002	You keep on taking the first turning to the right.	You keep on taking the first turning to the right.	false	1050.32	1053.34	16.175104
954_130627_000044_000003	We'll just walk round for ten minutes, and then go and get some lunch."	We'll just walk round for ten minutes, and then go and get some lunch."	false	1053.5	1056.49	22.394543
954_130627_000045_000000	They met some people soon after they had got inside, who said they had been there for three-quarters of an hour, and had had about enough of it. Harris told them they could follow him, if they liked; he was just going in, and then should turn round and come out again.	They met some people soon after they had got inside, who said they had been there for three quarters of an hour, and had had about enough of it. Harris told them they could follow him, if they liked; he was just going in, and then should turn round and come out again.	false	1057.25	1070.29	18.528322
954_130627_000045_000001	They said it was very kind of him, and fell behind, and followed.	They said it was very kind of him, and fell behind, and followed.	true	1070.51	1073.68	21.426222
954_130627_000046_000000	They picked up various other people who wanted to get it over, as they went along, until they had absorbed all the persons in the maze.	They picked up various other people who wanted to get it over, as they went along, until they had absorbed all the persons in the maze.	true	1073.84	1080.73	20.867851
954_130627_000046_000001	People who had given up all hopes of ever getting either in or out, or of ever seeing their home and friends again, plucked up courage at the sight of Harris and his party, and joined the procession, blessing him.	People who had given up all hopes of ever getting either in or out, or of ever seeing their home and friends again, plucked up courage at the sight of Harris and his party, and joined the procession, blessing him.	false	1080.83	1091.95	19.100086
954_130627_000046_000002	Harris said he should judge there must have been twenty people, following him, in all; and one woman with a baby, who had been there all the morning, insisted on taking his arm, for fear of losing him.	Harris said he should judge there must have been twenty people, following him, in all; and one woman with a baby, who had been there all the morning, insisted on taking his arm, for fear of losing him.	false	1091.95	1101.58	19.434343
954_130627_000047_000000	Harris kept on turning to the right, but it seemed a long way, and his cousin said he supposed it was a very big maze.	Harris kept on turning to the right, but it seemed a long way, and his cousin said he supposed it was a very big maze.	false	1101.74	1108.99	17.14339
954_130627_000048_000000	"Oh, one of the largest in Europe," said Harris.	"Oh, one of the largest in Europe," said Harris.	true	1109.27	1111.81	18.41323
954_130627_000049_000000	"Yes, it must be," replied the cousin, "because we've walked a good two miles already."	"Yes, it must be," replied the cousin, "because we've walked a good two miles already."	true	1111.85	1116.16	19.975391
954_130627_000050_000000	Harris began to think it rather strange himself, but he held on until, at last, they passed the half of a penny bun on the ground that Harris's cousin swore he had noticed there seven minutes ago.	Harris began to think it rather strange himself, but he held on until, at last, they passed the half of a penny bun on the ground that Harris's cousin swore he had noticed there seven minutes ago.	true	1116.98	1127.68	18.665287
954_130627_000050_000001	Harris said: "Oh, impossible!" but the woman with the baby said, "Not at all," as she herself had taken it from the child, and thrown it down there, just before she met Harris.	Harris said: "Oh, impossible!" but the woman with the baby said, "Not at all," as she herself had taken it from the child, and thrown it down there, just before she met Harris.	true	1127.81	1137.04	19.037092
954_130627_000050_000002	She also added that she wished she never had met Harris, and expressed an opinion that he was an impostor.	She also added that she wished she never had met Harris, and expressed an opinion that he was an impostor.	true	1137.2	1142.95	18.700552
954_130627_000050_000003	That made Harris mad, and he produced his map, and explained his theory.	That made Harris mad, and he produced his map, and explained his theory.	true	1143.11	1147.54	21.610508
954_130627_000051_000000	"The map may be all right enough," said one of the party, "if you know whereabouts in it we are now."	"The map may be all right enough," said one of the party, "if you know whereabouts in it we are now."	true	1148.3	1153.66	22.640635
954_130627_000052_000000	Harris didn't know, and suggested that the best thing to do would be to go back to the entrance, and begin again.	Harris didn't know, and suggested that the best thing to do would be to go back to the entrance, and begin again.	true	1154.03	1159.99	21.408579
954_130627_000052_000001	For the beginning again part of it there was not much enthusiasm; but with regard to the advisability of going back to the entrance there was complete unanimity, and so they turned, and trailed after Harris again, in the opposite direction.	For the beginning again part of it there was not much enthusiasm; but with regard to the advisability of going back to the entrance there was complete unanimity, and so they turned, and trailed after Harris again, in the opposite direction.	false	1160.33	1174.06	22.179707
954_130627_000052_000002	About ten minutes more passed, and then they found themselves in the centre.	About ten minutes more passed, and then they found themselves in the centre.	true	1174.31	1179.04	19.29862
954_130627_000053_000000	Harris thought at first of pretending that that was what he had been aiming at; but the crowd looked dangerous, and he decided to treat it as an accident.	Harris thought at first of pretending that that was what he had been aiming at; but the crowd looked dangerous, and he decided to treat it as an accident.	true	1179.68	1186.96	18.236835
954_130627_000054_000000	Anyhow, they had got something to start from then.	Anyhow, they had got something to start from then.	true	1187	1190.32	20.345037
954_130627_000054_000001	They did know where they were, and the map was once more consulted, and the thing seemed simpler than ever, and off they started for the third time.	They did know where they were, and the map was once more consulted, and the thing seemed simpler than ever, and off they started for the third time.	true	1190.54	1197.82	17.971117
954_130627_000055_000000	And three minutes later they were back in the centre again.	And three minutes later they were back in the centre again.	true	1197.92	1200.76	22.107464
954_130627_000056_000000	After that, they simply couldn't get anywhere else.	After that, they simply couldn't get anywhere else.	true	1201.1	1203.61	19.432745
954_130627_000056_000001	Whatever way they turned brought them back to the middle.	Whatever way they turned brought them back to the middle.	true	1203.83	1206.24	22.108368
954_130627_000056_000002	It became so regular at length, that some of the people stopped there, and waited for the others to take a walk round, and come back to them.	It became so regular at length, that some of the people stopped there, and waited for the others to take a walk round, and come back to them.	true	1206.24	1212.49	20
954_130627_000056_000003	Harris drew out his map again, after a while, but the sight of it only infuriated the mob, and they told him to go and curl his hair with it.	Harris drew out his map again, after a while, but the sight of it only infuriated the mob, and they told him to go and curl his hair with it.	true	1212.56	1220.02	20.557762
954_130627_000056_000004	Harris said that he couldn't help feeling that, to a certain extent, he had become unpopular.	Harris said that he couldn't help feeling that, to a certain extent, he had become unpopular.	false	1220.15	1225.86	19.510872
954_130627_000057_000000	They all got crazy at last, and sang out for the keeper, and the man came and climbed up the ladder outside, and shouted out directions to them. But all their heads were, by this time, in such a confused whirl that they were incapable of grasping anything, and so the man told them to stop where they were, and he would come to them.	They all got crazy at last, and sang out for the keeper, and the man came and climbed up the ladder outside, and shouted out directions to them. But all their heads were, by this time, in such a confused whirl that they were incapable of grasping anything, and so the man told them to stop where they were, and he would come to them.	false	1225.86	1242.49	18.115679
954_130627_000057_000001	They huddled together, and waited; and he climbed down, and came in.	They huddled together, and waited; and he climbed down, and came in.	true	1242.59	1246.6	17.768787
954_130627_000058_000000	He was a young keeper, as luck would have it, and new to the business; and when he got in, he couldn't find them, and he wandered about, trying to get to them, and then _he_ got lost.	He was a young keeper, as luck would have it, and new to the business; and when he got in, he couldn't find them, and he wandered about, trying to get to them, and then underscore he underscore got lost.	false	1247.42	1257.22	19.292309
954_130627_000058_000001	They caught sight of him, every now and then, rushing about the other side of the hedge, and he would see them, and rush to get to them, and they would wait there for about five minutes, and then he would reappear again in exactly the same spot, and ask them where they had been.	They caught sight of him, every now and then, rushing about the other side of the hedge, and he would see them, and rush to get to them, and they would wait there for about five minutes, and then he would reappear again in exactly the same spot, and ask them where they had been.	false	1257.59	1286.07	17.150904
