3185_163505_000000_000000	THE BLUE BELT	THE BLUE BELT	true	25.38	26.47	21.47324
3185_163505_000070_000000	'Yes, she might'; and with that he pulled open his waistcoat and shirt to show it her.	'Yes, she might'; and with that he pulled open his waistcoat and shirt to show it her.	false	935.15	940.36	26.74426
3185_163505_000071_000000	Then she seized it with both hands, tore it off, and twisted it round her fist.	Then she seized it with both hands, tore it off, and twisted it round her fist.	true	940.61	945.66	23.041286
3185_163505_000072_000000	'Now', she cried, 'what shall I do with such a wretch as you?	'Now', she cried, 'what shall I do with such a wretch as you?	true	945.66	950.13	23.30739
3185_163505_000072_000001	I'll just give you one blow, and dash your brains out!'	I'll just give you one blow, and dash your brains out!'	true	950.13	953.37	22.345284
3185_163505_000073_000000	'Far too good a death for such a scamp', said the Troll.	'Far too good a death for such a scamp', said the Troll.	false	953.37	956.805	22.995176
3185_163505_000073_000001	'No! let's first burn out his eyes, and then turn him adrift in a little boat.'	'No! let's first burn out his eyes, and then turn him adrift in a little boat.'	true	956.805	961.9	20.686073
3185_163505_000074_000000	So they burned out his eyes and turned him adrift, in spite of his prayers and tears; but, as the boat drifted, the lions swam after, and at last they laid hold of it and dragged it ashore on an island, and placed the lad under a fir tree.	So they burned out his eyes and turned him adrift, in spite of his prayers and tears; but, as the boat drifted, the lions swam after, and at last they laid hold of it and dragged it ashore on an island, and placed the lad under a fir tree.	true	962.36	976.51	22.036001
3185_163505_000074_000001	They caught game for him, and they plucked the birds and made him a bed of down; but he was forced to eat his meat raw, and he was blind.	They caught game for him, and they plucked the birds and made him a bed of down; but he was forced to eat his meat raw, and he was blind.	true	977.18	985.27	20.271439
3185_163505_000074_000002	At last, one day the biggest lion was chasing a hare which was blind, for it ran straight over stock and stone, and the end was, it ran right up against a fir-stump and tumbled head over heels across the field right into a spring; but lo! when it came out of the spring it saw its way quite plain, and so saved its life.	At last, one day the biggest lion was chasing a hare which was blind, for it ran straight over stock and stone, and the end was, it ran right up against a fir stump and tumbled head over heels across the field right into a spring; but lo! when it came out of the spring it saw its way quite plain, and so saved its life.	true	985.34	1005.13	22.960125
3185_163505_000075_000000	'So, so!' thought the lion, and went and dragged the lad to the spring, and dipped him over head and ears in it.	'So, so!' thought the lion, and went and dragged the lad to the spring, and dipped him over head and ears in it.	false	1005.44	1012.24	21.267597
3185_163505_000075_000001	So, when he had got his sight again, he went down to the shore and made signs to the lions that they should all lie close together like a raft; then he stood upon their backs while they swam with him to the mainland.	So, when he had got his sight again, he went down to the shore and made signs to the lions that they should all lie close together like a raft; then he stood upon their backs while they swam with him to the mainland.	true	1012.43	1023.52	21.612917
3185_163505_000075_000002	When he had reached the shore he went up into a birchen copse, and made the lions lie quiet.	When he had reached the shore he went up into a birchen copse, and made the lions lie quiet.	true	1023.52	1028.92	22.190197
3185_163505_000075_000003	Then he stole up to the castle, like a thief, to see if he couldn't lay hands on his belt; and when he got to the door, he peeped through the keyhole, and there he saw his belt hanging up over a door in the kitchen.	Then he stole up to the castle, like a thief, to see if he couldn't lay hands on his belt; and when he got to the door, he peeped through the keyhole, and there he saw his belt hanging up over a door in the kitchen.	true	1029.11	1040.47	24.119785
3185_163505_000075_000004	So he crept softly in across the floor, for there was no one there; but as soon as he had got hold of the belt, he began to kick and stamp about as though he were mad. Just then his mother came rushing out.	So he crept softly in across the floor, for there was no one there; but as soon as he had got hold of the belt, he began to kick and stamp about as though he were mad. Just then his mother came rushing out.	false	1040.63	1052.77	23.502834
3185_163505_000076_000000	'Dear heart, my darling little boy! do give me the belt again', she said.	'Dear heart, my darling little boy! do give me the belt again', she said.	false	1052.9	1057.36	24.50056
3185_163505_000077_000000	'Thank you kindly', said he.	'Thank you kindly', said he.	true	1057.55	1059.37	30
3185_163505_000077_000001	'Now you shall have the doom you passed on me', and he fulfilled it on the spot.	'Now you shall have the doom you passed on me', and he fulfilled it on the spot.	true	1059.53	1064.23	21.580101
3185_163505_000077_000002	When the old Troll heard that, he came in and begged and prayed so prettily that he might not be smitten to death.	When the old Troll heard that, he came in and begged and prayed so prettily that he might not be smitten to death.	false	1064.54	1070.71	23.076853
3185_163505_000078_000000	'Well, you may live', said the lad, 'but you shall undergo the same punishment you gave me'; and so he burned out the Troll's eyes, and turned him adrift on the sea in a little boat, but he had no lions to follow him.	'Well, you may live', said the lad, 'but you shall undergo the same punishment you gave me'; and so he burned out the Troll's eyes, and turned him adrift on the sea in a little boat, but he had no lions to follow him.	true	1071.02	1084.81	20.19581
3185_163505_000079_000000	Now the lad was all alone, and he went about longing and longing for the Princess; at last he could bear it no longer; he must set out to seek her, his heart was so bent on having her.	Now the lad was all alone, and he went about longing and longing for the Princess; at last he could bear it no longer; he must set out to seek her, his heart was so bent on having her.	true	1085.42	1095.85	19.778955
3185_163505_000079_000001	So he loaded four ships and set sail for Arabia.	So he loaded four ships and set sail for Arabia.	true	1096.07	1099.24	21.547583
3185_163505_000079_000002	For some time they had fair wind and fine weather, but after that they lay wind-bound under a rocky island.	For some time they had fair wind and fine weather, but after that they lay wind bound under a rocky island.	true	1099.55	1105.96	21.031984
3185_163505_000079_000003	So the sailors went ashore and strolled about to spend the time, and there they found a huge egg, almost as big as a little house.	So the sailors went ashore and strolled about to spend the time, and there they found a huge egg, almost as big as a little house.	true	1106.21	1114.6	21.817747
3185_163505_000079_000004	So they began to knock it about with large stones, but, after all, they couldn't crack the shell.	So they began to knock it about with large stones, but, after all, they couldn't crack the shell.	true	1114.64	1119.79	26.116783
3185_163505_000079_000005	Then the lad came up with his sword to see what all the noise was about, and when he saw the egg, he thought it a trifle to crack it; so he gave it one blow and the egg split, and out came a chicken as big as an elephant.	Then the lad came up with his sword to see what all the noise was about, and when he saw the egg, he thought it a trifle to crack it; so he gave it one blow and the egg split, and out came a chicken as big as an elephant.	true	1120.01	1133.35	20.48437
3185_163505_000080_000000	'Now we have done wrong', said the lad; 'this can cost us all our lives'; and then he asked his sailors if they were men enough to sail to Arabia in four-and-twenty hours if they got a fine breeze.	'Now we have done wrong', said the lad; 'this can cost us all our lives'; and then he asked his sailors if they were men enough to sail to Arabia in four and twenty hours if they got a fine breeze.	false	1133.75	1145.62	20.48692
3185_163505_000080_000001	Yes! they were good to do that, they said, so they set sail with a fine breeze, and got to Arabia in three-and-twenty hours.	Yes! they were good to do that, they said, so they set sail with a fine breeze, and got to Arabia in three and twenty hours.	true	1145.72	1153.9	23.243519
3185_163505_000080_000002	As soon as they landed, the lad ordered all the sailors to go and bury themselves up to the eyes in a sandhill, so that they could barely see the ships. The lad and the captains climbed a high crag and sate down under a fir.	As soon as they landed, the lad ordered all the sailors to go and bury themselves up to the eyes in a sandhill, so that they could barely see the ships. The lad and the captains climbed a high crag and sate down under a fir.	true	1153.9	1165.57	20
3185_163505_000081_000000	In a little while came a great bird flying with an island in its claws, and let it fall down on the fleet, and sunk every ship.	In a little while came a great bird flying with an island in its claws, and let it fall down on the fleet, and sunk every ship.	true	1165.82	1172.98	23.774626
3185_163505_000081_000001	After it had done that, it flew up to the sandhill and flapped its wings, so that the wind nearly took off the heads of the sailors, and it flew past the fir with such force that it turned the lad right about, but he was ready with his sword, and gave the bird one blow and brought it down dead.	After it had done that, it flew up to the sandhill and flapped its wings, so that the wind nearly took off the heads of the sailors, and it flew past the fir with such force that it turned the lad right about, but he was ready with his sword, and gave the bird one blow and brought it down dead.	true	1172.98	1188.49	23.730661
3185_163505_000082_000000	After that he went to the town, where every one was glad because the king had got his daughter back; but now the king had hidden her away somewhere himself, and promised her hand as a reward to any one who could find her, and this though she was betrothed before.	After that he went to the town, where every one was glad because the king had got his daughter back; but now the king had hidden her away somewhere himself, and promised her hand as a reward to any one who could find her, and this though she was betrothed before.	true	1189.25	1202.71	21.757164
3185_163505_000082_000001	Now as the lad went along he met a man who had white bear-skins for sale, so he bought one of the hides and put it on; and one of the captains was to take an iron chain and lead him about, and so he went into the town and began to play pranks.	Now as the lad went along he met a man who had white bear skins for sale, so he bought one of the hides and put it on; and one of the captains was to take an iron chain and lead him about, and so he went into the town and began to play pranks.	true	1203.14	1216.45	19.453386
3185_163505_000082_000002	At last the news came to the king's ears, that there never had been such fun in the town before, for here was a white bear that danced and cut capers just as it was bid.	At last the news came to the king's ears, that there never had been such fun in the town before, for here was a white bear that danced and cut capers just as it was bid.	true	1216.55	1225.99	21.55253
3185_163505_000082_000003	So a messenger came to say the bear must come to the castle at once, for the king wanted to see its tricks.	So a messenger came to say the bear must come to the castle at once, for the king wanted to see its tricks.	true	1226.24	1231.75	22.668169
3185_163505_000082_000004	So when it got to the castle every one was afraid, for such a beast they had never seen before; but the captain said there was no danger unless they laughed at it.	So when it got to the castle every one was afraid, for such a beast they had never seen before; but the captain said there was no danger unless they laughed at it.	true	1232.21	1240.96	21.98588
3185_163505_000082_000005	They mustn't do that, else it would tear them to pieces.	They mustn't do that, else it would tear them to pieces.	true	1241.33	1244.56	24.105623
3185_163505_000082_000006	When the king heard that, he warned all the court not to laugh.	When the king heard that, he warned all the court not to laugh.	true	1244.75	1248.73	23.770996
3185_163505_000082_000007	But while the fun was going on, in came one of the king's maids, and began to laugh and make game of the bear, and the bear flew at her and tore her, so that there was scarce a rag of her left.	But while the fun was going on, in came one of the king's maids, and began to laugh and make game of the bear, and the bear flew at her and tore her, so that there was scarce a rag of her left.	true	1248.95	1259.52	20.378191
3185_163505_000082_000008	Then all the court began to bewail, and the captain most of all.	Then all the court began to bewail, and the captain most of all.	true	1259.52	1263.36	27.610136
3185_163505_000083_000000	'Stuff and nonsense', said the king; 'she's only a maid, besides it's more my affair than yours.'	'Stuff and nonsense', said the king; 'she's only a maid, besides it's more my affair than yours.'	false	1263.36	1271.53	20.780275
3185_163505_000084_000000	When the show was over, it was late at night.	When the show was over, it was late at night.	true	1272.02	1274.19	19.037453
3185_163505_000084_000001	'It's no good your going away, when it's so late', said the king.	'It's no good your going away, when it's so late', said the king.	true	1274.19	1278.32	21.514376
3185_163505_000084_000002	'The bear had best sleep here.'	'The bear had best sleep here.'	true	1278.32	1280.74	24.276869
3185_163505_000085_000000	'Perhaps it might sleep in the ingle by the kitchen fire', said the captain.	'Perhaps it might sleep in the ingle by the kitchen fire', said the captain.	true	1281.56	1286.1	23.359913
3185_163505_000086_000000	'Nay', said the king, 'it shall sleep up here, and it shall have pillows and cushions to sleep on.' So a whole heap of pillows and cushions was brought, and the captain had a bed in a side-room.	'Nay', said the king, 'it shall sleep up here, and it shall have pillows and cushions to sleep on.' So a whole heap of pillows and cushions was brought, and the captain had a bed in a side room.	false	1286.1	1299.22	25.068695
3185_163505_000087_000000	But at midnight the king came with a lamp in his hand and a big bunch of keys, and carried off the white bear.	But at midnight the king came with a lamp in his hand and a big bunch of keys, and carried off the white bear.	true	1299.38	1305.88	25.494076
3185_163505_000087_000001	He passed along gallery after gallery, through doors and rooms, up-stairs and down-stairs, till at last he came to a pier which ran out into the sea.	He passed along gallery after gallery, through doors and rooms, up stairs and down stairs, till at last he came to a pier which ran out into the sea.	true	1306.1	1314.94	21.107685
3185_163505_000087_000002	Then the king began to pull and haul at posts and pins, this one up and that one down, till at last a little house floated up to the water's edge. There he kept his daughter, for she was so dear to him that he had hid her, so that no one could find her out.	Then the king began to pull and haul at posts and pins, this one up and that one down, till at last a little house floated up to the water's edge. There he kept his daughter, for she was so dear to him that he had hid her, so that no one could find her out.	true	1315.13	1330.42	22.174814
3185_163505_000087_000003	He left the white bear outside while he went in and told her how it had danced and played its pranks.	He left the white bear outside while he went in and told her how it had danced and played its pranks.	true	1330.85	1335.94	21.323349
3185_163505_000087_000004	She said she was afraid, and dared not look at it; but he talked her over, saying there was no danger, if she only wouldn't laugh.	She said she was afraid, and dared not look at it; but he talked her over, saying there was no danger, if she only wouldn't laugh.	true	1336.07	1343.38	19.968117
3185_163505_000087_000005	So they brought the bear in, and locked the door, and it danced and played its tricks; but just when the fun was at its height, the Princess's maid began to laugh.	So they brought the bear in, and locked the door, and it danced and played its tricks; but just when the fun was at its height, the Princess's maid began to laugh.	true	1343.39	1352.47	21.645071
3185_163505_000087_000006	Then the lad flew at her and tore her to bits, and the Princess began to cry and sob.	Then the lad flew at her and tore her to bits, and the Princess began to cry and sob.	true	1352.47	1357.48	20.592588
3185_163505_000088_000000	'Stuff and nonsense', cried the king; 'all this fuss about a maid! I'll get you just as good a one again.	'Stuff and nonsense', cried the king; 'all this fuss about a maid! I'll get you just as good a one again.	true	1357.58	1366.06	20.972502
3185_163505_000088_000001	But now I think the bear had best stay here till morning, for I don't care to have to go and lead it along all those galleries and stairs at this time of night.'	But now I think the bear had best stay here till morning, for I don't care to have to go and lead it along all those galleries and stairs at this time of night.'	true	1366.1	1376.11	19
3185_163505_000089_000000	'Well!' said the Princess, 'if it sleeps here, I'm sure I won't.'	'Well!' said the Princess, 'if it sleeps here, I'm sure I won't.'	true	1377.29	1381.54	28.058262
3185_163505_000090_000000	But just then the bear curled himself up and lay down by the stove; and it was settled at last that the Princess should sleep there too, with a light burning.	But just then the bear curled himself up and lay down by the stove; and it was settled at last that the Princess should sleep there too, with a light burning.	true	1382.12	1390.84	24.063396
3185_163505_000090_000001	But as soon as the king was well gone, the white bear came and begged her to undo his collar.	But as soon as the king was well gone, the white bear came and begged her to undo his collar.	true	1391.03	1396.48	23.364237
3185_163505_000090_000002	The Princess was so scared she almost swooned away; but she felt about till she found the collar, and she had scarce undone it before the bear pulled his head off.	The Princess was so scared she almost swooned away; but she felt about till she found the collar, and she had scarce undone it before the bear pulled his head off.	true	1396.73	1406.92	23.115204
3185_163505_000090_000003	Then she knew him again, and was so glad there was no end to her joy, and she wanted to tell her father at once that her deliverer was come.	Then she knew him again, and was so glad there was no end to her joy, and she wanted to tell her father at once that her deliverer was come.	true	1406.93	1415.46	17.881975
3185_163505_000090_000004	But the lad would not hear of it; he would earn her once more, he said.	But the lad would not hear of it; he would earn her once more, he said.	false	1415.46	1419.21	20.39628
3185_163505_000090_000005	So in the morning when they heard the king rattling at the posts outside, the lad drew on the hide, and lay down by the stove.	So in the morning when they heard the king rattling at the posts outside, the lad drew on the hide, and lay down by the stove.	true	1419.21	1426.42	21.101767
3185_163505_000091_000000	'Well, has it lain still?' the king asked.	'Well, has it lain still?' the king asked.	true	1426.91	1430.14	21.646147
3185_163505_000092_000000	'I should think so', said the Princess; 'it hasn't so much as turned or stretched itself once.'	'I should think so', said the Princess; 'it hasn't so much as turned or stretched itself once.'	true	1430.42	1436.05	26.955805
3185_163505_000093_000000	When they got up to the castle again, the captain took the bear and led it away, and then the lad threw off the hide, and went to a tailor and ordered clothes fit for a prince; and when they were fitted on he went to the king, and said he wanted to find the Princess.	When they got up to the castle again, the captain took the bear and led it away, and then the lad threw off the hide, and went to a tailor and ordered clothes fit for a prince; and when they were fitted on he went to the king, and said he wanted to find the Princess.	true	1436.72	1450.3	23.870497
3185_163505_000094_000000	'You're not the first who has wished the same thing', said the king, 'but they have all lost their lives; for if any one who tries can't find her in four-and-twenty hours his life is forfeited.'	'You're not the first who has wished the same thing', said the king, 'but they have all lost their lives; for if any one who tries can't find her in four and twenty hours his life is forfeited.'	true	1451.48	1464.34	23.582201
3185_163505_000095_000000	Yes; the lad knew all that.	Yes; the lad knew all that.	true	1464.62	1466.49	21.894424
3185_163505_000095_000001	Still he wished to try, and if he couldn't find her, 'twas his look-out.	Still he wished to try, and if he couldn't find her, 'twas his look out.	true	1466.49	1471.08	25.507471
3185_163505_000095_000002	Now in the castle there was a band that played sweet tunes, and there were fair maids to dance with, and so the lad danced away.	Now in the castle there was a band that played sweet tunes, and there were fair maids to dance with, and so the lad danced away.	true	1471.08	1478.41	20.114601
3185_163505_000095_000003	When twelve hours were gone, the king said:	When twelve hours were gone, the king said:	true	1478.57	1480.96	21.620974
3185_163505_000096_000000	'I pity you with all my heart.	'I pity you with all my heart.	true	1480.97	1483.27	21.503464
3185_163505_000096_000001	You're so poor a hand at seeking; you will surely lose your life.'	You're so poor a hand at seeking; you will surely lose your life.'	false	1483.37	1488.22	22.60767
3185_163505_000097_000000	'Stuff!' said the lad; 'while there's life there's hope!	'Stuff!' said the lad; 'while there's life there's hope!	true	1488.47	1492.52	26.141512
3185_163505_000097_000001	So long as there's breath in the body there's no fear; we have lots of time'; and so he went on dancing till there was only one hour left.	So long as there's breath in the body there's no fear; we have lots of time'; and so he went on dancing till there was only one hour left.	false	1492.52	1501.03	19.443407
3185_163505_000098_000000	Then he said he would begin to search.	Then he said he would begin to search.	true	1501.34	1503.27	17.983631
3185_163505_000099_000000	'It's no use now', said the king; 'time's up.'	'It's no use now', said the king; 'time's up.'	false	1503.27	1506.49	23.81715
3185_163505_000100_000000	'Light your lamp; out with your big bunch of keys', said the lad, 'and follow me whither I wish to go.	'Light your lamp; out with your big bunch of keys', said the lad, 'and follow me whither I wish to go.	false	1507.07	1512.45	21
3185_163505_000100_000001	There is still a whole hour left.'	There is still a whole hour left.'	false	1512.45	1515.49	22.300577
3185_163505_000101_000000	So the lad went the same way which the king had led him the night before, and he bade the king unlock door after door till they came down to the pier which ran out into the sea.	So the lad went the same way which the king had led him the night before, and he bade the king unlock door after door till they came down to the pier which ran out into the sea.	true	1516.43	1525.57	21
3185_163505_000102_000000	'It's all no use, I tell you', said the king; 'time's up, and this will only lead you right out into the sea.'	'It's all no use, I tell you', said the king; 'time's up, and this will only lead you right out into the sea.'	false	1526.33	1532.32	22
3185_163505_000103_000000	'Still five minutes more', said the lad, as he pulled and pushed at the posts and pins, and the house floated up.	'Still five minutes more', said the lad, as he pulled and pushed at the posts and pins, and the house floated up.	true	1532.57	1539.1	24.261278
3185_163505_000104_000000	'Now the time is up', bawled the king; 'come hither, headsman, and take off his head.'	'Now the time is up', bawled the king; 'come hither, headsman, and take off his head.'	true	1539.8	1544.95	26.141514
3185_163505_000105_000000	'Nay, nay!' said the lad; 'stop a bit, there are still three minutes! Out with the key, and let me get into this house.'	'Nay, nay!' said the lad; 'stop a bit, there are still three minutes! Out with the key, and let me get into this house.'	true	1545.23	1553.29	23.75737
3185_163505_000106_000000	But there stood the king and fumbled with his keys, to draw out the time.	But there stood the king and fumbled with his keys, to draw out the time.	true	1553.33	1557.4	24.477655
3185_163505_000106_000001	At last he said he hadn't any key.	At last he said he hadn't any key.	true	1557.65	1559.83	24.404104
3185_163505_000107_000000	'Well, if you haven't, I _have_', said the lad, as he gave the door such a kick that it flew to splinters inwards on the floor.	'Well, if you haven't, I underscore have underscore', said the lad, as he gave the door such a kick that it flew to splinters inwards on the floor.	false	1560.23	1568.29	21.837889
3185_163505_000108_000000	At the door the Princess met him, and told her father this was her deliverer, on whom her heart was set.	At the door the Princess met him, and told her father this was her deliverer, on whom her heart was set.	true	1569.05	1574.62	23.157606
3185_163505_000108_000001	So she had him; and this was how the beggar boy came to marry the king's daughter of Arabia.	So she had him; and this was how the beggar boy came to marry the king's daughter of Arabia.	false	1574.75	1592.64	19.640055
