6075_57156_000000_000000	CHAPTER XIII.	CHAPTER thirteen.	false	0.18	3.03	11
6075_57156_000062_000006	And on the Tuesday it began to be understood that Goarly had applied to Bearside, the other attorney, in reference to his claim against Lord Rufford's pheasants.	And on the Tuesday it began to be understood that Goarly had applied to Bearside, the other attorney, in reference to his claim against Lord Rufford's pheasants.	false	867.99	867.99	
6075_57156_000062_000007	He had contemptuously refused the 7_s._ 6_d._ an acre offered him, and put his demand at 40_s._ As to the poisoned fox and the herrings and the strychnine Goarly declared that he didn't care if there were twenty detectives in the place.	He had contemptuously refused the seven underscore s.underscore six underscore d.underscore an acre offered him, and put his demand at forty underscore s.underscore As to the poisoned fox and the herrings and the strychnine Goarly declared that he didn't care if there were twenty detectives in the place.	false	867.99	867.99	
6075_57156_000062_000008	He stated it to be his opinion that Larry Twentyman had put down the poison.	He stated it to be his opinion that Larry Twentyman had put down the poison.	false	867.99	867.99	
6075_57156_000062_000009	It was all very well, Goarly said, for Larry to be fond of gentlemen and to ride to hounds, and make pretences;--but Larry liked his turkeys as well as anybody else, and Larry had put down the poison.	It was all very well, Goarly said, for Larry to be fond of gentlemen and to ride to hounds, and make pretences;--but Larry liked his turkeys as well as anybody else, and Larry had put down the poison.	false	867.99	868.32	-13
6075_57156_000062_000010	In this matter Goarly overreached himself.	In this matter Goarly overreached himself.	false	868.32	868.35	3
6075_57156_000062_000011	No one in Dillsborough could be brought to believe that.	No one in Dillsborough could be brought to believe that.	false	868.35	868.92	16
6075_57156_000062_000012	Even Harry Stubbings was ready to swear that he should suspect himself as soon.	Even Harry Stubbings was ready to swear that he should suspect himself as soon.	false	868.92	868.98	-6
6075_57156_000062_000013	But nothing was clearer than this,--that Goarly was going to make a stand against the hunt and especially against Lord Rufford.	But nothing was clearer than this,--that Goarly was going to make a stand against the hunt and especially against Lord Rufford.	false	868.98	869.04	-1
6075_57156_000062_000014	He had gone to Bearside and Bearside had taken up the matter in a serious way.	He had gone to Bearside and Bearside had taken up the matter in a serious way.	false	869.04	869.07	-20
6075_57156_000062_000015	Then it became known very quickly that Bearside had already received money, and it was surmised that Goarly had some one at his back.	Then it became known very quickly that Bearside had already received money, and it was surmised that Goarly had some one at his back.	false	869.07	869.16	-20
6075_57156_000062_000016	Lord Rufford had lately ejected from a house of his on the other side of the county a discontented litigious retired grocer from Rufford, who had made some money and had set himself up in a pretty little residence with a few acres of land.	Lord Rufford had lately ejected from a house of his on the other side of the county a discontented litigious retired grocer from Rufford, who had made some money and had set himself up in a pretty little residence with a few acres of land.	false	869.16	869.28	-20
6075_57156_000062_000017	The man had made himself objectionable and had been dispossessed.	The man had made himself objectionable and had been dispossessed.	false	869.28	869.31	10
6075_57156_000062_000018	The man's name was Scrobby; and hence had come these sorrows.	The man's name was Scrobby; and hence had come these sorrows.	false	869.31	869.34	-14
6075_57156_000062_000019	This was the story that had already made itself known in Dillsborough on the Tuesday evening.	This was the story that had already made itself known in Dillsborough on the Tuesday evening.	false	869.34	869.37	3
6075_57156_000062_000020	But up to that time not a tittle of evidence had come to light as to the purchase of the red herrings or the strychnine.	But up to that time not a tittle of evidence had come to light as to the purchase of the red herrings or the strychnine.	false	869.37	869.58	16
6075_57156_000062_000021	All that was known was the fact that had not Tony Tuppett stopped the hounds before they reached the wood, there must have been a terrible mortality.	All that was known was the fact that had not Tony Tuppett stopped the hounds before they reached the wood, there must have been a terrible mortality.	false	869.58	869.64	-3
6075_57156_000062_000022	"It's that nasty, beastly, drunken club," said Mrs. Masters to her husband.	"It's that nasty, beastly, drunken club," said mrs Masters to her husband.	false	869.64	869.67	-19
6075_57156_000062_000023	Of course it was at this time known to the lady that her husband had thrown away Goarly's business and that it had been transferred to Bearside.	Of course it was at this time known to the lady that her husband had thrown away Goarly's business and that it had been transferred to Bearside.	false	869.67	869.73	-20
6075_57156_000062_000024	It was also surmised by her, as it was by the town in general, that Goarly's business would come to considerable dimensions;--just the sort of case as would have been sure to bring popularity if carried through, as Nickem, the senior clerk, would have carried it.	It was also surmised by her, as it was by the town in general, that Goarly's business would come to considerable dimensions;--just the sort of case as would have been sure to bring popularity if carried through, as Nickem, the senior clerk, would have carried it.	false	869.73	871.35	17.98558
6075_57156_000062_000025	And as soon as Scrobby's name was heard by Mrs. Masters, there was no end to the money in the lady's imagination to which this very case might not have amounted.	And as soon as Scrobby's name was heard by mrs Masters, there was no end to the money in the lady's imagination to which this very case might not have amounted.	false	871.35	872.79	21.24076
