6509_76574_000000_000000	CHAPTER XVI.	CHAPTER sixteen.	true	11.34	12.91	21.879726
6509_76574_000007_000016	The higher mountains round about are heavily timbered with pine and cedar.	The higher mountains round about are heavily timbered with pine and cedar.	true	1219.7	1224.07	16.78119
6509_76574_000007_000017	A large forest on a mountain-slope is on fire, and I pass a camp of people who have been driven out of their permanent abode by the flames.	A large forest on a mountain slope is on fire, and I pass a camp of people who have been driven out of their permanent abode by the flames.	true	1224.47	1232.17	18
6509_76574_000007_000018	Fortunately, they have saved everything except their naked houses and their grain.	Fortunately, they have saved everything except their naked houses and their grain.	false	1232.45	1236.61	18
6509_76574_000007_000019	They can easily build new houses, and their neighbors will give or lend them sufficient grain to tide them over till another harvest.	They can easily build new houses, and their neighbors will give or lend them sufficient grain to tide them over till another harvest.	false	1236.95	1243.99	17
6509_76574_000007_000020	Toward sundown the hilly country terminates, and I descend into a broad cultivated valley, through which is a very good wagon-road; and I have the additional satisfaction of learning that it will so continue clear into Sivas, a wagon-road having been made from Sivas into this forest to enable the people to haul wood and building-timber on their arabas.	Toward sundown the hilly country terminates, and I descend into a broad cultivated valley, through which is a very good wagon road; and I have the additional satisfaction of learning that it will so continue clear into Sivas, a wagon road having been made from Sivas into this forest to enable the people to haul wood and building timber on their arabas.	false	1244.3	1265.82	17
6509_76574_000007_000021	Arriving at a good-sized and comparatively well-to-do Mussulman village, I obtain an ample supper of eggs and pillau, and, after binning over and over again until the most unconscionable Turk among them all can bring himself to importune me no more, I obtain a little peace.	Arriving at a good sized and comparatively well to do Mussulman village, I obtain an ample supper of eggs and pillau, and, after binning over and over again until the most unconscionable Turk among them all can bring himself to importune me no more, I obtain a little peace.	true	1265.82	1282.18	14
6509_76574_000007_000022	Supper for two, together with the tough hill-climbing to-day, and insufficient sleep last night, produces its natural effect; I quietly doze off to sleep while sitting on the divan of a small khan, which might very appropriately be called an open shed.	Supper for two, together with the tough hill climbing to day, and insufficient sleep last night, produces its natural effect; I quietly doze off to sleep while sitting on the divan of a small khan, which might very appropriately be called an open shed.	false	1283.12	1298.44	20
6509_76574_000007_000023	Soon I am awakened; they want me to accommodate them by binning once more before they retire for the night.	Soon I am awakened; they want me to accommodate them by binning once more before they retire for the night.	true	1298.57	1304.89	17.132835
6509_76574_000007_000024	As the moon is shining brightly, I offer no objections, knowing that to grant the request will be the quickest way to get rid of their worry.	As the moon is shining brightly, I offer no objections, knowing that to grant the request will be the quickest way to get rid of their worry.	true	1305.56	1312.66	11
6509_76574_000007_000025	They then provide me with quilts, and I spend the night in the khan alone.	They then provide me with quilts, and I spend the night in the khan alone.	true	1313.84	1317.91	16
6509_76574_000007_000026	I am soon asleep, but one habitually sleeps lightly under these strange and ever-varying conditions, and several times I am awakened by dogs invading the khan and sniffing - about my couch.	I am soon asleep, but one habitually sleeps lightly under these strange and ever varying conditions, and several times I am awakened by dogs invading the khan and sniffing — about my couch.	true	1318.67	1329.4	14
6509_76574_000007_000027	My daily experience among these people is teaching me the commendable habit of rising with the lark; not that I am an enthusiastic student, or even a willing one - be it observed that few people are - but it is a case of either turning out and sneaking off before the inhabitants are astir, or to be worried from one's waking moments to the departure from the village, and of the two evils one comes finally to prefer the early rising.	My daily experience among these people is teaching me the commendable habit of rising with the lark; not that I am an enthusiastic student, or even a willing one — be it observed that few people are — but it is a case of either turning out and sneaking off before the inhabitants are astir, or to be worried from one's waking moments to the departure from the village, and of the two evils one comes finally to prefer the early rising.	false	1330.37	1355.74	19
6509_76574_000007_000028	One can always obtain something to eat before starting by waiting till an hour after sunrise, but I have had quite enough of these people's importunities to make breakfasting with them a secondary consideration, and so pull out at early daylight. The road is exceptionally good, but an east wind rises with the sun and quickly develops into a stiff breeze that renders riding against it anything but child's play; no rose is to be expected without a thorn, nevertheless it is rather aggravating to have the good road and the howling head-wind happen together, especially in traversing a country where good roads are the exception instead of the rule.	One can always obtain something to eat before starting by waiting till an hour after sunrise, but I have had quite enough of these people's importunities to make breakfasting with them a secondary consideration, and so pull out at early daylight. The road is exceptionally good, but an east wind rises with the sun and quickly develops into a stiff breeze that renders riding against it anything but child's play; no rose is to be expected without a thorn, nevertheless it is rather aggravating to have the good road and the howling head wind happen together, especially in traversing a country where good roads are the exception instead of the rule.	false	1357.28	1394.92	18
6509_76574_000007_000029	About eight o'clock I reach a village situated at the entrance to a rocky defile, with a babbling brook dancing through the space between its two divisions. Upon inquiring for refreshments, a man immediately orders his wife to bring me pillau.	About eight o'clock I reach a village situated at the entrance to a rocky defile, with a babbling brook dancing through the space between its two divisions. Upon inquiring for refreshments, a man immediately orders his wife to bring me pillau.	true	1395.41	1410.94	19.751873
6509_76574_000007_000030	For some reason or other - perhaps the poor woman has none prepared; who knows?	For some reason or other — perhaps the poor woman has none prepared; who knows?	true	1411.01	1415.32	17
6509_76574_000007_000031	- the woman, instead of obeying the command like a "guid wifey," enters upon a wordy demurrer, whereupon her husband borrows a hoe-handle from a bystander and advances to chastise her for daring to thus hesitate about obeying his orders; the woman retreats precipitately into the house, heaping Turkish epithets on her devoted husband's head.	- the woman, instead of obeying the command like a "guid wifey," enters upon a wordy demurrer, whereupon her husband borrows a hoe handle from a bystander and advances to chastise her for daring to thus hesitate about obeying his orders; the woman retreats precipitately into the house, heaping Turkish epithets on her devoted husband's head.	false	1415.6	1437.67	19.726788
6509_76574_000007_000032	This woman is evidently a regular termagant, or she would never have used such violent language to her husband in the presence of a stranger and the whole village; some day, if she doesn't be more reasonable, her husband, instead of satisfying his outraged feelings by chastising her with a hoe-handle, will, in a moment of passion, bid her begone from his house, which in Turkish law constitutes a legal separation; if the command be given in the presence of a competent witness it is irrevocable.	This woman is evidently a regular termagant, or she would never have used such violent language to her husband in the presence of a stranger and the whole village; some day, if she doesn't be more reasonable, her husband, instead of satisfying his outraged feelings by chastising her with a hoe handle, will, in a moment of passion, bid her begone from his house, which in Turkish law constitutes a legal separation; if the command be given in the presence of a competent witness it is irrevocable.	false	1438.01	1466.32	17
6509_76574_000007_000033	Seeing me thus placed, as it were, in an embarrassing situation, another woman - dear, thoughtful creature!	Seeing me thus placed, as it were, in an embarrassing situation, another woman — dear, thoughtful creature!	true	1466.45	1473.46	17
6509_76574_000007_000034	- fetches me enough wheat piilau to feed a mule, and a nice bowl of yaort, off which I make a substantial breakfast.	- fetches me enough wheat piilau to feed a mule, and a nice bowl of yaort, off which I make a substantial breakfast.	false	1473.62	1480.93	20
6509_76574_000007_000035	Near by where I am eating are five industrious maidens, preparing cracked or broken wheat by a novel and interesting process, that has hitherto failed to come under my observation; perhaps it is peculiar to the Sivas vilayet, which I have now entered.	Near by where I am eating are five industrious maidens, preparing cracked or broken wheat by a novel and interesting process, that has hitherto failed to come under my observation; perhaps it is peculiar to the Sivas vilayet, which I have now entered.	false	1481.39	1496.83	14
6509_76574_000007_000036	A large rock is hollowed out like a shallow druggist's mortar; wheat is put in, and several girls (sometimes as many as eight, I am told by the American missionaries at Sivas) gather in a circle about it, and pound the wheat with light, long-headed mauls or beetles, striking in regular succession, as the reader has probably seen a gang of circus roustabouts driving tent-pins.	A large rock is hollowed out like a shallow druggist's mortar; wheat is put in, and several girls (sometimes as many as eight, I am told by the American missionaries at Sivas) gather in a circle about it, and pound the wheat with light, long headed mauls or beetles, striking in regular succession, as the reader has probably seen a gang of circus roustabouts driving tent pins.	true	1497.32	1520.98	17
6509_76574_000007_000037	When I first saw circus tent-pins driven in this manner, a few years ago, I remember hearing on-lookers remarking it as quite novel and wonderful how so many could be striking the same peg without their swinging sledges coming into collision; but that very same performance has been practised by the maidens hereabout, it seems, from time immemorial- another proof that there is nothing new under the sun.	When I first saw circus tent pins driven in this manner, a few years ago, I remember hearing on lookers remarking it as quite novel and wonderful how so many could be striking the same peg without their swinging sledges coming into collision; but that very same performance has been practised by the maidens hereabout, it seems, from time immemorial another proof that there is nothing new under the sun	true	1521.68	1545.52	19
6509_76574_000007_000038	Ten miles of good riding, and I wheel into the considerable town of Yennikhan, a place sufficiently important to maintain a public coffee-khan and several small shops.	Ten miles of good riding, and I wheel into the considerable town of Yennikhan, a place sufficiently important to maintain a public coffee khan and several small shops.	true	1546.28	1557.64	18.853243
6509_76574_000007_000039	Here I take aboard a pocketful of fine large pears, and after wheeling a couple of miles to a secluded spot, halt for the purpose of shifting the pears from my pocket to where they will be better appreciated. Ere I have finished the second pear, a gentle goatherd, who from an adjacent hill observed me alight, appears upon the scene and waits around, with the laudable intention of further enlightening his mind when I remount.	Here I take aboard a pocketful of fine large pears, and after wheeling a couple of miles to a secluded spot, halt for the purpose of shifting the pears from my pocket to where they will be better appreciated. Ere I have finished the second pear, a gentle goatherd, who from an adjacent hill observed me alight, appears upon the scene and waits around, with the laudable intention of further enlightening his mind when I remount.	true	1557.92	1583.23	18
6509_76574_000007_000040	He is carrying a musical instrument something akin to a flute; it is a mere hollow tube with the customary finger-holes, but it is blown at the end; having neither reed nor mouth-piece of any description, it requires a peculiar sidewise application of the lips, and is not to be blown readily by a novice.	He is carrying a musical instrument something akin to a flute; it is a mere hollow tube with the customary finger holes, but it is blown at the end; having neither reed nor mouth piece of any description, it requires a peculiar sidewise application of the lips, and is not to be blown readily by a novice.	true	1583.6	1602.22	18
6509_76574_000007_000041	When properly played, it produces soft, melodious music that, to say nothing else, must exert a gentle soothing influence on the wild, turbulent souls of a herd of goats.	When properly played, it produces soft, melodious music that, to say nothing else, must exert a gentle soothing influence on the wild, turbulent souls of a herd of goats.	true	1602.41	1614.7	20.560966
6509_76574_000007_000042	The goatherd offers me a cake of ekmek out of his wallet, as a sort of a I peace - offering, but thanks to a generous breakfast, music hath more charms at present than dry ekmek, and handing him a pear, I strike up a bargain by which he is to entertain me with a solo until I am ready to start, when of course he will be amply recompensed by seeing me bin; the bargain is agreed to, and the solo duly played.	The goatherd offers me a cake of ekmek out of his wallet, as a sort of a I peace — offering, but thanks to a generous breakfast, music hath more charms at present than dry ekmek, and handing him a pear, I strike up a bargain by which he is to entertain me with a solo until I am ready to start, when of course he will be amply recompensed by seeing me bin; the bargain is agreed to, and the solo duly played.	false	1615.4	1641.25	19.80827
6509_76574_000007_000043	East of Yennikhan, the road develops into an excellent macadamized highway, on which I find plenty of genuine amusement by electrifying the natives whom I chance to meet or overtake. Creeping noiselessly up behind an unsuspecting donkey-driver, until quite close, I suddenly reveal my presence.	East of Yennikhan, the road develops into an excellent macadamized highway, on which I find plenty of genuine amusement by electrifying the natives whom I chance to meet or overtake. Creeping noiselessly up behind an unsuspecting donkey driver, until quite close, I suddenly reveal my presence.	true	1641.59	1660.24	20.28131
6509_76574_000007_000044	Looking round and observing a strange, unearthly combination, apparently swooping down upon him, the affrighted katir-jee's first impulse is to seek refuge in flight, not infrequently bolting clear off the roadway, before venturing upon taking a second look.	Looking round and observing a strange, unearthly combination, apparently swooping down upon him, the affrighted katir jee's first impulse is to seek refuge in flight, not infrequently bolting clear off the roadway, before venturing upon taking a second look.	true	1660.85	1677.31	18.56952
6509_76574_000007_000045	Sometimes I simply put on a spurt, and whisk past at a fifteen mile pace.	Sometimes I simply put on a spurt, and whisk past at a fifteen mile pace.	true	1677.77	1682.32	17
6509_76574_000007_000046	Looking back, the katir-jee generally seems rooted to the spot with astonishment, and his utter inability to comprehend. These men will have marvellous tales to tell in their respective villages concerning what they saw; unless other bicycles are introduced, the time the "Ingilisiu" went through the country with his wonderful araba will become a red-letter event in the memory of the people along my route through Asia Minor.	Looking back, the katir jee generally seems rooted to the spot with astonishment, and his utter inability to comprehend. These men will have marvellous tales to tell in their respective villages concerning what they saw; unless other bicycles are introduced, the time the "Ingilisiu" went through the country with his wonderful araba will become a red letter event in the memory of the people along my route through Asia Minor.	false	1682.66	1709.77	18.678099
6509_76574_000007_000047	Crossing the Yeldez Irmak Eiver, on a stone bridge, I follow along the valley of the head-waters of our old acquaintance, the Kizil Irmak, and at three o'clock in the afternoon, roll into Sivas, having wheeled nearly fifty miles to-day, the last forty of which will compare favorably in smoothness, though not in leveluess, with any forty- mile stretch I know of in the United States.	Crossing the Yeldez Irmak Eiver, on a stone bridge, I follow along the valley of the head waters of our old acquaintance, the Kizil Irmak, and at three o'clock in the afternoon, roll into Sivas, having wheeled nearly fifty miles to day, the last forty of which will compare favorably in smoothness, though not in leveluess, with any forty mile stretch I know of in the United States.	false	1710.11	1733.41	18.393522
6509_76574_000007_000048	Prom Angora I have brought a letter of introduction to Mr. Ernest Weakley, a young Englishman, engaged, together with Mr. Kodigas, a Belgian gentleman, for the Ottoman Government, in collecting the Sivas vilayet's proportion of the Russian indemnity; and I am soon installed in hospitable quarters.	Prom Angora I have brought a letter of introduction to mr Ernest Weakley, a young Englishman, engaged, together with mr Kodigas, a Belgian gentleman, for the Ottoman Government, in collecting the Sivas vilayet's proportion of the Russian indemnity; and I am soon installed in hospitable quarters.	true	1733.6	1752.24	18
6509_76574_000007_000049	Sivas artisans enjoy a certain amount of celebrity among their compatriots of other Asia Minor cities for unusual skilfulness. particularly in making filigree silver work.	Sivas artisans enjoy a certain amount of celebrity among their compatriots of other Asia Minor cities for unusual skilfulness. particularly in making filigree silver work.	false	1752.24	1764.93	16.440023
6509_76574_000007_000050	Toward evening myself and Mr. Weakley take a stroll through the silversmiths' quarters.	Toward evening myself and mr Weakley take a stroll through the silversmiths' quarters.	true	1764.93	1769.32	13
6509_76574_000007_000051	The quarters consist of twenty or thirty small wooden shops, surrounding an oblong court; spreading willows and a tiny rivulet running through it give the place a semi-rural appearance. In the little open-front workshops, which might more appropriately be called stalls, Armenian silversmiths are seated cross-legged, some working industriously at their trade, others gossiping and sipping coffee with friends or purchasers.	The quarters consist of twenty or thirty small wooden shops, surrounding an oblong court; spreading willows and a tiny rivulet running through it give the place a semi rural appearance. In the little open front workshops, which might more appropriately be called stalls, Armenian silversmiths are seated cross legged, some working industriously at their trade, others gossiping and sipping coffee with friends or purchasers.	true	1769.78	1794.82	19.87741
6509_76574_000008_000000	"Doesn't it call up ideas of what you conceive the quarters of the old alchemists to have been hundreds of years ago." asks my companion. "Precisely what I was on the eve of suggesting to you," I reply, and then we drop into one of the shops, sip coffee with the old silversmith, and examine his filigree jewelry.	"Doesn't it call up ideas of what you conceive the quarters of the old alchemists to have been hundreds of years ago." asks my companion. "Precisely what I was on the eve of suggesting to you," I reply, and then we drop into one of the shops, sip coffee with the old silversmith, and examine his filigree jewelry.	false	1795.91	1805.16	17
6509_76574_000008_000001	There is nothing denoting remarkable skill about any of it; an intricate pattern of their jewelry simply represents a great expenditure of time and Asiatic patience, and the finishing of clasps, rivetting, etc., is conspicuously rough.	There is nothing denoting remarkable skill about any of it; an intricate pattern of their jewelry simply represents a great expenditure of time and Asiatic patience, and the finishing of clasps, rivetting, etc, is conspicuously rough.	false	1805.16	1805.16	
6509_76574_000008_000002	Sivas was also formerly a seat of learning; the imposing gates, with portions of the fronts of the old Arabic universities are still standing, with sufficient beautiful arabesque designs in glazed tile-work still undestroyed, to proclaim eloquently of departed glories.	Sivas was also formerly a seat of learning; the imposing gates, with portions of the fronts of the old Arabic universities are still standing, with sufficient beautiful arabesque designs in glazed tile work still undestroyed, to proclaim eloquently of departed glories.	false	1805.16	1821.25	20.001938
6509_76574_000008_000003	The squalid mud hovels of refugees from the Caucasus now occupy the interior of these venerable edifices; ragged urchins romp with dogs and baby buffaloes where pashas' sons formerly congregated to learn wisdom from the teachings of their prophet, and now what remains of the intricate arabesque designs, worked out in small, bright-colored tiles, that once formed the glorious ceiling of the dome, seems to look down reproachfully, and yet sorrowfully, upon the wretched heaps of tezek placed beneath it for shelter.	The squalid mud hovels of refugees from the Caucasus now occupy the interior of these venerable edifices; ragged urchins romp with dogs and baby buffaloes where pashas' sons formerly congregated to learn wisdom from the teachings of their prophet, and now what remains of the intricate arabesque designs, worked out in small, bright colored tiles, that once formed the glorious ceiling of the dome, seems to look down reproachfully, and yet sorrowfully, upon the wretched heaps of tezek placed beneath it for shelter.	false	1821.86	1858.02	18.957792
