3914_10089_000000_000000	CHAPTER IV	CHAPTER four	false	16.905	23.28	20.54309
3914_10089_000055_000002	He stopped in the Park, into which he had passed, and stared before him at his recurrent doubt. Away from her the doubt pressed again; in her presence he had believed her, but as he felt his forlornness he threw himself into the explanation that, nearest at hand, had most of a miserable warmth for him and least of a cold torment.	He stopped in the Park, into which he had passed, and stared before him at his recurrent doubt. Away from her the doubt pressed again; in her presence he had believed her, but as he felt his forlornness he threw himself into the explanation that, nearest at hand, had most of a miserable warmth for him and least of a cold torment.	false	1144.26	1146.15	21.63574
3914_10089_000055_000003	She had deceived him to save him--to put him off with something in which he should be able to rest.	She had deceived him to save him-to put him off with something in which he should be able to rest.	false	1146.15	1146.45	3
3914_10089_000055_000004	What could the thing that was to happen to him be, after all, but just this thing that had began to happen?	What could the thing that was to happen to him be, after all, but just this thing that had began to happen?	false	1146.45	1146.57	96
3914_10089_000055_000005	Her dying, her death, his consequent solitude--that was what he had figured as the Beast in the Jungle, that was what had been in the lap of the gods.	Her dying, her death, his consequent solitude-that was what he had figured as the Beast in the Jungle, that was what had been in the lap of the gods.	false	1146.57	1147.77	20
3914_10089_000055_000006	He had had her word for it as he left her--what else on earth could she have meant?	He had had her word for it as he left her-what else on earth could she have meant?	false	1147.77	1147.89	-20
3914_10089_000055_000007	It wasn't a thing of a monstrous order; not a fate rare and distinguished; not a stroke of fortune that overwhelmed and immortalised; it had only the stamp of the common doom.	It wasn't a thing of a monstrous order; not a fate rare and distinguished; not a stroke of fortune that overwhelmed and immortalised; it had only the stamp of the common doom.	false	1147.89	1148.04	-20
3914_10089_000055_000008	But poor Marcher at this hour judged the common doom sufficient.	But poor Marcher at this hour judged the common doom sufficient.	false	1148.04	1148.1	-20
3914_10089_000055_000009	It would serve his turn, and even as the consummation of infinite waiting he would bend his pride to accept it.	It would serve his turn, and even as the consummation of infinite waiting he would bend his pride to accept it.	false	1148.1	1148.19	-20
3914_10089_000055_000010	He sat down on a bench in the twilight.	He sat down on a bench in the twilight.	false	1148.19	1148.25	-20
3914_10089_000055_000011	He hadn't been a fool.	He hadn't been a fool.	false	1148.25	1148.28	-20
3914_10089_000055_000012	Something had _been_, as she had said, to come. Before he rose indeed it had quite struck him that the final fact really matched with the long avenue through which he had had to reach it.	Something had underscore been underscore, as she had said, to come. Before he rose indeed it had quite struck him that the final fact really matched with the long avenue through which he had had to reach it.	false	1148.28	1148.46	-20
3914_10089_000055_000013	As sharing his suspense and as giving herself all, giving her life, to bring it to an end, she had come with him every step of the way.	As sharing his suspense and as giving herself all, giving her life, to bring it to an end, she had come with him every step of the way.	false	1148.46	1148.61	-20
3914_10089_000055_000014	He had lived by her aid, and to leave her behind would be cruelly, damnably to miss her.	He had lived by her aid, and to leave her behind would be cruelly, damnably to miss her.	false	1148.61	1154.43	16.878796
3914_10089_000055_000015	What could be more overwhelming than that?	What could be more overwhelming than that?	false	1154.43	1157.22	-20
