6918_47541_000000_000000	"Non uxor salvum te vult, non filius, omnes Vicini oderunt,"------	"Non u x o r salvum te vult, non filius, omnes Vicini oderunt,"------	false	0	1.23	21.248796
6918_47541_000018_000002	Show him a decayed haven, a bridge, a school, a fortification, etc., or some public work, ride on; good your worship, your honour, for God's sake, your country's sake, ride on. But show him a roll wherein his name shall be registered in golden letters, and commended to all posterity, his arms set up, with his devices to be seen, then peradventure he will stay and contribute; or if thou canst thunder upon him, as Papists do, with satisfactory and meritorious works, or persuade him by this means he shall save his soul out of hell, and free it from purgatory (if he be of any religion), then in all likelihood he will listen and stay; or that he have no children, no near kinsman, heir, he cares for, at least, or cannot well tell otherwise how or where to bestow his possessions (for carry them with him he cannot), it may be then he will build some school or hospital in his life, or be induced to give liberally to pious uses after his death.	Show him a decayed haven, a bridge, a school, a fortification, etc, or some public work, ride on; good your worship, your honour, for God's sake, your country's sake, ride on. But show him a roll wherein his name shall be registered in golden letters, and commended to all posterity, his arms set up, with his devices to be seen, then peradventure he will stay and contribute; or if thou canst thunder upon him, as Papists do, with satisfactory and meritorious works, or persuade him by this means he shall save his soul out of hell, and free it from purgatory (if he be of any religion), then in all likelihood he will listen and stay; or that he have no children, no near kinsman, heir, he cares for, at least, or cannot well tell otherwise how or where to bestow his possessions (for carry them with him he cannot), it may be then he will build some school or hospital in his life, or be induced to give liberally to pious uses after his death.	true	1313.57	1392.61	21.34548
6918_47541_000018_000003	For I dare boldly say, vainglory, that opinion of merit, and this enforced necessity, when they know not otherwise how to leave, or what better to do with them, is the main cause of most of our good works.	For I dare boldly say, vainglory, that opinion of merit, and this enforced necessity, when they know not otherwise how to leave, or what better to do with them, is the main cause of most of our good works.	true	1393.82	1409.65	19.868698
6918_47541_000018_000004	I will not urge this to derogate from any man's charitable devotion, or bounty in this kind, to censure any good work; no doubt there be many sanctified, heroical, and worthy-minded men, that in true zeal, and for virtue's sake (divine spirits), that out of commiseration and pity extend their liberality, and as much as in them lies do good to all men, clothe the naked, feed the hungry, comfort the sick and needy, relieve all, forget and forgive injuries, as true charity requires; yet most part there is _simulatum quid_, a deal of hypocrisy in this kind, much default and defect.	I will not urge this to derogate from any man's charitable devotion, or bounty in this kind, to censure any good work; no doubt there be many sanctified, heroical, and worthy minded men, that in true zeal, and for virtue's sake (divine spirits), that out of commiseration and pity extend their liberality, and as much as in them lies do good to all men, clothe the naked, feed the hungry, comfort the sick and needy, relieve all, forget and forgive injuries, as true charity requires; yet most part there is underscore simulatum quid underscore, a deal of hypocrisy in this kind, much default and defect.	false	1410.92	1463.7	22.508505
6918_47541_000018_000005	[4614]Cosmo de Medici, that rich citizen of Florence, ingeniously confessed to a near friend of his, that would know of him why he built so many public and magnificent palaces, and bestowed so liberally on scholars, not that he loved learning more than others, "but to [4615]eternise his own name, to be immortal by the benefit of scholars; for when his friends were dead, walls decayed, and all inscriptions gone, books would remain to the world's end." The lantern in [4616]Athens was built by Zenocles, the theatre by Pericles, the famous port Pyraeum by Musicles, Pallas Palladium by Phidias, the Pantheon by Callicratidas; but these brave monuments are decayed all, and ruined long since, their builders' names alone flourish by meditation of writers.	[four thousand six hundred fourteen]Cosmo de Medici, that rich citizen of Florence, ingeniously confessed to a near friend of his, that would know of him why he built so many public and magnificent palaces, and bestowed so liberally on scholars, not that he loved learning more than others, "but to [four thousand six hundred fifteen]eternise his own name, to be immortal by the benefit of scholars; for when his friends were dead, walls decayed, and all inscriptions gone, books would remain to the world's end." The lantern in [four thousand six hundred sixteen]Athens was built by Zenocles, the theatre by Pericles, the famous port Pyraeum by Musicles, Pallas Palladium by Phidias, the Pantheon by Callicratidas; but these brave monuments are decayed all, and ruined long since, their builders' names alone flourish by meditation of writers.	false	1463.7	1528.66	22.185537
6918_47541_000018_000006	And as [4617]he said of that Marian oak, now cut down and dead, _nullius Agricolae manu vulta stirps tam diuturna, quam quae poetae, versu seminari potest_, no plant can grow so long as that which is _ingenio sata_, set and manured by those ever-living wits.	And as [four thousand six hundred seventeen]he said of that Marian oak, now cut down and dead, underscore nullius Agricolae manu vulta stirps tam diuturna, quam quae poetae, versu seminari potest underscore, no plant can grow so long as that which is underscore ingenio sata underscore, set and manured by those ever living wits.	false	1529.99	1557.3	22.671555
6918_47541_000018_000007	[4618]Allon Backuth, that weeping oak, under which Deborah, Rebecca's nurse, died, and was buried, may not survive the memory of such everlasting monuments.	[four thousand six hundred eighteen]Allon Backuth, that weeping oak, under which Deborah, Rebecca's nurse, died, and was buried, may not survive the memory of such everlasting monuments.	false	1557.3	1570.12	21.412468
6918_47541_000018_000008	Vainglory and emulation (as to most men) was the cause efficient, and to be a trumpeter of his own fame, Cosmo's sole intent so to do good, that all the world might take notice of it.	Vainglory and emulation (as to most men) was the cause efficient, and to be a trumpeter of his own fame, Cosmo's sole intent so to do good, that all the world might take notice of it.	false	1571.42	1587.55	22.887228
6918_47541_000018_000009	Such for the most part is the charity of our times, such our benefactors, Mecaenates and patrons. Show me amongst so many myriads, a truly devout, a right, honest, upright, meek, humble, a patient, innocuous, innocent, a merciful, a loving, a charitable man!	Such for the most part is the charity of our times, such our benefactors, Mecaenates and patrons. Show me amongst so many myriads, a truly devout, a right, honest, upright, meek, humble, a patient, innocuous, innocent, a merciful, a loving, a charitable man!	false	1588.19	1616.43	22.85275
6918_47541_000018_000010	[4619]_Probus quis nobiscum vivit_?	[four thousand six hundred nineteen]underscore Probus quis nobiscum vivit underscore?	false	1616.43	1620.57	19.854626
6918_47541_000018_000011	Show me a Caleb or a Joshua!	Show me a Caleb or a joshua!	false	1620.57	1623.36	23.563328
6918_47541_000018_000012	_Dic mihi Musa virum_--show a virtuous woman, a constant wife, a good neighbour, a trusty servant, an obedient child, a true friend, &c. Crows in Africa are not so scant.	underscore Dic mihi Musa virum underscore--show a virtuous woman, a constant wife, a good neighbour, a trusty servant, an obedient child, a true friend, and c. Crows in Africa are not so scant.	false	1623.36	1641.55	24.678616
6918_47541_000018_000013	He that shall examine this [4620]iron age wherein we live, where love is cold, _et jam terras Astrea reliquit_, justice fled with her assistants, virtue expelled,	He that shall examine this [four thousand six hundred twenty]iron age wherein we live, where love is cold, underscore et jam terras Astrea reliquit underscore, justice fled with her assistants, virtue expelled,	false	1642.73	1655.88	21.60731
6918_47541_000019_000000	[4621] ------"Justitiae soror, Incorrupta fides, nudaque veritas,"------	[four thousand six hundred twenty one] ------"Justitiae soror, Incorrupta fides, nudaque veritas,"------	false	1655.88	1661.62	26.57939
6918_47541_000020_000000	all goodness gone, where vice abounds, the devil is loose, and see one man vilify and insult over his brother, as if he were an innocent, or a block, oppress, tyrannise, prey upon, torture him, vex, gall, torment and crucify him, starve him, where is charity?	all goodness gone, where vice abounds, the devil is loose, and see one man vilify and insult over his brother, as if he were an innocent, or a block, oppress, tyrannise, prey upon, torture him, vex, gall, torment and crucify him, starve him, where is charity?	false	1662.23	1684.81	21.432205
6918_47541_000020_000001	He that shall see men [4622]swear and forswear, lie and bear false witness, to advantage themselves, prejudice others, hazard goods, lives, fortunes, credit, all, to be revenged on their enemies, men so unspeakable in their lusts, unnatural in malice, such bloody designments, Italian blaspheming, Spanish renouncing, &c., may well ask where is charity?	He that shall see men [four thousand six hundred twenty two]swear and forswear, lie and bear false witness, to advantage themselves, prejudice others, hazard goods, lives, fortunes, credit, all, to be revenged on their enemies, men so unspeakable in their lusts, unnatural in malice, such bloody designments, Italian blaspheming, Spanish renouncing, and c., may well ask where is charity?	false	1685.99	1717.54	20.988575
6918_47541_000020_000002	He that shall observe so many lawsuits, such endless contentions, such plotting, undermining, so much money spent with such eagerness and fury, every man for himself, his own ends, the devil for all: so many distressed souls, such lamentable complaints, so many factions, conspiracies, seditions, oppressions, abuses, injuries, such grudging, repining, discontent, so much emulation, envy, so many brawls, quarrels, monomachies, &c., may well require what is become of charity?	He that shall observe so many lawsuits, such endless contentions, such plotting, undermining, so much money spent with such eagerness and fury, every man for himself, his own ends, the devil for all: so many distressed souls, such lamentable complaints, so many factions, conspiracies, seditions, oppressions, abuses, injuries, such grudging, repining, discontent, so much emulation, envy, so many brawls, quarrels, monomachies, and c., may well require what is become of charity?	false	1718.78	1761.73	22.482365
6918_47541_000020_000003	when we see and read of such cruel wars, tumults, uproars, bloody battles, so many [4623]men slain, so many cities ruinated, &c. (for what else is the subject of all our stones almost, but bills, bows, and guns!) so many murders and massacres, &c., where is charity?	when we see and read of such cruel wars, tumults, uproars, bloody battles, so many [four thousand six hundred twenty three]men slain, so many cities ruinated, and c. (for what else is the subject of all our stones almost, but bills, bows, and guns!) so many murders and massacres, and c., where is charity?	false	1762.94	1787.59	19.693851
6918_47541_000020_000004	Or see men wholly devote to God, churchmen, professed divines, holy men, [4624]"to make the trumpet of the gospel the trumpet of war," a company of hell-born Jesuits, and fiery-spirited friars, _facem praeferre_ to all seditions: as so many firebrands set all the world by the ears (I say nothing of their contentious and railing books, whole ages spent in writing one against another, and that with such virulency and bitterness, _Bionaeis sermonibus et sale nigro_), and by their bloody inquisitions, that in thirty years, Bale saith, consumed 39 princes, 148 earls, 235 barons, 14,755 commons; worse than those ten persecutions, may justly doubt where is charity? _Obsecro vos quales hi demum Christiani!_ Are these Christians?	Or see men wholly devote to God, churchmen, professed divines, holy men, [four thousand six hundred twenty four]"to make the trumpet of the gospel the trumpet of war," a company of hell born Jesuits, and fiery spirited friars, underscore facem praeferre underscore to all seditions: as so many firebrands set all the world by the ears (I say nothing of their contentious and railing books, whole ages spent in writing one against another, and that with such virulency and bitterness, underscore Bionaeis sermonibus et sale nigro underscore), and by their bloody inquisitions, that in thirty years, Bale saith, consumed thirty nine princes, one hundred forty eight earls, two hundred thirty five barons, fourteen thousand seven hundred fifty five commons; worse than those ten persecutions, may justly doubt where is charity? underscore Obsecro vos quales hi demum Christiani!underscore Are these Christians?	false	1788.8	1859.11	21.004023
6918_47541_000020_000005	I beseech you tell me: he that shall observe and see these things, may say to them as Cato to Caesar, _credo quae de inferis dicuntur falsa existimas_, "sure I think thou art of opinion there is neither heaven nor hell." Let them pretend religion, zeal, make what shows they will, give alms, peace-makers, frequent sermons, if we may guess at the tree by the fruit, they are no better than hypocrites, epicures, atheists, with the [4625]"fool in their hearts they say there is no God." 'Tis no marvel then if being so uncharitable, hard-hearted as we are, we have so frequent and so many discontents, such melancholy fits, so many bitter pangs, mutual discords, all in a combustion, often complaints, so common grievances, general mischiefs, _si tantae in terris tragoediae, quibus labefactatur et misere laceratur humanum genus_, so many pestilences, wars, uproars, losses, deluges, fires, inundations, God's vengeance and all the plagues of Egypt, come upon us, since we are so currish one towards another, so respectless of God, and our neighbours, and by our crying sins pull these miseries upon our own heads.	I beseech you tell me: he that shall observe and see these things, may say to them as Cato to Caesar, underscore credo quae de inferis dicuntur falsa existimas underscore, "sure I think thou art of opinion there is neither heaven nor hell." Let them pretend religion, zeal, make what shows they will, give alms, peace makers, frequent sermons, if we may guess at the tree by the fruit, they are no better than hypocrites, epicures, atheists, with the [four thousand six hundred twenty five]"fool in their hearts they say there is no God." 'tis no marvel then if being so uncharitable, hard hearted as we are, we have so frequent and so many discontents, such melancholy fits, so many bitter pangs, mutual discords, all in a combustion, often complaints, so common grievances, general mischiefs, underscore si tantae in terris tragoediae, quibus labefactatur et misere laceratur humanum genus underscore, so many pestilences, wars, uproars, losses, deluges, fires, inundations, God's vengeance and all the plagues of Egypt, come upon us, since we are so currish one towards another, so respectless of God, and our neighbours, and by our crying sins pull these miseries upon our own heads.	false	1859.9	1969.09	21.650274
6918_47541_000020_000006	Nay more, 'tis justly to be feared, which [4626]Josephus once said of his countrymen Jews, "if the Romans had not come when they did to sack their city, surely it had been swallowed up with some earthquake, deluge, or fired from heaven as Sodom and Gomorrah: their desperate malice, wickedness and peevishness was such." 'Tis to be suspected, if we continue these wretched ways, we may look for the like heavy visitations to come upon us.	Nay more, 'tis justly to be feared, which [four thousand six hundred twenty six]Josephus once said of his countrymen Jews, "if the romans had not come when they did to sack their city, surely it had been swallowed up with some earthquake, deluge, or fired from heaven as Sodom and Gomorrah: their desperate malice, wickedness and peevishness was such." 'tis to be suspected, if we continue these wretched ways, we may look for the like heavy visitations to come upon us.	false	1970.36	2001.46	21.142618
6918_47541_000020_000007	If we had any sense or feeling of these things, surely we should not go on as we do, in such irregular courses, practise all manner of impieties; our whole carriage would not be so averse from God.	If we had any sense or feeling of these things, surely we should not go on as we do, in such irregular courses, practise all manner of impieties; our whole carriage would not be so averse from God.	true	2002.25	2018.17	20.771723
6918_47541_000020_000008	If a man would but consider, when he is in the midst and full career of such prodigious and uncharitable actions, how displeasing they are in God's sight, how noxious to himself, as Solomon told Joab, 1 Kings, ii.	If a man would but consider, when he is in the midst and full career of such prodigious and uncharitable actions, how displeasing they are in God's sight, how noxious to himself, as Solomon told Joab, first kings, ii.	false	2019.26	2037.91	21.938225
6918_47541_000020_000009	"The Lord shall bring this blood upon their heads." Prov. i.	"The Lord shall bring this blood upon their heads." Prov. i.	false	2037.91	2042.7	21.065502
6918_47541_000020_000010	27, "sudden desolation and destruction shall come like a whirlwind upon them: affliction, anguish, the reward of his hand shall be given him," Isa. iii.	twenty seven, "sudden desolation and destruction shall come like a whirlwind upon them: affliction, anguish, the reward of his hand shall be given him," Isa. iii.	false	2042.7	2057.07	21.637533
6918_47541_000020_000011	11, &c., "they shall fall into the pit they have digged for others," and when they are scraping, tyrannising, getting, wallowing in their wealth, "this night, O fool, I will take away thy soul," what a severe account they must make; and how [4627]gracious on the other side a charitable man is in God's eyes, _haurit sibi gratiam_.	eleven, and c., "they shall fall into the pit they have digged for others," and when they are scraping, tyrannising, getting, wallowing in their wealth, "this night, O fool, I will take away thy soul," what a severe account they must make; and how [four thousand six hundred twenty seven]gracious on the other side a charitable man is in God's eyes, underscore haurit sibi gratiam underscore.	false	2057.07	2086.35	21.190184
6918_47541_000020_000012	Matt. v.	Matt. v.	false	2086.35	2087.7	26.34743
6918_47541_000020_000013	7, "Blessed are the merciful, for they shall obtain mercy: he that lendeth to the poor, gives to God," and how it shall be restored to them again; "how by their patience and long-suffering they shall heap coals on their enemies' heads," Rom. xii.	seven, "Blessed are the merciful, for they shall obtain mercy: he that lendeth to the poor, gives to God," and how it shall be restored to them again; "how by their patience and long suffering they shall heap coals on their enemies' heads," Rom. x i i.	false	2087.7	2109.6	20.28718
6918_47541_000020_000014	"and he that followeth after righteousness and mercy, shall find righteousness and glory;" surely they would check their desires, curb in their unnatural, inordinate affections, agree amongst themselves, abstain from doing evil, amend their lives, and learn to do well.	"and he that followeth after righteousness and mercy, shall find righteousness and glory;" surely they would check their desires, curb in their unnatural, inordinate affections, agree amongst themselves, abstain from doing evil, amend their lives, and learn to do well.	false	2109.6	2132.62	21.21688
6918_47541_000020_000015	"Behold how comely and good a thing it is for brethren to live together in [4628]union: it is like the precious ointment, &c.	"Behold how comely and good a thing it is for brethren to live together in [four thousand six hundred twenty eight]union: it is like the precious ointment, and c.	false	2133.8	2144.79	23.511326
6918_47541_000020_000016	How odious to contend one with the other!" [4629] _Miseriquid luctatiunculis hisce volumus?	How odious to contend one with the other!" [four thousand six hundred twenty nine] underscore Miseriquid luctatiunculis hisce volumus?	false	2144.79	2155.38	23.607874
6918_47541_000020_000017	ecce mors supra caput est, et supremum illud tribunal, ubi et dicta et facta nostra examinanda sunt: Sapiamus!_ "Why do we contend and vex one another? behold death is over our heads, and we must shortly give an account of all our uncharitable words and actions: think upon it: and be wise."	ecce mors supra caput est, et supremum illud tribunal, u b i et dicta et facta nostra examinanda sunt: Sapiamus!underscore "Why do we contend and vex one another? behold death is over our heads, and we must shortly give an account of all our uncharitable words and actions: think upon it: and be wise."	false	2155.38	2195.46	20.809544
