8347_258283_000000_000000	When it was the Seven Hundred and Thirty-sixth Night,	When it was the Seven Hundred and Thirty sixth Night,	true	27.765	30.55	19
8347_258283_000011_000000	She said, It hath reached me, O auspicious King, that the King after taking the maiden, committed her to the tire women bidding them amend her case and set her in a bower, and ordered his chamberlains to shut all the doors upon her when they had lodged her in a chamber whose latticed casements overlooked the main.	She said, It hath reached me, O auspicious King, that the King after taking the maiden, committed her to the tire women bidding them amend her case and set her in a bower, and ordered his chamberlains to shut all the doors upon her when they had lodged her in a chamber whose latticed casements overlooked the main.	false	1331.73	1331.73	
8347_258283_000011_000001	Then Shahriman went in to her; but she spake not to him neither took any note of him.[FN#305] Quoth he, 'Twould seem she hath been with folk who have not taught her manners." Then he looked at the damsel and saw her surpassing beauty and loveliness and symmetry and perfect grace, with a face like the rondure of the moon at its full or the sun shining in the sheeny sky.	Then Shahriman went in to her; but she spake not to him neither took any note of him.[f n # three hundred five] Quoth he, 'Twould seem she hath been with folk who have not taught her manners." Then he looked at the damsel and saw her surpassing beauty and loveliness and symmetry and perfect grace, with a face like the rondure of the moon at its full or the sun shining in the sheeny sky.	false	1331.73	1332.21	11
8347_258283_000011_000002	So he marvelled at her charms of favour and figure and he praised Allah the Creator (magnified be His might!), after which he walked up to her and sat him down by her side; then he pressed her to his bosom and seating her on his thighs, sucked the dew of her lips' which he found sweeter than honey.	So he marvelled at her charms of favour and figure and he praised Allah the Creator (magnified be His might!), after which he walked up to her and sat him down by her side; then he pressed her to his bosom and seating her on his thighs, sucked the dew of her lips' which he found sweeter than honey.	false	1332.21	1332.6	11
8347_258283_000011_000003	Presently he called for trays spread with richest viands of all kinds and ate and fed her by mouthfuls, till she had enough; yet she spoke not one word. The King began to talk to her and asked her of her name; but she abode still silent and uttered not a syllable nor made him any answer, neither ceased to hang down her head groundwards, and it was but the excess of her beauty and loveliness and the amorous grace that saved her from the royal wrath.	Presently he called for trays spread with richest viands of all kinds and ate and fed her by mouthfuls, till she had enough; yet she spoke not one word. The King began to talk to her and asked her of her name; but she abode still silent and uttered not a syllable nor made him any answer, neither ceased to hang down her head groundwards, and it was but the excess of her beauty and loveliness and the amorous grace that saved her from the royal wrath.	false	1332.6	1333.5	23.178255
8347_258283_000011_000004	Quoth he to himself, "Glory be to God, the Creator of this girl!	Quoth he to himself, "Glory be to God, the Creator of this girl!	false	1333.5	1333.53	-20
8347_258283_000011_000005	How charming she is, save that she speaketh not!	How charming she is, save that she speaketh not!	false	1333.53	1333.56	-20
8347_258283_000011_000006	But perfection belongeth only to Allah the Most High." And he asked the slave girls whether she had spoken, and they said, "From the time of her coming until now she hath not uttered a word nor have we heard her address us." Then he summoned some of his women and concubines and bade them sing to her and make merry with her, so haply she might speak.	But perfection belongeth only to Allah the Most High." And he asked the slave girls whether she had spoken, and they said, "From the time of her coming until now she hath not uttered a word nor have we heard her address us." Then he summoned some of his women and concubines and bade them sing to her and make merry with her, so haply she might speak.	false	1333.56	1333.85	-20
8347_258283_000011_000007	Accordingly they played before her all manner instruments of music and sports and what not and sang, till the whole company was moved to mirth, except the damsel, who looked at them in silence, but neither laughed nor spoke.	Accordingly they played before her all manner instruments of music and sports and what not and sang, till the whole company was moved to mirth, except the damsel, who looked at them in silence, but neither laughed nor spoke.	false	1333.85	1334.37	29.05237
8347_258283_000011_000008	The King's breast was straitened; thereupon he dismissed the women and abode alone with that damsel: after which he doffed his clothes and disrobing her with his own hand, looked upon her body and saw it as it were a silvern ingot.	The King's breast was straitened; thereupon he dismissed the women and abode alone with that damsel: after which he doffed his clothes and disrobing her with his own hand, looked upon her body and saw it as it were a silvern ingot.	false	1334.37	1334.37	
8347_258283_000011_000009	So he loved her with exceeding love and falling upon her, took her maidenhead and found her a pure virgin; whereat he rejoiced with excessive joy and said in himself, "By Allah, 'tis a wonder that a girl so fair of form and face should have been left by the merchants a clean maid as she is!"[FN#306] Then he devoted himself altogether to her, heeding none other and forsaking all his concubines and favourites, and tarried with her a whole year as it were a single day.	So he loved her with exceeding love and falling upon her, took her maidenhead and found her a pure virgin; whereat he rejoiced with excessive joy and said in himself, "By Allah, 'tis a wonder that a girl so fair of form and face should have been left by the merchants a clean maid as she is!"[f n # three hundred six] Then he devoted himself altogether to her, heeding none other and forsaking all his concubines and favourites, and tarried with her a whole year as it were a single day.	false	1334.37	1334.94	17
8347_258283_000011_000010	Still she spoke not till, one morning he said to her (and indeed the love of her and longing waxed upon him), "O desire of souls, verily passion for thee is great with me, and I have forsaken for thy sake all my slave girls and concubines and women and favourites and I have made thee my portion of the world and had patience with thee a whole year; and now I beseech Almighty Allah, of His favour, to soften thy heart to me, so thou mayst speak to me.	Still she spoke not till, one morning he said to her (and indeed the love of her and longing waxed upon him), "O desire of souls, verily passion for thee is great with me, and I have forsaken for thy sake all my slave girls and concubines and women and favourites and I have made thee my portion of the world and had patience with thee a whole year; and now I beseech Almighty Allah, of His favour, to soften thy heart to me, so thou mayst speak to me.	false	1334.94	1335.6	24.003304
8347_258283_000011_000011	Or, an thou be dumb, tell me by a sign, that I may give up hope of thy speech.	Or, an thou be dumb, tell me by a sign, that I may give up hope of thy speech.	false	1335.6	1335.72	3
8347_258283_000011_000012	I pray the Lord (extolled be He!) to vouchsafe me by thee a son child, who shall inherit the kingdom after me; for I am old and lone and have none to be my heir.	I pray the Lord (extolled be He!) to vouchsafe me by thee a son child, who shall inherit the kingdom after me; for I am old and lone and have none to be my heir.	false	1335.72	1335.96	-7
8347_258283_000011_000013	Wherefore, Allah upon thee, an thou love me, return me a reply." The damsel bowed her head awhile in thought, and presently raising it, smiled in his face, whereat it seemed to him as if lightning filled the chamber. Then she said, "O magnanimous liege lord, and valorous lion, Allah hath answered thy prayer, for I am with child by thee and the time of my delivery is near at hand, though I know not if the unborn babe be male or female.[FN#307] But, had I not conceived by thee, I had not spoken to thee one word." When the King heard her speech, his face shone with joy and gladness and he kissed her head and hands for excess of delight, saying Alhamdolillah--laud to Lord--who hath vouchsafed me the things I desired!, first, thy speech, and secondly, thy tidings that thou art with child by me." Then he rose up and went forth from her and, seating himself on the throne of his kingship, in an ecstasy of happiness, bade his Wazir distribute to the poor and needy and widows and others an hundred thousand dinars, by way of thank offering to Allah Most High and alms on his own account.	Wherefore, Allah upon thee, an thou love me, return me a reply." The damsel bowed her head awhile in thought, and presently raising it, smiled in his face, whereat it seemed to him as if lightning filled the chamber. Then she said, "O magnanimous liege lord, and valorous lion, Allah hath answered thy prayer, for I am with child by thee and the time of my delivery is near at hand, though I know not if the unborn babe be male or female.[f n # three hundred seven] But, had I not conceived by thee, I had not spoken to thee one word." When the King heard her speech, his face shone with joy and gladness and he kissed her head and hands for excess of delight, saying Alhamdolillah-laud to Lord-who hath vouchsafed me the things I desired!, first, thy speech, and secondly, thy tidings that thou art with child by me." Then he rose up and went forth from her and, seating himself on the throne of his kingship, in an ecstasy of happiness, bade his Wazir distribute to the poor and needy and widows and others an hundred thousand dinars, by way of thank offering to Allah Most High and alms on his own account.	false	1335.96	1337.46	4
8347_258283_000011_000014	The Minister did as bidden by the King who, returning to the damsel, sat with her and embraced and pressed her to his breast, saying, "O my lady, my queen, whose slave I am, prithee what was the cause of this thy silence?	The Minister did as bidden by the King who, returning to the damsel, sat with her and embraced and pressed her to his breast, saying, "O my lady, my queen, whose slave I am, prithee what was the cause of this thy silence?	false	1337.46	1337.79	-20
8347_258283_000011_000015	Thou hast been with me a whole year, night and day, waking and sleeping, yet hast not spoken to me till this day." She replied, "Hearken, O King of the Age, and know that I am a wretched exile, broken hearted and far parted from my mother and my family and my brother." When the King heard her words, he knew her desire and said, "As for thy saying that thou art wretched, there is for such speech no ground, inasmuch as my kingdom and good and all I possess are at thy service and I also am become thy bondman; but, as for thy saying, 'I am parted from my mother and brother and family', tell me where they are and I will send and fetch them to thee." There' upon she answered, "Know, then, O auspicious King, that I am called Julnar[FN#308] the Sea born and that my father was of the Kings of the Main.	Thou hast been with me a whole year, night and day, waking and sleeping, yet hast not spoken to me till this day." She replied, "Hearken, O King of the Age, and know that I am a wretched exile, broken hearted and far parted from my mother and my family and my brother." When the King heard her words, he knew her desire and said, "As for thy saying that thou art wretched, there is for such speech no ground, inasmuch as my kingdom and good and all I possess are at thy service and I also am become thy bondman; but, as for thy saying, 'I am parted from my mother and brother and family', tell me where they are and I will send and fetch them to thee." There' upon she answered, "Know, then, O auspicious King, that I am called Julnar[f n # three hundred eight] the Sea born and that my father was of the Kings of the Main.	false	1337.79	1338.96	-20
8347_258283_000011_000016	He died and left us his reign, but while we were yet unsettled, behold, one of the other Kings arose against us and took the realm from our hands.	He died and left us his reign, but while we were yet unsettled, behold, one of the other Kings arose against us and took the realm from our hands.	false	1338.96	1339.17	-20
8347_258283_000011_000017	I have a brother called Salih, and my mother also is a woman of the sea; but I fell out with my brother 'The Pious' and swore that I would throw myself into the hands of a man of the folk of the land.	I have a brother called Salih, and my mother also is a woman of the sea; but I fell out with my brother 'The Pious' and swore that I would throw myself into the hands of a man of the folk of the land.	false	1339.17	1339.47	-20
8347_258283_000011_000018	So I came forth of the sea and sat down on the edge of an island in the moonshine[FN#309], where a passer by found me and, carrying me to his house, besought me of love liesse; but I smote him on the head, so that he all but died; whereupon he carried me forth and sold me to the merchant from whom thou hadst me, and this was a good man and a virtuous; pious, loyal and generous.	So I came forth of the sea and sat down on the edge of an island in the moonshine[f n # three hundred nine], where a passer by found me and, carrying me to his house, besought me of love liesse; but I smote him on the head, so that he all but died; whereupon he carried me forth and sold me to the merchant from whom thou hadst me, and this was a good man and a virtuous; pious, loyal and generous.	false	1339.47	1340.07	-20
8347_258283_000011_000019	Were it not that thy heart loved me and that thou promotedest me over all thy concubines, I had not remained with thee a single hour, but had cast myself from this window into the sea and gone to my mother and family; but I was ashamed to fare themwards, being with child by thee; for they would have deemed evilly of me and would not have credited me, even although I swore to them, an I told them that a King had bought me with his gold and made me his portion of the world and preferred me over all his wives and every thing that his right hand possessed.	Were it not that thy heart loved me and that thou promotedest me over all thy concubines, I had not remained with thee a single hour, but had cast myself from this window into the sea and gone to my mother and family; but I was ashamed to fare themwards, being with child by thee; for they would have deemed evilly of me and would not have credited me, even although I swore to them, an I told them that a King had bought me with his gold and made me his portion of the world and preferred me over all his wives and every thing that his right hand possessed.	false	1340.07	1340.88	-20
8347_258283_000011_000020	This then is my story and--the Peace!"--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	This then is my story and-the Peace!"--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	false	1340.88	1341.03	10
