7117_86710_000000_000000	"So far, then," said Danglars, mentally, "all has gone as I would have it.	"So far, then," said Danglars, mentally, "all has gone as I would have it.	false	0	1.44	25.004662
7117_86710_000055_000000	"Dear, good Renee," whispered Villefort, as he gazed with unutterable tenderness on the lovely speaker.	"Dear, good Renee," whispered Villefort, as he gazed with unutterable tenderness on the lovely speaker.	false	1060.82	1066.78	20.326248
7117_86710_000056_000000	"Let us hope, my child," cried the marquis, "that M. de Villefort may prove the moral and political physician of this province; if so, he will have achieved a noble work."	"Let us hope, my child," cried the marquis, "that m de Villefort may prove the moral and political physician of this province; if so, he will have achieved a noble work."	false	1068.29	1078.42	21.718716
7117_86710_000057_000000	"And one which will go far to efface the recollection of his father's conduct," added the incorrigible marquise.	"And one which will go far to efface the recollection of his father's conduct," added the incorrigible marquise.	true	1079.03	1085.44	23.953667
7117_86710_000058_000000	"Madame," replied Villefort, with a mournful smile, "I have already had the honor to observe that my father has--at least, I hope so--abjured his past errors, and that he is, at the present moment, a firm and zealous friend to religion and order--a better royalist, possibly, than his son; for he has to atone for past dereliction, while I have no other impulse than warm, decided preference and conviction." Having made this well-turned speech, Villefort looked carefully around to mark the effect of his oratory, much as he would have done had he been addressing the bench in open court.	"Madame," replied Villefort, with a mournful smile, "I have already had the honor to observe that my father has-at least, I hope so-abjured his past errors, and that he is, at the present moment, a firm and zealous friend to religion and order-a better royalist, possibly, than his son; for he has to atone for past dereliction, while I have no other impulse than warm, decided preference and conviction." Having made this well turned speech, Villefort looked carefully around to mark the effect of his oratory, much as he would have done had he been addressing the bench in open court.	false	1087.22	1121.59	20.995474
7117_86710_000059_000000	"Do you know, my dear Villefort," cried the Comte de Salvieux, "that is exactly what I myself said the other day at the Tuileries, when questioned by his majesty's principal chamberlain touching the singularity of an alliance between the son of a Girondin and the daughter of an officer of the Duc de Conde; and I assure you he seemed fully to comprehend that this mode of reconciling political differences was based upon sound and excellent principles.	"Do you know, my dear Villefort," cried the Comte de Salvieux, "that is exactly what I myself said the other day at the Tuileries, when questioned by his majesty's principal chamberlain touching the singularity of an alliance between the son of a Girondin and the daughter of an officer of the Duc de Conde; and I assure you he seemed fully to comprehend that this mode of reconciling political differences was based upon sound and excellent principles.	false	1123.43	1150.36	21.287975
7117_86710_000059_000001	Then the king, who, without our suspecting it, had overheard our conversation, interrupted us by saying, 'Villefort'--observe that the king did not pronounce the word Noirtier, but, on the contrary, placed considerable emphasis on that of Villefort--'Villefort,' said his majesty, 'is a young man of great judgment and discretion, who will be sure to make a figure in his profession; I like him much, and it gave me great pleasure to hear that he was about to become the son-in-law of the Marquis and Marquise de Saint-Meran.	Then the king, who, without our suspecting it, had overheard our conversation, interrupted us by saying, 'Villefort'--observe that the king did not pronounce the word Noirtier, but, on the contrary, placed considerable emphasis on that of Villefort-'Villefort,' said his majesty, 'is a young man of great judgment and discretion, who will be sure to make a figure in his profession; I like him much, and it gave me great pleasure to hear that he was about to become the son in law of the Marquis and Marquise de Saint Meran.	false	1150.97	1184.94	21.800919
7117_86710_000059_000002	I should myself have recommended the match, had not the noble marquis anticipated my wishes by requesting my consent to it.'"	I should myself have recommended the match, had not the noble marquis anticipated my wishes by requesting my consent to it.'"	true	1184.94	1191.85	22.410889
7117_86710_000060_000000	"Is it possible the king could have condescended so far as to express himself so favorably of me?" asked the enraptured Villefort.	"Is it possible the king could have condescended so far as to express himself so favorably of me?" asked the enraptured Villefort.	false	1193.36	1201.74	21.125988
7117_86710_000061_000000	"I give you his very words; and if the marquis chooses to be candid, he will confess that they perfectly agree with what his majesty said to him, when he went six months ago to consult him upon the subject of your espousing his daughter."	"I give you his very words; and if the marquis chooses to be candid, he will confess that they perfectly agree with what his majesty said to him, when he went six months ago to consult him upon the subject of your espousing his daughter."	false	1201.74	1214.86	20.921856
7117_86710_000062_000000	"That is true," answered the marquis.	"That is true," answered the marquis.	true	1215.38	1217.68	23.714384
7117_86710_000063_000000	"How much do I owe this gracious prince!	"How much do I owe this gracious prince!	true	1218.47	1220.74	23.356062
7117_86710_000063_000001	What is there I would not do to evince my earnest gratitude!"	What is there I would not do to evince my earnest gratitude!"	true	1220.81	1224.73	20.221127
7117_86710_000064_000000	"That is right," cried the marquise.	"That is right," cried the marquise.	true	1225.67	1227.51	23.139153
7117_86710_000064_000001	"I love to see you thus.	"I love to see you thus.	true	1227.51	1229.05	21.85092
7117_86710_000064_000002	Now, then, were a conspirator to fall into your hands, he would be most welcome."	Now, then, were a conspirator to fall into your hands, he would be most welcome."	true	1229.27	1234.3	21.16981
7117_86710_000065_000000	"For my part, dear mother." interposed Renee, "I trust your wishes will not prosper, and that Providence will only permit petty offenders, poor debtors, and miserable cheats to fall into M. de Villefort's hands,--then I shall be contented."	"For my part, dear mother." interposed Renee, "I trust your wishes will not prosper, and that Providence will only permit petty offenders, poor debtors, and miserable cheats to fall into m de Villefort's hands,--then I shall be contented."	false	1235.21	1249.66	22.38838
7117_86710_000066_000000	"Just the same as though you prayed that a physician might only be called upon to prescribe for headaches, measles, and the stings of wasps, or any other slight affection of the epidermis.	"Just the same as though you prayed that a physician might only be called upon to prescribe for headaches, measles, and the stings of wasps, or any other slight affection of the epidermis.	true	1251.41	1260.76	16
7117_86710_000066_000001	If you wish to see me the king's attorney, you must desire for me some of those violent and dangerous diseases from the cure of which so much honor redounds to the physician."	If you wish to see me the king's attorney, you must desire for me some of those violent and dangerous diseases from the cure of which so much honor redounds to the physician."	true	1261.34	1271.23	20
7117_86710_000067_000000	At this moment, and as though the utterance of Villefort's wish had sufficed to effect its accomplishment, a servant entered the room, and whispered a few words in his ear.	At this moment, and as though the utterance of Villefort's wish had sufficed to effect its accomplishment, a servant entered the room, and whispered a few words in his ear.	false	1273.37	1283.85	22.034887
7117_86710_000067_000001	Villefort immediately rose from table and quitted the room upon the plea of urgent business; he soon, however, returned, his whole face beaming with delight.	Villefort immediately rose from table and quitted the room upon the plea of urgent business; he soon, however, returned, his whole face beaming with delight.	false	1283.85	1293.19	20.545364
7117_86710_000067_000002	Renee regarded him with fond affection; and certainly his handsome features, lit up as they then were with more than usual fire and animation, seemed formed to excite the innocent admiration with which she gazed on her graceful and intelligent lover.	Renee regarded him with fond affection; and certainly his handsome features, lit up as they then were with more than usual fire and animation, seemed formed to excite the innocent admiration with which she gazed on her graceful and intelligent lover.	true	1293.59	1308.94	20.450047
7117_86710_000068_000000	"You were wishing just now," said Villefort, addressing her, "that I were a doctor instead of a lawyer.	"You were wishing just now," said Villefort, addressing her, "that I were a doctor instead of a lawyer.	false	1309.43	1315.18	21.537374
7117_86710_000068_000001	Well, I at least resemble the disciples of Esculapius in one thing--that of not being able to call a day my own, not even that of my betrothal."	Well, I at least resemble the disciples of Esculapius in one thing-that of not being able to call a day my own, not even that of my betrothal."	true	1315.43	1325.14	22.002104
7117_86710_000069_000000	"And wherefore were you called away just now?" asked Mademoiselle de Saint-Meran, with an air of deep interest.	"And wherefore were you called away just now?" asked Mademoiselle de Saint Meran, with an air of deep interest.	false	1326.5	1332.28	22.055132
7117_86710_000070_000000	"For a very serious matter, which bids fair to make work for the executioner."	"For a very serious matter, which bids fair to make work for the executioner."	true	1333.1	1337.32	21.89023
7117_86710_000071_000000	"How dreadful!" exclaimed Renee, turning pale.	"How dreadful!" exclaimed Renee, turning pale.	true	1337.78	1341.07	24.064095
7117_86710_000072_000000	"Is it possible?" burst simultaneously from all who were near enough to the magistrate to hear his words.	"Is it possible?" burst simultaneously from all who were near enough to the magistrate to hear his words.	true	1341.92	1347.55	24
7117_86710_000073_000000	"Why, if my information prove correct, a sort of Bonaparte conspiracy has just been discovered."	"Why, if my information prove correct, a sort of Bonaparte conspiracy has just been discovered."	true	1348.97	1354.84	22.867884
7117_86710_000074_000000	"Can I believe my ears?" cried the marquise.	"Can I believe my ears?" cried the marquise.	true	1355.36	1358.14	21.25142
7117_86710_000075_000000	"I will read you the letter containing the accusation, at least," said Villefort:--	"I will read you the letter containing the accusation, at least," said Villefort:--	false	1358.99	1365.12	19.692642
7117_86710_000076_000000	"'The king's attorney is informed by a friend to the throne and the religions institutions of his country, that one named Edmond Dantes, mate of the ship Pharaon, this day arrived from Smyrna, after having touched at Naples and Porto-Ferrajo, has been the bearer of a letter from Murat to the usurper, and again taken charge of another letter from the usurper to the Bonapartist club in Paris.	"'The king's attorney is informed by a friend to the throne and the religions institutions of his country, that one named Edmond Dantes, mate of the ship Pharaon, this day arrived from Smyrna, after having touched at Naples and Porto Ferrajo, has been the bearer of a letter from Murat to the usurper, and again taken charge of another letter from the usurper to the Bonapartist club in Paris.	false	1365.12	1387.9	21.407887
7117_86710_000076_000001	Ample corroboration of this statement may be obtained by arresting the above-mentioned Edmond Dantes, who either carries the letter for Paris about with him, or has it at his father's abode.	Ample corroboration of this statement may be obtained by arresting the above mentioned Edmond Dantes, who either carries the letter for Paris about with him, or has it at his father's abode.	true	1389.23	1400.11	20.159473
7117_86710_000076_000002	Should it not be found in the possession of father or son, then it will assuredly be discovered in the cabin belonging to the said Dantes on board the Pharaon.'"	Should it not be found in the possession of father or son, then it will assuredly be discovered in the cabin belonging to the said Dantes on board the Pharaon.'"	true	1400.3	1409.38	19.97035
7117_86710_000077_000000	"But," said Renee, "this letter, which, after all, is but an anonymous scrawl, is not even addressed to you, but to the king's attorney."	"But," said Renee, "this letter, which, after all, is but an anonymous scrawl, is not even addressed to you, but to the king's attorney."	true	1411.52	1419.1	22.663517
7117_86710_000078_000000	"True; but that gentleman being absent, his secretary, by his orders, opened his letters; thinking this one of importance, he sent for me, but not finding me, took upon himself to give the necessary orders for arresting the accused party."	"True; but that gentleman being absent, his secretary, by his orders, opened his letters; thinking this one of importance, he sent for me, but not finding me, took upon himself to give the necessary orders for arresting the accused party."	true	1420.13	1434.61	22.616053
7117_86710_000079_000000	"Then the guilty person is absolutely in custody?" said the marquise.	"Then the guilty person is absolutely in custody?" said the marquise.	true	1435.85	1439.91	22.364325
7117_86710_000080_000000	"Nay, dear mother, say the accused person.	"Nay, dear mother, say the accused person.	false	1439.91	1443.43	23.861025
7117_86710_000080_000001	You know we cannot yet pronounce him guilty."	You know we cannot yet pronounce him guilty."	true	1443.71	1446.13	24.611418
7117_86710_000081_000000	"He is in safe custody," answered Villefort; "and rely upon it, if the letter is found, he will not be likely to be trusted abroad again, unless he goes forth under the especial protection of the headsman."	"He is in safe custody," answered Villefort; "and rely upon it, if the letter is found, he will not be likely to be trusted abroad again, unless he goes forth under the especial protection of the headsman."	false	1447.25	1458.94	22.795183
7117_86710_000082_000000	"And where is the unfortunate being?" asked Renee.	"And where is the unfortunate being?" asked Renee.	true	1459.82	1462.84	21.024712
7117_86710_000083_000000	"He is at my house."	"He is at my house."	true	1463.51	1464.94	19.746128
7117_86710_000084_000000	"Come, come, my friend," interrupted the marquise, "do not neglect your duty to linger with us.	"Come, come, my friend," interrupted the marquise, "do not neglect your duty to linger with us.	true	1465.67	1471.63	23.762045
7117_86710_000084_000001	You are the king's servant, and must go wherever that service calls you."	You are the king's servant, and must go wherever that service calls you."	true	1471.7	1475.16	22.401575
7117_86710_000085_000000	"O Villefort!" cried Renee, clasping her hands, and looking towards her lover with piteous earnestness, "be merciful on this the day of our betrothal."	"O Villefort!" cried Renee, clasping her hands, and looking towards her lover with piteous earnestness, "be merciful on this the day of our betrothal."	false	1475.16	1485.31	21.27788
7117_86710_000086_000000	The young man passed round to the side of the table where the fair pleader sat, and leaning over her chair said tenderly,--	The young man passed round to the side of the table where the fair pleader sat, and leaning over her chair said tenderly,--	true	1486.01	1492.48	22.228783
7117_86710_000087_000000	"To give you pleasure, my sweet Renee, I promise to show all the lenity in my power; but if the charges brought against this Bonapartist hero prove correct, why, then, you really must give me leave to order his head to be cut off." Renee shuddered.	"To give you pleasure, my sweet Renee, I promise to show all the lenity in my power; but if the charges brought against this Bonapartist hero prove correct, why, then, you really must give me leave to order his head to be cut off." Renee shuddered.	true	1493	1507.36	21.630146
7117_86710_000088_000000	"Never mind that foolish girl, Villefort," said the marquise.	"Never mind that foolish girl, Villefort," said the marquise.	false	1507.94	1511.71	21.602104
7117_86710_000088_000001	"She will soon get over these things." So saying, Madame de Saint-Meran extended her dry bony hand to Villefort, who, while imprinting a son-in-law's respectful salute on it, looked at Renee, as much as to say, "I must try and fancy 'tis your dear hand I kiss, as it should have been."	"She will soon get over these things." So saying, Madame de Saint Meran extended her dry bony hand to Villefort, who, while imprinting a son in law's respectful salute on it, looked at Renee, as much as to say, "I must try and fancy 'tis your dear hand I kiss, as it should have been."	false	1512.05	1529.83	20.92151
7117_86710_000089_000000	"These are mournful auspices to accompany a betrothal," sighed poor Renee.	"These are mournful auspices to accompany a betrothal," sighed poor Renee.	true	1530.8	1534.96	22.940138
7117_86710_000090_000000	"Upon my word, child!" exclaimed the angry marquise, "your folly exceeds all bounds.	"Upon my word, child!" exclaimed the angry marquise, "your folly exceeds all bounds.	true	1535.03	1541.25	20.025988
7117_86710_000090_000001	I should be glad to know what connection there can possibly be between your sickly sentimentality and the affairs of the state!"	I should be glad to know what connection there can possibly be between your sickly sentimentality and the affairs of the state!"	true	1541.25	1547.8	21
7117_86710_000091_000000	"O mother!" murmured Renee.	"O mother!" murmured Renee.	true	1548.32	1550.28	27.438608
7117_86710_000092_000000	"Nay, madame, I pray you pardon this little traitor.	"Nay, madame, I pray you pardon this little traitor.	false	1550.28	1554.46	26.104618
7117_86710_000092_000001	I promise you that to make up for her want of loyalty, I will be most inflexibly severe;" then casting an expressive glance at his betrothed, which seemed to say, "Fear not, for your dear sake my justice shall be tempered with mercy," and receiving a sweet and approving smile in return, Villefort quitted the room.	I promise you that to make up for her want of loyalty, I will be most inflexibly severe;" then casting an expressive glance at his betrothed, which seemed to say, "Fear not, for your dear sake my justice shall be tempered with mercy," and receiving a sweet and approving smile in return, Villefort quitted the room.	false	1554.53	1574.94	21.74807
7117_86710_000093_000000	Chapter 7.	Chapter seven.	false	1574.94	1575	-20
7117_86710_000093_000001	The Examination.	The Examination.	false	1575	1575.06	-20
7117_86710_000094_000000	No sooner had Villefort left the salon, than he assumed the grave air of a man who holds the balance of life and death in his hands.	No sooner had Villefort left the salon, than he assumed the grave air of a man who holds the balance of life and death in his hands.	false	1575.06	1575.93	100
7117_86710_000094_000001	Now, in spite of the nobility of his countenance, the command of which, like a finished actor, he had carefully studied before the glass, it was by no means easy for him to assume an air of judicial severity.	Now, in spite of the nobility of his countenance, the command of which, like a finished actor, he had carefully studied before the glass, it was by no means easy for him to assume an air of judicial severity.	false	1575.93	1577.13	27.157581
7117_86710_000094_000002	Except the recollection of the line of politics his father had adopted, and which might interfere, unless he acted with the greatest prudence, with his own career, Gerard de Villefort was as happy as a man could be.	Except the recollection of the line of politics his father had adopted, and which might interfere, unless he acted with the greatest prudence, with his own career, Gerard de Villefort was as happy as a man could be.	false	1577.13	1578.36	-20
7117_86710_000094_000003	Already rich, he held a high official situation, though only twenty-seven. He was about to marry a young and charming woman, whom he loved, not passionately, but reasonably, as became a deputy attorney of the king; and besides her personal attractions, which were very great, Mademoiselle de Saint-Meran's family possessed considerable political influence, which they would, of course, exert in his favor.	Already rich, he held a high official situation, though only twenty seven. He was about to marry a young and charming woman, whom he loved, not passionately, but reasonably, as became a deputy attorney of the king; and besides her personal attractions, which were very great, Mademoiselle de Saint Meran's family possessed considerable political influence, which they would, of course, exert in his favor.	false	1578.36	1580.46	13
7117_86710_000094_000004	The dowry of his wife amounted to fifty thousand crowns, and he had, besides, the prospect of seeing her fortune increased to half a million at her father's death.	The dowry of his wife amounted to fifty thousand crowns, and he had, besides, the prospect of seeing her fortune increased to half a million at her father's death.	false	1580.46	1581.39	-20
7117_86710_000094_000005	These considerations naturally gave Villefort a feeling of such complete felicity that his mind was fairly dazzled in its contemplation.	These considerations naturally gave Villefort a feeling of such complete felicity that his mind was fairly dazzled in its contemplation.	false	1581.39	1582.05	-20
