8875_293959_000000_000000	Durham snatched the handkerchief.	Durham snatched the handkerchief.	false	0	2.655	20.68737
8875_293959_000064_000000	"Five hundred a year, and the like amount to Mrs. Gilroy."	"Five hundred a year, and the like amount to mrs Gilroy."	true	785.96	789.28	19.503305
8875_293959_000065_000000	"Indeed, Mr. Durham; and why to Mrs. Gilroy?"	"Indeed, mr Durham; and why to mrs Gilroy?"	true	789.62	792.43	21.422836
8875_293959_000066_000000	"Bernard looks upon her as a second mother," said Julius, hastily; "at least he told me so.	"Bernard looks upon her as a second mother," said Julius, hastily; "at least he told me so.	true	792.62	797.95	18.902637
8875_293959_000066_000001	Of course, I know nothing about her.	Of course, I know nothing about her.	false	798.2	800.1	21.644747
8875_293959_000066_000002	I hope, however, she will reappear to claim her legacy."	I hope, however, she will reappear to claim her legacy."	true	800.1	803.47	21.281456
8875_293959_000067_000000	"There may be no chance for anyone to claim legacies for a long time," said Miss Berengaria, tartly.	"There may be no chance for anyone to claim legacies for a long time," said Miss Berengaria, tartly.	true	804.32	809.71	18
8875_293959_000067_000001	"I hope Bernard will not die."	"I hope Bernard will not die."	true	809.81	811.63	19.678947
8875_293959_000068_000000	"I hope so also," said Alice, fervently; and she really meant it, even though she was thinking of the young scamp upstairs.	"I hope so also," said Alice, fervently; and she really meant it, even though she was thinking of the young scamp upstairs.	true	811.76	818.02	15
8875_293959_000069_000000	Julius shook his head.	Julius shook his head.	true	818.48	819.945	20.554192
8875_293959_000069_000001	"Dr. Payne assures me he cannot live.	"dr Payne assures me he cannot live.	true	819.945	822.4	21.011866
8875_293959_000069_000002	I am glad he has decided to make this will."	I am glad he has decided to make this will."	true	822.59	824.92	22.62058
8875_293959_000070_000000	"Yes, you would be," said Miss Berengaria ironically, and she might have been rash enough to say more, but that Durham intervened.	"Yes, you would be," said Miss Berengaria ironically, and she might have been rash enough to say more, but that Durham intervened.	true	825.2	832.93	22.38475
8875_293959_000071_000000	"I hope none of the servants know that Bernard is here?"	"I hope none of the servants know that Bernard is here?"	true	833.42	836.08	20.167212
8875_293959_000072_000000	"They all know by this time," said Miss Berengaria, calmly.	"They all know by this time," said Miss Berengaria, calmly.	true	836.48	839.77	20
8875_293959_000072_000001	"We kept the matter from them as long as possible; and with Alice I waited on Bernard myself.	"We kept the matter from them as long as possible; and with Alice I waited on Bernard myself.	true	839.84	845.145	20.410784
8875_293959_000072_000002	But Jerry told the servants as well as Mr. Beryl."	But Jerry told the servants as well as mr Beryl."	true	845.145	848.14	21.533533
8875_293959_000073_000000	"Will the knowledge go any further?" said the lawyer, keeping up the comedy.	"Will the knowledge go any further?" said the lawyer, keeping up the comedy.	true	848.15	851.88	19.869253
8875_293959_000073_000001	"I don't want Bernard arrested."	"I don't want Bernard arrested."	true	851.88	853.78	21.702904
8875_293959_000074_000000	"My servants will not speak under pain of dismissal, if that is what you mean," said Miss Plantagenet, sharply.	"My servants will not speak under pain of dismissal, if that is what you mean," said Miss Plantagenet, sharply.	false	854.03	860.4	20
8875_293959_000074_000001	"As to Jerry----"	"As to Jerry----"	true	860.4	861.61	19
8875_293959_000075_000000	"He is one of your servants also," said Beryl, softly; "but I have some influence over Jerry, and I will see that he holds his tongue."	"He is one of your servants also," said Beryl, softly; "but I have some influence over Jerry, and I will see that he holds his tongue."	true	861.83	869.11	18.721079
8875_293959_000076_000000	"You can take him away altogether," snapped Miss Berengaria.	"You can take him away altogether," snapped Miss Berengaria.	false	869.36	872.65	21.906206
8875_293959_000076_000001	"I don't approve of having boys with long tongues in my house.	"I don't approve of having boys with long tongues in my house.	true	872.75	876.19	21.786896
8875_293959_000076_000002	Jerry had no right to be hanging round the garden when Bernard arrived, much less to write and tell you that he was here."	Jerry had no right to be hanging round the garden when Bernard arrived, much less to write and tell you that he was here."	true	876.47	882.7	20
8875_293959_000077_000000	"He thought I was anxious."	"He thought I was anxious."	true	883.04	884.5	19.112696
8875_293959_000078_000000	"I daresay you are," said the old dame, "to see Bernard hanged."	"I daresay you are," said the old dame, "to see Bernard hanged."	true	884.69	888.4	20.850296
8875_293959_000079_000000	"Indeed, no," replied Julius, earnestly.	"Indeed, no," replied Julius, earnestly.	true	888.8	891.46	19.649567
8875_293959_000079_000001	"I wish him to die in peace."	"I wish him to die in peace."	true	891.5	893.26	22.505276
8875_293959_000080_000000	"Having got all you can out of him," muttered Miss Berengaria, rubbing her nose.	"Having got all you can out of him," muttered Miss Berengaria, rubbing her nose.	true	893.9	898.24	17
8875_293959_000080_000001	"Well," she added sharply, "are we to go upstairs and witness this will?"	"Well," she added sharply, "are we to go upstairs and witness this will?"	true	898.58	902.83	22.323324
8875_293959_000081_000000	"Yes!	"Yes!	true	903.02	903.645	26.740261
8875_293959_000081_000001	Mr. Beryl can't witness as he is the residuary legatee.	mr Beryl can't witness as he is the residuary legatee.	true	903.645	907.18	14
8875_293959_000081_000002	Nor can Miss Alice, since she is mentioned in the will.	Nor can Miss Alice, since she is mentioned in the will.	false	907.76	910.75	17.702204
8875_293959_000081_000003	But you, Miss Plantagenet, and----"	But you, Miss Plantagenet, and----"	true	910.85	913.3	23.54577
8875_293959_000082_000000	"And yourself?"	"And yourself?"	true	913.4	914.62	20.752453
8875_293959_000083_000000	"No.	"no	true	914.9	915.39	49
8875_293959_000083_000001	I am the executor."	I am the executor."	true	915.39	916.66	21
8875_293959_000084_000000	"Then Maria can witness the will.	"Then Maria can witness the will.	false	917.24	919.05	19
8875_293959_000084_000001	She is my own maid and can be depended upon.	She is my own maid and can be depended upon.	true	919.05	921.52	19
8875_293959_000084_000002	Are you coming, Julius?"	Are you coming, Julius?"	true	921.77	923.2	19.665339
8875_293959_000085_000000	"Thank you, no," said Beryl, with a gentle smile.	"Thank you, no," said Beryl, with a gentle smile.	false	923.45	926.5	21
8875_293959_000085_000001	"I think as I have such a large interest in the will that it is better I should remain away.	"I think as I have such a large interest in the will that it is better I should remain away.	true	926.63	931.21	16
8875_293959_000085_000002	I shall stay here.	I shall stay here.	true	931.28	932.65	20.968765
8875_293959_000085_000003	And you, Miss Malleson?"	And you, Miss Malleson?"	true	932.72	934.24	17.814716
8875_293959_000086_000000	"I shall stop also," said Alice in reply to a look from Durham.	"I shall stop also," said Alice in reply to a look from Durham.	false	934.7	938.88	21.942142
8875_293959_000086_000001	"You go up with Mr. Durham, aunt."	"You go up with mr Durham, aunt."	true	938.88	940.78	20.054167
8875_293959_000087_000000	"Come along then," said Miss Berengaria, hastening out of the room; "the sooner this is over the better.	"Come along then," said Miss Berengaria, hastening out of the room; "the sooner this is over the better.	true	940.85	946.35	20.566786
8875_293959_000087_000001	Ugh!	Ugh!	false	946.35	946.8	-20
8875_293959_000087_000002	I hate wills.	I hate wills.	true	946.8	948.28	18
8875_293959_000087_000003	They put me in mind of the family vault, and I can't last long now."	They put me in mind of the family vault, and I can't last long now."	true	948.56	952.75	18.018839
8875_293959_000088_000000	The lawyer followed, and Miss Berengaria led him up a narrow stair which conducted to the turret-room in which the false Bernard was lying.	The lawyer followed, and Miss Berengaria led him up a narrow stair which conducted to the turret room in which the false Bernard was lying.	true	952.85	960.28	15
8875_293959_000088_000001	At the foot of this stair she stopped.	At the foot of this stair she stopped.	true	960.74	962.94	20.570827
8875_293959_000088_000002	"Durham," she said abruptly, "do you mean to let this man execute this false will?"	"Durham," she said abruptly, "do you mean to let this man execute this false will?"	false	962.94	968.05	20.461578
8875_293959_000089_000000	"Yes.	"Yes.	true	968.42	969	17.323566
8875_293959_000089_000001	I wish Julius Beryl to commit himself beyond recall."	I wish Julius Beryl to commit himself beyond recall."	true	969	972.16	20
8875_293959_000090_000000	"What will you do then?"	"What will you do then?"	true	972.71	973.93	21.898346
8875_293959_000091_000000	"I can't say.	"I can't say.	true	974.24	975.285	22
8875_293959_000091_000001	One thing at a time.	One thing at a time.	true	975.285	976.57	20
8875_293959_000091_000002	When the will is executed we will watch Beryl's attitude.	When the will is executed we will watch Beryl's attitude.	true	976.82	980.085	18.509493
8875_293959_000091_000003	Something will happen," added Durham, thinking of the incriminating handkerchief in his possession.	Something will happen," added Durham, thinking of the incriminating handkerchief in his possession.	true	980.085	985	16
8875_293959_000092_000000	"Yes," said Miss Berengaria, climbing the stairs with a briskness surprising in a woman of her years, "something will happen.	"Yes," said Miss Berengaria, climbing the stairs with a briskness surprising in a woman of her years, "something will happen.	true	985.1	992.05	20
8875_293959_000092_000001	This poor foresworn wretch upstairs will die."	This poor foresworn wretch upstairs will die."	true	992.48	995.26	21.551132
8875_293959_000093_000000	"But I thought you said----"	"But I thought you said----"	true	995.63	996.97	19.919558
8875_293959_000094_000000	"I know I did.	"I know I did.	true	997.13	998.31	21.919914
8875_293959_000094_000001	I could help him back to life with careful nursing, and I wish to do so, since I think there is good in the rascal.	I could help him back to life with careful nursing, and I wish to do so, since I think there is good in the rascal.	true	998.31	1004.41	20
8875_293959_000094_000002	But Beryl, having had the will made, will--kill him.	But Beryl, having had the will made, will-kill him.	true	1004.54	1008.07	21.849522
8875_293959_000094_000003	Yes," added she, nodding, "there will be a repetition of the crime.	Yes," added she, nodding, "there will be a repetition of the crime.	true	1008.32	1012.48	22.747637
8875_293959_000094_000004	I believe Beryl himself killed Simon--the old--no, he is dead.	I believe Beryl himself killed Simon-the old-no, he is dead.	true	1012.52	1017.61	21.205532
8875_293959_000094_000005	Let us be just."	Let us be just."	true	1018.04	1019.35	23.816305
8875_293959_000095_000000	"What makes you think Julius Beryl killed Sir Simon?"	"What makes you think Julius Beryl killed Sir Simon?"	true	1020.05	1022.92	17
8875_293959_000096_000000	"Nothing," snapped Miss Berengaria; "he looks like a murderer." Durham smiled to himself as he went up the stairs and wondered at her acuteness in thus hitting the nail on the head.	"Nothing," snapped Miss Berengaria; "he looks like a murderer." Durham smiled to himself as he went up the stairs and wondered at her acuteness in thus hitting the nail on the head.	false	1023.32	1033.12	20.613611
8875_293959_000096_000001	When the will was executed Julius certainly might attempt to get rid of the instrument he had used, as he had rid himself of Sir Simon, but in the house of Miss Berengaria this would be a more difficult matter.	When the will was executed Julius certainly might attempt to get rid of the instrument he had used, as he had rid himself of Sir Simon, but in the house of Miss Berengaria this would be a more difficult matter.	true	1033.49	1045.09	18
8875_293959_000096_000002	"And if he tries anything of that sort on," thought Durham, "I'll have him arrested at once for the first murder.	"And if he tries anything of that sort on," thought Durham, "I'll have him arrested at once for the first murder.	true	1045.31	1051.2	20
8875_293959_000096_000003	Meantime, let us see how far he will proceed with the plot."	Meantime, let us see how far he will proceed with the plot."	false	1051.2	1054.75	18.35291
8875_293959_000097_000000	The young man lying in bed was very weak.	The young man lying in bed was very weak.	true	1055.06	1057.52	21.329159
8875_293959_000097_000001	His face was thin and pale and his scrubby beard was now longer.	His face was thin and pale and his scrubby beard was now longer.	true	1057.52	1061.23	18
8875_293959_000097_000002	He looked haggard and anxious, and started up when the door opened.	He looked haggard and anxious, and started up when the door opened.	true	1061.33	1064.83	21
8875_293959_000097_000003	"It is only Mr. Durham and I, Bernard," said Miss Berengaria in a soft voice.	"It is only mr Durham and I, Bernard," said Miss Berengaria in a soft voice.	false	1064.84	1070.44	20.78097
8875_293959_000097_000004	"We have come about the will."	"We have come about the will."	true	1070.75	1072.36	21.827559
8875_293959_000098_000000	Michael raised himself on his elbow.	Michael raised himself on his elbow.	true	1072.67	1074.94	21.235947
8875_293959_000098_000001	"Have you got it?" he asked.	"Have you got it?" he asked.	true	1074.94	1076.56	23.702736
8875_293959_000099_000000	"Yes," said Durham, producing the document.	"Yes," said Durham, producing the document.	true	1077.05	1079.59	21.704659
8875_293959_000099_000001	"Miss Plantagenet, will you please call up your maid to witness it?"	"Miss Plantagenet, will you please call up your maid to witness it?"	true	1079.6	1083.69	21.558575
8875_293959_000100_000000	While the old lady rang the bell and Michael read the will, the lawyer looked closely at the invalid.	While the old lady rang the bell and Michael read the will, the lawyer looked closely at the invalid.	false	1083.69	1089.78	19.201155
8875_293959_000100_000001	He was wonderfully like Bernard, and but that Durham knew that the real Gore was in another place he might have been deceived.	He was wonderfully like Bernard, and but that Durham knew that the real Gore was in another place he might have been deceived.	false	1089.78	1096.45	20
8875_293959_000100_000002	Michael was clever enough to feign illness as an excuse for talking little, as he evidently dreaded to say much lest Alice or Durham should question his identity.	Michael was clever enough to feign illness as an excuse for talking little, as he evidently dreaded to say much lest Alice or Durham should question his identity.	true	1096.82	1105.72	15
8875_293959_000100_000003	The whole deception was cleverly carried out.	The whole deception was cleverly carried out.	true	1106.21	1108.78	21.355146
8875_293959_000100_000004	Michael even attempted to account for any difference in his signature.	Michael even attempted to account for any difference in his signature.	true	1108.85	1112.53	18.078814
8875_293959_000101_000000	"I feel so weak I can't write as firmly as I used to," he said, when the maid entered the room.	"I feel so weak I can't write as firmly as I used to," he said, when the maid entered the room.	true	1112.84	1117.77	15
8875_293959_000101_000001	"So you must not be surprised if my signature is unlike my usual one."	"So you must not be surprised if my signature is unlike my usual one."	false	1117.77	1121.83	19.97118
8875_293959_000102_000000	"If it is as good as the writing in your letter, I shan't complain," said Durham, wheeling a small table near to the bed.	"If it is as good as the writing in your letter, I shan't complain," said Durham, wheeling a small table near to the bed.	true	1122.59	1128.37	16
8875_293959_000103_000000	Michael looked at him sharply, and seemed relieved by this remark.	Michael looked at him sharply, and seemed relieved by this remark.	false	1128.62	1132.18	19.656616
8875_293959_000103_000001	He evidently thought that all was well and safe, and heard Durham read the will with closed eyes.	He evidently thought that all was well and safe, and heard Durham read the will with closed eyes.	true	1132.18	1137.16	16
8875_293959_000103_000002	Then, raising himself on his elbow, he signed his name with apparent difficulty.	Then, raising himself on his elbow, he signed his name with apparent difficulty.	true	1137.53	1142.05	18
8875_293959_000103_000003	It was wonderfully like the signature of Bernard.	It was wonderfully like the signature of Bernard.	true	1142.57	1145.26	19.797659
8875_293959_000103_000004	Miss Plantagenet and Maria appended their signatures as witnesses.	Miss Plantagenet and Maria appended their signatures as witnesses.	true	1145.45	1149.43	15
8875_293959_000103_000005	Then Durham put the will into an envelope and prepared to go down.	Then Durham put the will into an envelope and prepared to go down.	true	1149.59	1153.27	21
8875_293959_000103_000006	Michael stopped him.	Michael stopped him.	true	1153.52	1154.86	22.456997
8875_293959_000104_000000	"Mark," he said, using the name Bernard usually called the lawyer by, "don't you think I am looking better?"	"Mark," he said, using the name Bernard usually called the lawyer by, "don't you think I am looking better?"	true	1155.17	1160.83	21.231432
8875_293959_000105_000000	"I think you are very ill," said Durham, gently.	"I think you are very ill," said Durham, gently.	true	1161.47	1164.16	18.922642
8875_293959_000106_000000	"But you don't think I'll die?"	"But you don't think I'll die?"	true	1164.53	1166.08	19.606443
8875_293959_000107_000000	"I hope not.	"I hope not.	true	1166.6	1167.6	24.094318
8875_293959_000107_000001	With nursing you may get better."	With nursing you may get better."	true	1167.6	1169.32	22.832453
8875_293959_000108_000000	Michael's face assumed an expression of terror.	Michael's face assumed an expression of terror.	true	1169.75	1172.44	20.85405
8875_293959_000108_000001	"I won't die," he moaned, sinking back.	"I won't die," he moaned, sinking back.	true	1172.45	1174.95	22.867277
8875_293959_000108_000002	"I want to get well and enjoy myself."	"I want to get well and enjoy myself."	true	1174.95	1177.09	19.134678
8875_293959_000109_000000	"Hush! hush!" said Miss Berengaria, folding the clothes round him, "no more of this unhealthy talk.	"Hush! hush!" said Miss Berengaria, folding the clothes round him, "no more of this unhealthy talk.	true	1177.4	1183.04	19.261679
8875_293959_000109_000001	You will get well."	You will get well."	true	1183.04	1184.11	20.292229
8875_293959_000110_000000	With Durham they left the room while Maria remained to attend on the patient.	With Durham they left the room while Maria remained to attend on the patient.	true	1184.33	1188.46	16
8875_293959_000110_000001	"Well," said Durham, in a low voice, "you see he expects to get well, now that he has signed the will.	"Well," said Durham, in a low voice, "you see he expects to get well, now that he has signed the will.	false	1188.92	1194.37	21.195147
8875_293959_000110_000002	I daresay he will disappear.	I daresay he will disappear.	true	1194.71	1196.65	23.000366
8875_293959_000110_000003	The body of Bernard will be found, and Michael will share the estate with Beryl."	The body of Bernard will be found, and Michael will share the estate with Beryl."	true	1196.96	1201.06	18
8875_293959_000111_000000	"I don't think so," said Miss Plantagenet, grimly.	"I don't think so," said Miss Plantagenet, grimly.	true	1201.49	1204.21	19
8875_293959_000111_000001	"Beryl will now murder this poor reptile, and take all the money to himself."	"Beryl will now murder this poor reptile, and take all the money to himself."	true	1204.34	1208.62	20.591557
8875_293959_000112_000000	"I fear his expectations will be disappointed," said the lawyer, dryly.	"I fear his expectations will be disappointed," said the lawyer, dryly.	true	1209.08	1212.99	14
8875_293959_000113_000000	CHAPTER XX	CHAPTER twenty	false	1212.99	1213.02	-20
8875_293959_000114_000000	A CONFESSION	A CONFESSION	false	1213.02	1213.05	-20
8875_293959_000115_000000	At the request of Miss Berengaria, Durham stopped to dinner; but not even the necessity of keeping Julius in a fool's paradise could make the old lady extend the invitation to him.	At the request of Miss Berengaria, Durham stopped to dinner; but not even the necessity of keeping Julius in a fool's paradise could make the old lady extend the invitation to him.	false	1213.05	1213.59	-12
8875_293959_000115_000001	Beryl did not mind.	Beryl did not mind.	false	1213.59	1213.65	-20
8875_293959_000115_000002	He knew perfectly well that he was no favorite with Miss Plantagenet, and often wondered why she was so polite to him.	He knew perfectly well that he was no favorite with Miss Plantagenet, and often wondered why she was so polite to him.	false	1213.65	1214.07	66
8875_293959_000115_000003	A scoundrel himself, Julius was always suspicious of others, and constantly strove to learn why Miss Berengaria, whose honest character he knew, displayed such courtesy towards him.	A scoundrel himself, Julius was always suspicious of others, and constantly strove to learn why Miss Berengaria, whose honest character he knew, displayed such courtesy towards him.	false	1214.07	1216.44	25.103167
8875_293959_000115_000004	Then he thought it was because Bernard being in her house she was afraid lest he should be arrested through the instrumentality of his cousin should not tact be shown.	Then he thought it was because Bernard being in her house she was afraid lest he should be arrested through the instrumentality of his cousin should not tact be shown.	false	1216.44	1220.04	18.3501
8875_293959_000115_000005	Julius departed quite satisfied in his own mind that he had solved the problem of Miss Plantagenet's behavior.	Julius departed quite satisfied in his own mind that he had solved the problem of Miss Plantagenet's behavior.	false	1220.04	1222.2	-20
8875_293959_000115_000006	Had he known the real reason he would not have gone away so complacently.	Had he known the real reason he would not have gone away so complacently.	false	1222.2	1223.88	-20
