7518_86741_000000_000000	Chapter 35.	Chapter thirty five.	false	0.63	22.35	16.969246
7518_86741_000064_000000	"How attentively he looked at you."	"How attentively he looked at you."	true	1130.6	1132.51	20
7518_86741_000065_000000	"At me?"	"At me?"	true	1132.55	1133.44	16
7518_86741_000066_000000	"Yes."--Albert reflected.	"Yes."--Albert reflected.	true	1133.9	1136.62	12.210909
7518_86741_000066_000001	"Ah," replied he, sighing, "that is not very surprising; I have been more than a year absent from Paris, and my clothes are of a most antiquated cut; the count takes me for a provincial.	"Ah," replied he, sighing, "that is not very surprising; I have been more than a year absent from Paris, and my clothes are of a most antiquated cut; the count takes me for a provincial.	false	1136.72	1149.1	18.39439
7518_86741_000066_000002	The first opportunity you have, undeceive him, I beg, and tell him I am nothing of the kind." Franz smiled; an instant after the count entered.	The first opportunity you have, undeceive him, I beg, and tell him I am nothing of the kind." Franz smiled; an instant after the count entered.	true	1149.71	1159.63	17.60667
7518_86741_000067_000000	"I am now quite at your service, gentlemen," said he.	"I am now quite at your service, gentlemen," said he.	true	1160.63	1164.19	9
7518_86741_000067_000001	"The carriage is going one way to the Piazza del Popolo, and we will go another; and, if you please, by the Corso.	"The carriage is going one way to the Piazza del Popolo, and we will go another; and, if you please, by the Corso.	true	1164.47	1171.36	12
7518_86741_000067_000002	Take some more of these cigars, M. de Morcerf."	Take some more of these cigars, m de Morcerf."	false	1171.94	1176.4	15.265232
7518_86741_000068_000000	"With all my heart," returned Albert; "Italian cigars are horrible.	"With all my heart," returned Albert; "Italian cigars are horrible.	true	1176.4	1180.27	15
7518_86741_000068_000001	When you come to Paris, I will return all this."	When you come to Paris, I will return all this."	true	1180.55	1183.69	16
7518_86741_000069_000000	"I will not refuse; I intend going there soon, and since you allow me, I will pay you a visit.	"I will not refuse; I intend going there soon, and since you allow me, I will pay you a visit.	true	1184.15	1190.53	14
7518_86741_000069_000001	Come, we have not any time to lose, it is half-past twelve--let us set off." All three descended; the coachman received his master's orders, and drove down the Via del Babuino. While the three gentlemen walked along the Piazza de Spagni and the Via Frattina, which led directly between the Fiano and Rospoli palaces, Franz's attention was directed towards the windows of that last palace, for he had not forgotten the signal agreed upon between the man in the mantle and the Transtevere peasant.	Come, we have not any time to lose, it is half past twelve-let us set off." All three descended; the coachman received his master's orders, and drove down the Via del Babuino. While the three gentlemen walked along the Piazza de Spagni and the Via Frattina, which led directly between the Fiano and Rospoli palaces, Franz's attention was directed towards the windows of that last palace, for he had not forgotten the signal agreed upon between the man in the mantle and the Transtevere peasant.	false	1190.72	1224.28	14
7518_86741_000069_000002	"Which are your windows?" asked he of the count, with as much indifference as he could assume.	"Which are your windows?" asked he of the count, with as much indifference as he could assume.	false	1224.98	1230.61	17
7518_86741_000069_000003	"The three last," returned he, with a negligence evidently unaffected, for he could not imagine with what intention the question was put.	"The three last," returned he, with a negligence evidently unaffected, for he could not imagine with what intention the question was put.	true	1231.07	1240.1	11
7518_86741_000069_000004	Franz glanced rapidly towards the three windows.	Franz glanced rapidly towards the three windows.	true	1240.1	1243.12	11
7518_86741_000069_000005	The side windows were hung with yellow damask, and the centre one with white damask and a red cross.	The side windows were hung with yellow damask, and the centre one with white damask and a red cross.	true	1243.25	1249.57	8
7518_86741_000069_000006	The man in the mantle had kept his promise to the Transteverin, and there could now be no doubt that he was the count.	The man in the mantle had kept his promise to the Transteverin, and there could now be no doubt that he was the count.	true	1250.45	1257.88	14
7518_86741_000069_000007	The three windows were still untenanted.	The three windows were still untenanted.	true	1258.76	1261.57	15
7518_86741_000069_000008	Preparations were making on every side; chairs were placed, scaffolds were raised, and windows were hung with flags.	Preparations were making on every side; chairs were placed, scaffolds were raised, and windows were hung with flags.	true	1261.64	1269.31	14
7518_86741_000069_000009	The masks could not appear; the carriages could not move about; but the masks were visible behind the windows, the carriages, and the doors.	The masks could not appear; the carriages could not move about; but the masks were visible behind the windows, the carriages, and the doors.	true	1270.16	1278.49	11
7518_86741_000070_000000	Franz, Albert, and the count continued to descend the Corso.	Franz, Albert, and the count continued to descend the Corso.	true	1278.98	1282.9	13
7518_86741_000070_000001	As they approached the Piazza del Popolo, the crowd became more dense, and above the heads of the multitude two objects were visible: the obelisk, surmounted by a cross, which marks the centre of the square, and in front of the obelisk, at the point where the three streets, del Babuino, del Corso, and di Ripetta, meet, the two uprights of the scaffold, between which glittered the curved knife of the mandaia.	As they approached the Piazza del Popolo, the crowd became more dense, and above the heads of the multitude two objects were visible: the obelisk, surmounted by a cross, which marks the centre of the square, and in front of the obelisk, at the point where the three streets, del Babuino, del Corso, and di Ripetta, meet, the two uprights of the scaffold, between which glittered the curved knife of the mandaia.	false	1283.63	1308.13	11
7518_86741_000070_000002	At the corner of the street they met the count's steward, who was awaiting his master. The window, let at an exorbitant price, which the count had doubtless wished to conceal from his guests, was on the second floor of the great palace, situated between the Via del Babuino and the Monte Pincio.	At the corner of the street they met the count's steward, who was awaiting his master. The window, let at an exorbitant price, which the count had doubtless wished to conceal from his guests, was on the second floor of the great palace, situated between the Via del Babuino and the Monte Pincio.	true	1309.73	1326.7	11
7518_86741_000070_000003	It consisted, as we have said, of a small dressing-room, opening into a bedroom, and, when the door of communication was shut, the inmates were quite alone.	It consisted, as we have said, of a small dressing room, opening into a bedroom, and, when the door of communication was shut, the inmates were quite alone.	true	1327.67	1337.8	13
7518_86741_000070_000004	On chairs were laid elegant masquerade costumes of blue and white satin.	On chairs were laid elegant masquerade costumes of blue and white satin.	true	1338.8	1343.53	11
7518_86741_000070_000005	"As you left the choice of your costumes to me," said the count to the two friends, "I have had these brought, as they will be the most worn this year; and they are most suitable, on account of the confetti (sweetmeats), as they do not show the flour."	"As you left the choice of your costumes to me," said the count to the two friends, "I have had these brought, as they will be the most worn this year; and they are most suitable, on account of the confetti (sweetmeats), as they do not show the flour."	false	1344.32	1361.4	15.1080065
7518_86741_000071_000000	Franz heard the words of the count but imperfectly, and he perhaps did not fully appreciate this new attention to their wishes; for he was wholly absorbed by the spectacle that the Piazza del Popolo presented, and by the terrible instrument that was in the centre.	Franz heard the words of the count but imperfectly, and he perhaps did not fully appreciate this new attention to their wishes; for he was wholly absorbed by the spectacle that the Piazza del Popolo presented, and by the terrible instrument that was in the centre.	true	1361.4	1376.17	12
7518_86741_000071_000001	It was the first time Franz had ever seen a guillotine,--we say guillotine, because the Roman mandaia is formed on almost the same model as the French instrument.	It was the first time Franz had ever seen a guillotine,--we say guillotine, because the Roman mandaia is formed on almost the same model as the French instrument.	true	1376.81	1386.51	13
7518_86741_000071_000002	[*] The knife, which is shaped like a crescent, that cuts with the convex side, falls from a less height, and that is all the difference.	[asterisk] The knife, which is shaped like a crescent, that cuts with the convex side, falls from a less height, and that is all the difference.	false	1386.51	1394.68	16.270954
7518_86741_000071_000003	Two men, seated on the movable plank on which the victim is laid, were eating their breakfasts, while waiting for the criminal. Their repast consisted apparently of bread and sausages.	Two men, seated on the movable plank on which the victim is laid, were eating their breakfasts, while waiting for the criminal. Their repast consisted apparently of bread and sausages.	true	1395.38	1406.89	16.510668
7518_86741_000071_000004	One of them lifted the plank, took out a flask of wine, drank some, and then passed it to his companion.	One of them lifted the plank, took out a flask of wine, drank some, and then passed it to his companion.	true	1407.89	1414	15
7518_86741_000071_000005	These two men were the executioner's assistants. At this sight Franz felt the perspiration start forth upon his brow.	These two men were the executioner's assistants. At this sight Franz felt the perspiration start forth upon his brow.	true	1414.31	1422.28	16
7518_86741_000071_000006	The prisoners, transported the previous evening from the Carcere Nuovo to the little church of Santa Maria del Popolo, had passed the night, each accompanied by two priests, in a chapel closed by a grating, before which were two sentinels, who were relieved at intervals.	The prisoners, transported the previous evening from the Carcere Nuovo to the little church of Santa Maria del Popolo, had passed the night, each accompanied by two priests, in a chapel closed by a grating, before which were two sentinels, who were relieved at intervals.	false	1422.35	1439.56	11
7518_86741_000071_000007	A double line of carbineers, placed on each side of the door of the church, reached to the scaffold, and formed a circle around it, leaving a path about ten feet wide, and around the guillotine a space of nearly a hundred feet. All the rest of the square was paved with heads.	A double line of carbineers, placed on each side of the door of the church, reached to the scaffold, and formed a circle around it, leaving a path about ten feet wide, and around the guillotine a space of nearly a hundred feet. All the rest of the square was paved with heads.	true	1440.35	1458.58	13
7518_86741_000071_000008	Many women held their infants on their shoulders, and thus the children had the best view. The Monte Pincio seemed a vast amphitheatre filled with spectators; the balconies of the two churches at the corner of the Via del Babuino and the Via di Ripetta were crammed; the steps even seemed a parti-colored sea, that was impelled towards the portico; every niche in the wall held its living statue.	Many women held their infants on their shoulders, and thus the children had the best view. The Monte Pincio seemed a vast amphitheatre filled with spectators; the balconies of the two churches at the corner of the Via del Babuino and the Via di Ripetta were crammed; the steps even seemed a parti colored sea, that was impelled towards the portico; every niche in the wall held its living statue.	true	1458.95	1484.62	13
7518_86741_000071_000009	What the count said was true--the most curious spectacle in life is that of death.	What the count said was true-the most curious spectacle in life is that of death.	true	1485.5	1490.23	11
7518_86741_000071_000010	And yet, instead of the silence and the solemnity demanded by the occasion, laughter and jests arose from the crowd.	And yet, instead of the silence and the solemnity demanded by the occasion, laughter and jests arose from the crowd.	false	1490.51	1497.91	12
7518_86741_000071_000011	It was evident that the execution was, in the eyes of the people, only the commencement of the Carnival.	It was evident that the execution was, in the eyes of the people, only the commencement of the Carnival.	true	1498.49	1504.21	13
7518_86741_000071_000012	Suddenly the tumult ceased, as if by magic, and the doors of the church opened.	Suddenly the tumult ceased, as if by magic, and the doors of the church opened.	true	1504.64	1509.82	13
7518_86741_000071_000013	A brotherhood of penitents, clothed from head to foot in robes of gray sackcloth, with holes for the eyes, and holding in their hands lighted tapers, appeared first; the chief marched at the head.	A brotherhood of penitents, clothed from head to foot in robes of gray sackcloth, with holes for the eyes, and holding in their hands lighted tapers, appeared first; the chief marched at the head.	false	1510.16	1523.23	15
7518_86741_000071_000014	Behind the penitents came a man of vast stature and proportions.	Behind the penitents came a man of vast stature and proportions.	true	1523.72	1527.94	11
7518_86741_000071_000015	He was naked, with the exception of cloth drawers at the left side of which hung a large knife in a sheath, and he bore on his right shoulder a heavy iron sledge-hammer.	He was naked, with the exception of cloth drawers at the left side of which hung a large knife in a sheath, and he bore on his right shoulder a heavy iron sledge hammer.	true	1529.03	1539.43	11
7518_86741_000071_000016	This man was the executioner.	This man was the executioner.	true	1540.01	1542.04	18
7518_86741_000071_000017	He had, moreover, sandals bound on his feet by cords.	He had, moreover, sandals bound on his feet by cords.	false	1542.05	1546.15	18.335033
7518_86741_000071_000018	Behind the executioner came, in the order in which they were to die, first Peppino and then Andrea.	Behind the executioner came, in the order in which they were to die, first Peppino and then Andrea.	false	1546.49	1553.77	18
7518_86741_000071_000019	Each was accompanied by two priests.	Each was accompanied by two priests.	true	1554.17	1556.38	16.851076
7518_86741_000071_000020	Neither had his eyes bandaged.	Neither had his eyes bandaged.	true	1556.93	1559.02	15
7518_86741_000071_000021	Peppino walked with a firm step, doubtless aware of what awaited him.	Peppino walked with a firm step, doubtless aware of what awaited him.	true	1559.09	1563.46	15
7518_86741_000071_000022	Andrea was supported by two priests.	Andrea was supported by two priests.	true	1563.71	1566.25	11
7518_86741_000071_000023	Each of them, from time to time, kissed the crucifix a confessor held out to them.	Each of them, from time to time, kissed the crucifix a confessor held out to them.	false	1566.47	1572.16	11
7518_86741_000071_000024	At this sight alone Franz felt his legs tremble under him.	At this sight alone Franz felt his legs tremble under him.	true	1572.89	1576.78	10
7518_86741_000071_000025	He looked at Albert--he was as white as his shirt, and mechanically cast away his cigar, although he had not half smoked it.	He looked at Albert-he was as white as his shirt, and mechanically cast away his cigar, although he had not half smoked it.	true	1577.06	1584.58	11
7518_86741_000071_000026	The count alone seemed unmoved--nay, more, a slight color seemed striving to rise in his pale cheeks.	The count alone seemed unmoved-nay, more, a slight color seemed striving to rise in his pale cheeks.	true	1585.28	1592.23	12
7518_86741_000071_000027	His nostrils dilated like those of a wild beast that scents its prey, and his lips, half opened, disclosed his white teeth, small and sharp like those of a jackal.	His nostrils dilated like those of a wild beast that scents its prey, and his lips, half opened, disclosed his white teeth, small and sharp like those of a jackal.	true	1592.42	1603.21	14
7518_86741_000071_000028	And yet his features wore an expression of smiling tenderness, such as Franz had never before witnessed in them; his black eyes especially were full of kindness and pity.	And yet his features wore an expression of smiling tenderness, such as Franz had never before witnessed in them; his black eyes especially were full of kindness and pity.	true	1603.73	1614.34	15
7518_86741_000071_000029	However, the two culprits advanced, and as they approached their faces became visible.	However, the two culprits advanced, and as they approached their faces became visible.	true	1615.07	1620.7	16
7518_86741_000071_000030	Peppino was a handsome young man of four or five and twenty, bronzed by the sun; he carried his head erect, and seemed on the watch to see on which side his liberator would appear.	Peppino was a handsome young man of four or five and twenty, bronzed by the sun; he carried his head erect, and seemed on the watch to see on which side his liberator would appear.	true	1620.77	1632.1	11
7518_86741_000071_000031	Andrea was short and fat; his visage, marked with brutal cruelty, did not indicate age; he might be thirty.	Andrea was short and fat; his visage, marked with brutal cruelty, did not indicate age; he might be thirty.	true	1632.56	1640.47	13
7518_86741_000071_000032	In prison he had suffered his beard to grow; his head fell on his shoulder, his legs bent beneath him, and his movements were apparently automatic and unconscious.	In prison he had suffered his beard to grow; his head fell on his shoulder, his legs bent beneath him, and his movements were apparently automatic and unconscious.	true	1640.93	1650.84	14
7518_86741_000072_000000	* Dr. Guillotin got the idea of his famous machine from witnessing an execution in Italy.	asterisk dr Guillotin got the idea of his famous machine from witnessing an execution in Italy.	false	1650.84	1651.71	10
7518_86741_000073_000000	"I thought," said Franz to the count, "that you told me there would be but one execution."	"I thought," said Franz to the count, "that you told me there would be but one execution."	true	1651.71	1656.67	16
7518_86741_000074_000000	"I told you true," replied he coldly.	"I told you true," replied he coldly.	true	1657.01	1659.97	13.472123
7518_86741_000075_000000	"And yet here are two culprits."	"And yet here are two culprits."	false	1660.64	1663.8	16.636457
7518_86741_000076_000000	"Yes; but only one of these two is about to die; the other has many years to live."	"Yes; but only one of these two is about to die; the other has many years to live."	false	1663.8	1669.51	13
7518_86741_000077_000000	"If the pardon is to come, there is no time to lose."	"If the pardon is to come, there is no time to lose."	true	1670.15	1673.35	14
7518_86741_000078_000000	"And see, here it is," said the count.	"And see, here it is," said the count.	true	1673.84	1676.98	17
7518_86741_000078_000001	At the moment when Peppino reached the foot of the mandaia, a priest arrived in some haste, forced his way through the soldiers, and, advancing to the chief of the brotherhood, gave him a folded paper.	At the moment when Peppino reached the foot of the mandaia, a priest arrived in some haste, forced his way through the soldiers, and, advancing to the chief of the brotherhood, gave him a folded paper.	true	1677.05	1688.92	10
7518_86741_000078_000002	The piercing eye of Peppino had noticed all.	The piercing eye of Peppino had noticed all.	true	1689.59	1692.4	15
7518_86741_000078_000003	The chief took the paper, unfolded it, and, raising his hand, "Heaven be praised, and his holiness also," said he in a loud voice; "here is a pardon for one of the prisoners!"	The chief took the paper, unfolded it, and, raising his hand, "Heaven be praised, and his holiness also," said he in a loud voice; "here is a pardon for one of the prisoners!"	false	1692.8	1703.26	17
7518_86741_000079_000000	"A pardon!" cried the people with one voice--"a pardon!" At this cry Andrea raised his head.	"A pardon!" cried the people with one voice-"a pardon!" At this cry Andrea raised his head.	false	1703.93	1710.34	18.278515
7518_86741_000079_000001	"Pardon for whom?" cried he.	"Pardon for whom?" cried he.	true	1710.35	1712.59	19.473091
7518_86741_000080_000000	Peppino remained breathless.	Peppino remained breathless.	true	1712.78	1714.81	12
7518_86741_000080_000001	"A pardon for Peppino, called Rocca Priori," said the principal friar.	"A pardon for Peppino, called Rocca Priori," said the principal friar.	true	1714.91	1719.82	14.717636
7518_86741_000080_000002	And he passed the paper to the officer commanding the carbineers, who read and returned it to him.	And he passed the paper to the officer commanding the carbineers, who read and returned it to him.	true	1720.46	1726.09	13
7518_86741_000081_000000	"For Peppino!" cried Andrea, who seemed roused from the torpor in which he had been plunged.	"For Peppino!" cried Andrea, who seemed roused from the torpor in which he had been plunged.	true	1726.34	1732.27	15
7518_86741_000081_000001	"Why for him and not for me?	"Why for him and not for me?	true	1732.34	1733.97	15
7518_86741_000081_000002	We ought to die together.	We ought to die together.	false	1733.97	1735.31	13
7518_86741_000081_000003	I was promised he should die with me.	I was promised he should die with me.	true	1735.31	1737.22	16
7518_86741_000081_000004	You have no right to put me to death alone.	You have no right to put me to death alone.	false	1737.71	1739.84	15
7518_86741_000081_000005	I will not die alone--I will not!" And he broke from the priests struggling and raving like a wild beast, and striving desperately to break the cords that bound his hands.	I will not die alone-I will not!" And he broke from the priests struggling and raving like a wild beast, and striving desperately to break the cords that bound his hands.	true	1739.84	1750.33	13.999677
7518_86741_000081_000006	The executioner made a sign, and his two assistants leaped from the scaffold and seized him.	The executioner made a sign, and his two assistants leaped from the scaffold and seized him.	true	1751.21	1756.3	14
7518_86741_000081_000007	"What is going on?" asked Franz of the count; for, as all the talk was in the Roman dialect, he had not perfectly understood it.	"What is going on?" asked Franz of the count; for, as all the talk was in the Roman dialect, he had not perfectly understood it.	true	1756.79	1765.45	17.558004
7518_86741_000081_000008	"Do you not see?" returned the count, "that this human creature who is about to die is furious that his fellow-sufferer does not perish with him?	"Do you not see?" returned the count, "that this human creature who is about to die is furious that his fellow sufferer does not perish with him?	false	1766.45	1775.11	10
7518_86741_000081_000009	and, were he able, he would rather tear him to pieces with his teeth and nails than let him enjoy the life he himself is about to be deprived of.	and, were he able, he would rather tear him to pieces with his teeth and nails than let him enjoy the life he himself is about to be deprived of.	true	1775.15	1783.83	9
7518_86741_000081_000010	Oh, man, man--race of crocodiles," cried the count, extending his clinched hands towards the crowd, "how well do I recognize you there, and that at all times you are worthy of yourselves!" Meanwhile Andrea and the two executioners were struggling on the ground, and he kept exclaiming, "He ought to die!--he shall die!--I will not die alone!"	Oh, man, man-race of crocodiles," cried the count, extending his clinched hands towards the crowd, "how well do I recognize you there, and that at all times you are worthy of yourselves!" Meanwhile Andrea and the two executioners were struggling on the ground, and he kept exclaiming, "He ought to die!--he shall die!--I will not die alone!"	true	1783.83	1807.78	17.243961
7518_86741_000082_000000	"Look, look," cried the count, seizing the young men's hands--"look, for on my soul it is curious.	"Look, look," cried the count, seizing the young men's hands-"look, for on my soul it is curious.	true	1808.27	1816.39	14
7518_86741_000082_000001	Here is a man who had resigned himself to his fate, who was going to the scaffold to die--like a coward, it is true, but he was about to die without resistance.	Here is a man who had resigned himself to his fate, who was going to the scaffold to die-like a coward, it is true, but he was about to die without resistance.	true	1816.43	1826.17	11
7518_86741_000082_000002	Do you know what gave him strength?--do you know what consoled him?	Do you know what gave him strength?--do you know what consoled him?	true	1826.36	1830.04	10
7518_86741_000082_000003	It was, that another partook of his punishment--that another partook of his anguish--that another was to die before him.	It was, that another partook of his punishment-that another partook of his anguish-that another was to die before him.	false	1830.17	1838.44	10
7518_86741_000082_000004	Lead two sheep to the butcher's, two oxen to the slaughterhouse, and make one of them understand that his companion will not die; the sheep will bleat for pleasure, the ox will bellow with joy. But man--man, whom God created in his own image--man, upon whom God has laid his first, his sole commandment, to love his neighbor--man, to whom God has given a voice to express his thoughts--what is his first cry when he hears his fellow-man is saved?	Lead two sheep to the butcher's, two oxen to the slaughterhouse, and make one of them understand that his companion will not die; the sheep will bleat for pleasure, the ox will bellow with joy. But man-man, whom God created in his own image-man, upon whom God has laid his first, his sole commandment, to love his neighbor-man, to whom God has given a voice to express his thoughts-what is his first cry when he hears his fellow man is saved?	false	1838.72	1869.72	11
7518_86741_000082_000005	A blasphemy.	A blasphemy.	true	1869.72	1870.9	19
7518_86741_000082_000006	Honor to man, this masterpiece of nature, this king of the creation!" And the count burst into a laugh; a terrible laugh, that showed he must have suffered horribly to be able thus to laugh.	Honor to man, this masterpiece of nature, this king of the creation!" And the count burst into a laugh; a terrible laugh, that showed he must have suffered horribly to be able thus to laugh.	true	1871.18	1884.28	14
7518_86741_000082_000007	However, the struggle still continued, and it was dreadful to witness.	However, the struggle still continued, and it was dreadful to witness.	true	1884.8	1889.02	17
7518_86741_000082_000008	The people all took part against Andrea, and twenty thousand voices cried, "Put him to death!	The people all took part against Andrea, and twenty thousand voices cried, "Put him to death!	true	1889.3	1895.33	16
7518_86741_000082_000009	put him to death!" Franz sprang back, but the count seized his arm, and held him before the window.	put him to death!" Franz sprang back, but the count seized his arm, and held him before the window.	true	1895.33	1902.31	18.518124
7518_86741_000082_000010	"What are you doing?" said he.	"What are you doing?" said he.	true	1902.62	1904.81	13
7518_86741_000082_000011	"Do you pity him? If you heard the cry of 'Mad dog!' you would take your gun--you would unhesitatingly shoot the poor beast, who, after all, was only guilty of having been bitten by another dog.	"Do you pity him? If you heard the cry of 'Mad dog!' you would take your gun-you would unhesitatingly shoot the poor beast, who, after all, was only guilty of having been bitten by another dog.	true	1904.81	1917.46	14
7518_86741_000082_000012	And yet you pity a man who, without being bitten by one of his race, has yet murdered his benefactor; and who, now unable to kill any one, because his hands are bound, wishes to see his companion in captivity perish.	And yet you pity a man who, without being bitten by one of his race, has yet murdered his benefactor; and who, now unable to kill any one, because his hands are bound, wishes to see his companion in captivity perish.	false	1917.46	1932.16	9
7518_86741_000082_000013	No, no--look, look!"	No, no-look, look!"	true	1932.16	1935.13	15.383141
7518_86741_000083_000000	The command was needless.	The command was needless.	true	1936.4	1937.95	11
7518_86741_000083_000001	Franz was fascinated by the horrible spectacle.	Franz was fascinated by the horrible spectacle.	true	1938.05	1940.92	13
7518_86741_000083_000002	The two assistants had borne Andrea to the scaffold, and there, in spite of his struggles, his bites, and his cries, had forced him to his knees.	The two assistants had borne Andrea to the scaffold, and there, in spite of his struggles, his bites, and his cries, had forced him to his knees.	true	1941.05	1949.74	13
7518_86741_000083_000003	During this time the executioner had raised his mace, and signed to them to get out of the way; the criminal strove to rise, but, ere he had time, the mace fell on his left temple.	During this time the executioner had raised his mace, and signed to them to get out of the way; the criminal strove to rise, but, ere he had time, the mace fell on his left temple.	true	1950.47	1963.21	15.308609
7518_86741_000083_000004	A dull and heavy sound was heard, and the man dropped like an ox on his face, and then turned over on his back.	A dull and heavy sound was heard, and the man dropped like an ox on his face, and then turned over on his back.	true	1963.49	1970.56	14.586644
7518_86741_000083_000005	The executioner let fall his mace, drew his knife, and with one stroke opened his throat, and mounting on his stomach, stamped violently on it with his feet.	The executioner let fall his mace, drew his knife, and with one stroke opened his throat, and mounting on his stomach, stamped violently on it with his feet.	true	1971.05	1980.79	14
7518_86741_000083_000006	At every stroke a jet of blood sprang from the wound.	At every stroke a jet of blood sprang from the wound.	true	1981.46	1985.14	14
7518_86741_000084_000000	This time Franz could contain himself no longer, but sank, half fainting, into a seat.	This time Franz could contain himself no longer, but sank, half fainting, into a seat.	true	1985.84	1992.16	17
7518_86741_000084_000001	Albert, with his eyes closed, was standing grasping the window-curtains.	Albert, with his eyes closed, was standing grasping the window curtains.	true	1992.29	1996.9	18
7518_86741_000084_000002	The count was erect and triumphant, like the Avenging Angel!	The count was erect and triumphant, like the Avenging Angel!	false	1997.57	2008.89	17
