7832_114468_000000_000000	The regiment began its slow retreat.	The regiment began its slow retreat.	false	0	2.97	27.428677
7832_114468_000051_000003	It ain't no place for health just at this time."	It ain't no place for health just at this time."	true	1101.17	1104.01	29.813152
7832_114468_000052_000000	"That's a certainty," said Colonel Winchester.	"That's a certainty," said Colonel Winchester.	true	1104.71	1107.33	27.94469
7832_114468_000053_000000	"An' then there's the bridge, which, as we know, the cavalry has broke down."	"An' then there's the bridge, which, as we know, the cavalry has broke down."	false	1107.33	1112.32	22.924786
7832_114468_000054_000000	"Fortunately.	"Fortunately.	true	1112.99	1114.03	35.487846
7832_114468_000054_000001	But can't we go a little faster, boys?"	But can't we go a little faster, boys?"	true	1114.28	1116.67	23.472214
7832_114468_000055_000000	There was a well defined road and Shattuck now led them at a gallop. As they approached the springs they checked their speed, owing to the increasing darkness.	There was a well defined road and Shattuck now led them at a gallop. As they approached the springs they checked their speed, owing to the increasing darkness.	true	1117.49	1127.89	23.652437
7832_114468_000055_000001	But Dick's good ears soon told him that something was happening at the springs.	But Dick's good ears soon told him that something was happening at the springs.	true	1128.68	1133.5	25.876478
7832_114468_000055_000002	He heard faintly the sound of voices, and the clank and rattle which many men with weapons cannot keep from making now and then.	He heard faintly the sound of voices, and the clank and rattle which many men with weapons cannot keep from making now and then.	true	1133.93	1142.17	22.320726
7832_114468_000056_000000	"I'm afraid, sir," he said to Colonel Winchester, "that they're already across."	"I'm afraid, sir," he said to Colonel Winchester, "that they're already across."	true	1143.26	1148.32	27.053202
7832_114468_000057_000000	The little troop stopped at the command of its leader and all listened intently.	The little troop stopped at the command of its leader and all listened intently.	true	1149.05	1154.23	25.498873
7832_114468_000057_000001	It was very dark now and the wood was moaning, but the columns of air came directly from the wood, bearing clearly upon their crest the noises made by regiments.	It was very dark now and the wood was moaning, but the columns of air came directly from the wood, bearing clearly upon their crest the noises made by regiments.	false	1154.66	1166.41	24.892817
7832_114468_000058_000000	"You're right, Dick," said Colonel Winchester, bitter mortification showing in his tone.	"You're right, Dick," said Colonel Winchester, bitter mortification showing in his tone.	true	1167.2	1173.13	23.852081
7832_114468_000058_000001	"They're there, and they're on our side of the river.	"They're there, and they're on our side of the river.	true	1173.56	1176.7	23.648659
7832_114468_000058_000002	Oh, we might have known it!	Oh, we might have known it!	true	1177.16	1178.74	25.220694
7832_114468_000058_000003	They say that Stonewall Jackson never sleeps, and they make no mistake, when they call his infantry foot cavalry!"	They say that Stonewall Jackson never sleeps, and they make no mistake, when they call his infantry foot cavalry!"	true	1179.02	1187.08	24.556458
7832_114468_000059_000000	Dick was silent.	Dick was silent.	true	1188.02	1189.35	33.09583
7832_114468_000059_000001	He shared his leader's intense disappointment, but he knew that it was not for him to speak at this moment.	He shared his leader's intense disappointment, but he knew that it was not for him to speak at this moment.	false	1189.35	1196.77	25.728827
7832_114468_000060_000000	"Mr. Shattuck," said Colonel Winchester, "how near do you think we can approach without being seen?"	"mr Shattuck," said Colonel Winchester, "how near do you think we can approach without being seen?"	true	1197.29	1203.67	26.33567
7832_114468_000061_000000	"I know a neck of woods leading within a hundred yards of the cottages. If we was to leave our horses here with a couple of men we could slip down among the trees and bushes, and there ain't one chance in ten that we'd be seen on so dark a night."	"I know a neck of woods leading within a hundred yards of the cottages. If we was to leave our horses here with a couple of men we could slip down among the trees and bushes, and there ain't one chance in ten that we'd be seen on so dark a night."	false	1204.49	1220.5	22.50306
7832_114468_000062_000000	"Then you lead us.	"Then you lead us.	true	1220.93	1222.15	24.533554
7832_114468_000062_000001	Pawley, you and Woodfall hold the horses.	Pawley, you and Woodfall hold the horses.	false	1222.4	1225.63	21.873583
7832_114468_000062_000002	Now follow softly, lads!	Now follow softly, lads!	true	1225.94	1227.82	30.145357
7832_114468_000062_000003	All of you have hunted the 'coon and 'possum at night, and you should know how to step without making noise."	All of you have hunted the 'coon and 'possum at night, and you should know how to step without making noise."	true	1228.13	1234.51	24.002867
7832_114468_000063_000000	Shattuck advanced with certainty, and the others, true to their training, came behind him in single file, and without noise.	Shattuck advanced with certainty, and the others, true to their training, came behind him in single file, and without noise.	true	1235.51	1244.02	22.233223
7832_114468_000063_000001	But as they advanced the sounds of an army ahead of them increased, and when they reached the edge of the covert they saw a great Confederate division on their side of the stream, in full possession of the cottages and occupying all the ground about them.	But as they advanced the sounds of an army ahead of them increased, and when they reached the edge of the covert they saw a great Confederate division on their side of the stream, in full possession of the cottages and occupying all the ground about them.	true	1244.6	1261.75	23.241774
7832_114468_000063_000002	Many men were at work, restoring the wrecked bridge, but the others were eating their suppers or were at rest.	Many men were at work, restoring the wrecked bridge, but the others were eating their suppers or were at rest.	false	1262.3	1270.12	26.196777
7832_114468_000064_000000	"There must be seven or eight thousand men here," said Dick, who did not miss the full significance of the fact.	"There must be seven or eight thousand men here," said Dick, who did not miss the full significance of the fact.	true	1270.88	1277.83	23.15971
7832_114468_000065_000000	"So it seems," said Warner, "and I'm afraid it bodes ill for General Pope."	"So it seems," said Warner, "and I'm afraid it bodes ill for General Pope."	false	1278.23	1286.04	23.450008
7832_114468_000066_000000	CHAPTER IV.	CHAPTER four.	false	1286.04	1286.55	38.74457
7832_114468_000066_000001	SPRINGING THE TRAP	SPRINGING THE TRAP	false	1286.55	1286.64	16
7832_114468_000067_000000	Lying close in the bushes the little party watched the Southerners making themselves ready for the night.	Lying close in the bushes the little party watched the Southerners making themselves ready for the night.	false	1286.64	1287.15	17
7832_114468_000067_000001	The cottages were prepared for the higher officers, but the men stacked arms in the open ground all about.	The cottages were prepared for the higher officers, but the men stacked arms in the open ground all about.	false	1287.15	1287.69	19.941954
7832_114468_000067_000002	As well as they could judge by the light of the low fires, soldiers were still crossing the river to strengthen the force already on the Union side.	As well as they could judge by the light of the low fires, soldiers were still crossing the river to strengthen the force already on the Union side.	false	1287.69	1293.78	27.4763
