1224_121064_000000_000000	Chapter 46.	Chapter forty six.	true	4.08	5.56	20
1224_121064_000045_000000	"So much so," replied Monte Cristo, "that while you call yourself baron you are not willing to call anybody else count."	"So much so," replied Monte Cristo, "that while you call yourself baron you are not willing to call anybody else count."	true	1078.22	1085.89	20.26256
1224_121064_000046_000000	"Upon my word, monsieur," said Danglars with affected carelessness, "I attach no sort of value to such empty distinctions; but the fact is, I was made baron, and also chevalier of the Legion of Honor, in return for services rendered, but"--	"Upon my word, monsieur," said Danglars with affected carelessness, "I attach no sort of value to such empty distinctions; but the fact is, I was made baron, and also chevalier of the Legion of Honor, in return for services rendered, but"--	true	1086.59	1101.33	18
1224_121064_000047_000000	"But you have discarded your titles after the example set you by Messrs. de Montmorency and Lafayette?	"But you have discarded your titles after the example set you by Messrs. de Montmorency and Lafayette?	false	1101.33	1107.73	17
1224_121064_000047_000001	That was a noble example to follow, monsieur."	That was a noble example to follow, monsieur."	true	1107.92	1110.7	13
1224_121064_000048_000000	"Why," replied Danglars, "not entirely so; with the servants,--you understand."	"Why," replied Danglars, "not entirely so; with the servants,--you understand."	true	1111.22	1117.72	16.689213
1224_121064_000049_000000	"I see; to your domestics you are 'my lord,' the journalists style you 'monsieur,' while your constituents call you 'citizen.' These are distinctions very suitable under a constitutional government.	"I see; to your domestics you are 'my lord,' the journalists style you 'monsieur,' while your constituents call you 'citizen.' These are distinctions very suitable under a constitutional government.	true	1118.3	1131.82	18.567375
1224_121064_000049_000001	I understand perfectly." Again Danglars bit his lips; he saw that he was no match for Monte Cristo in an argument of this sort, and he therefore hastened to turn to subjects more congenial.	I understand perfectly." Again Danglars bit his lips; he saw that he was no match for Monte Cristo in an argument of this sort, and he therefore hastened to turn to subjects more congenial.	false	1131.98	1144.42	17
1224_121064_000050_000000	"Permit me to inform you, Count," said he, bowing, "that I have received a letter of advice from Thomson & French, of Rome."	"Permit me to inform you, Count," said he, bowing, "that I have received a letter of advice from Thomson and French, of Rome."	true	1145.33	1152.46	18.619572
1224_121064_000051_000000	"I am glad to hear it, baron,--for I must claim the privilege of addressing you after the manner of your servants.	"I am glad to hear it, baron,--for I must claim the privilege of addressing you after the manner of your servants.	true	1152.98	1159.21	18
1224_121064_000051_000001	I have acquired the bad habit of calling persons by their titles from living in a country where barons are still barons by right of birth.	I have acquired the bad habit of calling persons by their titles from living in a country where barons are still barons by right of birth.	true	1159.43	1166.89	17
1224_121064_000051_000002	But as regards the letter of advice, I am charmed to find that it has reached you; that will spare me the troublesome and disagreeable task of coming to you for money myself.	But as regards the letter of advice, I am charmed to find that it has reached you; that will spare me the troublesome and disagreeable task of coming to you for money myself.	true	1167.11	1176.67	17
1224_121064_000051_000003	You have received a regular letter of advice?"	You have received a regular letter of advice?"	true	1176.95	1179.34	14
1224_121064_000052_000000	"Yes," said Danglars, "but I confess I didn't quite comprehend its meaning."	"Yes," said Danglars, "but I confess I didn't quite comprehend its meaning."	true	1180.22	1184.98	18
1224_121064_000053_000000	"Indeed?"	"Indeed?"	true	1185.44	1186.48	23.617725
1224_121064_000054_000000	"And for that reason I did myself the honor of calling upon you, in order to beg for an explanation."	"And for that reason I did myself the honor of calling upon you, in order to beg for an explanation."	true	1186.82	1192.15	15
1224_121064_000055_000000	"Go on, monsieur.	"Go on, monsieur.	true	1192.7	1194.21	16
1224_121064_000055_000001	Here I am, ready to give you any explanation you desire."	Here I am, ready to give you any explanation you desire."	true	1194.21	1197.79	15
1224_121064_000056_000000	"Why," said Danglers, "in the letter--I believe I have it about me"--here he felt in his breast-pocket--"yes, here it is.	"Why," said Danglers, "in the letter-I believe I have it about me"--here he felt in his breast pocket-"yes, here it is.	true	1198.55	1206.85	19
1224_121064_000056_000001	Well, this letter gives the Count of Monte Cristo unlimited credit on our house."	Well, this letter gives the Count of Monte Cristo unlimited credit on our house."	true	1207.25	1211.62	14
1224_121064_000057_000000	"Well, baron, what is there difficult to understand about that?"	"Well, baron, what is there difficult to understand about that?"	true	1212.05	1215.25	13
1224_121064_000058_000000	"Merely the term unlimited--nothing else, certainly."	"Merely the term unlimited-nothing else, certainly."	true	1215.83	1219.84	17.832941
1224_121064_000059_000000	"Is not that word known in France?	"Is not that word known in France?	true	1220.18	1222.57	17
1224_121064_000059_000001	The people who wrote are Anglo-Germans, you know."	The people who wrote are Anglo Germans, you know."	true	1222.7	1226.05	17
1224_121064_000060_000000	"Oh, as for the composition of the letter, there is nothing to be said; but as regards the competency of the document, I certainly have doubts."	"Oh, as for the composition of the letter, there is nothing to be said; but as regards the competency of the document, I certainly have doubts."	true	1226.63	1234.93	18.589954
1224_121064_000061_000000	"Is it possible?" asked the count, assuming all air and tone of the utmost simplicity and candor.	"Is it possible?" asked the count, assuming all air and tone of the utmost simplicity and candor.	false	1235.54	1241.2	17
1224_121064_000061_000001	"Is it possible that Thomson & French are not looked upon as safe and solvent bankers?	"Is it possible that Thomson and French are not looked upon as safe and solvent bankers?	true	1241.51	1246.9	11
1224_121064_000061_000002	Pray tell me what you think, baron, for I feel uneasy, I can assure you, having some considerable property in their hands."	Pray tell me what you think, baron, for I feel uneasy, I can assure you, having some considerable property in their hands."	true	1247.12	1254.79	17
1224_121064_000062_000000	"Thomson & French are perfectly solvent," replied Danglars, with an almost mocking smile: "but the word unlimited, in financial affairs, is so extremely vague."	"Thomson and French are perfectly solvent," replied Danglars, with an almost mocking smile: "but the word unlimited, in financial affairs, is so extremely vague."	true	1256.03	1266.76	18
1224_121064_000063_000000	"Is, in fact, unlimited," said Monte Cristo.	"Is, in fact, unlimited," said Monte Cristo.	true	1267.28	1270.78	17
1224_121064_000064_000000	"Precisely what I was about to say," cried Danglars.	"Precisely what I was about to say," cried Danglars.	true	1270.88	1273.96	17
1224_121064_000064_000001	"Now what is vague is doubtful; and it was a wise man who said, 'when in doubt, keep out.'"	"Now what is vague is doubtful; and it was a wise man who said, 'when in doubt, keep out.'"	true	1274.06	1280.05	16.877071
1224_121064_000065_000000	"Meaning to say," rejoined Monte Cristo, "that however Thomson & French may be inclined to commit acts of imprudence and folly, the Baron Danglars is not disposed to follow their example."	"Meaning to say," rejoined Monte Cristo, "that however Thomson and French may be inclined to commit acts of imprudence and folly, the Baron Danglars is not disposed to follow their example."	true	1280.39	1291.99	17
1224_121064_000066_000000	"Not at all."	"Not at all."	true	1292.3	1293.67	18.214342
1224_121064_000067_000000	"Plainly enough.	"Plainly enough.	false	1294.34	1295.58	18
1224_121064_000067_000001	Messrs.	Messrs.	false	1295.58	1295.79	5
1224_121064_000067_000002	Thomson & French set no bounds to their engagements while those of M. Danglars have their limits; he is a wise man, according to his own showing."	Thomson and French set no bounds to their engagements while those of m Danglars have their limits; he is a wise man, according to his own showing."	false	1295.79	1303.63	13
1224_121064_000068_000000	"Monsieur," replied the banker, drawing himself up with a haughty air, "the extent of my resources has never yet been questioned."	"Monsieur," replied the banker, drawing himself up with a haughty air, "the extent of my resources has never yet been questioned."	false	1304.42	1313.31	17.634336
1224_121064_000069_000000	"It seems, then, reserved for me," said Monte Cristo coldly, "to be the first to do so."	"It seems, then, reserved for me," said Monte Cristo coldly, "to be the first to do so."	true	1313.31	1318.21	16
1224_121064_000070_000000	"By what right, sir?"	"By what right, sir?"	true	1318.85	1320.64	20.477118
1224_121064_000071_000000	"By right of the objections you have raised, and the explanations you have demanded, which certainly must have some motive."	"By right of the objections you have raised, and the explanations you have demanded, which certainly must have some motive."	true	1321.1	1327.36	18
1224_121064_000072_000000	Once more Danglars bit his lips.	Once more Danglars bit his lips.	true	1328	1330.42	16.122044
1224_121064_000072_000001	It was the second time he had been worsted, and this time on his own ground.	It was the second time he had been worsted, and this time on his own ground.	true	1330.43	1335.61	16.919159
1224_121064_000072_000002	His forced politeness sat awkwardly upon him, and approached almost to impertinence.	His forced politeness sat awkwardly upon him, and approached almost to impertinence.	true	1335.8	1341.16	19
1224_121064_000072_000003	Monte Cristo on the contrary, preserved a graceful suavity of demeanor, aided by a certain degree of simplicity he could assume at pleasure, and thus possessed the advantage.	Monte Cristo on the contrary, preserved a graceful suavity of demeanor, aided by a certain degree of simplicity he could assume at pleasure, and thus possessed the advantage.	true	1341.56	1353.07	16
1224_121064_000073_000000	"Well, sir," resumed Danglars, after a brief silence, "I will endeavor to make myself understood, by requesting you to inform me for what sum you propose to draw upon me?"	"Well, sir," resumed Danglars, after a brief silence, "I will endeavor to make myself understood, by requesting you to inform me for what sum you propose to draw upon me?"	true	1354.55	1367.08	19
1224_121064_000074_000000	"Why, truly," replied Monte Cristo, determined not to lose an inch of the ground he had gained, "my reason for desiring an 'unlimited' credit was precisely because I did not know how much money I might need."	"Why, truly," replied Monte Cristo, determined not to lose an inch of the ground he had gained, "my reason for desiring an 'unlimited' credit was precisely because I did not know how much money I might need."	true	1367.93	1381	14
1224_121064_000075_000000	The banker thought the time had come for him to take the upper hand.	The banker thought the time had come for him to take the upper hand.	true	1381.67	1385.05	17.241491
1224_121064_000075_000001	So throwing himself back in his arm-chair, he said, with an arrogant and purse-proud air,--"Let me beg of you not to hesitate in naming your wishes; you will then be convinced that the resources of the house of Danglars, however limited, are still equal to meeting the largest demands; and were you even to require a million"--	So throwing himself back in his arm chair, he said, with an arrogant and purse proud air,--"Let me beg of you not to hesitate in naming your wishes; you will then be convinced that the resources of the house of Danglars, however limited, are still equal to meeting the largest demands; and were you even to require a million"--	true	1385.06	1405.33	18.172548
1224_121064_000076_000000	"I beg your pardon," interposed Monte Cristo.	"I beg your pardon," interposed Monte Cristo.	true	1405.52	1408.63	17.128147
1224_121064_000077_000000	"I said a million," replied Danglars, with the confidence of ignorance.	"I said a million," replied Danglars, with the confidence of ignorance.	true	1408.67	1413.7	15
1224_121064_000078_000000	"But could I do with a million?" retorted the count.	"But could I do with a million?" retorted the count.	true	1414.28	1417.17	15
1224_121064_000078_000001	"My dear sir, if a trifle like that could suffice me, I should never have given myself the trouble of opening an account.	"My dear sir, if a trifle like that could suffice me, I should never have given myself the trouble of opening an account.	false	1417.17	1424.57	19.0515
1224_121064_000078_000002	A million?	A million?	true	1424.57	1425.61	19.225157
1224_121064_000078_000003	Excuse my smiling when you speak of a sum I am in the habit of carrying in my pocket-book or dressing-case." And with these words Monte Cristo took from his pocket a small case containing his visiting-cards, and drew forth two orders on the treasury for 500,000 francs each, payable at sight to the bearer. A man like Danglars was wholly inaccessible to any gentler method of correction.	Excuse my smiling when you speak of a sum I am in the habit of carrying in my pocket book or dressing case." And with these words Monte Cristo took from his pocket a small case containing his visiting cards, and drew forth two orders on the treasury for five hundred thousand francs each, payable at sight to the bearer. A man like Danglars was wholly inaccessible to any gentler method of correction.	true	1426.04	1454.02	19.319551
1224_121064_000078_000004	The effect of the present revelation was stunning; he trembled and was on the verge of apoplexy.	The effect of the present revelation was stunning; he trembled and was on the verge of apoplexy.	true	1454.15	1460.68	18.579275
1224_121064_000078_000005	The pupils of his eyes, as he gazed at Monte Cristo dilated horribly.	The pupils of his eyes, as he gazed at Monte Cristo dilated horribly.	true	1460.9	1465.81	15
1224_121064_000079_000000	"Come, come," said Monte Cristo, "confess honestly that you have not perfect confidence in Thomson & French.	"Come, come," said Monte Cristo, "confess honestly that you have not perfect confidence in Thomson and French.	true	1466.36	1473.64	18.409372
1224_121064_000079_000001	I understand, and foreseeing that such might be the case, I took, in spite of my ignorance of affairs, certain precautions.	I understand, and foreseeing that such might be the case, I took, in spite of my ignorance of affairs, certain precautions.	true	1474.1	1482.79	19.639902
1224_121064_000079_000002	See, here are two similar letters to that you have yourself received; one from the house of Arstein & Eskeles of Vienna, to Baron Rothschild, the other drawn by Baring of London, upon M. Laffitte.	See, here are two similar letters to that you have yourself received; one from the house of Arstein and Eskeles of Vienna, to Baron Rothschild, the other drawn by Baring of London, upon m Laffitte.	false	1482.92	1498.42	17
1224_121064_000079_000003	Now, sir, you have but to say the word, and I will spare you all uneasiness by presenting my letter of credit to one or other of these two firms." The blow had struck home, and Danglars was entirely vanquished; with a trembling hand he took the two letters from the count, who held them carelessly between finger and thumb, and proceeded to scrutinize the signatures, with a minuteness that the count might have regarded as insulting, had it not suited his present purpose to mislead the banker.	Now, sir, you have but to say the word, and I will spare you all uneasiness by presenting my letter of credit to one or other of these two firms." The blow had struck home, and Danglars was entirely vanquished; with a trembling hand he took the two letters from the count, who held them carelessly between finger and thumb, and proceeded to scrutinize the signatures, with a minuteness that the count might have regarded as insulting, had it not suited his present purpose to mislead the banker.	true	1498.58	1531.54	17.698828
1224_121064_000079_000004	"Oh, sir," said Danglars, after he had convinced himself of the authenticity of the documents he held, and rising as if to salute the power of gold personified in the man before him,--"three letters of unlimited credit!	"Oh, sir," said Danglars, after he had convinced himself of the authenticity of the documents he held, and rising as if to salute the power of gold personified in the man before him,--"three letters of unlimited credit!	true	1532.03	1547.77	18.407728
1224_121064_000079_000005	I can be no longer mistrustful, but you must pardon me, my dear count, for confessing to some degree of astonishment."	I can be no longer mistrustful, but you must pardon me, my dear count, for confessing to some degree of astonishment."	false	1547.96	1555.39	18.33728
1224_121064_000080_000000	"Nay," answered Monte Cristo, with the most gentlemanly air, "'tis not for such trifling sums as these that your banking house is to be incommoded.	"Nay," answered Monte Cristo, with the most gentlemanly air, "'tis not for such trifling sums as these that your banking house is to be incommoded.	true	1555.79	1565.95	14
1224_121064_000080_000001	Then, you can let me have some money, can you not?"	Then, you can let me have some money, can you not?"	true	1566.11	1569.01	16
1224_121064_000081_000000	"Whatever you say, my dear count; I am at your orders."	"Whatever you say, my dear count; I am at your orders."	true	1569.53	1573.39	21.265553
1224_121064_000082_000000	"Why," replied Monte Cristo, "since we mutually understand each other--for such I presume is the case?" Danglars bowed assentingly.	"Why," replied Monte Cristo, "since we mutually understand each other-for such I presume is the case?" Danglars bowed assentingly.	true	1573.94	1582.18	18
1224_121064_000082_000001	"You are quite sure that not a lurking doubt or suspicion lingers in your mind?"	"You are quite sure that not a lurking doubt or suspicion lingers in your mind?"	true	1582.4	1587.28	14
1224_121064_000083_000000	"Oh, my dear count," exclaimed Danglars, "I never for an instant entertained such a feeling towards you."	"Oh, my dear count," exclaimed Danglars, "I never for an instant entertained such a feeling towards you."	true	1587.71	1594.72	20
1224_121064_000084_000000	"No, you merely wished to be convinced, nothing more; but now that we have come to so clear an understanding, and that all distrust and suspicion are laid at rest, we may as well fix a sum as the probable expenditure of the first year, suppose we say six millions to"--	"No, you merely wished to be convinced, nothing more; but now that we have come to so clear an understanding, and that all distrust and suspicion are laid at rest, we may as well fix a sum as the probable expenditure of the first year, suppose we say six millions to"--	true	1595.24	1614.43	18
1224_121064_000085_000000	"Six millions!" gasped Danglars--"so be it."	"Six millions!" gasped Danglars-"so be it."	true	1614.44	1620.07	16.257406
1224_121064_000086_000000	"Then, if I should require more," continued Monte Cristo in a careless manner, "why, of course, I should draw upon you; but my present intention is not to remain in France more than a year, and during that period I scarcely think I shall exceed the sum I mentioned.	"Then, if I should require more," continued Monte Cristo in a careless manner, "why, of course, I should draw upon you; but my present intention is not to remain in France more than a year, and during that period I scarcely think I shall exceed the sum I mentioned.	true	1620.59	1636.75	17
1224_121064_000086_000001	However, we shall see.	However, we shall see.	true	1636.85	1638.55	16
1224_121064_000086_000002	Be kind enough, then, to send me 500,000 francs to-morrow.	Be kind enough, then, to send me five hundred thousand francs to morrow.	true	1638.95	1642.63	15
1224_121064_000086_000003	I shall be at home till midday, or if not, I will leave a receipt with my steward."	I shall be at home till midday, or if not, I will leave a receipt with my steward."	true	1642.67	1648.27	17.868105
1224_121064_000087_000000	"The money you desire shall be at your house by ten o'clock to-morrow morning, my dear count," replied Danglars.	"The money you desire shall be at your house by ten o'clock to morrow morning, my dear count," replied Danglars.	true	1649.57	1654.93	18
1224_121064_000087_000001	"How would you like to have it?	"How would you like to have it?	true	1655.15	1656.67	20.993902
1224_121064_000087_000002	in gold, silver, or notes?"	in gold, silver, or notes?"	true	1656.8	1659.48	20.79764
1224_121064_000088_000000	"Half in gold, and the other half in bank-notes, if you please," said the count, rising from his seat.	"Half in gold, and the other half in bank notes, if you please," said the count, rising from his seat.	false	1659.48	1666	16.916233
1224_121064_000089_000000	"I must confess to you, count," said Danglars, "that I have hitherto imagined myself acquainted with the degree of all the great fortunes of Europe, and still wealth such as yours has been wholly unknown to me. May I presume to ask whether you have long possessed it?"	"I must confess to you, count," said Danglars, "that I have hitherto imagined myself acquainted with the degree of all the great fortunes of Europe, and still wealth such as yours has been wholly unknown to me. May I presume to ask whether you have long possessed it?"	false	1666.16	1681.57	18.460768
1224_121064_000090_000000	"It has been in the family a very long while," returned Monte Cristo, "a sort of treasure expressly forbidden to be touched for a certain period of years, during which the accumulated interest has doubled the capital. The period appointed by the testator for the disposal of these riches occurred only a short time ago, and they have only been employed by me within the last few years.	"It has been in the family a very long while," returned Monte Cristo, "a sort of treasure expressly forbidden to be touched for a certain period of years, during which the accumulated interest has doubled the capital. The period appointed by the testator for the disposal of these riches occurred only a short time ago, and they have only been employed by me within the last few years.	false	1682.48	1704.16	17
1224_121064_000090_000001	Your ignorance on the subject, therefore, is easily accounted for.	Your ignorance on the subject, therefore, is easily accounted for.	true	1704.32	1708.3	16
1224_121064_000090_000002	However, you will be better informed as to me and my possessions ere long." And the count, while pronouncing these latter words, accompanied them with one of those ghastly smiles that used to strike terror into poor Franz d'Epinay.	However, you will be better informed as to me and my possessions ere long." And the count, while pronouncing these latter words, accompanied them with one of those ghastly smiles that used to strike terror into poor Franz d'Epinay.	false	1708.43	1723.59	19
1224_121064_000091_000000	"With your tastes, and means of gratifying them," continued Danglars, "you will exhibit a splendor that must effectually put us poor miserable millionaires quite in the shade.	"With your tastes, and means of gratifying them," continued Danglars, "you will exhibit a splendor that must effectually put us poor miserable millionaires quite in the shade.	true	1723.59	1733.74	17
1224_121064_000091_000001	If I mistake not you are an admirer of paintings, at least I judged so from the attention you appeared to be bestowing on mine when I entered the room.	If I mistake not you are an admirer of paintings, at least I judged so from the attention you appeared to be bestowing on mine when I entered the room.	true	1733.9	1743.19	18
1224_121064_000091_000002	If you will permit me, I shall be happy to show you my picture gallery, composed entirely of works by the ancient masters--warranted as such.	If you will permit me, I shall be happy to show you my picture gallery, composed entirely of works by the ancient masters-warranted as such.	true	1743.44	1752.46	20
1224_121064_000091_000003	Not a modern picture among them.	Not a modern picture among them.	true	1752.8	1754.88	20.993956
1224_121064_000091_000004	I cannot endure the modern school of painting."	I cannot endure the modern school of painting."	true	1754.88	1757.5	16
1224_121064_000092_000000	"You are perfectly right in objecting to them, for this one great fault--that they have not yet had time to become old."	"You are perfectly right in objecting to them, for this one great fault-that they have not yet had time to become old."	true	1758.2	1765.24	17
1224_121064_000093_000000	"Or will you allow me to show you several fine statues by Thorwaldsen, Bartoloni, and Canova?--all foreign artists, for, as you may perceive, I think but very indifferently of our French sculptors."	"Or will you allow me to show you several fine statues by Thorwaldsen, Bartoloni, and Canova?--all foreign artists, for, as you may perceive, I think but very indifferently of our French sculptors."	true	1765.85	1777.48	18
1224_121064_000094_000000	"You have a right to be unjust to them, monsieur; they are your compatriots."	"You have a right to be unjust to them, monsieur; they are your compatriots."	true	1778.09	1782.07	17
1224_121064_000095_000000	"But all this may come later, when we shall be better known to each other.	"But all this may come later, when we shall be better known to each other.	true	1782.8	1786.48	17
1224_121064_000095_000001	For the present, I will confine myself (if perfectly agreeable to you) to introducing you to the Baroness Danglars--excuse my impatience, my dear count, but a client like you is almost like a member of the family." Monte Cristo bowed, in sign that he accepted the proffered honor; Danglars rang and was answered by a servant in a showy livery. "Is the baroness at home?" inquired Danglars.	For the present, I will confine myself (if perfectly agreeable to you) to introducing you to the Baroness Danglars-excuse my impatience, my dear count, but a client like you is almost like a member of the family." Monte Cristo bowed, in sign that he accepted the proffered honor; Danglars rang and was answered by a servant in a showy livery. "Is the baroness at home?" inquired Danglars.	false	1786.58	1812.49	18.748606
1224_121064_000096_000000	"Yes, my lord," answered the man.	"Yes, my lord," answered the man.	true	1812.65	1814.98	16
1224_121064_000097_000000	"And alone?"	"And alone?"	true	1815.71	1817.37	22.13674
1224_121064_000098_000000	"No, my lord, madame has visitors."	"No, my lord, madame has visitors."	true	1817.37	1819.45	13
1224_121064_000099_000000	"Have you any objection to meet any persons who may be with madame, or do you desire to preserve a strict incognito?"	"Have you any objection to meet any persons who may be with madame, or do you desire to preserve a strict incognito?"	true	1819.97	1826.95	16
1224_121064_000100_000000	"No, indeed," replied Monte Cristo with a smile, "I do not arrogate to myself the right of so doing."	"No, indeed," replied Monte Cristo with a smile, "I do not arrogate to myself the right of so doing."	true	1827.41	1833.7	14
1224_121064_000101_000000	"And who is with madame?--M.	"And who is with madame?--M.	false	1834.4	1836.75	18.064611
1224_121064_000101_000001	Debray?" inquired Danglars, with an air of indulgence and good-nature that made Monte Cristo smile, acquainted as he was with the secrets of the banker's domestic life.	Debray?" inquired Danglars, with an air of indulgence and good nature that made Monte Cristo smile, acquainted as he was with the secrets of the banker's domestic life.	true	1836.75	1846.39	17
1224_121064_000102_000000	"Yes, my lord," replied the servant, "M.	"Yes, my lord," replied the servant, "M.	false	1846.61	1848.96	10
1224_121064_000102_000001	Debray is with madame." Danglars nodded his head; then, turning to Monte Cristo, said, "M. Lucien Debray is an old friend of ours, and private secretary to the Minister of the Interior.	Debray is with madame." Danglars nodded his head; then, turning to Monte Cristo, said, "M. Lucien Debray is an old friend of ours, and private secretary to the Minister of the Interior.	false	1848.96	1859.86	17
1224_121064_000102_000002	As for my wife, I must tell you, she lowered herself by marrying me, for she belongs to one of the most ancient families in France.	As for my wife, I must tell you, she lowered herself by marrying me, for she belongs to one of the most ancient families in France.	true	1860.08	1868.35	15
1224_121064_000102_000003	Her maiden name was De Servieres, and her first husband was Colonel the Marquis of Nargonne."	Her maiden name was De Servieres, and her first husband was Colonel the Marquis of Nargonne."	false	1868.42	1873.87	15
1224_121064_000103_000000	"I have not the honor of knowing Madame Danglars; but I have already met M. Lucien Debray."	"I have not the honor of knowing Madame Danglars; but I have already met m Lucien Debray."	false	1874.72	1880.38	14
1224_121064_000104_000000	"Ah, indeed?" said Danglars; "and where was that?"	"Ah, indeed?" said Danglars; "and where was that?"	true	1881.08	1885	19
1224_121064_000105_000000	"At the house of M. de Morcerf."	"At the house of m de Morcerf."	false	1885.55	1888	19.120306
1224_121064_000106_000000	"Ah, ha, you are acquainted with the young viscount, are you?"	"Ah, ha, you are acquainted with the young viscount, are you?"	true	1888.28	1891.87	21.842218
1224_121064_000107_000000	"We were together a good deal during the Carnival at Rome."	"We were together a good deal during the Carnival at Rome."	true	1892.3	1895.35	13
1224_121064_000108_000000	"True, true," cried Danglars.	"True, true," cried Danglars.	true	1895.96	1897.53	16
1224_121064_000108_000001	"Let me see; have I not heard talk of some strange adventure with bandits or thieves hid in ruins, and of his having had a miraculous escape?	"Let me see; have I not heard talk of some strange adventure with bandits or thieves hid in ruins, and of his having had a miraculous escape?	true	1897.53	1905.64	17
1224_121064_000108_000002	I forget how, but I know he used to amuse my wife and daughter by telling them about it after his return from Italy."	I forget how, but I know he used to amuse my wife and daughter by telling them about it after his return from Italy."	true	1905.77	1912.12	17
1224_121064_000109_000000	"Her ladyship is waiting to receive you, gentlemen," said the servant, who had gone to inquire the pleasure of his mistress.	"Her ladyship is waiting to receive you, gentlemen," said the servant, who had gone to inquire the pleasure of his mistress.	true	1912.76	1918.48	17
1224_121064_000109_000001	"With your permission," said Danglars, bowing, "I will precede you, to show you the way."	"With your permission," said Danglars, bowing, "I will precede you, to show you the way."	true	1918.79	1923.58	16
1224_121064_000110_000000	"By all means," replied Monte Cristo; "I follow you."	"By all means," replied Monte Cristo; "I follow you."	false	1923.86	1930.02	17.25668
1224_121064_000111_000000	Chapter 47.	Chapter forty seven.	false	1930.02	1930.89	17
1224_121064_000111_000001	The Dappled Grays.	The Dappled Grays.	false	1930.89	1931.49	4
1224_121064_000112_000000	The baron, followed by the count, traversed a long series of apartments, in which the prevailing characteristics were heavy magnificence and the gaudiness of ostentatious wealth, until he reached the boudoir of Madame Danglars--a small octagonal-shaped room, hung with pink satin, covered with white Indian muslin.	The baron, followed by the count, traversed a long series of apartments, in which the prevailing characteristics were heavy magnificence and the gaudiness of ostentatious wealth, until he reached the boudoir of Madame Danglars-a small octagonal shaped room, hung with pink satin, covered with white Indian muslin.	false	1931.49	1932.75	17
1224_121064_000112_000001	The chairs were of ancient workmanship and materials; over the doors were painted sketches of shepherds and shepherdesses, after the style and manner of Boucher; and at each side pretty medallions in crayons, harmonizing well with the furnishings of this charming apartment, the only one throughout the great mansion in which any distinctive taste prevailed.	The chairs were of ancient workmanship and materials; over the doors were painted sketches of shepherds and shepherdesses, after the style and manner of Boucher; and at each side pretty medallions in crayons, harmonizing well with the furnishings of this charming apartment, the only one throughout the great mansion in which any distinctive taste prevailed.	false	1932.75	1933.17	9
1224_121064_000112_000002	The truth was, it had been entirely overlooked in the plan arranged and followed out by M. Danglars and his architect, who had been selected to aid the baron in the great work of improvement solely because he was the most fashionable and celebrated decorator of the day.	The truth was, it had been entirely overlooked in the plan arranged and followed out by m Danglars and his architect, who had been selected to aid the baron in the great work of improvement solely because he was the most fashionable and celebrated decorator of the day.	false	1933.17	1933.71	39
1224_121064_000112_000003	The decorations of the boudoir had then been left entirely to Madame Danglars and Lucien Debray.	The decorations of the boudoir had then been left entirely to Madame Danglars and Lucien Debray.	false	1933.71	1933.71	
1224_121064_000112_000004	M. Danglars, however, while possessing a great admiration for the antique, as it was understood during the time of the Directory, entertained the most sovereign contempt for the simple elegance of his wife's favorite sitting-room, where, by the way, he was never permitted to intrude, unless, indeed, he excused his own appearance by ushering in some more agreeable visitor than himself; and even then he had rather the air and manner of a person who was himself introduced, than that of being the presenter of another, his reception being cordial or frigid, in proportion as the person who accompanied him chanced to please or displease the baroness.	M. Danglars, however, while possessing a great admiration for the antique, as it was understood during the time of the Directory, entertained the most sovereign contempt for the simple elegance of his wife's favorite sitting room, where, by the way, he was never permitted to intrude, unless, indeed, he excused his own appearance by ushering in some more agreeable visitor than himself; and even then he had rather the air and manner of a person who was himself introduced, than that of being the presenter of another, his reception being cordial or frigid, in proportion as the person who accompanied him chanced to please or displease the baroness.	false	1933.71	1938.96	17.912622
