8705_290361_000000_000000	CHAPTER XXIII.	CHAPTER twenty three.	true	22.2	23.65	22.482664
8705_290361_000024_000012	And if by the help of such MICROSCOPICAL EYES (if I may so call them) a man could penetrate further than ordinary into the secret composition and radical texture of bodies, he would not make any great advantage by the change, if such an acute sight would not serve to conduct him to the market and exchange; if he could not see things he was to avoid, at a convenient distance; nor distinguish things he had to do with by those sensible qualities others do.	And if by the help of such m i c r o s c o p i c a l EYES (if I may so call them) a man could penetrate further than ordinary into the secret composition and radical texture of bodies, he would not make any great advantage by the change, if such an acute sight would not serve to conduct him to the market and exchange; if he could not see things he was to avoid, at a convenient distance; nor distinguish things he had to do with by those sensible qualities others do.	false	1275.5	1302.67	20
8705_290361_000024_000013	He that was sharp-sighted enough to see the configuration of the minute particles of the spring of a clock, and observe upon what peculiar structure and impulse its elastic motion depends, would no doubt discover something very admirable: but if eyes so framed could not view at once the hand, and the characters of the hour-plate, and thereby at a distance see what o'clock it was, their owner could not be much benefited by that acuteness; which, whilst it discovered the secret contrivance of the parts of the machine, made him lose its use.	He that was sharp sighted enough to see the configuration of the minute particles of the spring of a clock, and observe upon what peculiar structure and impulse its elastic motion depends, would no doubt discover something very admirable: but if eyes so framed could not view at once the hand, and the characters of the hour plate, and thereby at a distance see what o'clock it was, their owner could not be much benefited by that acuteness; which, whilst it discovered the secret contrivance of the parts of the machine, made him lose its use.	false	1303.55	1335.07	20
8705_290361_000025_000000	13.	thirteen.	true	1336.22	1337.26	18.199736
8705_290361_000025_000001	Conjecture about the corporeal organs of some Spirits.	Conjecture about the corporeal organs of some Spirits.	true	1337.33	1341.19	20.968588
8705_290361_000026_000000	And here give me leave to propose an extravagant conjecture of mine, viz.	And here give me leave to propose an extravagant conjecture of mine, viz.	false	1341.74	1346.58	19.222256
8705_290361_000026_000001	That since we have some reason (if there be any credit to be given to the report of things that our philosophy cannot account for) to imagine, that Spirits can assume to themselves bodies of different bulk, figure, and conformation of parts--whether one great advantage some of them have over us may not lie in this, that they can so frame and shape to themselves organs of sensation or perception, as to suit them to their present design, and the circumstances of the object they would consider.	That since we have some reason (if there be any credit to be given to the report of things that our philosophy cannot account for) to imagine, that Spirits can assume to themselves bodies of different bulk, figure, and conformation of parts-whether one great advantage some of them have over us may not lie in this, that they can so frame and shape to themselves organs of sensation or perception, as to suit them to their present design, and the circumstances of the object they would consider.	true	1346.58	1375.72	19.677507
8705_290361_000026_000002	For how much would that man exceed all others in knowledge, who had but the faculty so to alter the structure of his eyes, that one sense, as to make it capable of all the several degrees of vision which the assistance of glasses (casually at first lighted on) has taught us to conceive?	For how much would that man exceed all others in knowledge, who had but the faculty so to alter the structure of his eyes, that one sense, as to make it capable of all the several degrees of vision which the assistance of glasses (casually at first lighted on) has taught us to conceive?	true	1376	1393.87	19.701864
8705_290361_000026_000003	What wonders would he discover, who could so fit his eyes to all sorts of objects, as to see when he pleased the figure and motion of the minute particles in the blood, and other juices of animals, as distinctly as he does, at other times, the shape and motion of the animals themselves?	What wonders would he discover, who could so fit his eyes to all sorts of objects, as to see when he pleased the figure and motion of the minute particles in the blood, and other juices of animals, as distinctly as he does, at other times, the shape and motion of the animals themselves?	false	1394.06	1410.52	19.173067
8705_290361_000026_000004	But to us, in our present state, unalterable organs, so contrived as to discover the figure and motion of the minute parts of bodies, whereon depend those sensible qualities we now observe in them, would perhaps be of no advantage.	But to us, in our present state, unalterable organs, so contrived as to discover the figure and motion of the minute parts of bodies, whereon depend those sensible qualities we now observe in them, would perhaps be of no advantage.	false	1410.83	1425.04	19
8705_290361_000026_000005	God has no doubt made them so as is best for us in our present condition.	God has no doubt made them so as is best for us in our present condition.	true	1425.38	1430.7	17
8705_290361_000026_000006	He hath fitted us for the neighbourhood of the bodies that surround us, and we have to do with; and though we cannot, by the faculties we have, attain to a perfect knowledge of things, yet they will serve us well enough for those ends above-mentioned, which are our great concernment.	He hath fitted us for the neighbourhood of the bodies that surround us, and we have to do with; and though we cannot, by the faculties we have, attain to a perfect knowledge of things, yet they will serve us well enough for those ends above mentioned, which are our great concernment.	false	1430.7	1447.15	20.130041
8705_290361_000026_000007	I beg my reader's pardon for laying before him so wild a fancy concerning the ways of perception of beings above us; but how extravagant soever it be, I doubt whether we can imagine anything about the knowledge of angels but after this manner, some way or other in proportion to what we find and observe in ourselves.	I beg my reader's pardon for laying before him so wild a fancy concerning the ways of perception of beings above us; but how extravagant soever it be, I doubt whether we can imagine anything about the knowledge of angels but after this manner, some way or other in proportion to what we find and observe in ourselves.	true	1447.55	1466.67	18
8705_290361_000026_000008	And though we cannot but allow that the infinite power and wisdom of God may frame creatures with a thousand other faculties and ways of perceiving things without them than what we have, yet our thoughts can go no further than our own: so impossible it is for us to enlarge our very guesses beyond the ideas received from our own sensation and reflection.	And though we cannot but allow that the infinite power and wisdom of God may frame creatures with a thousand other faculties and ways of perceiving things without them than what we have, yet our thoughts can go no further than our own: so impossible it is for us to enlarge our very guesses beyond the ideas received from our own sensation and reflection.	false	1466.67	1488.07	18
8705_290361_000026_000009	The supposition, at least, that angels do sometimes assume bodies, needs not startle us; since some of the most ancient and most learned Fathers of the church seemed to believe that they had bodies: and this is certain, that their state and way of existence is unknown to us.	The supposition, at least, that angels do sometimes assume bodies, needs not startle us; since some of the most ancient and most learned Fathers of the church seemed to believe that they had bodies: and this is certain, that their state and way of existence is unknown to us.	false	1488.5	1506.52	19.959904
8705_290361_000027_000000	14.	fourteen.	true	1507.61	1508.76	22.852509
8705_290361_000027_000001	Our specific Ideas of Substances.	Our specific Ideas of Substances.	true	1508.76	1511.5	19.32691
8705_290361_000028_000000	But to return to the matter in hand,--the ideas we have of substances, and the ways we come by them.	But to return to the matter in hand,--the ideas we have of substances, and the ways we come by them.	true	1511.6	1517.98	18.808912
8705_290361_000028_000001	I say, our SPECIFIC ideas of substances are nothing else but A COLLECTION OF CERTAIN NUMBER OF SIMPLE IDEAS, CONSIDERED AS UNITED IN ONE THING.	I say, our SPECIFIC ideas of substances are nothing else but A COLLECTION OF CERTAIN NUMBER OF SIMPLE IDEAS, CONSIDERED AS UNITED IN ONE THING.	true	1518.35	1530.04	19.850544
8705_290361_000028_000002	These ideas of substances, though they are commonly simple apprehensions, and the names of them simple terms, yet in effect are complex and compounded.	These ideas of substances, though they are commonly simple apprehensions, and the names of them simple terms, yet in effect are complex and compounded.	true	1530.38	1540.15	19.130602
8705_290361_000028_000003	Thus the idea which an Englishman signifies by the name swan, is white colour, long neck, red beak, black legs, and whole feet, and all these of a certain size, with a power of swimming in the water, and making a certain kind of noise, and perhaps, to a man who has long observed this kind of birds, some other properties: which all terminate in sensible simple ideas, all united in one common subject.	Thus the idea which an Englishman signifies by the name swan, is white colour, long neck, red beak, black legs, and whole feet, and all these of a certain size, with a power of swimming in the water, and making a certain kind of noise, and perhaps, to a man who has long observed this kind of birds, some other properties: which all terminate in sensible simple ideas, all united in one common subject.	true	1540.31	1566.91	19.824171
8705_290361_000029_000000	15.	fifteen.	true	1567.67	1568.74	16.078424
8705_290361_000029_000001	Our Ideas of spiritual Substances, as clear as of bodily Substances.	Our Ideas of spiritual Substances, as clear as of bodily Substances.	true	1569.08	1574.08	20.805677
8705_290361_000030_000000	Besides the complex ideas we have of material sensible substances, of which I have last spoken,--by the simple ideas we have taken from those operations of our own minds, which we experiment daily in ourselves, as thinking, understanding, willing, knowing, and power of beginning motion, &c., co-existing in some substance, we are able to frame the COMPLEX IDEA OF AN IMMATERIAL SPIRIT.	Besides the complex ideas we have of material sensible substances, of which I have last spoken,--by the simple ideas we have taken from those operations of our own minds, which we experiment daily in ourselves, as thinking, understanding, willing, knowing, and power of beginning motion, and c., co existing in some substance, we are able to frame the COMPLEX IDEA OF AN IMMATERIAL SPIRIT.	false	1574.69	1600.02	20.24063
8705_290361_000030_000001	And thus, by putting together the ideas of thinking, perceiving, liberty, and power of moving themselves and other things, we have as clear a perception and notion of immaterial substances as we have of material.	And thus, by putting together the ideas of thinking, perceiving, liberty, and power of moving themselves and other things, we have as clear a perception and notion of immaterial substances as we have of material.	false	1600.02	1613.77	19.98647
8705_290361_000030_000002	For putting together the ideas of thinking and willing, or the power of moving or quieting corporeal motion, joined to substance, of which we have no distinct idea, we have the idea of an immaterial spirit; and by putting together the ideas of coherent solid parts, and a power of being moved joined with substance, of which likewise we have no positive idea, we have the idea of matter. The one is as clear and distinct an idea as the other: the idea of thinking, and moving a body, being as clear and distinct ideas as the ideas of extension, solidity, and being moved.	For putting together the ideas of thinking and willing, or the power of moving or quieting corporeal motion, joined to substance, of which we have no distinct idea, we have the idea of an immaterial spirit; and by putting together the ideas of coherent solid parts, and a power of being moved joined with substance, of which likewise we have no positive idea, we have the idea of matter. The one is as clear and distinct an idea as the other: the idea of thinking, and moving a body, being as clear and distinct ideas as the ideas of extension, solidity, and being moved.	true	1614.26	1650.61	20.204184
8705_290361_000030_000003	For our idea of substance is equally obscure, or none at all, in both: it is but a supposed I know not what, to support those ideas we call accidents.	For our idea of substance is equally obscure, or none at all, in both: it is but a supposed I know not what, to support those ideas we call accidents.	true	1650.92	1663	20.95343
8705_290361_000030_000004	It is for want of reflection that we are apt to think that our senses show us nothing but material things.	It is for want of reflection that we are apt to think that our senses show us nothing but material things.	false	1663.22	1669.39	16
8705_290361_000030_000005	Every act of sensation, when duly considered, gives us an equal view of both parts of nature, the corporeal and spiritual.	Every act of sensation, when duly considered, gives us an equal view of both parts of nature, the corporeal and spiritual.	true	1669.46	1678.09	20.070496
8705_290361_000030_000006	For whilst I know, by seeing or hearing, &c., that there is some corporeal being without me, the object of that sensation, I do more certainly know, that there is some spiritual being within me that sees and hears. This, I must be convinced, cannot be the action of bare insensible matter; nor ever could be, without an immaterial thinking being.	For whilst I know, by seeing or hearing, and c., that there is some corporeal being without me, the object of that sensation, I do more certainly know, that there is some spiritual being within me that sees and hears. This, I must be convinced, cannot be the action of bare insensible matter; nor ever could be, without an immaterial thinking being.	false	1678.37	1699.96	19
8705_290361_000031_000000	16.	sixteen.	true	1701.05	1702.18	9
8705_290361_000031_000001	No Idea of abstract Substance either in Body or Spirit.	No Idea of abstract Substance either in Body or Spirit.	true	1702.18	1706.23	20
8705_290361_000032_000000	By the complex idea of extended, figured, coloured, and all other sensible qualities, which is all that we know of it, we are as far from the idea of the substance of body, as if we knew nothing at all: nor after all the acquaintance and familiarity which we imagine we have with matter, and the many qualities men assure themselves they perceive and know in bodies, will it perhaps upon examination be found, that they have any more or clearer primary ideas belonging to body, than they have belonging to immaterial spirit.	By the complex idea of extended, figured, coloured, and all other sensible qualities, which is all that we know of it, we are as far from the idea of the substance of body, as if we knew nothing at all: nor after all the acquaintance and familiarity which we imagine we have with matter, and the many qualities men assure themselves they perceive and know in bodies, will it perhaps upon examination be found, that they have any more or clearer primary ideas belonging to body, than they have belonging to immaterial spirit.	false	1706.57	1739.41	20.442715
8705_290361_000033_000000	17.	seventeen.	true	1739.84	1740.97	8
8705_290361_000033_000001	Cohesion of solid parts and Impulse, the primary ideas peculiar to Body.	Cohesion of solid parts and Impulse, the primary ideas peculiar to Body.	true	1740.98	1746.88	20.025158
8705_290361_000034_000000	The primary ideas we have PECULIAR TO BODY, as contradistinguished to spirit, are the COHESION OF SOLID, AND CONSEQUENTLY SEPARABLE, PARTS, and a POWER OF COMMUNICATING MOTION BY IMPULSE.	The primary ideas we have PECULIAR TO BODY, as contradistinguished to spirit, are the COHESION OF SOLID, AND CONSEQUENTLY SEPARABLE, PARTS, and a POWER OF COMMUNICATING MOTION BY IMPULSE.	true	1747.22	1761.16	20.07034
8705_290361_000034_000001	These, I think, are the original ideas proper and peculiar to body; for figure is but the consequence of finite extension.	These, I think, are the original ideas proper and peculiar to body; for figure is but the consequence of finite extension.	true	1761.38	1769.83	20.008465
8705_290361_000035_000000	18.	eighteen.	true	1770.32	1771.33	18.36368
8705_290361_000035_000001	Thinking and Motivity	Thinking and Motivity	true	1771.4	1773.13	22
8705_290361_000036_000000	The ideas we have belonging and PECULIAR TO SPIRIT, are THINKING, and WILL, or A POWER OF PUTTING BODY INTO MOTION BY THOUGHT, AND, WHICH IS CONSEQUENT TO IT, LIBERTY.	The ideas we have belonging and PECULIAR TO SPIRIT, are THINKING, and WILL, or A POWER OF PUTTING BODY INTO MOTION BY THOUGHT, AND, WHICH IS CONSEQUENT TO IT, LIBERTY.	true	1773.5	1785.73	21.116198
8705_290361_000036_000001	For, as body cannot but communicate its motion by impulse to another body, which it meets with at rest, so the mind can put bodies into motion, or forbear to do so, as it pleases.	For, as body cannot but communicate its motion by impulse to another body, which it meets with at rest, so the mind can put bodies into motion, or forbear to do so, as it pleases.	true	1785.86	1798.36	20.364254
8705_290361_000036_000002	The ideas of EXISTENCE, DURATION, and MOBILITY, are common to them both.	The ideas of EXISTENCE, DURATION, and MOBILITY, are common to them both.	true	1798.64	1804.26	19.104723
8705_290361_000037_000000	19.	nineteen.	false	1804.26	1804.68	-20
8705_290361_000037_000001	Spirits capable of Motion.	Spirits capable of Motion.	false	1804.68	1807.32	17.712717
