8410_278217_000000_000000	CHAPTER XXVI.	CHAPTER twenty six.	false	0.96	23.38	26.260231
8410_278217_000071_000001	I shall be happy to see you at the Clarendon, if you will dine with me any evening that you are disengaged."	I shall be happy to see you at the Clarendon, if you will dine with me any evening that you are disengaged."	false	843.44	848.83	27.763554
8410_278217_000072_000000	There was very little heartiness in the tone of this invitation; and Mr. Balderby perfectly understood that it was only a formula which Mr. Dunbar felt himself called upon to go through.	There was very little heartiness in the tone of this invitation; and mr Balderby perfectly understood that it was only a formula which mr Dunbar felt himself called upon to go through.	true	849.14	858.01	23.615898
8410_278217_000072_000001	The junior partner murmured his acknowledgment of Henry Dunbar's politeness; and then the two men talked together for a few minutes on indifferent subjects.	The junior partner murmured his acknowledgment of Henry Dunbar's politeness; and then the two men talked together for a few minutes on indifferent subjects.	true	858.29	865.48	23.263865
8410_278217_000073_000000	Five minutes afterwards Mr. Dunbar rose to leave the room.	Five minutes afterwards mr Dunbar rose to leave the room.	true	866.54	869.68	25.024773
8410_278217_000073_000001	He went into the passage between Mr. Balderby's parlour and the public offices of the bank.	He went into the passage between mr Balderby's parlour and the public offices of the bank.	false	869.84	874.09	27.032566
8410_278217_000073_000002	This passage was very dark; but the offices were well lighted by lofty plate-glass windows.	This passage was very dark; but the offices were well lighted by lofty plate glass windows.	true	874.4	879.01	26.492043
8410_278217_000073_000003	Between the end of the passage and the outer doors of the bank, Henry Dunbar saw the figure of a woman sitting near one of the desks and talking to Clement Austin.	Between the end of the passage and the outer doors of the bank, Henry Dunbar saw the figure of a woman sitting near one of the desks and talking to Clement Austin.	true	879.26	886.78	26.742907
8410_278217_000074_000000	The banker stopped suddenly, and went back to the parlour.	The banker stopped suddenly, and went back to the parlour.	true	887.66	890.2	31.589905
8410_278217_000075_000000	He looked about him a little absently as he re-entered the room.	He looked about him a little absently as he re-entered the room.	true	890.66	893.62	25.863997
8410_278217_000076_000000	"I thought I brought a cane," he said.	"I thought I brought a cane," he said.	false	894.38	897.46	22.862913
8410_278217_000077_000000	"I think not," replied Mr. Balderby, rising from before his desk.	"I think not," replied mr Balderby, rising from before his desk.	false	898.1	902.04	25.69429
8410_278217_000077_000001	"I don't remember seeing one in your hand."	"I don't remember seeing one in your hand."	true	902.04	904.09	24.867506
8410_278217_000078_000000	"Ah, then, I suppose I was mistaken."	"Ah, then, I suppose I was mistaken."	true	904.55	907.57	25.131159
8410_278217_000079_000000	He still lingered in the parlour, putting on his gloves very slowly, and looking out of the window into the dismal backyard, where there was a dingy little wooden door set deep in the stone wall.	He still lingered in the parlour, putting on his gloves very slowly, and looking out of the window into the dismal backyard, where there was a dingy little wooden door set deep in the stone wall.	true	908.54	917.8	21
8410_278217_000080_000000	While the banker loitered near the window, Clement Austin came into the room, to show some document to the junior partner.	While the banker loitered near the window, Clement Austin came into the room, to show some document to the junior partner.	true	918.53	924.16	28.653948
8410_278217_000080_000001	Henry Dunbar turned round as the cashier was about to leave the parlour.	Henry Dunbar turned round as the cashier was about to leave the parlour.	true	924.62	928.02	24.980352
8410_278217_000081_000000	"I saw a woman just now talking to you in the office.	"I saw a woman just now talking to you in the office.	false	928.02	931.75	22.823107
8410_278217_000081_000001	That's not very business-like, is it, Mr. Austin?	That's not very business like, is it, mr Austin?	true	932.18	934.84	29.643192
8410_278217_000081_000002	Who is the woman?"	Who is the woman?"	true	935.15	936.25	33.21245
8410_278217_000082_000000	"She is a young lady, sir."	"She is a young lady, sir."	true	937.4	939.19	27.632854
8410_278217_000083_000000	"A young lady?"	"A young lady?"	true	939.65	940.75	26.453362
8410_278217_000084_000000	"Yes, sir."	"Yes, sir."	true	941.24	942.25	26.234127
8410_278217_000085_000000	"What brings her here?"	"What brings her here?"	true	942.8	943.99	24.797956
8410_278217_000086_000000	The cashier hesitated for a moment before he replied, "She--wishes to see you, Mr. Dunbar," he said, after that brief pause.	The cashier hesitated for a moment before he replied, "She-wishes to see you, mr Dunbar," he said, after that brief pause.	true	944.78	953.89	24.653072
8410_278217_000087_000000	"What is her name?--who--who is she?"	"What is her name?--who-who is she?"	true	954.8	958.12	23.284157
8410_278217_000088_000000	"Her name is Wilmot--Margaret Wilmot."	"Her name is Wilmot-Margaret Wilmot."	false	958.91	963.27	22.75601
8410_278217_000089_000000	"I know no such person!" answered the banker, haughtily, but looking nervously at the half-opened door as he spoke.	"I know no such person!" answered the banker, haughtily, but looking nervously at the half opened door as he spoke.	false	963.27	969.25	25.135483
8410_278217_000090_000000	"Shut that door, sir!" he said, impatiently, to the cashier; "the draught from the passage is strong enough to cut a man in two.	"Shut that door, sir!" he said, impatiently, to the cashier; "the draught from the passage is strong enough to cut a man in two.	true	969.32	975.67	27.913445
8410_278217_000090_000001	Who is this Margaret Wilmot?"	Who is this Margaret Wilmot?"	false	975.86	978.72	25.149517
8410_278217_000091_000000	"The daughter of that unfortunate man, Joseph Wilmot, who was cruelly murdered at Winchester!" answered the cashier, very gravely.	"The daughter of that unfortunate man, Joseph Wilmot, who was cruelly murdered at Winchester!" answered the cashier, very gravely.	true	978.72	986.86	26.3368
8410_278217_000092_000000	He looked Henry Dunbar full in the face as he spoke.	He looked Henry Dunbar full in the face as he spoke.	true	987.56	991.09	21.97703
8410_278217_000093_000000	The banker returned his look as unflinchingly as he had done before, and spoke in a hard, unfaltering voice as he answered: "Tell this person, Margaret Wilmot, that I refuse to see her to-day, as I refused to see her in Portland Place, and as I refused to see her at Winchester!" he said, deliberately.	The banker returned his look as unflinchingly as he had done before, and spoke in a hard, unfaltering voice as he answered: "Tell this person, Margaret Wilmot, that I refuse to see her to day, as I refused to see her in Portland Place, and as I refused to see her at Winchester!" he said, deliberately.	false	991.28	1009	25.537062
8410_278217_000093_000001	"Tell her that I shall always refuse to see her, whenever or wherever she makes an attack upon me.	"Tell her that I shall always refuse to see her, whenever or wherever she makes an attack upon me.	false	1009.37	1014.94	23.749819
8410_278217_000093_000002	I have suffered enough already on account of that hideous business at Winchester, and I shall most resolutely defend myself from any further persecution.	I have suffered enough already on account of that hideous business at Winchester, and I shall most resolutely defend myself from any further persecution.	true	1015.19	1023.04	24.503895
8410_278217_000093_000003	This young person can have no possible motive for wishing to see me.	This young person can have no possible motive for wishing to see me.	true	1023.14	1026.7	24
8410_278217_000093_000004	If she is poor and wants money of me, I am ready and willing to assist her.	If she is poor and wants money of me, I am ready and willing to assist her.	true	1026.83	1030.45	24.553225
8410_278217_000093_000005	I have already offered to do so--I can do no more.	I have already offered to do so-I can do no more.	true	1030.49	1033.9	28.950163
8410_278217_000093_000006	But if she is in distress----"	But if she is in distress----"	true	1034.12	1035.69	23.088095
8410_278217_000094_000000	"She is not in distress, Mr. Dunbar," interrupted Clement Austin.	"She is not in distress, mr Dunbar," interrupted Clement Austin.	true	1035.69	1039.75	23.38932
8410_278217_000094_000001	"She has friends who love her well enough to shield her from that."	"She has friends who love her well enough to shield her from that."	true	1040.06	1043.08	24.735806
8410_278217_000095_000000	"Indeed; and you are one of those friends, I suppose, Mr. Austin?"	"Indeed; and you are one of those friends, I suppose, mr Austin?"	true	1043.81	1048.06	27.63335
8410_278217_000096_000000	"I am."	"I am."	true	1048.43	1049.32	24.817371
8410_278217_000097_000000	"Prove your friendship, then, by teaching Margaret Wilmot that she has a friend and not an enemy in me.	"Prove your friendship, then, by teaching Margaret Wilmot that she has a friend and not an enemy in me.	true	1049.96	1055.11	21
8410_278217_000097_000001	If you are--as I suspect from your manner--something more than a friend: if you love her, and she returns your love, marry her, and she shall have a dowry that no gentleman's wife need be ashamed to bring to her husband."	If you are-as I suspect from your manner-something more than a friend: if you love her, and she returns your love, marry her, and she shall have a dowry that no gentleman's wife need be ashamed to bring to her husband."	true	1055.36	1067.44	25
8410_278217_000098_000000	There was no anger, no impatience in the banker's voice now, but a tone of deep feeling.	There was no anger, no impatience in the banker's voice now, but a tone of deep feeling.	true	1068.17	1072.9	23.735329
8410_278217_000098_000001	Clement Austin locked at him, astonished by the change in his manner.	Clement Austin locked at him, astonished by the change in his manner.	true	1073.24	1076.86	25.06576
8410_278217_000099_000000	Henry Dunbar saw the look, and it seemed as if he endeavoured to answer it.	Henry Dunbar saw the look, and it seemed as if he endeavoured to answer it.	true	1077.05	1080.58	24.380892
8410_278217_000100_000000	"You have no need to be surprised that I shrink from seeing Margaret Wilmot," he said.	"You have no need to be surprised that I shrink from seeing Margaret Wilmot," he said.	true	1081.31	1085.62	29.090935
8410_278217_000100_000001	"Cannot you understand that my nerves may be none of the strongest, and that I cannot endure the idea of an interview with this girl, who, no doubt, by her persistent pursuit of me, suspects me of her father's murder?	"Cannot you understand that my nerves may be none of the strongest, and that I cannot endure the idea of an interview with this girl, who, no doubt, by her persistent pursuit of me, suspects me of her father's murder?	false	1085.93	1096.96	24.218267
8410_278217_000100_000002	I am an old man, and I have been thirty-five years in India.	I am an old man, and I have been thirty five years in India.	true	1097.21	1100.89	26.93738
8410_278217_000100_000003	My health is shattered, and I have a horror of all tragic scenes.	My health is shattered, and I have a horror of all tragic scenes.	true	1101.2	1104.85	25.073437
8410_278217_000100_000004	I have not yet recovered from the shock of that horrible business at Winchester.	I have not yet recovered from the shock of that horrible business at Winchester.	true	1104.86	1108.69	22.914886
8410_278217_000100_000005	Go and tell Margaret Wilmot this: tell her that I will be her true friend if she will accept that friendship, but that I will not see her until she has learned to think better of me."	Go and tell Margaret Wilmot this: tell her that I will be her true friend if she will accept that friendship, but that I will not see her until she has learned to think better of me."	false	1109.06	1118.47	24.639235
8410_278217_000101_000000	There was something very straightforward, very simple, in all this.	There was something very straightforward, very simple, in all this.	true	1119.65	1123.15	26.639763
8410_278217_000101_000001	For a time, at least, Clement Austin's mind wavered.	For a time, at least, Clement Austin's mind wavered.	true	1123.46	1126.3	27.17807
8410_278217_000101_000002	Margaret was, perhaps, wrong, after all, and Henry Dunbar might be an innocent man.	Margaret was, perhaps, wrong, after all, and Henry Dunbar might be an innocent man.	true	1126.52	1130.83	26.437384
8410_278217_000102_000000	It was Clement who had informed Margaret of Mr. Dunbar's expected presence here upon this day; and it was on the strength of that information that the girl had come to St. Gundolph Lane, with the determination of seeing the man whom she believed to be the murderer of her father.	It was Clement who had informed Margaret of mr Dunbar's expected presence here upon this day; and it was on the strength of that information that the girl had come to st Gundolph Lane, with the determination of seeing the man whom she believed to be the murderer of her father.	false	1131.68	1144.87	24.97009
8410_278217_000103_000000	Clement returned to the office, where he had left Margaret, in order to repeat to her Mr. Dunbar's message.	Clement returned to the office, where he had left Margaret, in order to repeat to her mr Dunbar's message.	true	1145.3	1150.18	26
8410_278217_000104_000000	No sooner had the door of the parlour closed upon the cashier than Henry Dunbar turned abruptly to his junior partner.	No sooner had the door of the parlour closed upon the cashier than Henry Dunbar turned abruptly to his junior partner.	true	1150.97	1156.51	28.041067
8410_278217_000105_000000	"There is a door leading from the yard into a court that connects St. Gundolph Lane with another lane at the back," he said, "is there not?"	"There is a door leading from the yard into a court that connects st Gundolph Lane with another lane at the back," he said, "is there not?"	false	1157	1163.23	25.84532
8410_278217_000106_000000	He pointed to the dark little yard outside the window as he spoke.	He pointed to the dark little yard outside the window as he spoke.	true	1164.02	1167.73	28.421137
8410_278217_000107_000000	"Yes, there is a door, I believe."	"Yes, there is a door, I believe."	true	1167.83	1170.07	27.493681
8410_278217_000108_000000	"Is it locked?"	"Is it locked?"	true	1170.56	1171.57	37.913113
8410_278217_000109_000000	"No; it is seldom locked till four o'clock; the clerks use it sometimes, when they go in and out."	"No; it is seldom locked till four o'clock; the clerks use it sometimes, when they go in and out."	true	1172.3	1177.12	27.75592
8410_278217_000110_000000	"Then I shall go out that way," said Mr. Dunbar, who was almost breathless in his haste.	"Then I shall go out that way," said mr Dunbar, who was almost breathless in his haste.	true	1177.58	1182.19	26.5497
8410_278217_000110_000001	"You can send the carriage back to the Clarendon by-and-by.	"You can send the carriage back to the Clarendon by and by.	true	1182.59	1185.1	28.101698
8410_278217_000110_000002	I don't want to see that girl.	I don't want to see that girl.	true	1185.44	1186.93	26.11115
8410_278217_000110_000003	Good morning."	Good morning."	true	1187.12	1188.01	23.81065
8410_278217_000111_000000	He hurried out of the parlour, and into a passage leading to the yard, followed by Mr. Balderby, who wondered at his senior partner's excitement.	He hurried out of the parlour, and into a passage leading to the yard, followed by mr Balderby, who wondered at his senior partner's excitement.	true	1188.83	1195.63	23.160152
8410_278217_000111_000001	The door in the yard was not locked.	The door in the yard was not locked.	true	1196.12	1197.96	29.737137
8410_278217_000111_000002	Henry Dunbar opened it, went out into the court, and closed the door behind him.	Henry Dunbar opened it, went out into the court, and closed the door behind him.	true	1197.96	1201.75	27.537022
8410_278217_000112_000000	So, for the third time, he escaped from an interview with Margaret Wilmot.	So, for the third time, he escaped from an interview with Margaret Wilmot.	false	1202.15	1208.37	27.008
8410_278217_000113_000000	CHAPTER XXVII.	CHAPTER twenty seven.	false	1208.37	1209.18	28
8410_278217_000114_000000	CLEMENT AUSTIN'S WOOING.	CLEMENT AUSTIN'S WOOING.	false	1209.18	1209.42	21
8410_278217_000115_000000	For the third time Margaret Wilmot was disappointed in the hope of seeing Henry Dunbar.	For the third time Margaret Wilmot was disappointed in the hope of seeing Henry Dunbar.	false	1209.42	1210.68	28.546026
8410_278217_000115_000001	Clement Austin had on the previous evening told her of the banker's intended visit to the office in St. Gundolph Lane, and the young music-mistress had made hasty arrangements for the postponement of her usual duties, in order that she might go to the City to see Henry Dunbar.	Clement Austin had on the previous evening told her of the banker's intended visit to the office in st Gundolph Lane, and the young music mistress had made hasty arrangements for the postponement of her usual duties, in order that she might go to the City to see Henry Dunbar.	false	1210.68	1214.76	-20
