7285_72207_000000_000000	CHAPTER TWENTY-SECOND.	CHAPTER TWENTY SECOND.	false	0.96	26.28	18.903849
7285_72207_000095_000000	Rose was filled with grief, the father, and grandfather were almost heart-broken.	Rose was filled with grief, the father, and grandfather were almost heart broken.	false	1078.55	1083.64	19
7285_72207_000095_000001	But the mother!	But the mother!	true	1083.77	1085.05	17
7285_72207_000095_000002	That first night she had scarcely closed an eye, but continually her heart was going up in earnest supplications for grace and strength to meet this sore trial with patience, calmness, and submission.	That first night she had scarcely closed an eye, but continually her heart was going up in earnest supplications for grace and strength to meet this sore trial with patience, calmness, and submission.	true	1085.33	1097.86	16
7285_72207_000096_000000	And surely the prayer was heard and answered; day and night she was with her suffering little one, watching beside its crib, or holding it in her arms, soothing it with tender words of mother love, or singing, in low sweet tones, of Jesus and the happy land.	And surely the prayer was heard and answered; day and night she was with her suffering little one, watching beside its crib, or holding it in her arms, soothing it with tender words of mother love, or singing, in low sweet tones, of Jesus and the happy land.	false	1098.65	1114.54	15
7285_72207_000097_000000	Plenty of excellent nurses were at hand, more than willing to relieve her of her charge; but she would relinquish it to no one; except when compelled to take a little rest that her strength might not utterly fail her.	Plenty of excellent nurses were at hand, more than willing to relieve her of her charge; but she would relinquish it to no one; except when compelled to take a little rest that her strength might not utterly fail her.	true	1115.09	1128.13	16
7285_72207_000097_000001	Even then she refused to leave the room, but lay where the first plaintive cry, "Mamma," would rouse her and bring her instantly to her darling's side.	Even then she refused to leave the room, but lay where the first plaintive cry, "Mamma," would rouse her and bring her instantly to her darling's side.	false	1128.5	1137.97	14
7285_72207_000098_000000	At times the big tears might be seen coursing down her cheek, as she gazed mournfully upon the baby face so changed from what it was; but voice and manner were quiet and composed.	At times the big tears might be seen coursing down her cheek, as she gazed mournfully upon the baby face so changed from what it was; but voice and manner were quiet and composed.	false	1138.85	1151.41	15
7285_72207_000099_000000	Her husband was almost constantly at her side, sharing the care, the grief and anxiety, and the nursing, so far as she would let him.	Her husband was almost constantly at her side, sharing the care, the grief and anxiety, and the nursing, so far as she would let him.	true	1151.93	1160.53	15
7285_72207_000099_000001	Rose, too, and Mr. Dinsmore, were there every hour of the day, and often in the night, scarcely less anxious and grief-stricken than the parents, and Mr. Dinsmore especially, trembling for the life and health of the mother as well as the child.	Rose, too, and mr Dinsmore, were there every hour of the day, and often in the night, scarcely less anxious and grief stricken than the parents, and mr Dinsmore especially, trembling for the life and health of the mother as well as the child.	true	1160.84	1177.03	16
7285_72207_000100_000000	At length came a day when all knew and felt that wee Elsie was at the very brink of the grave, and the little thread of life might snap asunder at any moment.	At length came a day when all knew and felt that wee Elsie was at the very brink of the grave, and the little thread of life might snap asunder at any moment.	true	1177.7	1187.56	15
7285_72207_000101_000000	She lay on her pillow on her mother's lap, the limbs shrunken to half their former size, the face, but lately so beautiful with the bloom of health, grown wan and thin, with parched lips and half-closed, dreamy eyes.	She lay on her pillow on her mother's lap, the limbs shrunken to half their former size, the face, but lately so beautiful with the bloom of health, grown wan and thin, with parched lips and half closed, dreamy eyes.	true	1187.93	1201.96	16
7285_72207_000102_000000	Mr. Travilla sat close beside them, with cup and spoon in hand, now and then moistening the dry lips.	mr Travilla sat close beside them, with cup and spoon in hand, now and then moistening the dry lips.	true	1202.48	1209.19	16
7285_72207_000102_000001	Chloe, who had stationed herself a little behind her mistress to be within call, was dropping great tears on the soldier's stocking in her hand.	Chloe, who had stationed herself a little behind her mistress to be within call, was dropping great tears on the soldier's stocking in her hand.	true	1209.47	1218.1	14
7285_72207_000103_000000	Mr. Dinsmore came softly in and stood by the little group, his features working with emotion.	mr Dinsmore came softly in and stood by the little group, his features working with emotion.	true	1218.98	1225.48	14
7285_72207_000103_000001	"My darling," he murmured, "my precious daughter, may God comfort and sustain you."	"My darling," he murmured, "my precious daughter, may God comfort and sustain you."	true	1226.06	1232.53	13
7285_72207_000104_000000	"He does, papa," she answered in low, calm tones, as she raised her head and lifted her mournful eyes to his face; "His consolations are not small in the trying hour."	"He does, papa," she answered in low, calm tones, as she raised her head and lifted her mournful eyes to his face; "His consolations are not small in the trying hour."	true	1233.23	1246.81	13
7285_72207_000105_000000	"You can give her up?" he asked, in a choking voice, looking with anguish upon the wasted features of his almost idolized grandchild.	"You can give her up?" he asked, in a choking voice, looking with anguish upon the wasted features of his almost idolized grandchild.	true	1247.54	1257.58	16
7285_72207_000106_000000	"Yes, papa--if He sees fit to take her; 'twere but selfishness to want to keep her here.	"Yes, papa-if He sees fit to take her; 'twere but selfishness to want to keep her here.	true	1258.07	1265.23	17.867798
7285_72207_000106_000001	So safe, so happy will she be in Jesus' arms."	So safe, so happy will she be in Jesus' arms."	true	1265.45	1269.7	12
7285_72207_000107_000000	Mr. Travilla's frame shook with emotion, and Mr. Dinsmore was not less agitated; but the mother was still calm and resigned.	mr Travilla's frame shook with emotion, and mr Dinsmore was not less agitated; but the mother was still calm and resigned.	true	1270.4	1279.03	16
7285_72207_000108_000000	No sound had come from those little lips for hours; but now there was a faintly murmured "Mamma!"	No sound had come from those little lips for hours; but now there was a faintly murmured "Mamma!"	true	1279.58	1286.38	15
7285_72207_000109_000000	"Yes, darling, mamma is here," Elsie answered, softly pressing a kiss on the white brow; "what shall mamma do for her baby?"	"Yes, darling, mamma is here," Elsie answered, softly pressing a kiss on the white brow; "what shall mamma do for her baby?"	true	1286.57	1296.16	16
7285_72207_000110_000000	"Jesus loves wee Elsie?" and the dreamy eyes unclosed and looked up into the sweet pale face bent so lovingly over her.	"Jesus loves wee Elsie?" and the dreamy eyes unclosed and looked up into the sweet pale face bent so lovingly over her.	true	1296.89	1306.9	18
7285_72207_000110_000001	"Elsie so glad.	"Elsie so glad.	true	1307.51	1309.2	17
7285_72207_000110_000002	Mamma sing 'Happy land.'"	Mamma sing 'Happy land.'"	false	1309.2	1312.36	16.737299
7285_72207_000111_000000	The young mother's heart was like to burst, but with a silent prayer for strength, she controlled herself and sang low and sweetly, and even as she sang a change came over the child, and it fell into a deep, calm, natural sleep that lasted for hours.	The young mother's heart was like to burst, but with a silent prayer for strength, she controlled herself and sang low and sweetly, and even as she sang a change came over the child, and it fell into a deep, calm, natural sleep that lasted for hours.	false	1313.24	1330.75	16
7285_72207_000111_000001	All the time on the mother's lap, her eyes scarce moving from the dear little face; her breath almost suspended, lest that life-giving slumber should be broken.	All the time on the mother's lap, her eyes scarce moving from the dear little face; her breath almost suspended, lest that life giving slumber should be broken.	true	1331.36	1342.06	16
7285_72207_000112_000000	In vain husband and father in turn entreated to be allowed to relieve her.	In vain husband and father in turn entreated to be allowed to relieve her.	false	1342.85	1347.34	16
7285_72207_000113_000000	"No, oh no!" she whispered.	"No, oh no!" she whispered.	true	1347.59	1350.05	14
7285_72207_000113_000001	"I cannot have her disturbed; it might cost her life."	"I cannot have her disturbed; it might cost her life."	true	1350.05	1353.94	17
7285_72207_000114_000000	This was the turning point in the disease, and from that time the little one began to amend.	This was the turning point in the disease, and from that time the little one began to amend.	true	1354.46	1360.39	13
7285_72207_000114_000001	But very weak and frail, she was still in need of weeks of continued tender, careful nursing.	But very weak and frail, she was still in need of weeks of continued tender, careful nursing.	true	1360.67	1366.66	16
7285_72207_000115_000000	"Mamma's lap" was the place preferred above all others; but patient and unselfish, she yielded without a murmur when invited to the arms of papa, grandpa, Rose, or nurse, and told that "dear mamma was tired and needed rest."	"Mamma's lap" was the place preferred above all others; but patient and unselfish, she yielded without a murmur when invited to the arms of papa, grandpa, Rose, or nurse, and told that "dear mamma was tired and needed rest."	true	1367.12	1383.19	17
7285_72207_000116_000000	Elsie was indeed much reduced in health and strength; but love, joy, and thankfulness helped her to recuperate rapidly.	Elsie was indeed much reduced in health and strength; but love, joy, and thankfulness helped her to recuperate rapidly.	false	1383.83	1394.91	18.620365
7285_72207_000117_000000	CHAPTER TWENTY-THIRD.	CHAPTER TWENTY THIRD.	false	1394.91	1395.96	16
7285_72207_000118_000000	"What fates impose, that men must needs abide. It boots not to resist both wind and tide." --SHAKESPEARE'S HENRY VI.	"What fates impose, that men must needs abide. It boots not to resist both wind and tide." --SHAKESPEARE'S HENRY the sixth.	false	1395.96	1401.57	15.795607
