8225_274375_000000_000000	* Whitlocke, p. 69.	asterisk Whitlocke, p. sixty nine.	false	6.21	8.55	9
8225_274375_000030_000000	In the north, during this summer, the great interest and popularity of the earl, now created marquis of Newcastle, had raised a considerable force for the king; and great hopes of success were entertained from that quarter.	In the north, during this summer, the great interest and popularity of the earl, now created marquis of Newcastle, had raised a considerable force for the king; and great hopes of success were entertained from that quarter.	true	951.8	964.81	23.021551
8225_274375_000030_000001	There appeared, however, in opposition to him, two men on whom the event of the war finally depended, and who began about this time to be remarked for their valor and military conduct.	There appeared, however, in opposition to him, two men on whom the event of the war finally depended, and who began about this time to be remarked for their valor and military conduct.	true	965.27	976.24	21.403149
8225_274375_000030_000002	These were Sir Thomas Fairfax, son of the lord of that name, and Oliver Cromwell.	These were Sir Thomas Fairfax, son of the lord of that name, and Oliver Cromwell.	true	976.55	982.12	21.192703
8225_274375_000030_000003	The former gained a considerable advantage at Wakefield over a detachment of royalists, and took General Goring prisoner: the latter obtained a victory at Gainsborough over a party commanded by the gallant Cavendish, who perished in the action.	The former gained a considerable advantage at Wakefield over a detachment of royalists, and took General Goring prisoner: the latter obtained a victory at Gainsborough over a party commanded by the gallant Cavendish, who perished in the action.	true	982.55	996.04	20
8225_274375_000030_000004	But both these defeats of the royalists were more than sufficiently compensated by the total rout of Lord Fairfax at Atherton Moor, and the dispersion of his army.	But both these defeats of the royalists were more than sufficiently compensated by the total rout of Lord Fairfax at Atherton Moor, and the dispersion of his army.	true	996.5	1005.16	18
8225_274375_000030_000005	After this victory, Newcastle, with an army of fifteen thousand men, sat down before Hull. Hotham was no longer governor of this place.	After this victory, Newcastle, with an army of fifteen thousand men, sat down before Hull. Hotham was no longer governor of this place.	true	1006.07	1015.33	22.478983
8225_274375_000030_000006	That gentleman and his son partly from a jealousy entertained of Lord Fairfax, partly repenting of their engagements against the king, had entered into a correspondence with Newcastle, and had expressed an intention of delivering Hull into his hands.	That gentleman and his son partly from a jealousy entertained of Lord Fairfax, partly repenting of their engagements against the king, had entered into a correspondence with Newcastle, and had expressed an intention of delivering Hull into his hands.	true	1015.79	1029.16	21.012127
8225_274375_000030_000007	But their conspiracy being detected, they were arrested and sent prisoners to London; where, without any regard to their former services, they fell, both of them, victims to the severity of the parliament.[*]	But their conspiracy being detected, they were arrested and sent prisoners to London; where, without any regard to their former services, they fell, both of them, victims to the severity of the parliament.[asterisk]	false	1029.68	1042.68	20.525782
8225_274375_000031_000000	Newcastle, having carried on the attack of Hull for some time, was beat off by a sally of the garrison, and suffered so much that he thought proper to raise the siege.	Newcastle, having carried on the attack of Hull for some time, was beat off by a sally of the garrison, and suffered so much that he thought proper to raise the siege.	true	1042.68	1052.59	22.013357
8225_274375_000031_000001	About the same time, Manchester, who advanced from the eastern associated counties, having joined Cromwell and young Fairfax, obtained a considerable victory over the royalists at Horncastle; where the two officers last mentioned gained renown by their conduct and gallantry.	About the same time, Manchester, who advanced from the eastern associated counties, having joined Cromwell and young Fairfax, obtained a considerable victory over the royalists at Horncastle; where the two officers last mentioned gained renown by their conduct and gallantry.	true	1053.11	1069.48	21.014593
8225_274375_000031_000002	And though fortune had thus balanced her favors, the king's party still remained much superior in those parts of England; and had it not been for the garrison of Hull, which kept Yorkshire in awe, a conjunction of the northern forces with the army in the south might have been made, and had probably enabled the king, instead of entering on the unfortunate, perhaps imprudent, enterprise of Gloucester, to march directly to London, and put an end to the war.[**]	And though fortune had thus balanced her favors, the king's party still remained much superior in those parts of England; and had it not been for the garrison of Hull, which kept Yorkshire in awe, a conjunction of the northern forces with the army in the south might have been made, and had probably enabled the king, instead of entering on the unfortunate, perhaps imprudent, enterprise of Gloucester, to march directly to London, and put an end to the war.[asterisk asterisk]	false	1070	1130.4	20.614326
