1776_139035_000001_000000	1.	one.
1776_139035_000024_000005	After that all he does is to sing over the snake and the mimic rainbow; sooner or later the rain will fall.	After that all he does is to sing over the snake and the mimic rainbow; sooner or later the rain will fall.
1776_139035_000025_000000	Among the Wambugwe of East Africa, when the sorcerer desires to make rain, he takes a black sheep and a black calf in bright sunshine, and has them placed on the roof of the common hut in which the people live together.	Among the Wambugwe of East Africa, when the sorcerer desires to make rain, he takes a black sheep and a black calf in bright sunshine, and has them placed on the roof of the common hut in which the people live together.
1776_139035_000025_000002	After that he pours water and medicine into a vessel; if the charm has succeeded, the water boils up and rain follows.	After that he pours water and medicine into a vessel; if the charm has succeeded, the water boils up and rain follows.
1776_139035_000025_000003	On the other hand, if the sorcerer wishes to prevent rain from falling, he withdraws into the interior of the hut, and there heats a rock-crystal in a calabash.	On the other hand, if the sorcerer wishes to prevent rain from falling, he withdraws into the interior of the hut, and there heats a rock crystal in a calabash.
1776_139035_000025_000004	In order to procure rain the Wagogo sacrifice black fowls, black sheep, and black cattle at the graves of dead ancestors, and the rain-maker wears black clothes during the rainy season.	In order to procure rain the Wagogo sacrifice black fowls, black sheep, and black cattle at the graves of dead ancestors, and the rain maker wears black clothes during the rainy season.
1776_139035_000025_000008	The Garos of Assam offer a black goat on the top of a very high mountain in time of drought.	The Garos of Assam offer a black goat on the top of a very high mountain in time of drought.
1776_139035_000025_000011	At the chosen spot they tether the beast to a stone, and make it a target for their bullets and arrows.	At the chosen spot they tether the beast to a stone, and make it a target for their bullets and arrows.
1776_139035_000025_000012	When its life-blood bespatters the rocks, the peasants throw down their weapons and lift up their voices in supplication to the dragon divinity of the stream, exhorting him to send down forthwith a shower to cleanse the spot from its defilement.	When its life blood bespatters the rocks, the peasants throw down their weapons and lift up their voices in supplication to the dragon divinity of the stream, exhorting him to send down forthwith a shower to cleanse the spot from its defilement.
1776_139035_000025_000013	Custom has prescribed that on these occasions the colour of the victim shall be black, as an emblem of the wished-for rain-clouds.	Custom has prescribed that on these occasions the colour of the victim shall be black, as an emblem of the wished for rain clouds.
1776_139035_000025_000014	But if fine weather is wanted, the victim must be white, without a spot.	But if fine weather is wanted, the victim must be white, without a spot.
1776_139035_000026_000000	The intimate association of frogs and toads with water has earned for these creatures a widespread reputation as custodians of rain; and hence they often play a part in charms designed to draw needed showers from the sky.	The intimate association of frogs and toads with water has earned for these creatures a widespread reputation as custodians of rain; and hence they often play a part in charms designed to draw needed showers from the sky.
1776_139035_000026_000001	Some of the Indians of the Orinoco held the toad to be the god or lord of the waters, and for that reason feared to kill the creature.	Some of the Indians of the Orinoco held the toad to be the god or lord of the waters, and for that reason feared to kill the creature.
1776_139035_000026_000002	They have been known to keep frogs under a pot and to beat them with rods when there was a drought.	They have been known to keep frogs under a pot and to beat them with rods when there was a drought.
1776_139035_000026_000004	The Thompson Indians of British Columbia and some people in Europe think that to kill a frog will cause rain to fall.	The Thompson Indians of British Columbia and some people in Europe think that to kill a frog will cause rain to fall.
1776_139035_000027_000000	"Send soon, O frog, the jewel of water! And ripen the wheat and millet in the field."	"Send soon, O frog, the jewel of water! And ripen the wheat and millet in the field."
1776_139035_000029_000000	Sometimes, when a drought has lasted a long time, people drop the usual hocus-pocus of imitative magic altogether, and being far too angry to waste their breath in prayer they seek by threats and curses or even downright physical force to extort the waters of heaven from the supernatural being who has, so to say, cut them off at the main.	Sometimes, when a drought has lasted a long time, people drop the usual hocus pocus of imitative magic altogether, and being far too angry to waste their breath in prayer they seek by threats and curses or even downright physical force to extort the waters of heaven from the supernatural being who has, so to say, cut them off at the main.
1776_139035_000030_000000	The Chinese are adepts in the art of taking the kingdom of heaven by storm.	The Chinese are adepts in the art of taking the kingdom of heaven by storm.
1776_139035_000030_000001	Thus, when rain is wanted they make a huge dragon of paper or wood to represent the rain-god, and carry it about in procession; but if no rain follows, the mock-dragon is execrated and torn to pieces.	Thus, when rain is wanted they make a huge dragon of paper or wood to represent the rain god, and carry it about in procession; but if no rain follows, the mock dragon is execrated and torn to pieces.
1776_139035_000030_000002	At other times they threaten and beat the god if he does not give rain; sometimes they publicly depose him from the rank of deity.	At other times they threaten and beat the god if he does not give rain; sometimes they publicly depose him from the rank of deity.
1776_139035_000030_000003	On the other hand, if the wished-for rain falls, the god is promoted to a higher rank by an imperial decree.	On the other hand, if the wished for rain falls, the god is promoted to a higher rank by an imperial decree.
1776_139035_000030_000005	This had a salutary effect.	This had a salutary effect.
1776_139035_000030_000006	The rain ceased and the god was restored to liberty.	The rain ceased and the god was restored to liberty.
1776_139035_000030_000008	So when the Siamese need rain, they set out their idols in the blazing sun; but if they want dry weather, they unroof the temples and let the rain pour down on the idols.	So when the Siamese need rain, they set out their idols in the blazing sun; but if they want dry weather, they unroof the temples and let the rain pour down on the idols.
1776_139035_000031_000000	The reader may smile at the meteorology of the Far East; but precisely similar modes of procuring rain have been resorted to in Christian Europe within our own lifetime.	The reader may smile at the meteorology of the Far East; but precisely similar modes of procuring rain have been resorted to in Christian Europe within our own lifetime.
1776_139035_000031_000001	By the end of April 1893 there was great distress in Sicily for lack of water.	By the end of april eighteen ninety three there was great distress in Sicily for lack of water.
1776_139035_000031_000002	The drought had lasted six months.	The drought had lasted six months.
1776_139035_000031_000003	Every day the sun rose and set in a sky of cloudless blue.	Every day the sun rose and set in a sky of cloudless blue.
1776_139035_000031_000005	Food was becoming scarce.	Food was becoming scarce.
1776_139035_000031_000006	The people were in great alarm.	The people were in great alarm.
1776_139035_000031_000008	Men, women, and children, telling their beads, had lain whole nights before the holy images.	Men, women, and children, telling their beads, had lain whole nights before the holy images.
1776_139035_000031_000009	Consecrated candles had burned day and night in the churches.	Consecrated candles had burned day and night in the churches.
1776_139035_000031_000010	Palm branches, blessed on Palm Sunday, had been hung on the trees.	Palm branches, blessed on Palm Sunday, had been hung on the trees.
1776_139035_000031_000011	At Solaparuta, in accordance with a very old custom, the dust swept from the churches on Palm Sunday had been spread on the fields.	At Solaparuta, in accordance with a very old custom, the dust swept from the churches on Palm Sunday had been spread on the fields.
1776_139035_000031_000012	In ordinary years these holy sweepings preserve the crops; but that year, if you will believe me, they had no effect whatever. At Nicosia the inhabitants, bare-headed and bare-foot, carried the crucifixes through all the wards of the town and scourged each other with iron whips.	In ordinary years these holy sweepings preserve the crops; but that year, if you will believe me, they had no effect whatever. At Nicosia the inhabitants, bare headed and bare foot, carried the crucifixes through all the wards of the town and scourged each other with iron whips.
1776_139035_000031_000014	Even the great St. Francis of Paolo himself, who annually performs the miracle of rain and is carried every spring through the market-gardens, either could not or would not help.	Even the great saint Francis of Paolo himself, who annually performs the miracle of rain and is carried every spring through the market gardens, either could not or would not help.
1776_139035_000031_000015	Masses, vespers, concerts, illuminations, fire-works--nothing could move him.	Masses, vespers, concerts, illuminations, fire works-nothing could move him.
1776_139035_000031_000016	At last the peasants began to lose patience.	At last the peasants began to lose patience.
1776_139035_000031_000017	Most of the saints were banished.	Most of the saints were banished.
1776_139035_000031_000018	At Palermo they dumped St. Joseph in a garden to see the state of things for himself, and they swore to leave him there in the sun till rain fell.	At Palermo they dumped saint Joseph in a garden to see the state of things for himself, and they swore to leave him there in the sun till rain fell.
1776_139035_000031_000019	Other saints were turned, like naughty children, with their faces to the wall.	Other saints were turned, like naughty children, with their faces to the wall.
1776_139035_000031_000020	Others again, stripped of their beautiful robes, were exiled far from their parishes, threatened, grossly insulted, ducked in horse-ponds.	Others again, stripped of their beautiful robes, were exiled far from their parishes, threatened, grossly insulted, ducked in horse ponds.
1776_139035_000031_000021	At Caltanisetta the golden wings of St. Michael the Archangel were torn from his shoulders and replaced with wings of pasteboard; his purple mantle was taken away and a clout wrapt about him instead.	At Caltanisetta the golden wings of saint Michael the Archangel were torn from his shoulders and replaced with wings of pasteboard; his purple mantle was taken away and a clout wrapt about him instead.
1776_139035_000032_000000	Sometimes an appeal is made to the pity of the gods.	Sometimes an appeal is made to the pity of the gods.
1776_139035_000032_000001	When their corn is being burnt up by the sun, the Zulus look out for a "heaven bird," kill it, and throw it into a pool.	When their corn is being burnt up by the sun, the Zulus look out for a "heaven bird," kill it, and throw it into a pool.
1776_139035_000032_000002	Then the heaven melts with tenderness for the death of the bird; "it wails for it by raining, wailing a funeral wail." In Zululand women sometimes bury their children up to the neck in the ground, and then retiring to a distance keep up a dismal howl for a long time.	Then the heaven melts with tenderness for the death of the bird; "it wails for it by raining, wailing a funeral wail." In Zululand women sometimes bury their children up to the neck in the ground, and then retiring to a distance keep up a dismal howl for a long time.
1776_139035_000032_000003	The sky is supposed to melt with pity at the sight.	The sky is supposed to melt with pity at the sight.
1776_139035_000032_000004	Then the women dig the children out and feel sure that rain will soon follow.	Then the women dig the children out and feel sure that rain will soon follow.
1776_139035_000032_000007	In Kumaon a way of stopping rain is to pour hot oil in the left ear of a dog.	In Kumaon a way of stopping rain is to pour hot oil in the left ear of a dog.
1776_139035_000032_000009	Sometimes the Toradjas attempt to procure rain as follows.	Sometimes the Toradjas attempt to procure rain as follows.
1776_139035_000032_000011	However, the foregoing ceremonies are religious rather than magical, since they involve an appeal to the compassion of higher powers.	However, the foregoing ceremonies are religious rather than magical, since they involve an appeal to the compassion of higher powers.
1776_139035_000033_000001	In a Samoan village a certain stone was carefully housed as the representative of the rain-making god, and in time of drought his priests carried the stone in procession and dipped it in a stream.	In a Samoan village a certain stone was carefully housed as the representative of the rain making god, and in time of drought his priests carried the stone in procession and dipped it in a stream.
1776_139035_000033_000003	In the Keramin tribe of New South Wales the wizard retires to the bed of a creek, drops water on a round flat stone, then covers up and conceals it.	In the Keramin tribe of New South Wales the wizard retires to the bed of a creek, drops water on a round flat stone, then covers up and conceals it.
1776_139035_000033_000004	Among some tribes of North-western Australia the rain-maker repairs to a piece of ground which is set apart for the purpose of rain-making.	Among some tribes of north-western Australia the rain maker repairs to a piece of ground which is set apart for the purpose of rain making.
1776_139035_000033_000006	Water is sprinkled on the stone and huge fires are kindled.	Water is sprinkled on the stone and huge fires are kindled.
1776_139035_000033_000007	No layman may approach the sacred spot while the mystic ceremony is being performed.	No layman may approach the sacred spot while the mystic ceremony is being performed.
1776_139035_000033_000008	When the Sulka of New Britain wish to procure rain they blacken stones with the ashes of certain fruits and set them out, along with certain other plants and buds, in the sun.	When the Sulka of New Britain wish to procure rain they blacken stones with the ashes of certain fruits and set them out, along with certain other plants and buds, in the sun
1776_139035_000033_000009	Then a handful of twigs is dipped in water and weighted with stones, while a spell is chanted.	Then a handful of twigs is dipped in water and weighted with stones, while a spell is chanted.
1776_139035_000033_000010	After that rain should follow.	After that rain should follow.
1776_139035_000033_000011	In Manipur, on a lofty hill to the east of the capital, there is a stone which the popular imagination likens to an umbrella.	In Manipur, on a lofty hill to the east of the capital, there is a stone which the popular imagination likens to an umbrella.
1776_139035_000033_000012	When rain is wanted, the rajah fetches water from a spring below and sprinkles it on the stone.	When rain is wanted, the rajah fetches water from a spring below and sprinkles it on the stone.
1776_139035_000033_000013	At Sagami in Japan there is a stone which draws down rain whenever water is poured on it.	At Sagami in Japan there is a stone which draws down rain whenever water is poured on it.
1776_139035_000033_000014	When the Wakondyo, a tribe of Central Africa, desire rain, they send to the Wawamba, who dwell at the foot of snowy mountains, and are the happy possessors of a "rain-stone." In consideration of a proper payment, the Wawamba wash the precious stone, anoint it with oil, and put it in a pot full of water.	When the Wakondyo, a tribe of Central Africa, desire rain, they send to the Wawamba, who dwell at the foot of snowy mountains, and are the happy possessors of a "rain stone." In consideration of a proper payment, the Wawamba wash the precious stone, anoint it with oil, and put it in a pot full of water.
1776_139035_000033_000015	After that the rain cannot fail to come.	After that the rain cannot fail to come.
1776_139035_000033_000016	In the arid wastes of Arizona and New Mexico the Apaches sought to make rain by carrying water from a certain spring and throwing it on a particular point high up on a rock; after that they imagined that the clouds would soon gather, and that rain would begin to fall.	In the arid wastes of Arizona and New Mexico the Apaches sought to make rain by carrying water from a certain spring and throwing it on a particular point high up on a rock; after that they imagined that the clouds would soon gather, and that rain would begin to fall.
1776_139035_000034_000010	After this the rain was sure to fall within twenty-four hours.	After this the rain was sure to fall within twenty four hours.
1776_139035_000034_000012	In Mingrelia, when the crops are suffering from want of rain, they take a particularly holy image and dip it in water every day till a shower falls; and in the Far East the Shans drench the images of Buddha with water when the rice is perishing of drought.	In Mingrelia, when the crops are suffering from want of rain, they take a particularly holy image and dip it in water every day till a shower falls; and in the Far East the Shans drench the images of Buddha with water when the rice is perishing of drought.
1776_139035_000034_000013	In all such cases the practice is probably at bottom a sympathetic charm, however it may be disguised under the appearance of a punishment or a threat.	In all such cases the practice is probably at bottom a sympathetic charm, however it may be disguised under the appearance of a punishment or a threat.
1776_139035_000035_000000	Like other peoples, the Greeks and Romans sought to obtain rain by magic, when prayers and processions had proved ineffectual.	Like other peoples, the Greeks and romans sought to obtain rain by magic, when prayers and processions had proved ineffectual.
1776_139035_000035_000001	For example, in Arcadia, when the corn and trees were parched with drought, the priest of Zeus dipped an oak branch into a certain spring on Mount Lycaeus.	For example, in Arcadia, when the corn and trees were parched with drought, the priest of Zeus dipped an oak branch into a certain spring on Mount Lycaeus.
1776_139035_000035_000002	Thus troubled, the water sent up a misty cloud, from which rain soon fell upon the land.	Thus troubled, the water sent up a misty cloud, from which rain soon fell upon the land.
1776_139035_000035_000003	A similar mode of making rain is still practised, as we have seen, in Halmahera near New Guinea.	A similar mode of making rain is still practised, as we have seen, in Halmahera near New Guinea.
1776_139035_000035_000004	The people of Crannon in Thessaly had a bronze chariot which they kept in a temple.	The people of Crannon in Thessaly had a bronze chariot which they kept in a temple.
1776_139035_000035_000005	When they desired a shower they shook the chariot and the shower fell.	When they desired a shower they shook the chariot and the shower fell.
1776_139035_000035_000007	Indeed he declared that he was actually Zeus, and caused sacrifices to be offered to himself as such.	Indeed he declared that he was actually Zeus, and caused sacrifices to be offered to himself as such.
