5039_1189_000000_000000	Chapter Eleven	Chapter Eleven	false	0.6	27.06	21.355265
5039_1189_000093_000002	Said the Shaggy Man, halting here:	Said the Shaggy Man, halting here:	true	924.74	926.74	29.513384
5039_1189_000094_000000	"We may as well pass the night here, where there is shelter for our heads and good water to drink.	"We may as well pass the night here, where there is shelter for our heads and good water to drink.	true	926.75	931.245	21
5039_1189_000094_000001	Road beyond here is pretty bad; worst we shall have to travel; so let's wait until morning before we tackle it."	Road beyond here is pretty bad; worst we shall have to travel; so let's wait until morning before we tackle it."	true	931.245	937.3	22.575607
5039_1189_000095_000000	They agreed to this and Ojo found some brushwood in the cabin and made a fire on the hearth.	They agreed to this and Ojo found some brushwood in the cabin and made a fire on the hearth.	true	938.39	943.75	24
5039_1189_000095_000001	The fire delighted Scraps, who danced before it until Ojo warned her she might set fire to herself and burn up.	The fire delighted Scraps, who danced before it until Ojo warned her she might set fire to herself and burn up.	true	943.91	951.1	23
5039_1189_000095_000002	After that the Patchwork Girl kept at a respectful distance from the darting flames, but the Woozy lay down before the fire like a big dog and seemed to enjoy its warmth.	After that the Patchwork Girl kept at a respectful distance from the darting flames, but the Woozy lay down before the fire like a big dog and seemed to enjoy its warmth.	false	951.35	961.21	27.203115
5039_1189_000096_000000	For supper the Shaggy Man ate one of his tablets, but Ojo stuck to his bread and cheese as the most satisfying food.	For supper the Shaggy Man ate one of his tablets, but Ojo stuck to his bread and cheese as the most satisfying food.	true	961.64	968.535	24
5039_1189_000096_000001	He also gave a portion to the Woozy.	He also gave a portion to the Woozy.	true	968.535	970.78	21.481474
5039_1189_000097_000000	When darkness came on and they sat in a circle on the cabin floor, facing the firelight--there being no furniture of any sort in the place--Ojo said to the Shaggy Man:	When darkness came on and they sat in a circle on the cabin floor, facing the firelight-there being no furniture of any sort in the place-Ojo said to the Shaggy Man:	true	971.06	981.07	22.429535
5039_1189_000098_000000	"Won't you tell us a story?"	"Won't you tell us a story?"	true	981.32	983.11	22
5039_1189_000099_000000	"I'm not good at stories," was the reply; "but I sing like a bird."	"I'm not good at stories," was the reply; "but I sing like a bird."	true	983.51	988.33	27.057024
5039_1189_000100_000000	"Raven, or crow?" asked the Glass Cat.	"Raven, or crow?" asked the Glass Cat.	true	988.97	992.64	27.14823
5039_1189_000101_000000	"Like a song bird.	"Like a song bird.	false	992.64	994.44	21.786285
5039_1189_000101_000001	I'll prove it.	I'll prove it.	false	994.44	995.76	30.27788
5039_1189_000101_000002	I'll sing a song I composed myself. Don't tell anyone I'm a poet; they might want me to write a book.	I'll sing a song I composed myself. Don't tell anyone I'm a poet; they might want me to write a book.	true	995.76	1001.99	22.180206
5039_1189_000101_000003	Don't tell 'em I can sing, or they'd want me to make records for that awful phonograph.	Don't tell 'em I can sing, or they'd want me to make records for that awful phonograph.	true	1001.99	1006.24	24.818737
5039_1189_000101_000004	Haven't time to be a public benefactor, so I'll just sing you this little song for your own amusement."	Haven't time to be a public benefactor, so I'll just sing you this little song for your own amusement."	true	1006.31	1012.03	23.47568
5039_1189_000102_000000	They were glad enough to be entertained, and listened with interest while the Shaggy Man chanted the following verses to a tune that was not unpleasant:	They were glad enough to be entertained, and listened with interest while the Shaggy Man chanted the following verses to a tune that was not unpleasant:	false	1013.75	1021.87	21.450592
5039_1189_000103_000000	"I'll sing a song of Ozland, where wondrous creatures dwell And fruits and flowers and shady bowers abound in every dell, Where magic is a science and where no one shows surprise If some amazing thing takes place before his very eyes.	"I'll sing a song of Ozland, where wondrous creatures dwell And fruits and flowers and shady bowers abound in every dell, Where magic is a science and where no one shows surprise If some amazing thing takes place before his very eyes.	true	1022.06	1037.59	18.821918
5039_1189_000104_000000	Our Ruler's a bewitching girl whom fairies love to please; She's always kept her magic sceptre to enforce decrees To make her people happy, for her heart is kind and true And to aid the needy and distressed is what she longs to do.	Our Ruler's a bewitching girl whom fairies love to please; She's always kept her magic sceptre to enforce decrees To make her people happy, for her heart is kind and true And to aid the needy and distressed is what she longs to do.	false	1037.66	1052.89	21.40407
5039_1189_000105_000000	And then there's Princess Dorothy, as sweet as any rose, A lass from Kansas, where they don't grow fairies, I suppose; And there's the brainy Scarecrow, with a body stuffed with straw, Who utters words of wisdom rare that fill us all with awe.	And then there's Princess Dorothy, as sweet as any rose, A lass from Kansas, where they don't grow fairies, I suppose; And there's the brainy Scarecrow, with a body stuffed with straw, Who utters words of wisdom rare that fill us all with awe.	false	1052.99	1068.33	22.966227
5039_1189_000106_000000	I'll not forget Nick Chopper, the Woodman made of Tin, Whose tender heart thinks killing time is quite a dreadful sin, Nor old Professor Woggle-Bug, who's highly magnified And looks so big to everyone that he is filled with pride.	I'll not forget Nick Chopper, the Woodman made of Tin, Whose tender heart thinks killing time is quite a dreadful sin, Nor old Professor Woggle Bug, who's highly magnified And looks so big to everyone that he is filled with pride.	true	1068.33	1083.32	24.264273
5039_1189_000107_000000	Jack Pumpkinhead's a dear old chum who might be called a chump, But won renown by riding round upon a magic Gump; The Sawhorse is a splendid steed and though he's made of wood He does as many thrilling stunts as any meat horse could.	Jack Pumpkinhead's a dear old chum who might be called a chump, But won renown by riding round upon a magic Gump; The Sawhorse is a splendid steed and though he's made of wood He does as many thrilling stunts as any meat horse could.	false	1083.32	1098.75	22.166723
5039_1189_000108_000000	And now I'll introduce a beast that ev'ryone adores-- The Cowardly Lion shakes with fear 'most ev'ry time he roars, And yet he does the bravest things that any lion might, Because he knows that cowardice is not considered right.	And now I'll introduce a beast that ev'ryone adores- The Cowardly Lion shakes with fear 'most ev'ry time he roars, And yet he does the bravest things that any lion might, Because he knows that cowardice is not considered right.	false	1098.75	1112.95	21
5039_1189_000109_000000	There's Tik-Tok--he's a clockwork man and quite a funny sight-- He talks and walks mechanically, when he's wound up tight; And we've a Hungry Tiger who would babies love to eat But never does because we feed him other kinds of meat.	There's Tik Tok-he's a clockwork man and quite a funny sight- He talks and walks mechanically, when he's wound up tight; And we've a Hungry Tiger who would babies love to eat But never does because we feed him other kinds of meat.	true	1113.05	1127.44	24
5039_1189_000110_000000	It's hard to name all of the freaks this noble Land's acquired; 'Twould make my song so very long that you would soon be tired; But give attention while I mention one wise Yellow Hen And Nine fine Tiny Piglets living in a golden pen.	It's hard to name all of the freaks this noble Land's acquired; 'Twould make my song so very long that you would soon be tired; But give attention while I mention one wise Yellow Hen And Nine fine Tiny Piglets living in a golden pen.	false	1127.45	1142.14	18
5039_1189_000111_000000	Just search the whole world over--sail the seas from coast to coast-- No other nation in creation queerer folk can boast; And now our rare museum will include a Cat of Glass, A Woozy, and--last but not least--a crazy Patchwork Lass."	Just search the whole world over-sail the seas from coast to coast- No other nation in creation queerer folk can boast; And now our rare museum will include a Cat of Glass, A Woozy, and-last but not least-a crazy Patchwork Lass."	true	1142.33	1165.06	22.398623
5039_1189_000112_000000	Ojo was so pleased with this song that he applauded the singer by clapping his hands, and Scraps followed suit by clapping her padded fingers together, although they made no noise.	Ojo was so pleased with this song that he applauded the singer by clapping his hands, and Scraps followed suit by clapping her padded fingers together, although they made no noise.	true	1166.57	1175.8	23
5039_1189_000112_000001	The cat pounded on the floor with her glass paws--gently, so as not to break them--and the Woozy, which had been asleep, woke up to ask what the row was about.	The cat pounded on the floor with her glass paws-gently, so as not to break them-and the Woozy, which had been asleep, woke up to ask what the row was about.	true	1175.84	1185.94	24.73216
5039_1189_000113_000000	"I seldom sing in public, for fear they might want me to start an opera company," remarked the Shaggy Man, who was pleased to know his effort was appreciated.	"I seldom sing in public, for fear they might want me to start an opera company," remarked the Shaggy Man, who was pleased to know his effort was appreciated.	true	1186.37	1194.16	26.606224
5039_1189_000113_000001	"Voice, just now, is a little out of training; rusty, perhaps."	"Voice, just now, is a little out of training; rusty, perhaps."	true	1194.98	1198.69	28.343584
5039_1189_000114_000000	"Tell me," said the Patchwork Girl earnestly, "do all those queer people you mention really live in the Land of Oz?"	"Tell me," said the Patchwork Girl earnestly, "do all those queer people you mention really live in the Land of Oz?"	false	1198.82	1205.85	25.609829
5039_1189_000115_000000	"Every one of 'em.	"Every one of 'em.	false	1205.85	1207.8	19.657501
5039_1189_000115_000001	I even forgot one thing: Dorothy's Pink Kitten."	I even forgot one thing: Dorothy's Pink Kitten."	true	1207.8	1211.11	26.006557
5039_1189_000116_000000	"For goodness sake!" exclaimed Bungle, sitting up and looking interested.	"For goodness sake!" exclaimed Bungle, sitting up and looking interested.	true	1211.93	1216.69	21.578512
5039_1189_000116_000001	"A Pink Kitten?	"A Pink Kitten?	true	1216.79	1218.02	23.611464
5039_1189_000116_000002	How absurd!	How absurd!	true	1218.02	1219.58	16.762938
5039_1189_000116_000003	Is it glass?"	Is it glass?"	true	1219.58	1220.89	24.423752
5039_1189_000117_000000	"No; just ordinary kitten."	"No; just ordinary kitten."	true	1221.62	1223.53	26.540163
5039_1189_000118_000000	"Then it can't amount to much.	"Then it can't amount to much.	true	1224.08	1225.93	27.507122
5039_1189_000118_000001	I have pink brains, and you can see 'em work."	I have pink brains, and you can see 'em work."	false	1225.94	1229.47	21.936085
5039_1189_000119_000000	"Dorothy's kitten is all pink--brains and all--except blue eyes.	"Dorothy's kitten is all pink-brains and all-except blue eyes.	true	1230.05	1233.82	25.482544
5039_1189_000119_000001	Name's Eureka.	Name's Eureka.	true	1233.89	1234.96	28.833426
5039_1189_000119_000002	Great favorite at the royal palace," said the Shaggy Man, yawning.	Great favorite at the royal palace," said the Shaggy Man, yawning.	true	1234.96	1238.68	29.029058
5039_1189_000120_000000	The Glass Cat seemed annoyed.	The Glass Cat seemed annoyed.	true	1238.93	1240.9	28.24398
5039_1189_000121_000000	"Do you think a pink kitten--common meat--is as pretty as I am?" she asked.	"Do you think a pink kitten-common meat-is as pretty as I am?" she asked.	false	1241.48	1247.44	21.03513
5039_1189_000122_000000	"Can't say.	"Can't say.	true	1248.08	1249.09	33.08165
5039_1189_000122_000001	Tastes differ, you know," replied the Shaggy Man, yawning again.	Tastes differ, you know," replied the Shaggy Man, yawning again.	true	1249.16	1253.02	22.46879
5039_1189_000122_000002	"But here's a pointer that may be of service to you: make friends with Eureka and you'll be solid at the palace."	"But here's a pointer that may be of service to you: make friends with Eureka and you'll be solid at the palace."	false	1253.72	1260.43	23.542889
5039_1189_000123_000000	"I'm solid now; solid glass."	"I'm solid now; solid glass."	true	1260.89	1264.6	22.295557
5039_1189_000124_000000	"You don't understand," rejoined the Shaggy Man, sleepily.	"You don't understand," rejoined the Shaggy Man, sleepily.	true	1265.27	1269.1	22.252802
5039_1189_000124_000001	"Anyhow, make friends with the Pink Kitten and you'll be all right.	"Anyhow, make friends with the Pink Kitten and you'll be all right.	false	1269.14	1273.27	24.142138
5039_1189_000124_000002	If the Pink Kitten despises you, look out for breakers."	If the Pink Kitten despises you, look out for breakers."	true	1273.31	1276.81	26.275114
5039_1189_000125_000000	"Would anyone at the royal palace break a Glass Cat?"	"Would anyone at the royal palace break a Glass Cat?"	true	1277.69	1281.07	23.907618
5039_1189_000126_000000	"Might.	"Might.	true	1282.22	1283.37	26.995049
5039_1189_000126_000001	You never can tell.	You never can tell.	true	1283.37	1284.7	23.422737
5039_1189_000126_000002	Advise you to purr soft and look humble--if you can.	Advise you to purr soft and look humble-if you can.	true	1284.8	1288.23	27.62776
5039_1189_000126_000003	And now I'm going to bed."	And now I'm going to bed."	false	1288.23	1320.75	21.220732
