6157_40556_000000_000000	And Shahrazad perceived the dawn of day and ceased to say her permitted say.	And Shahrazad perceived the dawn of day and ceased to say her permitted say.	false	0	5.49	19.999657
6157_40556_000027_000000	Thus also they did with her sister Dunyazad; and when they had made an end of the display, the King bestowed robes of honor on all who were present, and sent the brides to their own apartments.	Thus also they did with her sister Dunyazad; and when they had made an end of the display, the King bestowed robes of honor on all who were present, and sent the brides to their own apartments.	true	1234.07	1248.04	21
6157_40556_000027_000001	Then Shahrazad went in to King Shahryar and Dunyazad to King Shah Zaman, and each of them solaced himself with the company of his beloved consort, and the hearts of the folk were comforted.	Then Shahrazad went in to King Shahryar and Dunyazad to King Shah Zaman, and each of them solaced himself with the company of his beloved consort, and the hearts of the folk were comforted.	false	1248.23	1265.92	20.354206
6157_40556_000027_000002	When morning morrowed, the Wazir came in to the two Kings and kissed ground before them; wherefore they thanked him and were large of bounty to him.	When morning morrowed, the Wazir came in to the two Kings and kissed ground before them; wherefore they thanked him and were large of bounty to him.	false	1268.21	1280.74	19.773058
6157_40556_000027_000003	Presently they went forth and sat down upon couches of kingship, whilst all the Wazirs and Emirs and Grandees and Lords of the land presented themselves and kissed ground.	Presently they went forth and sat down upon couches of kingship, whilst all the Wazirs and Emirs and Grandees and Lords of the land presented themselves and kissed ground.	true	1281.05	1293.46	19.66617
6157_40556_000027_000004	King Shahryar ordered them dresses of honor and largesse, and they prayed for the permanence and prosperity of the King and his brother.	King Shahryar ordered them dresses of honor and largesse, and they prayed for the permanence and prosperity of the King and his brother.	false	1293.65	1304.5	21.953121
6157_40556_000027_000005	Then the two Sovrans appointed their sire-in-law the Wazir to be Viceroy in Samarcand, and assigned him five of the Chief Emirs to accompany him, charging them attend him and do him service.	Then the two Sovrans appointed their sire in law the Wazir to be Viceroy in Samarcand, and assigned him five of the Chief Emirs to accompany him, charging them attend him and do him service.	false	1304.66	1323.01	20.830383
6157_40556_000027_000006	The Minister kissed ground and prayed that they might be vouchsafed length of life: then he went in to his daughters, whilst the Eunuchs and Ushers walked before him, and saluted them and farewelled them.	The Minister kissed ground and prayed that they might be vouchsafed length of life: then he went in to his daughters, whilst the Eunuchs and Ushers walked before him, and saluted them and farewelled them.	true	1323.53	1338.34	22.216778
6157_40556_000027_000007	They kissed his hands and gave him joy of the kingship and bestowed on him immense treasures; after which he took leave of them, and setting out, fared days and nights, till he came near Samarcand, where the townspeople met him at a distance of three marches and rejoiced in him with exceeding joy.	They kissed his hands and gave him joy of the kingship and bestowed on him immense treasures; after which he took leave of them, and setting out, fared days and nights, till he came near Samarcand, where the townspeople met him at a distance of three marches and rejoiced in him with exceeding joy.	false	1338.77	1361.79	21
6157_40556_000027_000008	So he entered the city, and they decorated the houses and it was a notable day.	So he entered the city, and they decorated the houses and it was a notable day.	true	1361.79	1368.01	20.20728
6157_40556_000027_000009	He sat down on the throne of his kingship, and the Wazirs did him homage and the Grandees and Emirs of Samarcand, and all prayed that he might be vouchsafed justice and victory and length of continuance.	He sat down on the throne of his kingship, and the Wazirs did him homage and the Grandees and Emirs of Samarcand, and all prayed that he might be vouchsafed justice and victory and length of continuance.	false	1368.35	1385.14	21
6157_40556_000027_000010	So he bestowed on them robes of honor and entreated them with distinction, and they made him Sultan over them.	So he bestowed on them robes of honor and entreated them with distinction, and they made him Sultan over them.	true	1385.24	1395.7	20.573574
6157_40556_000027_000011	As soon as his father-in-law had departed for Samarcand, King Shahryar summoned the Grandees of his realm and made them a stupendous banquet of all manner of delicious meats and exquisite sweetmeats.	As soon as his father in law had departed for Samarcand, King Shahryar summoned the Grandees of his realm and made them a stupendous banquet of all manner of delicious meats and exquisite sweetmeats.	false	1398.44	1413.94	22
6157_40556_000027_000012	He also bestowed on them robes of honor and guerdoned them, and divided the kingdoms between himself and his brother in their presence, whereat the folk rejoiced.	He also bestowed on them robes of honor and guerdoned them, and divided the kingdoms between himself and his brother in their presence, whereat the folk rejoiced.	false	1414.1	1427.77	21.551292
6157_40556_000027_000013	Then the two Kings abode, each ruling a day in turn, and they were ever in harmony each with other, while on similar wise their wives continued in the love of Allah Almighty and in thanksgiving to Him; and the peoples and the provinces were at peace, and the preachers prayed for them from the pulpits, and their report was bruited abroad and the travelers bore tidings of them to all lands.	Then the two Kings abode, each ruling a day in turn, and they were ever in harmony each with other, while on similar wise their wives continued in the love of Allah Almighty and in thanksgiving to Him; and the peoples and the provinces were at peace, and the preachers prayed for them from the pulpits, and their report was bruited abroad and the travelers bore tidings of them to all lands.	false	1428.17	1463.8	20.470566
6157_40556_000027_000014	In due time King Shahryar summoned chronicles and copyists, and bade them write all that had betided him with his wife, first and last; so they wrote this and named it 'The Stories of the Thousand Nights and A Night.' The book came to thirty volumes, and these the King laid up in his treasure.	In due time King Shahryar summoned chronicles and copyists, and bade them write all that had betided him with his wife, first and last; so they wrote this and named it 'The Stories of the Thousand Nights and A Night.' The book came to thirty volumes, and these the King laid up in his treasure.	false	1463.93	1497.83	19.708088
6157_40556_000027_000015	And the two brothers abode with their wives in all pleasaunce and solace of life and its delights, for that indeed Allah the Most High had changed their annoy into joy; and on this wise they continued till there took them the Destroyer of delights and the Severer of societies, the Desolator of dwelling-places, and Garnerer of grave-yards, and they were translated to the ruth of Almighty Allah; their houses fell waste and their palaces lay in ruins, and the Kings inherited their riches.	And the two brothers abode with their wives in all pleasaunce and solace of life and its delights, for that indeed Allah the Most High had changed their annoy into joy; and on this wise they continued till there took them the Destroyer of delights and the Severer of societies, the Desolator of dwelling places, and Garnerer of grave yards, and they were translated to the ruth of Almighty Allah; their houses fell waste and their palaces lay in ruins, and the Kings inherited their riches.	false	1497.83	1539.55	19.683218
6157_40556_000027_000016	Then there reigned after them a wise ruler, who was just, keen-witted, and accomplished, and loved tales and legends, especially those which chronicle the doings of Sovrans and Sultans, and he found in the treasury these marvelous stories and wondrous histories, contained in the thirty volumes aforesaid.	Then there reigned after them a wise ruler, who was just, keen witted, and accomplished, and loved tales and legends, especially those which chronicle the doings of Sovrans and Sultans, and he found in the treasury these marvelous stories and wondrous histories, contained in the thirty volumes aforesaid.	true	1542.53	1570.63	20.380539
6157_40556_000027_000017	So he read in them a first book and a second and a third and so on to the last of them, and each book astounded and delighted him more than that which preceded it, till he came to the end of them.	So he read in them a first book and a second and a third and so on to the last of them, and each book astounded and delighted him more than that which preceded it, till he came to the end of them.	true	1571.3	1588.21	21.286486
6157_40556_000027_000018	Then he admired what so he had read therein of description and discourse and rare traits and anecdotes and moral instances and reminiscences, and bade the folk copy them and dispread them over all lands and climes; wherefore their report was bruited abroad and the people named them 'The marvels and wonders of the Thousand Nights and A Night.' This is all that hath come down to us of the origin of this book, and Allah is All-knowing.	Then he admired what so he had read therein of description and discourse and rare traits and anecdotes and moral instances and reminiscences, and bade the folk copy them and dispread them over all lands and climes; wherefore their report was bruited abroad and the people named them 'The marvels and wonders of the Thousand Nights and A Night.' This is all that hath come down to us of the origin of this book, and Allah is All knowing.	false	1589.18	1637.19	20.246302
6157_40556_000027_000019	So Glory be to Him Whom the shifts of Time waste not away, nor doth aught of chance or change affect His sway!	So Glory be to Him Whom the shifts of Time waste not away, nor doth aught of chance or change affect His sway!	false	1637.19	1647.22	17
6157_40556_000027_000020	Whom one case diverteth not from other case, and Who is sole in the attributes of perfect grace.	Whom one case diverteth not from other case, and Who is sole in the attributes of perfect grace.	true	1647.44	1654.69	19
6157_40556_000027_000021	And prayer and the Peace be upon the Lord's Pontiff and Chosen One among His creatures, our Lord MOHAMMED the Prince of mankind, through whom we supplicate Him for a goodly and a godly end.	And prayer and the Peace be upon the Lord's Pontiff and Chosen One among His creatures, our Lord MOHAMMED the Prince of mankind, through whom we supplicate Him for a goodly and a godly end.	false	1654.91	1689.84	20.33123
