8225_274376_000000_000000	* Rush, vol. vi.	asterisk Rush, vol vi.	false	0.45	2.7	19
8225_274376_000031_000003	A remonstrance from the army was made to the Irish council, representing their intolerable necessities, and craving permission to leave the kingdom: and if that were refused, "We must have recourse," they said, "to that first and primary law with which God has endowed all men; we mean the law of nature, which teaches every creature to preserve itself."[***]	A remonstrance from the army was made to the Irish council, representing their intolerable necessities, and craving permission to leave the kingdom: and if that were refused, "We must have recourse," they said, "to that first and primary law with which God has endowed all men; we mean the law of nature, which teaches every creature to preserve itself."[asterisk asterisk asterisk]	false	989.24	1008.87	22.442724
8225_274376_000032_000000	* Rush. vol. vi.	asterisk Rush. vol vi.	false	1008.87	1008.96	-20
8225_274376_000032_000001	p. 555.	p. five hundred fifty five.	false	1008.96	1009.05	-3
8225_274376_000033_000000	** Rush. vol. vi. p 530.	asterisk asterisk Rush. vol vi. p five hundred thirty.	false	1009.05	1009.26	-20
8225_274376_000033_000001	Clarendon, vol. iii.	Clarendon, vol iii.	false	1009.26	1009.32	-20
8225_274376_000033_000002	p. 167.	p. one hundred sixty seven.	false	1009.32	1009.44	-20
8225_274376_000034_000000	*** Rush. vol. vi.	asterisk asterisk asterisk Rush. vol vi.	false	1009.44	1009.56	-20
8225_274376_000034_000001	p. 537.	p. five hundred thirty seven.	false	1009.56	1009.68	5
8225_274376_000035_000000	Memorials both to the king and parliament were transmitted by the justices and council, in which then wants and dangers are strongly set forth;[*] and though the general expressions in these memorials might perhaps be suspected of exaggeration, yet from the particular facts mentioned, from the confession of the English parliament itself,[**] and from the very nature of things, it is apparent that the Irish Protestants were reduced to great extremities;[***] and it became prudent in the king, if not absolutely necessary, to embrace some expedient which might secure them for a time from the ruin and misery with which they were threatened.	Memorials both to the king and parliament were transmitted by the justices and council, in which then wants and dangers are strongly set forth;[asterisk] and though the general expressions in these memorials might perhaps be suspected of exaggeration, yet from the particular facts mentioned, from the confession of the English parliament itself,[asterisk asterisk] and from the very nature of things, it is apparent that the Irish Protestants were reduced to great extremities;[asterisk asterisk asterisk] and it became prudent in the king, if not absolutely necessary, to embrace some expedient which might secure them for a time from the ruin and misery with which they were threatened.	false	1009.68	1043.38	21.573744
8225_274376_000036_000000	Accordingly the king gave orders[****] to Ormond and the justices to conclude, for a year, a cessation of arms with the council of Kilkenny, by whom the Irish were governed, and to leave both sides in possession of their present advantages.	Accordingly the king gave orders[asterisk asterisk asterisk asterisk] to Ormond and the justices to conclude, for a year, a cessation of arms with the council of Kilkenny, by whom the Irish were governed, and to leave both sides in possession of their present advantages.	false	1044.14	1057.03	21.3411
8225_274376_000036_000001	The parliament, whose business it was to find fault with every measure adopted by the opposite party, and who would not lose so fair an opportunity of reproaching the king with his favor to the Irish Papists, exclaimed loudly against this cessation. Among other reasons, they insisted upon the divine vengeance, which England might justly dread for tolerating anti-Christian idolatry, on pretence of civil contracts and political agreements.[v] Religion, though every day employed as the engine of their own ambitious purposes, was supposed too sacred to be yielded up to the temporal interests or safety of kingdoms.	The parliament, whose business it was to find fault with every measure adopted by the opposite party, and who would not lose so fair an opportunity of reproaching the king with his favor to the Irish Papists, exclaimed loudly against this cessation. Among other reasons, they insisted upon the divine vengeance, which England might justly dread for tolerating anti Christian idolatry, on pretence of civil contracts and political agreements.[v] Religion, though every day employed as the engine of their own ambitious purposes, was supposed too sacred to be yielded up to the temporal interests or safety of kingdoms.	false	1057.55	1151.4	20.020529
