2774_131722_000000_000000	CHAPTER XIX	CHAPTER nineteen	false	0.33	22.965	22.667292
2774_131722_000023_000005	The giant rolls were belt-driven, in opposite directions, through friction clutches, although the belt was not depended upon for the actual crushing.	The giant rolls were belt driven, in opposite directions, through friction clutches, although the belt was not depended upon for the actual crushing.	true	1031.27	1038.76	22.359518
2774_131722_000023_000006	Previous to the dumping of a skip, the rolls were speeded up to a circumferential velocity of nearly a mile a minute, thus imparting to them the terrific momentum that would break up easily in a few seconds boulders weighing five or six tons each.	Previous to the dumping of a skip, the rolls were speeded up to a circumferential velocity of nearly a mile a minute, thus imparting to them the terrific momentum that would break up easily in a few seconds boulders weighing five or six tons each.	true	1039.25	1051.84	24.727753
2774_131722_000023_000007	It was as though a rock of this size had got in the way of two express trains travelling in opposite directions at nearly sixty miles an hour.	It was as though a rock of this size had got in the way of two express trains travelling in opposite directions at nearly sixty miles an hour.	true	1052.06	1059.01	19
2774_131722_000023_000008	In other words, it was the kinetic energy of the rolls that crumbled up the rocks with pile-driver effect.	In other words, it was the kinetic energy of the rolls that crumbled up the rocks with pile driver effect.	true	1059.29	1064.44	23.391956
2774_131722_000023_000009	This sudden strain might have tended to stop the engine driving the rolls; but by an ingenious clutch arrangement the belt was released at the moment of resistance in the rolls by reason of the rocks falling between them.	This sudden strain might have tended to stop the engine driving the rolls; but by an ingenious clutch arrangement the belt was released at the moment of resistance in the rolls by reason of the rocks falling between them.	false	1064.63	1074.85	22.532139
2774_131722_000023_000010	The act of breaking and crushing would naturally decrease the tremendous momentum, but after the rock was reduced and the pieces had passed through, the belt would again come into play, and once more speed up the rolls for a repetition of their regular prize-fighter duty.	The act of breaking and crushing would naturally decrease the tremendous momentum, but after the rock was reduced and the pieces had passed through, the belt would again come into play, and once more speed up the rolls for a repetition of their regular prize fighter duty.	true	1075.49	1087.9	22
2774_131722_000024_000000	On leaving the giant rolls the rocks, having been reduced to pieces not larger than fourteen inches, passed into the series of "Intermediate Rolls" of similar construction and operation, by which they were still further reduced, and again passed on to three other sets of rolls of smaller dimensions.	On leaving the giant rolls the rocks, having been reduced to pieces not larger than fourteen inches, passed into the series of "Intermediate Rolls" of similar construction and operation, by which they were still further reduced, and again passed on to three other sets of rolls of smaller dimensions.	true	1088.63	1103.41	21
2774_131722_000024_000001	These latter rolls were also face-lined with chilled-iron plates; but, unlike the larger ones, were positively driven, reducing the rock to pieces of about one-half-inch size, or smaller.	These latter rolls were also face lined with chilled iron plates; but, unlike the larger ones, were positively driven, reducing the rock to pieces of about one half inch size, or smaller.	true	1103.6	1113.49	20.7471
2774_131722_000024_000002	The whole crushing operation of reduction from massive boulders to small pebbly pieces having been done in less time than the telling has occupied, the product was conveyed to the "Dryer," a tower nine feet square and fifty feet high, heated from below by great open furnace fires.	The whole crushing operation of reduction from massive boulders to small pebbly pieces having been done in less time than the telling has occupied, the product was conveyed to the "Dryer," a tower nine feet square and fifty feet high, heated from below by great open furnace fires.	true	1113.65	1129.75	24.08334
2774_131722_000024_000003	All down the inside walls of this tower were placed cast-iron plates, nine feet long and seven inches wide, arranged alternately in "fish-ladder" fashion.	All down the inside walls of this tower were placed cast iron plates, nine feet long and seven inches wide, arranged alternately in "fish ladder" fashion.	false	1130.09	1138.75	22.415207
2774_131722_000024_000004	The crushed rock, being delivered at the top, would fall down from plate to plate, constantly exposing different surfaces to the heat, until it landed completely dried in the lower portion of the tower, where it fell into conveyors which took it up to the stock-house.	The crushed rock, being delivered at the top, would fall down from plate to plate, constantly exposing different surfaces to the heat, until it landed completely dried in the lower portion of the tower, where it fell into conveyors which took it up to the stock house.	true	1139.03	1151.92	24.179125
2774_131722_000025_000000	This method of drying was original with Edison.	This method of drying was original with Edison.	true	1152.32	1154.71	23.831713
2774_131722_000025_000001	At the time this adjunct to the plant was required, the best dryer on the market was of a rotary type, which had a capacity of only twenty tons per hour, with the expenditure of considerable power.	At the time this adjunct to the plant was required, the best dryer on the market was of a rotary type, which had a capacity of only twenty tons per hour, with the expenditure of considerable power.	true	1154.71	1164.94	26.02439
2774_131722_000025_000002	As Edison had determined upon treating two hundred and fifty tons or more per hour, he decided to devise an entirely new type of great capacity, requiring a minimum of power (for elevating the material), and depending upon the force of gravity for handling it during the drying process.	As Edison had determined upon treating two hundred and fifty tons or more per hour, he decided to devise an entirely new type of great capacity, requiring a minimum of power (for elevating the material), and depending upon the force of gravity for handling it during the drying process.	true	1165.19	1179.88	25.040802
2774_131722_000025_000003	A long series of experiments resulted in the invention of the tower dryer with a capacity of three hundred tons per hour.	A long series of experiments resulted in the invention of the tower dryer with a capacity of three hundred tons per hour.	false	1180.16	1186.42	21.870544
2774_131722_000026_000000	The rock, broken up into pieces about the size of marbles, having been dried and conveyed to the stock-house, the surplusage was automatically carried out from the other end of the stock-house by conveyors, to pass through the next process, by which it was reduced to a powder.	The rock, broken up into pieces about the size of marbles, having been dried and conveyed to the stock house, the surplusage was automatically carried out from the other end of the stock house by conveyors, to pass through the next process, by which it was reduced to a powder.	false	1187.3	1201.45	25.043493
2774_131722_000026_000001	The machinery for accomplishing this result represents another interesting and radical departure of Edison from accepted usage.	The machinery for accomplishing this result represents another interesting and radical departure of Edison from accepted usage.	true	1201.45	1206.87	15
2774_131722_000026_000002	He had investigated all the crushing-machines on the market, and tried all he could get. He found them all greatly lacking in economy of operation; indeed, the highest results obtainable from the best were 18 per cent. of actual work, involving a loss of 82 per cent. by friction.	He had investigated all the crushing machines on the market, and tried all he could get. He found them all greatly lacking in economy of operation; indeed, the highest results obtainable from the best were eighteen per cent. of actual work, involving a loss of eighty two per cent. by friction.	false	1206.87	1221.88	24.43134
2774_131722_000026_000003	His nature revolted at such an immense loss of power, especially as he proposed the crushing of vast quantities of ore.	His nature revolted at such an immense loss of power, especially as he proposed the crushing of vast quantities of ore.	true	1222.52	1228.2	23.692894
2774_131722_000026_000004	Thus, he was obliged to begin again at the foundation, and he devised a crushing-machine which was subsequently named the "Three-High Rolls," and which practically reversed the above figures, as it developed 84 per cent. of work done with only 16 per cent. loss in friction.	Thus, he was obliged to begin again at the foundation, and he devised a crushing machine which was subsequently named the "Three High Rolls," and which practically reversed the above figures, as it developed eighty four per cent. of work done with only sixteen per cent. loss in friction.	false	1228.2	1243.69	23.72927
2774_131722_000027_000000	A brief description of this remarkable machine will probably interest the reader.	A brief description of this remarkable machine will probably interest the reader.	true	1243.94	1247.71	26.301216
2774_131722_000027_000001	In the two end pieces of a heavy iron frame were set three rolls, or cylinders--one in the centre, another below, and the other above--all three being in a vertical line.	In the two end pieces of a heavy iron frame were set three rolls, or cylinders-one in the centre, another below, and the other above-all three being in a vertical line.	true	1247.87	1257.16	22.047554
2774_131722_000027_000002	These rolls were of cast iron three feet in diameter, having chilled-iron smooth face-plates of considerable thickness.	These rolls were of cast iron three feet in diameter, having chilled iron smooth face plates of considerable thickness.	false	1257.41	1263.73	23.933834
2774_131722_000027_000003	The lowest roll was set in a fixed bearing at the bottom of the frame, and, therefore, could only turn around on its axis.	The lowest roll was set in a fixed bearing at the bottom of the frame, and, therefore, could only turn around on its axis.	false	1263.98	1270.38	23.473965
2774_131722_000027_000004	The middle and top rolls were free to move up or down from and toward the lower roll, and the shafts of the middle and upper rolls were set in a loose bearing which could slip up and down in the iron frame. It will be apparent, therefore, that any material which passed in between the top and the middle rolls, and the middle and bottom rolls, could be ground as fine as might be desired, depending entirely upon the amount of pressure applied to the loose rolls.	The middle and top rolls were free to move up or down from and toward the lower roll, and the shafts of the middle and upper rolls were set in a loose bearing which could slip up and down in the iron frame. It will be apparent, therefore, that any material which passed in between the top and the middle rolls, and the middle and bottom rolls, could be ground as fine as might be desired, depending entirely upon the amount of pressure applied to the loose rolls.	false	1270.38	1292.08	24
2774_131722_000027_000005	In operation the material passed first through the upper and middle rolls, and then between the middle and lowest rolls.	In operation the material passed first through the upper and middle rolls, and then between the middle and lowest rolls.	true	1292.12	1297.72	21.858503
2774_131722_000028_000000	This pressure was applied in a most ingenious manner.	This pressure was applied in a most ingenious manner.	true	1298.57	1301.36	22.146606
2774_131722_000028_000001	On the ends of the shafts of the bottom and top rolls there were cylindrical sleeves, or bearings, having seven sheaves, in which was run a half-inch endless wire rope.	On the ends of the shafts of the bottom and top rolls there were cylindrical sleeves, or bearings, having seven sheaves, in which was run a half inch endless wire rope.	false	1301.36	1310.29	23
2774_131722_000028_000002	This rope was wound seven times over the sheaves as above, and led upward and over a single-groove sheave which was operated by the piston of an air cylinder, and in this manner the pressure was applied to the rolls.	This rope was wound seven times over the sheaves as above, and led upward and over a single groove sheave which was operated by the piston of an air cylinder, and in this manner the pressure was applied to the rolls.	false	1310.33	1321.27	21.249498
2774_131722_000028_000003	It will be seen, therefore, that the system consisted in a single rope passed over sheaves and so arranged that it could be varied in length, thus providing for elasticity in exerting pressure and regulating it as desired.	It will be seen, therefore, that the system consisted in a single rope passed over sheaves and so arranged that it could be varied in length, thus providing for elasticity in exerting pressure and regulating it as desired.	false	1321.28	1332.34	23.575844
2774_131722_000028_000004	The efficiency of this system was incomparably greater than that of any other known crusher or grinder, for while a pressure of one hundred and twenty-five thousand pounds could be exerted by these rolls, friction was almost entirely eliminated because the upper and lower roll bearings turned with the rolls and revolved in the wire rope, which constituted the bearing proper.	The efficiency of this system was incomparably greater than that of any other known crusher or grinder, for while a pressure of one hundred and twenty five thousand pounds could be exerted by these rolls, friction was almost entirely eliminated because the upper and lower roll bearings turned with the rolls and revolved in the wire rope, which constituted the bearing proper.	false	1332.62	1351.3	20.957394
2774_131722_000029_000000	The same cautious foresight exercised by Edison in providing a safety device--the fuse--to prevent fires in his electric-light system, was again displayed in this concentrating plant, where, to save possible injury to its expensive operating parts, he devised an analogous factor, providing all the crushing machinery with closely calculated "safety pins," which, on being overloaded, would shear off and thus stop the machine at once.	The same cautious foresight exercised by Edison in providing a safety device-the fuse-to prevent fires in his electric light system, was again displayed in this concentrating plant, where, to save possible injury to its expensive operating parts, he devised an analogous factor, providing all the crushing machinery with closely calculated "safety pins," which, on being overloaded, would shear off and thus stop the machine at once.	false	1352.21	1376.29	24.236452
2774_131722_000030_000000	The rocks having thus been reduced to fine powder, the mass was ready for screening on its way to the magnetic separators.	The rocks having thus been reduced to fine powder, the mass was ready for screening on its way to the magnetic separators.	true	1376.66	1382.92	23.728086
2774_131722_000030_000001	Here again Edison reversed prior practice by discarding rotary screens and devising a form of tower screen, which, besides having a very large working capacity by gravity, eliminated all power except that required to elevate the material.	Here again Edison reversed prior practice by discarding rotary screens and devising a form of tower screen, which, besides having a very large working capacity by gravity, eliminated all power except that required to elevate the material.	true	1383.2	1395.85	23
2774_131722_000030_000002	The screening process allowed the finest part of the crushed rock to pass on, by conveyor belts, to the magnetic separators, while the coarser particles were in like manner automatically returned to the rolls for further reduction.	The screening process allowed the finest part of the crushed rock to pass on, by conveyor belts, to the magnetic separators, while the coarser particles were in like manner automatically returned to the rolls for further reduction.	true	1396.01	1407.61	24.598778
2774_131722_000031_000000	In a narrative not intended to be strictly technical, it would probably tire the reader to follow this material in detail through the numerous steps attending the magnetic separation.	In a narrative not intended to be strictly technical, it would probably tire the reader to follow this material in detail through the numerous steps attending the magnetic separation.	true	1408.25	1417.09	22
2774_131722_000031_000001	These may be seen in a diagram reproduced from the above-named article in the Iron Age, and supplemented by the following extract from the Electrical Engineer, New York, October 28, 1897: "At the start the weakest magnet at the top frees the purest particles, and the second takes care of others; but the third catches those to which rock adheres, and will extract particles of which only one-eighth is iron.	These may be seen in a diagram reproduced from the above named article in the Iron Age, and supplemented by the following extract from the Electrical Engineer, New York, october twenty eighth eighteen ninety seven: "At the start the weakest magnet at the top frees the purest particles, and the second takes care of others; but the third catches those to which rock adheres, and will extract particles of which only one eighth is iron.	false	1417.82	1439.56	23.93134
2774_131722_000031_000002	This batch of material goes back for another crushing, so that everything is subjected to an equality of refining.	This batch of material goes back for another crushing, so that everything is subjected to an equality of refining.	true	1439.84	1445.11	24.325628
2774_131722_000031_000003	We are now in sight of the real 'concentrates,' which are conveyed to dryer No. 2 for drying again, and are then delivered to the fifty-mesh screens.	We are now in sight of the real 'concentrates,' which are conveyed to dryer no two for drying again, and are then delivered to the fifty mesh screens.	false	1445.66	1453.18	23.260431
2774_131722_000031_000004	Whatever is fine enough goes through to the eight-inch magnets, and the remainder goes back for recrushing. Below the eight-inch magnets the dust is blown out of the particles mechanically, and they then go to the four-inch magnets for final cleansing and separation....	Whatever is fine enough goes through to the eight inch magnets, and the remainder goes back for recrushing. Below the eight inch magnets the dust is blown out of the particles mechanically, and they then go to the four inch magnets for final cleansing and separation....	false	1453.37	1465.84	24.762402
2774_131722_000031_000005	Obviously, at each step the percentage of felspar and phosphorus is less and less until in the final concentrates the percentage of iron oxide is 91 to 93 per cent.	Obviously, at each step the percentage of felspar and phosphorus is less and less until in the final concentrates the percentage of iron oxide is ninety one to ninety three per cent.	true	1466.03	1474.75	20
2774_131722_000031_000006	As intimated at the outset, the tailings will be 75 per cent. of the rock taken from the veins of ore, so that every four tons of crude, raw, low-grade ore will have yielded roughly one ton of high-grade concentrate and three tons of sand, the latter also having its value in various ways."	As intimated at the outset, the tailings will be seventy five per cent. of the rock taken from the veins of ore, so that every four tons of crude, raw, low grade ore will have yielded roughly one ton of high grade concentrate and three tons of sand, the latter also having its value in various ways."	false	1475.33	1491.61	23.078224
2774_131722_000032_000000	This sand was transported automatically by belt conveyors to the rear of the works to be stored and sold.	This sand was transported automatically by belt conveyors to the rear of the works to be stored and sold.	true	1492.13	1497.29	23
2774_131722_000032_000001	Being sharp, crystalline, and even in quality, it was a valuable by-product, finding a ready sale for building purposes, railway sand-boxes, and various industrial uses.	Being sharp, crystalline, and even in quality, it was a valuable by-product, finding a ready sale for building purposes, railway sand boxes, and various industrial uses.	false	1497.29	1506.34	21.283895
2774_131722_000032_000002	The concentrate, in fine powdery form, was delivered in similar manner to a stock-house.	The concentrate, in fine powdery form, was delivered in similar manner to a stock house.	true	1506.59	1511.35	24.454592
2774_131722_000033_000000	As to the next step in the process, we may now quote again from the article in the Iron Age: "While Mr. Edison and his associates were working on the problem of cheap concentration of iron ore, an added difficulty faced them in the preparation of the concentrates for the market.	As to the next step in the process, we may now quote again from the article in the Iron Age: "While mr Edison and his associates were working on the problem of cheap concentration of iron ore, an added difficulty faced them in the preparation of the concentrates for the market.	false	1512.05	1525.63	22.58373
2774_131722_000033_000001	Furnacemen object to more than a very small proportion of fine ore in their mixtures, particularly when the ore is magnetic, not easily reduced.	Furnacemen object to more than a very small proportion of fine ore in their mixtures, particularly when the ore is magnetic, not easily reduced.	true	1526.12	1534.21	21.973005
2774_131722_000033_000002	The problem to be solved was to market an agglomerated material so as to avoid the drawbacks of fine ore.	The problem to be solved was to market an agglomerated material so as to avoid the drawbacks of fine ore.	true	1534.52	1540	22
2774_131722_000033_000003	The agglomerated product must be porous so as to afford access of the furnace-reducing gases to the ore.	The agglomerated product must be porous so as to afford access of the furnace reducing gases to the ore.	false	1540.34	1546.06	23
2774_131722_000033_000004	It must be hard enough to bear transportation, and to carry the furnace burden without crumbling to pieces.	It must be hard enough to bear transportation, and to carry the furnace burden without crumbling to pieces.	true	1546.43	1552.01	22.691402
2774_131722_000033_000005	It must be waterproof, to a certain extent, because considerations connected with securing low rates of freight make it necessary to be able to ship the concentrates to market in open coal cars, exposed to snow and rain.	It must be waterproof, to a certain extent, because considerations connected with securing low rates of freight make it necessary to be able to ship the concentrates to market in open coal cars, exposed to snow and rain.	false	1552.01	1563.34	23.498255
2774_131722_000033_000006	In many respects the attainment of these somewhat conflicting ends was the most perplexing of the problems which confronted Mr. Edison.	In many respects the attainment of these somewhat conflicting ends was the most perplexing of the problems which confronted mr Edison.	true	1563.71	1569.73	22
2774_131722_000033_000007	The agglomeration of the concentrates having been decided upon, two other considerations, not mentioned above, were of primary importance--first, to find a suitable cheap binding material; and, second, its nature must be such that very little would be necessary per ton of concentrates.	The agglomeration of the concentrates having been decided upon, two other considerations, not mentioned above, were of primary importance-first, to find a suitable cheap binding material; and, second, its nature must be such that very little would be necessary per ton of concentrates.	true	1569.89	1584.94	22.370632
2774_131722_000033_000008	These severe requirements were staggering, but Mr. Edison's courage did not falter. Although it seemed a well-nigh hopeless task, he entered upon the investigation with his usual optimism and vim.	These severe requirements were staggering, but mr Edison's courage did not falter. Although it seemed a well nigh hopeless task, he entered upon the investigation with his usual optimism and vim.	true	1585.28	1595.86	22.453447
2774_131722_000033_000009	After many months of unremitting toil and research, and the trial of thousands of experiments, the goal was reached in the completion of a successful formula for agglomerating the fine ore and pressing it into briquettes by special machinery."	After many months of unremitting toil and research, and the trial of thousands of experiments, the goal was reached in the completion of a successful formula for agglomerating the fine ore and pressing it into briquettes by special machinery."	true	1595.99	1608.19	23.925697
2774_131722_000034_000000	This was the final process requisite for the making of a completed commercial product.	This was the final process requisite for the making of a completed commercial product.	true	1608.71	1612.96	25.580694
2774_131722_000034_000001	Its practice, of course, necessitated the addition of an entirely new department of the works, which was carried into effect by the construction and installation of the novel mixing and briquetting machinery, together with extensions of the conveyors, with which the plant had already been liberally provided.	Its practice, of course, necessitated the addition of an entirely new department of the works, which was carried into effect by the construction and installation of the novel mixing and briquetting machinery, together with extensions of the conveyors, with which the plant had already been liberally provided.	false	1612.96	1628.29	23.013056
2774_131722_000035_000000	Briefly described, the process consisted in mixing the concentrates with the special binding material in machines of an entirely new type, and in passing the resultant pasty mass into the briquetting machines, where it was pressed into cylindrical cakes three inches in diameter and one and a half inches thick, under successive pressures of 7800, 14,000, and 60,000 pounds.	Briefly described, the process consisted in mixing the concentrates with the special binding material in machines of an entirely new type, and in passing the resultant pasty mass into the briquetting machines, where it was pressed into cylindrical cakes three inches in diameter and one and a half inches thick, under successive pressures of seven thousand eight hundred, fourteen thousand, and sixty thousand pounds.	false	1628.81	1648.66	22.592228
2774_131722_000035_000001	Each machine made these briquettes at the rate of sixty per minute, and dropped them into bucket conveyors by which they were carried into drying furnaces, through which they made five loops, and were then delivered to cross-conveyors which carried them into the stock-house.	Each machine made these briquettes at the rate of sixty per minute, and dropped them into bucket conveyors by which they were carried into drying furnaces, through which they made five loops, and were then delivered to cross conveyors which carried them into the stock house.	false	1648.94	1660.93	22.999372
2774_131722_000035_000002	At the end of this process the briquettes were so hard that they would not break or crumble in loading on the cars or in transportation by rail, while they were so porous as to be capable of absorbing 26 per cent. of their own volume in alcohol, but repelling water absolutely--perfect "old soaks."	At the end of this process the briquettes were so hard that they would not break or crumble in loading on the cars or in transportation by rail, while they were so porous as to be capable of absorbing twenty six per cent. of their own volume in alcohol, but repelling water absolutely-perfect "old soaks."	false	1661.03	1676.71	24.648056
2774_131722_000036_000000	Thus, with never-failing persistence and patience, coupled with intense thought and hard work, Edison met and conquered, one by one, the complex difficulties that confronted him.	Thus, with never failing persistence and patience, coupled with intense thought and hard work, Edison met and conquered, one by one, the complex difficulties that confronted him.	true	1677.86	1686.97	21
2774_131722_000036_000001	He succeeded in what he had set out to do, and it is now to be noted that the product he had striven so sedulously to obtain was a highly commercial one, for not only did the briquettes of concentrated ore fulfil the purpose of their creation, but in use actually tended to increase the working capacity of the furnace, as the following test, quoted from the Iron Age, October 28, 1897, will attest: "The only trial of any magnitude of the briquettes in the blast-furnace was carried through early this year at the Crane Iron Works, Catasauqua, Pennsylvania, by Leonard Peckitt.	He succeeded in what he had set out to do, and it is now to be noted that the product he had striven so sedulously to obtain was a highly commercial one, for not only did the briquettes of concentrated ore fulfil the purpose of their creation, but in use actually tended to increase the working capacity of the furnace, as the following test, quoted from the Iron Age, october twenty eighth eighteen ninety seven, will attest: "The only trial of any magnitude of the briquettes in the blast furnace was carried through early this year at the Crane Iron Works, Catasauqua, Pennsylvania, by Leonard Peckitt.	false	1687.58	1718.35	23.485773
2774_131722_000037_000000	"The furnace at which the test was made produces from one hundred to one hundred and ten tons per day when running on the ordinary mixture.	"The furnace at which the test was made produces from one hundred to one hundred and ten tons per day when running on the ordinary mixture.	true	1718.75	1725.16	24
2774_131722_000037_000001	The charging of briquettes was begun with a percentage of 25 per cent., and was carried up to 100 per cent.	The charging of briquettes was begun with a percentage of twenty five per cent., and was carried up to one hundred per cent.	true	1725.17	1730.61	23.573751
2774_131722_000037_000002	The following is the record of the results:	The following is the record of the results:	true	1730.61	1732.5	23.919792
2774_131722_000038_000000	RESULTS OF WORKING BRIQUETTES AT THE CRANE FURNACE	RESULTS OF WORKING BRIQUETTES AT THE CRANE FURNACE	false	1732.5	1735.92	27.57988
2774_131722_000039_000000	Quantity of Phos- ManDate Briquette Tons Silica phorus Sulphur ganese Working Per Cent. January 5th 25 104 2.770 0.830 0.018 0.500 January 6th 37 1/2 4 1/2 2.620 0 740 0.018 0.350 January 7th 50 138 1/2 2.572 0.580 0.015 0.200 January 8th 75 119 1.844 0.264 0.022 0.200 January 9th 100 138 1/2 1.712 0.147 0.038 0.185	Quantity of Phos ManDate Briquette Tons Silica phorus Sulphur ganese Working Per Cent. january fifth twenty five one hundred four two point seven seven zero zero point eight three zero zero point zero one eight zero point five zero zero january sixth thirty seven and a half four and a half two point six two zero zero seven hundred forty zero point zero one eight zero point three five zero january seventh fifty thousand one hundred thirty eight and a half two point five seven two zero point five eight zero zero point zero one five zero point two zero zero january eighth seventy five one hundred nineteen one point eight four four zero point two six four zero point zero two two zero point two zero zero january ninth one hundred thousand one hundred thirty eight and a half one point seven one two zero point one four seven zero point zero three eight zero point one eight five	false	1735.92	1829.26	23.02148
2774_131722_000040_000000	"On the 9th, at 5 P.M., the briquettes having been nearly exhausted, the percentage was dropped to 25 per cent., and on the 10th the output dropped to 120 tons, and on the 11th the furnace had resumed the usual work on the regular standard ores.	"On the ninth, at five p m, the briquettes having been nearly exhausted, the percentage was dropped to twenty five per cent., and on the tenth the output dropped to one hundred twenty tons, and on the eleventh the furnace had resumed the usual work on the regular standard ores.	false	1830.41	1843.36	21
2774_131722_000041_000000	"These figures prove that the yield of the furnace is considerably increased.	"These figures prove that the yield of the furnace is considerably increased.	true	1843.76	1847.7	24.316586
2774_131722_000041_000001	The Crane trial was too short to settle the question to what extent the increase in product may be carried.	The Crane trial was too short to settle the question to what extent the increase in product may be carried.	true	1847.7	1852.6	25.788864
2774_131722_000041_000002	This increase in output, of course, means a reduction in the cost of labor and of general expenses.	This increase in output, of course, means a reduction in the cost of labor and of general expenses.	true	1852.94	1857.64	21
2774_131722_000042_000000	"The richness of the ore and its purity of course affect the limestone consumption.	"The richness of the ore and its purity of course affect the limestone consumption.	true	1858.07	1862.41	22.817648
2774_131722_000042_000001	In the case of the Crane trial there was a reduction from 30 per cent. to 12 per cent. of the ore charge.	In the case of the Crane trial there was a reduction from thirty per cent. to twelve per cent. of the ore charge.	true	1862.6	1867.96	23.342348
2774_131722_000043_000000	"Finally, the fuel consumption is reduced, which in the case of the Eastern plants, with their relatively costly coke, is a very important consideration.	"Finally, the fuel consumption is reduced, which in the case of the Eastern plants, with their relatively costly coke, is a very important consideration.	true	1868.18	1875.7	27.417149
2774_131722_000043_000001	It is regarded as possible that Eastern furnaces will be able to use a smaller proportion of the costlier coke and correspondingly increase in anthracite coal, which is a cheaper fuel in that section.	It is regarded as possible that Eastern furnaces will be able to use a smaller proportion of the costlier coke and correspondingly increase in anthracite coal, which is a cheaper fuel in that section.	true	1875.77	1886.67	24.486311
2774_131722_000043_000002	So far as foundry iron is concerned, the experience at Catasauqua, Pennsylvania, brief as it has been, shows that a stronger and tougher metal is made."	So far as foundry iron is concerned, the experience at Catasauqua, Pennsylvania, brief as it has been, shows that a stronger and tougher metal is made."	true	1886.67	1894.63	22
2774_131722_000044_000000	Edison himself tells an interesting little story in this connection, when he enjoyed the active help of that noble character, John Fritz, the distinguished inventor and pioneer of the modern steel industry in America.	Edison himself tells an interesting little story in this connection, when he enjoyed the active help of that noble character, john Fritz, the distinguished inventor and pioneer of the modern steel industry in America.	true	1894.94	1905.13	18
2774_131722_000044_000001	He says: "When I was struggling along with the iron-ore concentration, I went to see several blast-furnace men to sell the ore at the market price.	He says: "When I was struggling along with the iron ore concentration, I went to see several blast furnace men to sell the ore at the market price.	false	1905.26	1913.19	23.710999
2774_131722_000044_000002	They saw I was very anxious to sell it, and they would take advantage of my necessity.	They saw I was very anxious to sell it, and they would take advantage of my necessity.	true	1913.19	1917.01	23.133574
2774_131722_000044_000003	But I happened to go to Mr. John Fritz, of the Bethlehem Steel Company, and told him what I was doing. 'Well,' he said to me, 'Edison, you are doing a good thing for the Eastern furnaces.	But I happened to go to mr john Fritz, of the Bethlehem Steel Company, and told him what I was doing. 'Well,' he said to me, 'Edison, you are doing a good thing for the Eastern furnaces.	false	1917.17	1926.62	24.26708
2774_131722_000044_000004	They ought to help you, for it will help us out.	They ought to help you, for it will help us out.	true	1926.62	1929.1	23.680336
2774_131722_000044_000005	I am willing to help you.	I am willing to help you.	true	1929.38	1930.69	26.402552
2774_131722_000044_000006	I mix a little sentiment with business, and I will give you an order for one hundred thousand tons.' And he sat right down and gave me the order."	I mix a little sentiment with business, and I will give you an order for one hundred thousand tons.' And he sat right down and gave me the order."	true	1930.94	1937.95	23.564966
2774_131722_000045_000000	The Edison concentrating plant has been sketched in the briefest outline with a view of affording merely a bare idea of the great work of its projector.	The Edison concentrating plant has been sketched in the briefest outline with a view of affording merely a bare idea of the great work of its projector.	true	1938.11	1945.72	25.153875
2774_131722_000045_000001	To tell the whole story in detail and show its logical sequence, step by step, would take little less than a volume in itself, for Edison's methods, always iconoclastic when progress is in sight, were particularly so at the period in question.	To tell the whole story in detail and show its logical sequence, step by step, would take little less than a volume in itself, for Edison's methods, always iconoclastic when progress is in sight, were particularly so at the period in question.	false	1945.79	1958.35	24.95562
2774_131722_000045_000002	It has been said that "Edison's scrap-heap contains the elements of a liberal education," and this was essentially true of the "discard" during the ore-milling experience.	It has been said that "Edison's scrap heap contains the elements of a liberal education," and this was essentially true of the "discard" during the ore milling experience.	false	1958.6	1967.11	23.803165
2774_131722_000045_000003	Interesting as it might be to follow at length the numerous phases of ingenious and resourceful development that took place during those busy years, the limit of present space forbids their relation.	Interesting as it might be to follow at length the numerous phases of ingenious and resourceful development that took place during those busy years, the limit of present space forbids their relation.	true	1967.3	1976.74	23
2774_131722_000045_000004	It would, however, be denying the justice that is Edison's due to omit all mention of two hitherto unnamed items in particular that have added to the world's store of useful devices.	It would, however, be denying the justice that is Edison's due to omit all mention of two hitherto unnamed items in particular that have added to the world's store of useful devices.	false	1976.78	1986.57	19
2774_131722_000045_000005	We refer first to the great travelling hoisting-crane having a span of two hundred and fifteen feet, and used for hoisting loads equal to ten tons, this being the largest of the kind made up to that time, and afterward used as a model by many others.	We refer first to the great travelling hoisting crane having a span of two hundred and fifteen feet, and used for hoisting loads equal to ten tons, this being the largest of the kind made up to that time, and afterward used as a model by many others.	false	1986.57	2000.14	23.964262
2774_131722_000045_000006	The second item was the ingenious and varied forms of conveyor belt, devised and used by Edison at the concentrating works, and subsequently developed into a separate and extensive business by an engineer to whom he gave permission to use his plans and patterns.	The second item was the ingenious and varied forms of conveyor belt, devised and used by Edison at the concentrating works, and subsequently developed into a separate and extensive business by an engineer to whom he gave permission to use his plans and patterns.	true	2000.33	2013.67	24
2774_131722_000046_000000	Edison's native shrewdness and knowledge of human nature was put to practical use in the busy days of plant construction.	Edison's native shrewdness and knowledge of human nature was put to practical use in the busy days of plant construction.	true	2014.4	2020.12	21.466967
2774_131722_000046_000001	It was found impossible to keep mechanics on account of indifferent residential accommodations afforded by the tiny village, remote from civilization, among the central mountains of New Jersey.	It was found impossible to keep mechanics on account of indifferent residential accommodations afforded by the tiny village, remote from civilization, among the central mountains of New Jersey.	true	2020.16	2029.3	20.997656
