3866_173230_000000_000000	As that aspiration escaped the client's lips, the lawyer got gayly into his gig.	As that aspiration escaped the client's lips, the lawyer got gayly into his gig.	false	0	11.28	14.86561
3866_173230_000034_000003	I can't make up my mind to tell you till I am a little more composed.	I can't make up my mind to tell you till I am a little more composed.	false	1145.57	1149.93	15
3866_173230_000034_000004	Let the wretch go.	Let the wretch go.	true	1149.93	1151.11	20.623528
3866_173230_000034_000005	Do you mind seeing me safe back to my lodging?	Do you mind seeing me safe back to my lodging?	true	1151.27	1153.9	15
3866_173230_000034_000006	It's in your way home.	It's in your way home.	true	1154.03	1155.43	18.405725
3866_173230_000034_000007	May I--may I ask for the support of your arm?	May I-may I ask for the support of your arm?	true	1155.8	1159.51	21.731762
3866_173230_000034_000008	My little stock of courage is quite exhausted." She took his arm and clung close to it.	My little stock of courage is quite exhausted." She took his arm and clung close to it.	true	1159.82	1165.9	19.145739
3866_173230_000034_000009	The woman who had tyrannized over Mr. Bashwood was gone, and the woman who had tossed the spy's hat into the pool was gone.	The woman who had tyrannized over mr Bashwood was gone, and the woman who had tossed the spy's hat into the pool was gone.	false	1166.33	1174.74	17.923439
3866_173230_000034_000010	A timid, shrinking, interesting creature filled the fair skin and trembled on the symmetrical limbs of Miss Gwilt.	A timid, shrinking, interesting creature filled the fair skin and trembled on the symmetrical limbs of Miss Gwilt.	false	1174.74	1182.82	17.6902
3866_173230_000034_000011	She put her handkerchief to her eyes.	She put her handkerchief to her eyes.	true	1183.43	1185.61	13
3866_173230_000034_000012	"They say necessity has no law," she murmured, faintly.	"They say necessity has no law," she murmured, faintly.	true	1185.98	1189.39	16
3866_173230_000034_000013	"I am treating you like an old friend.	"I am treating you like an old friend.	true	1189.55	1191.61	21
3866_173230_000034_000014	God knows I want one!"	God knows I want one!"	true	1191.92	1193.44	16
3866_173230_000035_000000	They went on toward the town.	They went on toward the town.	true	1194.17	1195.96	21.531837
3866_173230_000035_000001	She recovered herself with a touching fortitude; she put her handkerchief back in her pocket, and persisted in turning the conversation on Midwinter's walking tour.	She recovered herself with a touching fortitude; she put her handkerchief back in her pocket, and persisted in turning the conversation on Midwinter's walking tour.	true	1196.18	1207.09	16.431597
3866_173230_000035_000002	"It is bad enough to be a burden on you," she said, gently pressing on his arm as she spoke; "I mustn't distress you as well.	"It is bad enough to be a burden on you," she said, gently pressing on his arm as she spoke; "I mustn't distress you as well.	true	1207.97	1217.05	14
3866_173230_000035_000003	Tell me where you have been, and what you have seen.	Tell me where you have been, and what you have seen.	false	1217.72	1221.4	16.16275
3866_173230_000035_000004	Interest me in your journey; help me to escape from myself."	Interest me in your journey; help me to escape from myself."	true	1221.89	1227.07	17.619116
3866_173230_000036_000000	They reached the modest little lodging in the miserable little suburb. Miss Gwilt sighed, and removed her glove before she took Midwinter's hand.	They reached the modest little lodging in the miserable little suburb. Miss Gwilt sighed, and removed her glove before she took Midwinter's hand.	true	1227.62	1237.27	18.951763
3866_173230_000036_000001	"I have taken refuge here," she said, simply.	"I have taken refuge here," she said, simply.	true	1237.7	1240.24	17.300766
3866_173230_000036_000002	"It is clean and quiet; I am too poor to want or expect more.	"It is clean and quiet; I am too poor to want or expect more.	true	1240.34	1245.34	20.53383
3866_173230_000036_000003	We must say good-by, I suppose, unless"--she hesitated modestly, and satisfied herself by a quick look round that they were unobserved--"unless you would like to come in and rest a little?	We must say good by, I suppose, unless"--she hesitated modestly, and satisfied herself by a quick look round that they were unobserved-"unless you would like to come in and rest a little?	false	1246.07	1260.61	19.870007
3866_173230_000036_000004	I feel so gratefully toward you, Mr. Midwinter!	I feel so gratefully toward you, mr Midwinter!	true	1261.4	1264.24	18.948957
3866_173230_000036_000005	Is there any harm, do you think, in my offering you a cup of tea?"	Is there any harm, do you think, in my offering you a cup of tea?"	true	1264.94	1269.34	19.53886
3866_173230_000037_000000	The magnetic influence of her touch was thrilling through him while she spoke.	The magnetic influence of her touch was thrilling through him while she spoke.	true	1270.64	1276.06	20
3866_173230_000037_000001	Change and absence, to which he had trusted to weaken her hold on him, had treacherously strengthened it instead.	Change and absence, to which he had trusted to weaken her hold on him, had treacherously strengthened it instead.	true	1276.22	1284.04	18.644945
3866_173230_000037_000002	A man exceptionally sensitive, a man exceptionally pure in his past life, he stood hand in hand, in the tempting secrecy of the night, with the first woman who had exercised over him the all-absorbing influence of her sex.	A man exceptionally sensitive, a man exceptionally pure in his past life, he stood hand in hand, in the tempting secrecy of the night, with the first woman who had exercised over him the all absorbing influence of her sex.	true	1284.71	1300.75	18.26898
3866_173230_000037_000003	At his age, and in his position, who could have left her?	At his age, and in his position, who could have left her?	false	1301.27	1305.64	20.045555
3866_173230_000037_000004	The man (with a man's temperament) doesn't live who could have left her.	The man (with a man's temperament) doesn't live who could have left her.	true	1306.16	1311.55	18.726307
3866_173230_000037_000005	Midwinter went in.	Midwinter went in.	true	1312.4	1313.85	16
3866_173230_000038_000000	A stupid, sleepy lad opened the house door.	A stupid, sleepy lad opened the house door.	false	1313.85	1317.73	18.503687
3866_173230_000038_000001	Even he, being a male creature, brightened under the influence of Miss Gwilt.	Even he, being a male creature, brightened under the influence of Miss Gwilt.	true	1318.52	1323.34	18.361492
3866_173230_000038_000002	"The urn, John," she said, kindly, "and another cup and saucer.	"The urn, john," she said, kindly, "and another cup and saucer.	true	1323.86	1328.08	17.96032
3866_173230_000038_000003	I'll borrow your candle to light my candles upstairs, and then I won't trouble you any more to-night." John was wakeful and active in an instant.	I'll borrow your candle to light my candles upstairs, and then I won't trouble you any more to night." john was wakeful and active in an instant.	false	1328.3	1336.87	19.760849
3866_173230_000038_000004	"No trouble, miss," he said, with awkward civility.	"No trouble, miss," he said, with awkward civility.	true	1337	1339.9	15
3866_173230_000038_000005	Miss Gwilt took his candle with a smile.	Miss Gwilt took his candle with a smile.	true	1340.09	1342.78	19.72272
3866_173230_000038_000006	"How good people are to me!" she whispered, innocently, to Midwinter, as she led the way upstairs to the little drawing-room on the first floor.	"How good people are to me!" she whispered, innocently, to Midwinter, as she led the way upstairs to the little drawing room on the first floor.	true	1343.09	1351.72	13
3866_173230_000039_000000	She lit the candles, and, turning quickly on her guest, stopped him at the first attempt he made to remove the knapsack from his shoulders. "No," she said, gently; "in the good old times there were occasions when the ladies unarmed their knights.	She lit the candles, and, turning quickly on her guest, stopped him at the first attempt he made to remove the knapsack from his shoulders. "No," she said, gently; "in the good old times there were occasions when the ladies unarmed their knights.	true	1352.42	1366.18	16
3866_173230_000039_000001	I claim the privilege of unarming _my_ knight." Her dexterous fingers intercepted his at the straps and buckles, and she had the dusty knapsack off, before he could protest against her touching it.	I claim the privilege of unarming underscore my underscore knight." Her dexterous fingers intercepted his at the straps and buckles, and she had the dusty knapsack off, before he could protest against her touching it.	false	1366.67	1379.65	18
3866_173230_000040_000000	They sat down at the one little table in the room.	They sat down at the one little table in the room.	true	1380.35	1382.88	15
3866_173230_000040_000001	It was very poorly furnished; but there was something of the dainty neatness of the woman who inhabited it in the arrangement of the few poor ornaments on the chimney-piece, in the one or two prettily bound volumes on the chiffonier, in the flowers on the table, and the modest little work-basket in the window.	It was very poorly furnished; but there was something of the dainty neatness of the woman who inhabited it in the arrangement of the few poor ornaments on the chimney piece, in the one or two prettily bound volumes on the chiffonier, in the flowers on the table, and the modest little work basket in the window.	false	1382.88	1402.03	18
3866_173230_000040_000002	"Women are not all coquettes," she said, as she took off her bonnet and mantilla, and laid them carefully on a chair.	"Women are not all coquettes," she said, as she took off her bonnet and mantilla, and laid them carefully on a chair.	true	1402.85	1409.98	18
3866_173230_000040_000003	"I won't go into my room, and look in my glass, and make myself smart; you shall take me just as I am." Her hands moved about among the tea-things with a smooth, noiseless activity.	"I won't go into my room, and look in my glass, and make myself smart; you shall take me just as I am." Her hands moved about among the tea things with a smooth, noiseless activity.	false	1410.26	1422.82	17.570171
3866_173230_000041_000000	Her magnificent hair flashed crimson in the candle-light, as she turned her head hither and thither, searching with an easy grace for the things she wanted in the tray.	Her magnificent hair flashed crimson in the candle light, as she turned her head hither and thither, searching with an easy grace for the things she wanted in the tray.	true	1423.97	1433.77	13
3866_173230_000041_000001	Exercise had heightened the brilliancy of her complexion, and had quickened the rapid alternations of expression in her eyes--the delicious languor that stole over them when she was listening or thinking, the bright intelligence that flashed from them softly when she spoke.	Exercise had heightened the brilliancy of her complexion, and had quickened the rapid alternations of expression in her eyes-the delicious languor that stole over them when she was listening or thinking, the bright intelligence that flashed from them softly when she spoke.	false	1434.86	1452.16	15
3866_173230_000041_000002	In the lightest word she said, in the least thing she did, there was something that gently solicited the heart of the man who sat with her.	In the lightest word she said, in the least thing she did, there was something that gently solicited the heart of the man who sat with her.	true	1452.59	1461.22	17
3866_173230_000041_000003	Perfectly modest in her manner, possessed to perfection of the graceful restraints and refinements of a lady, she had all the allurements that feast the eye, all the siren invitations that seduce the sense--a subtle suggestiveness in her silence, and a sexual sorcery in her smile.	Perfectly modest in her manner, possessed to perfection of the graceful restraints and refinements of a lady, she had all the allurements that feast the eye, all the siren invitations that seduce the sense-a subtle suggestiveness in her silence, and a sexual sorcery in her smile.	false	1461.95	1483.33	18.2849
3866_173230_000042_000000	"Should I be wrong," she asked, suddenly suspending the conversation which she had thus far persistently restricted to the subject of Midwinter's walking tour, "if I guessed that you have something on your mind--something which neither my tea nor my talk can charm away?	"Should I be wrong," she asked, suddenly suspending the conversation which she had thus far persistently restricted to the subject of Midwinter's walking tour, "if I guessed that you have something on your mind-something which neither my tea nor my talk can charm away?	true	1484.81	1503.76	19
3866_173230_000042_000001	Are men as curious as women?	Are men as curious as women?	true	1504.97	1506.97	12
3866_173230_000042_000002	Is the something--Me?"	Is the something-Me?"	true	1507.55	1510.23	19.649767
3866_173230_000043_000000	Midwinter struggled against the fascination of looking at her and listening to her.	Midwinter struggled against the fascination of looking at her and listening to her.	false	1510.23	1516.69	15.91798
3866_173230_000043_000001	"I am very anxious to hear what has happened since I have been away," he said.	"I am very anxious to hear what has happened since I have been away," he said.	true	1517.45	1521.58	18.650974
3866_173230_000043_000002	"But I am still more anxious, Miss Gwilt, not to distress you by speaking of a painful subject."	"But I am still more anxious, Miss Gwilt, not to distress you by speaking of a painful subject."	true	1522.28	1528.45	19
3866_173230_000044_000000	She looked at him gratefully.	She looked at him gratefully.	true	1529.24	1530.88	19.766615
3866_173230_000044_000001	"It is for your sake that I have avoided the painful subject," she said, toying with her spoon among the dregs in her empty cup.	"It is for your sake that I have avoided the painful subject," she said, toying with her spoon among the dregs in her empty cup.	true	1531.55	1538.74	17
3866_173230_000044_000002	"But you will hear about it from others, if you don't hear about it from me; and you ought to know why you found me in that strange situation, and why you see me here.	"But you will hear about it from others, if you don't hear about it from me; and you ought to know why you found me in that strange situation, and why you see me here.	false	1538.99	1548.55	18
3866_173230_000044_000003	Pray remember one thing, to begin with.	Pray remember one thing, to begin with.	true	1549.16	1552.21	18.229515
3866_173230_000044_000004	I don't blame your friend, Mr. Armadale.	I don't blame your friend, mr Armadale.	true	1552.4	1554.97	16
3866_173230_000044_000005	I blame the people whose instrument he is."	I blame the people whose instrument he is."	true	1556.12	1558.78	14
3866_173230_000045_000000	Midwinter started.	Midwinter started.	true	1559.72	1561.09	17
3866_173230_000045_000001	"Is it possible," he began, "that Allan can be in any way answerable--?" He stopped, and looked at Miss Gwilt in silent astonishment.	"Is it possible," he began, "that Allan can be in any way answerable-?" He stopped, and looked at Miss Gwilt in silent astonishment.	true	1561.73	1571.77	18.783606
3866_173230_000046_000000	She gently laid her hand on his.	She gently laid her hand on his.	true	1572.14	1574.65	10
3866_173230_000046_000001	"Don't be angry with me for only telling the truth," she said.	"Don't be angry with me for only telling the truth," she said.	true	1575.26	1578.73	16
3866_173230_000046_000002	"Your friend is answerable for everything that has happened to me--innocently answerable, Mr. Midwinter, I firmly believe.	"Your friend is answerable for everything that has happened to me-innocently answerable, mr Midwinter, I firmly believe.	false	1578.95	1586.83	17.156652
3866_173230_000046_000003	We are both victims.	We are both victims.	true	1586.9	1589.19	20.768764
3866_173230_000046_000004	_He_ is the victim of his position as the richest single man in the neighborhood; and I am the victim of Miss Milroy's determination to marry him."	underscore He underscore is the victim of his position as the richest single man in the neighborhood; and I am the victim of Miss Milroy's determination to marry him."	false	1589.19	1598.65	16
3866_173230_000047_000000	"Miss Milroy?" repeated Midwinter, more and more astonished.	"Miss Milroy?" repeated Midwinter, more and more astonished.	true	1599.83	1604.32	16.796478
3866_173230_000047_000001	"Why, Allan himself told me--"	"Why, Allan himself told me-"	true	1604.54	1606.27	21.406477
3866_173230_000047_000002	He stopped again.	He stopped again.	true	1606.94	1608.1	15
3866_173230_000048_000000	"He told you that I was the object of his admiration?	"He told you that I was the object of his admiration?	true	1609.07	1612.6	16
3866_173230_000048_000001	Poor fellow, he admires everybody; his head is almost as empty as this," said Miss Gwilt, smiling indicatively into the hollow of her cup.	Poor fellow, he admires everybody; his head is almost as empty as this," said Miss Gwilt, smiling indicatively into the hollow of her cup.	true	1612.88	1624.03	19
3866_173230_000048_000002	She dropped the spoon, sighed, and became serious again.	She dropped the spoon, sighed, and became serious again.	true	1624.49	1627.81	14
3866_173230_000048_000003	"I am guilty of the vanity of having let him admire me," she went on, penitently, "without the excuse of being able, on my side, to reciprocate even the passing interest that he felt in me.	"I am guilty of the vanity of having let him admire me," she went on, penitently, "without the excuse of being able, on my side, to reciprocate even the passing interest that he felt in me.	true	1628.54	1641.07	16
3866_173230_000048_000004	I don't undervalue his many admirable qualities, or the excellent position he can offer to his wife.	I don't undervalue his many admirable qualities, or the excellent position he can offer to his wife.	true	1641.77	1648.42	16
3866_173230_000048_000005	But a woman's heart is not to be commanded--no, Mr. Midwinter, not even by the fortunate master of Thorpe Ambrose, who commands everything else."	But a woman's heart is not to be commanded-no, mr Midwinter, not even by the fortunate master of Thorpe Ambrose, who commands everything else."	false	1649.27	1660.6	17.845196
3866_173230_000049_000000	She looked him full in the face as she uttered that magnanimous sentiment.	She looked him full in the face as she uttered that magnanimous sentiment.	true	1660.97	1664.86	12
3866_173230_000049_000001	His eyes dropped before hers, and his dark color deepened.	His eyes dropped before hers, and his dark color deepened.	true	1665.41	1669.9	21.041391
3866_173230_000049_000002	He had felt his heart leap in him at the declaration of her indifference to Allan.	He had felt his heart leap in him at the declaration of her indifference to Allan.	false	1670.45	1676.17	19.602053
3866_173230_000049_000003	For the first time since they had known each other, his interests now stood self-revealed before him as openly adverse to the interests of his friend.	For the first time since they had known each other, his interests now stood self revealed before him as openly adverse to the interests of his friend.	false	1676.84	1687.03	15
3866_173230_000050_000000	"I have been guilty of the vanity of letting Mr. Armadale admire me, and I have suffered for it," resumed Miss Gwilt.	"I have been guilty of the vanity of letting mr Armadale admire me, and I have suffered for it," resumed Miss Gwilt.	false	1688.66	1695.85	19.068521
3866_173230_000050_000001	"If there had been any confidence between my pupil and me, I might have easily satisfied her that she might become Mrs. Armadale--if she could--without having any rivalry to fear on my part.	"If there had been any confidence between my pupil and me, I might have easily satisfied her that she might become mrs Armadale-if she could-without having any rivalry to fear on my part.	false	1696.13	1709.92	18
3866_173230_000050_000002	But Miss Milroy disliked and distrusted me from the first.	But Miss Milroy disliked and distrusted me from the first.	true	1710.41	1714.75	19.639719
3866_173230_000050_000003	She took her own jealous view, no doubt, of Mr. Armadale's thoughtless attentions to me.	She took her own jealous view, no doubt, of mr Armadale's thoughtless attentions to me.	true	1715.18	1721.02	17
3866_173230_000050_000004	It was her interest to destroy the position, such as it was, that I held in his estimation; and it is quite likely her mother assisted her.	It was her interest to destroy the position, such as it was, that I held in his estimation; and it is quite likely her mother assisted her.	true	1721.51	1731.49	16
3866_173230_000050_000005	Mrs. Milroy had her motive also (which I am really ashamed to mention) for wishing to drive me out of the house.	mrs Milroy had her motive also (which I am really ashamed to mention) for wishing to drive me out of the house.	true	1732.16	1740.64	18.547224
3866_173230_000050_000006	Anyhow, the conspiracy has succeeded.	Anyhow, the conspiracy has succeeded.	true	1741.19	1744.96	21.40798
3866_173230_000050_000007	I have been forced (with Mr. Armadale's help) to leave the major's service.	I have been forced (with mr Armadale's help) to leave the major's service.	true	1745.18	1750.24	19
3866_173230_000050_000008	Don't be angry, Mr. Midwinter!	Don't be angry, mr Midwinter!	false	1750.94	1753.18	13
3866_173230_000050_000009	Don't form a hasty opinion!	Don't form a hasty opinion!	true	1753.43	1755.22	17.875921
3866_173230_000050_000010	I dare say Miss Milroy has some good qualities, though I have not found them out; and I assure you again and again that I don't blame Mr. Armadale.	I dare say Miss Milroy has some good qualities, though I have not found them out; and I assure you again and again that I don't blame mr Armadale.	false	1755.38	1765.45	19.37267
3866_173230_000050_000011	I only blame the people whose instrument he is."	I only blame the people whose instrument he is."	true	1765.97	1769.17	14
3866_173230_000051_000000	"How is he their instrument?	"How is he their instrument?	true	1770.05	1771.75	19.89246
3866_173230_000051_000001	How can he be the instrument of any enemy of yours?" asked Midwinter.	How can he be the instrument of any enemy of yours?" asked Midwinter.	false	1771.85	1778.02	19.371473
3866_173230_000051_000002	"Pray excuse my anxiety, Miss Gwilt: Allan's good name is as dear to me as my own!"	"Pray excuse my anxiety, Miss Gwilt: Allan's good name is as dear to me as my own!"	true	1779.41	1785.57	21.929365
3866_173230_000052_000000	Miss Gwilt's eyes turned full on him again, and Miss Gwilt's heart abandoned itself innocently to an outburst of enthusiasm.	Miss Gwilt's eyes turned full on him again, and Miss Gwilt's heart abandoned itself innocently to an outburst of enthusiasm.	false	1785.57	1794.55	17
3866_173230_000052_000001	"How I admire your earnestness!" she said.	"How I admire your earnestness!" she said.	true	1794.98	1797.79	13
3866_173230_000052_000002	"How I like your anxiety for your friend! Oh, if women could only form such friendships!	"How I like your anxiety for your friend! Oh, if women could only form such friendships!	false	1797.86	1804.54	20.598581
3866_173230_000052_000003	Oh you happy, happy men!" Her voice faltered, and her convenient tea-cup absorbed her for the third time.	Oh you happy, happy men!" Her voice faltered, and her convenient tea cup absorbed her for the third time.	true	1804.7	1812.7	18.60629
3866_173230_000052_000004	"I would give all the little beauty I possess," she said, "if I could only find such a friend as Mr. Armadale has found in _you_. I never shall, Mr. Midwinter--I never shall.	"I would give all the little beauty I possess," she said, "if I could only find such a friend as mr Armadale has found in underscore you underscore. I never shall, mr Midwinter-I never shall.	false	1813.55	1826.5	16.870157
3866_173230_000052_000005	Let us go back to what we were talking about.	Let us go back to what we were talking about.	true	1827.17	1829.53	20
3866_173230_000052_000006	I can only tell you how your friend is concerned in my misfortune by telling you something first about myself.	I can only tell you how your friend is concerned in my misfortune by telling you something first about myself.	true	1829.72	1836.04	16
3866_173230_000052_000007	I am like many other governesses; I am the victim of sad domestic circumstances. It may be weak of me, but I have a horror of alluding to them among strangers.	I am like many other governesses; I am the victim of sad domestic circumstances. It may be weak of me, but I have a horror of alluding to them among strangers.	false	1837.01	1848.69	17.744926
3866_173230_000052_000008	My silence about my family and my friends exposes me to misinterpretation in my dependent position.	My silence about my family and my friends exposes me to misinterpretation in my dependent position.	false	1848.69	1855.66	16
3866_173230_000052_000009	Does it do me any harm, Mr. Midwinter, in your estimation?"	Does it do me any harm, mr Midwinter, in your estimation?"	false	1856.66	1860.88	13
3866_173230_000053_000000	"God forbid!" said Midwinter, fervently.	"God forbid!" said Midwinter, fervently.	true	1861.79	1864.93	18.117111
3866_173230_000053_000001	"There is no man living," he went on, thinking of his own family story, "who has better reason to understand and respect your silence than I have."	"There is no man living," he went on, thinking of his own family story, "who has better reason to understand and respect your silence than I have."	true	1865.21	1873.45	15
3866_173230_000054_000000	Miss Gwilt seized his hand impulsively.	Miss Gwilt seized his hand impulsively.	true	1874.36	1876.95	16
3866_173230_000054_000001	"Oh," she said, "I knew it, the first moment I saw you!	"Oh," she said, "I knew it, the first moment I saw you!	false	1876.95	1881.32	18.628193
3866_173230_000054_000002	I knew that you, too, had suffered; that you, too, had sorrows which you kept sacred!	I knew that you, too, had suffered; that you, too, had sorrows which you kept sacred!	false	1881.32	1886.68	19
3866_173230_000054_000003	Strange, strange sympathy!	Strange, strange sympathy!	true	1887.17	1889.53	17
3866_173230_000054_000004	I believe in mesmerism--do you?"	I believe in mesmerism-do you?"	false	1889.6	1891.72	12
3866_173230_000054_000005	She suddenly recollected herself, and shuddered.	She suddenly recollected herself, and shuddered.	true	1892.69	1895.47	16
3866_173230_000054_000006	"Oh, what have I done?	"Oh, what have I done?	true	1896.59	1898.77	18.869785
3866_173230_000054_000007	What must you think of me?" she exclaimed, as he yielded to the magnetic fascination of her touch, and, forgetting everything but the hand that lay warm in his own, bent over it and kissed it.	What must you think of me?" she exclaimed, as he yielded to the magnetic fascination of her touch, and, forgetting everything but the hand that lay warm in his own, bent over it and kissed it.	true	1899.05	1911.91	19.112877
3866_173230_000054_000008	"Spare me!" she said, faintly, as she felt the burning touch of his lips.	"Spare me!" she said, faintly, as she felt the burning touch of his lips.	true	1913.36	1917.61	14
3866_173230_000054_000009	"I am so friendless--I am so completely at your mercy!"	"I am so friendless-I am so completely at your mercy!"	true	1918.52	1924.21	16.257423
3866_173230_000055_000000	He turned away from her, and hid his face in his hands; he was trembling, and she saw it.	He turned away from her, and hid his face in his hands; he was trembling, and she saw it.	true	1924.22	1930.21	18.62591
3866_173230_000055_000001	She looked at him while his face was hidden from her; she looked at him with a furtive interest and surprise.	She looked at him while his face was hidden from her; she looked at him with a furtive interest and surprise.	true	1930.64	1936.93	19.842335
3866_173230_000055_000002	"How that man loves me!" she thought.	"How that man loves me!" she thought.	true	1937.96	1940.56	18.71373
3866_173230_000055_000003	"I wonder whether there was a time when I might have loved _him_?"	"I wonder whether there was a time when I might have loved underscore him underscore?"	false	1940.84	1946.61	17.81152
3866_173230_000056_000000	The silence between them remained unbroken for some minutes.	The silence between them remained unbroken for some minutes.	true	1946.61	1949.77	14
3866_173230_000056_000001	He had felt her appeal to his consideration as she had never expected or intended him to feel it--he shrank from looking at her or from speaking to her again.	He had felt her appeal to his consideration as she had never expected or intended him to feel it-he shrank from looking at her or from speaking to her again.	true	1950.11	1960.78	18.844992
3866_173230_000057_000000	"Shall I go on with my story?" she asked.	"Shall I go on with my story?" she asked.	true	1961.48	1964.35	16
3866_173230_000057_000001	"Shall we forget and forgive on both sides?" A woman's inveterate indulgence for every expression of a man's admiration which keeps within the limits of personal respect curved her lips gently into a charming smile.	"Shall we forget and forgive on both sides?" A woman's inveterate indulgence for every expression of a man's admiration which keeps within the limits of personal respect curved her lips gently into a charming smile.	true	1964.6	1979.74	18
3866_173230_000057_000002	She looked down meditatively at her dress, and brushed a crumb off her lap with a little flattering sigh.	She looked down meditatively at her dress, and brushed a crumb off her lap with a little flattering sigh.	true	1980.47	1986.67	16
3866_173230_000057_000003	"I was telling you," she went on, "of my reluctance to speak to strangers of my sad family story.	"I was telling you," she went on, "of my reluctance to speak to strangers of my sad family story.	false	1987.55	1994.44	16
3866_173230_000057_000004	It was in that way, as I afterward found out, that I laid myself open to Miss Milroy's malice and Miss Milroy's suspicion.	It was in that way, as I afterward found out, that I laid myself open to Miss Milroy's malice and Miss Milroy's suspicion.	true	1995.29	2003.53	14
3866_173230_000057_000005	Private inquiries about me were addressed to the lady who was my reference--at Miss Milroy's suggestion, in the first instance, I have no doubt.	Private inquiries about me were addressed to the lady who was my reference-at Miss Milroy's suggestion, in the first instance, I have no doubt.	true	2004.02	2013.76	17.718616
3866_173230_000057_000006	I am sorry to say, this is not the worst of it.	I am sorry to say, this is not the worst of it.	false	2014.52	2017.21	19
3866_173230_000057_000007	By some underhand means, of which I am quite ignorant, Mr. Armadale's simplicity was imposed on; and, when application was made secretly to my reference in London, it was made, Mr. Midwinter, through your friend."	By some underhand means, of which I am quite ignorant, mr Armadale's simplicity was imposed on; and, when application was made secretly to my reference in London, it was made, mr Midwinter, through your friend."	false	2017.46	2032.66	17
3866_173230_000058_000000	Midwinter suddenly rose from his chair and looked at her.	Midwinter suddenly rose from his chair and looked at her.	true	2034.02	2036.8	15
3866_173230_000058_000001	The fascination that she exercised over him, powerful as it was, became a suspended influence, now that the plain disclosure came plainly at last from her lips.	The fascination that she exercised over him, powerful as it was, became a suspended influence, now that the plain disclosure came plainly at last from her lips.	false	2037.35	2048.95	19
3866_173230_000058_000002	He looked at her, and sat down again, like a man bewildered, without uttering a word.	He looked at her, and sat down again, like a man bewildered, without uttering a word.	false	2049.41	2055.25	17.550459
3866_173230_000059_000000	"Remember how weak he is," pleaded Miss Gwilt, gently, "and make allowances for him as I do.	"Remember how weak he is," pleaded Miss Gwilt, gently, "and make allowances for him as I do.	false	2056.55	2064.88	17.896935
3866_173230_000059_000001	The trifling accident of his failing to find my reference at the address given him seems, I can't imagine why, to have excited Mr. Armadale's suspicion.	The trifling accident of his failing to find my reference at the address given him seems, I can't imagine why, to have excited mr Armadale's suspicion.	false	2065.31	2076.79	16
3866_173230_000059_000002	At any rate, he remained in London.	At any rate, he remained in London.	true	2077.34	2080	16.38648
3866_173230_000059_000003	What he did there, it is impossible for me to say.	What he did there, it is impossible for me to say.	false	2080.61	2083.42	15
3866_173230_000059_000004	I was quite in the dark; I knew nothing: I distrusted nobody; I was as happy in my little round of duties as I could be with a pupil whose affections I had failed to win, when, one morning, to my indescribable astonishment, Major Milroy showed me a correspondence between Mr. Armadale and himself.	I was quite in the dark; I knew nothing: I distrusted nobody; I was as happy in my little round of duties as I could be with a pupil whose affections I had failed to win, when, one morning, to my indescribable astonishment, Major Milroy showed me a correspondence between mr Armadale and himself.	true	2084	2104.99	17
3866_173230_000059_000005	He spoke to me in his wife's presence.	He spoke to me in his wife's presence.	true	2105.6	2108.23	19
3866_173230_000059_000006	Poor creature, I make no complaint of her; such affliction as she suffers excuses everything.	Poor creature, I make no complaint of her; such affliction as she suffers excuses everything.	true	2109.11	2115.16	18
3866_173230_000059_000007	I wish I could give you some idea of the letters between Major Milroy and Mr. Armadale; but my head is only a woman's head, and I was so confused and distressed at the time!	I wish I could give you some idea of the letters between Major Milroy and mr Armadale; but my head is only a woman's head, and I was so confused and distressed at the time!	true	2115.71	2126.32	17
3866_173230_000059_000008	All I can tell you is that Mr. Armadale chose to preserve silence about his proceedings in London, under circumstances which made that silence a reflection on my character.	All I can tell you is that mr Armadale chose to preserve silence about his proceedings in London, under circumstances which made that silence a reflection on my character.	true	2127.05	2137.87	15
3866_173230_000059_000009	The major was most kind; his confidence in me remained unshaken; but could his confidence protect me against his wife's prejudice and his daughter's ill-will?	The major was most kind; his confidence in me remained unshaken; but could his confidence protect me against his wife's prejudice and his daughter's ill will?	true	2138.78	2150.23	18
3866_173230_000059_000010	Oh, the hardness of women to each other!	Oh, the hardness of women to each other!	true	2151.38	2153.71	18.144207
3866_173230_000059_000011	Oh, the humiliation if men only knew some of us as we really are!	Oh, the humiliation if men only knew some of us as we really are!	true	2154.62	2159.08	11
3866_173230_000059_000012	What could I do?	What could I do?	true	2159.63	2160.94	21.148125
3866_173230_000059_000013	I couldn't defend myself against mere imputations; and I couldn't remain in my situation after a slur had been cast on me.	I couldn't defend myself against mere imputations; and I couldn't remain in my situation after a slur had been cast on me.	false	2161.4	2171.65	18.831123
3866_173230_000059_000014	My pride (Heaven help me, I was brought up like a gentlewoman, and I have sensibilities that are not blunted even yet!)--my pride got the better of me, and I left my place.	My pride (Heaven help me, I was brought up like a gentlewoman, and I have sensibilities that are not blunted even yet!)--my pride got the better of me, and I left my place.	true	2172.11	2184.13	20
3866_173230_000059_000015	Don't let it distress you, Mr. Midwinter! There's a bright side to the picture.	Don't let it distress you, mr Midwinter! There's a bright side to the picture.	true	2184.53	2188.96	17.618183
