2404_141240_000000_000000	"End of transmission," Brion said, and the screen went dark.	"End of transmission," Brion said, and the screen went dark.	false	0.45	3.3	21.337978
2404_141240_000043_000003	The muffling cloth had fallen from the Disan's face during the struggle, and empty, frigid eyes stared into Brion's.	The muffling cloth had fallen from the Disan's face during the struggle, and empty, frigid eyes stared into Brion's.	true	1013.57	1021.06	22.358997
2404_141240_000043_000004	No flicker of emotion crossed the harsh planes of the other man's face.	No flicker of emotion crossed the harsh planes of the other man's face.	true	1021.46	1026.49	20.626127
2404_141240_000043_000005	A great puckered white scar covered one cheek and pulled up a corner of the mouth in a cheerless grimace.	A great puckered white scar covered one cheek and pulled up a corner of the mouth in a cheerless grimace.	true	1026.86	1034.02	23.311981
2404_141240_000043_000006	It was false; there was still no expression here, even when the pain must be growing more intense.	It was false; there was still no expression here, even when the pain must be growing more intense.	true	1034.48	1041.7	22.020554
2404_141240_000044_000000	Brion was winning--if none of the watchers broke the impasse. His greater weight and strength counted now.	Brion was winning-if none of the watchers broke the impasse. His greater weight and strength counted now.	true	1042.1	1048.75	20.987583
2404_141240_000044_000001	The Disan would have to drop the knife before his arm was dislocated at the shoulder. He didn't do it.	The Disan would have to drop the knife before his arm was dislocated at the shoulder. He didn't do it.	true	1049.24	1056.04	20.56652
2404_141240_000044_000002	With sudden horror Brion realized that he wasn't going to drop it--no matter what happened.	With sudden horror Brion realized that he wasn't going to drop it-no matter what happened.	false	1056.35	1062.88	21.314468
2404_141240_000045_000000	A dull, hideous snap jerked through the Disan's body and the arm hung limp and dead.	A dull, hideous snap jerked through the Disan's body and the arm hung limp and dead.	true	1063.19	1069.75	22.801565
2404_141240_000045_000001	No expression crossed the man's face.	No expression crossed the man's face.	true	1070.09	1072.78	24.306341
2404_141240_000045_000002	The knife was still locked in the fingers of the paralyzed hand.	The knife was still locked in the fingers of the paralyzed hand.	true	1073.06	1077.01	21.261072
2404_141240_000045_000003	With his other hand Lig-magte reached across and started to pry the blade loose, ready to continue the battle one-handed.	With his other hand Lig magte reached across and started to pry the blade loose, ready to continue the battle one handed.	false	1077.44	1085.38	20.810163
2404_141240_000045_000004	Brion raised his foot and kicked the knife free, sending it spinning across the room.	Brion raised his foot and kicked the knife free, sending it spinning across the room.	true	1085.81	1091.32	22.773054
2404_141240_000046_000000	Lig-magte made a fist of his good hand and crashed it into Brion's groin.	Lig magte made a fist of his good hand and crashed it into Brion's groin.	true	1091.84	1096.81	20.546904
2404_141240_000046_000001	He was still fighting, as if nothing had changed.	He was still fighting, as if nothing had changed.	true	1097.06	1100.41	21.697365
2404_141240_000046_000002	Brion backed slowly away from the man.	Brion backed slowly away from the man.	true	1100.57	1103.17	20.481392
2404_141240_000046_000003	"Stop it," he said.	"Stop it," he said.	true	1103.48	1104.84	24.740234
2404_141240_000046_000004	"You can't win now.	"You can't win now.	true	1104.84	1106.28	18
2404_141240_000046_000005	It's impossible." He called to the other men who were watching the unequal battle with expressionless immobility.	It's impossible." He called to the other men who were watching the unequal battle with expressionless immobility.	true	1106.28	1114.15	21.477423
2404_141240_000046_000006	No one answered him.	No one answered him.	true	1114.46	1115.92	20.477165
2404_141240_000047_000000	With a terrible sinking sensation Brion then realized what would happen and what he had to do.	With a terrible sinking sensation Brion then realized what would happen and what he had to do.	true	1117.01	1123.39	18.925106
2404_141240_000047_000001	Lig-magte was as heedless of his own life as he was of the life of his planet.	Lig magte was as heedless of his own life as he was of the life of his planet.	false	1123.88	1129.48	21.938335
2404_141240_000047_000002	He would press the attack no matter what damage was done to him.	He would press the attack no matter what damage was done to him.	true	1129.73	1133.5	22.114132
2404_141240_000047_000003	Brion had an insane vision of him breaking the man's other arm, fracturing both his legs, and the limbless broken creature still coming forward.	Brion had an insane vision of him breaking the man's other arm, fracturing both his legs, and the limbless broken creature still coming forward.	true	1133.81	1143.87	21.020643
2404_141240_000047_000004	Crawling, rolling, teeth bared, since they were the only remaining weapon.	Crawling, rolling, teeth bared, since they were the only remaining weapon.	true	1143.87	1149.22	20.963816
2404_141240_000048_000000	There was only one way to end it.	There was only one way to end it.	true	1149.95	1152.25	20.861559
2404_141240_000048_000001	Brion feinted and the Lig-magte's arm moved clear of his body.	Brion feinted and the Lig magte's arm moved clear of his body.	true	1152.38	1156.72	20.698198
2404_141240_000048_000002	The engulfing cloth was thin and through it Brion could see the outlines of the Disan's abdomen and rib cage, the clear location of the great nerve ganglion.	The engulfing cloth was thin and through it Brion could see the outlines of the Disan's abdomen and rib cage, the clear location of the great nerve ganglion.	true	1157.12	1168.03	23.120567
2404_141240_000049_000000	It was the death blow of kara-te.	It was the death blow of kara te.	false	1168.73	1172.16	23.074917
2404_141240_000049_000001	Brion had never used it on a man. In practice he had broken heavy boards, splintering them instantly with the short, precise stroke.	Brion had never used it on a man. In practice he had broken heavy boards, splintering them instantly with the short, precise stroke.	false	1172.16	1182.21	20.849949
2404_141240_000049_000002	The stiffened hand moving forward in a sudden surge, all the weight and energy of his body concentrated in his joined fingertips.	The stiffened hand moving forward in a sudden surge, all the weight and energy of his body concentrated in his joined fingertips.	true	1182.21	1190.41	21.75538
2404_141240_000049_000003	Plunging deep into the other's flesh.	Plunging deep into the other's flesh.	true	1190.63	1193.32	19.920515
2404_141240_000050_000000	Killing, not by accident or in sudden anger.	Killing, not by accident or in sudden anger.	true	1193.81	1197.46	25.203007
2404_141240_000050_000001	Killing because this was the only way the battle could possibly end.	Killing because this was the only way the battle could possibly end.	true	1197.8	1202.95	22.182837
2404_141240_000051_000000	Like a ruined tower of flesh, the Disan crumpled and fell.	Like a ruined tower of flesh, the Disan crumpled and fell.	true	1203.53	1208.23	21.909683
2404_141240_000052_000000	Dripping blood, exhausted, Brion stood over the body of Lig-magte and stared at the dead man's allies.	Dripping blood, exhausted, Brion stood over the body of Lig magte and stared at the dead man's allies.	false	1208.9	1216.54	21.438543
2404_141240_000053_000000	Death filled the room.	Death filled the room.	true	1217	1218.6	20.722378
2404_141240_000054_000000	XI	XI	false	1218.6	1218.63	-20
2404_141240_000055_000000	Facing the silent Disans, Brion's thoughts hurtled about in sweeping circles.	Facing the silent Disans, Brion's thoughts hurtled about in sweeping circles.	false	1218.63	1219.14	-20
2404_141240_000055_000001	There would be no more than an instant's tick of time before the magter avenged themselves bloodily and completely.	There would be no more than an instant's tick of time before the magter avenged themselves bloodily and completely.	false	1219.14	1220.16	23.164442
2404_141240_000055_000002	He felt a fleeting regret for not having brought his gun, then abandoned the thought.	He felt a fleeting regret for not having brought his gun, then abandoned the thought.	false	1220.16	1221.69	14.611026
2404_141240_000055_000003	There was no time for regrets--what could he do _now_?	There was no time for regrets-what could he do underscore now underscore?	false	1221.69	1221.69	
