2688_144987_000000_000000	Remember this proportion:	Remember this proportion:	false	5.04	8.37	16.442638
2688_144987_000093_000000	Speaking generally, the New Hampshire laws regulating the killing and shipment of game are defective for the reason that on birds, and in fact all game save deer, there appear to be no "bag" limits on the quantity that may be killed in a day or a season.	Speaking generally, the New Hampshire laws regulating the killing and shipment of game are defective for the reason that on birds, and in fact all game save deer, there appear to be no "bag" limits on the quantity that may be killed in a day or a season.	true	1038.62	1052.29	17
2688_144987_000093_000001	The following bag limits are greatly needed, forthwith:	The following bag limits are greatly needed, forthwith:	true	1053.14	1056.34	19.106424
2688_144987_000094_000000	Gray Squirrel, none per day, or per year; duck (except wood-duck), ten per day, or thirty per season; ruffed grouse, four per day, twelve per season; hare and rabbit, four per day, or twelve per season.	Gray Squirrel, none per day, or per year; duck (except wood duck), ten per day, or thirty per season; ruffed grouse, four per day, twelve per season; hare and rabbit, four per day, or twelve per season.	true	1056.83	1072.39	20.764446
2688_144987_000095_000000	Five-year close seasons should immediately be enacted for the following species: quail, woodcock, jacksnipe and all species of shore or "beach" birds.	Five year close seasons should immediately be enacted for the following species: quail, woodcock, jacksnipe and all species of shore or "beach" birds.	true	1074.71	1083.94	19.345629
2688_144987_000096_000000	The sale of all native wild game should be prohibited; and game-breeding in preserves, and the sale of such game under state supervision, should be provided for.	The sale of all native wild game should be prohibited; and game breeding in preserves, and the sale of such game under state supervision, should be provided for.	false	1084.94	1093.57	18.957687
2688_144987_000097_000000	The use of automatic and pump guns in hunting should be barred,--through state pride, if for no other reason.	The use of automatic and pump guns in hunting should be barred,--through state pride, if for no other reason.	true	1094.57	1100.14	20
2688_144987_000098_000000	NEW JERSEY:	NEW JERSEY:	true	1100.84	1101.85	20.886923
2688_144987_000099_000000	New Jersey enjoys the distinction of being the second state to break the strangle-hold of the gun-makers of Hartford and Ilion, and cast out the odious automatic and pump guns.	New Jersey enjoys the distinction of being the second state to break the strangle hold of the gun makers of Hartford and Ilion, and cast out the odious automatic and pump guns.	true	1102.58	1112.56	20.958437
2688_144987_000099_000001	It was a pitched battle,--that of 1912, inaugurated by Ernest Napier, President of the State Game and Fish Commission and his fellow commissioners.	It was a pitched battle,--that of nineteen twelve, inaugurated by Ernest Napier, President of the State Game and Fish Commission and his fellow commissioners.	true	1113.08	1122.4	20.56499
2688_144987_000099_000002	The longer the contest continued, the more did the press and the people of New Jersey awaken to the seriousness of the situation.	The longer the contest continued, the more did the press and the people of New Jersey awaken to the seriousness of the situation.	true	1123.31	1130.32	20
2688_144987_000099_000003	Finally, the gun-suppression bill passed the two houses of the legislature with a total of only fourteen votes against it, and after a full hearing had been granted the attorneys of the gunmakers, was promptly signed by Governor Woodrow Wilson.	Finally, the gun suppression bill passed the two houses of the legislature with a total of only fourteen votes against it, and after a full hearing had been granted the attorneys of the gunmakers, was promptly signed by Governor Woodrow Wilson.	true	1131.29	1145.04	19.480968
2688_144987_000099_000004	_Governor Wilson could not be convinced that the act was "unconstitutional," or "confiscatory" or "class legislation."_	underscore Governor Wilson could not be convinced that the act was "unconstitutional," or "confiscatory" or "class legislation."underscore	false	1145.04	1154.85	19.263803
2688_144987_000100_000000	This contest aroused the whole state to the imperative necessity of providing more thorough protection for the remnant of New Jersey game, and it was chiefly responsible for the enactment of four other excellent new protective laws.	This contest aroused the whole state to the imperative necessity of providing more thorough protection for the remnant of New Jersey game, and it was chiefly responsible for the enactment of four other excellent new protective laws.	false	1154.85	1167.13	17
2688_144987_000101_000000	New Jersey always has been sincere in her desire to protect her wild life, and always has gone _as far as the killers of game would permit her to go!_ But the People have made one great mistake,--common to nearly every state,--of permitting the game-killers to dictate the game laws!	New Jersey always has been sincere in her desire to protect her wild life, and always has gone underscore as far as the killers of game would permit her to go!underscore But the People have made one great mistake,--common to nearly every state,--of permitting the game killers to dictate the game laws!	false	1168.88	1184.61	20.073195
2688_144987_000101_000001	_Always and everywhere, this is a grievous mistake_, and fatal to the game.	underscore Always and everywhere, this is a grievous mistake underscore, and fatal to the game.	false	1184.61	1189.48	19.811222
2688_144987_000101_000002	For example: In 1866 New Jersey enacted a five-year close-season law on the "prairie fowl" (pinnated grouse); but it was too late to save it.	For example: In eighteen sixty six New Jersey enacted a five year close season law on the "prairie fowl" (pinnated grouse); but it was too late to save it.	true	1190.81	1201.63	19.206932
2688_144987_000101_000003	Now that species is as dead to New Jersey as is the mastodon.	Now that species is as dead to New Jersey as is the mastodon.	true	1202.03	1205.98	19
2688_144987_000101_000004	The moral is: Will the People apply this lesson to the ruffed grouse, quail and the shore birds generally before they, too, are too far gone to be brought back?	The moral is: Will the People apply this lesson to the ruffed grouse, quail and the shore birds generally before they, too, are too far gone to be brought back?	true	1207.7	1216.78	20.331074
2688_144987_000101_000005	If it is done, it must be done _against the will of the gunners;_ for they prefer to shoot,--and shoot they will if they can dictate the laws, until the last game bird is dead.	If it is done, it must be done underscore against the will of the gunners;underscore for they prefer to shoot,--and shoot they will if they can dictate the laws, until the last game bird is dead.	false	1217.87	1227.31	20
2688_144987_000102_000000	In 1912, New Jersey is spending $30,000 in trying to restock her birdless covers with foreign game birds and quail.	In nineteen twelve, New Jersey is spending thirty thousand dollars in trying to restock her birdless covers with foreign game birds and quail.	true	1229.69	1237.39	15
2688_144987_000102_000001	In brief, here are the imperative duties of New Jersey:	In brief, here are the imperative duties of New Jersey:	true	1238.21	1241.26	19.095478
2688_144987_000103_000000	Provide eight-year close seasons for quail, ruffed grouse, woodcock, snipe, all shore birds and the wood-duck.	Provide eight year close seasons for quail, ruffed grouse, woodcock, snipe, all shore birds and the wood duck.	true	1241.99	1249.03	19.683676
2688_144987_000104_000000	Prohibit the sale of all native wild game; but promote the sale of preserve-bred game.	Prohibit the sale of all native wild game; but promote the sale of preserve bred game.	true	1250.09	1255.21	20.460964
2688_144987_000105_000000	Prevent the repeal of the automatic gun law, which surely will be attempted, each year.	Prevent the repeal of the automatic gun law, which surely will be attempted, each year.	true	1256.3	1261.18	19
2688_144987_000106_000000	Prohibit all bird-shooting after January 10, each year, until fall.	Prohibit all bird shooting after january tenth, each year, until fall.	true	1262.9	1267.66	17.708063
2688_144987_000107_000000	Prohibit the killing of squirrels as "game."	Prohibit the killing of squirrels as "game."	true	1269.35	1271.8	22.089912
2688_144987_000108_000000	NEW MEXICO:	NEW MEXICO:	true	1273.79	1274.89	22.72829
2688_144987_000109_000000	All things considered, the game laws of New Mexico are surprisingly up to date, and the state is to be congratulated on its advanced position. For example, there are long close seasons on antelope, elk (now extinct!), mountain sheep, bob white quail, pinnated grouse, wild pigeon and ptarmigan,--an admirable list, truly.	All things considered, the game laws of New Mexico are surprisingly up to date, and the state is to be congratulated on its advanced position. For example, there are long close seasons on antelope, elk (now extinct!), mountain sheep, bob white quail, pinnated grouse, wild pigeon and ptarmigan,--an admirable list, truly.	true	1275.68	1296.67	20.156895
2688_144987_000109_000001	It is clear that New Mexico is wide awake to the dangers of the wild-life situation.	It is clear that New Mexico is wide awake to the dangers of the wild life situation.	true	1297.49	1301.95	18
2688_144987_000109_000002	On two counts, her laws are not quite perfect.	On two counts, her laws are not quite perfect.	true	1302.44	1305.31	21.182737
2688_144987_000109_000003	There is no law prohibiting spring shooting, and there is no "model law" protecting the non-game birds.	There is no law prohibiting spring shooting, and there is no "model law" protecting the non game birds.	true	1305.41	1311.07	21.529547
2688_144987_000109_000004	The sale of game will not trouble New Mexico, because the present laws prevent the sale of all protected game except plover, curlew and snipe,--all of them species by no means common in the arid regions of the Southwest.	The sale of game will not trouble New Mexico, because the present laws prevent the sale of all protected game except plover, curlew and snipe,--all of them species by no means common in the arid regions of the Southwest.	true	1312.04	1324.36	21.034588
2688_144987_000110_000000	A law prohibiting spring shooting of shore birds and waterfowl should be passed at the next session of the legislature.	A law prohibiting spring shooting of shore birds and waterfowl should be passed at the next session of the legislature.	true	1325.78	1331.68	18
2688_144987_000111_000000	The enactment of the "model law" should be accomplished without delay to put New Mexico abreast of the neighboring states of Colorado, Oklahoma and Texas.	The enactment of the "model law" should be accomplished without delay to put New Mexico abreast of the neighboring states of Colorado, Oklahoma and Texas.	true	1332.14	1340.38	18
2688_144987_000112_000000	The term of the State Warden should be extended to four years.	The term of the State Warden should be extended to four years.	true	1341.62	1345.03	20
2688_144987_000113_000000	NEW YORK:	NEW YORK:	true	1347.56	1348.69	22.735239
2688_144987_000114_000000	In the year of grace, 1912, I think we may justly regard New York as the banner state of all America in the protection of game and wild life in general.	In the year of grace, nineteen twelve, I think we may justly regard New York as the banner state of all America in the protection of game and wild life in general.	true	1349.57	1359.31	19
2688_144987_000114_000001	This proud position has been achieved partly through the influence of a great conservation Governor, John A. Dix, and the State Conservation Commission proposed and created by his efforts.	This proud position has been achieved partly through the influence of a great conservation Governor, john a Dix, and the State Conservation Commission proposed and created by his efforts.	true	1360.16	1371.49	20.23496
2688_144987_000114_000002	In these days of game destruction, when our country from Nome to Key West is reeking with the blood of slaughtered wild creatures, it is a privilege and a pleasure to be a citizen of a state which has thoroughly cleaned house, and done well nigh the utmost that any state can do to clear her bad record, and give all her wild creatures a fair chance to survive. The people of the Empire State literally can point with pride to the list of things accomplished in the discharge of good-citizenship toward the remnant of wild life, and toward the future generations of New Yorkers.	In these days of game destruction, when our country from Nome to Key West is reeking with the blood of slaughtered wild creatures, it is a privilege and a pleasure to be a citizen of a state which has thoroughly cleaned house, and done well nigh the utmost that any state can do to clear her bad record, and give all her wild creatures a fair chance to survive. The people of the Empire State literally can point with pride to the list of things accomplished in the discharge of good citizenship toward the remnant of wild life, and toward the future generations of New Yorkers.	false	1372.28	1406.71	20.121244
2688_144987_000114_000003	That we of to-day have borne our share of the burden of bringing about the conditions of 1912, will be a source of satisfaction, especially when the sword and shield hang useless upon the walls of Old Age.	That we of to day have borne our share of the burden of bringing about the conditions of nineteen twelve, will be a source of satisfaction, especially when the sword and shield hang useless upon the walls of Old Age.	false	1408.31	1420.63	19.479095
2688_144987_000115_000000	New York began to protect her deer in 1705 and her heath hens in 1708. In 1912 she stopped the killing of female deer, and of bucks having horns less than three inches in length.	New York began to protect her deer in seventeen o five and her heath hens in seventeen o eight. In nineteen twelve she stopped the killing of female deer, and of bucks having horns less than three inches in length.	true	1425.44	1437.73	19.926422
2688_144987_000115_000001	Spring shooting was stopped in 1903.	Spring shooting was stopped in nineteen o three.	true	1438.13	1440.73	20
2688_144987_000115_000002	A comprehensive law protecting non-game birds was enacted in 1862. New York's first law against the sale of certain game during close seasons was enacted in 1837.	A comprehensive law protecting non game birds was enacted in eighteen sixty two. New York's first law against the sale of certain game during close seasons was enacted in eighteen thirty seven.	true	1441.13	1452.79	20.213793
2688_144987_000116_000000	In 1911 New York enacted, with only one adverse vote, a law prohibiting the sale of all native wild game throughout the state, no matter where killed, and providing liberally for the encouragement of game-breeding, and the sale of preserve-bred game.	In nineteen eleven New York enacted, with only one adverse vote, a law prohibiting the sale of all native wild game throughout the state, no matter where killed, and providing liberally for the encouragement of game breeding, and the sale of preserve bred game.	true	1454.99	1470.31	19.648766
2688_144987_000117_000000	In 1912 a new codification of the state game laws went into effect, through the initiative of Governor Dix and Conservation Commissioners Van Kennen, Moore and Fleming, assisted (as special counsel) by Marshall McLean, George A. Lawyer and John B. Burnham.	In nineteen twelve a new codification of the state game laws went into effect, through the initiative of Governor Dix and Conservation Commissioners Van Kennen, Moore and Fleming, assisted (as special counsel) by Marshall McLean, George a Lawyer and john b Burnham.	true	1471.46	1489.18	20.73949
2688_144987_000117_000001	This code contains many important new provisions, one of the most valuable of which is a clause giving the Conservation Commission power, at its discretion, to shorten or to close any open season on any species of game in any locality wherein that species seems to be threatened with extermination.	This code contains many important new provisions, one of the most valuable of which is a clause giving the Conservation Commission power, at its discretion, to shorten or to close any open season on any species of game in any locality wherein that species seems to be threatened with extermination.	true	1491.11	1509.1	19
2688_144987_000117_000002	This very valuable principle should be enacted into law in every state!	This very valuable principle should be enacted into law in every state!	true	1509.74	1514.2	18.940712
2688_144987_000118_000000	In 1910, William Dutcher and T. Gilbert Pearson and the National Association of Audubon Societies won, after a struggle lasting five years, the passage of the "Shea plumage bill," prohibiting the sale of aigrettes or other plumage of wild birds belonging to the same families as the birds of New York (Chap. 256).	In nineteen ten, William Dutcher and t Gilbert Pearson and the National Association of Audubon Societies won, after a struggle lasting five years, the passage of the "Shea plumage bill," prohibiting the sale of aigrettes or other plumage of wild birds belonging to the same families as the birds of New York (Chap. two hundred fifty six).	false	1515.29	1537.6	19.458338
2688_144987_000118_000001	This law _should be duplicated in every state._	This law underscore should be duplicated in every state.underscore	false	1539.71	1586.28	19.065573
