7828_105179_000000_000000	Chapter XXIV	Chapter twenty four	false	0.39	2.76	24.109766
7828_105179_000051_000000	"She is the Honorable Patricia Canby," said Capell, "one of the most valuable members of the British Intelligence Service attached to the East African forces.	"She is the Honorable Patricia Canby," said Capell, "one of the most valuable members of the British Intelligence Service attached to the East African forces.	false	969.11	977.65	21.362225
7828_105179_000051_000001	Her father and I served in India together and I have known her ever since she was born.	Her father and I served in India together and I have known her ever since she was born.	true	977.84	982.54	18.507946
7828_105179_000052_000000	"Why, here's a packet of papers she took from a German officer and has been carrying it through all her vicissitudes--single-minded in the performance of her duty.	"Why, here's a packet of papers she took from a German officer and has been carrying it through all her vicissitudes-single minded in the performance of her duty.	false	982.55	991.54	23.441622
7828_105179_000052_000001	Look!	Look!	true	991.67	992.47	29.889612
7828_105179_000052_000002	I haven't yet had time to examine them but as you see here is a military sketch map, a bundle of reports, and the diary of one Hauptmann Fritz Schneider."	I haven't yet had time to examine them but as you see here is a military sketch map, a bundle of reports, and the diary of one Hauptmann Fritz Schneider."	false	992.6	1001.83	21.558725
7828_105179_000053_000000	"The diary of Hauptmann Fritz Schneider!" repeated Tarzan in a constrained voice.	"The diary of Hauptmann Fritz Schneider!" repeated Tarzan in a constrained voice.	true	1002.08	1006.54	23.792107
7828_105179_000053_000001	"May I see it, Capell?	"May I see it, Capell?	false	1006.73	1008.45	33.69725
7828_105179_000053_000002	He is the man who murdered Lady Greystoke."	He is the man who murdered Lady Greystoke."	true	1008.45	1011.06	20.539673
7828_105179_000054_000000	The Englishman handed the little volume over to the other without a word.	The Englishman handed the little volume over to the other without a word.	true	1011.06	1014.73	15
7828_105179_000054_000001	Tarzan ran through the pages quickly looking for a certain date--the date that the horror had been committed--and when he found it he read rapidly.	Tarzan ran through the pages quickly looking for a certain date-the date that the horror had been committed-and when he found it he read rapidly.	false	1015.07	1024.15	23.077518
7828_105179_000054_000002	Suddenly a gasp of incredulity burst from his lips.	Suddenly a gasp of incredulity burst from his lips.	false	1024.46	1028.07	24.545277
7828_105179_000054_000003	Capell looked at him questioningly.	Capell looked at him questioningly.	true	1028.07	1029.79	25
7828_105179_000055_000000	"God!" exclaimed the ape-man.	"God!" exclaimed the ape man.	false	1030.19	1032.01	26.449972
7828_105179_000055_000001	"Can this be true?	"Can this be true?	true	1032.08	1033.48	32.946392
7828_105179_000055_000002	Listen!" and he read an excerpt from the closely written page:	Listen!" and he read an excerpt from the closely written page:	true	1033.58	1037.38	23.943352
7828_105179_000056_000000	"'Played a little joke on the English pig.	"'Played a little joke on the English pig.	true	1037.84	1040.34	22.389206
7828_105179_000056_000001	When he comes home he will find the burned body of his wife in her boudoir--but he will only think it is his wife.	When he comes home he will find the burned body of his wife in her boudoir-but he will only think it is his wife.	false	1040.34	1046.83	21.949026
7828_105179_000056_000002	Had von Goss substitute the body of a dead Negress and char it after putting Lady Greystoke's rings on it--Lady G will be of more value to the High Command alive than dead.'"	Had von Goss substitute the body of a dead Negress and char it after putting Lady Greystoke's rings on it-Lady G will be of more value to the High Command alive than dead.'"	true	1046.9	1056.85	19.892593
7828_105179_000057_000000	"She lives!" cried Tarzan.	"She lives!" cried Tarzan.	true	1057.22	1059.61	26.202188
7828_105179_000058_000000	"Thank God!" exclaimed Capell.	"Thank God!" exclaimed Capell.	false	1059.98	1062.18	26.2309
7828_105179_000058_000001	"And now?"	"And now?"	true	1062.18	1063	37.200344
7828_105179_000059_000000	"I will return with you, of course.	"I will return with you, of course.	true	1063.4	1065.31	31.966452
7828_105179_000059_000001	How terribly I have wronged Miss Canby, but how could I know?	How terribly I have wronged Miss Canby, but how could I know?	true	1065.71	1069.42	21.299864
7828_105179_000059_000002	I even told Smith-Oldwick, who loves her, that she was a German spy.	I even told Smith Oldwick, who loves her, that she was a German spy.	true	1069.7	1073.86	24.789703
7828_105179_000060_000000	"Not only must I return to find my wife but I must right this wrong."	"Not only must I return to find my wife but I must right this wrong."	true	1074.23	1078.6	28.774752
7828_105179_000061_000000	"Don't worry about that," said Capell, "she must have convinced him that she is no enemy spy, for just before they left this morning he told me she had promised to marry him."	"Don't worry about that," said Capell, "she must have convinced him that she is no enemy spy, for just before they left this morning he told me she had promised to marry him."	false	1079.06	1089.15	25.116713
7828_105179_000062_000000	Note: I have made the following changes to the text:	Note: I have made the following changes to the text:	false	1089.15	1089.27	1
7828_105179_000063_000000	PAGE LINE ORIGINAL CHANGED TO 25 10 noislessly noiselessly 40 34 hole bole 41 45 later latter 53 43 but "but 66 19 half-smiled half-smile 69 45 to many too many 75 16 fine find 81 3 forth fourth 86 14 hoplessly hopelessly 86 42 interferred interfered 93 15 born borne 101 40 Englishman Englishmen 108 16 divertisements divertissements 110 29 asid said 127 14 apppreciate appreciate 128 45 fuseluge fuselage 138 25 as the at the 142 34 girls' girl's 146 44 sourroundings, surroundings, 148 30 spirit on spirit of 149 33 upon upon. 153 3 immediately immediate 153 39 nothwithstanding notwithstanding 159 43 "The The 163 45 known know 171 8 one the on the 172 8 sandled sandaled 175 2 junlgle jungle 181 46 swifty swiftly 189 23 not, not. 198 45 "Come," Come," 219 1 still sill 225 21 sigh or sigh of 227 20 occasionaly occasionally 228 5 gazing grazing 234 24 prisoners.	PAGE LINE ORIGINAL CHANGED TO twenty five ten noislessly noiselessly forty thirty four hole bole forty one forty five later latter fifty three forty three but "but sixty six nineteen half smiled half smile sixty nine forty five to many too many seventy five sixteen fine find eighty one three forth fourth eighty six fourteen hoplessly hopelessly eighty six forty two interferred interfered ninety three fifteen born borne one hundred one forty Englishman Englishmen one hundred eight sixteen divertisements divertissements one hundred ten twenty nine a s i d said one hundred twenty seven fourteen apppreciate appreciate one hundred twenty eight forty five fuseluge fuselage one hundred thirty eight twenty five as the at the one hundred forty two thirty four girls' girl's one hundred forty six forty four sourroundings, surroundings, one hundred forty eight thirty spirit on spirit of one hundred forty nine thirty three upon upon. one hundred fifty three three immediately immediate one hundred fifty three thirty nine nothwithstanding notwithstanding one hundred fifty nine forty three "The The one hundred sixty three forty five known know one hundred seventy one eight one the on the one hundred seventy two eight sandled sandaled one hundred seventy five two junlgle jungle one hundred eighty one forty six swifty swiftly one hundred eighty nine twenty three not, not. one hundred ninety eight forty five "Come," Come," two hundred nineteen one still sill two hundred twenty five twenty one sigh or sigh of two hundred twenty seven twenty occasionaly occasionally two hundred twenty eight five gazing grazing two hundred thirty four twenty four prisoners.	false	1089.27	1096.86	22.152643
7828_105179_000063_000001	prisoners. 237 11 qiuckly quickly 237 16 opproached approached 243 16 is his in his 244 32 second seconds	prisoners. two hundred thirty seven eleven qiuckly quickly two hundred thirty seven sixteen opproached approached two hundred forty three sixteen is his in his two hundred forty four thirty two second seconds	false	1096.86	1099.89	23.58145
