5206_19376_000000_000000	NOTES FOR LECTURE XVIII	NOTES FOR LECTURE eighteen	true	22.89	24.76	24
5206_19376_000034_000005	It is believed to be almost certainly the cause.	It is believed to be almost certainly the cause.	true	1182.35	1185.22	20
5206_19376_000034_000006	If so, there was a time when the moon behaved differently--when it rotated more quickly than it revolved, and exhibited to us its whole surface.	If so, there was a time when the moon behaved differently-when it rotated more quickly than it revolved, and exhibited to us its whole surface.	false	1185.32	1195	23.028084
5206_19376_000034_000007	And at this era, too, the earth itself must have rotated a little faster, for it has been losing speed ever since.	And at this era, too, the earth itself must have rotated a little faster, for it has been losing speed ever since.	false	1195.43	1202.8	21
5206_19376_000035_000000	We have thus arrived at this fact, that a thousand years ago the day was a trifle shorter than it is now.	We have thus arrived at this fact, that a thousand years ago the day was a trifle shorter than it is now.	false	1203.95	1211.88	19.946709
5206_19376_000035_000001	A million years ago it was, perhaps, an hour shorter.	A million years ago it was, perhaps, an hour shorter.	false	1211.88	1216.21	20.318422
5206_19376_000035_000002	Twenty million years ago it must have been much shorter. Fifty million years ago it may have been only a few hours long.	Twenty million years ago it must have been much shorter. Fifty million years ago it may have been only a few hours long.	false	1216.52	1224.82	19.143082
5206_19376_000035_000003	The earth may have spun round then quite quickly.	The earth may have spun round then quite quickly.	true	1225.16	1228.54	23.5275
5206_19376_000035_000004	But there is a limit.	But there is a limit.	true	1228.73	1230.01	25.573523
5206_19376_000035_000005	If it spun too fast it would fly to pieces.	If it spun too fast it would fly to pieces.	true	1230.23	1233.64	25.06062
5206_19376_000035_000006	Attach shot by means of wax to the whirling earth model, Fig. 110, and at a certain speed the cohesion of the wax cannot hold them, so they fly off.	Attach shot by means of wax to the whirling earth model, Fig. one hundred ten, and at a certain speed the cohesion of the wax cannot hold them, so they fly off.	true	1234.01	1245.07	21.498676
5206_19376_000035_000007	The earth is held together not by cohesion but by gravitation; it is not difficult to reckon how fast the earth must spin for gravity at its surface to be annulled, and for portions to fly off.	The earth is held together not by cohesion but by gravitation; it is not difficult to reckon how fast the earth must spin for gravity at its surface to be annulled, and for portions to fly off.	false	1245.5	1258.48	22.900482
5206_19376_000035_000008	We find it about one revolution in three hours. This is a critical speed.	We find it about one revolution in three hours. This is a critical speed.	true	1258.94	1264.15	22.18528
5206_19376_000035_000009	If ever the day was three hours long, something must have happened.	If ever the day was three hours long, something must have happened.	true	1264.28	1268.28	19.53301
5206_19376_000035_000010	The day can never have been shorter than that; for if it were, the earth would have a tendency to fly in pieces, or, at least, to separate into two pieces.	The day can never have been shorter than that; for if it were, the earth would have a tendency to fly in pieces, or, at least, to separate into two pieces.	false	1268.28	1278.4	24.001663
5206_19376_000035_000011	Remember this, as a natural result of a three-hour day, which corresponds to an unstable state of things; remember also that in some past epoch a three-hour day is a probability.	Remember this, as a natural result of a three hour day, which corresponds to an unstable state of things; remember also that in some past epoch a three hour day is a probability.	true	1278.74	1291	22.05061
5206_19376_000036_000000	If we think of the state of things going on in the earth's atmosphere, if it had an atmosphere at that remote date, we shall recognize the existence of the most fearful tornadoes.	If we think of the state of things going on in the earth's atmosphere, if it had an atmosphere at that remote date, we shall recognize the existence of the most fearful tornadoes.	false	1292.45	1304.74	19
5206_19376_000036_000001	The trade winds, which are now peaceful agents of commerce, would then be perpetual hurricanes, and all the denudation agents of the geologist would be in a state of feverish activity.	The trade winds, which are now peaceful agents of commerce, would then be perpetual hurricanes, and all the denudation agents of the geologist would be in a state of feverish activity.	false	1304.93	1316.59	20
5206_19376_000036_000002	So, too, would the tides: instead of waiting six hours between low and high tide, we should have to wait only three-quarters of an hour.	So, too, would the tides: instead of waiting six hours between low and high tide, we should have to wait only three quarters of an hour.	false	1316.78	1326.82	20.452703
5206_19376_000036_000003	Every hour-and-a-half the water would execute a complete swing from high tide to high again.	Every hour and a half the water would execute a complete swing from high tide to high again.	true	1327.01	1333.99	18
5206_19376_000037_000000	Very well, now leave the earth, and think what has been happening to the moon all this while.	Very well, now leave the earth, and think what has been happening to the moon all this while.	true	1334.99	1341.01	18.93619
5206_19376_000038_000000	We have seen that the moon pulls the tidal hump nearest to it back; but action and reaction are always equal and opposite--it cannot do that without itself getting pulled forward.	We have seen that the moon pulls the tidal hump nearest to it back; but action and reaction are always equal and opposite-it cannot do that without itself getting pulled forward.	true	1341.23	1352.89	20.917961
5206_19376_000038_000001	The pull of the earth on the moon will therefore not be quite central, but will be a little in advance of its centre; hence, by Kepler's second law, the rate of description of areas by its radius vector cannot be constant, but must increase (p. 208).	The pull of the earth on the moon will therefore not be quite central, but will be a little in advance of its centre; hence, by Kepler's second law, the rate of description of areas by its radius vector cannot be constant, but must increase (p. two hundred eight).	false	1353.26	1369.36	22.074286
5206_19376_000038_000002	And the way it increases will be for the radius vector to lengthen, so as to sweep out a bigger area.	And the way it increases will be for the radius vector to lengthen, so as to sweep out a bigger area.	true	1371.11	1378.18	22
5206_19376_000038_000003	Or, to put it another way, the extra speed tending to be gained by the moon will fling it further away by extra centrifugal force.	Or, to put it another way, the extra speed tending to be gained by the moon will fling it further away by extra centrifugal force.	true	1378.25	1387.42	18
5206_19376_000038_000004	This last is not so good a way of regarding the matter; though it serves well enough for the case of a ball whirled at the end of an elastic string.	This last is not so good a way of regarding the matter; though it serves well enough for the case of a ball whirled at the end of an elastic string.	false	1387.55	1396.54	18
5206_19376_000038_000005	After having got up the whirl, the hand holding the string may remain almost fixed at the centre of the circle, and the motion will continue steadily; but if the hand be moved so as always to pull the string a little in advance of the centre, the speed of whirl will increase, the elastic will be more and more stretched, until the whirling ball is describing a much larger circle. But in this case it will likewise be going faster--distance and speed increase together.	After having got up the whirl, the hand holding the string may remain almost fixed at the centre of the circle, and the motion will continue steadily; but if the hand be moved so as always to pull the string a little in advance of the centre, the speed of whirl will increase, the elastic will be more and more stretched, until the whirling ball is describing a much larger circle. But in this case it will likewise be going faster-distance and speed increase together.	false	1396.73	1428.31	21
5206_19376_000038_000006	This is because it obeys a different law from gravitation--the force is not inversely as the square, or any other single power, of the distance.	This is because it obeys a different law from gravitation-the force is not inversely as the square, or any other single power, of the distance.	true	1429.13	1439.02	21
5206_19376_000038_000007	It does not obey any of Kepler's laws, and so it does not obey the one which now concerns us, viz. the third; which practically states that the further a planet is from the centre the slower it goes; its velocity varies inversely with the square root of its distance (p. 74).	It does not obey any of Kepler's laws, and so it does not obey the one which now concerns us, viz. the third; which practically states that the further a planet is from the centre the slower it goes; its velocity varies inversely with the square root of its distance (p. seventy four).	false	1439.24	1458.7	20.912785
5206_19376_000039_000000	If, instead of a ball held by elastic, it were a satellite held by gravity, an increase in distance must be accompanied by a diminution in speed.	If, instead of a ball held by elastic, it were a satellite held by gravity, an increase in distance must be accompanied by a diminution in speed.	true	1459.19	1469.95	18
5206_19376_000039_000001	The time of revolution varies as the square of the cube root of the distance (Kepler's third law).	The time of revolution varies as the square of the cube root of the distance (Kepler's third law).	true	1470.2	1476.88	20.855177
5206_19376_000039_000002	Hence, the tidal reaction on the moon, having as its primary effect, as we have seen, the pulling the moon a little forward, has also the secondary or indirect effect of making it move slower and go further off.	Hence, the tidal reaction on the moon, having as its primary effect, as we have seen, the pulling the moon a little forward, has also the secondary or indirect effect of making it move slower and go further off.	true	1477.25	1491.73	22.930182
5206_19376_000039_000003	It may seem strange that an accelerating pull, directed in front of the centre, and therefore always pulling the moon the way it is going, should retard it; and that a retarding force like friction, if such a force acted, should hasten it, and make it complete its orbit sooner; but so it precisely is.	It may seem strange that an accelerating pull, directed in front of the centre, and therefore always pulling the moon the way it is going, should retard it; and that a retarding force like friction, if such a force acted, should hasten it, and make it complete its orbit sooner; but so it precisely is.	true	1492.04	1510.99	22.78681
5206_19376_000040_000000	Gradually, but very slowly, the moon is receding from us, and the month is becoming longer.	Gradually, but very slowly, the moon is receding from us, and the month is becoming longer.	true	1511.33	1517.44	20.37336
5206_19376_000040_000001	The tides of the earth are pushing it away.	The tides of the earth are pushing it away.	true	1517.6	1520.14	20.505865
5206_19376_000040_000002	This is not a periodic disturbance, like the temporary acceleration of its motion discovered by Laplace, which in a few centuries, more or less, will be reversed; it is a disturbance which always acts one way, and which is therefore cumulative.	This is not a periodic disturbance, like the temporary acceleration of its motion discovered by Laplace, which in a few centuries, more or less, will be reversed; it is a disturbance which always acts one way, and which is therefore cumulative.	true	1520.36	1535.62	22.002089
5206_19376_000040_000003	It is superposed upon all periodic changes, and, though it seems smaller than they, it is more inexorable. In a thousand years it makes scarcely an appreciable change, but in a million years its persistence tells very distinctly; and so, in the long run, the month is getting longer and the moon further off.	It is superposed upon all periodic changes, and, though it seems smaller than they, it is more inexorable. In a thousand years it makes scarcely an appreciable change, but in a million years its persistence tells very distinctly; and so, in the long run, the month is getting longer and the moon further off.	true	1535.84	1556.8	21.14323
5206_19376_000040_000004	Working backwards also, we see that in past ages the moon must have been nearer to us than it is now, and the month shorter.	Working backwards also, we see that in past ages the moon must have been nearer to us than it is now, and the month shorter.	false	1557.05	1565.95	23.41465
5206_19376_000041_000000	Now just note what the effect of the increased nearness of the moon was upon our tides.	Now just note what the effect of the increased nearness of the moon was upon our tides.	true	1566.98	1573.06	19
5206_19376_000041_000001	Remember that the tide-generating force varies inversely as the cube of distance, wherefore a small change of distance will produce a great difference in the tide-force.	Remember that the tide generating force varies inversely as the cube of distance, wherefore a small change of distance will produce a great difference in the tide force.	false	1573.25	1584.37	20.7607
5206_19376_000042_000000	The moon's present distance is 240 thousand miles.	The moon's present distance is two hundred forty thousand miles.	true	1584.71	1588.72	19
5206_19376_000042_000001	At a time when it was only 190 thousand miles, the earth's tides would have been twice as high as they are now.	At a time when it was only one hundred ninety thousand miles, the earth's tides would have been twice as high as they are now.	true	1588.82	1596.01	18
5206_19376_000042_000002	The pushing away action was then a good deal more violent, and so the process went on quicker.	The pushing away action was then a good deal more violent, and so the process went on quicker.	true	1596.5	1602.64	23.272263
5206_19376_000042_000003	The moon must at some time have been just half its present distance, and the tides would then have risen, not 20 or 30 feet, but 160 or 200 feet.	The moon must at some time have been just half its present distance, and the tides would then have risen, not twenty or thirty feet, but one hundred sixty or two hundred feet.	false	1603.25	1613.67	21.044256
5206_19376_000042_000004	A little further back still, we have the moon at one-third of its present distance from the earth, and the tides 600 feet high.	A little further back still, we have the moon at one third of its present distance from the earth, and the tides six hundred feet high.	false	1613.67	1622.7	20.980532
5206_19376_000042_000005	Now just contemplate the effect of a 600-foot tide.	Now just contemplate the effect of a six hundred-foot tide.	true	1622.7	1626.55	21
5206_19376_000042_000006	We are here only about 150 feet above the level of the sea; hence, the tide would sweep right over us and rush far away inland. At high tide we should have some 200 feet of blue water over our heads. There would be nothing to stop such a tide as that in this neighbourhood till it reached the high lands of Derbyshire.	We are here only about one hundred fifty feet above the level of the sea; hence, the tide would sweep right over us and rush far away inland. At high tide we should have some two hundred feet of blue water over our heads. There would be nothing to stop such a tide as that in this neighbourhood till it reached the high lands of Derbyshire.	true	1626.89	1649.32	20.473469
5206_19376_000042_000007	Manchester would be a seaport then with a vengeance!	Manchester would be a seaport then with a vengeance!	true	1649.57	1652.71	22
5206_19376_000043_000000	The day was shorter then, and so the interval between tide and tide was more like ten than twelve hours.	The day was shorter then, and so the interval between tide and tide was more like ten than twelve hours.	false	1653.26	1660.66	19
5206_19376_000043_000001	Accordingly, in about five hours, all that mass of water would have swept back again, and great tracts of sand between here and Ireland would be left dry.	Accordingly, in about five hours, all that mass of water would have swept back again, and great tracts of sand between here and Ireland would be left dry.	true	1660.91	1671.7	21.688044
5206_19376_000043_000002	Another five hours, and the water would come tearing and driving over the country, applying its furious waves and currents to the work of denudation, which would proceed apace.	Another five hours, and the water would come tearing and driving over the country, applying its furious waves and currents to the work of denudation, which would proceed apace.	true	1671.92	1682.65	21.40581
5206_19376_000043_000003	These high tides of enormously distant past ages constitute the denuding agent which the geologist required.	These high tides of enormously distant past ages constitute the denuding agent which the geologist required.	true	1682.93	1689.99	20
5206_19376_000043_000004	They are very ancient--more ancient than the Carboniferous period, for instance, for no trees could stand the furious storms that must have been prevalent at this time.	They are very ancient-more ancient than the Carboniferous period, for instance, for no trees could stand the furious storms that must have been prevalent at this time.	false	1689.99	1699.96	20.558805
5206_19376_000043_000005	It is doubtful whether any but the very lowest forms of life then existed.	It is doubtful whether any but the very lowest forms of life then existed.	true	1700.72	1705.96	16
5206_19376_000043_000006	It is the strata at the bottom of the geological scale that are of the most portentous thickness, and the only organism suspected in them is the doubtful _Eozoon Canadense_.	It is the strata at the bottom of the geological scale that are of the most portentous thickness, and the only organism suspected in them is the doubtful underscore Eozoon Canadense underscore.	false	1706	1717.17	21.676826
5206_19376_000043_000007	Sir Robert Ball believes, and several geologists agree with him, that the mighty tides we are contemplating may have been coaeval with this ancient Laurentian formation, and others of like nature with it.	Sir Robert Ball believes, and several geologists agree with him, that the mighty tides we are contemplating may have been coaeval with this ancient Laurentian formation, and others of like nature with it.	false	1717.17	1730.53	21.564169
5206_19376_000044_000000	But let us leave geology now, and trace the inverted progress of events as we recede in imagination back through the geological era, beyond, into the dim vista of the past, when the moon was still closer and closer to the earth, and was revolving round it quicker and quicker, before life or water existed on it, and when the rocks were still molten.	But let us leave geology now, and trace the inverted progress of events as we recede in imagination back through the geological era, beyond, into the dim vista of the past, when the moon was still closer and closer to the earth, and was revolving round it quicker and quicker, before life or water existed on it, and when the rocks were still molten.	true	1732.01	1755.07	18
5206_19376_000045_000000	Suppose the moon once touched the earth's surface, it is easy to calculate, according to the principles of gravitation, and with a reasonable estimate of its size as then expanded by heat, how fast it must then have revolved round the earth, so as just to save itself from falling in.	Suppose the moon once touched the earth's surface, it is easy to calculate, according to the principles of gravitation, and with a reasonable estimate of its size as then expanded by heat, how fast it must then have revolved round the earth, so as just to save itself from falling in.	false	1756.1	1773.36	21.136639
5206_19376_000045_000001	It must have gone round once every three hours.	It must have gone round once every three hours.	false	1773.36	1777.15	22.254128
5206_19376_000045_000002	The month was only three hours long at this initial epoch.	The month was only three hours long at this initial epoch.	true	1777.4	1781.38	19.184017
5206_19376_000046_000000	Remember, however, the initial length of the day.	Remember, however, the initial length of the day.	true	1782.02	1784.98	18.311275
5206_19376_000046_000001	We found that it was just possible for the earth to rotate on its axis in three hours, and that when it did so, something was liable to separate from it.	We found that it was just possible for the earth to rotate on its axis in three hours, and that when it did so, something was liable to separate from it.	true	1785.32	1795.09	21
5206_19376_000046_000002	Here we find the moon in contact with it, and going round it in this same three-hour period.	Here we find the moon in contact with it, and going round it in this same three hour period.	false	1795.4	1802.14	20.841784
5206_19376_000046_000003	Surely the two are connected.	Surely the two are connected.	true	1802.14	1804.08	21.981716
5206_19376_000046_000004	Surely the moon was a part of the earth, and was separating from it.	Surely the moon was a part of the earth, and was separating from it.	false	1804.08	1807.84	21.201298
5206_19376_000047_000000	That is the great discovery--the origin of the moon.	That is the great discovery-the origin of the moon.	true	1808.9	1812.97	19.178982
5206_19376_000048_000000	Once, long ages back, at date unknown, but believed to be certainly as much as fifty million years ago, and quite possibly one hundred million, there was no moon, only the earth as a molten globe, rapidly spinning on its axis--spinning in about three hours.	Once, long ages back, at date unknown, but believed to be certainly as much as fifty million years ago, and quite possibly one hundred million, there was no moon, only the earth as a molten globe, rapidly spinning on its axis-spinning in about three hours.	true	1813.22	1831.87	20.563322
5206_19376_000048_000001	Gradually, by reason of some disturbing causes, a protuberance, a sort of bud, forms at one side, and the great inchoate mass separates into two--one about eighty times as big as the other.	Gradually, by reason of some disturbing causes, a protuberance, a sort of bud, forms at one side, and the great inchoate mass separates into two-one about eighty times as big as the other.	true	1832.18	1845.7	22.473114
5206_19376_000048_000002	The bigger one we now call earth, the smaller we now call moon.	The bigger one we now call earth, the smaller we now call moon.	true	1845.95	1850.32	21.97623
5206_19376_000048_000003	Round and round the two bodies went, pulling each other into tremendously elongated or prolate shapes, and so they might have gone on for a long time.	Round and round the two bodies went, pulling each other into tremendously elongated or prolate shapes, and so they might have gone on for a long time.	true	1850.75	1860.79	20
5206_19376_000048_000004	But they are unstable, and cannot go on thus: they must either separate or collapse.	But they are unstable, and cannot go on thus: they must either separate or collapse.	true	1861.04	1866.64	24.24113
5206_19376_000048_000005	Some disturbing cause acts again, and the smaller mass begins to revolve less rapidly.	Some disturbing cause acts again, and the smaller mass begins to revolve less rapidly.	true	1866.83	1872.7	22
5206_19376_000048_000006	Tides at once begin--gigantic tides of molten lava hundreds of miles high; tides not in free ocean, for there was none then, but in the pasty mass of the entire earth.	Tides at once begin-gigantic tides of molten lava hundreds of miles high; tides not in free ocean, for there was none then, but in the pasty mass of the entire earth.	true	1872.83	1885.66	20.653055
5206_19376_000048_000007	Immediately the series of changes I have described begins, the speed of rotation gets slackened, the moon's mass gets pushed further and further away, and its time of revolution grows rapidly longer.	Immediately the series of changes I have described begins, the speed of rotation gets slackened, the moon's mass gets pushed further and further away, and its time of revolution grows rapidly longer.	true	1885.7	1899.13	21.06183
5206_19376_000048_000008	The changes went on rapidly at first, because the tides were so gigantic; but gradually, and by slow degrees, the bodies get more distant, and the rate of change more moderate.	The changes went on rapidly at first, because the tides were so gigantic; but gradually, and by slow degrees, the bodies get more distant, and the rate of change more moderate.	true	1899.47	1911.28	20.891424
5206_19376_000048_000009	Until, after the lapse of ages, we find the day twenty-four hours long, the moon 240,000 miles distant, revolving in 27-1/3 days, and the tides only existing in the water of the ocean, and only a few feet high.	Until, after the lapse of ages, we find the day twenty four hours long, the moon two hundred forty thousand miles distant, revolving in twenty seven minus one third days, and the tides only existing in the water of the ocean, and only a few feet high.	false	1911.32	1927.51	19.962347
5206_19376_000048_000010	This is the era we call "to-day."	This is the era we call "to day."	true	1927.94	1930.39	23.428429
5206_19376_000049_000000	The process does not stop here: still the stately march of events goes on; and the eye of Science strives to penetrate into the events of the future with the same clearness as it has been able to descry the events of the past.	The process does not stop here: still the stately march of events goes on; and the eye of Science strives to penetrate into the events of the future with the same clearness as it has been able to descry the events of the past.	false	1931.39	1946.02	20.95601
5206_19376_000049_000001	And what does it see?	And what does it see?	true	1946.51	1947.85	19.312376
5206_19376_000049_000002	It will take too long to go into full detail: but I will shortly summarize the results.	It will take too long to go into full detail: but I will shortly summarize the results.	true	1948.37	1953.64	21
5206_19376_000049_000003	It sees this first--the day and the month both again equal, but both now about 1,400 hours long.	It sees this first-the day and the month both again equal, but both now about one thousand four hundred hours long.	false	1953.74	1962.1	20.526531
5206_19376_000049_000004	Neither of these bodies rotating with respect to each other--the two as if joined by a bar--and total cessation of tide-generating action between them.	Neither of these bodies rotating with respect to each other-the two as if joined by a bar-and total cessation of tide generating action between them.	false	1962.32	1972.36	19.210196
5206_19376_000050_000000	The date of this period is one hundred and fifty millions of years hence, but unless some unforeseen catastrophe intervenes, it must assuredly come.	The date of this period is one hundred and fifty millions of years hence, but unless some unforeseen catastrophe intervenes, it must assuredly come.	true	1972.94	1982.23	20.905167
5206_19376_000050_000001	Yet neither will even this be the final stage; for the system is disturbed by the tide-generating force of the sun.	Yet neither will even this be the final stage; for the system is disturbed by the tide generating force of the sun	true	1982.81	1990.06	20.586466
5206_19376_000050_000002	It is a small effect, but it is cumulative; and gradually, by much slower degrees than anything we have yet contemplated, we are presented with a picture of the month getting gradually shorter than the day, the moon gradually approaching instead of receding, and so, incalculable myriads of ages hence, precipitating itself upon the surface of the earth whence it arose.	It is a small effect, but it is cumulative; and gradually, by much slower degrees than anything we have yet contemplated, we are presented with a picture of the month getting gradually shorter than the day, the moon gradually approaching instead of receding, and so, incalculable myriads of ages hence, precipitating itself upon the surface of the earth whence it arose.	true	1990.43	2012.86	22.007748
5206_19376_000051_000000	Such a catastrophe is already imminent in a neighbouring planet--Mars. Mars' principal moon circulates round him at an absurd pace, completing a revolution in 7-1/2 hours, and it is now only 4,000 miles from his surface.	Such a catastrophe is already imminent in a neighbouring planet-Mars. Mars' principal moon circulates round him at an absurd pace, completing a revolution in seven to half a hour, and it is now only four thousand miles from his surface.	false	2013.62	2030.05	22.11679
5206_19376_000051_000001	The planet rotates in twenty-four hours as we do; but its tides are following its moon more quickly than it rotates after them; they are therefore tending to increase its rate of spin, and to retard the revolution of the moon.	The planet rotates in twenty four hours as we do; but its tides are following its moon more quickly than it rotates after them; they are therefore tending to increase its rate of spin, and to retard the revolution of the moon.	true	2030.39	2044.33	21.722109
5206_19376_000051_000002	Mars is therefore slowly but surely pulling its moon down on to itself, by a reverse action to that which separated our moon.	Mars is therefore slowly but surely pulling its moon down on to itself, by a reverse action to that which separated our moon.	true	2044.37	2053.24	22.508682
5206_19376_000051_000003	The day shorter than the month forces a moon further away; the month shorter than the day tends to draw a satellite nearer.	The day shorter than the month forces a moon further away; the month shorter than the day tends to draw a satellite nearer.	false	2053.67	2060.83	18
5206_19376_000052_000000	This moon of Mars is not a large body: it is only twenty or thirty miles in diameter, but it weighs some forty billion tons, and will ultimately crash along the surface with a velocity of 8,000 miles an hour.	This moon of Mars is not a large body: it is only twenty or thirty miles in diameter, but it weighs some forty billion tons, and will ultimately crash along the surface with a velocity of eight thousand miles an hour.	true	2062.4	2076.67	20.097624
5206_19376_000052_000001	Such a blow must produce the most astounding effects when it occurs, but I am unable to tell you its probable date.	Such a blow must produce the most astounding effects when it occurs, but I am unable to tell you its probable date.	true	2076.89	2084.11	22.001894
5206_19376_000053_000000	So far we have dealt mainly with the earth and its moon; but is the existence of tides limited to these bodies?	So far we have dealt mainly with the earth and its moon; but is the existence of tides limited to these bodies?	true	2084.54	2091.67	21.184696
5206_19376_000053_000001	By no means.	By no means.	true	2091.8	2092.9	19.726223
5206_19376_000053_000002	No body in the solar system is rigid, no body in the stellar universe is rigid.	No body in the solar system is rigid, no body in the stellar universe is rigid.	true	2093.15	2098.39	18.960197
5206_19376_000053_000003	All must be susceptible of some tidal deformation, and hence, in all of them, agents like those we have traced in the history of the earth and moon must be at work: the motion of all must be complicated by the phenomena of tides.	All must be susceptible of some tidal deformation, and hence, in all of them, agents like those we have traced in the history of the earth and moon must be at work: the motion of all must be complicated by the phenomena of tides.	false	2098.67	2114.44	20.760973
5206_19376_000053_000004	It is Prof.	It is prof	false	2115.23	2116.05	25.15991
5206_19376_000053_000005	George Darwin who has worked out the astronomical influence of the tides, on the principles of Sir William Thomson: it is Sir Robert Ball who has extended Mr. Darwin's results to the past history of our own and other worlds.[32]	George Darwin who has worked out the astronomical influence of the tides, on the principles of Sir William Thomson: it is Sir Robert Ball who has extended mr Darwin's results to the past history of our own and other worlds.[thirty two]	false	2116.05	2131.98	22.452948
5206_19376_000054_000000	Tides are of course produced in the sun by the action of the planets, for the sun rotates in twenty-five days or thereabouts, while the planets revolve in much longer periods than that.	Tides are of course produced in the sun by the action of the planets, for the sun rotates in twenty five days or thereabouts, while the planets revolve in much longer periods than that.	false	2131.98	2144.35	22
5206_19376_000054_000001	The principal tide-generating bodies will be Venus and Jupiter; the greater nearness of one rather more than compensating for the greater mass of the other.	The principal tide generating bodies will be Venus and Jupiter; the greater nearness of one rather more than compensating for the greater mass of the other.	true	2144.57	2154.91	20.255047
5206_19376_000055_000000	It may be interesting to tabulate the relative tide-producing powers of the planets on the sun.	It may be interesting to tabulate the relative tide producing powers of the planets on the sun	true	2156.03	2161.63	18
5206_19376_000055_000001	They are as follows, calling that of the earth 1,000:--	They are as follows, calling that of the earth one thousand:--	true	2161.97	2165.79	21.434372
5206_19376_000056_000000	RELATIVE TIDE-PRODUCING POWERS OF THE PLANETS ON THE SUN.	RELATIVE TIDE PRODUCING POWERS OF THE PLANETS ON THE sun	false	2165.79	2166.69	0
5206_19376_000057_000000	Mercury 1,121 Venus 2,339 Earth 1,000 Mars 304 Jupiter 2,136 Saturn 1,033 Uranus 21 Neptune 9	Mercury one thousand one hundred twenty one Venus two thousand three hundred thirty nine Earth one thousand Mars three hundred four Jupiter two thousand one hundred thirty six Saturn one thousand thirty three Uranus twenty one Neptune nine	true	2166.69	2188.3	21.522766
5206_19376_000058_000000	The power of all of them is very feeble, and by acting on different sides they usually partly neutralize each other's action; but occasionally they get all on one side, and in that case some perceptible effect may be produced; the probable effect seems likely to be a gentle heaving tide in the solar surface, with breaking up of any incipient crust; and such an effect may be considered as evidenced periodically by the great increase in the number of solar spots which then break out.	The power of all of them is very feeble, and by acting on different sides they usually partly neutralize each other's action; but occasionally they get all on one side, and in that case some perceptible effect may be produced; the probable effect seems likely to be a gentle heaving tide in the solar surface, with breaking up of any incipient crust; and such an effect may be considered as evidenced periodically by the great increase in the number of solar spots which then break out.	true	2189.87	2220.25	22
5206_19376_000059_000000	The solar tides are, however, much too small to appreciably push any planet away, hence we are not to suppose that the planets originated by budding from the sun, in contradiction of the nebular hypothesis.	The solar tides are, however, much too small to appreciably push any planet away, hence we are not to suppose that the planets originated by budding from the sun, in contradiction of the nebular hypothesis.	true	2220.74	2234.53	22.57031
5206_19376_000059_000001	Nor is it necessary to assume that the satellites, as a class, originated in the way ours did; though they may have done so.	Nor is it necessary to assume that the satellites, as a class, originated in the way ours did; though they may have done so.	true	2234.72	2242.39	21.544561
5206_19376_000059_000002	They were more probably secondary rings.	They were more probably secondary rings.	true	2242.94	2245.42	23.960749
5206_19376_000059_000003	Our moon differs from other satellites in being exceptionally large compared with the size of its primary; it is as big as some of the moons of Jupiter and Saturn.	Our moon differs from other satellites in being exceptionally large compared with the size of its primary; it is as big as some of the moons of Jupiter and Saturn.	true	2245.58	2255.83	21.084225
5206_19376_000059_000004	The earth is the only one of the small planets that has an appreciable moon, and hence there is nothing forced or unnatural in supposing that it may have had an exceptional history.	The earth is the only one of the small planets that has an appreciable moon, and hence there is nothing forced or unnatural in supposing that it may have had an exceptional history.	true	2256.08	2266.54	20.768831
5206_19376_000060_000000	Evidently, however, tidal phenomena must be taken into consideration in any treatment of the solar system through enormous length of time, and it will probably play a large part in determining its future.	Evidently, however, tidal phenomena must be taken into consideration in any treatment of the solar system through enormous length of time, and it will probably play a large part in determining its future.	true	2266.82	2279.02	22.664883
5206_19376_000061_000000	When Laplace and Lagrange investigated the question of the stability or instability of the solar system, they did so on the hypothesis that the bodies composing it were rigid.	When Laplace and Lagrange investigated the question of the stability or instability of the solar system, they did so on the hypothesis that the bodies composing it were rigid.	true	2279.51	2289.64	20
5206_19376_000061_000001	They reached a grand conclusion--that all the mutual perturbations of the solar system were periodic--that whatever changes were going on would reach a maximum and then begin to diminish; then increase again, then diminish, and so on.	They reached a grand conclusion-that all the mutual perturbations of the solar system were periodic-that whatever changes were going on would reach a maximum and then begin to diminish; then increase again, then diminish, and so on.	true	2289.92	2305.96	21.681837
5206_19376_000061_000002	The system was stable, and its changes were merely like those of a swinging pendulum.	The system was stable, and its changes were merely like those of a swinging pendulum.	true	2306.27	2311.06	19
5206_19376_000062_000000	But this conclusion is not final.	But this conclusion is not final.	true	2311.67	2313.64	23.756058
5206_19376_000062_000001	The hypothesis that the bodies are rigid is not strictly true: and directly tidal deformation is taken into consideration it is perceived to be a potent factor, able in the long run to upset all their calculations.	The hypothesis that the bodies are rigid is not strictly true: and directly tidal deformation is taken into consideration it is perceived to be a potent factor, able in the long run to upset all their calculations.	true	2313.83	2327.68	20.241617
5206_19376_000062_000002	But it is so utterly and inconceivably minute--it only produces an appreciable effect after millions of years--whereas the ordinary perturbations go through their swings in some hundred thousand years or so at the most.	But it is so utterly and inconceivably minute-it only produces an appreciable effect after millions of years-whereas the ordinary perturbations go through their swings in some hundred thousand years or so at the most.	false	2328.17	2340.7	20
5206_19376_000062_000003	Granted it is small, but it is terribly persistent; and it always acts in one direction.	Granted it is small, but it is terribly persistent; and it always acts in one direction.	true	2341.19	2347.36	24.593819
5206_19376_000062_000004	Never does it cease: never does it begin to act oppositely and undo what it has done.	Never does it cease: never does it begin to act oppositely and undo what it has done.	true	2347.61	2353.21	21.18341
