2920_156224_000000_000000	Chapter XI.	Chapter eleven.	false	1.35	27.78	19.040705
2920_156224_000045_000000	"I do not think Laura is engaged for this dance.	"I do not think Laura is engaged for this dance.	false	1133.31	1137.57	20.690966
2920_156224_000045_000001	Excuse me a moment till I ascertain." Miss Rennie walked across the room, leaving William Dalzell and the stranger together, but she presently returned, with the assurance that Miss Wilson was disengaged, and would be happy to be introduced to Mr. Dalzell.	Excuse me a moment till I ascertain." Miss Rennie walked across the room, leaving William Dalzell and the stranger together, but she presently returned, with the assurance that Miss Wilson was disengaged, and would be happy to be introduced to mr Dalzell.	true	1137.57	1153.33	17
2920_156224_000045_000002	Miss Wilson was ward of Mrs. Rennie's, as Jane had heard, a West Indian heiress, somewhat stupid, and very much impressed with her own wealth and importance.	Miss Wilson was ward of mrs Rennie's, as Jane had heard, a West Indian heiress, somewhat stupid, and very much impressed with her own wealth and importance.	true	1154.51	1165.24	20
2920_156224_000045_000003	Miss Rennie had a pitying sort of liking for her, though sometimes Laura's airs were too much for her, and they would not speak to each other for a week at a time.	Miss Rennie had a pitying sort of liking for her, though sometimes Laura's airs were too much for her, and they would not speak to each other for a week at a time.	false	1165.73	1176.25	21.261593
2920_156224_000045_000004	She had just left school, having made all the progress which money without natural ability or any of the usual incentives to application could attain, and was to live at the Rennies', which she thought a very dull place.	She had just left school, having made all the progress which money without natural ability or any of the usual incentives to application could attain, and was to live at the Rennies', which she thought a very dull place.	true	1176.86	1191.09	20
2920_156224_000045_000005	This large party was the brightest thing in her horizon at present, and she was looking her best, and took her place in the dance with one of the handsomest men in the room, with much more animation than was usual with her.	This large party was the brightest thing in her horizon at present, and she was looking her best, and took her place in the dance with one of the handsomest men in the room, with much more animation than was usual with her.	true	1191.09	1204.33	18.977434
2920_156224_000046_000000	"Now," said Miss Rennie, "I have done my best for Mr. Dalzell.	"Now," said Miss Rennie, "I have done my best for mr Dalzell.	true	1204.49	1208.83	21.446363
2920_156224_000046_000001	I must attend to my other stranger before I fulfil my engagement to you, Mr. Hogarth, and I hope you will excuse me, when it is to get a partner for Alice.	I must attend to my other stranger before I fulfil my engagement to you, mr Hogarth, and I hope you will excuse me, when it is to get a partner for Alice.	true	1209.26	1219.33	21.459063
2920_156224_000046_000002	Miss Melville, I suppose, does not care about dancing, she is so dreadfully matter-of-fact.	Miss Melville, I suppose, does not care about dancing, she is so dreadfully matter of fact.	true	1220.57	1226.89	21.044752
2920_156224_000046_000003	I know you have been talking politics, or something as bad, in that corner all this evening."	I know you have been talking politics, or something as bad, in that corner all this evening."	true	1227.41	1231.9	16
2920_156224_000047_000000	So Miss Rennie led the stranger across the room, and introduced Miss Alice Melville to Mr. Brandon, from Australia.	So Miss Rennie led the stranger across the room, and introduced Miss Alice Melville to mr Brandon, from Australia.	true	1232.84	1240.14	18
2920_156224_000048_000000	Chapter XII.	Chapter twelve.	false	1240.14	1240.17	-20
2920_156224_000049_000000	Mr. Brandon In Edinburgh	mr Brandon In Edinburgh	false	1240.17	1240.23	-20
2920_156224_000050_000000	"You must excuse any blunders I may make in my dancing, Miss Melville, for I am an old bushman, and have been out of practice for many years," said Mr. Brandon.	"You must excuse any blunders I may make in my dancing, Miss Melville, for I am an old bushman, and have been out of practice for many years," said mr Brandon.	false	1240.23	1249.32	16.619759
