708_129393_000000_000000	Farquharson Harris	Farquharson Harris	false	10.23	19.77	23.949038
708_129393_000074_000001	An infraction of the law having less dignity than a felony and constituting no claim to admittance into the best criminal society.	An infraction of the law having less dignity than a felony and constituting no claim to admittance into the best criminal society.	false	1141.83	1149.91	14
708_129393_000075_000000	By misdemeanors he essays to climb Into the aristocracy of crime. O, woe was him!--with manner chill and grand "Captains of industry" refused his hand, "Kings of finance" denied him recognition And "railway magnates" jeered his low condition. He robbed a bank to make himself respected. They still rebuffed him, for he was detected.	By misdemeanors he essays to climb Into the aristocracy of crime. O, woe was him!--with manner chill and grand "Captains of industry" refused his hand, "Kings of finance" denied him recognition And "railway magnates" jeered his low condition. He robbed a bank to make himself respected. They still rebuffed him, for he was detected.	false	1150.64	1175.37	15
708_129393_000076_000000	S.V. Hanipur	s v Hanipur	true	1175.37	1176.63	14
708_129393_000077_000000	MISERICORDE, n.	m i s e r i c o r d e, n.	false	1176.63	1180.5	18.894382
708_129393_000077_000001	A dagger which in mediaeval warfare was used by the foot soldier to remind an unhorsed knight that he was mortal.	A dagger which in mediaeval warfare was used by the foot soldier to remind an unhorsed knight that he was mortal.	true	1180.5	1187.38	14
708_129393_000078_000000	MISFORTUNE, n.	MISFORTUNE, n.	false	1188.11	1189.95	19.969532
708_129393_000078_000001	The kind of fortune that never misses.	The kind of fortune that never misses.	true	1189.95	1192.48	18
708_129393_000079_000000	MISS, n.	MISS, n.	false	1193.63	1195.41	23.420631
708_129393_000079_000001	The title with which we brand unmarried women to indicate that they are in the market.	The title with which we brand unmarried women to indicate that they are in the market.	false	1195.41	1200.97	15
708_129393_000079_000002	Miss, Missis (Mrs.) and Mister (Mr.) are the three most distinctly disagreeable words in the language, in sound and sense.	Miss, Missis (mrs) and Mister (mr) are the three most distinctly disagreeable words in the language, in sound and sense.	false	1201.04	1209.01	20
708_129393_000079_000003	Two are corruptions of Mistress, the other of Master.	Two are corruptions of Mistress, the other of Master.	true	1209.2	1213.09	15
708_129393_000079_000004	In the general abolition of social titles in this our country they miraculously escaped to plague us.	In the general abolition of social titles in this our country they miraculously escaped to plague us.	true	1213.37	1219.87	15
708_129393_000079_000005	If we must have them let us be consistent and give one to the unmarried man.	If we must have them let us be consistent and give one to the unmarried man.	true	1220.09	1224.52	16
708_129393_000079_000006	I venture to suggest Mush, abbreviated to Mh.	I venture to suggest Mush, abbreviated to m h.	true	1224.65	1231.06	17.452477
708_129393_000080_000000	MOLECULE, n.	MOLECULE, n.	false	1231.07	1233.45	18.308794
708_129393_000080_000001	The ultimate, indivisible unit of matter.	The ultimate, indivisible unit of matter.	true	1233.45	1236.16	14
708_129393_000080_000002	It is distinguished from the corpuscle, also the ultimate, indivisible unit of matter, by a closer resemblance to the atom, also the ultimate, indivisible unit of matter.	It is distinguished from the corpuscle, also the ultimate, indivisible unit of matter, by a closer resemblance to the atom, also the ultimate, indivisible unit of matter.	true	1236.16	1247.41	18
708_129393_000080_000003	Three great scientific theories of the structure of the universe are the molecular, the corpuscular and the atomic.	Three great scientific theories of the structure of the universe are the molecular, the corpuscular and the atomic.	false	1247.96	1255.74	20
708_129393_000080_000004	A fourth affirms, with Haeckel, the condensation of precipitation of matter from ether--whose existence is proved by the condensation of precipitation.	A fourth affirms, with Haeckel, the condensation of precipitation of matter from ether-whose existence is proved by the condensation of precipitation.	false	1255.74	1267	18
708_129393_000080_000005	The present trend of scientific thought is toward the theory of ions.	The present trend of scientific thought is toward the theory of ions.	true	1267.37	1271.44	15
708_129393_000080_000006	The ion differs from the molecule, the corpuscle and the atom in that it is an ion.	The ion differs from the molecule, the corpuscle and the atom in that it is an ion.	true	1271.45	1276.69	20
708_129393_000080_000007	A fifth theory is held by idiots, but it is doubtful if they know any more about the matter than the others.	A fifth theory is held by idiots, but it is doubtful if they know any more about the matter than the others.	false	1277.21	1283.2	17
708_129393_000081_000000	MONAD, n.	MONAD, n.	false	1284.35	1286.88	18.505882
708_129393_000081_000001	The ultimate, indivisible unit of matter. (See _Molecule_.) According to Leibnitz, as nearly as he seems willing to be understood, the monad has body without bulk, and mind without manifestation--Leibnitz knows him by the innate power of considering.	The ultimate, indivisible unit of matter. (See underscore Molecule underscore.) According to Leibnitz, as nearly as he seems willing to be understood, the monad has body without bulk, and mind without manifestation-Leibnitz knows him by the innate power of considering.	false	1286.88	1303.93	16
708_129393_000081_000002	He has founded upon him a theory of the universe, which the creature bears without resentment, for the monad is a gentleman. Small as he is, the monad contains all the powers and possibilities needful to his evolution into a German philosopher of the first class --altogether a very capable little fellow.	He has founded upon him a theory of the universe, which the creature bears without resentment, for the monad is a gentleman. Small as he is, the monad contains all the powers and possibilities needful to his evolution into a German philosopher of the first class --altogether a very capable little fellow.	true	1304.57	1322.68	14
708_129393_000081_000003	He is not to be confounded with the microbe, or bacillus; by its inability to discern him, a good microscope shows him to be of an entirely distinct species.	He is not to be confounded with the microbe, or bacillus; by its inability to discern him, a good microscope shows him to be of an entirely distinct species.	true	1322.99	1332.67	15
708_129393_000082_000000	MONARCH, n.	MONARCH, n.	false	1333.97	1336.14	19.40724
708_129393_000082_000001	A person engaged in reigning.	A person engaged in reigning.	true	1336.14	1338.1	15
708_129393_000082_000002	Formerly the monarch ruled, as the derivation of the word attests, and as many subjects have had occasion to learn.	Formerly the monarch ruled, as the derivation of the word attests, and as many subjects have had occasion to learn.	true	1338.38	1345.36	15
708_129393_000082_000003	In Russia and the Orient the monarch has still a considerable influence in public affairs and in the disposition of the human head, but in western Europe political administration is mostly entrusted to his ministers, he being somewhat preoccupied with reflections relating to the status of his own head.	In Russia and the Orient the monarch has still a considerable influence in public affairs and in the disposition of the human head, but in western Europe political administration is mostly entrusted to his ministers, he being somewhat preoccupied with reflections relating to the status of his own head.	true	1345.49	1362.75	14
708_129393_000083_000000	MONARCHICAL GOVERNMENT, n.	m o n a r c h i c a l GOVERNMENT, n.	false	1362.75	1367.79	20.660444
708_129393_000083_000001	Government.	Government.	true	1367.79	1368.67	18.017233
708_129393_000084_000000	MONDAY, n.	MONDAY, n.	false	1369.52	1371.78	19.12389
708_129393_000084_000001	In Christian countries, the day after the baseball game.	In Christian countries, the day after the baseball game.	true	1371.78	1375.15	20
708_129393_000085_000000	MONEY, n.	MONEY, n.	false	1376.36	1378.02	21.24156
708_129393_000085_000001	A blessing that is of no advantage to us excepting when we part with it.	A blessing that is of no advantage to us excepting when we part with it.	true	1378.02	1382.67	18
708_129393_000085_000002	An evidence of culture and a passport to polite society.	An evidence of culture and a passport to polite society.	true	1382.67	1386.01	16
708_129393_000085_000003	Supportable property.	Supportable property.	true	1386.08	1387.75	13.873456
708_129393_000086_000000	MONKEY, n.	MONKEY, n.	false	1388.75	1391.1	19.957188
708_129393_000086_000001	An arboreal animal which makes itself at home in genealogical trees.	An arboreal animal which makes itself at home in genealogical trees.	true	1391.1	1396.87	16
708_129393_000087_000000	MONOSYLLABIC, adj.	MONOSYLLABIC, adj.	false	1398.8	1401.24	24.006565
708_129393_000087_000001	Composed of words of one syllable, for literary babes who never tire of testifying their delight in the vapid compound by appropriate googoogling.	Composed of words of one syllable, for literary babes who never tire of testifying their delight in the vapid compound by appropriate googoogling.	true	1401.24	1411.27	16
708_129393_000087_000002	The words are commonly Saxon--that is to say, words of a barbarous people destitute of ideas and incapable of any but the most elementary sentiments and emotions.	The words are commonly Saxon-that is to say, words of a barbarous people destitute of ideas and incapable of any but the most elementary sentiments and emotions.	true	1411.55	1421.59	14
708_129393_000088_000000	The man who writes in Saxon Is the man to use an ax on	The man who writes in Saxon Is the man to use an ax on	false	1422.59	1427.85	19.811926
708_129393_000089_000000	Judibras	Judibras	true	1427.85	1428.76	12
708_129393_000090_000000	MONSIGNOR, n.	MONSIGNOR, n.	false	1430.3	1432.59	19.07779
708_129393_000090_000001	A high ecclesiastical title, of which the Founder of our religion overlooked the advantages.	A high ecclesiastical title, of which the Founder of our religion overlooked the advantages.	true	1432.59	1438.63	18
708_129393_000091_000000	MONUMENT, n.	MONUMENT, n.	false	1440.23	1442.4	19.940086
708_129393_000091_000001	A structure intended to commemorate something which either needs no commemoration or cannot be commemorated.	A structure intended to commemorate something which either needs no commemoration or cannot be commemorated.	true	1442.4	1448.47	14
708_129393_000092_000000	The bones of Agammemnon are a show, And ruined is his royal monument,	The bones of Agammemnon are a show, And ruined is his royal monument,	true	1449.26	1453.59	14
708_129393_000093_000000	but Agammemnon's fame suffers no diminution in consequence.	but Agammemnon's fame suffers no diminution in consequence.	false	1453.59	1458.15	18
708_129393_000093_000001	The monument custom has its _reductiones ad absurdum_ in monuments "to the unknown dead"--that is to say, monuments to perpetuate the memory of those who have left no memory.	The monument custom has its underscore reductiones ad absurdum underscore in monuments "to the unknown dead"--that is to say, monuments to perpetuate the memory of those who have left no memory.	false	1458.15	1469.19	14
708_129393_000094_000000	MORAL, adj.	MORAL, adj.	false	1469.19	1471.35	20
708_129393_000094_000001	Conforming to a local and mutable standard of right. Having the quality of general expediency.	Conforming to a local and mutable standard of right. Having the quality of general expediency.	true	1471.35	1476.96	13
708_129393_000095_000000	It is sayd there be a raunge of mountaynes in the Easte, on one syde of the which certayn conducts are immorall, yet on the other syde they are holden in good esteeme; wherebye the mountayneer is much conveenyenced, for it is given to him to goe downe eyther way and act as it shall suite his moode, withouten offence.	It is sayd there be a raunge of mountaynes in the Easte, on one syde of the which certayn conducts are immorall, yet on the other syde they are holden in good esteeme; wherebye the mountayneer is much conveenyenced, for it is given to him to goe downe eyther way and act as it shall suite his moode, withouten offence.	false	1476.96	1500	16
708_129393_000096_000000	_Gooke's Meditations_	underscore Gooke's Meditations underscore	false	1500	1503.84	17.08655
708_129393_000097_000000	MORE, adj.	MORE, adj.	false	1503.84	1506.06	16
708_129393_000097_000001	The comparative degree of too much.	The comparative degree of too much.	true	1506.06	1508.65	12
708_129393_000098_000000	MOUSE, n.	MOUSE, n.	false	1510.31	1512.63	22.478556
708_129393_000098_000001	An animal which strews its path with fainting women.	An animal which strews its path with fainting women.	true	1512.63	1515.97	15
708_129393_000098_000002	As in Rome Christians were thrown to the lions, so centuries earlier in Otumwee, the most ancient and famous city of the world, female heretics were thrown to the mice.	As in Rome Christians were thrown to the lions, so centuries earlier in Otumwee, the most ancient and famous city of the world, female heretics were thrown to the mice.	false	1516.1	1527.12	13
708_129393_000098_000003	Jakak-Zotp, the historian, the only Otumwump whose writings have descended to us, says that these martyrs met their death with little dignity and much exertion.	Jakak z o t p, the historian, the only Otumwump whose writings have descended to us, says that these martyrs met their death with little dignity and much exertion.	false	1527.12	1537.27	14
708_129393_000098_000004	He even attempts to exculpate the mice (such is the malice of bigotry) by declaring that the unfortunate women perished, some from exhaustion, some of broken necks from falling over their own feet, and some from lack of restoratives.	He even attempts to exculpate the mice (such is the malice of bigotry) by declaring that the unfortunate women perished, some from exhaustion, some of broken necks from falling over their own feet, and some from lack of restoratives.	false	1537.49	1551.49	13
708_129393_000098_000005	The mice, he avers, enjoyed the pleasures of the chase with composure.	The mice, he avers, enjoyed the pleasures of the chase with composure.	true	1551.83	1556.11	16
708_129393_000098_000006	But if "Roman history is nine-tenths lying," we can hardly expect a smaller proportion of that rhetorical figure in the annals of a people capable of so incredible cruelty to a lovely women; for a hard heart has a false tongue.	But if "Roman history is nine tenths lying," we can hardly expect a smaller proportion of that rhetorical figure in the annals of a people capable of so incredible cruelty to a lovely women; for a hard heart has a false tongue.	false	1556.69	1571.79	15
708_129393_000099_000000	MOUSQUETAIRE, n.	m o u s q u e t a i r e, n.	false	1571.79	1574.64	21.812077
708_129393_000099_000001	A long glove covering a part of the arm.	A long glove covering a part of the arm.	false	1574.64	1576.85	10
708_129393_000099_000002	Worn in New Jersey.	Worn in New Jersey.	true	1576.85	1578.04	12
708_129393_000099_000003	But "mousquetaire" is a might poor way to spell muskeeter.	But "mousquetaire" is a might poor way to spell muskeeter.	false	1578.05	1584.87	20.126942
708_129393_000100_000000	MOUTH, n.	MOUTH, n.	false	1584.87	1587.33	17.854662
708_129393_000100_000001	In man, the gateway to the soul; in woman, the outlet of the heart.	In man, the gateway to the soul; in woman, the outlet of the heart.	true	1587.33	1591.75	19
708_129393_000101_000000	MUGWUMP, n.	MUGWUMP, n.	false	1592.78	1594.92	19.966696
708_129393_000101_000001	In politics one afflicted with self-respect and addicted to the vice of independence.	In politics one afflicted with self respect and addicted to the vice of independence.	true	1594.92	1599.79	15
708_129393_000101_000002	A term of contempt.	A term of contempt.	true	1599.8	1601.62	18
708_129393_000102_000000	MULATTO, n.	MULATTO, n.	false	1602.2	1604.28	21.972973
708_129393_000102_000001	A child of two races, ashamed of both.	A child of two races, ashamed of both.	true	1604.28	1607.41	22.428284
708_129393_000103_000000	MULTITUDE, n.	MULTITUDE, n.	false	1608.05	1610.1	18.70032
708_129393_000103_000001	A crowd; the source of political wisdom and virtue.	A crowd; the source of political wisdom and virtue.	true	1610.1	1612.99	16
708_129393_000103_000002	In a republic, the object of the statesman's adoration.	In a republic, the object of the statesman's adoration.	true	1613.06	1616.44	15
708_129393_000103_000003	"In a multitude of counsellors there is wisdom," saith the proverb.	"In a multitude of counsellors there is wisdom," saith the proverb.	false	1616.66	1621.23	18.152813
708_129393_000103_000004	If many men of equal individual wisdom are wiser than any one of them, it must be that they acquire the excess of wisdom by the mere act of getting together.	If many men of equal individual wisdom are wiser than any one of them, it must be that they acquire the excess of wisdom by the mere act of getting together.	true	1621.23	1630.39	15
708_129393_000103_000005	Whence comes it?	Whence comes it?	true	1630.61	1631.92	20
708_129393_000103_000006	Obviously from nowhere--as well say that a range of mountains is higher than the single mountains composing it.	Obviously from nowhere-as well say that a range of mountains is higher than the single mountains composing it.	true	1632.02	1638.43	17
708_129393_000103_000007	A multitude is as wise as its wisest member if it obey him; if not, it is no wiser than its most foolish.	A multitude is as wise as its wisest member if it obey him; if not, it is no wiser than its most foolish.	true	1639.4	1646.8	14
708_129393_000104_000000	MUMMY, n.	MUMMY, n.	false	1648.07	1649.46	21.733639
708_129393_000104_000001	An ancient Egyptian, formerly in universal use among modern civilized nations as medicine, and now engaged in supplying art with an excellent pigment.	An ancient Egyptian, formerly in universal use among modern civilized nations as medicine, and now engaged in supplying art with an excellent pigment.	false	1649.46	1659.55	14
708_129393_000104_000002	He is handy, too, in museums in gratifying the vulgar curiosity that serves to distinguish man from the lower animals.	He is handy, too, in museums in gratifying the vulgar curiosity that serves to distinguish man from the lower animals.	true	1659.89	1667.35	14
708_129393_000105_000000	By means of the Mummy, mankind, it is said, Attests to the gods its respect for the dead. We plunder his tomb, be he sinner or saint, Distil him for physic and grind him for paint, Exhibit for money his poor, shrunken frame, And with levity flock to the scene of the shame. O, tell me, ye gods, for the use of my rhyme: For respecting the dead what's the limit of time?	By means of the Mummy, mankind, it is said, Attests to the gods its respect for the dead. We plunder his tomb, be he sinner or saint, Distil him for physic and grind him for paint, Exhibit for money his poor, shrunken frame, And with levity flock to the scene of the shame. O, tell me, ye gods, for the use of my rhyme: For respecting the dead what's the limit of time?	false	1667.87	1693.56	17
708_129393_000106_000000	Scopas Brune	Scopas Brune	true	1693.56	1694.68	13
708_129393_000107_000000	MUSTANG, n.	MUSTANG, n.	false	1696.01	1698.12	22.99722
708_129393_000107_000001	An indocile horse of the western plains.	An indocile horse of the western plains.	true	1698.12	1700.71	16
708_129393_000107_000002	In English society, the American wife of an English nobleman.	In English society, the American wife of an English nobleman.	true	1700.71	1704.58	18
708_129393_000108_000000	MYRMIDON, n.	MYRMIDON, n.	false	1705.67	1707.33	19.233644
708_129393_000108_000001	A follower of Achilles--particularly when he didn't lead.	A follower of Achilles-particularly when he didn't lead.	true	1707.33	1710.88	18.437132
708_129393_000109_000000	MYTHOLOGY, n.	MYTHOLOGY, n.	false	1712	1714.2	18.241982
708_129393_000109_000001	The body of a primitive people's beliefs concerning its origin, early history, heroes, deities and so forth, as distinguished from the true accounts which it invents later.	The body of a primitive people's beliefs concerning its origin, early history, heroes, deities and so forth, as distinguished from the true accounts which it invents later.	false	1714.2	1738.77	19.740677
