1638_84447_000001_000000	THE Phantom slowly, gravely, silently, approached.	THE Phantom slowly, gravely, silently, approached.
1638_84447_000137_000000	"And I know," said Bob, "I know, my dears, that when we recollect how patient and how mild he was; although he was a little, little child; we shall not quarrel easily among ourselves, and forget poor Tiny Tim in doing it."	"And I know," said Bob, "I know, my dears, that when we recollect how patient and how mild he was; although he was a little, little child; we shall not quarrel easily among ourselves, and forget poor Tiny Tim in doing it."
1638_84447_000138_000000	"No, never, father!" they all cried again.	"No, never, father!" they all cried again.
1638_84447_000139_000000	"I am very happy," said little Bob, "I am very happy!"	"I am very happy," said little Bob, "I am very happy!"
1638_84447_000140_000000	Mrs. Cratchit kissed him, his daughters kissed him, the two young Cratchits kissed him, and Peter and himself shook hands.	mrs Cratchit kissed him, his daughters kissed him, the two young Cratchits kissed him, and peter and himself shook hands.
1638_84447_000140_000001	Spirit of Tiny Tim, thy childish essence was from God!	Spirit of Tiny Tim, thy childish essence was from God!
1638_84447_000141_000000	"Spectre," said Scrooge, "something informs me that our parting moment is at hand.	"Spectre," said Scrooge, "something informs me that our parting moment is at hand.
1638_84447_000141_000001	I know it, but I know not how.	I know it, but I know not how.
1638_84447_000142_000000	The Ghost of Christmas Yet To Come conveyed him, as before--though at a different time, he thought: indeed, there seemed no order in these latter visions, save that they were in the Future--into the resorts of business men, but showed him not himself.	The Ghost of Christmas Yet To Come conveyed him, as before-though at a different time, he thought: indeed, there seemed no order in these latter visions, save that they were in the Future-into the resorts of business men, but showed him not himself.
1638_84447_000142_000001	Indeed, the Spirit did not stay for anything, but went straight on, as to the end just now desired, until besought by Scrooge to tarry for a moment.	Indeed, the Spirit did not stay for anything, but went straight on, as to the end just now desired, until besought by Scrooge to tarry for a moment.
1638_84447_000143_000000	"This court," said Scrooge, "through which we hurry now, is where my place of occupation is, and has been for a length of time.	"This court," said Scrooge, "through which we hurry now, is where my place of occupation is, and has been for a length of time.
1638_84447_000143_000001	I see the house.	I see the house.
1638_84447_000143_000002	Let me behold what I shall be, in days to come!"	Let me behold what I shall be, in days to come!"
1638_84447_000144_000000	The Spirit stopped; the hand was pointed elsewhere.	The Spirit stopped; the hand was pointed elsewhere.
1638_84447_000145_000000	"The house is yonder," Scrooge exclaimed.	"The house is yonder," Scrooge exclaimed.
1638_84447_000145_000001	"Why do you point away?"	"Why do you point away?"
1638_84447_000146_000000	The inexorable finger underwent no change.	The inexorable finger underwent no change.
1638_84447_000147_000000	Scrooge hastened to the window of his office, and looked in.	Scrooge hastened to the window of his office, and looked in.
1638_84447_000147_000001	It was an office still, but not his.	It was an office still, but not his.
1638_84447_000147_000002	The furniture was not the same, and the figure in the chair was not himself. The Phantom pointed as before.	The furniture was not the same, and the figure in the chair was not himself. The Phantom pointed as before.
1638_84447_000148_000000	He joined it once again, and wondering why and whither he had gone, accompanied it until they reached an iron gate. He paused to look round before entering.	He joined it once again, and wondering why and whither he had gone, accompanied it until they reached an iron gate. He paused to look round before entering.
1638_84447_000149_000000	A churchyard.	A churchyard.
1638_84447_000149_000001	Here, then; the wretched man whose name he had now to learn, lay underneath the ground.	Here, then; the wretched man whose name he had now to learn, lay underneath the ground.
1638_84447_000149_000002	It was a worthy place.	It was a worthy place.
1638_84447_000149_000003	Walled in by houses; overrun by grass and weeds, the growth of vegetation's death, not life; choked up with too much burying; fat with repleted appetite.	Walled in by houses; overrun by grass and weeds, the growth of vegetation's death, not life; choked up with too much burying; fat with repleted appetite.
1638_84447_000149_000004	A worthy place!	A worthy place!
1638_84447_000150_000000	The Spirit stood among the graves, and pointed down to One.	The Spirit stood among the graves, and pointed down to One.
1638_84447_000150_000001	He advanced towards it trembling.	He advanced towards it trembling.
1638_84447_000151_000000	"Before I draw nearer to that stone to which you point," said Scrooge, "answer me one question.	"Before I draw nearer to that stone to which you point," said Scrooge, "answer me one question.
1638_84447_000152_000000	Still the Ghost pointed downward to the grave by which it stood.	Still the Ghost pointed downward to the grave by which it stood.
1638_84447_000153_000000	"Men's courses will foreshadow certain ends, to which, if persevered in, they must lead," said Scrooge.	"Men's courses will foreshadow certain ends, to which, if persevered in, they must lead," said Scrooge.
1638_84447_000153_000001	"But if the courses be departed from, the ends will change.	"But if the courses be departed from, the ends will change.
1638_84447_000153_000002	Say it is thus with what you show me!"	Say it is thus with what you show me!"
1638_84447_000154_000000	The Spirit was immovable as ever.	The Spirit was immovable as ever.
1638_84447_000155_000000	Scrooge crept towards it, trembling as he went; and following the finger, read upon the stone of the neglected grave his own name, EBENEZER SCROOGE.	Scrooge crept towards it, trembling as he went; and following the finger, read upon the stone of the neglected grave his own name, EBENEZER SCROOGE.
1638_84447_000156_000000	"Am I that man who lay upon the bed?" he cried, upon his knees.	"Am I that man who lay upon the bed?" he cried, upon his knees.
1638_84447_000157_000000	The finger pointed from the grave to him, and back again.	The finger pointed from the grave to him, and back again.
1638_84447_000158_000000	"No, Spirit!	"No, Spirit!
1638_84447_000158_000001	Oh no, no!"	Oh no, no!"
1638_84447_000159_000000	The finger still was there.	The finger still was there.
1638_84447_000160_000002	Why show me this, if I am past all hope!"	Why show me this, if I am past all hope!"
1638_84447_000161_000000	For the first time the hand appeared to shake.	For the first time the hand appeared to shake.
1638_84447_000162_000000	"Good Spirit," he pursued, as down upon the ground he fell before it: "Your nature intercedes for me, and pities me.	"Good Spirit," he pursued, as down upon the ground he fell before it: "Your nature intercedes for me, and pities me.
1638_84447_000163_000000	The kind hand trembled.	The kind hand trembled.
1638_84447_000164_000000	"I will honour Christmas in my heart, and try to keep it all the year.	"I will honour Christmas in my heart, and try to keep it all the year.
1638_84447_000164_000001	I will live in the Past, the Present, and the Future.	I will live in the Past, the Present, and the Future.
