4290_14526_000000_000000	WHAT THE WAR OF 1812 DEMONSTRATED	WHAT THE WAR OF eighteen twelve DEMONSTRATED	true	30.645	33.72	22.284678
4290_14526_000019_000003	Both parties became more eager than ever for the test.	Both parties became more eager than ever for the test.	true	1161.9	1165.06	16
4290_14526_000019_000004	For once, even the Federalists of New England felt their blood stir; for their own President and their own votes had called these frigates into existence, and a victory won by the Constitution, which had been built by their hands, was in their eyes a greater victory over their political opponents than over the British.	For once, even the Federalists of New England felt their blood stir; for their own President and their own votes had called these frigates into existence, and a victory won by the Constitution, which had been built by their hands, was in their eyes a greater victory over their political opponents than over the British.	true	1165.25	1183.57	16
4290_14526_000019_000005	With no half-hearted spirit the seagoing Bostonians showered well-weighed praises on Hull when his ship entered Boston Harbor, July 26th, after its narrow escape, and when he sailed again New England waited with keen interest to learn his fate.	With no half hearted spirit the seagoing Bostonians showered well weighed praises on Hull when his ship entered Boston Harbor, july twenty sixth, after its narrow escape, and when he sailed again New England waited with keen interest to learn his fate.	false	1183.7	1199.59	16
4290_14526_000020_000000	Hull could not expect to keep command of the Constitution.	Hull could not expect to keep command of the Constitution.	true	1200.05	1203.31	24.452118
4290_14526_000020_000001	Bainbridge was much his senior, and had the right to a preference in active service.	Bainbridge was much his senior, and had the right to a preference in active service.	false	1203.32	1207.88	18
4290_14526_000020_000002	Bainbridge then held and was ordered to retain command of the Constellation, fitting out at the Washington Navy Yard; but Secretary Hamilton, July 28th, ordered him to take command also of the Constitution on her arrival in port.	Bainbridge then held and was ordered to retain command of the Constellation, fitting out at the Washington Navy Yard; but Secretary Hamilton, july twenty eighth, ordered him to take command also of the Constitution on her arrival in port.	true	1207.88	1221.97	18
4290_14526_000020_000003	Doubtless Hull expected this change, and probably the expectation induced him to risk a dangerous experiment; for without bringing his ship to the Charlestown Navy Yard, but remaining in the outer harbor, after obtaining such supplies as he needed, August 2d, he set sail without orders, and stood to the eastward.	Doubtless Hull expected this change, and probably the expectation induced him to risk a dangerous experiment; for without bringing his ship to the Charlestown Navy Yard, but remaining in the outer harbor, after obtaining such supplies as he needed, August two d, he set sail without orders, and stood to the eastward.	false	1222.22	1242.52	19
4290_14526_000020_000004	Having reached Cape Race without meeting an enemy, he turned southward, until on the night of August 18th he spoke a privateer, which told him of a British frigate near at hand.	Having reached Cape Race without meeting an enemy, he turned southward, until on the night of august eighteenth he spoke a privateer, which told him of a British frigate near at hand.	true	1243.1	1254.19	19
4290_14526_000020_000005	Following the privateersman's directions, the Constitution the next day, August 19th, [1812,] at two o'clock in the afternoon, latitude 41 deg.	Following the privateersman's directions, the Constitution the next day, august nineteenth, [eighteen twelve,] at two o'clock in the afternoon, latitude forty one d e g.	false	1254.41	1263.87	19
4290_14526_000020_000006	42 min., longitude 55 deg.	forty two minutes., longitude fifty five d e g.	false	1263.87	1266.43	16
4290_14526_000020_000007	48 min., sighted the Guerriere.	forty eight minutes., sighted the Guerriere.	false	1266.43	1269.51	26.146347
4290_14526_000021_000000	The meeting was welcome on both sides.	The meeting was welcome on both sides.	true	1269.51	1271.65	17
4290_14526_000021_000001	Only three days before, Captain Dacres had entered on the log of a merchantman a challenge to any American frigate to meet him off Sandy Hook.	Only three days before, Captain Dacres had entered on the log of a merchantman a challenge to any American frigate to meet him off Sandy Hook.	true	1271.65	1279.84	15
4290_14526_000021_000002	Not only had the Guerriere for a long time been extremely offensive to every seafaring American, but the mistake which caused the Little Belt to suffer so seriously for the misfortune of being taken for the Guerriere had caused a corresponding feeling of anger in the officers of the British frigate. The meeting of August 19th had the character of a preconcerted duel.	Not only had the Guerriere for a long time been extremely offensive to every seafaring American, but the mistake which caused the Little Belt to suffer so seriously for the misfortune of being taken for the Guerriere had caused a corresponding feeling of anger in the officers of the British frigate. The meeting of august nineteenth had the character of a preconcerted duel.	false	1280.03	1302.25	17
4290_14526_000022_000000	The wind was blowing fresh from the northwest, with the sea running high.	The wind was blowing fresh from the northwest, with the sea running high.	true	1302.41	1306.45	18
4290_14526_000022_000001	Dacres backed his main topsail and waited.	Dacres backed his main topsail and waited.	true	1306.55	1309.21	18
4290_14526_000022_000002	Hull shortened sail, and ran down before the wind.	Hull shortened sail, and ran down before the wind.	true	1309.21	1312.45	14
4290_14526_000022_000003	For about an hour the two ships wore and wore again, trying to get advantage of position; until at last, a few minutes before six o'clock, they came together side by side, within pistol shot, the wind almost astern, and running before it, they pounded each other with all their strength.	For about an hour the two ships wore and wore again, trying to get advantage of position; until at last, a few minutes before six o'clock, they came together side by side, within pistol shot, the wind almost astern, and running before it, they pounded each other with all their strength.	true	1312.45	1329.08	21
4290_14526_000022_000004	As rapidly as the guns could be worked, the Constitution poured in broadside after broadside, double-shotted with round and grape; and without exaggeration, the echo of these guns startled the world.	As rapidly as the guns could be worked, the Constitution poured in broadside after broadside, double shotted with round and grape; and without exaggeration, the echo of these guns startled the world.	false	1329.08	1342.38	20
4290_14526_000022_000005	"In less than thirty minutes from the time we got alongside of the enemy," reported Hull, "she was left without a spar standing, and the hull cut to pieces in such a manner as to make it difficult to keep her above water."	"In less than thirty minutes from the time we got alongside of the enemy," reported Hull, "she was left without a spar standing, and the hull cut to pieces in such a manner as to make it difficult to keep her above water."	false	1342.38	1356.3	21.13004
4290_14526_000023_000000	That Dacres should have been defeated was not surprising; that he should have expected to win was an example of British arrogance that explained and excused the war.	That Dacres should have been defeated was not surprising; that he should have expected to win was an example of British arrogance that explained and excused the war.	true	1356.3	1365.19	17
4290_14526_000023_000001	The length of the Constitution was one hundred and seventy-three feet, that of the Guerriere was one hundred and fifty-six feet; the extreme breadth of the Constitution was forty-four feet, that of the Guerriere was forty feet: or within a few inches in both cases. The Constitution carried thirty-two long twenty-four-pounders, the Guerriere thirty long eighteen-pounders and two long twelve-pounders; the Constitution carried twenty thirty-two-pound carronades, the Guerriere sixteen.	The length of the Constitution was one hundred and seventy three feet, that of the Guerriere was one hundred and fifty six feet; the extreme breadth of the Constitution was forty four feet, that of the Guerriere was forty feet: or within a few inches in both cases. The Constitution carried thirty two long twenty four pounders, the Guerriere thirty long eighteen pounders and two long twelve pounders; the Constitution carried twenty thirty two pound carronades, the Guerriere sixteen.	false	1365.44	1396.24	22.637665
4290_14526_000023_000002	In every respect, and in proportion of ten to seven, the Constitution was the better ship; her crew was more numerous in proportion of ten to six.	In every respect, and in proportion of ten to seven, the Constitution was the better ship; her crew was more numerous in proportion of ten to six.	true	1396.4	1406.14	21.935326
4290_14526_000023_000003	Dacres knew this very nearly as well as it was known to Hull, yet he sought a duel.	Dacres knew this very nearly as well as it was known to Hull, yet he sought a duel.	true	1406.24	1411.15	13
4290_14526_000023_000004	What he did not know was that in a still greater proportion the American officers and crew were better and more intelligent seamen than the British, and that their passionate wish to repay old scores gave them extraordinary energy.	What he did not know was that in a still greater proportion the American officers and crew were better and more intelligent seamen than the British, and that their passionate wish to repay old scores gave them extraordinary energy.	true	1411.4	1425.31	17
4290_14526_000023_000005	So much greater was the moral superiority than the physical, that while the Guerriere's force counted as seven against ten, her losses counted as though her force were only two against ten.	So much greater was the moral superiority than the physical, that while the Guerriere's force counted as seven against ten, her losses counted as though her force were only two against ten.	true	1425.74	1436.97	15
4290_14526_000024_000000	Dacres's error cost him dear; for among the Guerriere's crew of two hundred and seventy-two, seventy-nine were killed or wounded, and the ship was injured beyond saving before Dacres realized his mistake, although he needed only thirty minutes of close fighting for the purpose.	Dacres's error cost him dear; for among the Guerriere's crew of two hundred and seventy two, seventy nine were killed or wounded, and the ship was injured beyond saving before Dacres realized his mistake, although he needed only thirty minutes of close fighting for the purpose.	false	1436.97	1453.69	20.819202
4290_14526_000024_000001	He never fully understood the causes of his defeat, and never excused it by pleading, as he might have done, the great superiority of his enemy.	He never fully understood the causes of his defeat, and never excused it by pleading, as he might have done, the great superiority of his enemy.	true	1453.97	1462.57	21.440006
4290_14526_000025_000000	Hull took his prisoners on board the Constitution, and after blowing up the Guerriere sailed for Boston, where he arrived on the morning of August 30th.	Hull took his prisoners on board the Constitution, and after blowing up the Guerriere sailed for Boston, where he arrived on the morning of august thirtieth.	false	1462.73	1471.9	16
4290_14526_000025_000001	The Sunday silence of the Puritan city broke into excitement as the news passed through the quiet streets that the Constitution was below in the outer harbor with Dacres and his crew prisoners on board.	The Sunday silence of the Puritan city broke into excitement as the news passed through the quiet streets that the Constitution was below in the outer harbor with Dacres and his crew prisoners on board.	true	1471.9	1483.88	15
4290_14526_000025_000002	No experience of history ever went to the heart of New England more directly than this victory, so peculiarly its own: but the delight was not confined to New England, and extreme though it seemed, it was still not extravagant; for however small the affair might appear on the general scale of the world's battles, it raised the United States in one half-hour to the rank of a first class Power in the world.	No experience of history ever went to the heart of New England more directly than this victory, so peculiarly its own: but the delight was not confined to New England, and extreme though it seemed, it was still not extravagant; for however small the affair might appear on the general scale of the world's battles, it raised the United States in one half hour to the rank of a first class Power in the world.	false	1483.88	1507.95	15
4290_14526_000026_000000	Selections used by permission of Charles Scribner's Sons, Publishers.	Selections used by permission of Charles Scribner's Sons, Publishers.	false	1507.95	1508.28	-20
4290_14526_000027_000000	JOHN ADAMS	john ADAMS	false	1508.28	1508.37	-1
4290_14526_000028_000000	(1735-1826)	(seventeen thirty five to eighteen twenty six)	false	1508.37	1508.64	-20
4290_14526_000029_000000	John Adams, second President of the United States, was born at Braintree, Mass., October 19th, 1735, and died there July 4th, 1826, the year after his son too was inaugurated President.	john Adams, second President of the United States, was born at Braintree, Mass., october nineteenth seventeen thirty five, and died there july fourth eighteen twenty six, the year after his son too was inaugurated President.	false	1508.64	1509.6	42.063026
4290_14526_000029_000001	He was the first conspicuous member of an enduringly powerful and individual family.	He was the first conspicuous member of an enduringly powerful and individual family.	false	1509.6	1510.08	9
4290_14526_000029_000002	The Adams race have mostly been vehement, proud, pugnacious, and independent, with hot tempers and strong wills; but with high ideals, dramatic devotion to duty, and the intense democratic sentiment so often found united with personal aristocracy of feeling.	The Adams race have mostly been vehement, proud, pugnacious, and independent, with hot tempers and strong wills; but with high ideals, dramatic devotion to duty, and the intense democratic sentiment so often found united with personal aristocracy of feeling.	false	1510.08	1512.69	18.806074
4290_14526_000029_000003	They have been men of affairs first, with large practical ability, but with a deep strain of the man of letters which in this generation has outshone the other faculties; strong-headed and hard-working students, with powerful memories and fluent gifts of expression.	They have been men of affairs first, with large practical ability, but with a deep strain of the man of letters which in this generation has outshone the other faculties; strong headed and hard-working students, with powerful memories and fluent gifts of expression.	false	1512.69	1515.57	3
