2853_164187_000000_000000	CHAPTER THREE	CHAPTER THREE	false	0.51	26.1	23.458178
2853_164187_000051_000004	You might as well have offered a man- eating tiger bread and milk.	You might as well have offered a man eating tiger bread and milk.	false	957.89	961.44	20.61082
2853_164187_000051_000005	Even the threat that he would instantly resign his membership unless provided with drink produced no effect on a polite steward, and he sat down to recover as best he might with an old volume of Punch.	Even the threat that he would instantly resign his membership unless provided with drink produced no effect on a polite steward, and he sat down to recover as best he might with an old volume of Punch.	true	961.44	972.97	24.506424
2853_164187_000051_000006	This seemed to do him little good.	This seemed to do him little good.	true	973.52	975.46	20.836523
2853_164187_000051_000007	His forced abstemiousness was rendered the more intolerable by the fact that Captain Puffin, hobbling in immediately afterwards, fetched from his locker a large flask of the required elixir, and proceeded to mix himself a long, strong tumblerful. After the Major's rudeness in the matter of the half-crown, it was impossible for any sailor of spirit to take the first step towards reconciliation.	His forced abstemiousness was rendered the more intolerable by the fact that Captain Puffin, hobbling in immediately afterwards, fetched from his locker a large flask of the required elixir, and proceeded to mix himself a long, strong tumblerful. After the Major's rudeness in the matter of the half crown, it was impossible for any sailor of spirit to take the first step towards reconciliation.	true	975.65	999.19	23.923508
2853_164187_000052_000000	Thirst is a great leveller.	Thirst is a great leveller.	true	1000.4	1002.28	22.710648
2853_164187_000052_000001	By the time the refreshed Puffin had penetrated half-way down his glass, the Major found it impossible to be proud and proper any longer.	By the time the refreshed Puffin had penetrated half-way down his glass, the Major found it impossible to be proud and proper any longer.	true	1002.53	1010.72	23.714663
2853_164187_000052_000002	He hated saying he was sorry (no man more) and he wouldn't have been sorry if he had been able to get a drink.	He hated saying he was sorry (no man more) and he wouldn't have been sorry if he had been able to get a drink.	true	1010.72	1017.18	21.962206
2853_164187_000052_000003	He twirled his moustache a great many times and cleared his throat--it wanted more than that to clear it--and capitulated.	He twirled his moustache a great many times and cleared his throat-it wanted more than that to clear it-and capitulated.	false	1017.18	1024.6	22.206535
2853_164187_000053_000000	"Upon my word, Puffin, I'm ashamed of myself for--ha!--for not taking my defeat better," he said.	"Upon my word, Puffin, I'm ashamed of myself for-ha!--for not taking my defeat better," he said.	false	1025.27	1032.43	24.214687
2853_164187_000053_000001	"A man's no business to let a game ruffle him."	"A man's no business to let a game ruffle him."	true	1032.86	1035.49	22.961884
2853_164187_000054_000000	Puffin gave his alto cackling laugh.	Puffin gave his alto cackling laugh.	true	1035.68	1038.46	21.26132
2853_164187_000055_000000	"Oh, that's all right, Major," he said.	"Oh, that's all right, Major," he said.	true	1038.8	1041.11	24.794348
2853_164187_000055_000001	"I know it's awfully hard to lose like a gentleman."	"I know it's awfully hard to lose like a gentleman."	true	1041.11	1043.65	21
2853_164187_000056_000000	He let this sink in, then added:	He let this sink in, then added:	false	1044.47	1046.32	25.872257
2853_164187_000057_000000	"Have a drink, old chap?"	"Have a drink, old chap?"	true	1046.48	1048.06	31.506643
2853_164187_000058_000000	Major Flint flew to his feet.	Major Flint flew to his feet.	true	1048.1	1050.52	22.348701
2853_164187_000059_000000	"Well, thank ye, thank ye," he said.	"Well, thank ye, thank ye," he said.	false	1050.59	1053.13	32.330452
2853_164187_000059_000001	"Now where's that soda water you offered me just now?" he shouted to the steward.	"Now where's that soda water you offered me just now?" he shouted to the steward.	true	1053.14	1057.54	27.166931
2853_164187_000060_000000	The speed and completeness of the reconciliation was in no way remarkable, for when two men quarrel whenever they meet, it follows that they make it up again with corresponding frequency, else there could be no fresh quarrels at all.	The speed and completeness of the reconciliation was in no way remarkable, for when two men quarrel whenever they meet, it follows that they make it up again with corresponding frequency, else there could be no fresh quarrels at all.	false	1058	1070.92	24.439808
2853_164187_000060_000001	This one had been a shade more acute than most, and the drop into amity again was a shade more precipitous.	This one had been a shade more acute than most, and the drop into amity again was a shade more precipitous.	true	1071.29	1077.91	21
2853_164187_000061_000000	Major Flint in his eagerness had put most of his moustache into the life-giving tumbler, and dried it on his handkerchief.	Major Flint in his eagerness had put most of his moustache into the life giving tumbler, and dried it on his handkerchief.	true	1078.52	1085.74	22.192417
2853_164187_000062_000000	"After all, it was a most amusing incident," he said.	"After all, it was a most amusing incident," he said.	true	1086.38	1090.57	22.535965
2853_164187_000062_000001	"There was I with my back turned, waiting for you to give it up, when your bl---- wretched little ball hit my foot.	"There was I with my back turned, waiting for you to give it up, when your b l---- wretched little ball hit my foot.	false	1090.88	1098.07	21.97365
2853_164187_000062_000002	I must remember that.	I must remember that.	true	1098.32	1099.78	25.49071
2853_164187_000062_000003	I'll serve you with the same spoon some day, at least I would if I thought it sportsmanlike.	I'll serve you with the same spoon some day, at least I would if I thought it sportsmanlike.	true	1099.85	1104.93	25.22431
2853_164187_000062_000004	Well, well, enough said.	Well, well, enough said.	true	1104.93	1106.85	9
2853_164187_000062_000005	Astonishing good whisky, that of yours."	Astonishing good whisky, that of yours."	true	1106.85	1109.26	17
2853_164187_000063_000000	Captain Puffin helped himself to rather more than half of what now remained in the flask.	Captain Puffin helped himself to rather more than half of what now remained in the flask.	true	1110.68	1116.01	22.623749
2853_164187_000064_000000	"Help yourself, Major," he said.	"Help yourself, Major," he said.	true	1116.56	1118.77	21.14942
2853_164187_000065_000000	"Well, thank ye, I don't mind if I do," he said, reversing the flask over the tumbler.	"Well, thank ye, I don't mind if I do," he said, reversing the flask over the tumbler.	true	1118.81	1123.63	28.80174
2853_164187_000065_000001	"There's a good tramp in front of us now that the last tram has gone.	"There's a good tramp in front of us now that the last tram has gone.	true	1123.79	1127.38	24
2853_164187_000065_000002	Tram and tramp!	Tram and tramp!	true	1127.54	1128.54	20.652422
2853_164187_000065_000003	Upon my word, I've half a mind to telephone for a taxi."	Upon my word, I've half a mind to telephone for a taxi."	true	1128.54	1131.58	21.694304
2853_164187_000066_000000	This, of course, was a direct hint.	This, of course, was a direct hint.	false	1132.4	1135.68	24.433773
2853_164187_000066_000001	Puffin ought clearly to pay for a taxi, having won two half-crowns to-day.	Puffin ought clearly to pay for a taxi, having won two half crowns to day.	false	1135.68	1140.58	24.711523
2853_164187_000066_000002	This casual drink did not constitute the usual drink stood by the winner, and paid for with cash over the counter.	This casual drink did not constitute the usual drink stood by the winner, and paid for with cash over the counter.	true	1140.8	1147.33	22.904118
2853_164187_000066_000003	A drink (or two) from a flask was not the same thing. . . .	A drink (or two) from a flask was not the same thing. . . .	true	1147.55	1151.2	25.207235
2853_164187_000066_000004	Puffin naturally saw it in another light.	Puffin naturally saw it in another light.	true	1151.66	1154.05	20.823229
2853_164187_000066_000005	He had paid for the whisky which Major Flink had drunk (or owed for it) in his wine-merchant's bill.	He had paid for the whisky which Major Flink had drunk (or owed for it) in his wine merchant's bill.	true	1154.45	1161.1	22.555222
2853_164187_000066_000006	That was money just as much as a florin pushed across the counter.	That was money just as much as a florin pushed across the counter.	true	1161.23	1164.76	26.733912
2853_164187_000066_000007	But he was so excessively pleased with himself over the adroitness with which he had claimed the last hole, that he quite overstepped the bounds of his habitual parsimony.	But he was so excessively pleased with himself over the adroitness with which he had claimed the last hole, that he quite overstepped the bounds of his habitual parsimony.	true	1165.1	1174.51	23.856697
2853_164187_000067_000000	"Well, you trot along to the telephone and order a taxi," he said, "and I'll pay for it."	"Well, you trot along to the telephone and order a taxi," he said, "and I'll pay for it."	false	1175.12	1180.45	22.093582
2853_164187_000068_000000	"Done with you," said the other.	"Done with you," said the other.	true	1181	1182.79	21.769396
2853_164187_000069_000000	Their comradeship was now on its most felicitous level again, and they sat on the bench outside the club-house till the arrival of their unusual conveyance.	Their comradeship was now on its most felicitous level again, and they sat on the bench outside the club house till the arrival of their unusual conveyance.	false	1182.92	1192.39	23
2853_164187_000070_000000	"Lunching at the Poppit's to-morrow?" asked Major Flint.	"Lunching at the Poppit's to morrow?" asked Major Flint.	true	1192.91	1195.84	23.885473
2853_164187_000071_000000	"Yes.	"Yes.	true	1196.66	1197.57	15.953645
2853_164187_000071_000001	Meet you there?	Meet you there?	true	1197.57	1198.57	25.492554
2853_164187_000071_000002	Good.	Good.	true	1198.67	1199.5	32.63231
2853_164187_000071_000003	Bridge afterwards I suppose."	Bridge afterwards I suppose."	true	1199.63	1201.45	23.39466
2853_164187_000072_000000	"Sure to be.	"Sure to be.	true	1201.91	1203.19	28.112244
2853_164187_000072_000001	Wish there was a chance of more red-currant fool. That was a decent tipple, all but the red-currants.	Wish there was a chance of more red currant fool. That was a decent tipple, all but the red currants.	false	1203.35	1209.4	26.159992
2853_164187_000072_000002	If I had had all the old brandy that was served for my ration in one glass, and all the champagne in another, I should have been better content."	If I had had all the old brandy that was served for my ration in one glass, and all the champagne in another, I should have been better content."	true	1209.92	1218.31	19
2853_164187_000073_000000	Captain Puffin was a great cynic in his own misogynistic way.	Captain Puffin was a great cynic in his own misogynistic way.	false	1218.62	1222.24	25
2853_164187_000074_000000	"Camouflage for the fair sex," he said.	"Camouflage for the fair sex," he said.	true	1222.85	1225.51	22.285645
2853_164187_000074_000001	"A woman will lick up half a bottle of brandy if it's called plum-pudding, and ask for more, whereas if you offered her a small brandy-and-soda, she would think you were insulting her."	"A woman will lick up half a bottle of brandy if it's called plum pudding, and ask for more, whereas if you offered her a small brandy and soda, she would think you were insulting her."	true	1225.79	1235.71	22.005787
2853_164187_000075_000000	"Bless them, the funny little fairies," said the Major.	"Bless them, the funny little fairies," said the Major.	true	1236.26	1240.51	22.077085
2853_164187_000076_000000	"Well, what I tell you is true, Major," said Puffin.	"Well, what I tell you is true, Major," said Puffin.	true	1240.88	1244.27	22.38031
2853_164187_000076_000001	"There's old Mapp.	"There's old Mapp.	true	1244.27	1245.59	22.907078
2853_164187_000076_000002	Teetotaller she calls herself, but she played a bo'sun's part in that red-currant fool.	Teetotaller she calls herself, but she played a bo'sun's part in that red currant fool.	false	1245.59	1251.48	26.093773
2853_164187_000076_000003	Bit rosy, I thought her, as we escorted her home."	Bit rosy, I thought her, as we escorted her home."	false	1251.48	1254.55	25.491592
2853_164187_000077_000000	"So she was," said the Major.	"So she was," said the Major.	true	1255.04	1257.79	23.79106
2853_164187_000077_000001	"So she was.	"So she was.	true	1257.89	1259.89	18.462036
2853_164187_000077_000002	Said good-bye to us on her doorstep as if she thought she was a perfect Venus Ana--Ana something."	Said good bye to us on her doorstep as if she thought she was a perfect Venus Ana-Ana something."	true	1259.89	1265.67	22
2853_164187_000078_000000	"Anno Domini," giggled Puffin.	"Anno Domini," giggled Puffin.	false	1265.67	1269.01	22.166891
2853_164187_000079_000000	"Well, well, we all get long in the tooth in time," said Major Flint charitably.	"Well, well, we all get long in the tooth in time," said Major Flint charitably.	false	1269.2	1274.82	24.018341
2853_164187_000079_000001	"Fine figure of a woman, though."	"Fine figure of a woman, though."	true	1274.82	1276.74	18.783773
2853_164187_000080_000000	"Eh?" said Puffin archly.	"Eh?" said Puffin archly.	false	1276.74	1279.81	25.30529
2853_164187_000081_000000	"Now none of your sailor-talk ashore, Captain," said the Major, in high good humour.	"Now none of your sailor talk ashore, Captain," said the Major, in high good humour.	true	1280.06	1284.77	26.452364
2853_164187_000081_000001	"I'm not a marrying man any more than you are. Better if I had been perhaps, more years ago than I care to think about.	"I'm not a marrying man any more than you are. Better if I had been perhaps, more years ago than I care to think about.	true	1284.77	1291.63	21.031115
2853_164187_000081_000002	Dear me, my wound's going to trouble me to-night."	Dear me, my wound's going to trouble me to night."	true	1292	1294.9	20.106045
2853_164187_000082_000000	"What do you do for it, Major?" asked Puffin.	"What do you do for it, Major?" asked Puffin.	false	1295.21	1297.72	25.24012
2853_164187_000083_000000	"Do for it?	"Do for it?	true	1297.88	1299.04	19.895092
2853_164187_000083_000001	Think of old times a bit over my diaries."	Think of old times a bit over my diaries."	true	1299.26	1301.86	22.3587
2853_164187_000084_000000	"Going to let the world have a look at them some day?" asked Puffin.	"Going to let the world have a look at them some day?" asked Puffin.	false	1302.56	1306.3	22.056414
2853_164187_000085_000000	"No, sir, I am not," said Major Flint.	"No, sir, I am not," said Major Flint.	true	1307.21	1309.78	29.579271
2853_164187_000085_000001	"Perhaps a hundred years hence--the date I have named in my will for their publication-- someone may think them not so uninteresting.	"Perhaps a hundred years hence-the date I have named in my will for their publication- someone may think them not so uninteresting.	true	1309.85	1316.88	22.415403
2853_164187_000085_000002	But all this toasting and buttering and grilling and frying your friends, and serving them up hot for all the old cats at a tea-table to mew over--Pah!"	But all this toasting and buttering and grilling and frying your friends, and serving them up hot for all the old cats at a tea table to mew over-Pah!"	false	1316.88	1325.5	24.32168
2853_164187_000086_000000	Puffin was silent a moment in appreciation of these noble sentiments.	Puffin was silent a moment in appreciation of these noble sentiments.	true	1326.29	1330.03	19
2853_164187_000087_000000	"But you put in a lot of work over them," he said at length. "Often when I'm going up to bed, I see the light still burning in your sitting-room window."	"But you put in a lot of work over them," he said at length. "Often when I'm going up to bed, I see the light still burning in your sitting room window."	true	1331.36	1340.26	19.968801
2853_164187_000088_000000	"And if it comes to that," rejoined the Major, "I'm sure I've often dozed off when I'm in bed and woken again, and pulled up my blind, and what not, and there's your light still burning.	"And if it comes to that," rejoined the Major, "I'm sure I've often dozed off when I'm in bed and woken again, and pulled up my blind, and what not, and there's your light still burning.	false	1340.99	1350.8	19
2853_164187_000088_000001	Powerful long roads those old Romans must have made, Captain."	Powerful long roads those old romans must have made, Captain."	true	1350.8	1354.78	17
2853_164187_000089_000000	The ice was not broken, but it was cracking in all directions under this unexampled thaw.	The ice was not broken, but it was cracking in all directions under this unexampled thaw.	true	1355.63	1361.59	22.766193
2853_164187_000089_000001	The two had clearly indicated a mutual suspicion of each other's industrious habits after dinner. . . . They had never got quite so far as this before: some quarrel had congealed the surface again.	The two had clearly indicated a mutual suspicion of each other's industrious habits after dinner. . . . They had never got quite so far as this before: some quarrel had congealed the surface again.	true	1362.08	1373.5	21.012968
2853_164187_000089_000002	But now, with a desperate disagreement just behind them, and the unusual luxury of a taxi just in front, the vernal airs continued blowing in the most spring- like manner.	But now, with a desperate disagreement just behind them, and the unusual luxury of a taxi just in front, the vernal airs continued blowing in the most spring like manner.	false	1373.54	1383.79	24.960793
2853_164187_000090_000000	"Yes, that's true enough," said Puffin.	"Yes, that's true enough," said Puffin.	true	1384.25	1386.85	21.40362
2853_164187_000090_000001	"Long roads they were, and dry roads at that, and if I stuck to them from after my supper every evening till midnight or more I should be smothered in dust."	"Long roads they were, and dry roads at that, and if I stuck to them from after my supper every evening till midnight or more I should be smothered in dust."	true	1386.98	1396.84	20.608921
2853_164187_000091_000000	"Unless you washed the dust down just once in a while," said Major Flint.	"Unless you washed the dust down just once in a while," said Major Flint.	true	1397.15	1401.67	20.753487
2853_164187_000092_000000	"Just so.	"Just so.	true	1402.1	1403.68	22.199577
2853_164187_000092_000001	Brain-work's an exhausting process; requires a little stimulant now and again," said Puffin.	Brain work's an exhausting process; requires a little stimulant now and again," said Puffin.	true	1403.93	1409.02	23.66407
2853_164187_000092_000002	"I sit in my chair, you understand, and perhaps doze for a bit after my supper, and then I'll get my maps out, and have them handy beside me.	"I sit in my chair, you understand, and perhaps doze for a bit after my supper, and then I'll get my maps out, and have them handy beside me.	true	1409.27	1417.21	21
2853_164187_000092_000003	And then, if there's something interesting in the evening paper, perhaps I'll have a look at it, and bless me, if by that time it isn't already half-past ten or eleven, and it seems useless to tackle archæology then.	And then, if there's something interesting in the evening paper, perhaps I'll have a look at it, and bless me, if by that time it isn't already half past ten or eleven, and it seems useless to tackle archæology then.	false	1417.67	1430.68	24.674553
2853_164187_000092_000004	And I just--just while away the time till I'm sleepy.	And I just-just while away the time till I'm sleepy.	true	1431.05	1434.67	19.683634
2853_164187_000092_000005	But there seems to be a sort of legend among the ladies here, that I'm a great student of local topography and Roman roads, and all sorts of truck, and I find it better to leave it at that.	But there seems to be a sort of legend among the ladies here, that I'm a great student of local topography and Roman roads, and all sorts of truck, and I find it better to leave it at that.	true	1434.95	1444.36	19
2853_164187_000092_000006	Tiresome to go into long explanations.	Tiresome to go into long explanations.	true	1444.58	1447.12	20.107811
2853_164187_000092_000007	In fact," added Puffin in a burst of confidence, "the study I've done on Roman roads these last six months wouldn't cover a threepenny piece."	In fact," added Puffin in a burst of confidence, "the study I've done on Roman roads these last six months wouldn't cover a threepenny piece."	true	1447.7	1456.39	22.858242
2853_164187_000093_000000	Major Flint gave a loud, choking guffaw and beat his fat leg.	Major Flint gave a loud, choking guffaw and beat his fat leg.	true	1456.67	1461.79	26.097866
2853_164187_000094_000000	"Well, if that's not the best joke I've heard for many a long day," he said.	"Well, if that's not the best joke I've heard for many a long day," he said.	true	1461.89	1467.7	24.626642
2853_164187_000094_000001	"There I've been in the house opposite you these last two years, seeing your light burning late night after night, and thinking to myself: 'There's my friend Puffin still at it!	"There I've been in the house opposite you these last two years, seeing your light burning late night after night, and thinking to myself: 'There's my friend Puffin still at it!	true	1468.01	1478.08	22.816214
2853_164187_000094_000002	Fine thing to be an enthusiastic archæologist like that.	Fine thing to be an enthusiastic archæologist like that.	true	1479.08	1482.7	26.844576
2853_164187_000094_000003	That makes short work of a lonely evening for him if he's so buried in his books or his maps--Mapps, ha!	That makes short work of a lonely evening for him if he's so buried in his books or his maps-Mapps, ha!	false	1482.8	1488.87	25.819122
2853_164187_000094_000004	ha!--that he doesn't seem to notice whether it's twelve o'clock or one or two, maybe!' And all the time you've been sitting snoozing and boozing in your chair, with your glass handy to wash the dust down."	ha!--that he doesn't seem to notice whether it's twelve o'clock or one or two, maybe!' And all the time you've been sitting snoozing and boozing in your chair, with your glass handy to wash the dust down."	false	1488.87	1501.27	20
2853_164187_000095_000000	Puffin added his falsetto cackle to this merriment.	Puffin added his falsetto cackle to this merriment.	true	1501.85	1505.5	24.163244
2853_164187_000096_000000	"And, often I've thought to myself," he said, "'There's my friend the Major in his study opposite, with all his diaries round him, making a note here, and copying an extract there, and conferring with the Viceroy one day, and reprimanding the Maharajah of Bom-be- boo another.	"And, often I've thought to myself," he said, "'There's my friend the Major in his study opposite, with all his diaries round him, making a note here, and copying an extract there, and conferring with the Viceroy one day, and reprimanding the Maharajah of Bom be boo another.	false	1505.9	1522.9	20
2853_164187_000096_000001	He's spending the evening on India's coral strand, he is, having tiffin and shooting tigers and Gawd knows what--'"	He's spending the evening on India's coral strand, he is, having tiffin and shooting tigers and Gawd knows what-'"	true	1523.33	1529.95	17
2853_164187_000097_000000	The Major's laughter boomed out again.	The Major's laughter boomed out again.	true	1530.56	1533.67	23.438162
2853_164187_000098_000000	"And I never kept a diary in my life!" he cried.	"And I never kept a diary in my life!" he cried.	true	1534.07	1537.15	21.864347
2853_164187_000098_000001	"Why there's enough cream in this situation to make a dishful of meringues.	"Why there's enough cream in this situation to make a dishful of meringues.	true	1537.15	1541.17	21.78516
2853_164187_000098_000002	You and I, you know, the students of Tilling!	You and I, you know, the students of Tilling!	true	1541.36	1544.83	25.721994
2853_164187_000098_000003	The serious-minded students who do a hard day's work when all the pretty ladies have gone to bed.	The serious minded students who do a hard day's work when all the pretty ladies have gone to bed.	true	1545.02	1550.56	19
2853_164187_000098_000004	Often and often has old--I mean has that fine woman, Miss Mapp, told me that I work too hard at night!	Often and often has old-I mean has that fine woman, Miss Mapp, told me that I work too hard at night!	false	1551.26	1558.27	22.832348
2853_164187_000098_000005	Recommended me to get earlier to bed, and do my work between six and eight in the morning!	Recommended me to get earlier to bed, and do my work between six and eight in the morning!	true	1558.49	1563.39	24
2853_164187_000098_000006	Six and eight in the morning!	Six and eight in the morning!	true	1563.39	1565.83	20.118729
2853_164187_000098_000007	That's a queer time of day to recommend an old campaigner to be awake at!	That's a queer time of day to recommend an old campaigner to be awake at!	true	1565.87	1569.82	27.933521
2853_164187_000098_000008	Often she's talked to you, too, I bet my hat, about sitting up late and exhausting the nervous faculties."	Often she's talked to you, too, I bet my hat, about sitting up late and exhausting the nervous faculties."	true	1570.4	1576.66	25.582457
2853_164187_000099_000000	Major Flint choked and laughed and inhaled tobacco smoke till he got purple in the face.	Major Flint choked and laughed and inhaled tobacco smoke till he got purple in the face.	true	1577.24	1583.11	26.659517
2853_164187_000100_000000	"And you sitting up one side of the street," he gasped, "pretending to be interested in Roman roads, and me on the other pulling a long face over my diaries, and neither of us with a Roman road or a diary to our names.	"And you sitting up one side of the street," he gasped, "pretending to be interested in Roman roads, and me on the other pulling a long face over my diaries, and neither of us with a Roman road or a diary to our names.	true	1583.42	1598.92	21.407846
2853_164187_000100_000001	Let's have an end to such unsociable arrangements, old friend; you lining your Roman roads and the bottle to lay the dust over to me one night, and I'll bring my diaries and my peg over to you the next.	Let's have an end to such unsociable arrangements, old friend; you lining your Roman roads and the bottle to lay the dust over to me one night, and I'll bring my diaries and my peg over to you the next.	true	1599.2	1611.52	21
2853_164187_000100_000002	Never drink alone--one of my maxims in life--if you can find someone to drink with you.	Never drink alone-one of my maxims in life-if you can find someone to drink with you.	false	1611.68	1618.6	21.044004
2853_164187_000100_000003	And there were you within a few yards of me all the time sitting by your old solitary self, and there was I sitting by my old solitary self, and we each thought the other a serious-minded old buffer, busy on his life-work.	And there were you within a few yards of me all the time sitting by your old solitary self, and there was I sitting by my old solitary self, and we each thought the other a serious minded old buffer, busy on his life work.	false	1618.82	1634.37	20.896765
2853_164187_000100_000004	I'm blessed if I ever heard of two such pompous old frauds as you and I, Captain!	I'm blessed if I ever heard of two such pompous old frauds as you and I, Captain!	true	1634.37	1639.66	23
2853_164187_000100_000005	What a sight of hypocrisy there is in the world, to be sure!	What a sight of hypocrisy there is in the world, to be sure!	true	1640.03	1643.55	16
2853_164187_000100_000006	No offence--mind: I'm as bad as you, and you're as bad as me, and we're both as bad as each other.	No offence-mind: I'm as bad as you, and you're as bad as me, and we're both as bad as each other.	true	1643.55	1648.72	16
2853_164187_000100_000007	But no more solitary confinement of an evening for Benjamin Flint, as long as you're agreeable."	But no more solitary confinement of an evening for Benjamin Flint, as long as you're agreeable."	true	1648.85	1654.96	21.012344
2853_164187_000101_000000	The advent of the taxi was announced, and arm in arm they limped down the steep path together to the road.	The advent of the taxi was announced, and arm in arm they limped down the steep path together to the road.	true	1655.96	1661.78	21.042624
2853_164187_000101_000001	A little way off to the left was the great bunker which, primarily, was the cause of their present amity.	A little way off to the left was the great bunker which, primarily, was the cause of their present amity.	true	1661.78	1668.19	20.65325
2853_164187_000101_000002	As they drove by it, the Major waggled his red hand at it.	As they drove by it, the Major waggled his red hand at it.	false	1668.38	1686.18	17.642233
