2971_4275_000000_000000	I. A DISCUSSION SOMEWHAT IN THE AIR	I. A DISCUSSION SOMEWHAT IN THE AIR	false	22.23	27.4	22.740948
2971_4275_000036_000012	For he hated the cross and every paling is a wall of crosses.	For he hated the cross and every paling is a wall of crosses.	true	1176.83	1182.58	22.574535
2971_4275_000036_000013	When he returned to his house he was a literal madman.	When he returned to his house he was a literal madman.	true	1183.49	1187.5	21.556467
2971_4275_000036_000014	He sat upon a chair and then started up from it for the cross-bars of the carpentry repeated the intolerable image.	He sat upon a chair and then started up from it for the cross bars of the carpentry repeated the intolerable image.	true	1187.99	1197.19	22.297972
2971_4275_000036_000015	He flung himself upon a bed only to remember that this, too, like all workmanlike things, was constructed on the accursed plan.	He flung himself upon a bed only to remember that this, too, like all workmanlike things, was constructed on the accursed plan.	false	1197.71	1207.92	26.25766
2971_4275_000036_000016	He broke his furniture because it was made of crosses.	He broke his furniture because it was made of crosses.	false	1207.92	1212.3	23.595863
2971_4275_000036_000017	He burnt his house because it was made of crosses.	He burnt his house because it was made of crosses.	false	1212.3	1216.63	21.269974
2971_4275_000036_000018	He was found in the river."	He was found in the river."	true	1217.24	1219.72	19.717554
2971_4275_000037_000000	Lucifer was looking at him with a bitten lip.	Lucifer was looking at him with a bitten lip.	true	1220.72	1224.52	23.262556
2971_4275_000038_000000	"Is that story really true?" he asked.	"Is that story really true?" he asked.	true	1224.8	1228.12	23.689016
2971_4275_000039_000000	"Oh, no," said Michael, airily.	"Oh, no," said Michael, airily.	true	1228.7	1230.88	21.438877
2971_4275_000039_000001	"It is a parable.	"It is a parable.	true	1230.88	1232.17	26.819157
2971_4275_000039_000002	It is a parable of you and all your rationalists.	It is a parable of you and all your rationalists.	true	1232.39	1235.32	17.671246
2971_4275_000039_000003	You begin by breaking up the Cross; but you end by breaking up the habitable world.	You begin by breaking up the Cross; but you end by breaking up the habitable world.	false	1235.6	1242.1	24.130121
2971_4275_000039_000004	We leave you saying that nobody ought to join the Church against his will.	We leave you saying that nobody ought to join the Church against his will.	true	1242.92	1247.41	20.767021
2971_4275_000039_000005	When we meet you again you are saying that no one has any will to join it with.	When we meet you again you are saying that no one has any will to join it with.	true	1247.69	1253.02	23.06018
2971_4275_000039_000006	We leave you saying that there is no such place as Eden.	We leave you saying that there is no such place as Eden.	false	1253.51	1256.92	21.481033
2971_4275_000039_000007	We find you saying that there is no such place as Ireland.	We find you saying that there is no such place as Ireland.	true	1257.29	1260.94	20.162432
2971_4275_000039_000008	You start by hating the irrational and you come to hate everything, for everything is irrational and so----"	You start by hating the irrational and you come to hate everything, for everything is irrational and so----"	true	1261.43	1269.87	21.792461
2971_4275_000040_000000	Lucifer leapt upon him with a cry like a wild beast's.	Lucifer leapt upon him with a cry like a wild beast's.	false	1269.87	1274.82	25.709078
2971_4275_000040_000001	"Ah," he screamed, "to every man his madness.	"Ah," he screamed, "to every man his madness.	true	1274.82	1278.55	21.29956
2971_4275_000040_000002	You are mad on the cross.	You are mad on the cross.	true	1278.74	1280.61	24.39789
2971_4275_000040_000003	Let it save you."	Let it save you."	true	1280.61	1282	21.510815
2971_4275_000041_000000	And with a herculean energy he forced the monk backwards out of the reeling car on to the upper part of the stone ball.	And with a herculean energy he forced the monk backwards out of the reeling car on to the upper part of the stone ball.	true	1282.85	1291.6	23.719976
2971_4275_000041_000001	Michael, with as abrupt an agility, caught one of the beams of the cross and saved himself from falling.	Michael, with as abrupt an agility, caught one of the beams of the cross and saved himself from falling.	true	1291.97	1299.16	23.96037
2971_4275_000041_000002	At the same instant Lucifer drove down a lever and the ship shot up with him in it alone.	At the same instant Lucifer drove down a lever and the ship shot up with him in it alone.	true	1299.62	1308.66	24.360022
2971_4275_000042_000000	"Ha! ha!" he yelled, "what sort of a support do you find it, old fellow?"	"Ha! ha!" he yelled, "what sort of a support do you find it, old fellow?"	false	1308.66	1314.91	23.60625
2971_4275_000043_000000	"For practical purposes of support," replied Michael grimly, "it is at any rate a great deal better than the ball.	"For practical purposes of support," replied Michael grimly, "it is at any rate a great deal better than the ball.	true	1315.13	1323.3	23.712025
2971_4275_000043_000001	May I ask if you are going to leave me here?"	May I ask if you are going to leave me here?"	false	1323.3	1326.4	23.91146
2971_4275_000044_000000	"Yes, yes.	"Yes, yes.	true	1326.47	1328.02	21.14362
2971_4275_000044_000001	I mount!	I mount!	true	1328.03	1328.94	23.06028
2971_4275_000044_000002	I mount!" cried the professor in ungovernable excitement.	I mount!" cried the professor in ungovernable excitement.	true	1328.94	1333.53	24.473299
2971_4275_000044_000003	"_Altiora peto_.	"underscore Altiora peto underscore.	false	1333.53	1335.63	24.29885
2971_4275_000044_000004	My path is upward."	My path is upward."	true	1335.63	1337.83	26.364103
2971_4275_000045_000000	"How often have you told me, Professor, that there is really no up or down in space?" said the monk.	"How often have you told me, Professor, that there is really no up or down in space?" said the monk.	true	1338.74	1344.94	24.845428
2971_4275_000045_000001	"I shall mount up as much as you will."	"I shall mount up as much as you will."	true	1345.7	1348.57	24.717234
2971_4275_000046_000000	"Indeed," said Lucifer, leering over the side of the flying ship.	"Indeed," said Lucifer, leering over the side of the flying ship.	true	1348.58	1352.83	21.521797
2971_4275_000046_000001	"May I ask what you are going to do?"	"May I ask what you are going to do?"	true	1353.17	1356.04	22.184246
2971_4275_000047_000000	The monk pointed downward at Ludgate Hill.	The monk pointed downward at Ludgate Hill.	true	1356.65	1359.58	22.84884
2971_4275_000047_000001	"I am going," he said, "to climb up into a star."	"I am going," he said, "to climb up into a star."	true	1359.77	1364.83	24.165815
2971_4275_000048_000000	Those who look at the matter most superficially regard paradox as something which belongs to jesting and light journalism.	Those who look at the matter most superficially regard paradox as something which belongs to jesting and light journalism.	true	1366.16	1374.01	22.997107
2971_4275_000048_000001	Paradox of this kind is to be found in the saying of the dandy, in the decadent comedy, "Life is much too important to be taken seriously." Those who look at the matter a little more deeply or delicately see that paradox is a thing which especially belongs to all religions.	Paradox of this kind is to be found in the saying of the dandy, in the decadent comedy, "Life is much too important to be taken seriously." Those who look at the matter a little more deeply or delicately see that paradox is a thing which especially belongs to all religions.	true	1374.26	1393.78	22.946852
2971_4275_000048_000002	Paradox of this kind is to be found in such a saying as "The meek shall inherit the earth." But those who see and feel the fundamental fact of the matter know that paradox is a thing which belongs not to religion only, but to all vivid and violent practical crises of human living.	Paradox of this kind is to be found in such a saying as "The meek shall inherit the earth." But those who see and feel the fundamental fact of the matter know that paradox is a thing which belongs not to religion only, but to all vivid and violent practical crises of human living.	true	1394.12	1414.3	22.803364
2971_4275_000048_000003	This kind of paradox may be clearly perceived by anybody who happens to be hanging in mid-space, clinging to one arm of the Cross of St. Paul's.	This kind of paradox may be clearly perceived by anybody who happens to be hanging in mid space, clinging to one arm of the Cross of saint Paul's.	true	1414.67	1424.8	23.102524
2971_4275_000049_000000	Father Michael in spite of his years, and in spite of his asceticism (or because of it, for all I know), was a very healthy and happy old gentleman.	Father Michael in spite of his years, and in spite of his asceticism (or because of it, for all I know), was a very healthy and happy old gentleman.	true	1425.47	1433.5	21.881905
2971_4275_000049_000001	And as he swung on a bar above the sickening emptiness of air, he realized, with that sort of dead detachment which belongs to the brains of those in peril, the deathless and hopeless contradiction which is involved in the mere idea of courage.	And as he swung on a bar above the sickening emptiness of air, he realized, with that sort of dead detachment which belongs to the brains of those in peril, the deathless and hopeless contradiction which is involved in the mere idea of courage.	true	1434.02	1451.59	21.21094
2971_4275_000049_000002	He was a happy and healthy old gentleman and therefore he was quite careless about it.	He was a happy and healthy old gentleman and therefore he was quite careless about it.	true	1451.93	1456.84	22.221954
2971_4275_000049_000003	And he felt as every man feels in the taut moment of such terror that his chief danger was terror itself; his only possible strength would be a coolness amounting to carelessness, a carelessness amounting almost to a suicidal swagger.	And he felt as every man feels in the taut moment of such terror that his chief danger was terror itself; his only possible strength would be a coolness amounting to carelessness, a carelessness amounting almost to a suicidal swagger.	true	1457.69	1474.57	21.325615
2971_4275_000049_000004	His one wild chance of coming out safely would be in not too desperately desiring to be safe.	His one wild chance of coming out safely would be in not too desperately desiring to be safe.	true	1475.12	1482.34	26.248323
2971_4275_000049_000005	There might be footholds down that awful facade, if only he could not care whether they were footholds or no.	There might be footholds down that awful facade, if only he could not care whether they were footholds or no	true	1482.77	1491.16	21.483978
2971_4275_000049_000006	If he were foolhardy he might escape; if he were wise he would stop where he was till he dropped from the cross like a stone.	If he were foolhardy he might escape; if he were wise he would stop where he was till he dropped from the cross like a stone.	true	1491.71	1500.55	20.506962
2971_4275_000049_000007	And this antinomy kept on repeating itself in his mind, a contradiction as large and staring as the immense contradiction of the Cross; he remembered having often heard the words, "Whosoever shall lose his life the same shall save it." He remembered with a sort of strange pity that this had always been made to mean that whoever lost his physical life should save his spiritual life.	And this antinomy kept on repeating itself in his mind, a contradiction as large and staring as the immense contradiction of the Cross; he remembered having often heard the words, "Whosoever shall lose his life the same shall save it." He remembered with a sort of strange pity that this had always been made to mean that whoever lost his physical life should save his spiritual life.	false	1501.16	1528.84	20.73961
2971_4275_000049_000008	Now he knew the truth that is known to all fighters, and hunters, and climbers of cliffs.	Now he knew the truth that is known to all fighters, and hunters, and climbers of cliffs.	true	1529.21	1536.28	21.85411
2971_4275_000049_000009	He knew that even his animal life could only be saved by a considerable readiness to lose it.	He knew that even his animal life could only be saved by a considerable readiness to lose it.	true	1536.83	1543.69	21.264238
2971_4275_000050_000000	Some will think it improbable that a human soul swinging desperately in mid-air should think about philosophical inconsistencies.	Some will think it improbable that a human soul swinging desperately in mid-air should think about philosophical inconsistencies.	true	1543.97	1552.48	23.913988
2971_4275_000050_000001	But such extreme states are dangerous things to dogmatize about.	But such extreme states are dangerous things to dogmatize about.	true	1552.88	1557.04	23.45721
2971_4275_000050_000002	Frequently they produce a certain useless and joyless activity of the mere intellect, thought not only divorced from hope but even from desire.	Frequently they produce a certain useless and joyless activity of the mere intellect, thought not only divorced from hope but even from desire.	false	1557.47	1567.78	22.176975
2971_4275_000050_000003	And if it is impossible to dogmatize about such states, it is still more impossible to describe them.	And if it is impossible to dogmatize about such states, it is still more impossible to describe them.	true	1568.15	1575.52	23.063211
2971_4275_000050_000004	To this spasm of sanity and clarity in Michael's mind succeeded a spasm of the elemental terror; the terror of the animal in us which regards the whole universe as its enemy; which, when it is victorious, has no pity, and so, when it is defeated has no imaginable hope.	To this spasm of sanity and clarity in Michael's mind succeeded a spasm of the elemental terror; the terror of the animal in us which regards the whole universe as its enemy; which, when it is victorious, has no pity, and so, when it is defeated has no imaginable hope.	true	1575.98	1597.38	23.032972
2971_4275_000050_000005	Of that ten minutes of terror it is not possible to speak in human words.	Of that ten minutes of terror it is not possible to speak in human words.	false	1597.38	1602.91	22.973059
2971_4275_000050_000006	But then again in that damnable darkness there began to grow a strange dawn as of grey and pale silver.	But then again in that damnable darkness there began to grow a strange dawn as of grey and pale silver.	false	1603.13	1613.14	23.258612
2971_4275_000050_000007	And of this ultimate resignation or certainty it is even less possible to write; it is something stranger than hell itself; it is perhaps the last of the secrets of God.	And of this ultimate resignation or certainty it is even less possible to write; it is something stranger than hell itself; it is perhaps the last of the secrets of God.	true	1613.9	1627.6	22.646246
2971_4275_000050_000008	At the highest crisis of some incurable anguish there will suddenly fall upon the man the stillness of an insane contentment. It is not hope, for hope is broken and romantic and concerned with the future; this is complete and of the present.	At the highest crisis of some incurable anguish there will suddenly fall upon the man the stillness of an insane contentment. It is not hope, for hope is broken and romantic and concerned with the future; this is complete and of the present.	true	1627.88	1647.52	23.062431
2971_4275_000050_000009	It is not faith, for faith by its very nature is fierce, and as it were at once doubtful and defiant; but this is simply a satisfaction.	It is not faith, for faith by its very nature is fierce, and as it were at once doubtful and defiant; but this is simply a satisfaction.	false	1647.83	1658.11	22.886076
2971_4275_000050_000010	It is not knowledge, for the intellect seems to have no particular part in it.	It is not knowledge, for the intellect seems to have no particular part in it.	true	1658.54	1663.72	20.903206
2971_4275_000050_000011	Nor is it (as the modern idiots would certainly say it is) a mere numbness or negative paralysis of the powers of grief.	Nor is it (as the modern idiots would certainly say it is) a mere numbness or negative paralysis of the powers of grief.	true	1664.06	1672.66	21.59946
2971_4275_000050_000012	It is not negative in the least; it is as positive as good news.	It is not negative in the least; it is as positive as good news.	true	1673	1678.26	24.47922
2971_4275_000050_000013	In some sense, indeed, it is good news.	In some sense, indeed, it is good news.	false	1678.26	1681.42	24.050623
2971_4275_000050_000014	It seems almost as if there were some equality among things, some balance in all possible contingencies which we are not permitted to know lest we should learn indifference to good and evil, but which is sometimes shown to us for an instant as a last aid in our last agony.	It seems almost as if there were some equality among things, some balance in all possible contingencies which we are not permitted to know lest we should learn indifference to good and evil, but which is sometimes shown to us for an instant as a last aid in our last agony.	true	1681.82	1700.5	21.863815
2971_4275_000051_000000	Michael certainly could not have given any sort of rational account of this vast unmeaning satisfaction which soaked through him and filled him to the brim.	Michael certainly could not have given any sort of rational account of this vast unmeaning satisfaction which soaked through him and filled him to the brim.	true	1701.02	1711.69	21.379261
2971_4275_000051_000001	He felt with a sort of half-witted lucidity that the cross was there, and the ball was there, and the dome was there, that he was going to climb down from them, and that he did not mind in the least whether he was killed or not.	He felt with a sort of half witted lucidity that the cross was there, and the ball was there, and the dome was there, that he was going to climb down from them, and that he did not mind in the least whether he was killed or not.	true	1712.06	1726.69	21.522154
2971_4275_000051_000002	This mysterious mood lasted long enough to start him on his dreadful descent and to force him to continue it.	This mysterious mood lasted long enough to start him on his dreadful descent and to force him to continue it.	true	1726.85	1734.31	25.907759
2971_4275_000051_000003	But six times before he reached the highest of the outer galleries terror had returned on him like a flying storm of darkness and thunder.	But six times before he reached the highest of the outer galleries terror had returned on him like a flying storm of darkness and thunder.	false	1734.74	1744.45	22.889551
2971_4275_000051_000004	By the time he had reached that place of safety he almost felt (as in some impossible fit of drunkenness) that he had two heads; one was calm, careless, and efficient; the other saw the danger like a deadly map, was wise, careful, and useless.	By the time he had reached that place of safety he almost felt (as in some impossible fit of drunkenness) that he had two heads; one was calm, careless, and efficient; the other saw the danger like a deadly map, was wise, careful, and useless.	true	1745.18	1762.36	21.384298
2971_4275_000051_000005	He had fancied that he would have to let himself vertically down the face of the whole building.	He had fancied that he would have to let himself vertically down the face of the whole building.	true	1762.79	1768.66	22.990477
2971_4275_000051_000006	When he dropped into the upper gallery he still felt as far from the terrestrial globe as if he had only dropped from the sun to the moon.	When he dropped into the upper gallery he still felt as far from the terrestrial globe as if he had only dropped from the sun to the moon.	true	1769.24	1778.65	24.45228
2971_4275_000051_000007	He paused a little, panting in the gallery under the ball, and idly kicked his heels, moving a few yards along it.	He paused a little, panting in the gallery under the ball, and idly kicked his heels, moving a few yards along it.	true	1779.26	1787.74	23.031073
2971_4275_000051_000008	And as he did so a thunderbolt struck his soul. A man, a heavy, ordinary man, with a composed indifferent face, and a prosaic sort of uniform, with a row of buttons, blocked his way.	And as he did so a thunderbolt struck his soul. A man, a heavy, ordinary man, with a composed indifferent face, and a prosaic sort of uniform, with a row of buttons, blocked his way.	true	1788.41	1804.66	24.10525
2971_4275_000051_000009	Michael had no mind to wonder whether this solid astonished man, with the brown moustache and the nickel buttons, had also come on a flying ship.	Michael had no mind to wonder whether this solid astonished man, with the brown moustache and the nickel buttons, had also come on a flying ship.	false	1805.18	1814.86	23.21518
2971_4275_000051_000010	He merely let his mind float in an endless felicity about the man.	He merely let his mind float in an endless felicity about the man.	true	1815.05	1819.84	22.468094
2971_4275_000051_000011	He thought how nice it would be if he had to live up in that gallery with that one man for ever.	He thought how nice it would be if he had to live up in that gallery with that one man for ever.	false	1820.51	1827.97	23.296013
2971_4275_000051_000012	He thought how he would luxuriate in the nameless shades of this man's soul and then hear with an endless excitement about the nameless shades of the souls of all his aunts and uncles.	He thought how he would luxuriate in the nameless shades of this man's soul and then hear with an endless excitement about the nameless shades of the souls of all his aunts and uncles.	false	1828.28	1841.05	19.926195
2971_4275_000051_000013	A moment before he had been dying alone.	A moment before he had been dying alone.	true	1841.57	1844.26	21.356306
2971_4275_000051_000014	Now he was living in the same world with a man; an inexhaustible ecstasy.	Now he was living in the same world with a man; an inexhaustible ecstasy.	false	1844.48	1849.84	22.917831
2971_4275_000051_000015	In the gallery below the ball Father Michael had found that man who is the noblest and most divine and most lovable of all men, better than all the saints, greater than all the heroes--man Friday.	In the gallery below the ball Father Michael had found that man who is the noblest and most divine and most lovable of all men, better than all the saints, greater than all the heroes-man Friday.	true	1850.3	1863.28	20.5047
2971_4275_000052_000000	In the confused colour and music of his new paradise, Michael heard only in a faint and distant fashion some remarks that this beautiful solid man seemed to be making to him; remarks about something or other being after hours and against orders.	In the confused colour and music of his new paradise, Michael heard only in a faint and distant fashion some remarks that this beautiful solid man seemed to be making to him; remarks about something or other being after hours and against orders.	false	1864.31	1881.37	24.237658
2971_4275_000052_000001	He also seemed to be asking how Michael "got up" there.	He also seemed to be asking how Michael "got up" there.	true	1881.56	1886.08	26.794231
2971_4275_000052_000002	This beautiful man evidently felt as Michael did that the earth was a star and was set in heaven.	This beautiful man evidently felt as Michael did that the earth was a star and was set in heaven.	true	1886.48	1893.61	22.469854
2971_4275_000053_000000	At length Michael sated himself with the mere sensual music of the voice of the man in buttons.	At length Michael sated himself with the mere sensual music of the voice of the man in buttons.	true	1894.25	1900.57	23.508596
2971_4275_000053_000001	He began to listen to what he said, and even to make some attempt at answering a question which appeared to have been put several times and was now put with some excess of emphasis.	He began to listen to what he said, and even to make some attempt at answering a question which appeared to have been put several times and was now put with some excess of emphasis.	false	1901.12	1914.28	23.57653
2971_4275_000053_000002	Michael realized that the image of God in nickel buttons was asking him how he had come there.	Michael realized that the image of God in nickel buttons was asking him how he had come there.	true	1915.01	1920.79	22.638376
2971_4275_000053_000003	He said that he had come in Lucifer's ship.	He said that he had come in Lucifer's ship.	false	1921.31	1924.51	23.69979
2971_4275_000053_000004	On his giving this answer the demeanour of the image of God underwent a remarkable change.	On his giving this answer the demeanour of the image of God underwent a remarkable change.	true	1925.03	1930.75	23.155424
2971_4275_000053_000005	From addressing Michael gruffly, as if he were a malefactor, he began suddenly to speak to him with a sort of eager and feverish amiability as if he were a child.	From addressing Michael gruffly, as if he were a malefactor, he began suddenly to speak to him with a sort of eager and feverish amiability as if he were a child.	false	1931.15	1944.4	23.209122
2971_4275_000053_000006	He seemed particularly anxious to coax him away from the balustrade.	He seemed particularly anxious to coax him away from the balustrade.	true	1944.65	1949.38	24.682451
2971_4275_000053_000007	He led him by the arm towards a door leading into the building itself, soothing him all the time.	He led him by the arm towards a door leading into the building itself, soothing him all the time.	true	1949.93	1956.07	22.460775
2971_4275_000053_000008	He gave what even Michael (slight as was his knowledge of the world) felt to be an improbable account of the sumptuous pleasures and varied advantages awaiting him downstairs.	He gave what even Michael (slight as was his knowledge of the world) felt to be an improbable account of the sumptuous pleasures and varied advantages awaiting him downstairs.	false	1956.47	1966.96	18.179993
2971_4275_000053_000009	Michael followed him, however, if only out of politeness, down an apparently interminable spiral of staircase.	Michael followed him, however, if only out of politeness, down an apparently interminable spiral of staircase.	true	1967.24	1974.79	24.141909
2971_4275_000053_000010	At one point a door opened.	At one point a door opened.	true	1975.37	1977.37	28.02479
2971_4275_000053_000011	Michael stepped through it, and the unaccountable man in buttons leapt after him and pinioned him where he stood.	Michael stepped through it, and the unaccountable man in buttons leapt after him and pinioned him where he stood.	false	1977.74	1985.26	23.865725
2971_4275_000053_000012	But he only wished to stand; to stand and stare. He had stepped as it were into another infinity, out under the dome of another heaven.	But he only wished to stand; to stand and stare. He had stepped as it were into another infinity, out under the dome of another heaven.	true	1985.48	1996.54	23.203728
2971_4275_000053_000013	But this was a dome of heaven made by man.	But this was a dome of heaven made by man.	true	1996.94	2000.17	23.257544
2971_4275_000053_000014	The gold and green and crimson of its sunset were not in the shapeless clouds but in shapes of cherubim and seraphim, awful human shapes with a passionate plumage.	The gold and green and crimson of its sunset were not in the shapeless clouds but in shapes of cherubim and seraphim, awful human shapes with a passionate plumage.	false	2000.72	2013.3	22.907043
2971_4275_000053_000015	Its stars were not above but far below, like fallen stars still in unbroken constellations; the dome itself was full of darkness. And far below, lower even than the lights, could be seen creeping or motionless, great black masses of men.	Its stars were not above but far below, like fallen stars still in unbroken constellations; the dome itself was full of darkness. And far below, lower even than the lights, could be seen creeping or motionless, great black masses of men.	false	2013.3	2033.44	21.598103
2971_4275_000053_000016	The tongue of a terrible organ seemed to shake the very air in the whole void; and through it there came up to Michael the sound of a tongue more terrible; the dreadful everlasting voice of man, calling to his gods from the beginning to the end of the world.	The tongue of a terrible organ seemed to shake the very air in the whole void; and through it there came up to Michael the sound of a tongue more terrible; the dreadful everlasting voice of man, calling to his gods from the beginning to the end of the world.	false	2033.84	2051.59	24.232782
2971_4275_000053_000017	Michael felt almost as if he were a god, and all the voices were hurled at him.	Michael felt almost as if he were a god, and all the voices were hurled at him.	true	2051.75	2058.07	22.1229
2971_4275_000054_000000	"No, the pretty things aren't here," said the demi-god in buttons, caressingly.	"No, the pretty things aren't here," said the demi god in buttons, caressingly.	true	2059.37	2064.37	24.844734
2971_4275_000054_000001	"The pretty things are downstairs.	"The pretty things are downstairs.	true	2064.53	2067.07	27.036922
2971_4275_000054_000002	You come along with me. There's something that will surprise you downstairs; something you want very much to see."	You come along with me. There's something that will surprise you downstairs; something you want very much to see."	false	2067.11	2074.8	22.488197
2971_4275_000055_000000	Evidently the man in buttons did not feel like a god, so Michael made no attempt to explain his feelings to him, but followed him meekly enough down the trail of the serpentine staircase.	Evidently the man in buttons did not feel like a god, so Michael made no attempt to explain his feelings to him, but followed him meekly enough down the trail of the serpentine staircase.	true	2074.8	2087.26	22.408022
2971_4275_000055_000001	He had no notion where or at what level he was.	He had no notion where or at what level he was.	true	2087.48	2091.25	23.98579
2971_4275_000055_000002	He was still full of the cold splendour of space, and of what a French writer has brilliantly named the "vertigo of the infinite," when another door opened, and with a shock indescribable he found himself on the familiar level, in a street full of faces, with the houses and even the lamp-posts above his head.	He was still full of the cold splendour of space, and of what a French writer has brilliantly named the "vertigo of the infinite," when another door opened, and with a shock indescribable he found himself on the familiar level, in a street full of faces, with the houses and even the lamp posts above his head.	false	2091.53	2115.55	23.101301
2971_4275_000055_000003	He felt suddenly happy and suddenly indescribably small.	He felt suddenly happy and suddenly indescribably small.	true	2115.8	2120.47	20.555466
2971_4275_000055_000004	He fancied he had been changed into a child again; his eyes sought the pavement seriously as children's do, as if it were a thing with which something satisfactory could be done. He felt the full warmth of that pleasure from which the proud shut themselves out; the pleasure which not only goes with humiliation, but which almost is humiliation.	He fancied he had been changed into a child again; his eyes sought the pavement seriously as children's do, as if it were a thing with which something satisfactory could be done. He felt the full warmth of that pleasure from which the proud shut themselves out; the pleasure which not only goes with humiliation, but which almost is humiliation.	false	2120.69	2147.05	21.482485
2971_4275_000055_000005	Men who have escaped death by a hair have it, and men whose love is returned by a woman unexpectedly, and men whose sins are forgiven them.	Men who have escaped death by a hair have it, and men whose love is returned by a woman unexpectedly, and men whose sins are forgiven them.	true	2147.42	2157.79	20.936506
2971_4275_000055_000006	Everything his eye fell on it feasted on, not aesthetically, but with a plain, jolly appetite as of a boy eating buns.	Everything his eye fell on it feasted on, not aesthetically, but with a plain, jolly appetite as of a boy eating buns.	true	2158.58	2168.71	22.851368
2971_4275_000055_000007	He relished the squareness of the houses; he liked their clean angles as if he had just cut them with a knife.	He relished the squareness of the houses; he liked their clean angles as if he had just cut them with a knife.	true	2169.05	2176.27	23.464933
2971_4275_000055_000008	The lit squares of the shop windows excited him as the young are excited by the lit stage of some promising pantomime.	The lit squares of the shop windows excited him as the young are excited by the lit stage of some promising pantomime.	true	2176.88	2185.15	25.837242
2971_4275_000055_000009	He happened to see in one shop which projected with a bulging bravery on to the pavement some square tins of potted meat, and it seemed like a hint of a hundred hilarious high teas in a hundred streets of the world.	He happened to see in one shop which projected with a bulging bravery on to the pavement some square tins of potted meat, and it seemed like a hint of a hundred hilarious high teas in a hundred streets of the world.	true	2186.21	2201.14	23.123016
2971_4275_000055_000010	He was, perhaps, the happiest of all the children of men.	He was, perhaps, the happiest of all the children of men.	true	2201.48	2206.18	25.082016
2971_4275_000055_000011	For in that unendurable instant when he hung, half slipping, to the ball of St. Paul's, the whole universe had been destroyed and re-created.	For in that unendurable instant when he hung, half slipping, to the ball of saint Paul's, the whole universe had been destroyed and re created.	true	2206.67	2218.77	23.826803
2971_4275_000056_000000	Suddenly through all the din of the dark streets came a crash of glass. With that mysterious suddenness of the Cockney mob, a rush was made in the right direction, a dingy office, next to the shop of the potted meat.	Suddenly through all the din of the dark streets came a crash of glass. With that mysterious suddenness of the Cockney mob, a rush was made in the right direction, a dingy office, next to the shop of the potted meat.	false	2218.77	2234.7	23.384653
2971_4275_000056_000001	The pane of glass was lying in splinters about the pavement.	The pane of glass was lying in splinters about the pavement.	false	2234.7	2239.06	25.485687
2971_4275_000056_000002	And the police already had their hands on a very tall young man, with dark, lank hair and dark, dazed eyes, with a grey plaid over his shoulder, who had just smashed the shop window with a single blow of his stick.	And the police already had their hands on a very tall young man, with dark, lank hair and dark, dazed eyes, with a grey plaid over his shoulder, who had just smashed the shop window with a single blow of his stick.	true	2239.22	2256.54	22.117653
2971_4275_000057_000000	"I'd do it again," said the young man, with a furious white face. "Anybody would have done it.	"I'd do it again," said the young man, with a furious white face. "Anybody would have done it.	false	2256.54	2262.01	22.559923
2971_4275_000057_000001	Did you see what it said?	Did you see what it said?	true	2262.08	2263.81	20.061998
2971_4275_000057_000002	I swear I'd do it again." Then his eyes encountered the monkish habit of Michael, and he pulled off his grey tam-o'-shanter with the gesture of a Catholic.	I swear I'd do it again." Then his eyes encountered the monkish habit of Michael, and he pulled off his grey tam o'-shanter with the gesture of a Catholic.	false	2263.91	2275.15	24.388805
2971_4275_000058_000000	"Father, did you see what they said?" he cried, trembling.	"Father, did you see what they said?" he cried, trembling.	true	2275.76	2280.22	24.331017
2971_4275_000058_000001	"Did you see what they dared to say?	"Did you see what they dared to say?	true	2280.29	2282.98	22.5985
2971_4275_000058_000002	I didn't understand it at first.	I didn't understand it at first.	true	2283.2	2285.11	21.357815
2971_4275_000058_000003	I read it half through before I broke the window."	I read it half through before I broke the window."	true	2285.12	2288.47	21.123075
2971_4275_000059_000000	Michael felt he knew not how.	Michael felt he knew not how.	true	2288.72	2291.05	23.381405
2971_4275_000059_000001	The whole peace of the world was pent up painfully in his heart.	The whole peace of the world was pent up painfully in his heart.	true	2291.39	2295.49	22.94825
2971_4275_000059_000002	The new and childlike world which he had seen so suddenly, men had not seen at all.	The new and childlike world which he had seen so suddenly, men had not seen at all.	true	2295.8	2301.73	21.122171
2971_4275_000059_000003	Here they were still at their old bewildering, pardonable, useless quarrels, with so much to be said on both sides, and so little that need be said at all.	Here they were still at their old bewildering, pardonable, useless quarrels, with so much to be said on both sides, and so little that need be said at all.	true	2302.04	2313.13	20.170979
2971_4275_000059_000004	A fierce inspiration fell on him suddenly; he would strike them where they stood with the love of God.	A fierce inspiration fell on him suddenly; he would strike them where they stood with the love of God.	false	2313.44	2321.26	22.8039
2971_4275_000059_000005	They should not move till they saw their own sweet and startling existence.	They should not move till they saw their own sweet and startling existence.	true	2321.75	2327.44	20.51068
2971_4275_000059_000006	They should not go from that place till they went home embracing like brothers and shouting like men delivered.	They should not go from that place till they went home embracing like brothers and shouting like men delivered.	true	2327.9	2334.79	22.711916
2971_4275_000059_000007	From the Cross from which he had fallen fell the shadow of its fantastic mercy; and the first three words he spoke in a voice like a silver trumpet, held men as still as stones.	From the Cross from which he had fallen fell the shadow of its fantastic mercy; and the first three words he spoke in a voice like a silver trumpet, held men as still as stones.	false	2335.25	2348.62	20.730436
