5918_46890_000000_000000	CHAPTER TEN.	CHAPTER TEN.	true	18.27	19.36	25.847464
5918_46890_000059_000000	This was good advice, and I at once proceeded to adopt it, cautioning Bob to be sure to call me without delay in the event of any further complication arising.	This was good advice, and I at once proceeded to adopt it, cautioning Bob to be sure to call me without delay in the event of any further complication arising.	false	977.18	985.96	22.558235
5918_46890_000060_000000	I had not been below above two minutes when I heard his voice shouting to me to come on deck again.	I had not been below above two minutes when I heard his voice shouting to me to come on deck again.	true	985.97	991.3	21.84296
5918_46890_000060_000001	Wondering what was now in the wind, I sprang up the short companion-ladder, and my eye at once falling upon the brig (which was now dead astern of us, heading in the same direction as ourselves, though not lying so close to the wind), I saw in a moment that our troubles were not yet by any means over.	Wondering what was now in the wind, I sprang up the short companion ladder, and my eye at once falling upon the brig (which was now dead astern of us, heading in the same direction as ourselves, though not lying so close to the wind), I saw in a moment that our troubles were not yet by any means over.	true	991.73	1009.12	23.010252
5918_46890_000061_000000	The wind had by this time fallen so light that we were not making above three knots' way through the water, whilst the pirate appeared barely to have steerage-way--in fact, his canvas was flapping to the mast with every sluggish roll which the vessel took over the long, scarcely perceptible swell.	The wind had by this time fallen so light that we were not making above three knots' way through the water, whilst the pirate appeared barely to have steerage way-in fact, his canvas was flapping to the mast with every sluggish roll which the vessel took over the long, scarcely perceptible swell.	true	1009.52	1026.49	22.436
5918_46890_000062_000000	Friend Johnson was evidently greatly nettled at our having slipped so handsomely through his fingers as we had, and seemed determined to have a word or two with us yet, whether we would or no; for he had lowered one of his boats, and she was just leaving the vessel in chase.	Friend Johnson was evidently greatly nettled at our having slipped so handsomely through his fingers as we had, and seemed determined to have a word or two with us yet, whether we would or no; for he had lowered one of his boats, and she was just leaving the vessel in chase.	true	1028.03	1043.38	22.327223
5918_46890_000063_000000	I took the glass, and counted six men at the oars, besides one or two (I could not be sure which) in the stern-sheets.	I took the glass, and counted six men at the oars, besides one or two (I could not be sure which) in the stern sheets.	true	1043.99	1050.49	26.230011
5918_46890_000064_000000	This was serious indeed; for a light boat, propelled by six good oarsmen, would go about two feet to our one at our then rate of sailing, and must necessarily soon overhaul us.	This was serious indeed; for a light boat, propelled by six good oarsmen, would go about two feet to our one at our then rate of sailing, and must necessarily soon overhaul us.	true	1051.19	1062.7	21.98774
5918_46890_000065_000000	Our case appeared pretty nearly desperate; but a seaman never gives up "whilst there is a shot in the locker," or a fresh expedient to be tried.	Our case appeared pretty nearly desperate; but a seaman never gives up "whilst there is a shot in the locker," or a fresh expedient to be tried.	true	1063.49	1071.85	23.293655
5918_46890_000065_000001	So I directed Bob to keep the cutter away about three points, and then lash the tiller, and lend me a hand to get our balloon canvas set.	So I directed Bob to keep the cutter away about three points, and then lash the tiller, and lend me a hand to get our balloon canvas set.	true	1072.16	1080.16	23.927853
5918_46890_000066_000000	The topsail was shifted in next to no time, and then we got the spinnaker to the bowsprit-end, leading the sheet aft to the main-boom; after which we took in our jib and stopped it along the bowsprit, ready for setting again at a moment's notice, and hauled down our staysail.	The topsail was shifted in next to no time, and then we got the spinnaker to the bowsprit end, leading the sheet aft to the main boom; after which we took in our jib and stopped it along the bowsprit, ready for setting again at a moment's notice, and hauled down our staysail.	false	1080.17	1096.3	22.879078
5918_46890_000067_000000	This additional spread of canvas, coupled with the fact that we were running far enough off the wind to permit of its drawing well, made a perceptible difference in our speed--quite a knot, I considered, and Bob agreed with me.	This additional spread of canvas, coupled with the fact that we were running far enough off the wind to permit of its drawing well, made a perceptible difference in our speed-quite a knot, I considered, and Bob agreed with me.	true	1096.55	1108.87	23.737206
5918_46890_000068_000000	"Now, what's the next thing to be done, Harry?" inquired he, as _soon_ as we had completed our task of shifting the sails.	"Now, what's the next thing to be done, Harry?" inquired he, as underscore soon underscore as we had completed our task of shifting the sails.	false	1108.88	1115.17	20.384308
5918_46890_000068_000001	"This is all very well as far as it goes, but yon boat is overhauling us at every stroke of the oars, and we've only _postponed_ the pleasure of an introduction to the chaps, unless the breeze happens to freshen up a trifle, of which I sees no signs just at present."	"This is all very well as far as it goes, but yon boat is overhauling us at every stroke of the oars, and we've only underscore postponed underscore the pleasure of an introduction to the chaps, unless the breeze happens to freshen up a trifle, of which I sees no signs just at present."	false	1115.24	1128.91	20.99633
5918_46890_000069_000000	"I've made up my mind," I replied.	"I've made up my mind," I replied.	false	1129.61	1132.03	24.81161
5918_46890_000069_000001	"We _must not_ be taken, Bob.	"We underscore must not underscore be taken, Bob.	false	1132.37	1134.67	22.9468
5918_46890_000069_000002	I feel convinced that our lives would not be worth an hour's purchase if we fell into the hands of that villain; but, even supposing he _were_ to stop short of murder, his malignity would doubtless prompt him to destroy the little _Lily_; and by such an act all our past efforts would be nullified, and our future success rendered extremely doubtful.	I feel convinced that our lives would not be worth an hour's purchase if we fell into the hands of that villain; but, even supposing he underscore were underscore to stop short of murder, his malignity would doubtless prompt him to destroy the little underscore Lily underscore; and by such an act all our past efforts would be nullified, and our future success rendered extremely doubtful.	false	1134.74	1155.37	22.72483
5918_46890_000069_000003	We must _fight_, Robert, my man, now that we can no longer run; so let's get our gun up and rigged without further delay.	We must underscore fight underscore, Robert, my man, now that we can no longer run; so let's get our gun up and rigged without further delay.	false	1155.41	1162.93	24.654924
5918_46890_000069_000004	By the time that we have it ready, they will be within range; and I think we may persuade them to turn back yet."	By the time that we have it ready, they will be within range; and I think we may persuade them to turn back yet."	true	1163	1169.17	22.664757
5918_46890_000070_000000	"So be it," replied Bob gleefully.	"So be it," replied Bob gleefully.	true	1169.96	1172.68	25.59385
5918_46890_000070_000001	"I'd always rather fight than run away, Harry, lad--at least, when it's anything like a fair match; so let's rouse up the pop-gun and have a shy at 'em."	"I'd always rather fight than run away, Harry, lad-at least, when it's anything like a fair match; so let's rouse up the pop gun and have a shy at 'em."	false	1172.72	1182.06	22.124203
5918_46890_000071_000000	This gun was, as I think I have mentioned before, a four-pound rifled piece, which was specially made to my order by an eminent firm.	This gun was, as I think I have mentioned before, a four pound rifled piece, which was specially made to my order by an eminent firm.	true	1182.06	1190.29	22.910618
5918_46890_000071_000001	It was a most beautiful little weapon, exquisitely finished; was a breech- loader, and threw a solid shot about a mile, and a shell nearly half as far again.	It was a most beautiful little weapon, exquisitely finished; was a breech loader, and threw a solid shot about a mile, and a shell nearly half as far again.	true	1190.57	1199.95	21.71804
5918_46890_000071_000002	It was mounted on a swivel or pivot, which we had the means of firmly fixing to the deck.	It was mounted on a swivel or pivot, which we had the means of firmly fixing to the deck.	true	1200.2	1205.47	21.509998
5918_46890_000072_000000	We got it out and upon deck, and soon had it mounted and ready for service.	We got it out and upon deck, and soon had it mounted and ready for service.	true	1205.84	1210.27	22.173325
5918_46890_000072_000001	Bob took the tiller, desiring me to work the gun, as I was not only a more practised artillerist than he, but knew also how to handle a breech-loader, and I had the knack somehow of shooting straight.	Bob took the tiller, desiring me to work the gun, as I was not only a more practised artillerist than he, but knew also how to handle a breech loader, and I had the knack somehow of shooting straight.	true	1210.31	1222	23.285332
5918_46890_000073_000000	I had it loaded, and was in the act of levelling it, when Bob said, "Suppose we was to let them chaps get a bit nearer, Hal, afore we opens fire.	I had it loaded, and was in the act of levelling it, when Bob said, "Suppose we was to let them chaps get a bit nearer, Hal, afore we opens fire.	true	1222.19	1231.78	24.15906
5918_46890_000073_000001	I've a notion that if we gets 'em well away from the brig, and well within range of our little barker there, we might give 'em such a peppering afore they could get clear of us ag'in as would sicken 'em of having any more to do with us.	I've a notion that if we gets 'em well away from the brig, and well within range of our little barker there, we might give 'em such a peppering afore they could get clear of us ag'in as would sicken 'em of having any more to do with us.	false	1232.09	1243.75	22.596708
5918_46890_000073_000002	Perhaps it mightn't be quite onpossible to destr'y the boat altogether, and then there's seven or eight good hands wiped off the chap's books.	Perhaps it mightn't be quite onpossible to destr'y the boat altogether, and then there's seven or eight good hands wiped off the chap's books.	false	1244.48	1252	24.59996
5918_46890_000073_000003	This here ain't like a ordinary enemy, you see, lad--he's a sort of general enemy to all mankind; and the more harm we can do to _him_, the more good we'll be doing the rest of the world."	This here ain't like a ordinary enemy, you see, lad-he's a sort of general enemy to all mankind; and the more harm we can do to underscore him underscore, the more good we'll be doing the rest of the world."	false	1252.31	1263.46	23.57474
5918_46890_000074_000000	It sounded rather like cold-blooded barbarity, this proposal of Bob's to attempt the _destruction_ instead of the _repulse of_ the boat in pursuit of us, but every word he said in support of his proposition was strictly true; and indeed some such idea had been present in my own mind, so I withheld my fire for a time.	It sounded rather like cold blooded barbarity, this proposal of Bob's to attempt the underscore destruction underscore instead of the underscore repulse of underscore the boat in pursuit of us, but every word he said in support of his proposition was strictly true; and indeed some such idea had been present in my own mind, so I withheld my fire for a time.	false	1264.28	1283.8	21.900347
5918_46890_000075_000000	At length, however, they were within half a mile of us, and I thought we might now fairly commence operations.	At length, however, they were within half a mile of us, and I thought we might now fairly commence operations.	true	1284.77	1291.45	23.014183
5918_46890_000075_000001	I carefully levelled the piece accordingly, and desiring Bob to sit well out of the line of fire and steer as steadily as possible, I watched the heave of the cutter, and pulled the trigger-line.	I carefully levelled the piece accordingly, and desiring Bob to sit well out of the line of fire and steer as steadily as possible, I watched the heave of the cutter, and pulled the trigger line.	true	1291.7	1302.46	22.570793
5918_46890_000076_000000	The shot sped straight for the boat, but, striking the water just before it reached her, bounded clear over her and into the sea beyond.	The shot sped straight for the boat, but, striking the water just before it reached her, bounded clear over her and into the sea beyond.	true	1302.86	1310.26	24.764654
5918_46890_000076_000001	There was a shout from the people in the boat, and we could see that they stretched to their oars with doubled exertion.	There was a shout from the people in the boat, and we could see that they stretched to their oars with doubled exertion.	false	1310.75	1316.29	25.931843
5918_46890_000077_000000	"Straight as it could go, Harry, lad, but _rather_ too much elevation; try 'em again, boy, and look smart about it too, for they're giving way as if the devil was behind 'em."	"Straight as it could go, Harry, lad, but underscore rather underscore too much elevation; try 'em again, boy, and look smart about it too, for they're giving way as if the devil was behind 'em."	false	1317.2	1326.87	24.249475
5918_46890_000078_000000	"Which he probably _is_, if they did but know it, Bob," returned I. "Keep cool, old man; there's no hurry; you attend to the steering of the craft, I'll undertake to cool their courage for them before they're very much older."	"Which he probably underscore is underscore, if they did but know it, Bob," returned i "Keep cool, old man; there's no hurry; you attend to the steering of the craft, I'll undertake to cool their courage for them before they're very much older."	false	1326.87	1339.32	24.758451
5918_46890_000079_000000	"Ay, ay," retorted Bob, "keep cool it is; but it's getting to be rather ticklish work, lad, ain't it?"	"Ay, ay," retorted Bob, "keep cool it is; but it's getting to be rather ticklish work, lad, ain't it?"	false	1339.32	1346.08	23.886118
5918_46890_000080_000000	I was too busy with the gun to reply just then, and in another moment I fired once more.	I was too busy with the gun to reply just then, and in another moment I fired once more.	true	1346.54	1352.35	24.377525
5918_46890_000080_000001	This time we saw the splinters fly from the bows of the boat, and one of the oarsmen sprang from his seat and fell back into the arms of the man behind him.	This time we saw the splinters fly from the bows of the boat, and one of the oarsmen sprang from his seat and fell back into the arms of the man behind him.	false	1352.81	1361.53	22.35301
5918_46890_000081_000000	There was a moment of confusion with them, and then we saw one of the men in the stern-sheets (there _were_ two of them) step along the thwarts and take the injured man's place.	There was a moment of confusion with them, and then we saw one of the men in the stern sheets (there underscore were underscore two of them) step along the thwarts and take the injured man's place.	false	1361.81	1370.62	23.209183
5918_46890_000081_000001	This looked like a fixed determination to come alongside at any price, so I this time inserted a shell instead of a solid shot, which I had before been firing.	This looked like a fixed determination to come alongside at any price, so I this time inserted a shell instead of a solid shot, which I had before been firing.	true	1371.26	1381.3	24.514418
5918_46890_000082_000000	Once more, after a very careful aim, the little piece rang out, and again the shot reached its mark; this time with terrible effect, for the shell exploded as it passed through the boat's thin planking, and the fragments, continuing their flight forward, told so severely among the crew, that it appeared as if they were _all_ more or less hurt.	Once more, after a very careful aim, the little piece rang out, and again the shot reached its mark; this time with terrible effect, for the shell exploded as it passed through the boat's thin planking, and the fragments, continuing their flight forward, told so severely among the crew, that it appeared as if they were underscore all underscore more or less hurt.	false	1381.7	1402.42	22.86184
5918_46890_000082_000001	We saw four fall from the thwarts, at all events, and all hands ceased pulling, whilst three of the oars slipped unnoticed overboard.	We saw four fall from the thwarts, at all events, and all hands ceased pulling, whilst three of the oars slipped unnoticed overboard.	true	1402.42	1410.85	20.160206
5918_46890_000083_000000	I unrove the spinnaker-sheet from the main-boom before the astonished Bob knew what I was about, let go the halliards, and let the sail down by the run; and then jumped to the jib halliards and hoisted the sail like lightning.	I unrove the spinnaker sheet from the main boom before the astonished Bob knew what I was about, let go the halliards, and let the sail down by the run; and then jumped to the jib halliards and hoisted the sail like lightning.	false	1411.4	1423.27	22.425682
5918_46890_000084_000000	"Now," shouted I, "luff you may, Bob, and let's heave the craft to, and finish the job for them."	"Now," shouted I, "luff you may, Bob, and let's heave the craft to, and finish the job for them."	true	1423.64	1429.93	22.478844
5918_46890_000085_000000	As I said this, Bob put his helm down, whilst I hauled the jib-sheet to windward, and then I sprang aft again to the gun.	As I said this, Bob put his helm down, whilst I hauled the jib sheet to windward, and then I sprang aft again to the gun.	true	1430.45	1437.94	24.756887
5918_46890_000086_000000	By this time they had taken to their oars again, but there were only two of them pulling: a sure indication of the extent to which our last shot had told.	By this time they had taken to their oars again, but there were only two of them pulling: a sure indication of the extent to which our last shot had told.	true	1438.04	1446.67	21.92011
5918_46890_000086_000001	They were turning the boat round to pull back to the ship, and seeing this I felt some compunction about firing on them again, and said so.	They were turning the boat round to pull back to the ship, and seeing this I felt some compunction about firing on them again, and said so.	true	1446.98	1454.59	23.844797
5918_46890_000087_000000	"Don't be such a soft-hearted donkey, Harry, lad," retorted Bob. "Settle the whole lot if you can, boy; it'll only be so many skulking cut-throats the less in the world.	"Don't be such a soft hearted donkey, Harry, lad," retorted Bob. "Settle the whole lot if you can, boy; it'll only be so many skulking cut throats the less in the world.	true	1455.68	1465.71	24.343868
5918_46890_000087_000001	_My_ idee is that every one of them chaps as we can finish off is one honest man's life saved; so give 'em another of them shells, my boy.	underscore My underscore idee is that every one of them chaps as we can finish off is one honest man's life saved; so give 'em another of them shells, my boy.	false	1465.71	1473.96	22.81367
5918_46890_000087_000002	They _do_ seem wonderful persuaders, small as they be."	They underscore do underscore seem wonderful persuaders, small as they be."	false	1473.96	1477.6	23.946947
5918_46890_000088_000000	I accordingly loaded again, and fired; but, probably from excitement, fired too high, and the missile flew harmlessly over the boat.	I accordingly loaded again, and fired; but, probably from excitement, fired too high, and the missile flew harmlessly over the boat.	true	1478	1485.97	24.091335
5918_46890_000089_000000	The next time I was more careful, aiming with the utmost deliberation. At length I pulled the trigger-line, and immediately leapt to my feet to watch for the result.	The next time I was more careful, aiming with the utmost deliberation. At length I pulled the trigger line, and immediately leapt to my feet to watch for the result.	true	1486.25	1495.69	23.094297
5918_46890_000090_000000	The shell struck the boat's stern fairly amidships, and close to the water-line; there was an explosion, but both the oarsmen appeared to be unhurt.	The shell struck the boat's stern fairly amidships, and close to the water line; there was an explosion, but both the oarsmen appeared to be unhurt.	true	1495.85	1504.3	23.618738
5918_46890_000090_000001	Almost immediately, however, one of them sprang aft and crouched down, doing something that we could not make out.	Almost immediately, however, one of them sprang aft and crouched down, doing something that we could not make out.	true	1504.43	1510.63	23.573942
5918_46890_000091_000000	I took the glass, and then saw that a large gap had been made by the explosion of the shell, through which the water was doubtless pouring rapidly.	I took the glass, and then saw that a large gap had been made by the explosion of the shell, through which the water was doubtless pouring rapidly.	true	1511.03	1519.09	23.497187
5918_46890_000092_000000	There was a movement among the wounded men; and one man jumped upon a thwart and waved his hat to the brig, evidently as a signal of distress. Her captain had of course been watching us all this time, and seemed to have conjectured that his people were getting the worst of it, for we now saw that he had a second boat in the water; and on taking a look at the brig through the glass, we observed that he had a tackle on his main-yard-arm, with which he was hoisting out a gun to put into the boat.	There was a movement among the wounded men; and one man jumped upon a thwart and waved his hat to the brig, evidently as a signal of distress. Her captain had of course been watching us all this time, and seemed to have conjectured that his people were getting the worst of it, for we now saw that he had a second boat in the water; and on taking a look at the brig through the glass, we observed that he had a tackle on his main yard arm, with which he was hoisting out a gun to put into the boat.	true	1520.09	1546.84	23.764967
5918_46890_000093_000000	"It is time we were off once more, Bob," I remarked, as soon as I saw this; "so another shot at our friends here, and then we'll fill away."	"It is time we were off once more, Bob," I remarked, as soon as I saw this; "so another shot at our friends here, and then we'll fill away."	true	1547.21	1554.46	20.720644
5918_46890_000094_000000	The boat was very much disabled, and appeared to be sinking gradually, notwithstanding their efforts to keep her afloat, for they were now baling rapidly;--but I thought it best to make sure of her, so once more loaded and fired.	The boat was very much disabled, and appeared to be sinking gradually, notwithstanding their efforts to keep her afloat, for they were now baling rapidly;--but I thought it best to make sure of her, so once more loaded and fired.	true	1555.1	1567.9	23.3778
5918_46890_000095_000000	The shell passed through her stern this time also, and exploded; there was a shrill scream from more than one agonised throat, and the baling and pulling ceased altogether; every man in her was wounded, if not killed outright.	The shell passed through her stern this time also, and exploded; there was a shrill scream from more than one agonised throat, and the baling and pulling ceased altogether; every man in her was wounded, if not killed outright.	true	1568.45	1581.91	22.049385
5918_46890_000096_000000	Satisfied with our work of destruction, and not particularly caring to expose ourselves to the fire of the gun in the other boat, which was no doubt much heavier than our own toy of a weapon, we filled away; and I once more swayed up the spinnaker forward, desiring Bob to keep just sufficiently away to permit of our balloon canvas fully drawing, but no more.	Satisfied with our work of destruction, and not particularly caring to expose ourselves to the fire of the gun in the other boat, which was no doubt much heavier than our own toy of a weapon, we filled away; and I once more swayed up the spinnaker forward, desiring Bob to keep just sufficiently away to permit of our balloon canvas fully drawing, but no more.	true	1582.43	1603.45	22.14113
5918_46890_000097_000000	As soon as I had got the spinnaker set, I took the glass and had a good look at the boat we had beaten off.	As soon as I had got the spinnaker set, I took the glass and had a good look at the boat we had beaten off.	true	1603.67	1609.42	26.68236
5918_46890_000097_000001	She was nearly full of water, her gunwale being but an inch or two above the surface.	She was nearly full of water, her gunwale being but an inch or two above the surface.	true	1609.49	1614.61	22.124186
5918_46890_000098_000000	I saw three or four figures rouse themselves on board her, and recommence baling feebly; but their efforts were useless; she sank lower and lower, and at length rolled heavily bottom upwards, throwing her wounded crew into the water.	I saw three or four figures rouse themselves on board her, and recommence baling feebly; but their efforts were useless; she sank lower and lower, and at length rolled heavily bottom upwards, throwing her wounded crew into the water.	true	1615.04	1629.49	22.093197
5918_46890_000099_000000	Almost immediately there was a furious splashing, and by the aid of the glass I distinctly saw the dorsal fins of several sharks darting here and there among them, whilst over the glassy surface of the water a shriek or two came faintly towards us.	Almost immediately there was a furious splashing, and by the aid of the glass I distinctly saw the dorsal fins of several sharks darting here and there among them, whilst over the glassy surface of the water a shriek or two came faintly towards us.	true	1630.1	1644.85	22.69823
5918_46890_000100_000000	In less than a minute all was over with the miserable wretches; the voracious sharks made short work of it with them, tearing living and dead alike to pieces in their eagerness to obtain a share of the prey.	In less than a minute all was over with the miserable wretches; the voracious sharks made short work of it with them, tearing living and dead alike to pieces in their eagerness to obtain a share of the prey.	true	1645.16	1656.97	23.914236
5918_46890_000101_000000	At the moment that this tragic scene was enacting, the second boat was about half-way between the brig and those to whose assistance she was hastening; and her crew had a nearer and more distinct view of the horrible details of the catastrophe than we had.	At the moment that this tragic scene was enacting, the second boat was about half-way between the brig and those to whose assistance she was hastening; and her crew had a nearer and more distinct view of the horrible details of the catastrophe than we had.	false	1657.97	1671.67	23.401417
5918_46890_000102_000000	They paused for a moment on their oars as though paralysed with horror; and then with a vengeful shout gave way more energetically than before.	They paused for a moment on their oars as though paralysed with horror; and then with a vengeful shout gave way more energetically than before.	true	1672.04	1680.61	20.873495
5918_46890_000103_000000	But I felt little apprehension on their account; the dying breeze had revived somewhat, and the _Lily_ was now stealing along, though with scarcely a ripple at her sharp bows, about five knots; and the water looked rather darker to windward, as though the wind was inclined to come still stronger.	But I felt little apprehension on their account; the dying breeze had revived somewhat, and the underscore Lily underscore was now stealing along, though with scarcely a ripple at her sharp bows, about five knots; and the water looked rather darker to windward, as though the wind was inclined to come still stronger.	false	1681.88	1697.35	21.829094
5918_46890_000104_000000	The pirates tugged at their oars with might and main, passing within oar's length of the wreck of the first boat, when they again raised a furious yell, straining away at their stout ash blades until they made them bend like willow wands.	The pirates tugged at their oars with might and main, passing within oar's length of the wreck of the first boat, when they again raised a furious yell, straining away at their stout ash blades until they made them bend like willow wands.	true	1697.63	1711.12	23.042377
5918_46890_000105_000000	They gained on us considerably within the first ten minutes or quarter of an hour; and I saw some of the crew preparing to fire the gun which was mounted in the boat's bows.	They gained on us considerably within the first ten minutes or quarter of an hour; and I saw some of the crew preparing to fire the gun which was mounted in the boat's bows.	false	1711.7	1721.61	20.684832
5918_46890_000105_000001	Judging that more powder would have to be burned after all, I once more loaded our little piece, charging with shell as before; and whilst I was doing this our pursuers opened fire upon us.	Judging that more powder would have to be burned after all, I once more loaded our little piece, charging with shell as before; and whilst I was doing this our pursuers opened fire upon us.	true	1721.61	1732.39	23.586056
5918_46890_000106_000000	They miscalculated their distance, however, or the powers of their gun; for the shot fell considerably short of us, much to Bob's delight, to which he gave expression by the utterance of a few remarks of such biting sarcasm and raillery that they would infallibly have still further incensed the individuals to whom they were addressed could they but have heard them.	They miscalculated their distance, however, or the powers of their gun; for the shot fell considerably short of us, much to Bob's delight, to which he gave expression by the utterance of a few remarks of such biting sarcasm and raillery that they would infallibly have still further incensed the individuals to whom they were addressed could they but have heard them.	true	1733.15	1752.46	23.841702
5918_46890_000107_000000	I too was _very_ glad to see the shot fall short, for it placed us on somewhat more equal terms than I had dared to hope.	I too was underscore very underscore glad to see the shot fall short, for it placed us on somewhat more equal terms than I had dared to hope.	false	1752.68	1759.88	23.164299
5918_46890_000107_000001	The boat was a large one, probably their launch, and pulled ten oars; and there were three men in the bows working the gun, and the coxswain aft steering, making altogether fourteen hands--very heavy odds.	The boat was a large one, probably their launch, and pulled ten oars; and there were three men in the bows working the gun, and the coxswain aft steering, making altogether fourteen hands-very heavy odds.	false	1759.88	1772.2	23.182465
5918_46890_000108_000000	But then, on the other hand, the boat was heavy, and her crew, after their already long pull, could not maintain the violent exertions they were now putting forth very much longer; and a very trifling abatement in that direction would enable us to slip away from them after all; and, moreover, as they were now within range of our gun (which, being rifled, threw a shot much farther than their smooth-bore), there was a possibility of our being able so far to disable them as to compel them to give up the chase.	But then, on the other hand, the boat was heavy, and her crew, after their already long pull, could not maintain the violent exertions they were now putting forth very much longer; and a very trifling abatement in that direction would enable us to slip away from them after all; and, moreover, as they were now within range of our gun (which, being rifled, threw a shot much farther than their smooth bore), there was a possibility of our being able so far to disable them as to compel them to give up the chase.	false	1772.39	1800.13	21.433874
5918_46890_000109_000000	I accordingly levelled the breech-loader, and then waited for a favourable opportunity to fire.	I accordingly levelled the breech loader, and then waited for a favourable opportunity to fire.	true	1801.22	1806.73	22.980167
5918_46890_000109_000001	At length it came.	At length it came.	true	1806.86	1808.68	25.959145
5918_46890_000109_000002	The shell entered the starboard-bow of the pursuing boat, about midway between her gunwale and her water-line; and immediately, to our great surprise, there was a violent explosion on board her.	The shell entered the starboard bow of the pursuing boat, about midway between her gunwale and her water line; and immediately, to our great surprise, there was a violent explosion on board her.	true	1808.87	1819.96	24.248436
5918_46890_000110_000000	A vivid flash of flame darted upward and outward; the sides of the boat appeared to be violently wrenched apart at their junction with the stem; the gun and its carriage rose heavily in the air about ten feet, and fell with a tremendous splash into the sea; and oars and men were flung wildly about, many of them being blown fairly overboard, whilst a dense cloud of smoke arose, and for a moment hid everything from our view.	A vivid flash of flame darted upward and outward; the sides of the boat appeared to be violently wrenched apart at their junction with the stem; the gun and its carriage rose heavily in the air about ten feet, and fell with a tremendous splash into the sea; and oars and men were flung wildly about, many of them being blown fairly overboard, whilst a dense cloud of smoke arose, and for a moment hid everything from our view.	false	1820.36	1877.19	21.96907
