4236_8927_000000_000000	It was a man-trap.	It was a man trap.	false	6.84	17.055	18.88404
4236_8927_000046_000004	I have bought a practice, or rather a partnership, in the Midlands, and I must go there in a week to take up permanent residence.	I have bought a practice, or rather a partnership, in the Midlands, and I must go there in a week to take up permanent residence.	false	1028.69	1036.09	19.208805
4236_8927_000046_000005	My poor old great-aunt died about eight months ago, and left me enough to do this.	My poor old great aunt died about eight months ago, and left me enough to do this.	true	1036.37	1041.1	14
4236_8927_000046_000006	I have taken a little furnished house for a time, till we can get one of our own."	I have taken a little furnished house for a time, till we can get one of our own."	true	1041.65	1045.63	15
4236_8927_000047_000000	He described the place, and the surroundings, and the view from the windows, and Grace became much interested.	He described the place, and the surroundings, and the view from the windows, and Grace became much interested.	false	1046.54	1051.72	15
4236_8927_000047_000001	"But why are you not there now?" she said.	"But why are you not there now?" she said.	true	1052.06	1054.48	16.612951
4236_8927_000048_000000	"Because I cannot tear myself away from here till I have your promise. Now, darling, you will accompany me there--will you not?	"Because I cannot tear myself away from here till I have your promise. Now, darling, you will accompany me there-will you not?	true	1054.91	1062.25	17.64523
4236_8927_000048_000001	To-night has settled that."	To night has settled that."	true	1062.56	1064.08	18.70076
4236_8927_000049_000000	Grace's tremblings had gone off, and she did not say nay.	Grace's tremblings had gone off, and she did not say nay.	true	1065.23	1068.94	18.80612
4236_8927_000049_000001	They went on together.	They went on together.	true	1069.31	1070.68	23.082903
4236_8927_000050_000000	The adventure, and the emotions consequent upon the reunion which that event had forced on, combined to render Grace oblivious of the direction of their desultory ramble, till she noticed they were in an encircled glade in the densest part of the wood, whereon the moon, that had imperceptibly added its rays to the scene, shone almost vertically. It was an exceptionally soft, balmy evening for the time of year, which was just that transient period in the May month when beech-trees have suddenly unfolded large limp young leaves of the softness of butterflies' wings.	The adventure, and the emotions consequent upon the reunion which that event had forced on, combined to render Grace oblivious of the direction of their desultory ramble, till she noticed they were in an encircled glade in the densest part of the wood, whereon the moon, that had imperceptibly added its rays to the scene, shone almost vertically. It was an exceptionally soft, balmy evening for the time of year, which was just that transient period in the May month when beech trees have suddenly unfolded large limp young leaves of the softness of butterflies' wings.	false	1071.5	1105.15	17
4236_8927_000050_000001	Boughs bearing such leaves hung low around, and completely enclosed them, so that it was as if they were in a great green vase, which had moss for its bottom and leaf sides.	Boughs bearing such leaves hung low around, and completely enclosed them, so that it was as if they were in a great green vase, which had moss for its bottom and leaf sides.	true	1105.49	1117.48	19
4236_8927_000051_000000	The clouds having been packed in the west that evening so as to retain the departing glare a long while, the hour had seemed much earlier than it was.	The clouds having been packed in the west that evening so as to retain the departing glare a long while, the hour had seemed much earlier than it was.	true	1118.18	1126.93	13
4236_8927_000051_000001	But suddenly the question of time occurred to her.	But suddenly the question of time occurred to her.	false	1127.21	1129.87	15
4236_8927_000052_000000	"I must go back," she said; and without further delay they set their faces towards Hintock.	"I must go back," she said; and without further delay they set their faces towards Hintock.	false	1130.33	1135.86	18.791914
4236_8927_000052_000001	As they walked he examined his watch by the aid of the now strong moonlight.	As they walked he examined his watch by the aid of the now strong moonlight.	false	1135.86	1140.49	16
4236_8927_000053_000000	"By the gods, I think I have lost my train!" said Fitzpiers.	"By the gods, I think I have lost my train!" said Fitzpiers.	false	1141.46	1145.37	18.123104
4236_8927_000054_000000	"Dear me--whereabouts are we?" said she.	"Dear me-whereabouts are we?" said she.	false	1145.37	1148.88	19.334204
4236_8927_000055_000000	"Two miles in the direction of Sherton."	"Two miles in the direction of Sherton."	true	1148.88	1150.87	15
4236_8927_000056_000000	"Then do you hasten on, Edgar.	"Then do you hasten on, Edgar.	false	1151.81	1153.55	18.293825
4236_8927_000056_000001	I am not in the least afraid.	I am not in the least afraid.	true	1153.55	1154.97	11
4236_8927_000056_000002	I recognize now the part of the wood we are in and I can find my way back quite easily.	I recognize now the part of the wood we are in and I can find my way back quite easily.	false	1154.97	1159.69	12
4236_8927_000056_000003	I'll tell my father that we have made it up.	I'll tell my father that we have made it up.	true	1159.79	1162.42	19.354052
4236_8927_000056_000004	I wish I had not kept our meetings so private, for it may vex him a little to know I have been seeing you.	I wish I had not kept our meetings so private, for it may vex him a little to know I have been seeing you.	false	1162.61	1168.78	15
4236_8927_000056_000005	He is getting old and irritable, that was why I did not.	He is getting old and irritable, that was why I did not.	true	1168.94	1172.28	17.034685
4236_8927_000056_000006	Good-by."	Good by."	false	1172.28	1173.64	18.190674
4236_8927_000057_000000	"But, as I must stay at the Earl of Wessex to-night, for I cannot possibly catch the train, I think it would be safer for you to let me take care of you."	"But, as I must stay at the Earl of Wessex to night, for I cannot possibly catch the train, I think it would be safer for you to let me take care of you."	true	1175.12	1183.21	19
4236_8927_000058_000000	"But what will my father think has become of me?	"But what will my father think has become of me?	false	1184.15	1186.66	19
4236_8927_000058_000001	He does not know in the least where I am--he thinks I only went into the garden for a few minutes."	He does not know in the least where I am-he thinks I only went into the garden for a few minutes."	false	1186.88	1191.34	12
4236_8927_000059_000000	"He will surely guess--somebody has seen me for certain.	"He will surely guess-somebody has seen me for certain.	true	1191.77	1194.88	16
4236_8927_000059_000001	I'll go all the way back with you to-morrow."	I'll go all the way back with you to morrow."	false	1195.13	1220.85	19.448755
