953_130625_000000_000000	CHAPTER IV.	CHAPTER four.	true	26.955	28.27	24.544443
953_130625_000064_000002	Of course, I found George's and Harris's eighteen times over, but I couldn't find my own.	Of course, I found George's and Harris's eighteen times over, but I couldn't find my own.	true	1048.28	1054.12	20.745092
953_130625_000064_000003	I put the things back one by one, and held everything up and shook it.	I put the things back one by one, and held everything up and shook it.	true	1054.52	1059.07	22.446325
953_130625_000064_000004	Then I found it inside a boot. I repacked once more.	Then I found it inside a boot. I repacked once more.	true	1059.32	1063.45	20.76776
953_130625_000065_000000	When I had finished, George asked if the soap was in.	When I had finished, George asked if the soap was in.	true	1064.18	1067.5	21.324987
953_130625_000065_000001	I said I didn't care a hang whether the soap was in or whether it wasn't; and I slammed the bag to and strapped it, and found that I had packed my tobacco-pouch in it, and had to re-open it.	I said I didn't care a hang whether the soap was in or whether it wasn't; and I slammed the bag to and strapped it, and found that I had packed my tobacco pouch in it, and had to re-open it.	true	1067.69	1080.28	20.036938
953_130625_000065_000002	It got shut up finally at 10.5 p.m., and then there remained the hampers to do.	It got shut up finally at ten.five p m, and then there remained the hampers to do.	true	1080.53	1086.55	19.282318
953_130625_000065_000003	Harris said that we should be wanting to start in less than twelve hours' time, and thought that he and George had better do the rest; and I agreed and sat down, and they had a go.	Harris said that we should be wanting to start in less than twelve hours' time, and thought that he and George had better do the rest; and I agreed and sat down, and they had a go.	false	1086.77	1097.68	18.905256
953_130625_000066_000000	They began in a light-hearted spirit, evidently intending to show me how to do it.	They began in a light-hearted spirit, evidently intending to show me how to do it.	true	1098.2	1103.02	20.715622
953_130625_000066_000001	I made no comment; I only waited.	I made no comment; I only waited.	true	1103.18	1105.66	21.562908
953_130625_000066_000002	When George is hanged, Harris will be the worst packer in this world; and I looked at the piles of plates and cups, and kettles, and bottles and jars, and pies, and stoves, and cakes, and tomatoes, &c., and felt that the thing would soon become exciting.	When George is hanged, Harris will be the worst packer in this world; and I looked at the piles of plates and cups, and kettles, and bottles and jars, and pies, and stoves, and cakes, and tomatoes, and c., and felt that the thing would soon become exciting.	false	1105.79	1123.33	20.10085
953_130625_000067_000000	It did.	It did.	true	1123.46	1124.59	21.863993
953_130625_000067_000001	They started with breaking a cup.	They started with breaking a cup.	true	1124.93	1127.05	23.372877
953_130625_000067_000002	That was the first thing they did.	That was the first thing they did.	true	1127.09	1128.84	19.704733
953_130625_000067_000003	They did that just to show you what they _could_ do, and to get you interested.	They did that just to show you what they underscore could underscore do, and to get you interested.	false	1128.84	1133.29	20.205006
953_130625_000068_000000	Then Harris packed the strawberry jam on top of a tomato and squashed it, and they had to pick out the tomato with a teaspoon.	Then Harris packed the strawberry jam on top of a tomato and squashed it, and they had to pick out the tomato with a teaspoon.	true	1133.54	1141.09	22.074944
953_130625_000069_000000	And then it was George's turn, and he trod on the butter.	And then it was George's turn, and he trod on the butter.	true	1141.46	1144.33	19.804989
953_130625_000069_000001	I didn't say anything, but I came over and sat on the edge of the table and watched them.	I didn't say anything, but I came over and sat on the edge of the table and watched them.	true	1144.46	1149.19	19.17216
953_130625_000069_000002	It irritated them more than anything I could have said.	It irritated them more than anything I could have said.	true	1149.32	1152.54	19
953_130625_000069_000003	I felt that.	I felt that.	true	1152.54	1153.66	22.566288
953_130625_000069_000004	It made them nervous and excited, and they stepped on things, and put things behind them, and then couldn't find them when they wanted them; and they packed the pies at the bottom, and put heavy things on top, and smashed the pies in.	It made them nervous and excited, and they stepped on things, and put things behind them, and then couldn't find them when they wanted them; and they packed the pies at the bottom, and put heavy things on top, and smashed the pies in.	true	1153.73	1166.8	20.446882
953_130625_000070_000000	They upset salt over everything, and as for the butter!	They upset salt over everything, and as for the butter!	true	1167.53	1170.82	19.81462
953_130625_000070_000001	I never saw two men do more with one-and-twopence worth of butter in my whole life than they did.	I never saw two men do more with one and twopence worth of butter in my whole life than they did.	true	1170.95	1176.78	20.867788
953_130625_000070_000002	After George had got it off his slipper, they tried to put it in the kettle.	After George had got it off his slipper, they tried to put it in the kettle.	true	1176.78	1180.82	21.541971
953_130625_000070_000003	It wouldn't go in, and what _was_ in wouldn't come out. They did scrape it out at last, and put it down on a chair, and Harris sat on it, and it stuck to him, and they went looking for it all over the room.	It wouldn't go in, and what underscore was underscore in wouldn't come out. They did scrape it out at last, and put it down on a chair, and Harris sat on it, and it stuck to him, and they went looking for it all over the room.	false	1180.82	1193.59	20.749826
953_130625_000071_000000	"I'll take my oath I put it down on that chair," said George, staring at the empty seat.	"I'll take my oath I put it down on that chair," said George, staring at the empty seat.	true	1194.59	1199.8	23.121534
953_130625_000072_000000	"I saw you do it myself, not a minute ago," said Harris.	"I saw you do it myself, not a minute ago," said Harris.	true	1200.08	1203.31	17.386337
953_130625_000073_000000	Then they started round the room again looking for it; and then they met again in the centre, and stared at one another.	Then they started round the room again looking for it; and then they met again in the centre, and stared at one another.	true	1203.65	1209.55	17.627745
953_130625_000074_000000	"Most extraordinary thing I ever heard of," said George.	"Most extraordinary thing I ever heard of," said George.	true	1209.65	1213.05	20.765255
953_130625_000075_000000	"So mysterious!" said Harris.	"So mysterious!" said Harris.	true	1213.05	1215.46	22.327944
953_130625_000076_000000	Then George got round at the back of Harris and saw it.	Then George got round at the back of Harris and saw it.	true	1215.5	1218.4	21
953_130625_000077_000000	"Why, here it is all the time," he exclaimed, indignantly.	"Why, here it is all the time," he exclaimed, indignantly.	true	1218.8	1222.33	19.212744
953_130625_000078_000000	"Where?" cried Harris, spinning round.	"Where?" cried Harris, spinning round.	true	1222.55	1224.88	20.451645
953_130625_000079_000000	"Stand still, can't you!" roared George, flying after him.	"Stand still, can't you!" roared George, flying after him.	true	1224.92	1228.63	20
953_130625_000080_000000	And they got it off, and packed it in the teapot.	And they got it off, and packed it in the teapot.	true	1228.97	1231.93	25.368124
953_130625_000081_000000	Montmorency was in it all, of course.	Montmorency was in it all, of course.	true	1232.48	1235.38	20
953_130625_000081_000001	Montmorency's ambition in life, is to get in the way and be sworn at.	Montmorency's ambition in life, is to get in the way and be sworn at.	true	1235.57	1239.79	17.263798
953_130625_000081_000002	If he can squirm in anywhere where he particularly is not wanted, and be a perfect nuisance, and make people mad, and have things thrown at his head, then he feels his day has not been wasted.	If he can squirm in anywhere where he particularly is not wanted, and be a perfect nuisance, and make people mad, and have things thrown at his head, then he feels his day has not been wasted.	true	1239.86	1252.45	21.049767
953_130625_000082_000000	To get somebody to stumble over him, and curse him steadily for an hour, is his highest aim and object; and, when he has succeeded in accomplishing this, his conceit becomes quite unbearable.	To get somebody to stumble over him, and curse him steadily for an hour, is his highest aim and object; and, when he has succeeded in accomplishing this, his conceit becomes quite unbearable.	true	1252.88	1266.1	22.620575
953_130625_000083_000000	He came and sat down on things, just when they were wanted to be packed; and he laboured under the fixed belief that, whenever Harris or George reached out their hand for anything, it was his cold, damp nose that they wanted.	He came and sat down on things, just when they were wanted to be packed; and he laboured under the fixed belief that, whenever Harris or George reached out their hand for anything, it was his cold, damp nose that they wanted.	true	1266.68	1280.53	20
953_130625_000083_000001	He put his leg into the jam, and he worried the teaspoons, and he pretended that the lemons were rats, and got into the hamper and killed three of them before Harris could land him with the frying-pan.	He put his leg into the jam, and he worried the teaspoons, and he pretended that the lemons were rats, and got into the hamper and killed three of them before Harris could land him with the frying pan.	true	1280.72	1292.14	17
953_130625_000084_000000	Harris said I encouraged him.	Harris said I encouraged him.	true	1292.75	1294.82	23.712423
953_130625_000084_000001	I didn't encourage him.	I didn't encourage him.	true	1294.82	1296.28	18.08802
953_130625_000084_000002	A dog like that don't want any encouragement.	A dog like that don't want any encouragement.	true	1296.29	1298.95	21.618214
953_130625_000084_000003	It's the natural, original sin that is born in him that makes him do things like that.	It's the natural, original sin that is born in him that makes him do things like that.	true	1298.95	1304.71	20.237932
953_130625_000085_000000	The packing was done at 12.50; and Harris sat on the big hamper, and said he hoped nothing would be found broken.	The packing was done at twelve point five zero; and Harris sat on the big hamper, and said he hoped nothing would be found broken.	false	1305.68	1312.99	20.443298
953_130625_000085_000001	George said that if anything was broken it was broken, which reflection seemed to comfort him.	George said that if anything was broken it was broken, which reflection seemed to comfort him.	false	1313.78	1319.38	22.248625
953_130625_000085_000002	He also said he was ready for bed.	He also said he was ready for bed.	true	1319.51	1321.69	18.213343
953_130625_000085_000003	We were all ready for bed.	We were all ready for bed.	true	1322.3	1324	19.605509
953_130625_000085_000004	Harris was to sleep with us that night, and we went upstairs.	Harris was to sleep with us that night, and we went upstairs.	true	1324.07	1327.93	23.808191
953_130625_000086_000000	We tossed for beds, and Harris had to sleep with me.	We tossed for beds, and Harris had to sleep with me.	true	1328.24	1331.13	19.24817
953_130625_000086_000001	He said:	He said:	true	1331.13	1331.95	20.67216
953_130625_000087_000000	"Do you prefer the inside or the outside, J.?"	"Do you prefer the inside or the outside, j?"	true	1332.11	1335.19	21.135195
953_130625_000088_000000	I said I generally preferred to sleep _inside_ a bed.	I said I generally preferred to sleep underscore inside underscore a bed.	false	1335.59	1338.73	20.26339
953_130625_000089_000000	Harris said it was old.	Harris said it was old.	true	1339.34	1341.07	17.34919
953_130625_000090_000000	George said:	George said:	true	1341.32	1342.36	20.607063
953_130625_000091_000000	"What time shall I wake you fellows?"	"What time shall I wake you fellows?"	true	1342.4	1344.46	19.555006
953_130625_000092_000000	Harris said:	Harris said:	true	1344.5	1345.48	22.294771
953_130625_000093_000000	"Seven."	"Seven."	true	1345.48	1346.29	20.271486
953_130625_000094_000000	I said:	I said:	true	1347.26	1348.28	19.9812
953_130625_000095_000000	"No--six," because I wanted to write some letters.	"No-six," because I wanted to write some letters.	true	1348.28	1351.51	25
953_130625_000096_000000	Harris and I had a bit of a row over it, but at last split the difference, and said half-past six.	Harris and I had a bit of a row over it, but at last split the difference, and said half past six.	true	1351.82	1357.93	22.07645
953_130625_000097_000000	"Wake us at 6.30, George," we said.	"Wake us at six point three zero, George," we said.	false	1358.27	1360.96	21.677336
953_130625_000098_000000	George made no answer, and we found, on going over, that he had been asleep for some time; so we placed the bath where he could tumble into it on getting out in the morning, and went to bed ourselves.	George made no answer, and we found, on going over, that he had been asleep for some time; so we placed the bath where he could tumble into it on getting out in the morning, and went to bed ourselves.	false	1361.15	1379.73	19.0727
