7717_104491_000000_000000	CHAPTER XVIII.	CHAPTER eighteen.	false	0.51	6.825	28.900818
7717_104491_000085_000000	"And you had passed him off just as though he were a gnat from which you were to receive as little annoyance as possible, forgetting the influence he must have on those six unfortunate children.	"And you had passed him off just as though he were a gnat from which you were to receive as little annoyance as possible, forgetting the influence he must have on those six unfortunate children.	false	864.23	874.15	23.326105
7717_104491_000085_000001	Don't you know that you gave her that twenty pounds simply to be rid of a disagreeable subject?"	Don't you know that you gave her that twenty pounds simply to be rid of a disagreeable subject?"	false	874.64	879.4	24.159605
7717_104491_000086_000000	"I should have given it ever so much sooner, only that you were looking at me."	"I should have given it ever so much sooner, only that you were looking at me."	false	879.92	883.15	20.695322
7717_104491_000087_000000	"I know you would, you dear, sweet, kind-hearted, but most un-Christian, father.	"I know you would, you dear, sweet, kind hearted, but most un Christian, father.	true	883.88	889.27	24.095325
7717_104491_000087_000001	You must come to church, in order that some idea of what Christianity demands of you may make its way into your heart.	You must come to church, in order that some idea of what Christianity demands of you may make its way into your heart.	true	889.52	896.47	23.869925
7717_104491_000087_000002	It is not what the clergyman may say of you, but that your mind will get away for two hours from that other reptile and his concerns." Then Mr. Grey, with a loud, long sigh, allowed his boots, and his gloves, and his church-going hat, and his church-going umbrella to be brought to him.	It is not what the clergyman may say of you, but that your mind will get away for two hours from that other reptile and his concerns." Then mr Grey, with a loud, long sigh, allowed his boots, and his gloves, and his church going hat, and his church going umbrella to be brought to him.	true	896.69	913.87	21.8031
7717_104491_000087_000003	It was, in fact, his aversion to these articles that Dolly had to encounter.	It was, in fact, his aversion to these articles that Dolly had to encounter.	true	914.24	918.07	21
7717_104491_000088_000000	It may be doubted whether the church services of that day did Mr. Grey much good; but they seemed to have had some effect upon his daughter, from the fact that in the afternoon she wrote a letter in kindly words to her aunt: "Papa is going to Tretton, and I will come up to you on Tuesday.	It may be doubted whether the church services of that day did mr Grey much good; but they seemed to have had some effect upon his daughter, from the fact that in the afternoon she wrote a letter in kindly words to her aunt: "Papa is going to Tretton, and I will come up to you on Tuesday.	false	919.01	934.93	26.18957
7717_104491_000088_000001	I have got a frock which I will bring with me as a present for Potsey; and I will make her sew on the buttons for herself.	I have got a frock which I will bring with me as a present for Potsey; and I will make her sew on the buttons for herself.	true	935	940.87	24.05153
7717_104491_000088_000002	Tell Minna I will lend her that book I spoke of.	Tell Minna I will lend her that book I spoke of.	true	940.94	943.42	23.096064
7717_104491_000088_000003	About those boots--I will go with Georgina to the boot-maker." But as to Amelia and Sophy she could not bring herself to say a good-natured word, so deep in her heart had sunk that sin of which they had been guilty with reference to Prince Chitakov.	About those boots-I will go with Georgina to the boot maker." But as to Amelia and Sophy she could not bring herself to say a good-natured word, so deep in her heart had sunk that sin of which they had been guilty with reference to Prince Chitakov.	false	943.64	959.37	23.218655
7717_104491_000089_000000	On that night she had a long discussion with her father respecting the affairs of the Scarborough family.	On that night she had a long discussion with her father respecting the affairs of the Scarborough family.	true	959.37	964.66	18
7717_104491_000089_000001	The discussion was held in the dining-room, and may, therefore, be supposed to have been premeditated. Those at night in Mr. Grey's own bedroom were generally the result of sudden thought.	The discussion was held in the dining room, and may, therefore, be supposed to have been premeditated. Those at night in mr Grey's own bedroom were generally the result of sudden thought.	true	965.12	975.79	25.005358
7717_104491_000089_000002	"I should lay down the law to him--" began Dolly.	"I should lay down the law to him-" began Dolly.	true	976.22	978.67	23
7717_104491_000090_000000	"The law is the law," said her father.	"The law is the law," said her father.	false	978.77	981.4	21.766754
7717_104491_000091_000000	"I don't mean the law in that sense.	"I don't mean the law in that sense.	true	981.53	983.49	20
7717_104491_000091_000001	I should tell him firmly what I advised, and should then make him understand that if he did not follow my advice I must withdraw.	I should tell him firmly what I advised, and should then make him understand that if he did not follow my advice I must withdraw.	false	983.49	990.73	22
7717_104491_000091_000002	If his son is willing to pay these money-lenders what sums they have actually advanced, and if by any effort on his part the money can be raised, let it be done.	If his son is willing to pay these money lenders what sums they have actually advanced, and if by any effort on his part the money can be raised, let it be done.	true	990.95	1000.6	23.091677
7717_104491_000091_000003	There seems to be some justice in repaying out of the property that which was lent to the property when by Mr. Scarborough's own doing the property was supposed to go into the eldest son's hands.	There seems to be some justice in repaying out of the property that which was lent to the property when by mr Scarborough's own doing the property was supposed to go into the eldest son's hands.	true	1001.3	1011.55	21
7717_104491_000091_000004	Though the eldest son and the money-lenders be spendthrifts and profligates alike, there will in that be something of fairness.	Though the eldest son and the money lenders be spendthrifts and profligates alike, there will in that be something of fairness.	false	1012.19	1019.68	23.730127
7717_104491_000091_000005	Go there prepared with your opinion.	Go there prepared with your opinion.	true	1020.26	1022.08	26.429016
7717_104491_000091_000006	But if either father or son will not accept it, then depart, and shake the dust from your feet."	But if either father or son will not accept it, then depart, and shake the dust from your feet."	true	1022.6	1027.99	24.337437
7717_104491_000092_000000	"You propose it all as though it were the easiest thing in the world."	"You propose it all as though it were the easiest thing in the world."	true	1028.72	1031.95	20.30328
7717_104491_000093_000000	"Easy or difficult.	"Easy or difficult.	true	1032.08	1033.08	20.274385
7717_104491_000093_000001	I would not discuss anything of which the justice may hereafter be disputed."	I would not discuss anything of which the justice may hereafter be disputed."	true	1033.08	1037.05	26
7717_104491_000094_000000	What was the result of the consultation on Mr. Grey's mind he did not declare, but he resolved to take his daughter's advice in all that she said to him.	What was the result of the consultation on mr Grey's mind he did not declare, but he resolved to take his daughter's advice in all that she said to him.	true	1038.08	1046.04	22.042156
7717_104491_000095_000000	CHAPTER XIX.	CHAPTER nineteen.	false	1046.04	1046.07	-20
7717_104491_000096_000000	MR.	mr	false	1046.07	1046.1	-20
7717_104491_000096_000001	GREY GOES TO TRETTON.	GREY GOES TO t r e t t o n.	false	1046.1	1046.37	-20
7717_104491_000097_000000	Mr. Grey went down to Tretton with a great bag of papers.	mr Grey went down to Tretton with a great bag of papers.	false	1046.37	1046.67	-20
7717_104491_000097_000001	In fact, though he told his daughter that he had to examine them all before he started, and had taken them to Fulham for that purpose, he had not looked at them.	In fact, though he told his daughter that he had to examine them all before he started, and had taken them to Fulham for that purpose, he had not looked at them.	false	1046.67	1048.95	25.73306
7717_104491_000097_000002	And, as another fact, the bag was not opened till he got home again.	And, as another fact, the bag was not opened till he got home again.	false	1048.95	1050.39	-20
7717_104491_000097_000003	They had been read;--at any rate, what was necessary.	They had been read;--at any rate, what was necessary.	false	1050.39	1051.44	-20
7717_104491_000097_000004	He knew his subject.	He knew his subject.	false	1051.44	1051.86	3
7717_104491_000097_000005	The old squire knew it well.	The old squire knew it well.	false	1051.86	1052.46	5
