7926_254948_000000_000000	CHAPTER IV. VOYAGES OF ADVENTURE AND PRIVATEERING WARFARE.	CHAPTER four. VOYAGES OF ADVENTURE AND PRIVATEERING WARFARE.	false	29.25	36.78	23.774494
7926_254948_000018_000001	Cavendish joined the English marine service at a very early age; and passed a most stormy youth, during which he rapidly dissipated his modest fortune.	Cavendish joined the English marine service at a very early age; and passed a most stormy youth, during which he rapidly dissipated his modest fortune.	true	1095.89	1105.03	21.232992
7926_254948_000018_000002	That which play had robbed him of, he resolved to recover from the Spaniards.	That which play had robbed him of, he resolved to recover from the Spaniards.	true	1105.7	1109.83	22.949354
7926_254948_000018_000003	Having in 1585 obtained letters of mark, he made a cruise to the East Indies and returned with considerable booty.	Having in fifteen eighty five obtained letters of mark, he made a cruise to the East Indies and returned with considerable booty.	true	1110.23	1117.45	23.904995
7926_254948_000018_000004	Encouraged by his easy success as a highwayman on the great maritime roads, he thought that if he could acquire some honour and glory while engaged in making his fortune, so much the better would it be for him.	Encouraged by his easy success as a highwayman on the great maritime roads, he thought that if he could acquire some honour and glory while engaged in making his fortune, so much the better would it be for him.	true	1118.03	1129.12	22.452507
7926_254948_000018_000005	With this idea he bought three ships, the _Desire_, of twenty tons, the _Content_, of sixty tons, and the _Hugh Gallant_, of forty tons, upon which he embarked one hundred and twenty-three soldiers and sailors.	With this idea he bought three ships, the underscore Desire underscore, of twenty tons, the underscore Content underscore, of sixty tons, and the underscore Hugh Gallant underscore, of forty tons, upon which he embarked one hundred and twenty three soldiers and sailors.	false	1129.91	1143.58	23.287777
7926_254948_000018_000006	Setting sail on the 22nd July, 1586, he passed by the Canaries, and landed at Sierra Leone, which town he attacked and plundered; then, sailing again, he crossed the Atlantic, sighted Cape Sebastian in Brazil, sailed along the coast of Patagonia, and arrived on the 27th November at Port Desire.	Setting sail on the twenty second of july fifteen eighty six, he passed by the Canaries, and landed at Sierra Leone, which town he attacked and plundered; then, sailing again, he crossed the Atlantic, sighted Cape Sebastian in Brazil, sailed along the coast of Patagonia, and arrived on the twenty seventh of november at Port Desire.	true	1144.19	1164.64	24.142893
7926_254948_000018_000007	He found there an immense quantity of dog-fish, very large, and so strong that four men could with difficulty kill them, and numbers of birds, which, having no wings, could not fly, and which fed upon fish.	He found there an immense quantity of dog fish, very large, and so strong that four men could with difficulty kill them, and numbers of birds, which, having no wings, could not fly, and which fed upon fish.	true	1165.25	1177.9	23.835606
7926_254948_000018_000008	They are classed under the general names of auks and penguins.	They are classed under the general names of auks and penguins.	true	1178.57	1181.89	23.26283
7926_254948_000018_000009	In this very secure harbour, the ships were drawn up on shore to be repaired. During his stay at this place Cavendish had some skirmishes with the Patagonians,--"men of gigantic size, and having feet eighteen inches long"--who wounded two of the sailors with arrows tipped with sharpened flints.	In this very secure harbour, the ships were drawn up on shore to be repaired. During his stay at this place Cavendish had some skirmishes with the Patagonians,--"men of gigantic size, and having feet eighteen inches long"--who wounded two of the sailors with arrows tipped with sharpened flints.	true	1182.41	1200.43	23.673512
7926_254948_000019_000000	On the 7th January, 1587, Cavendish entered the Strait of Magellan, and in the narrowest part of it received on board his ships one-and-twenty Spaniards and two women, the sole survivors of the colony founded three years previously, under the name of Philippeville, by Captain Sarmiento.	On the seventh of january fifteen eighty seven, Cavendish entered the Strait of Magellan, and in the narrowest part of it received on board his ships one and twenty Spaniards and two women, the sole survivors of the colony founded three years previously, under the name of Philippeville, by Captain Sarmiento.	false	1201.25	1219.15	24.094275
7926_254948_000019_000001	This town, which had been built to bar the passage through the strait, had possessed no fewer than four forts as well as several churches.	This town, which had been built to bar the passage through the strait, had possessed no fewer than four forts as well as several churches.	true	1219.64	1227.46	24.645403
7926_254948_000019_000002	Cavendish could discern the fortress, then deserted and already falling into ruins.	Cavendish could discern the fortress, then deserted and already falling into ruins.	true	1228.04	1232.56	21.574118
7926_254948_000019_000003	Its inhabitants, who had been completely prevented by the continual attacks of the savages from gathering in their harvests, had died of hunger, or had perished in endeavouring to reach the Spanish settlements in Chili.	Its inhabitants, who had been completely prevented by the continual attacks of the savages from gathering in their harvests, had died of hunger, or had perished in endeavouring to reach the Spanish settlements in Chili.	true	1232.99	1244.59	23.167141
7926_254948_000019_000004	The Admiral, upon hearing this lamentable tale, changed the name of Philippeville into that of Port Famine, under which appellation the place is known at the present day.	The Admiral, upon hearing this lamentable tale, changed the name of Philippeville into that of Port Famine, under which appellation the place is known at the present day.	true	1245.26	1254.91	23.644184
7926_254948_000019_000005	On the 21st the ships entered a beautiful bay, which received the name of Elizabeth, and in which was buried the carpenter of the _Hugh Gallant_.	On the twenty first the ships entered a beautiful bay, which received the name of Elizabeth, and in which was buried the carpenter of the underscore Hugh Gallant underscore.	false	1255.64	1264.62	24.873186
7926_254948_000019_000006	Not far from thence a fine river fell into the sea, on the banks of which dwelt the anthropophagi who had fought so fiercely with the Spaniards, and who endeavoured, but in vain, to entice the Englishmen into the interior of the country.	Not far from thence a fine river fell into the sea, on the banks of which dwelt the anthropophagi who had fought so fiercely with the Spaniards, and who endeavoured, but in vain, to entice the Englishmen into the interior of the country.	true	1264.62	1278.28	24.237896
7926_254948_000020_000000	On the 24th February, as the little squadron came forth from the strait, it encountered a violent storm, which dispersed it.	On the twenty fourth of february, as the little squadron came forth from the strait, it encountered a violent storm, which dispersed it.	false	1279.7	1286.98	24.09418
7926_254948_000020_000001	The _Hugh Gallant_, left alone, and letting in water in all directions, was only kept afloat with the greatest trouble.	The underscore Hugh Gallant underscore, left alone, and letting in water in all directions, was only kept afloat with the greatest trouble.	false	1287.44	1294.09	20.911993
7926_254948_000020_000002	Rejoined on the 15th by his consorts, Cavendish tried in vain to land on Mocha Island, where Drake had been so maltreated by the Araucanians.	Rejoined on the fifteenth by his consorts, Cavendish tried in vain to land on Mocha Island, where Drake had been so maltreated by the Araucanians.	false	1294.97	1303.77	22.744972
7926_254948_000020_000003	This country, rich in gold and silver, had hitherto successfully resisted all Spanish attempts to subjugate it, and its inhabitants, fully determined to maintain their liberty, repulsed by force of arms every attempt to land.	This country, rich in gold and silver, had hitherto successfully resisted all Spanish attempts to subjugate it, and its inhabitants, fully determined to maintain their liberty, repulsed by force of arms every attempt to land.	true	1303.77	1317.07	22.983679
7926_254948_000020_000004	It was necessary therefore to go to the island of St. Maria, where the Indians, who took the Englishmen for Spaniards, furnished them with abundance of maize, fowls, sweet potatoes, pigs, and other provisions.	It was necessary therefore to go to the island of saint Maria, where the Indians, who took the Englishmen for Spaniards, furnished them with abundance of maize, fowls, sweet potatoes, pigs, and other provisions.	true	1317.53	1329.67	22.135714
7926_254948_000021_000000	On the 30th March, Cavendish dropped anchor in 32 degrees 50 minutes in the Bay of Quintero.	On the thirtieth of march, Cavendish dropped anchor in thirty two degrees fifty minutes in the Bay of Quintero.	false	1330.67	1336.78	26.320227
7926_254948_000021_000001	A party of thirty musketeers advanced into the country and met with oxen, cows, wild horses, hares, and partridges in abundance.	A party of thirty musketeers advanced into the country and met with oxen, cows, wild horses, hares, and partridges in abundance.	true	1337	1345.54	22.513056
7926_254948_000021_000002	The little troop was attacked by the Spaniards, and Cavendish was obliged to return to his ships after losing twelve of his men.	The little troop was attacked by the Spaniards, and Cavendish was obliged to return to his ships after losing twelve of his men.	true	1346.09	1352.74	23.800537
7926_254948_000021_000003	He afterwards ravaged, plundered, or burnt the towns of Paraca, Cincha, Pisca, and Paita, and devastated the island of Puna, where he obtained a booty in coined money of the value of 25,760_l._ After having scuttled the _Hugh Gallant_, which was totally unfit any longer to keep the water, Cavendish continued his profitable cruising, burnt, in the latitude of New Spain, a ship of 120 tons, plundered and burnt Aguatulio, and captured, after six hours of fighting, a vessel of 708 tons, laden with rich stuffs, and with 122,000 gold pesos.	He afterwards ravaged, plundered, or burnt the towns of Paraca, Cincha, Pisca, and Paita, and devastated the island of Puna, where he obtained a booty in coined money of the value of twenty five thousand seven hundred sixty underscore l.underscore After having scuttled the underscore Hugh Gallant underscore, which was totally unfit any longer to keep the water, Cavendish continued his profitable cruising, burnt, in the latitude of New Spain, a ship of one hundred twenty tons, plundered and burnt Aguatulio, and captured, after six hours of fighting, a vessel of seven hundred eight tons, laden with rich stuffs, and with one hundred twenty two thousand gold pesos.	false	1353.44	1393.3	23.722202
7926_254948_000021_000004	Then, "victorious and contented," Cavendish wished to secure the great spoils which he was conveying against any chance of danger.	Then, "victorious and contented," Cavendish wished to secure the great spoils which he was conveying against any chance of danger.	true	1394.63	1401.88	21.856258
7926_254948_000021_000005	He touched at the Ladrones, the Philippines, and Greater Java, doubled the Cape of Good Hope, recruited himself at St. Helena, and on the 9th September, 1588, anchored at Plymouth, after two years of sailing, privateering, and fighting.	He touched at the Ladrones, the Philippines, and Greater Java, doubled the Cape of Good Hope, recruited himself at saint Helena, and on the ninth of september fifteen eighty eight, anchored at Plymouth, after two years of sailing, privateering, and fighting.	false	1402.43	1417.96	23.851591
7926_254948_000021_000006	At the end of two years after his return, of all the great fortune which he had brought back with him, there remained only a sum sufficient for the fitting out of a third, and as it proved, a last expedition.	At the end of two years after his return, of all the great fortune which he had brought back with him, there remained only a sum sufficient for the fitting out of a third, and as it proved, a last expedition.	true	1417.96	1429.54	23.371265
7926_254948_000022_000000	Cavendish started on the 6th August, 1591, with five vessels, but a storm on the coast of Patagonia scattered the flotilla, which could not be collected again until the arrival at Port Desire.	Cavendish started on the sixth of august fifteen ninety one, with five vessels, but a storm on the coast of Patagonia scattered the flotilla, which could not be collected again until the arrival at Port Desire.	false	1430.66	1443.16	23.607937
7926_254948_000022_000001	Assailed by fearful hurricanes in the Strait of Magellan, Cavendish was obliged to go back, after having seen himself deserted by three of his ships. The want of fresh provisions, the cold, and the privations of all kinds which he underwent, and which had decimated his crew, forced him to return northwards along the coast of Brazil, where the Portuguese opposed every attempt at landing.	Assailed by fearful hurricanes in the Strait of Magellan, Cavendish was obliged to go back, after having seen himself deserted by three of his ships. The want of fresh provisions, the cold, and the privations of all kinds which he underwent, and which had decimated his crew, forced him to return northwards along the coast of Brazil, where the Portuguese opposed every attempt at landing.	true	1443.68	1466.71	22.668575
7926_254948_000022_000002	He was therefore obliged to put to sea again without having been able to revictual. Cavendish died, from grief perhaps as much as from hardships, before he reached the English coast.	He was therefore obliged to put to sea again without having been able to revictual. Cavendish died, from grief perhaps as much as from hardships, before he reached the English coast.	false	1467.32	1487.88	22.464653
